代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11260786.290000000968575
真實報酬,1260786.290000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11193.285782603961707
風險,108364.531151010654867
起點值,0.103292891721237
找到最佳解世代,2076
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](1),DD[7](3),GS[8](16),MRK[17](15),NKE[19](6),UNH[23](2),
FS( 9 ),1675198.959999999962747,1587852.959999999962747,1545115.039999999804422,1825489.900000000139698,1643518.479999999748543,1708835.349999999860302,9986014.689999999478459
FS( 10 ),1677332.199999999953434,1583488.719999999972060,1530199.760000000009313,1803341.979999999981374,1627736.079999999608845,1727522.159999999683350,9949624.900000000372529
FS( 11 ),1692087.110000000102445,1637656.639999999897555,1519399.039999999804422,1836855.280000000027940,1630892.559999999823049,1749185.629999999888241,10066080.259999999776483
FS( 12 ),1684265.229999999981374,1613524.959999999962747,1505683.839999999850988,1824615.639999999897555,1641764.879999999888241,1746705.080000000074506,10016563.629999998956919
FS( 13 ),1674132.340000000083819,1635602.880000000121072,1518713.280000000027940,1811501.739999999990687,1640011.279999999795109,1807891.979999999748543,10087857.500000000000000
FS( 14 ),1691553.800000000046566,1658450.959999999962747,1560630.359999999869615,1824032.800000000046566,1681045.519999999785796,1882804.589999999850988,10298522.029999999329448
FS( 15 ),1683909.689999999944121,1629441.600000000093132,1547343.760000000009313,1821118.600000000093132,1686306.319999999832362,1852211.139999999897555,10220335.110000001266599
FS( 16 ),1688353.939999999944121,1629184.880000000121072,1546743.719999999972060,1830735.459999999962747,1689813.519999999785796,1845761.709999999962747,10230597.230000000447035
FS( 17 ),1670576.939999999944121,1614808.560000000055879,1513055.760000000009313,1823158.540000000037253,1657196.559999999823049,1819302.510000000009313,10098102.869999999180436
FS( 18 ),1647466.840000000083819,1573219.919999999925494,1483568.080000000074506,1790810.920000000158325,1636504.079999999608845,1793670.159999999683350,9925244.000000000000000
FS( 19 ),1657244.189999999944121,1645614.959999999962747,1508769.760000000009313,1809461.800000000046566,1663860.239999999757856,1809049.569999999832362,10094004.519999999552965
FS( 20 ),1617068.169999999925494,1651006.080000000074506,1478082.000000000000000,1756714.780000000027940,1617915.919999999925494,1757123.389999999897555,9877914.339999999850988
FS( 21 ),1634311.860000000102445,1653316.560000000055879,1504483.760000000009313,1774199.979999999981374,1611953.679999999934807,1774321.870000000111759,9952591.710000000894070
FS( 22 ),1672887.949999999953434,1714415.919999999925494,1545200.760000000009313,1778279.860000000102445,1637205.519999999785796,1782921.109999999869615,10130915.119999999180436
FS( 23 ),1800526.810000000055879,1689770.799999999813735,1532685.639999999897555,1720870.119999999878928,1622826.000000000000000,1784740.179999999934807,10151423.550000000745058
FS( 24 ),1824703.530000000027940,1747532.799999999813735,1549743.920000000158325,1724367.160000000149012,1636854.799999999813735,1799623.479999999748543,10282829.690000001341105
FS( 25 ),1813681.790000000037253,1769610.720000000204891,1572545.439999999944121,1713293.199999999953434,1609849.359999999869615,1779448.339999999850988,10258432.849999999627471
FS( 26 ),1808526.459999999962747,1764476.320000000065193,1562173.320000000065193,1699887.879999999888241,1598977.040000000037253,1761092.269999999785796,10195137.289999999105930
FS( 27 ),1811904.090000000083819,1773204.799999999813735,1582231.800000000046566,1715041.719999999972060,1626683.919999999925494,1802104.029999999795109,10311174.359999997541308
FS( 28 ),1811015.239999999990687,1757801.600000000093132,1608719.280000000027940,1711836.100000000093132,1601432.079999999608845,1816656.589999999850988,10307464.890000000596046
FS( 29 ),1841413.909999999916181,1796823.039999999804422,1626977.639999999897555,1715915.979999999981374,1613356.559999999823049,1816491.219999999972060,10410982.350000001490116
FS( 30 ),1851902.340000000083819,1807605.280000000027940,1620291.479999999981374,1713876.040000000037253,1614058.000000000000000,1809876.419999999925494,10417613.560000000521541
FS( 31 ),1851013.489999999990687,1812226.239999999990687,1629034.920000000158325,1713293.199999999953434,1610901.519999999785796,1815168.260000000009313,10431641.630000000819564
FS( 32 ),1846391.469999999972060,1806321.679999999934807,1617462.719999999972060,1713584.619999999878928,1641764.879999999888241,1815333.629999999888241,10440863.000000000000000
FS( 33 ),1846924.780000000027940,1816333.760000000009313,1621234.400000000139698,1699013.619999999878928,1643167.759999999776483,1819633.250000000000000,10446311.570000000298023
FS( 34 ),1858657.599999999860302,1810942.640000000130385,1641807.199999999953434,1700470.719999999972060,1664912.399999999674037,1862464.080000000074506,10539258.640000000596046
FS( 35 ),1866479.479999999981374,1809402.320000000065193,1631520.800000000046566,1699013.619999999878928,1666315.279999999795109,1924973.939999999944121,10597709.439999999478459
FS( 36 ),1860790.840000000083819,1820954.720000000204891,1647893.320000000065193,1700762.139999999897555,1673329.679999999934807,1908933.050000000046566,10612667.750000001862645
FS( 37 ),1876790.139999999897555,1822495.039999999804422,1643607.320000000065193,1704550.600000000093132,1697880.079999999608845,1886111.989999999757856,10631439.169999999925494
FS( 38 ),1858835.370000000111759,1800673.840000000083819,1647721.879999999888241,1718247.340000000083819,1701036.559999999823049,1879662.559999999823049,10606181.550000000745058
FS( 39 ),1850302.409999999916181,1800160.400000000139698,1627063.359999999869615,1706007.699999999953434,1703140.879999999888241,1879166.449999999720603,10565845.199999999254942
FS( 40 ),1882478.780000000027940,1804267.919999999925494,1644207.359999999869615,1707173.379999999888241,1731899.919999999925494,1891899.939999999944121,10661931.299999998882413
FS( 41 ),1890656.199999999953434,1800673.840000000083819,1639749.920000000158325,1700179.300000000046566,1718221.839999999850988,1866432.959999999962747,10615918.059999998658895
FS( 42 ),1876790.139999999897555,1812226.239999999990687,1626034.719999999972060,1686773.979999999981374,1710155.279999999795109,1882308.479999999748543,10594292.839999999850988
FS( 43 ),1867190.560000000055879,1787324.400000000139698,1629549.239999999990687,1689688.179999999934807,1726639.119999999646097,1898349.370000000111759,10598744.870000001043081
FS( 44 ),1845680.389999999897555,1752667.199999999953434,1602376.000000000000000,1656466.300000000046566,1699633.679999999934807,1866763.699999999720603,10423591.269999999552965
FS( 45 ),1871279.270000000018626,1752410.480000000214204,1611119.439999999944121,1668705.939999999944121,1708752.399999999674037,1900168.439999999944121,10512439.969999998807907
FS( 46 ),1832703.180000000167638,1722374.239999999990687,1566373.600000000093132,1648889.379999999888241,1692619.279999999795109,1859818.159999999683350,10322781.839999999850988
FS( 47 ),1829147.780000000027940,1710308.400000000139698,1578974.439999999944121,1633735.540000000037253,1671926.799999999813735,1864117.779999999795109,10288214.740000000223517
FS( 48 ),1905233.340000000083819,1735210.239999999990687,1628434.879999999888241,1636941.160000000149012,1701738.000000000000000,1899837.699999999720603,10507399.320000000298023
FS( 49 ),1892256.129999999888241,1720063.760000000009313,1623205.959999999962747,1637815.420000000158325,1680344.079999999608845,1905956.389999999897555,10459645.740000000223517
FS( 50 ),1908788.739999999990687,1719550.320000000065193,1645150.280000000027940,1664626.060000000055879,1691216.399999999674037,1960032.379999999888241,10589368.179999999701977
FS( 51 ),1901500.169999999925494,1704917.280000000027940,1633749.520000000018626,1645683.760000000009313,1692970.000000000000000,1944818.339999999850988,10523643.070000000298023
FS( 52 ),1919454.939999999944121,1738034.160000000149012,1648750.520000000018626,1680071.320000000065193,1710155.279999999795109,1983845.659999999683350,10680315.880000000819564
FS( 53 ),1908788.739999999990687,1708511.359999999869615,1628606.320000000065193,1696390.840000000083819,1724184.079999999608845,1997075.260000000009313,10663560.599999999627471
FS( 54 ),1927632.360000000102445,1729048.959999999962747,1655693.839999999850988,1707173.379999999888241,1788365.839999999850988,1970285.319999999832362,10778203.699999999254942
FS( 55 ),1923899.189999999944121,1726738.480000000214204,1645664.600000000093132,1711544.679999999934807,1779247.119999999646097,1968631.620000000111759,10755729.689999997615814
FS( 56 ),1904166.719999999972060,1725968.320000000065193,1639835.639999999897555,1708630.479999999981374,1765218.319999999832362,1953417.580000000074506,10697241.060000000521541
FS( 57 ),1866657.250000000000000,1712105.439999999944121,1606147.679999999934807,1697847.939999999944121,1736108.559999999823049,1927289.120000000111759,10546159.990000002086163
FS( 58 ),1870923.729999999981374,1713132.320000000065193,1605204.760000000009313,1678614.219999999972060,1742070.799999999813735,1922493.389999999897555,10532443.219999998807907
FS( 59 ),1875190.209999999962747,1745992.480000000214204,1612233.800000000046566,1682985.520000000018626,1751540.239999999757856,1951598.510000000009313,10619544.759999999776483
FS( 60 ),1886567.489999999990687,1779622.799999999813735,1637606.920000000158325,1700179.300000000046566,1769426.959999999962747,2001044.139999999897555,10774451.609999999403954
FS( 61 ),1864701.780000000027940,1754207.520000000018626,1611462.320000000065193,1675117.179999999934807,1759606.799999999813735,1956228.870000000111759,10621328.469999998807907
FS( 62 ),1874479.129999999888241,1751126.879999999888241,1647979.039999999804422,1657049.139999999897555,1745928.719999999972060,1942337.790000000037253,10618904.699999999254942
FS( 63 ),1884434.250000000000000,1763706.160000000149012,1642150.080000000074506,1664043.219999999972060,1747682.319999999832362,1940849.459999999962747,10642869.489999998360872
FS( 64 ),1877856.760000000009313,1779622.799999999813735,1646436.080000000074506,1666374.580000000074506,1749085.199999999720603,1946472.040000000037253,10665851.460000000894070
FS( 65 ),1874301.360000000102445,1773974.959999999962747,1649350.559999999823049,1673660.080000000074506,1746980.879999999888241,1940684.089999999850988,10658955.929999999701977
FS( 66 ),1890833.969999999972060,1768327.119999999878928,1650807.800000000046566,1665500.320000000065193,1768374.799999999813735,1954575.169999999925494,10698423.179999999701977
FS( 67 ),1898122.540000000037253,1781933.280000000027940,1670780.559999999823049,1673660.080000000074506,1766270.479999999748543,1960528.489999999757856,10751299.429999999701977
FS( 68 ),1901322.400000000139698,1769097.280000000027940,1677209.559999999823049,1668414.520000000018626,1753293.839999999850988,1967970.139999999897555,10737311.740000000223517
FS( 69 ),1893500.520000000018626,1764733.039999999804422,1676695.239999999990687,1653260.679999999934807,1741018.639999999897555,1974088.830000000074506,10703300.949999999254942
FS( 70 ),1896167.069999999832362,1785270.640000000130385,1695039.320000000065193,1683276.939999999944121,1745578.000000000000000,1983184.179999999934807,10788520.150000000372529
FS( 71 ),1901855.709999999962747,1831993.679999999934807,1724012.679999999934807,1703384.920000000158325,1750838.799999999813735,1940187.979999999748543,10852277.769999999552965
FS( 72 ),1921765.949999999953434,1818900.959999999962747,1716383.600000000093132,1685608.300000000046566,1751890.959999999962747,2010966.339999999850988,10905520.109999999403954
FS( 73 ),1896700.379999999888241,1815563.600000000093132,1691867.679999999934807,1657631.979999999981374,1728392.719999999972060,1963174.409999999683350,10753334.770000001415610
FS( 74 ),1923899.189999999944121,1831223.520000000018626,1698296.679999999934807,1678905.639999999897555,1753644.559999999823049,1961024.599999999860302,10846998.189999999478459
FS( 75 ),1914299.610000000102445,1815306.879999999888241,1687495.959999999962747,1680362.739999999990687,1758905.359999999869615,1972600.500000000000000,10828975.050000000745058
FS( 76 ),1918921.629999999888241,1828656.320000000065193,1700182.520000000018626,1681237.000000000000000,1756450.319999999832362,1948291.109999999869615,10833742.900000000372529
FS( 77 ),1937765.250000000000000,1864597.119999999878928,1708668.800000000046566,1675991.439999999944121,1773284.879999999888241,1955732.760000000009313,10916044.249999998137355
FS( 78 ),1947187.060000000055879,1868961.359999999869615,1697353.760000000009313,1678614.219999999972060,1770479.119999999646097,1962843.669999999925494,10925443.189999999478459
FS( 79 ),1958386.569999999832362,1881797.359999999869615,1684752.920000000158325,1664043.219999999972060,1770128.399999999674037,1922328.019999999785796,10881440.489999998360872
FS( 80 ),1954120.090000000083819,1894633.359999999869615,1693067.760000000009313,1747972.179999999934807,1751189.519999999785796,1944652.969999999972060,10985639.880000000819564
FS( 81 ),1952164.620000000111759,1886931.760000000009313,1702239.800000000046566,1739229.580000000074506,1756801.040000000037253,1878835.709999999962747,10916206.510000001639128
FS( 82 ),1932787.689999999944121,1864597.119999999878928,1683895.719999999972060,1735732.540000000037253,1733302.799999999813735,1842288.939999999944121,10792608.809999998658895
FS( 83 ),1964786.290000000037253,1889755.679999999934807,1693410.639999999897555,1744475.139999999897555,1767322.639999999897555,1872055.540000000037253,10931809.929999999701977
FS( 84 ),1973852.560000000055879,1888215.359999999869615,1708583.080000000074506,1767205.900000000139698,1768374.799999999813735,1894545.859999999869615,11000781.559999998658895
FS( 85 ),1969941.620000000111759,1877433.119999999878928,1691353.359999999869615,1762834.600000000093132,1761009.679999999934807,1874866.830000000074506,10937443.209999999031425
FS( 86 ),1950564.689999999944121,1860232.879999999888241,1682438.479999999981374,1756131.939999999944121,1757502.479999999748543,1876851.269999999785796,10883725.740000000223517
FS( 87 ),1942387.270000000018626,1851504.400000000139698,1692210.559999999823049,1757297.619999999878928,1779247.119999999646097,1897853.260000000009313,10920504.229999998584390
FS( 88 ),1957497.719999999972060,1895660.239999999990687,1718869.479999999981374,1770120.100000000093132,1796432.399999999674037,1913067.300000000046566,11051651.240000000223517
FS( 89 ),1930654.449999999953434,1897457.280000000027940,1729413.039999999804422,1748555.020000000018626,1802745.359999999869615,1898018.629999999888241,11006847.779999997466803
FS( 90 ),1942031.729999999981374,1862800.080000000074506,1719126.639999999897555,1732235.500000000000000,1795380.239999999757856,1895868.819999999832362,10947447.009999999776483
FS( 91 ),1941142.879999999888241,1854585.039999999804422,1726841.439999999944121,1724658.580000000074506,1791522.319999999832362,1916043.959999999962747,10954798.219999998807907
FS( 92 ),1954297.860000000102445,1873325.600000000093132,1737042.120000000111759,1742143.780000000027940,1813968.399999999674037,1960197.750000000000000,11080979.509999999776483
FS( 93 ),1960875.349999999860302,1883080.959999999962747,1740042.320000000065193,1755257.679999999934807,1840973.839999999850988,1973427.349999999860302,11153661.499999998137355
FS( 94 ),1961408.659999999916181,1864597.119999999878928,1754529.000000000000000,1748846.439999999944121,1837115.919999999925494,1981199.739999999757856,11147700.879999998956919
FS( 95 ),1965497.370000000111759,1854585.039999999804422,1760872.280000000027940,1763708.860000000102445,1835011.599999999860302,1993602.489999999757856,11173281.640000000596046
FS( 96 ),1959097.650000000139698,1866137.439999999944121,1758129.239999999990687,1761960.340000000083819,1834660.879999999888241,2005013.019999999785796,11185002.570000000298023
FS( 97 ),1962475.280000000027940,1878460.000000000000000,1757014.879999999888241,1751469.219999999972060,1830802.959999999962747,1992114.159999999683350,11172340.500000000000000
FS( 98 ),1960164.270000000018626,1875122.640000000130385,1781445.080000000074506,1730486.979999999981374,1831504.399999999674037,1977726.969999999972060,11156454.340000001713634
FS( 99 ),1945587.129999999888241,1850734.239999999990687,1769272.839999999850988,1718538.760000000009313,1813617.679999999934807,1955402.019999999785796,11053156.669999999925494
FS( 100 ),1962119.739999999990687,1871785.280000000027940,1792245.800000000046566,1732818.340000000083819,1803446.799999999813735,1975411.790000000037253,11137831.750000000000000
FS( 101 ),1964964.060000000055879,1885391.439999999944121,1787274.039999999804422,1739812.420000000158325,1793977.359999999869615,1978223.080000000074506,11149646.400000000372529
FS( 102 ),1962119.739999999990687,1903618.560000000055879,1767644.159999999916181,1774491.400000000139698,1783105.040000000037253,1987979.909999999683350,11178962.810000000521541
FS( 103 ),1972608.169999999925494,1910550.000000000000000,1781530.800000000046566,1770411.520000000018626,1784507.919999999925494,1982191.959999999962747,11201804.370000001043081
FS( 104 ),1968875.000000000000000,1924926.320000000065193,1769701.439999999944121,1755549.100000000093132,1790820.879999999888241,1947298.889999999897555,11157175.629999998956919
FS( 105 ),1976341.340000000083819,1938019.039999999804422,1785645.359999999869615,1759920.400000000139698,1797835.279999999795109,1957221.089999999850988,11214986.509999999776483
FS( 106 ),1960875.349999999860302,1939559.359999999869615,1790617.120000000111759,1733109.760000000009313,1788015.119999999646097,1929108.189999999944121,11141288.899999998509884
FS( 107 ),1960875.349999999860302,1903618.560000000055879,1804160.879999999888241,1719121.600000000093132,1789418.000000000000000,1927123.750000000000000,11104322.140000000596046
FS( 108 ),1942920.580000000074506,1879230.160000000149012,1798503.359999999869615,1715624.560000000055879,1778896.399999999674037,1933407.809999999823049,11048586.870000001043081
FS( 109 ),1929232.290000000037253,1883594.400000000139698,1791902.920000000158325,1714750.300000000046566,1777493.519999999785796,1934730.769999999785796,11031708.199999999254942
FS( 110 ),1955542.250000000000000,1900794.640000000130385,1827133.839999999850988,1737189.639999999897555,1812214.799999999813735,1960528.489999999757856,11193407.660000000149012
FS( 111 ),1966563.989999999990687,1906955.919999999925494,1834077.159999999916181,1716790.239999999990687,1821684.239999999757856,1973261.979999999748543,11219337.530000001192093
FS( 112 ),1954653.400000000139698,1895146.799999999813735,1826533.800000000046566,1686482.560000000055879,1819930.639999999897555,1945645.189999999944121,11128396.390000000596046
FS( 113 ),1958742.110000000102445,1895916.959999999962747,1815390.199999999953434,1664626.060000000055879,1812565.519999999785796,1967639.399999999906868,11114884.250000000000000
FS( 114 ),1974385.870000000111759,1922615.840000000083819,1830819.800000000046566,1681819.840000000083819,1833608.719999999972060,2010139.489999999757856,11253393.560000000521541
FS( 115 ),1982029.979999999981374,1950598.320000000065193,1825419.439999999944121,1687648.239999999990687,1837115.919999999925494,1980207.519999999785796,11263023.419999999925494
FS( 116 ),2012784.189999999944121,1959326.799999999813735,1839734.679999999934807,1707464.800000000046566,1858860.559999999823049,1999225.069999999832362,11377400.099999999627471
FS( 117 ),2002117.989999999990687,1948031.119999999878928,1827648.159999999916181,1691436.699999999953434,1868330.000000000000000,1989964.349999999860302,11327532.319999998435378
FS( 118 ),2018295.060000000055879,1953678.959999999962747,1856107.199999999953434,1714458.879999999888241,1872889.359999999869615,1988641.389999999897555,11404074.849999999627471
FS( 119 ),2033938.819999999832362,1958556.640000000130385,1872308.280000000027940,1720287.280000000027940,1879903.759999999776483,2029818.519999999785796,11494817.300000000745058
FS( 120 ),2022561.540000000037253,1941356.400000000139698,1838277.439999999944121,1697265.100000000093132,1862718.479999999748543,1970781.429999999934807,11332964.390000000596046
FS( 121 ),2034649.900000000139698,1945720.640000000130385,1824476.520000000018626,1687356.820000000065193,1845182.479999999748543,2023038.349999999860302,11360428.710000000894070
FS( 122 ),2044249.479999999981374,1925696.480000000214204,1827476.719999999972060,1704550.600000000093132,1924094.479999999748543,2038252.389999999897555,11464324.150000000372529
FS( 123 ),2009762.099999999860302,1856895.520000000018626,1780159.280000000027940,1669580.199999999953434,1888321.040000000037253,2004186.169999999925494,11208908.310000000521541
FS( 124 ),2029139.030000000027940,1870758.400000000139698,1789931.359999999869615,1659089.080000000074506,1894283.279999999795109,2017581.139999999897555,11260786.290000000968575
