代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12216016.650000000372529
真實報酬,2216016.650000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21111.966926533867081
風險,159957.745609316305490
起點值,0.131984649109135
找到最佳解世代,1904
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,6
BA[2](10),MRK[17](6),MSFT[18](2),NKE[19](15),UNH[23](27),WBA[27](16),
FS( 34 ),2017959.800000000279397,1769929.479999999981374,1766678.770000000251457,1724339.979999999981374,1740983.519999999785796,1849465.870000000111759,10869361.420000001788139
FS( 35 ),2011870.200000000186265,1766598.400000000139698,1769476.330000000074506,1723162.959999999962747,1741592.679999999934807,1851610.150000000139698,10864314.720000000670552
FS( 36 ),2022527.000000000000000,1739394.580000000074506,1802347.660000000149012,1723162.959999999962747,1680067.519999999785796,1856434.780000000260770,10823938.500000000000000
FS( 37 ),1993220.800000000046566,1739394.580000000074506,1798151.320000000065193,1716100.839999999850988,1625243.119999999878928,1835528.050000000279397,10707642.710000000894070
FS( 38 ),1971146.000000000000000,1721628.820000000298023,1814237.290000000270084,1711392.759999999776483,1585647.719999999972060,1803899.919999999925494,10607956.509999999776483
FS( 39 ),1960869.800000000279397,1734953.140000000130385,1786961.080000000074506,1725517.000000000000000,1543615.679999999934807,1805508.130000000121072,10557428.830000001937151
FS( 40 ),2019862.800000000046566,1778257.180000000167638,1806544.000000000000000,1736110.179999999934807,1571637.040000000037253,1832847.699999999953434,10745262.899999998509884
FS( 41 ),2078855.800000000046566,1768263.940000000176951,1800948.880000000121072,1767889.719999999972060,1564327.119999999878928,2002245.820000000298023,10982535.279999999329448
FS( 42 ),2060967.600000000093132,1756049.979999999981374,1798850.709999999962747,1904424.039999999804422,1525340.879999999888241,2008678.660000000149012,11054315.870000001043081
FS( 43 ),1983325.200000000186265,1731066.880000000121072,1740101.949999999953434,1839687.939999999944121,1510111.879999999888241,2047275.699999999953434,10851573.550000000745058
FS( 44 ),1956302.600000000093132,1757160.340000000083819,1745697.070000000065193,1825563.699999999953434,1479044.719999999972060,2039770.719999999972060,10803543.150000002235174
FS( 45 ),1989795.400000000139698,1763822.500000000000000,1723316.590000000083819,1847927.079999999841675,1464424.879999999888241,2048347.840000000083819,10837638.289999999105930
FS( 46 ),1990176.000000000000000,1804905.820000000065193,1756187.920000000158325,1856166.219999999972060,1485136.319999999832362,2053708.540000000270084,10946284.820000000298023
FS( 47 ),1971146.000000000000000,1787140.060000000055879,1755488.530000000260770,1866759.399999999906868,1525950.040000000037253,2097130.209999999962747,11003618.240000002086163
FS( 48 ),1990556.600000000093132,1800464.380000000121072,1795353.760000000242144,1884414.700000000186265,1471734.800000000046566,2125005.850000000093132,11067534.089999999850988
FS( 49 ),2005400.000000000000000,1807681.720000000204891,1786961.080000000074506,1871467.479999999981374,1502801.960000000195578,2114820.520000000484288,11089136.760000001639128
FS( 50 ),1966198.199999999953434,1824337.120000000111759,1798850.709999999962747,1860874.300000000046566,1536914.919999999925494,2089089.160000000149012,11076268.410000000149012
FS( 51 ),1975332.600000000093132,1799909.200000000186265,1805145.219999999972060,1873821.520000000018626,1479653.879999999888241,2051564.260000000242144,10985430.680000001564622
FS( 52 ),1998549.199999999953434,1826557.840000000083819,1815636.070000000065193,1910309.139999999897555,1514985.160000000149012,2077295.620000000111759,11143337.030000001192093
FS( 53 ),1970004.199999999953434,1848765.040000000037253,1868090.320000000065193,1911486.159999999683350,1495492.040000000037253,2135191.180000000167638,11229032.940000001341105
FS( 54 ),2024430.000000000000000,1843768.420000000158325,1853403.130000000121072,1915017.219999999972060,1489400.439999999944121,2164138.959999999962747,11290162.169999998062849
FS( 55 ),2034325.600000000093132,1872637.780000000027940,1843611.670000000158325,1944442.719999999972060,1518030.960000000195578,2164138.959999999962747,11377191.690000001341105
FS( 56 ),1974952.000000000000000,1872082.600000000093132,1844311.060000000288710,1915017.219999999972060,1581383.600000000093132,2147520.790000000037253,11335271.269999999552965
FS( 57 ),1926996.400000000139698,1814343.880000000121072,1858998.250000000000000,1905601.060000000055879,1530214.160000000149012,2113748.379999999888241,11149906.129999998956919
FS( 58 ),1943742.800000000046566,1824892.300000000046566,1859697.640000000130385,1918548.280000000027940,1566154.600000000093132,2116964.800000000279397,11230004.420000001788139
FS( 59 ),1898832.000000000000000,1800464.380000000121072,1959710.410000000149012,1887945.759999999776483,1574682.840000000083819,2093377.719999999972060,11215017.110000001266599
FS( 60 ),1837936.000000000000000,1777702.000000000232831,2005870.150000000139698,1876175.559999999823049,1541788.199999999953434,2085336.669999999925494,11124812.580000000074506
FS( 61 ),1817383.600000000093132,1800464.380000000121072,1999575.640000000130385,1885591.719999999972060,1614278.239999999990687,2021008.270000000251457,11138305.849999999627471
FS( 62 ),1797211.800000000046566,1779367.540000000037253,1959710.410000000149012,1840864.959999999962747,1576510.319999999832362,1988308.000000000232831,10941977.029999999329448
FS( 63 ),1857727.200000000186265,1738284.219999999972060,1973698.209999999962747,1874998.539999999804422,1612450.760000000009313,2058533.169999999925494,11115696.099999999627471
FS( 64 ),1819286.600000000093132,1717187.380000000121072,1939428.100000000093132,1830271.780000000027940,1580774.439999999944121,2027977.179999999934807,10914929.480000000447035
FS( 65 ),1837174.800000000279397,1735508.320000000298023,1949918.949999999953434,1839687.939999999944121,1609404.960000000195578,2075151.340000000083819,11046850.310000000521541
FS( 66 ),1830704.600000000093132,1702752.700000000186265,1925440.300000000279397,1844396.020000000018626,1639253.800000000046566,2060677.449999999953434,11003228.870000001043081
FS( 67 ),1829562.800000000046566,1812123.160000000149012,1962507.969999999972060,1845573.039999999804422,1697733.160000000149012,2116428.729999999981374,11263932.859999999403954
FS( 68 ),1894264.800000000279397,1816009.420000000158325,1991182.959999999962747,1905601.060000000055879,1718444.600000000093132,2148056.860000000335276,11473563.699999999254942
FS( 69 ),1890839.400000000139698,1809347.260000000242144,1994679.910000000149012,1899715.959999999962747,1746465.960000000195578,2121253.360000000335276,11462305.850000001490116
FS( 70 ),1954399.600000000093132,1855982.380000000121072,2027551.239999999990687,1922079.339999999618158,1774487.319999999832362,2146448.649999999906868,11680952.530000001192093
FS( 71 ),1915197.800000000046566,1865975.620000000111759,2028950.020000000251457,1897361.920000000158325,1764740.760000000009313,2122861.570000000298023,11595091.690000001341105
FS( 72 ),1928899.400000000139698,1844323.600000000093132,2036643.310000000288710,1910309.139999999897555,1789107.160000000149012,2109995.890000000130385,11619282.500000000000000
FS( 73 ),1913675.400000000139698,1830999.280000000027940,2053428.670000000158325,1885591.719999999972060,1751948.400000000139698,2097130.209999999962747,11532777.679999999701977
FS( 74 ),1928899.400000000139698,1837661.440000000176951,2072312.199999999953434,1896184.899999999906868,1771441.519999999785796,2111068.030000000260770,11617571.489999998360872
FS( 75 ),1997407.399999999906868,1877079.220000000204891,2066017.690000000176951,1944442.719999999972060,1775705.639999999897555,2112140.169999999925494,11772796.839999999850988
FS( 76 ),1999310.400000000139698,1903727.860000000102445,2098189.629999999888241,1911486.159999999683350,1764740.760000000009313,2109459.820000000298023,11786918.630000000819564
FS( 77 ),1979899.800000000279397,1950918.160000000149012,2105882.919999999925494,1896184.899999999906868,1758649.160000000149012,2093913.790000000270084,11785452.730000002309680
FS( 78 ),1957444.400000000139698,1961466.580000000074506,2082803.050000000279397,1870290.459999999962747,1744029.319999999832362,2092305.580000000074506,11708343.390000000596046
FS( 79 ),1967720.600000000093132,2024201.920000000158325,2071612.810000000288710,1880883.639999999897555,1739765.199999999953434,2089089.160000000149012,11773277.330000000074506
FS( 80 ),2003116.400000000139698,2021981.200000000186265,2093993.290000000270084,1897361.920000000158325,1771441.519999999785796,2113212.310000000055879,11901110.640000000596046
FS( 81 ),1977996.800000000046566,2010877.600000000093132,2091895.120000000111759,1898538.939999999711290,1800681.199999999953434,2112140.169999999925494,11892133.830000000074506
FS( 82 ),2014534.400000000139698,2030308.900000000139698,2083502.440000000176951,1933849.539999999804422,1799462.879999999888241,2103026.979999999981374,11964689.140000000596046
FS( 83 ),1996265.600000000093132,2014763.860000000102445,2043637.209999999962747,1913840.200000000186265,1793371.280000000027940,2091233.439999999944121,11853115.589999999850988
FS( 84 ),1994743.199999999953434,2010322.420000000158325,2056925.620000000111759,1909132.119999999878928,1746465.960000000195578,2084800.600000000093132,11802393.919999999925494
FS( 85 ),2044601.800000000046566,2047519.480000000214204,2098889.020000000484288,1924433.380000000121072,1748293.439999999944121,2110531.959999999962747,11974273.080000001937151
FS( 86 ),2046885.400000000139698,2043078.040000000037253,2082803.050000000279397,1923256.359999999869615,1723317.879999999888241,2047811.770000000251457,11867156.500000000000000
FS( 87 ),2046504.800000000279397,2041412.500000000232831,2086300.000000000000000,1903247.020000000251457,1664838.519999999785796,2026368.969999999972060,11768675.810000002384186
FS( 88 ),2081139.400000000139698,2037526.240000000223517,2096790.850000000093132,1892653.839999999618158,1672757.600000000093132,2029585.390000000130385,11810457.320000000298023
FS( 89 ),2124527.800000000279397,2037526.240000000223517,2083502.440000000176951,1899715.959999999962747,1723927.040000000037253,2019936.130000000121072,11889139.610000001266599
FS( 90 ),2118438.200000000186265,2018094.940000000176951,2068115.860000000102445,1869113.439999999944121,1733673.600000000093132,1987771.929999999934807,11795211.970000000670552
FS( 91 ),2111206.800000000279397,2062509.340000000083819,2077907.320000000065193,1823209.659999999916181,1736110.239999999990687,2049419.979999999981374,11860367.340000001713634
FS( 92 ),2093699.199999999953434,2084161.360000000102445,2089097.560000000288710,1845573.039999999804422,1846368.199999999953434,2055316.750000000232831,12014220.109999999403954
FS( 93 ),2116154.600000000093132,2058067.900000000139698,2087698.780000000260770,1879706.620000000111759,1856723.919999999925494,2080512.040000000270084,12078867.860000001266599
FS( 94 ),2133281.600000000093132,2096930.500000000232831,2105882.919999999925494,1887945.759999999776483,1885354.439999999944121,2048347.840000000083819,12157747.060000000521541
FS( 95 ),2118818.800000000279397,2109699.640000000130385,2099588.410000000149012,1893830.859999999869615,1907893.360000000102445,2029585.390000000130385,12159420.460000000894070
FS( 96 ),2098266.400000000372529,2095820.140000000130385,2105183.530000000260770,1884414.700000000186265,1961499.440000000176951,2049956.050000000279397,12195144.260000001639128
FS( 97 ),2073146.800000000046566,2069726.680000000167638,2070214.030000000260770,1860874.300000000046566,1938351.360000000102445,2000101.540000000270084,12012418.710000000894070
FS( 98 ),2033945.000000000000000,2076388.840000000083819,2123367.669999999925494,1896184.899999999906868,1921294.879999999888241,1964184.850000000093132,12015370.139999998733401
FS( 99 ),2066676.600000000093132,2092489.060000000055879,2134557.910000000149012,1909132.119999999878928,1959671.960000000195578,1962576.640000000130385,12125108.290000000968575
FS( 100 ),2097124.600000000093132,2095820.140000000130385,2155539.610000000335276,1915017.219999999972060,1968809.360000000102445,1981875.160000000149012,12214190.089999999850988
FS( 101 ),2091796.200000000186265,2068061.140000000130385,2162533.509999999776483,1925610.399999999906868,1926168.160000000149012,2007070.449999999953434,12181243.859999999403954
FS( 102 ),2111587.399999999906868,2053626.460000000195578,2168128.629999999888241,1919725.299999999813735,1929823.119999999878928,2009214.729999999981374,12192109.640000000596046
FS( 103 ),2098647.000000000000000,2070281.860000000102445,2180018.259999999776483,1927964.439999999711290,1912157.479999999981374,1999565.469999999972060,12188638.509999999776483
FS( 104 ),2101311.200000000186265,2059733.440000000176951,2195404.839999999850988,1947973.780000000027940,1879262.840000000083819,1995812.979999999981374,12179503.080000001937151
FS( 105 ),2091796.200000000186265,2057512.720000000204891,2165331.070000000298023,1946796.759999999776483,1889009.400000000139698,1990452.280000000260770,12140902.429999999701977
FS( 106 ),2060206.400000000139698,2028643.360000000102445,2131760.350000000558794,1944442.719999999972060,1856723.919999999925494,1968473.410000000149012,11990254.160000000149012
FS( 107 ),2138229.399999999906868,2054736.820000000065193,2164631.679999999701977,1923256.359999999869615,1920685.719999999972060,1999565.469999999972060,12201109.450000001117587
FS( 108 ),2208259.800000000279397,2063064.520000000018626,2165331.070000000298023,1930318.479999999748543,1917639.919999999925494,1983483.370000000111759,12268101.160000000149012
FS( 109 ),2275245.399999999906868,2090823.520000000018626,2152042.660000000149012,1918548.280000000027940,1936523.879999999888241,1968473.410000000149012,12341661.149999998509884
FS( 110 ),2367350.600000000093132,2094154.600000000093132,2129662.179999999701977,1937380.600000000093132,2010841.399999999906868,1980266.949999999953434,12519660.330000000074506
FS( 111 ),2344514.600000000093132,2093044.240000000223517,2144349.370000000111759,1933849.539999999804422,1991957.440000000176951,1982947.300000000279397,12490666.490000000223517
FS( 112 ),2316730.799999999813735,2101371.940000000409782,2117073.160000000149012,1910309.139999999897555,2005358.960000000195578,1986163.719999999972060,12437011.720000002533197
FS( 113 ),2299984.399999999906868,2084716.540000000037253,2103085.360000000335276,1906778.079999999841675,1952362.039999999804422,1969545.550000000279397,12316475.969999998807907
FS( 114 ),2327768.200000000186265,2161331.379999999888241,2122668.280000000260770,1924433.380000000121072,1982210.879999999888241,1987771.929999999934807,12506188.050000000745058
FS( 115 ),2342992.200000000186265,2220180.460000000428408,2165331.070000000298023,1912663.179999999934807,2029725.360000000102445,1989380.140000000130385,12660276.410000000149012
FS( 116 ),2314827.800000000279397,2191311.100000000093132,2158337.169999999925494,1895007.880000000121072,2055919.239999999990687,1962040.570000000298023,12577447.760000001639128
FS( 117 ),2308357.600000000093132,2255156.799999999813735,2175122.530000000260770,1904424.039999999804422,2139983.320000000298023,1969545.550000000279397,12752593.840000001713634
FS( 118 ),2291230.600000000093132,2277919.180000000167638,2139453.639999999664724,1889122.780000000027940,2104652.040000000037253,1980803.020000000251457,12683185.259999997913837
FS( 119 ),2253170.600000000093132,2225177.080000000074506,2098889.020000000484288,1872644.500000000000000,2016323.840000000083819,1953999.520000000251457,12420208.559999998658895
FS( 120 ),2198744.800000000279397,2158000.299999999813735,2025453.070000000065193,1853812.179999999934807,2019978.799999999813735,1929340.300000000279397,12185333.449999999254942
FS( 121 ),2199125.399999999906868,2151893.319999999832362,2050631.110000000102445,1873821.520000000018626,2010232.239999999990687,1965793.060000000288710,12251500.650000000372529
FS( 122 ),2196461.200000000186265,2141900.080000000074506,2063220.130000000121072,1876175.559999999823049,1976119.279999999795109,1938989.560000000288710,12192869.810000000521541
FS( 123 ),2357074.399999999906868,2145231.160000000149012,2075109.760000000242144,1883237.679999999934807,2024852.080000000074506,1967401.270000000251457,12452910.349999999627471
FS( 124 ),2381052.200000000186265,2108034.100000000093132,2039440.870000000111759,1869113.439999999944121,2036426.119999999878928,1951319.169999999925494,12385389.900000000372529
FS( 125 ),2306454.600000000093132,2119692.879999999888241,1970900.650000000139698,1876175.559999999823049,2010232.239999999990687,1932556.719999999972060,12216016.650000000372529
