代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11637402.300000000745058
真實報酬,1637402.300000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12453.248969285548810
風險,247527.039809192559915
起點值,0.050310660923692
找到最佳解世代,2257
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),CSCO[4](3),MCD[15](1),
FS( 31 ),3722806.830000000540167,3369062.240000000223517,3378867.059999999590218,10470737.129999998956919
FS( 32 ),3694259.010000000242144,3362757.080000000074506,3373029.359999999869615,10430046.449999999254942
FS( 33 ),3694259.010000000242144,3331231.279999999795109,3405331.299999999813735,10430822.589999999850988
FS( 34 ),3554238.750000000000000,3154686.799999999813735,3331776.279999999795109,10040702.830000000074506
FS( 35 ),3457040.220000000204891,3169398.840000000316650,3394823.439999999944121,10021263.500000000000000
FS( 36 ),3461118.480000000447035,3154686.799999999813735,3415449.979999999981374,10031256.259999999776483
FS( 37 ),3627647.430000000167638,3245060.759999999776483,3484334.839999999850988,10357044.029999999329448
FS( 38 ),3652796.700000000186265,3249264.200000000186265,3507685.639999999664724,10409747.539999999105930
FS( 39 ),3629006.850000000093132,3169398.840000000316650,3452422.079999999608845,10250828.769999999552965
FS( 40 ),3724845.959999999962747,3219840.120000000111759,3499902.040000000037253,10444589.120000001043081
FS( 41 ),3786699.570000000298023,3308112.360000000335276,3533371.520000000018626,10628184.450000001117587
FS( 42 ),3786699.570000000298023,3284993.440000000409782,3532982.339999999850988,10604676.350000001490116
FS( 43 ),3737080.739999999757856,3293400.319999999832362,3518582.679999999701977,10549064.739999998360872
FS( 44 ),3699696.689999999944121,3324926.120000000111759,3505350.559999999590218,10529974.370000001043081
FS( 45 ),3632405.399999999906868,3238755.600000000093132,3467210.919999999925494,10338372.919999999925494
FS( 46 ),3687461.910000000149012,3211433.239999999757856,3456703.059999999590218,10355599.210000000894070
FS( 47 ),3728244.510000000242144,3337536.440000000409782,3474994.520000000018626,10540776.470000000670552
FS( 48 ),3730283.640000000130385,3423706.959999999962747,3448530.279999999795109,10602521.879999998956919
FS( 49 ),3665711.189999999944121,3324926.120000000111759,3309203.839999999850988,10299842.150000000372529
FS( 50 ),3689501.040000000037253,3381672.560000000055879,3354348.719999999739230,10425523.320000000298023
FS( 51 ),3735041.610000000335276,3436317.280000000260770,3351624.459999999962747,10522984.350000001490116
FS( 52 ),3779902.470000000204891,3432113.839999999850988,3376142.799999999813735,10588160.109999999403954
FS( 53 ),3815927.100000000093132,3503572.320000000298023,3427514.559999999590218,10747014.980000000447035
FS( 54 ),3888656.070000000298023,3493063.720000000204891,3436076.520000000018626,10817797.310000000521541
FS( 55 ),3996729.959999999962747,3469944.800000000279397,3456313.879999999888241,10922989.640000000596046
FS( 56 ),4014402.420000000391155,3474148.240000000223517,3475772.879999999888241,10964324.539999999105930
FS( 57 ),4002167.640000000130385,3329129.560000000055879,3406109.659999999683350,10737407.859999999403954
FS( 58 ),3901570.560000000055879,3221941.840000000316650,3346565.119999999646097,10470078.519999999552965
FS( 59 ),3926040.120000000111759,3280790.000000000000000,3400271.959999999962747,10607103.080000000074506
FS( 60 ),3915164.760000000242144,3360655.360000000335276,3476940.419999999925494,10752761.540000000968575
FS( 61 ),3877101.000000000000000,3377469.120000000111759,3492507.619999999646097,10747078.740000000223517
FS( 62 ),3855350.280000000260770,3329129.560000000055879,3425957.839999999850988,10610438.679999999701977
FS( 63 ),3792816.959999999962747,3331231.279999999795109,3455146.339999999850988,10579195.580000000074506
FS( 64 ),3702415.530000000260770,3257671.080000000074506,3417785.059999999590218,10377872.669999999925494
FS( 65 ),3637163.370000000111759,3192517.759999999776483,3347732.659999999683350,10177414.789999999105930
FS( 66 ),3616772.070000000298023,3274484.840000000316650,3365634.939999999944121,10256892.849999999627471
FS( 67 ),3673188.000000000000000,3396384.600000000093132,3340338.239999999757856,10409911.839999999850988
FS( 68 ),3664351.770000000018626,3520386.080000000074506,3390153.279999999795109,10574892.129999998956919
FS( 69 ),3590943.089999999850988,3501470.600000000093132,3393655.899999999906868,10486070.589999999850988
FS( 70 ),3775144.500000000000000,3591844.560000000055879,3444638.479999999981374,10811628.540000000968575
FS( 71 ),3886616.939999999944121,3570827.359999999869615,3476940.419999999925494,10934385.719999998807907
FS( 72 ),3905648.820000000298023,3625472.080000000074506,3438800.779999999795109,10969922.679999999701977
FS( 73 ),3966143.010000000242144,3661201.320000000298023,3475772.879999999888241,11103118.210000000894070
FS( 74 ),4098006.750000000000000,3688523.680000000167638,3500291.219999999739230,11286822.649999998509884
FS( 75 ),4078295.160000000149012,3608658.320000000298023,3450476.179999999701977,11137430.660000000149012
FS( 76 ),4100045.880000000353903,3680116.800000000279397,3488615.819999999832362,11268779.500000000000000
FS( 77 ),3870983.610000000335276,3606556.600000000093132,3487837.459999999962747,10965378.670000001788139
FS( 78 ),3838357.530000000260770,3612861.760000000242144,3464097.479999999981374,10915317.770000001415610
FS( 79 ),3814567.680000000167638,3652794.439999999944121,3592916.059999999590218,11060279.179999999701977
FS( 80 ),3940314.030000000260770,3686421.959999999962747,3580851.479999999981374,11207588.470000000670552
FS( 81 ),3862147.380000000353903,3703235.720000000204891,3571511.159999999683350,11136895.259999999776483
FS( 82 ),3890015.489999999757856,3701134.000000000000000,3571900.339999999850988,11163050.830000000074506
FS( 83 ),3929438.670000000391155,3875576.760000000242144,3639228.479999999981374,11444244.910000000149012
FS( 84 ),3932157.510000000242144,3900797.399999999906868,3630666.520000000018626,11463622.429999999701977
FS( 85 ),3930798.089999999850988,3894492.240000000223517,3613542.599999999627471,11438833.929999999701977
FS( 86 ),3849912.600000000093132,3696930.560000000055879,3576959.679999999701977,11123803.839999999850988
FS( 87 ),3858748.830000000540167,3751575.280000000260770,3601088.839999999850988,11211413.950000001117587
FS( 88 ),3913805.339999999850988,3820932.040000000037253,3619380.299999999813735,11354118.679999999701977
FS( 89 ),3886616.939999999944121,3789406.240000000223517,3650903.879999999888241,11326928.059999998658895
FS( 90 ),3881179.260000000242144,3785202.800000000279397,3682427.459999999962747,11348810.519999999552965
FS( 91 ),3944392.290000000037253,3848254.399999999906868,3681649.099999999627471,11474296.789999999105930
FS( 92 ),3838357.530000000260770,3701134.000000000000000,3605759.000000000000000,11145251.530000001192093
FS( 93 ),3740479.290000000037253,3911306.000000000000000,3629498.979999999981374,11281285.269999999552965
FS( 94 ),3735041.610000000335276,3997476.520000000018626,3687875.979999999981374,11420395.110000001266599
FS( 95 ),3682703.939999999944121,3980662.760000000242144,3660633.379999999888241,11324001.080000000074506
FS( 96 ),3775824.209999999962747,4018493.720000000204891,3676589.759999999776483,11470908.689999999478459
FS( 97 ),3736401.030000000260770,3951238.680000000167638,3625218.000000000000000,11312858.710000000894070
FS( 98 ),3665031.480000000447035,3883983.640000000130385,3591748.520000000018626,11140764.640000000596046
FS( 99 ),3640561.920000000391155,3871373.320000000298023,3609261.619999999646097,11121197.859999999403954
FS( 100 ),3583466.280000000260770,3783101.080000000074506,3591359.339999999850988,10957927.699999999254942
FS( 101 ),3656195.250000000000000,3766287.320000000298023,3605759.000000000000000,11028242.570000000298023
FS( 102 ),3563754.689999999944121,3659099.600000000093132,3575402.959999999962747,10798258.250000000000000
FS( 103 ),3530448.899999999906868,3678015.080000000074506,3584354.099999999627471,10792819.080000000074506
FS( 104 ),3652116.989999999757856,3785202.800000000279397,3648957.979999999981374,11086278.769999999552965
FS( 105 ),3623569.170000000391155,3715846.040000000037253,3637282.579999999608845,10976698.790000000968575
FS( 106 ),3711251.760000000242144,3917611.160000000149012,3717453.659999999683350,11346317.580000000074506
FS( 107 ),3766987.980000000447035,3905000.839999999850988,3716675.299999999813735,11388665.120000001043081
FS( 108 ),3783980.730000000447035,3898695.680000000167638,3724458.899999999906868,11407136.310000000521541
FS( 109 ),3815927.100000000093132,3949136.959999999962747,3710837.599999999627471,11475902.660000000149012
FS( 110 ),3796215.510000000242144,3936526.640000000130385,3736523.479999999981374,11469266.630000000819564
FS( 111 ),3777863.339999999850988,3991171.359999999869615,3753647.399999999906868,11522683.099999999627471
FS( 112 ),3793496.670000000391155,3902899.120000000111759,3771938.859999999869615,11468335.650000000372529
FS( 113 ),3822044.489999999757856,3968052.439999999944121,3815137.839999999850988,11605235.769999999552965
FS( 114 ),3805051.739999999757856,3894492.240000000223517,3832650.939999999944121,11532195.919999999925494
FS( 115 ),3775144.500000000000000,3881881.919999999925494,3813970.299999999813735,11470997.719999998807907
FS( 116 ),3691540.170000000391155,3778897.640000000130385,3798792.279999999795109,11269231.089999999850988
FS( 117 ),3679305.390000000130385,3791507.959999999962747,3819418.819999999832362,11290233.169999999925494
FS( 118 ),3699696.689999999944121,3770490.760000000242144,3794122.119999999646097,11264310.570000000298023
FS( 119 ),3711251.760000000242144,3717947.760000000242144,3784392.619999999646097,11213593.140000000596046
FS( 120 ),3844474.920000000391155,3869271.600000000093132,3845883.059999999590218,11559630.580000000074506
FS( 121 ),3849912.600000000093132,3766287.320000000298023,3860671.899999999906868,11476872.820000000298023
FS( 122 ),3870303.899999999906868,3810423.439999999944121,3837321.099999999627471,11518049.439999999478459
FS( 123 ),3916524.180000000167638,3881881.919999999925494,3897644.000000000000000,11696051.099999999627471
FS( 124 ),3947790.839999999850988,3905000.839999999850988,3913211.199999999720603,11766003.879999998956919
FS( 125 ),3909727.080000000540167,3816728.600000000093132,3875460.739999999757856,11601917.419999999925494
FS( 126 ),3933516.930000000167638,3835644.080000000074506,3923329.879999999888241,11692491.890000000596046
FS( 127 ),3932837.220000000204891,3799914.839999999850988,3904649.239999999757856,11637402.300000000745058
