代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12026758.970000002533197
真實報酬,2026758.970000002533197

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16228.055914642107382
風險,85401.724945666326676
起點值,0.190020235832082
找到最佳解世代,2198
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](8),DIS[6](7),KO[14](29),MCD[15](3),
FS( 20 ),2499327.310000000055879,2696989.520000000018626,2442426.620000000111759,2687744.530000000260770,10326487.980000000447035
FS( 21 ),2478249.689999999944121,2682107.069999999832362,2394943.419999999925494,2656342.419999999925494,10211642.599999999627471
FS( 22 ),2455154.000000000000000,2677236.449999999720603,2384259.700000000186265,2638525.620000000111759,10155175.769999999552965
FS( 23 ),2464347.430000000167638,2665330.489999999757856,2395536.959999999962747,2633403.290000000037253,10158618.169999999925494
FS( 24 ),2446633.259999999776483,2704836.629999999422580,2410969.000000000000000,2656787.840000000316650,10219226.729999998584390
FS( 25 ),2465468.580000000074506,2723777.929999999701977,2408001.299999999813735,2655897.000000000000000,10253144.809999998658895
FS( 26 ),2489685.419999999925494,2759766.399999999441206,2450736.180000000167638,2670818.569999999832362,10371006.570000000298023
FS( 27 ),2514126.490000000223517,2797378.409999999683350,2432336.439999999944121,2682622.200000000186265,10426463.539999999105930
FS( 28 ),2555160.580000000074506,2837425.729999999515712,2492877.520000000018626,2700661.709999999962747,10586125.539999999105930
FS( 29 ),2540585.629999999888241,2815778.529999999795109,2486942.120000000111759,2711351.790000000037253,10554658.070000000298023
FS( 30 ),2582965.100000000093132,2810096.139999999664724,2478632.560000000055879,2732286.530000000260770,10603980.330000001937151
FS( 31 ),2582965.100000000093132,2815507.939999999478459,2445987.859999999869615,2735849.890000000130385,10580310.789999999105930
FS( 32 ),2597091.589999999850988,2824708.000000000000000,2466168.219999999739230,2725159.810000000055879,10613127.619999999180436
FS( 33 ),2600455.040000000037253,2811719.679999999701977,2477445.479999999981374,2744758.290000000037253,10634378.489999998360872
FS( 34 ),2615478.450000000186265,2849331.689999999478459,2473290.700000000186265,2739190.540000000037253,10677291.379999998956919
FS( 35 ),2622429.580000000074506,2853661.129999999422580,2472697.159999999683350,2746762.680000000167638,10695550.549999998882413
FS( 36 ),2624896.109999999869615,2856367.029999999795109,2467355.299999999813735,2743422.030000000260770,10692040.469999998807907
FS( 37 ),2607630.399999999906868,2852578.770000000018626,2466168.219999999739230,2755448.370000000111759,10681825.759999999776483
FS( 38 ),2612787.689999999944121,2845272.839999999850988,2469135.919999999925494,2742531.189999999944121,10669727.639999998733401
FS( 39 ),2629380.709999999962747,2845814.020000000018626,2469729.459999999962747,2740972.219999999739230,10685896.410000000149012
FS( 40 ),2618169.209999999962747,2822272.689999999478459,2456671.580000000074506,2732286.530000000260770,10629400.009999999776483
FS( 41 ),2617496.520000000018626,2829308.029999999795109,2469135.919999999925494,2734736.340000000316650,10650676.810000000521541
FS( 42 ),2597091.589999999850988,2820107.969999999739230,2460826.359999999869615,2710906.370000000111759,10588932.289999999105930
FS( 43 ),2604491.180000000167638,2870437.709999999497086,2481006.719999999739230,2664137.270000000018626,10620072.879999998956919
FS( 44 ),2601576.189999999944121,2907237.949999999720603,2472103.620000000111759,2661019.330000000074506,10641937.089999999850988
FS( 45 ),2614805.759999999776483,2905614.409999999683350,2478039.020000000018626,2665918.950000000186265,10664378.140000000596046
FS( 46 ),2643955.659999999683350,2948908.810000000055879,2477445.479999999981374,2689526.209999999962747,10759836.160000000149012
FS( 47 ),2668172.500000000000000,2932132.229999999515712,2452516.799999999813735,2682176.780000000260770,10734998.309999998658895
FS( 48 ),2670863.259999999776483,2932673.409999999683350,2435897.680000000167638,2678168.000000000000000,10717602.349999999627471
FS( 49 ),2685213.979999999981374,2961355.949999999720603,2436491.219999999739230,2692198.729999999981374,10775259.879999998956919
FS( 50 ),2674002.479999999981374,2909673.259999999776483,2430555.820000000298023,2719369.350000000093132,10733600.910000000149012
FS( 51 ),2669293.649999999906868,2924014.529999999795109,2426401.040000000037253,2706006.750000000000000,10725715.969999998807907
FS( 52 ),2690819.729999999981374,2921579.219999999739230,2446581.399999999906868,2733845.500000000000000,10792825.849999999627471
FS( 53 ),2690595.500000000000000,2926720.429999999701977,2450736.180000000167638,2732954.659999999683350,10801006.769999999552965
FS( 54 ),2685886.669999999925494,2902908.509999999776483,2441833.080000000074506,2721151.030000000260770,10751779.289999999105930
FS( 55 ),2690819.729999999981374,2913190.929999999701977,2452516.799999999813735,2722932.709999999962747,10779460.169999999925494
FS( 56 ),2692613.569999999832362,2898579.069999999832362,2459045.740000000223517,2703334.229999999981374,10753572.609999999403954
FS( 57 ),2690147.040000000037253,2919685.089999999850988,2486942.120000000111759,2695984.799999999813735,10792759.050000000745058
FS( 58 ),2732974.969999999739230,2923473.350000000093132,2500000.000000000000000,2712465.340000000316650,10868913.660000000149012
FS( 59 ),2734320.350000000093132,2924014.529999999795109,2481600.260000000242144,2714469.729999999981374,10854404.870000001043081
FS( 60 ),2734544.580000000074506,2957567.689999999478459,2460232.820000000298023,2736295.310000000055879,10888640.400000000372529
FS( 61 ),2727369.219999999739230,3001944.449999999720603,2456078.040000000037253,2739858.669999999925494,10925250.379999998956919
FS( 62 ),2721090.779999999795109,2994097.339999999850988,2467355.299999999813735,2729836.719999999739230,10912380.139999998733401
FS( 63 ),2887020.979999999981374,3011685.689999999478459,2448955.560000000055879,2726496.069999999832362,11074158.300000000745058
FS( 64 ),2882087.919999999925494,2993014.979999999515712,2457265.120000000111759,2744312.870000000111759,11076680.890000000596046
FS( 65 ),2894420.570000000298023,2984626.689999999478459,2465574.680000000167638,2767029.290000000037253,11111651.230000000447035
FS( 66 ),2921552.399999999906868,2964873.619999999646097,2466761.760000000242144,2771706.200000000186265,11124893.980000000447035
FS( 67 ),2949356.919999999925494,2949449.989999999757856,2486942.120000000111759,2774824.140000000130385,11160573.169999999925494
FS( 68 ),2960792.649999999906868,2949449.989999999757856,2494064.600000000093132,2776605.819999999832362,11180913.060000000521541
FS( 69 ),2969313.389999999664724,2962708.899999999441206,2448362.020000000018626,2772374.330000000074506,11152758.639999998733401
FS( 70 ),2962586.490000000223517,2956485.330000000074506,2408594.839999999850988,2802217.469999999739230,11129884.129999998956919
FS( 71 ),2988821.399999999906868,2967038.339999999850988,2410969.000000000000000,2795981.590000000316650,11162810.330000000074506
FS( 72 ),3027613.190000000409782,2985438.459999999497086,2405627.140000000130385,2801994.760000000242144,11220673.550000000745058
FS( 73 ),3038600.459999999962747,2981379.609999999869615,2400285.279999999795109,2816916.330000000074506,11237181.679999999701977
FS( 74 ),3035012.779999999795109,2995720.879999999422580,2445394.320000000298023,2821815.950000000186265,11297943.929999999701977
FS( 75 ),3043309.290000000037253,2978132.529999999795109,2447174.939999999944121,2846314.049999999813735,11314930.809999998658895
FS( 76 ),3065283.829999999608845,2976779.580000000074506,2460826.359999999869615,2851659.089999999850988,11354548.859999999403954
FS( 77 ),3074477.260000000242144,2979756.069999999832362,2469135.919999999925494,2847427.600000000093132,11370796.849999999627471
FS( 78 ),3061471.919999999925494,2969203.060000000055879,2472697.159999999683350,2856781.420000000391155,11360153.560000000521541
FS( 79 ),3064386.909999999683350,2985167.869999999646097,2479819.640000000130385,2865244.399999999906868,11394618.820000000298023
FS( 80 ),3070441.120000000111759,2982732.560000000055879,2473290.700000000186265,2828274.540000000037253,11354738.919999998062849
FS( 81 ),3071786.500000000000000,2978944.299999999813735,2490503.359999999869615,2842973.399999999906868,11384207.560000000521541
FS( 82 ),3134570.899999999906868,3004650.350000000093132,2502374.159999999683350,2874152.800000000279397,11515748.210000000894070
FS( 83 ),3115959.810000000055879,2992473.799999999813735,2520773.899999999906868,2855890.579999999608845,11485098.089999999850988
FS( 84 ),3134346.669999999925494,3010062.149999999441206,2521367.439999999944121,2848541.149999999906868,11514317.410000000149012
FS( 85 ),3124480.550000000279397,2994638.520000000018626,2503561.240000000223517,2851436.379999999888241,11474116.690000001341105
FS( 86 ),3128516.690000000409782,2999779.729999999515712,2492283.979999999981374,2852327.219999999739230,11472907.620000001043081
FS( 87 ),3116856.729999999981374,2999238.549999999813735,2492283.979999999981374,2852772.640000000130385,11461151.900000000372529
FS( 88 ),3109681.370000000111759,3004379.759999999776483,2494658.140000000130385,2853886.189999999478459,11462605.459999999031425
FS( 89 ),3119995.949999999720603,3001403.270000000018626,2510090.180000000167638,2850322.830000000074506,11481812.230000000447035
FS( 90 ),3121341.329999999608845,3017638.669999999459833,2494658.140000000130385,2842082.560000000055879,11475720.699999999254942
FS( 91 ),3116632.500000000000000,3039015.279999999795109,2491096.899999999906868,2846314.049999999813735,11493058.730000000447035
FS( 92 ),3149594.310000000055879,3027109.319999999832362,2500000.000000000000000,2848095.729999999981374,11524799.359999999403954
FS( 93 ),3154751.600000000093132,3022779.879999999422580,2507716.020000000018626,2850322.830000000074506,11535570.330000000074506
FS( 94 ),3139055.500000000000000,3024132.830000000074506,2494658.140000000130385,2865021.689999999478459,11522868.160000000149012
FS( 95 ),3172017.310000000055879,3049838.879999999422580,2503561.240000000223517,2868139.629999999888241,11593557.059999998658895
FS( 96 ),3135692.050000000279397,3023862.239999999757856,2522554.520000000018626,2862349.170000000391155,11544457.980000000447035
FS( 97 ),3171120.389999999664724,3032791.709999999497086,2515432.040000000037253,2875266.350000000093132,11594610.490000000223517
FS( 98 ),3159908.889999999664724,3037121.149999999441206,2502967.700000000186265,2873039.250000000000000,11573036.989999998360872
FS( 99 ),3153630.449999999720603,3034415.250000000000000,2500000.000000000000000,2880611.390000000130385,11568657.089999999850988
FS( 100 ),3159011.969999999739230,3040909.409999999683350,2511870.799999999813735,2883952.040000000037253,11595744.219999998807907
FS( 101 ),3224487.130000000353903,3059038.939999999478459,2518399.740000000223517,2883061.199999999720603,11684987.009999999776483
FS( 102 ),3231662.490000000223517,3044968.259999999776483,2517806.200000000186265,2869475.890000000130385,11663912.839999999850988
FS( 103 ),3227402.120000000111759,3062556.609999999869615,2528489.919999999925494,2880165.969999999739230,11698614.620000001043081
FS( 104 ),3221347.909999999683350,3068239.000000000000000,2518993.279999999795109,2886624.560000000521541,11695204.750000000000000
FS( 105 ),3222244.829999999608845,3063097.790000000037253,2517212.659999999683350,2886624.560000000521541,11689179.839999999850988
FS( 106 ),3246237.440000000409782,3058768.350000000093132,2533238.240000000223517,2879497.839999999850988,11717741.870000001043081
FS( 107 ),3229420.190000000409782,3057685.989999999757856,2526709.299999999813735,2904441.359999999869615,11718256.839999999850988
FS( 108 ),3221347.909999999683350,3059038.939999999478459,2532644.700000000186265,2898650.899999999906868,11711682.450000001117587
FS( 109 ),3214172.550000000279397,3046321.209999999497086,2529083.459999999962747,2894419.410000000149012,11683996.629999998956919
FS( 110 ),3210360.639999999664724,3042262.359999999869615,2533831.779999999795109,2894864.829999999608845,11681319.609999999403954
FS( 111 ),3175829.219999999739230,3059580.119999999646097,2532051.159999999683350,2922035.449999999720603,11689495.949999999254942
FS( 112 ),3179641.130000000353903,3058768.350000000093132,2548670.279999999795109,2923371.709999999962747,11710451.469999998807907
FS( 113 ),3162823.880000000353903,3063097.790000000037253,2539767.180000000167638,2912236.209999999962747,11677925.059999998658895
FS( 114 ),3180313.820000000298023,3078792.009999999776483,2556386.299999999813735,2925376.100000000093132,11740868.229999998584390
FS( 115 ),3166187.329999999608845,3089886.199999999720603,2580721.439999999944121,2946533.550000000279397,11783328.519999999552965
FS( 116 ),3154527.370000000111759,3077439.060000000055879,2565882.939999999944121,2954105.689999999478459,11751955.059999998658895
FS( 117 ),3193991.850000000093132,3106121.600000000093132,2557573.380000000353903,2968136.420000000391155,11825823.250000000000000
FS( 118 ),3190179.940000000409782,3096650.949999999720603,2556386.299999999813735,2971254.359999999869615,11814471.550000000745058
FS( 119 ),3220899.449999999720603,3076627.290000000037253,2568850.640000000130385,2989516.579999999608845,11855893.960000000894070
FS( 120 ),3240855.919999999925494,3116674.609999999869615,2558760.459999999962747,3155880.949999999720603,12072171.939999997615814
FS( 121 ),3221796.370000000111759,3127498.209999999497086,2566476.479999999981374,3136727.890000000130385,12052498.950000001117587
FS( 122 ),3224262.899999999906868,3134533.549999999813735,2552825.060000000055879,3137396.020000000018626,12049017.529999999329448
FS( 123 ),3221123.680000000167638,3128039.389999999664724,2561134.620000000111759,3116461.280000000260770,12026758.970000002533197
