代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12043299.870000001043081
真實報酬,2043299.870000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16440.050337383716396
風險,71994.665120824778569
起點值,0.228350952251716
找到最佳解世代,2494
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,10
AAPL[0](8),BA[2](3),CVX[5](10),DD[7](12),HD[9](14),MCD[15](5),MSFT[18](4),PFE[20](15),UNH[23](6),V[25](2),
FS( 27 ),1122358.080000000074506,1179850.200000000186265,1043178.130000000004657,993081.970000000088476,1008116.250000000000000,1015867.939999999944121,1063076.699999999953434,989059.840000000083819,1043820.260000000009313,1081625.439999999944121,10540034.810000000521541
FS( 28 ),1082361.760000000009313,1172650.149999999906868,1035840.670000000041910,986932.610000000102445,999155.910000000032596,1027014.840000000083819,1047527.559999999939464,988172.800000000046566,1031713.439999999944121,1065771.679999999934807,10437141.419999999925494
FS( 29 ),1097412.639999999897555,1182720.149999999906868,1027562.510000000009313,989348.430000000051223,1005648.910000000032596,1031473.600000000093132,1063516.770000000018626,983146.239999999990687,1034124.089999999967404,1072198.880000000121072,10487152.220000000670552
FS( 30 ),1113926.800000000046566,1194149.600000000093132,1022670.869999999995343,991654.439999999944121,1001623.250000000000000,1031211.319999999948777,1079505.979999999981374,984920.320000000065193,1037820.420000000041910,1091266.239999999990687,10548749.240000002086163
FS( 31 ),1126120.800000000046566,1204320.299999999813735,1021353.890000000013970,995717.410000000032596,975066.880000000004657,1033571.840000000083819,1074078.449999999953434,986990.080000000074506,1042052.449999999953434,1099407.360000000102445,10558679.459999997168779
FS( 32 ),1121591.599999999860302,1196365.000000000000000,1005079.780000000027940,1000000.000000000000000,988572.320000000065193,1041964.800000000046566,1080386.120000000111759,986398.719999999972060,1038141.839999999967404,1106798.639999999897555,10565298.820000000298023
FS( 33 ),1100060.479999999981374,1186295.000000000000000,996425.340000000083819,988030.709999999962747,971820.380000000004657,1035342.229999999864958,1062049.870000000111759,974275.840000000083819,1032409.849999999860302,1094372.719999999972060,10441082.419999999925494
FS( 34 ),1097552.000000000000000,1187201.299999999813735,1001693.260000000009313,991544.630000000121072,957665.640000000130385,1034489.819999999948777,1063370.079999999841675,965996.800000000046566,1022338.689999999944121,1098121.920000000158325,10419974.140000000596046
FS( 35 ),1095531.280000000027940,1186748.149999999906868,995108.359999999986030,998682.280000000027940,968768.670000000041910,1038424.020000000135042,1058382.620000000111759,968657.919999999925494,1028820.659999999916181,1105727.439999999944121,10444851.399999998509884
FS( 36 ),1113439.040000000037253,1207240.600000000093132,1000564.420000000041910,1013067.390000000013970,973378.700000000069849,1046816.979999999864958,1073198.310000000055879,980189.439999999944121,1043605.979999999864958,1114832.639999999897555,10566333.500000000000000
FS( 37 ),1114832.639999999897555,1198882.500000000000000,1002916.170000000041910,1009992.709999999962747,968119.369999999995343,1041374.670000000041910,1066743.949999999953434,982850.560000000055879,1040659.630000000004657,1105298.960000000195578,10531671.160000002011657
FS( 38 ),1109885.360000000102445,1202155.250000000000000,1010723.979999999981374,1006368.979999999981374,962600.320000000065193,1038751.869999999995343,1066303.879999999888241,982554.879999999888241,1043391.699999999953434,1105727.439999999944121,10528463.660000000149012
FS( 39 ),1113996.479999999981374,1187805.500000000000000,1018155.510000000009313,1009333.849999999976717,971690.520000000135042,1041440.239999999990687,1068210.849999999860302,987285.760000000009313,1041302.469999999972060,1107120.000000000000000,10546341.180000001564622
FS( 40 ),1125214.959999999962747,1194300.649999999906868,1013734.220000000088476,1011420.239999999990687,982988.339999999967404,1047013.689999999944121,1068357.540000000037253,989651.199999999953434,1045213.079999999958090,1111726.160000000149012,10589620.080000000074506
FS( 41 ),1135248.879999999888241,1210966.500000000000000,1014674.920000000041910,1004392.399999999906868,972924.190000000060536,1045112.159999999916181,1071584.719999999972060,990538.239999999990687,1053998.559999999823049,1111619.040000000037253,10611059.609999999403954
FS( 42 ),1138314.800000000046566,1210815.450000000186265,1013452.010000000009313,1014934.160000000032596,973963.070000000065193,1046095.709999999962747,1085666.960000000195578,989059.840000000083819,1049445.109999999869615,1111190.560000000055879,10632937.669999999925494
FS( 43 ),1142844.000000000000000,1206787.450000000186265,1012417.240000000107102,1042386.660000000032596,973118.980000000097789,1048980.790000000037253,1096815.399999999906868,1002956.800000000046566,1065623.250000000000000,1108941.040000000037253,10700871.610000003129244
FS( 44 ),1143192.400000000139698,1210160.899999999906868,1023141.220000000088476,1050622.410000000149012,979027.610000000102445,1047931.670000000041910,1084640.129999999888241,1004139.520000000018626,1070176.699999999953434,1113011.600000000093132,10726044.159999998286366
FS( 45 ),1129465.440000000176951,1193394.350000000093132,1029537.979999999981374,1016251.880000000121072,992987.560000000055879,1043276.199999999953434,1079799.360000000102445,999408.639999999897555,1067819.619999999878928,1103477.920000000158325,10655418.950000001117587
FS( 46 ),1128280.879999999888241,1181411.049999999813735,1051644.430000000167638,1014494.919999999925494,1016557.150000000023283,1037506.040000000037253,1076718.870000000111759,1005026.560000000055879,1062837.609999999869615,1105298.960000000195578,10679776.470000000670552
FS( 47 ),1123751.679999999934807,1189920.200000000186265,1051738.500000000000000,1011530.050000000046566,1025452.560000000055879,1048521.800000000046566,1090507.729999999981374,1005026.560000000055879,1061712.639999999897555,1120081.520000000018626,10728243.240000000223517
FS( 48 ),1105425.840000000083819,1202356.649999999906868,1042143.359999999986030,1014165.489999999990687,1036685.450000000069849,1047275.970000000088476,1085226.890000000130385,1008279.040000000037253,1059462.699999999953434,1118688.960000000195578,10719710.350000001490116
FS( 49 ),1125424.000000000000000,1211470.000000000000000,1058511.540000000037253,1045461.340000000083819,1028309.480000000097789,1059209.709999999962747,1096668.710000000195578,1014784.000000000000000,1069266.010000000009313,1137113.600000000093132,10846218.390000000596046
FS( 50 ),1120964.479999999981374,1211419.649999999906868,1058229.330000000074506,1071596.120000000111759,1038308.700000000069849,1025113.310000000055879,1095495.190000000176951,1045830.399999999906868,1057962.739999999990687,1137756.320000000065193,10862676.240000000223517
FS( 51 ),1112533.199999999953434,1218216.899999999906868,1074127.160000000149012,1086859.709999999962747,1039022.930000000167638,1029506.500000000000000,1103269.760000000009313,1036664.320000000065193,1062569.760000000009313,1133685.760000000009313,10896456.000000000000000
FS( 52 ),1102987.040000000037253,1234832.399999999906868,1076667.050000000279397,1094985.649999999906868,1034867.410000000032596,1029506.500000000000000,1096815.399999999906868,1056474.879999999888241,1059355.559999999823049,1136363.760000000009313,10922855.650000002235174
FS( 53 ),1114135.840000000083819,1253814.350000000093132,1078360.310000000055879,1092569.830000000074506,1028504.270000000135042,1028981.939999999944121,1104736.660000000149012,1045534.719999999972060,1061766.209999999962747,1128008.399999999906868,10936412.530000003054738
FS( 54 ),1105704.559999999823049,1274357.149999999906868,1083628.229999999981374,1091142.299999999813735,1024673.400000000023283,1027408.260000000009313,1102536.310000000055879,1051152.639999999897555,1061819.780000000027940,1122973.760000000009313,10945396.390000000596046
FS( 55 ),1106122.639999999897555,1271235.450000000186265,1094446.280000000260770,1095534.700000000186265,1023699.450000000069849,1032326.010000000009313,1106643.629999999888241,1048195.840000000083819,1042856.000000000000000,1129186.719999999972060,10950246.720000000670552
FS( 56 ),1087587.760000000009313,1286340.450000000186265,1094728.490000000223517,1101135.009999999776483,1030322.310000000055879,1048390.659999999916181,1099309.129999999888241,1064162.560000000055879,1048748.699999999953434,1129186.719999999972060,10989911.789999999105930
FS( 57 ),1068913.520000000018626,1289260.750000000000000,1095669.189999999944121,1099707.479999999981374,1033633.740000000107102,1042817.209999999962747,1088600.760000000009313,1063571.199999999953434,1045855.920000000041910,1128115.520000000018626,10956145.289999999105930
FS( 58 ),1058461.520000000018626,1291325.100000000093132,1103382.930000000167638,1094107.169999999925494,1038698.280000000027940,1042030.369999999995343,1091534.560000000055879,1063275.520000000018626,1034177.659999999916181,1130793.520000000018626,10947786.630000000819564
FS( 59 ),1049124.400000000139698,1280600.549999999813735,1109967.830000000074506,1100036.910000000149012,1046035.369999999995343,1024654.319999999948777,1074665.210000000195578,1049969.919999999925494,1027320.699999999953434,1103585.040000000037253,10865960.250000000000000
FS( 60 ),1067171.520000000018626,1277478.850000000093132,1105546.540000000037253,1084553.700000000186265,1047074.250000000000000,1005573.449999999953434,1074665.210000000195578,1043760.639999999897555,1032409.849999999860302,1102728.080000000074506,10840962.089999999850988
FS( 61 ),1074766.639999999897555,1285434.149999999906868,1104888.050000000279397,1075988.520000000018626,1044866.630000000004657,1010163.350000000093132,1083319.919999999925494,1048195.840000000083819,1041998.880000000004657,1112904.479999999981374,10882526.460000000894070
FS( 62 ),1068147.040000000037253,1280348.799999999813735,1106487.240000000223517,1080051.489999999757856,1054216.550000000046566,1032719.430000000051223,1083613.300000000046566,1052631.040000000037253,1050623.649999999906868,1120295.760000000009313,10929134.300000000745058
FS( 63 ),1074000.159999999916181,1280046.700000000186265,1105358.399999999906868,1082686.930000000167638,1062008.150000000139698,1027408.260000000009313,1092708.079999999841675,1055587.840000000083819,1049284.399999999906868,1120295.760000000009313,10949384.680000001564622
FS( 64 ),1071840.080000000074506,1289009.000000000000000,1104699.910000000149012,1101244.819999999832362,1064994.930000000167638,1029244.220000000088476,1094468.360000000102445,1066528.000000000000000,1057802.030000000027940,1129508.080000000074506,11009339.429999999701977
FS( 65 ),1076508.639999999897555,1286340.450000000186265,1108368.640000000130385,1100366.339999999850988,1072461.879999999888241,1028588.520000000135042,1089334.210000000195578,1068597.760000000009313,1064176.859999999869615,1131114.880000000121072,11025858.180000001564622
FS( 66 ),1069540.639999999897555,1287850.949999999720603,1106110.959999999962747,1101793.870000000111759,1073241.040000000037253,1030883.470000000088476,1095641.879999999888241,1063275.520000000018626,1074087.309999999823049,1128115.520000000018626,11030541.160000000149012
FS( 67 ),1082849.520000000018626,1303610.500000000000000,1115517.959999999962747,1109919.810000000055879,1078630.229999999981374,1041309.100000000093132,1114418.199999999953434,1064458.239999999990687,1060266.250000000000000,1138077.679999999934807,11109057.489999998360872
FS( 68 ),1082222.400000000139698,1302049.649999999906868,1100937.109999999869615,1113763.160000000149012,1076877.120000000111759,1046554.699999999953434,1114858.270000000018626,1065936.639999999897555,1061123.369999999878928,1143326.560000000055879,11107648.980000000447035
FS( 69 ),1085985.120000000111759,1301093.000000000000000,1107333.870000000111759,1121010.620000000111759,1075968.100000000093132,1049964.340000000083819,1119112.280000000027940,1068597.760000000009313,1051695.050000000046566,1146325.920000000158325,11127086.060000002384186
FS( 70 ),1086403.199999999953434,1313881.899999999906868,1117587.500000000000000,1119253.660000000149012,1072396.949999999953434,1052980.560000000055879,1119112.280000000027940,1076285.439999999944121,1043016.709999999962747,1149539.520000000018626,11150457.719999998807907
FS( 71 ),1090932.400000000139698,1316449.750000000000000,1122573.209999999962747,1120022.330000000074506,1072981.320000000065193,1069832.050000000046566,1121019.250000000000000,1077763.840000000083819,1046123.769999999902211,1161644.080000000074506,11199342.000000000000000
FS( 72 ),1087100.000000000000000,1318816.200000000186265,1120785.879999999888241,1116618.220000000204891,1068695.940000000176951,1074815.369999999878928,1131287.550000000046566,1074807.040000000037253,1033588.389999999897555,1158109.120000000111759,11184623.710000000894070
FS( 73 ),1093998.320000000065193,1312925.250000000000000,1120974.020000000018626,1117057.459999999962747,1067916.780000000027940,1084388.590000000083819,1136715.079999999841675,1074511.360000000102445,1031445.589999999967404,1164000.719999999972060,11203933.170000001788139
FS( 74 ),1114135.840000000083819,1307940.600000000093132,1130098.810000000055879,1109260.950000000186265,1066293.530000000027940,1082028.069999999832362,1139062.120000000111759,1063866.879999999888241,1035088.349999999860302,1160144.399999999906868,11207919.550000000745058
FS( 75 ),1118246.959999999962747,1302251.049999999813735,1130945.439999999944121,1108492.279999999795109,1060644.620000000111759,1084585.300000000046566,1138181.979999999981374,1070371.840000000083819,1092354.679999999934807,1152003.280000000027940,11258077.429999997839332
FS( 76 ),1113299.679999999934807,1309400.750000000000000,1111472.950000000186265,1106954.939999999944121,1061293.919999999925494,1087011.390000000130385,1138475.360000000102445,1059431.679999999934807,1099533.059999999823049,1154788.399999999906868,11241662.130000002682209
FS( 77 ),1086960.639999999897555,1304365.750000000000000,1111943.300000000279397,1108602.089999999850988,1059930.390000000130385,1091798.000000000000000,1142876.060000000055879,1071554.560000000055879,1088926.199999999953434,1146433.040000000037253,11213390.030000001192093
FS( 78 ),1088842.000000000000000,1333115.600000000093132,1116082.379999999888241,1113214.109999999869615,1061164.060000000055879,1090486.600000000093132,1156078.160000000149012,1076876.800000000046566,1111639.879999999888241,1152110.399999999906868,11299609.990000000223517
FS( 79 ),1088284.559999999823049,1320880.549999999813735,1118810.410000000149012,1118924.229999999981374,1069669.890000000130385,1071077.880000000121072,1156371.540000000037253,1076285.439999999944121,1109068.520000000018626,1151896.160000000149012,11281269.179999999701977
FS( 80 ),1094764.800000000046566,1339409.350000000093132,1121632.510000000242144,1123865.680000000167638,1078045.860000000102445,1074618.659999999916181,1156811.610000000102445,1072441.600000000093132,1115175.500000000000000,1161322.719999999972060,11338088.290000002831221
FS( 81 ),1089956.879999999888241,1301244.050000000279397,1114200.979999999981374,1111786.580000000074506,1078305.580000000074506,1072651.560000000055879,1153437.739999999990687,1069189.119999999878928,1112014.869999999878928,1172891.679999999934807,11275679.039999999105930
FS( 82 ),1096924.879999999888241,1305523.799999999813735,1114200.979999999981374,1142423.569999999832362,1088564.520000000018626,1075471.069999999832362,1155344.710000000195578,1056770.560000000055879,1120532.500000000000000,1176212.399999999906868,11331968.990000000223517
FS( 83 ),1136224.400000000139698,1291375.449999999720603,1068106.680000000167638,1134407.439999999944121,1086551.690000000176951,1084519.729999999981374,1229423.160000000149012,1052631.040000000037253,1139014.149999999906868,1175248.320000000065193,11397502.060000000521541
FS( 84 ),1161796.959999999962747,1305423.100000000093132,1076102.629999999888241,1121010.620000000111759,1073370.900000000139698,1090027.609999999869615,1230596.679999999934807,1039325.439999999944121,1121818.179999999934807,1178783.280000000027940,11398255.399999998509884
FS( 85 ),1177962.719999999972060,1299028.649999999906868,1090213.129999999888241,1130893.520000000018626,1076422.610000000102445,1094486.369999999878928,1220181.690000000176951,1036664.320000000065193,1126264.489999999990687,1178140.560000000055879,11430258.060000000521541
FS( 86 ),1162981.520000000018626,1301646.850000000093132,1090307.200000000186265,1146596.350000000093132,1073825.410000000149012,1090945.590000000083819,1220181.690000000176951,1042577.919999999925494,1122568.159999999916181,1189816.639999999897555,11441447.330000001937151
FS( 87 ),1171482.479999999981374,1322441.399999999906868,1084945.209999999962747,1126610.930000000167638,1056489.100000000093132,1102289.199999999953434,1232943.719999999972060,1048491.520000000018626,1130978.649999999906868,1188852.560000000055879,11465524.769999999552965
FS( 88 ),1202072.000000000000000,1318010.600000000093132,1081746.830000000074506,1112884.680000000167638,1067397.340000000083819,1105895.550000000046566,1234263.929999999934807,1051152.639999999897555,1140460.540000000037253,1192923.120000000111759,11506807.230000000447035
FS( 89 ),1214266.000000000000000,1329691.799999999813735,1101031.180000000167638,1098499.569999999832362,1066293.530000000027940,1115206.489999999990687,1239104.699999999953434,1044352.000000000000000,1136442.790000000037253,1198921.840000000083819,11543809.899999998509884
FS( 90 ),1218168.080000000074506,1340063.899999999906868,1102912.580000000074506,1112555.250000000000000,1062657.449999999953434,1119796.390000000130385,1236170.899999999906868,1045534.719999999972060,1139549.849999999860302,1200742.880000000121072,11578152.000000001862645
FS( 91 ),1228132.320000000065193,1337244.299999999813735,1097550.589999999850988,1107394.180000000167638,1065189.720000000204891,1115403.199999999953434,1240424.910000000149012,1044943.360000000102445,1129210.840000000083819,1204813.439999999944121,11570306.860000001266599
FS( 92 ),1225623.840000000083819,1322793.850000000093132,1102912.580000000074506,1098279.950000000186265,1060125.180000000167638,1095076.500000000000000,1233530.479999999981374,1040803.840000000083819,1133442.869999999878928,1201278.479999999981374,11513867.570000000298023
FS( 93 ),1217192.559999999823049,1313479.100000000093132,1102348.160000000149012,1094216.979999999981374,1065579.300000000046566,1085831.130000000121072,1230303.300000000046566,1040212.479999999981374,1130817.939999999944121,1198493.360000000102445,11478474.309999998658895
FS( 94 ),1212314.959999999962747,1321384.050000000279397,1102818.510000000242144,1101903.680000000167638,1073630.620000000111759,1097502.590000000083819,1231183.440000000176951,1043760.639999999897555,1139335.569999999832362,1193351.600000000093132,11517185.660000002011657
FS( 95 ),1193989.120000000111759,1318060.949999999720603,1099902.339999999850988,1072364.790000000037253,1091226.650000000139698,1102354.770000000018626,1232943.719999999972060,1046126.080000000074506,1134246.419999999925494,1199564.560000000055879,11490779.399999998509884
FS( 96 ),1178241.440000000176951,1323599.450000000186265,1095481.050000000279397,1078623.959999999962747,1074409.780000000027940,1097174.739999999990687,1217247.890000000130385,1045534.719999999972060,1124335.969999999972060,1181032.800000000046566,11415681.800000002607703
FS( 97 ),1192316.800000000046566,1327828.850000000093132,1077795.890000000130385,1105307.790000000037253,1087590.570000000065193,1102223.630000000121072,1220475.070000000065193,1051448.320000000065193,1131139.359999999869615,1189281.040000000037253,11485407.320000000298023
FS( 98 ),1185697.199999999953434,1320578.449999999720603,1079112.870000000111759,1106296.080000000074506,1089148.890000000130385,1093240.540000000037253,1208739.870000000111759,1045830.399999999906868,1124550.250000000000000,1176426.639999999897555,11429621.190000001341105
FS( 99 ),1184512.639999999897555,1332511.399999999906868,1079206.939999999944121,1108053.040000000037253,1106744.919999999925494,1094617.510000000009313,1210646.840000000083819,1045239.040000000037253,1126425.199999999953434,1177819.200000000186265,11465776.729999996721745
FS( 100 ),1206531.520000000018626,1344394.000000000000000,1083440.089999999850988,1114422.020000000018626,1122393.050000000046566,1103600.600000000093132,1228102.949999999953434,1050856.959999999962747,1139014.149999999906868,1193887.200000000186265,11586642.539999999105930
FS( 101 ),1219213.280000000027940,1335129.600000000093132,1090401.270000000018626,1104099.879999999888241,1117198.650000000139698,1108518.350000000093132,1219154.860000000102445,1047604.479999999981374,1131621.489999999990687,1187138.639999999897555,11560080.500000000000000
FS( 102 ),1219282.959999999962747,1338805.149999999906868,1096045.470000000204891,1112884.680000000167638,1118951.760000000242144,1108911.770000000018626,1221355.210000000195578,1049378.560000000055879,1138532.020000000018626,1199457.439999999944121,11603605.019999997690320
FS( 103 ),1213151.120000000111759,1337294.649999999906868,1087391.030000000260770,1096742.609999999869615,1130833.949999999953434,1107928.219999999972060,1230303.300000000046566,1049378.560000000055879,1137942.750000000000000,1203849.360000000102445,11594815.549999998882413
FS( 104 ),1206043.760000000009313,1349429.000000000000000,1095481.050000000279397,1111786.580000000074506,1146482.080000000074506,1123533.880000000121072,1245118.989999999990687,1060023.040000000037253,1157977.929999999934807,1214347.120000000111759,11710223.429999999701977
FS( 105 ),1181028.639999999897555,1356024.850000000093132,1102348.160000000149012,1122547.959999999962747,1150897.320000000065193,1117567.010000000009313,1222528.729999999981374,1070667.520000000018626,1194084.109999999869615,1176855.120000000111759,11694549.419999998062849
FS( 106 ),1197542.800000000046566,1393787.350000000093132,1119374.830000000074506,1125403.020000000018626,1167584.330000000074506,1127664.790000000037253,1234704.000000000000000,1072145.919999999925494,1222422.639999999897555,1206098.880000000121072,11866728.560000000521541
FS( 107 ),1191968.400000000139698,1366497.649999999906868,1124266.470000000204891,1110468.859999999869615,1171480.129999999888241,1133566.090000000083819,1236024.210000000195578,1074807.040000000037253,1214976.409999999916181,1186174.560000000055879,11810229.820000000298023
FS( 108 ),1183258.400000000139698,1399678.300000000279397,1136777.780000000260770,1128038.459999999962747,1200568.770000000018626,1119009.550000000046566,1189376.790000000037253,1066232.320000000065193,1186262.889999999897555,1150824.960000000195578,11760028.220000002533197
FS( 109 ),1182143.520000000018626,1387443.250000000000000,1132544.629999999888241,1118814.419999999925494,1187258.120000000111759,1134352.930000000167638,1196857.979999999981374,1053518.080000000074506,1179138.080000000074506,1163143.760000000009313,11735214.770000001415610
FS( 110 ),1177753.679999999934807,1401188.799999999813735,1125207.169999999925494,1111566.959999999962747,1173947.470000000204891,1137565.859999999869615,1214314.090000000083819,1051448.320000000065193,1178334.530000000027940,1175569.679999999934807,11746896.559999998658895
FS( 111 ),1179913.760000000009313,1419818.300000000279397,1125395.310000000055879,1116178.979999999981374,1181739.070000000065193,1133828.369999999878928,1210060.079999999841675,1049674.239999999990687,1179459.500000000000000,1193351.600000000093132,11789419.210000000894070
FS( 112 ),1180262.159999999916181,1439605.850000000093132,1128123.339999999850988,1106186.270000000018626,1190894.199999999953434,1135402.050000000046566,1234557.310000000055879,1056770.560000000055879,1199601.819999999832362,1206206.000000000000000,11877609.560000000521541
