代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12045784.189999999478459
真實報酬,2045784.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15465.684978014109220
風險,146597.393007521313848
起點值,0.105497680829976
找到最佳解世代,2586
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),DIS[6](1),KO[14](2),TRV[22](9),VZ[26](3),WMT[28](11),
FS( 31 ),2139273.520000000018626,1842102.640000000130385,1728084.750000000000000,1661323.389999999897555,1743384.340000000083819,1641203.149999999906868,10755375.790000000968575
FS( 32 ),2139273.520000000018626,1830237.360000000102445,1723662.599999999627471,1664697.669999999925494,1744707.070000000298023,1630749.979999999981374,10733332.199999999254942
FS( 33 ),2196047.799999999813735,1840831.360000000102445,1729558.800000000046566,1662448.149999999906868,1748234.350000000093132,1628069.679999999934807,10805194.139999998733401
FS( 34 ),2213949.599999999627471,1832356.160000000149012,1734472.299999999580905,1663572.909999999683350,1747352.530000000260770,1624317.260000000009313,10816024.759999999776483
FS( 35 ),2201162.599999999627471,1833627.440000000176951,1747247.399999999906868,1645295.559999999823049,1753966.180000000167638,1623245.140000000130385,10804548.320000000298023
FS( 36 ),2189654.299999999813735,1834474.960000000195578,1754617.649999999906868,1630111.299999999813735,1748675.260000000009313,1625657.409999999916181,10783194.880000000819564
FS( 37 ),2177634.520000000018626,1849730.320000000065193,1756091.699999999953434,1636578.669999999925494,1738093.420000000158325,1628337.709999999962747,10786470.339999999850988
FS( 38 ),2217529.959999999962747,1880664.800000000279397,1766410.050000000046566,1654856.020000000018626,1734125.230000000214204,1640399.060000000055879,10893989.120000001043081
FS( 39 ),2244894.140000000130385,1870918.320000000065193,1765918.699999999720603,1644451.989999999757856,1704584.260000000009313,1637450.729999999981374,10868222.140000000596046
FS( 40 ),2256402.439999999944121,1843797.680000000167638,1785081.349999999627471,1652606.500000000000000,1686947.860000000102445,1640131.029999999795109,10864970.859999999403954
FS( 41 ),2228015.299999999813735,1822609.680000000167638,1813579.649999999674037,1649232.219999999739230,1678570.570000000298023,1630213.919999999925494,10822225.339999999850988
FS( 42 ),2190421.520000000018626,1855239.200000000186265,1818493.149999999674037,1664697.669999999925494,1685625.130000000121072,1640399.060000000055879,10854879.730000000447035
FS( 43 ),2260238.540000000037253,1857781.760000000242144,1821441.249999999767169,1668353.139999999897555,1698411.520000000251457,1644687.540000000037253,10950917.750000000000000
FS( 44 ),2299111.020000000018626,1834474.960000000195578,1812105.599999999860302,1666947.189999999944121,1695766.060000000288710,1625657.409999999916181,10934066.240000000223517
FS( 45 ),2280953.479999999981374,1819219.600000000093132,1804735.349999999627471,1665260.049999999813735,1692679.690000000176951,1615204.239999999990687,10878056.410000000149012
FS( 46 ),2315222.640000000130385,1825576.000000000000000,1805226.699999999953434,1655699.589999999850988,1660493.260000000009313,1626193.469999999972060,10888415.660000000149012
FS( 47 ),2324429.279999999795109,1784471.280000000027940,1790486.199999999720603,1632360.819999999832362,1651675.060000000288710,1611719.850000000093132,10795146.490000000223517
FS( 48 ),2296042.140000000130385,1737010.160000000149012,1769358.149999999674037,1623925.119999999878928,1622575.000000000000000,1606359.250000000000000,10655273.820000000298023
FS( 49 ),2287858.459999999962747,1753113.040000000037253,1771814.899999999906868,1635735.099999999860302,1648147.780000000260770,1602874.859999999869615,10699548.140000000596046
FS( 50 ),2275327.199999999720603,1786166.320000000065193,1774271.649999999674037,1661885.770000000018626,1655643.250000000000000,1611987.879999999888241,10765286.070000000298023
FS( 51 ),2211136.459999999962747,1773453.520000000251457,1767392.749999999767169,1634329.149999999906868,1642856.860000000102445,1602070.770000000018626,10631243.509999999776483
FS( 52 ),2119581.540000000037253,1765402.080000000074506,1779676.499999999767169,1663572.909999999683350,1650352.330000000074506,1623781.199999999953434,10602370.559999998658895
FS( 53 ),2227503.819999999832362,1808625.600000000093132,1817019.099999999627471,1686911.679999999934807,1664020.540000000270084,1658357.069999999832362,10862441.810000000521541
FS( 54 ),2222644.759999999776483,1800574.160000000149012,1822423.949999999953434,1672289.799999999813735,1660493.260000000009313,1663449.640000000130385,10841879.570000000298023
FS( 55 ),2146178.500000000000000,1783200.000000000000000,1813579.649999999674037,1734995.169999999925494,1682097.850000000093132,1655140.709999999962747,10815195.879999998956919
FS( 56 ),2093240.319999999832362,1794641.520000000251457,1821441.249999999767169,1764520.119999999878928,1707670.630000000121072,1673902.810000000055879,10855420.650000000372529
FS( 57 ),2088637.000000000000000,1780233.680000000167638,1810631.549999999813735,1769019.159999999683350,1700616.070000000298023,1595906.079999999841675,10745047.540000000968575
FS( 58 ),2046951.380000000121072,1787437.600000000093132,1820949.899999999906868,1781953.899999999906868,1741620.700000000186265,1548464.770000000018626,10727382.250000000000000
FS( 59 ),2228526.779999999795109,1809473.120000000344589,1841095.249999999767169,1793482.689999999944121,1740738.880000000121072,1537475.540000000037253,10950796.260000001639128
FS( 60 ),2220087.359999999869615,1837441.280000000027940,1859766.549999999813735,1821320.499999999767169,1769838.940000000176951,1580092.310000000055879,11088550.939999999478459
FS( 61 ),2202952.779999999795109,1837017.520000000251457,1882859.999999999767169,1799950.060000000055879,1773807.130000000121072,1582236.550000000046566,11078828.040000000968575
FS( 62 ),2133647.240000000223517,1826847.280000000027940,1874998.399999999674037,1808666.949999999720603,1780420.780000000260770,1579020.189999999944121,11003604.839999997988343
FS( 63 ),2126742.259999999776483,1855662.960000000195578,1890230.249999999767169,1816540.269999999785796,1788357.160000000381842,1583308.669999999925494,11060845.570000000298023
FS( 64 ),2140807.959999999962747,1845068.960000000195578,1895635.099999999627471,1820476.929999999701977,1790120.800000000279397,1581700.489999999990687,11073814.240000000223517
FS( 65 ),2125719.299999999813735,1856510.480000000214204,1902513.999999999767169,1820758.119999999878928,1791884.440000000176951,1581164.429999999934807,11078554.769999999552965
FS( 66 ),2065108.919999999925494,1819219.600000000093132,1891704.299999999813735,1813728.369999999878928,1775129.860000000102445,1573391.560000000055879,10938286.610000001266599
FS( 67 ),2080453.319999999832362,1856934.240000000223517,1898583.199999999953434,1816259.080000000074506,1787034.430000000167638,1586525.029999999795109,11025793.299999998882413
FS( 68 ),2075850.000000000000000,1877274.719999999972060,1895143.749999999767169,1810635.279999999795109,1787916.250000000000000,1582772.609999999869615,11029596.609999999403954
FS( 69 ),2079430.359999999869615,1907785.440000000176951,1886299.449999999953434,1797419.349999999860302,1774688.950000000186265,1582236.550000000046566,11027864.100000001490116
FS( 70 ),2084289.419999999925494,1918803.200000000186265,1902022.649999999906868,1817665.029999999795109,1787916.250000000000000,1586525.029999999795109,11097225.579999998211861
FS( 71 ),2070479.459999999729916,1930668.480000000214204,1903496.699999999953434,1817102.649999999906868,1814811.760000000009313,1592689.719999999972060,11129252.769999999552965
FS( 72 ),2039534.919999999925494,1914141.840000000316650,1888756.199999999720603,1813165.989999999990687,1802907.190000000176951,1583308.669999999925494,11041818.810000000521541
FS( 73 ),2020865.899999999906868,1907361.680000000167638,1880894.599999999860302,1803886.719999999972060,1809961.750000000000000,1590813.510000000009313,11013788.159999998286366
FS( 74 ),1995036.160000000149012,1910328.000000000000000,1875489.750000000000000,1788702.459999999962747,1802466.280000000260770,1586525.029999999795109,10958551.679999999701977
FS( 75 ),1936727.439999999944121,1878546.000000000000000,1845517.399999999906868,1763114.169999999925494,1824070.870000000111759,1653264.500000000000000,10901244.379999998956919
FS( 76 ),1937750.399999999906868,1856510.480000000214204,1819475.849999999860302,1748492.289999999804422,1831125.430000000167638,1673366.750000000000000,10866725.199999999254942
FS( 77 ),2050531.739999999990687,1881088.560000000288710,1830776.899999999674037,1763114.169999999925494,1822748.140000000363216,1689716.579999999841675,11037980.089999999850988
FS( 78 ),2034931.599999999860302,1881088.560000000288710,1822915.299999999813735,1766488.449999999953434,1824952.690000000176951,1708210.649999999906868,11038591.250000000000000
FS( 79 ),2084545.160000000149012,1881088.560000000288710,1822915.299999999813735,1766488.449999999953434,1824952.690000000176951,1708210.649999999906868,11088204.810000000521541
FS( 80 ),2065364.660000000149012,1883207.360000000102445,1856327.099999999860302,1776892.479999999748543,1824952.690000000176951,1744126.669999999692664,11150874.959999999031425
FS( 81 ),2054367.839999999850988,1885749.920000000158325,1848465.499999999767169,1760302.270000000018626,1827598.150000000372529,1750559.390000000130385,11127047.070000000298023
FS( 82 ),2090682.919999999925494,1927278.400000000139698,1853870.349999999627471,1768175.589999999850988,1840825.450000000186265,1760476.500000000232831,11241313.210000000894070
FS( 83 ),2116001.179999999701977,1915413.120000000344589,1844043.349999999860302,1740337.779999999795109,1826275.420000000158325,1754043.779999999795109,11196118.629999998956919
FS( 84 ),2110630.640000000130385,1937024.880000000121072,1836181.749999999767169,1757209.179999999934807,1835975.440000000176951,1764228.919999999692664,11241254.810000000521541
FS( 85 ),2049508.780000000027940,1881512.320000000065193,1795891.049999999580905,1703501.889999999897555,1809079.930000000167638,1756992.109999999869615,10996490.079999998211861
FS( 86 ),2061528.559999999823049,1881936.080000000074506,1809157.499999999767169,1697878.089999999850988,1822748.140000000363216,1768785.429999999934807,11042037.799999998882413
FS( 87 ),2056158.020000000018626,1900157.760000000242144,1799330.499999999767169,1709688.069999999832362,1816575.400000000372529,1755651.959999999962747,11037565.710000000894070
FS( 88 ),2087869.780000000027940,1929397.200000000186265,1833233.649999999906868,1733308.029999999795109,1841707.270000000251457,1767177.250000000232831,11192697.179999999701977
FS( 89 ),2088637.000000000000000,1933634.800000000279397,1824880.699999999953434,1740900.159999999683350,1835975.440000000176951,1765569.070000000065193,11189601.169999999925494
FS( 90 ),2120093.020000000018626,1959484.160000000149012,1848465.499999999767169,1747367.529999999795109,1871248.239999999990687,1828556.119999999878928,11375218.569999998435378
FS( 91 ),2086846.819999999832362,1940838.719999999972060,1834216.349999999627471,1731058.510000000009313,1876539.160000000381842,1810062.050000000046566,11279565.610000001266599
FS( 92 ),2105004.359999999869615,1965416.800000000279397,1847482.799999999813735,1741743.729999999748543,1893293.739999999990687,1815154.619999999878928,11368100.049999998882413
FS( 93 ),2090427.179999999701977,1959060.400000000139698,1835199.049999999813735,1733589.219999999739230,1895498.290000000270084,1797732.669999999692664,11311510.810000000521541
FS( 94 ),2088125.520000000018626,1999317.600000000093132,1860749.249999999767169,1774924.149999999906868,1929007.450000000186265,1812742.349999999860302,11464870.319999998435378
FS( 95 ),2097587.899999999906868,1995503.760000000242144,1869593.549999999580905,1783078.659999999683350,1920189.250000000000000,1815958.709999999962747,11481915.829999998211861
FS( 96 ),2140040.740000000223517,1995927.520000000251457,1866645.449999999953434,1773518.199999999953434,1932093.820000000298023,1825875.820000000065193,11534105.550000000745058
FS( 97 ),2146178.500000000000000,2013301.680000000167638,1860749.249999999767169,1784203.419999999925494,1928125.630000000121072,1817566.890000000130385,11550129.370000001043081
FS( 98 ),2140040.740000000223517,2022624.400000000139698,1856327.099999999860302,1795451.020000000018626,1909166.500000000000000,1836597.019999999785796,11560210.779999999329448
FS( 99 ),2110374.899999999906868,2008640.320000000065193,1834707.699999999953434,1759739.889999999897555,1910489.230000000214204,1814618.560000000055879,11438574.599999999627471
FS( 100 ),2126742.259999999776483,2011606.640000000130385,1841095.249999999767169,1781391.520000000018626,1937825.650000000372529,1803897.359999999869615,11502562.679999999701977
FS( 101 ),2085312.380000000121072,1978977.120000000344589,1837164.449999999953434,1747648.719999999739230,1924598.350000000093132,1827484.000000000232831,11401189.019999999552965
FS( 102 ),2089915.699999999953434,2004402.719999999972060,1844534.699999999720603,1747648.719999999739230,1932975.640000000363216,1838205.199999999953434,11457686.679999997839332
FS( 103 ),2098866.599999999627471,2028557.040000000037253,1875489.750000000000000,1766769.639999999897555,1930330.180000000167638,1838473.229999999981374,11538490.439999999478459
FS( 104 ),2078918.880000000121072,2026438.240000000223517,1880894.599999999860302,1767332.020000000018626,1938707.470000000204891,1830700.359999999869615,11522995.570000000298023
FS( 105 ),2133647.240000000223517,2055253.920000000158325,1921185.299999999813735,1795169.830000000074506,1959430.239999999990687,1868760.619999999878928,11733451.149999998509884
FS( 106 ),2164847.520000000018626,2064576.640000000130385,1938873.899999999906868,1797419.349999999860302,1981034.830000000074506,1858843.509999999776483,11805599.750000000000000
FS( 107 ),2189910.040000000037253,2059067.760000000242144,1944770.099999999627471,1803324.339999999850988,1981916.650000000372529,1896367.709999999962747,11875360.600000001490116
FS( 108 ),2228271.040000000037253,2038727.280000000027940,1927572.849999999627471,1798544.109999999869615,1979271.190000000176951,1905212.699999999953434,11877603.169999998062849
FS( 109 ),2213438.119999999646097,2035760.960000000195578,1920202.599999999627471,1778860.809999999823049,1958548.420000000158325,1912717.540000000037253,11819532.449999999254942
FS( 110 ),2242848.220000000204891,2034065.920000000158325,1915780.449999999953434,1773518.199999999953434,1972657.540000000270084,1923438.739999999990687,11862313.070000002160668
FS( 111 ),2222133.279999999795109,2006945.280000000027940,1915780.449999999953434,1777454.859999999869615,1970893.900000000372529,1932819.790000000037253,11826031.559999998658895
FS( 112 ),2208323.319999999832362,2003131.440000000176951,1903005.349999999627471,1758333.939999999944121,1979712.100000000093132,1936840.239999999990687,11789350.389999998733401
FS( 113 ),2188119.859999999869615,2009064.080000000074506,1882859.999999999767169,1750179.429999999934807,1969571.170000000158325,1938180.390000000130385,11737978.929999999701977
FS( 114 ),2210113.500000000000000,2042117.360000000102445,1898583.199999999953434,1775205.339999999850988,1993380.310000000288710,1961499.000000000232831,11880902.710000000894070
FS( 115 ),2217274.220000000204891,2028133.280000000027940,1878929.199999999953434,1758896.319999999832362,1996025.770000000251457,1956138.400000000139698,11835401.189999999478459
FS( 116 ),2217529.959999999962747,2091273.520000000251457,1908901.549999999813735,1780266.760000000009313,2013221.260000000009313,1959354.759999999776483,11970551.810000000521541
FS( 117 ),2214972.560000000055879,2091273.520000000251457,1902513.999999999767169,1799668.869999999878928,2023362.190000000176951,1952654.009999999776483,11984449.150000000372529
FS( 118 ),2244382.660000000149012,2076018.160000000149012,1905462.099999999860302,1790951.979999999748543,1963839.340000000083819,1917274.050000000046566,11897932.290000000968575
FS( 119 ),2207811.839999999850988,2059067.760000000242144,1892687.000000000000000,1763395.359999999869615,1961634.790000000270084,1936572.209999999962747,11821172.960000000894070
FS( 120 ),2206021.660000000149012,2033218.400000000139698,1888756.199999999720603,1736119.929999999934807,1955462.050000000279397,1925851.009999999776483,11745433.250000000000000
FS( 121 ),2195536.319999999832362,2040846.080000000074506,1883351.349999999627471,1712218.779999999795109,1929889.270000000251457,1933623.879999999888241,11695469.679999999701977
FS( 122 ),2100656.779999999795109,2046778.719999999972060,1892195.649999999674037,1714749.489999999757856,1927684.720000000204891,1932015.699999999953434,11614085.059999998658895
FS( 123 ),2100401.040000000037253,2106528.879999999888241,1936908.500000000000000,1732464.459999999962747,1960312.060000000288710,1974632.469999999972060,11811251.410000000149012
FS( 124 ),2137739.080000000074506,2116275.360000000335276,1965898.149999999674037,1763676.549999999813735,1979712.100000000093132,1997415.019999999785796,11960720.259999999776483
FS( 125 ),2173798.419999999925494,2110342.719999999739230,1992922.399999999906868,1777454.859999999869615,1981916.650000000372529,2009744.400000000139698,12046183.449999999254942
FS( 126 ),2231339.919999999925494,2082374.560000000288710,1985060.799999999813735,1761708.219999999739230,1990293.940000000176951,1995002.750000000232831,12045784.189999999478459
