代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12910057.080000000074506
真實報酬,2910057.080000000074506

夏普值報酬,0.282305708000000
夏普值風險,0.093748714744348
夏普值,3.011302168460083

二次趨勢線,50.295523045722810 x^2 + 799.992825983676312 x + 10000000.000000000000000
二次加權預期報酬,17732.818918043692975
風險,291486.551097667077556
二次加權趨勢值,0.060835804778184
一次趨勢線,10324.670154606759752 x + 10000000.000000000000000
一次預期報酬,10324.670154606759752
一次風險,462328.990414911881089
一次趨勢值,0.022331868363567
找到最佳解世代,1965
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),NKE[19](1),
FS( 75 ),5086316.930000000633299,5276723.339999999850988,10363040.269999999552965
FS( 76 ),5245547.540000000037253,5269358.079999999143183,10514905.619999999180436
FS( 77 ),5200512.620000000111759,5319862.719999999739230,10520375.339999999850988
FS( 78 ),5293799.240000000223517,5311445.279999999329448,10605244.519999999552965
FS( 79 ),5170489.339999999850988,5310393.099999999627471,10480882.439999999478459
FS( 80 ),5191398.410000000149012,5253575.379999999888241,10444973.789999999105930
FS( 81 ),5201584.879999999888241,5270410.259999999776483,10471995.140000000596046
FS( 82 ),5176386.769999999552965,5199914.200000000186265,10376300.969999998807907
FS( 83 ),5243403.019999999552965,5301975.660000000149012,10545378.679999999701977
FS( 84 ),5153869.309999999590218,5305132.200000000186265,10459001.509999999776483
FS( 85 ),5153869.309999999590218,5283036.419999999925494,10436905.730000000447035
FS( 86 ),5167808.690000000409782,5272514.619999999180436,10440323.309999998658895
FS( 87 ),5188717.759999999776483,5337749.779999999329448,10526467.539999999105930
FS( 88 ),5266456.610000000335276,5389306.599999999627471,10655763.210000000894070
FS( 89 ),5227855.250000000000000,5408245.839999999850988,10636101.089999999850988
FS( 90 ),5251444.970000000670552,5386150.059999999590218,10637595.030000001192093
FS( 91 ),5219277.169999999925494,5374576.079999999143183,10593853.250000000000000
FS( 92 ),5238577.849999999627471,5441915.599999999627471,10680493.449999999254942
FS( 93 ),5256270.140000000596046,5522933.459999999962747,10779203.600000001490116
FS( 94 ),5255197.879999999888241,5511359.479999999515712,10766557.359999999403954
FS( 95 ),5397808.460000000894070,5505046.399999999441206,10902854.859999999403954
FS( 96 ),5367249.049999999813735,5503994.219999999739230,10871243.269999999552965
FS( 97 ),5322750.259999999776483,5492420.240000000223517,10815170.500000000000000
FS( 98 ),5307202.490000000223517,5494524.599999999627471,10801727.089999999850988
FS( 99 ),5278787.599999999627471,5440863.419999999925494,10719651.019999999552965
FS( 100 ),5289510.200000000186265,5410350.200000000186265,10699860.400000000372529
FS( 101 ),5172633.860000000335276,5381941.339999999850988,10554575.199999999254942
FS( 102 ),5143146.710000000894070,5349323.759999999776483,10492470.470000000670552
FS( 103 ),5158694.480000000447035,5353532.479999999515712,10512226.960000000894070
FS( 104 ),5162447.390000000596046,5372471.719999999739230,10534919.109999999403954
FS( 105 ),5174778.379999999888241,5393515.319999999366701,10568293.699999999254942
FS( 106 ),5163519.650000000372529,5364054.279999999329448,10527573.929999999701977
FS( 107 ),5122237.640000000596046,5368263.000000000000000,10490500.640000000596046
FS( 108 ),5110442.779999999329448,5336697.599999999627471,10447140.379999998956919
FS( 109 ),5078811.110000000335276,5332488.879999999888241,10411299.990000000223517
FS( 110 ),5109370.519999999552965,5436654.700000000186265,10546025.219999998807907
FS( 111 ),5124918.290000000037253,5465063.559999999590218,10589981.849999999627471
FS( 112 ),5096503.400000000372529,5459802.660000000149012,10556306.060000000521541
FS( 113 ),5055757.519999999552965,5437706.879999999888241,10493464.399999998509884
FS( 114 ),5073449.809999999590218,5500837.679999999701977,10574287.489999998360872
FS( 115 ),5105081.480000000447035,5511359.479999999515712,10616440.960000000894070
FS( 116 ),5156013.830000000074506,5576594.639999999664724,10732608.469999998807907
FS( 117 ),5151188.660000000149012,5605003.500000000000000,10756192.160000000149012
FS( 118 ),5193542.930000000633299,5618681.839999999850988,10812224.769999999552965
FS( 119 ),5210162.960000000894070,5639725.439999999478459,10849888.400000000372529
FS( 120 ),5181211.940000000409782,5588168.619999999180436,10769380.559999998658895
FS( 121 ),5135640.890000000596046,5535559.619999999180436,10671200.509999999776483
FS( 122 ),5216060.390000000596046,5772300.119999999180436,10988360.509999999776483
FS( 123 ),5116876.339999999850988,5664977.759999999776483,10781854.099999999627471
FS( 124 ),5097039.529999999329448,5682864.819999999366701,10779904.349999997764826
FS( 125 ),5134032.500000000000000,5757569.599999999627471,10891602.099999999627471
FS( 126 ),5156013.830000000074506,5780717.559999999590218,10936731.390000000596046
FS( 127 ),5128135.070000000298023,5778613.200000000186265,10906748.269999999552965
FS( 128 ),5183356.460000000894070,5855422.339999999850988,11038778.800000000745058
FS( 129 ),5138321.540000000037253,5749152.160000000149012,10887473.699999999254942
FS( 130 ),5173169.990000000223517,5757569.599999999627471,10930739.589999999850988
FS( 131 ),5235361.070000000298023,5814387.319999999366701,11049748.390000000596046
FS( 132 ),5277179.210000000894070,5914344.419999999925494,11191523.630000000819564
FS( 133 ),5295943.759999999776483,5910135.700000000186265,11206079.460000000894070
FS( 134 ),5311491.529999999329448,5886987.740000000223517,11198479.269999999552965
FS( 135 ),5246619.799999999813735,5910135.700000000186265,11156755.500000000000000
FS( 136 ),5227319.120000000111759,5934335.839999999850988,11161654.960000000894070
FS( 137 ),5226782.990000000223517,5952222.899999999441206,11179005.890000000596046
FS( 138 ),5217668.779999999329448,5944857.639999999664724,11162526.419999998062849
FS( 139 ),5231608.160000000149012,6002727.539999999105930,11234335.699999999254942
FS( 140 ),5205337.790000000037253,5997466.639999999664724,11202804.429999999701977
FS( 141 ),5152260.919999999925494,5944857.639999999664724,11097118.559999998658895
FS( 142 ),5149044.140000000596046,5878570.299999999813735,11027614.440000001341105
FS( 143 ),5218204.910000000149012,5970109.959999999962747,11188314.870000001043081
FS( 144 ),5265384.349999999627471,6045866.919999999925494,11311251.269999999552965
FS( 145 ),5316852.830000000074506,6051127.819999999366701,11367980.649999998509884
FS( 146 ),5353845.799999999813735,6061649.619999999180436,11415495.419999998062849
FS( 147 ),5330256.080000000074506,6041658.200000000186265,11371914.280000001192093
FS( 148 ),5315244.440000000409782,6091110.660000000149012,11406355.100000001490116
FS( 149 ),5350629.019999999552965,6142667.479999999515712,11493296.500000000000000
FS( 150 ),5326503.169999999925494,6056388.719999999739230,11382891.890000000596046
FS( 151 ),5303449.580000000074506,6024823.319999999366701,11328272.899999998509884
FS( 152 ),5328647.690000000409782,6069014.879999999888241,11397662.570000000298023
FS( 153 ),5297552.150000000372529,6021666.779999999329448,11319218.929999999701977
FS( 154 ),5269137.259999999776483,5948014.179999999701977,11217151.439999999478459
FS( 155 ),5327575.430000000633299,5976423.039999999105930,11303998.469999998807907
FS( 156 ),5322214.129999999888241,6016405.879999999888241,11338620.009999999776483
FS( 157 ),5396736.200000000186265,6049023.459999999962747,11445759.660000000149012
FS( 158 ),5402097.500000000000000,6040606.019999999552965,11442703.519999999552965
FS( 159 ),5420325.919999999925494,6047971.279999999329448,11468297.199999999254942
FS( 160 ),5348484.500000000000000,5908031.339999999850988,11256515.839999999850988
FS( 161 ),5207482.309999999590218,5622890.559999999590218,10830372.869999999180436
FS( 162 ),4979090.930000000633299,5465063.559999999590218,10444154.490000000223517
FS( 163 ),4890093.349999999627471,5447176.500000000000000,10337269.849999999627471
FS( 164 ),5101328.570000000298023,5721795.479999999515712,10823124.050000000745058
FS( 165 ),5218204.910000000149012,5924866.219999999739230,11143071.129999998956919
FS( 166 ),5160302.870000000111759,5918553.139999999664724,11078856.009999999776483
FS( 167 ),5094358.879999999888241,5879622.479999999515712,10973981.359999999403954
FS( 168 ),5011258.730000000447035,5715482.399999999441206,10726741.129999998956919
FS( 169 ),5149044.140000000596046,5823856.939999999478459,10972901.080000000074506
FS( 170 ),5147435.750000000000000,5832274.379999999888241,10979710.129999998956919
FS( 171 ),5085244.669999999925494,5771247.939999999478459,10856492.609999999403954
FS( 172 ),5188717.759999999776483,5879622.479999999515712,11068340.239999998360872
FS( 173 ),5116340.210000000894070,5779665.379999999888241,10896005.589999999850988
FS( 174 ),5106689.870000000111759,5807022.059999999590218,10913711.929999999701977
FS( 175 ),5222493.950000000186265,5882779.019999999552965,11105272.969999998807907
FS( 176 ),5198904.230000000447035,5886987.740000000223517,11085891.970000000670552
FS( 177 ),5264312.089999999850988,5989049.200000000186265,11253361.289999999105930
FS( 178 ),5291118.589999999850988,6080588.859999999403954,11371707.449999999254942
FS( 179 ),5245547.540000000037253,6064806.160000000149012,11310353.699999999254942
FS( 180 ),5203193.269999999552965,6053232.179999999701977,11256425.449999999254942
FS( 181 ),5248764.320000000298023,6132145.679999999701977,11380910.000000000000000
FS( 182 ),5211235.220000000670552,6101632.459999999962747,11312867.679999999701977
FS( 183 ),5220885.559999999590218,6073223.599999999627471,11294109.160000000149012
FS( 184 ),5216060.390000000596046,6039553.839999999850988,11255614.230000000447035
FS( 185 ),5232144.290000000037253,6576165.639999999664724,11808309.929999999701977
FS( 186 ),5144755.099999999627471,6425703.899999999441206,11570459.000000000000000
FS( 187 ),5226246.860000000335276,6296285.759999999776483,11522532.620000001043081
FS( 188 ),5282540.509999999776483,6469895.459999999962747,11752435.969999998807907
FS( 189 ),5295943.759999999776483,6515139.200000000186265,11811082.960000000894070
FS( 190 ),5350092.890000000596046,6587739.619999999180436,11937832.509999999776483
FS( 191 ),5424078.830000000074506,6538287.160000000149012,11962365.990000000223517
FS( 192 ),5463216.320000000298023,6481469.439999999478459,11944685.759999999776483
FS( 193 ),5456246.629999999888241,6423599.539999999105930,11879846.169999998062849
FS( 194 ),5519509.970000000670552,6571956.919999999925494,12091466.890000000596046
FS( 195 ),5509323.500000000000000,6573009.099999999627471,12082332.599999999627471
FS( 196 ),5535057.740000000223517,6651922.599999999627471,12186980.339999999850988
FS( 197 ),5542563.559999999590218,6619305.019999999552965,12161868.579999998211861
FS( 198 ),5512540.279999999329448,6620357.200000000186265,12132897.480000000447035
FS( 199 ),5557575.200000000186265,6776079.839999999850988,12333655.039999999105930
FS( 200 ),5619766.279999999329448,6864462.959999999031425,12484229.239999998360872
FS( 201 ),5602073.990000000223517,7008611.619999999180436,12610685.609999999403954
FS( 202 ),5567225.540000000037253,6964420.059999999590218,12531645.599999999627471
FS( 203 ),5497528.640000000596046,6969680.959999999031425,12467209.599999999627471
FS( 204 ),5944124.930000000633299,6966524.419999998994172,12910649.349999999627471
FS( 205 ),6036339.290000000037253,6867619.499999999068677,12903958.789999999105930
FS( 206 ),6014357.960000000894070,6911811.059999999590218,12926169.019999999552965
FS( 207 ),5985406.940000000409782,6882350.019999999552965,12867756.960000000894070
FS( 208 ),6055103.839999999850988,6907602.339999999850988,12962706.179999999701977
FS( 209 ),6037947.680000000633299,6898132.719999999739230,12936080.400000000372529
FS( 210 ),6018110.870000000111759,6893923.999999999068677,12912034.869999999180436
FS( 211 ),6010605.049999999813735,6902341.439999999478459,12912946.489999998360872
FS( 212 ),6008996.660000000149012,6912863.240000000223517,12921859.900000000372529
FS( 213 ),6026152.820000000298023,6858149.880000000819564,12884302.700000001117587
FS( 214 ),6050278.669999999925494,6937063.380000000819564,12987342.050000000745058
FS( 215 ),6074940.650000000372529,6932854.660000000149012,13007795.310000000521541
FS( 216 ),6054567.710000000894070,6864462.959999999031425,12919030.669999999925494
FS( 217 ),6070115.480000000447035,6839210.639999999664724,12909326.120000001043081
FS( 218 ),6103891.669999999925494,6703479.419999999925494,12807371.089999999850988
FS( 219 ),6010605.049999999813735,6627722.459999999962747,12638327.509999999776483
FS( 220 ),5895873.230000000447035,6410973.379999999888241,12306846.609999999403954
FS( 221 ),5954311.400000000372529,6495147.779999999329448,12449459.179999999701977
FS( 222 ),5947877.839999999850988,6448851.859999999403954,12396729.699999999254942
FS( 223 ),6033122.509999999776483,6617200.660000000149012,12650323.169999999925494
FS( 224 ),6074404.519999999552965,6617200.660000000149012,12691605.179999999701977
FS( 225 ),6107108.450000000186265,6979150.579999999143183,13086259.029999999329448
FS( 226 ),6137131.730000000447035,6968628.780000000260770,13105760.510000001639128
FS( 227 ),6126945.259999999776483,6971785.320000000298023,13098730.580000000074506
FS( 228 ),6133378.820000000298023,7057011.899999998509884,13190390.719999998807907
FS( 229 ),6124264.610000000335276,7067533.700000000186265,13191798.310000000521541
FS( 230 ),6120511.700000000186265,6959159.160000000149012,13079670.859999999403954
FS( 231 ),6136059.470000000670552,7013872.519999999552965,13149931.990000000223517
FS( 232 ),6096921.980000000447035,6979150.579999999143183,13076072.559999998658895
FS( 233 ),6079229.690000000409782,6792914.719999999739230,12872144.410000000149012
FS( 234 ),6229882.220000000670552,6962315.700000000186265,13192197.920000001788139
FS( 235 ),6241677.080000000074506,6923385.039999999105930,13165062.119999999180436
FS( 236 ),6247574.509999999776483,6928645.939999999478459,13176220.449999999254942
FS( 237 ),6250255.160000000149012,6778184.200000000186265,13028439.359999999403954
FS( 238 ),6283495.220000000670552,6767662.399999998509884,13051157.619999999180436
FS( 239 ),6223448.660000000149012,6644557.339999999850988,12868006.000000000000000
FS( 240 ),6233099.000000000000000,6726627.379999999888241,12959726.379999998956919
FS( 241 ),6269019.710000000894070,6766610.219999999739230,13035629.929999999701977
FS( 242 ),6317807.540000000037253,6888663.099999999627471,13206470.640000000596046
FS( 243 ),6299579.120000000111759,6850784.619999999180436,13150363.739999998360872
FS( 244 ),6254544.200000000186265,6761349.320000000298023,13015893.519999999552965
FS( 245 ),6309765.589999999850988,6828688.839999999850988,13138454.429999999701977
FS( 246 ),6311373.980000000447035,6937063.380000000819564,13248437.360000001266599
FS( 247 ),6369276.019999999552965,6771871.119999999180436,13141147.139999998733401
FS( 248 ),6356945.029999999329448,6647713.879999999888241,13004658.910000000149012
FS( 249 ),6366595.370000000111759,6714001.219999999739230,13080596.589999999850988
FS( 250 ),6437364.529999999329448,6761349.320000000298023,13198713.849999999627471
FS( 251 ),6403052.210000000894070,6655079.139999999664724,13058131.350000001490116
FS( 252 ),6333891.440000000409782,6576165.639999999664724,12910057.080000000074506
