代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14029379.880000000819564
真實報酬,4029379.880000000819564

夏普值報酬,0.394237988000000
夏普值風險,0.113071151264525
夏普值,3.486636366491901

二次趨勢線,95.487790000068088 x^2 + -8254.527414454290920 x + 10000000.000000000000000
二次加權預期報酬,23893.028552235300594
風險,228766.987897369341226
二次加權趨勢值,0.104442641710850
一次趨勢線,9828.401910033864624 x + 10000000.000000000000000
一次預期報酬,9828.401910033864624
一次風險,718697.833462974871509
一次趨勢值,0.013675290855792
找到最佳解世代,2107
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),CSCO[4](3),HD[9](1),MCD[15](5),
FS( 30 ),2470540.640000000130385,2476525.919999999925494,2463392.000000000000000,2656270.250000000000000,10066728.810000000521541
FS( 31 ),2418224.880000000353903,2435446.280000000260770,2461395.199999999720603,2669429.850000000093132,9984496.209999999031425
FS( 32 ),2439049.600000000558794,2441314.800000000279397,2489350.399999999906868,2662521.060000000521541,10032235.860000001266599
FS( 33 ),2465969.359999999869615,2442781.929999999701977,2493344.000000000000000,2681273.490000000223517,10083368.779999999329448
FS( 34 ),2471048.560000000055879,2444249.060000000055879,2488684.799999999813735,2714501.480000000447035,10118483.900000000372529
FS( 35 ),2432446.640000000130385,2425176.370000000111759,2466054.399999999906868,2708579.660000000149012,10032257.070000000298023
FS( 36 ),2426351.600000000558794,2398768.030000000260770,2450745.600000000093132,2714172.490000000223517,9990037.720000000670552
FS( 37 ),2410606.080000000074506,2387030.989999999757856,2432774.399999999906868,2718778.350000000093132,9949189.820000000298023
FS( 38 ),2443620.880000000353903,2375293.950000000186265,2438099.200000000186265,2721410.270000000018626,9978424.300000000745058
FS( 39 ),2430922.880000000353903,2384096.729999999981374,2408812.799999999813735,2711869.560000000521541,9935701.970000000670552
FS( 40 ),2448192.160000000614673,2414906.459999999962747,2396166.399999999906868,2685221.370000000577420,9944486.390000002458692
FS( 41 ),2523872.240000000223517,2464788.879999999888241,2414803.200000000186265,2682589.450000000651926,10086053.770000001415610
FS( 42 ),2507110.880000000353903,2403169.419999999925494,2356230.399999999906868,2664166.010000000242144,9930676.710000000894070
FS( 43 ),2511174.240000000223517,2384096.729999999981374,2335596.800000000279397,2656599.240000000223517,9887467.010000001639128
FS( 44 ),2491873.280000000260770,2348885.610000000335276,2304979.200000000186265,2649690.450000000651926,9795428.540000000968575
FS( 45 ),2452763.440000000409782,2345951.350000000093132,2282348.799999999813735,2654954.290000000502914,9736017.880000000819564
FS( 46 ),2409082.320000000298023,2275529.109999999869615,2285011.199999999720603,2669429.850000000093132,9639052.479999998584390
FS( 47 ),2410606.080000000074506,2244719.379999999888241,2269702.399999999906868,2669758.840000000316650,9594786.699999999254942
FS( 48 ),2405526.880000000353903,2246186.510000000242144,2285011.199999999720603,2673377.730000000447035,9610102.320000000298023
FS( 49 ),2364893.280000000260770,2218311.040000000037253,2227769.599999999627471,2643768.630000000353903,9454742.550000000745058
FS( 50 ),2369972.479999999981374,2209508.260000000242144,2230432.000000000000000,2655941.260000000242144,9465854.000000000000000
FS( 51 ),2412129.840000000316650,2212442.520000000018626,2312966.399999999906868,2680286.520000000018626,9617825.279999999329448
FS( 52 ),2370988.320000000298023,2177231.399999999906868,2255059.200000000186265,2672719.750000000000000,9475998.670000001788139
FS( 53 ),2359306.160000000614673,2208041.129999999888241,2296326.399999999906868,2691472.180000000167638,9555145.870000001043081
FS( 54 ),2323751.760000000242144,2196304.089999999850988,2298323.200000000186265,2714830.470000000204891,9533209.519999999552965
FS( 55 ),2288197.359999999869615,2221245.300000000279397,2314297.600000000093132,2720423.300000000279397,9544163.560000000521541
FS( 56 ),2360322.000000000000000,2275529.109999999869615,2358227.199999999720603,2724042.189999999944121,9718120.499999998137355
FS( 57 ),2341021.040000000502914,2253522.159999999683350,2324947.199999999720603,2719107.340000000316650,9638597.740000000223517
FS( 58 ),2403495.200000000186265,2269660.589999999850988,2372870.399999999906868,2707263.700000000651926,9753289.890000000596046
FS( 59 ),2367940.800000000279397,2190435.569999999832362,2334931.199999999720603,2692459.150000000372529,9585766.720000000670552
FS( 60 ),2409082.320000000298023,2208041.129999999888241,2342918.399999999906868,2708250.669999999925494,9668292.519999999552965
FS( 61 ),2432446.640000000130385,2219778.169999999925494,2400160.000000000000000,2775035.640000000130385,9827420.450000001117587
FS( 62 ),2423812.000000000000000,2250587.899999999906868,2394835.199999999720603,2782273.419999999925494,9851508.519999999552965
FS( 63 ),2435494.160000000614673,2290200.409999999683350,2410809.599999999627471,2774048.669999999925494,9910552.839999999850988
FS( 64 ),2490857.440000000409782,2326878.659999999683350,2444755.199999999720603,2817804.340000000316650,10080295.639999998733401
FS( 65 ),2535554.400000000372529,2299003.189999999944121,2435436.800000000279397,2817475.350000000093132,10087469.740000000223517
FS( 66 ),2552315.760000000242144,2282864.760000000242144,2434105.600000000093132,2824713.130000000353903,10093999.250000001862645
FS( 67 ),2591933.520000000484288,2332747.180000000167638,2466054.399999999906868,2831292.930000000167638,10222028.030000001192093
FS( 68 ),2610218.640000000130385,2309273.100000000093132,2437433.599999999627471,2816159.390000000130385,10173084.730000000447035
FS( 69 ),2568569.200000000186265,2263792.069999999832362,2420128.000000000000000,2807934.640000000130385,10060423.910000000149012
FS( 70 ),2567045.440000000409782,2288733.279999999795109,2403488.000000000000000,2796091.000000000000000,10055357.720000000670552
FS( 71 ),2598028.560000000055879,2284331.890000000130385,2404819.200000000186265,2795104.029999999795109,10082283.679999999701977
FS( 72 ),2595996.880000000353903,2263792.069999999832362,2393504.000000000000000,2823068.180000000167638,10076361.130000000819564
FS( 73 ),2647804.720000000204891,2287266.149999999906868,2390175.999999999534339,2812211.510000000242144,10137458.379999998956919
FS( 74 ),2712310.560000000055879,2265259.199999999720603,2375532.799999999813735,2809579.590000000316650,10162682.150000000372529
FS( 75 ),2734659.040000000502914,2297536.060000000055879,2403488.000000000000000,2836227.779999999795109,10271910.880000000819564
FS( 76 ),2807291.600000000558794,2321010.140000000130385,2423455.999999999534339,2838201.720000000204891,10389959.460000000894070
FS( 77 ),2810339.120000000111759,2398768.030000000260770,2444089.599999999627471,2847084.450000000651926,10500281.200000001117587
FS( 78 ),2854020.240000000223517,2414906.459999999962747,2430777.600000000093132,2913540.430000000167638,10613244.730000000447035
FS( 79 ),2891606.320000000298023,2388498.120000000111759,2439430.399999999906868,2899064.870000000577420,10618599.710000000894070
FS( 80 ),2927160.720000000204891,2389965.250000000000000,2422124.799999999813735,2895774.970000000204891,10635025.740000000223517
FS( 81 ),2848433.120000000111759,2301937.449999999720603,2371539.200000000186265,2865178.900000000372529,10387088.670000001788139
FS( 82 ),2842846.000000000000000,2348885.610000000335276,2339590.399999999906868,2854980.210000000428408,10386302.220000000670552
FS( 83 ),2833195.520000000484288,2343017.089999999850988,2324947.199999999720603,2845110.510000000242144,10346270.320000000298023
FS( 84 ),2878908.320000000298023,2322477.270000000018626,2279686.399999999906868,2842149.600000000093132,10323221.589999999850988
FS( 85 ),2822021.280000000260770,2268193.459999999962747,2184505.600000000093132,2798393.930000000167638,10073114.269999999552965
FS( 86 ),2848433.120000000111759,2272594.850000000093132,2193158.399999999906868,2814185.450000000651926,10128371.820000002160668
FS( 87 ),2738214.479999999981374,2174297.140000000130385,2109958.399999999906868,2772732.710000000428408,9795202.730000000447035
FS( 88 ),2710786.800000000279397,2191902.699999999720603,2046060.799999999813735,2799051.910000000149012,9747802.210000000894070
FS( 89 ),2562982.080000000074506,2045189.699999999953434,1925587.199999999953434,2701341.880000000353903,9235100.860000001266599
FS( 90 ),2713834.320000000298023,2062795.260000000009313,2006790.399999999906868,2828003.029999999795109,9611423.009999999776483
FS( 91 ),2639170.080000000074506,2014379.969999999972060,1897632.000000000000000,2766152.910000000149012,9317334.960000000894070
FS( 92 ),2711802.640000000130385,2335681.439999999944121,2000134.399999999906868,2838530.710000000428408,9886149.190000001341105
FS( 93 ),2735674.880000000353903,2345951.350000000093132,2035411.199999999720603,2845768.490000000223517,9962805.919999999925494
FS( 94 ),2781895.600000000558794,2351819.870000000111759,2093984.000000000000000,2856296.169999999925494,10083995.640000000596046
FS( 95 ),2760562.960000000428408,2347418.479999999981374,2204473.599999999627471,2851361.320000000298023,10163816.359999999403954
FS( 96 ),2760562.960000000428408,2325411.529999999795109,2223775.999999999534339,2878667.490000000223517,10188417.980000000447035
FS( 97 ),2655931.440000000409782,2202172.609999999869615,2140575.999999999534339,2816488.380000000353903,9815168.430000001564622
FS( 98 ),2583298.880000000353903,2212442.520000000018626,2121939.199999999720603,2869784.760000000242144,9787465.359999999403954
FS( 99 ),2586346.400000000372529,2202172.609999999869615,2148563.200000000186265,2887221.230000000447035,9824303.440000001341105
FS( 100 ),2710786.800000000279397,2265259.199999999720603,2203808.000000000000000,2945452.460000000428408,10125306.460000000894070
FS( 101 ),2729579.840000000316650,2268193.459999999962747,2287673.599999999627471,2965191.859999999869615,10250638.759999999776483
FS( 102 ),2711802.640000000130385,2212442.520000000018626,2252396.800000000279397,2918475.279999999795109,10095117.240000000223517
FS( 103 ),2783419.359999999869615,2247653.640000000130385,2263046.399999999906868,2958612.060000000521541,10252731.460000000894070
FS( 104 ),2829640.080000000074506,2309273.100000000093132,2262380.799999999813735,2986905.200000000651926,10388199.179999999701977
FS( 105 ),2829640.080000000074506,2293134.669999999925494,2234425.600000000093132,2986576.210000000428408,10343776.560000000521541
FS( 106 ),2792561.919999999925494,2299003.189999999944121,2221779.200000000186265,2974403.580000000074506,10287747.890000000596046
FS( 107 ),2764626.320000000298023,2321010.140000000130385,2191827.199999999720603,2963217.919999999925494,10240681.580000000074506
FS( 108 ),2714342.240000000223517,2260857.810000000055879,2141907.199999999720603,2930976.900000000372529,10048084.150000000372529
FS( 109 ),2755483.760000000242144,2241785.120000000111759,2133254.399999999906868,2922094.169999999925494,10052617.450000001117587
FS( 110 ),2785958.960000000428408,2329812.919999999925494,2187833.599999999627471,2937556.700000000651926,10241162.180000001564622
FS( 111 ),2787482.720000000204891,2389965.250000000000000,2160544.000000000000000,2915185.380000000353903,10253177.350000001490116
FS( 112 ),2739230.320000000298023,2321010.140000000130385,2121273.600000000093132,2797406.960000000428408,9978921.020000001415610
FS( 113 ),2757007.520000000484288,2360622.649999999906868,2153222.399999999906868,2835569.800000000279397,10106422.370000001043081
FS( 114 ),2791038.160000000614673,2398768.030000000260770,2173855.999999999534339,2833266.870000000577420,10196929.060000002384186
FS( 115 ),2824560.880000000353903,2395833.769999999552965,2232428.799999999813735,2853993.240000000223517,10306816.690000001341105
FS( 116 ),2851480.640000000130385,2445716.190000000409782,2281683.200000000186265,2897419.919999999925494,10476299.949999999254942
FS( 117 ),2905828.080000000074506,2438380.540000000037253,2303648.000000000000000,2904657.700000000651926,10552514.320000000298023
FS( 118 ),2986587.359999999869615,2422242.110000000335276,2286342.399999999906868,2921765.180000000167638,10616937.050000000745058
FS( 119 ),2999793.280000000260770,2425176.370000000111759,2316960.000000000000000,2938214.680000000167638,10680144.330000000074506
FS( 120 ),2990650.720000000204891,2323944.399999999906868,2252396.800000000279397,2879325.470000000204891,10446317.390000000596046
FS( 121 ),2915478.560000000055879,2249120.770000000018626,2199814.399999999906868,2828990.000000000000000,10193403.730000000447035
FS( 122 ),2933763.680000000167638,2290200.409999999683350,2244409.599999999627471,2874390.620000000577420,10342764.310000000521541
FS( 123 ),2925636.960000000428408,2345951.350000000093132,2263046.399999999906868,2939201.650000000372529,10473836.360000001266599
FS( 124 ),2897193.440000000409782,2357688.390000000130385,2255059.200000000186265,2952361.250000000000000,10462302.280000001192093
FS( 125 ),2880940.000000000000000,2323944.399999999906868,2236422.399999999906868,2896103.960000000428408,10337410.760000001639128
FS( 126 ),2834211.359999999869615,2325411.529999999795109,2249068.799999999813735,2920778.210000000428408,10329469.900000000372529
FS( 127 ),2766658.000000000000000,2274061.979999999981374,2187833.599999999627471,2889195.169999999925494,10117748.750000000000000
FS( 128 ),2717897.680000000167638,2228580.949999999720603,2102636.799999999813735,2829976.970000000204891,9879092.400000000372529
FS( 129 ),2702660.080000000074506,2285799.020000000018626,2161209.599999999627471,2845110.510000000242144,9994779.209999999031425
FS( 130 ),2744817.440000000409782,2370892.560000000055879,2185171.199999999720603,2823726.160000000149012,10124607.359999999403954
FS( 131 ),2738214.479999999981374,2457453.229999999981374,2221779.200000000186265,2865836.880000000353903,10283283.790000000968575
FS( 132 ),2683359.120000000111759,2444249.060000000055879,2257721.600000000093132,2868797.790000000502914,10254127.570000000298023
FS( 133 ),2821005.440000000409782,2507335.649999999906868,2306975.999999999534339,2911895.480000000447035,10547212.570000000298023
FS( 134 ),2904304.320000000298023,2492664.349999999627471,2310304.000000000000000,2939201.650000000372529,10646474.320000000298023
FS( 135 ),2918526.080000000074506,2530809.729999999981374,2310969.599999999627471,2906960.630000000353903,10667266.040000000968575
FS( 136 ),2963730.960000000428408,2555750.940000000409782,2290335.999999999534339,2938214.680000000167638,10748032.580000000074506
FS( 137 ),3062267.440000000409782,2574823.629999999888241,2332934.399999999906868,2958941.050000000279397,10928966.520000001415610
FS( 138 ),3047537.760000000242144,2519072.690000000409782,2306310.399999999906868,2916830.330000000074506,10789751.180000001564622
FS( 139 ),3063791.200000000186265,2568955.110000000335276,2392838.399999999906868,2949071.350000000093132,10974656.060000000521541
FS( 140 ),2892622.160000000614673,2517605.560000000055879,2356230.399999999906868,2948413.370000000577420,10714871.490000002086163
FS( 141 ),2868242.000000000000000,2522006.950000000186265,2378195.199999999720603,2928344.980000000447035,10696789.130000000819564
FS( 142 ),2850464.800000000279397,2549882.419999999925494,2453408.000000000000000,3037240.669999999925494,10890995.890000000596046
FS( 143 ),2944430.000000000000000,2573356.500000000000000,2442758.399999999906868,3027041.980000000447035,10987586.880000000819564
FS( 144 ),2886019.200000000186265,2585093.540000000037253,2398828.799999999813735,3019146.220000000204891,10889087.759999999776483
FS( 145 ),2906843.919999999925494,2583626.409999999683350,2432774.399999999906868,3019475.210000000428408,10942719.940000001341105
FS( 146 ),2936303.280000000260770,2705398.200000000186265,2487353.599999999627471,3076390.480000000447035,11205445.560000000521541
FS( 147 ),2938334.960000000428408,2723003.759999999776483,2404153.599999999627471,3069152.700000000651926,11134645.020000001415610
FS( 148 ),2937319.120000000111759,2718602.370000000111759,2382854.399999999906868,3054677.140000000130385,11093453.030000001192093
FS( 149 ),2876876.640000000130385,2580692.149999999906868,2365548.799999999813735,3023752.080000000074506,10846869.669999999925494
FS( 150 ),2883479.600000000558794,2618837.530000000260770,2395500.799999999813735,3044149.460000000428408,10941967.390000000596046
FS( 151 ),2924621.120000000111759,2667252.819999999832362,2426118.399999999906868,3059611.990000000223517,11077604.330000000074506
FS( 152 ),2904304.320000000298023,2645245.870000000111759,2422124.799999999813735,3086260.180000000167638,11057935.169999999925494
FS( 153 ),2900240.960000000428408,2642311.610000000335276,2485356.800000000279397,3112908.370000000577420,11140817.740000002086163
FS( 154 ),2947477.520000000484288,2686325.509999999776483,2525292.799999999813735,3112250.390000000130385,11271346.220000000670552
FS( 155 ),2868242.000000000000000,2583626.409999999683350,2473375.999999999534339,3048097.340000000316650,10973341.750000000000000
FS( 156 ),2795101.520000000484288,2730339.409999999683350,2476038.399999999906868,3068165.730000000447035,11069645.060000000521541
FS( 157 ),2791038.160000000614673,2790491.739999999757856,2533280.000000000000000,3117514.230000000447035,11232324.130000000819564
FS( 158 ),2751928.320000000298023,2778754.700000000186265,2545926.399999999906868,3094484.930000000167638,11171094.349999999627471
FS( 159 ),2821513.359999999869615,2805163.040000000037253,2533945.600000000093132,3107973.520000000018626,11268595.519999999552965
FS( 160 ),2792054.000000000000000,2758214.879999999888241,2518636.800000000279397,3064546.840000000316650,11133452.519999999552965
FS( 161 ),2738722.400000000372529,2711266.720000000204891,2503993.599999999627471,3036253.700000000651926,10990236.420000001788139
FS( 162 ),2720437.280000000260770,2702463.940000000409782,2521299.200000000186265,3051058.250000000000000,10995258.670000001788139
FS( 163 ),2677772.000000000000000,2640844.479999999981374,2466720.000000000000000,3035924.710000000428408,10821261.190000001341105
FS( 164 ),2732119.440000000409782,2629107.440000000409782,2469382.399999999906868,3048097.340000000316650,10878706.620000001043081
FS( 165 ),2663042.320000000298023,2554283.810000000055879,2430777.600000000093132,3022436.120000000577420,10670539.850000001490116
FS( 166 ),2638154.240000000223517,2567487.979999999981374,2427449.599999999627471,3030002.890000000130385,10663094.710000000894070
FS( 167 ),2729071.919999999925494,2642311.610000000335276,2482694.399999999906868,3084615.230000000447035,10938693.160000000149012
FS( 168 ),2707739.280000000260770,2593896.319999999832362,2593184.000000000000000,3074745.529999999795109,10969565.129999998956919
FS( 169 ),2773260.960000000428408,2734740.800000000279397,2610489.599999999627471,3142517.470000000204891,11261008.830000000074506
FS( 170 ),2814910.400000000372529,2725938.019999999552965,2618476.800000000279397,3141859.490000000223517,11301184.710000000894070
FS( 171 ),2827608.400000000372529,2721536.629999999888241,2658412.799999999813735,3148439.290000000502914,11355997.120000001043081
FS( 172 ),2851480.640000000130385,2756747.750000000000000,2677715.199999999720603,3136924.640000000130385,11422868.230000000447035
FS( 173 ),2836750.960000000428408,2747944.970000000204891,2683705.600000000093132,3158637.980000000447035,11427039.510000001639128
FS( 174 ),2823037.120000000111759,2786090.349999999627471,2710995.199999999720603,3173113.540000000502914,11493236.210000000894070
FS( 175 ),2834719.280000000260770,2724470.890000000130385,2656415.999999999534339,3188576.070000000298023,11404182.240000000223517
FS( 176 ),2856051.919999999925494,2769951.919999999925494,2677715.199999999720603,3225093.960000000428408,11528813.000000000000000
FS( 177 ),2843353.919999999925494,2718602.370000000111759,2665734.399999999906868,3239898.510000000242144,11467589.199999999254942
FS( 178 ),2821005.440000000409782,2709799.589999999850988,2629792.000000000000000,3224106.990000000223517,11384704.019999999552965
FS( 179 ),2758531.280000000260770,2637910.220000000204891,2605164.799999999813735,3211276.380000000353903,11212882.679999999701977
FS( 180 ),2749388.720000000204891,2646713.000000000000000,2623801.600000000093132,3228712.850000000093132,11248616.169999999925494
FS( 181 ),2764626.320000000298023,2632041.700000000186265,2690361.600000000093132,3207328.500000000000000,11294358.120000001043081
FS( 182 ),2773260.960000000428408,2595363.450000000186265,2675718.399999999906868,3199103.750000000000000,11243446.560000000521541
FS( 183 ),2872813.280000000260770,2700996.810000000055879,2792198.399999999906868,3251084.169999999925494,11617092.660000000149012
FS( 184 ),2876876.640000000130385,2629107.440000000409782,2795526.399999999906868,3263585.790000000502914,11565096.270000001415610
FS( 185 ),2892114.240000000223517,2659917.169999999925494,2790201.600000000093132,3243846.390000000130385,11586079.400000000372529
FS( 186 ),2926652.800000000279397,2709799.589999999850988,2801516.800000000279397,3294839.840000000316650,11732809.030000001192093
FS( 187 ),2950017.120000000111759,2725938.019999999552965,2810169.599999999627471,3307999.439999999944121,11794124.179999997839332
FS( 188 ),2921573.600000000558794,2664318.560000000055879,2764243.200000000186265,3276087.410000000149012,11626222.769999999552965
FS( 189 ),2939350.800000000279397,2677522.729999999981374,2796192.000000000000000,3316553.180000000167638,11729618.710000000894070
FS( 190 ),2938842.880000000353903,2652581.519999999552965,2798188.799999999813735,3300761.660000000149012,11690374.859999999403954
FS( 191 ),2984047.760000000242144,2733273.669999999925494,2804844.799999999813735,3251742.150000000372529,11773908.380000000819564
FS( 192 ),2999793.280000000260770,2786090.349999999627471,2844780.799999999813735,3269836.600000000093132,11900501.029999999329448
FS( 193 ),3033316.000000000000000,2775820.440000000409782,2868076.800000000279397,3284312.160000000149012,11961525.400000000372529
FS( 194 ),3064807.040000000502914,2765550.530000000260770,2875398.399999999906868,3309644.390000000130385,12015400.360000001266599
FS( 195 ),3060235.760000000242144,2783156.089999999850988,2877395.199999999720603,3278061.350000000093132,11998848.399999998509884
FS( 196 ),3070902.080000000074506,2762616.269999999552965,2897363.200000000186265,3280035.290000000502914,12010916.840000001713634
FS( 197 ),3065822.880000000353903,2797827.390000000130385,2892704.000000000000000,3287602.060000000521541,12043956.330000000074506
FS( 198 ),3057696.160000000614673,2809564.429999999701977,2888044.799999999813735,3308657.419999999925494,12063962.810000000521541
FS( 199 ),3046014.000000000000000,2796360.259999999776483,2896032.000000000000000,3301419.640000000130385,12039825.900000000372529
FS( 200 ),3081568.400000000372529,2833038.509999999776483,2911340.799999999813735,3307999.439999999944121,12133947.150000000372529
FS( 201 ),3113567.359999999869615,2866782.500000000000000,2987219.200000000186265,3341227.430000000167638,12308796.489999998360872
FS( 202 ),3103916.880000000353903,2903460.750000000000000,3022495.999999999534339,3331357.730000000447035,12361231.360000001266599
FS( 203 ),3049569.440000000409782,2922533.440000000409782,2962592.000000000000000,3347149.250000000000000,12281844.130000000819564
FS( 204 ),3101377.280000000260770,2909329.269999999552965,2987219.200000000186265,3321159.040000000502914,12319084.790000000968575
FS( 205 ),3050585.280000000260770,2907862.140000000130385,2992544.000000000000000,3248781.240000000223517,12199772.660000000149012
FS( 206 ),3241055.280000000260770,2909329.269999999552965,3012512.000000000000000,3264572.760000000242144,12427469.310000000521541
FS( 207 ),3226325.600000000558794,2909329.269999999552965,2991878.399999999906868,3262927.810000000521541,12390461.080000000074506
FS( 208 ),3245626.560000000055879,2869716.759999999776483,2986553.599999999627471,3246807.300000000279397,12348704.220000000670552
FS( 209 ),3287276.000000000000000,2869716.759999999776483,2979897.600000000093132,3246807.300000000279397,12383697.660000000149012
FS( 210 ),3312164.080000000074506,2882920.929999999701977,2954604.799999999813735,3258650.939999999944121,12408340.749999998137355
FS( 211 ),3310132.400000000372529,2904927.879999999888241,2959929.599999999627471,3237266.590000000316650,12412256.469999998807907
FS( 212 ),3302513.600000000093132,2904927.879999999888241,2959264.000000000000000,3244504.370000000577420,12411209.850000001490116
FS( 213 ),3335528.400000000372529,2947474.649999999906868,3006521.600000000093132,3290233.980000000447035,12579758.630000000819564
FS( 214 ),3366511.520000000484288,2962145.950000000186265,3008518.399999999906868,3273126.500000000000000,12610302.370000001043081
FS( 215 ),3402065.920000000391155,2963613.080000000074506,3025824.000000000000000,3319843.080000000074506,12711346.080000000074506
FS( 216 ),3458952.959999999962747,2997357.069999999832362,3006521.600000000093132,3291549.939999999944121,12754381.569999998435378
FS( 217 ),3578314.160000000614673,2934270.479999999981374,3013177.600000000093132,3289576.000000000000000,12815338.240000000223517
FS( 218 ),3580345.839999999850988,2919599.179999999701977,3017171.199999999720603,3272468.520000000018626,12789584.739999998360872
FS( 219 ),3646883.359999999869615,2938671.870000000111759,3057107.199999999720603,3278390.340000000316650,12921052.769999999552965
FS( 220 ),3696659.520000000484288,2944540.390000000130385,3065760.000000000000000,3275100.439999999944121,12982060.349999999627471
FS( 221 ),3611328.959999999962747,2921066.310000000055879,3042464.000000000000000,3244175.380000000353903,12819034.650000000372529
FS( 222 ),3643835.839999999850988,2962145.950000000186265,3057107.199999999720603,3265559.730000000447035,12928648.720000000670552
FS( 223 ),3643327.920000000391155,2976817.250000000000000,3109024.000000000000000,3289576.000000000000000,13018745.169999999925494
FS( 224 ),3735769.359999999869615,2987087.159999999683350,3123001.600000000093132,3306025.500000000000000,13151883.619999999180436
FS( 225 ),3722563.440000000409782,2951876.040000000037253,3099705.600000000093132,3311618.330000000074506,13085763.410000000149012
