代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13124441.750000000000000
真實報酬,3124441.750000000000000

夏普值報酬,0.303744175000000
夏普值風險,0.079667550649331
夏普值,3.812646083936702

二次趨勢線,11.676306139576869 x^2 + 9657.531995114532037 x + 10000000.000000000000000
二次加權預期報酬,13604.123470291520789
風險,155304.693136211601086
二次加權趨勢值,0.087596344936981
一次趨勢線,11877.481063580509726 x + 10000000.000000000000000
一次預期報酬,11877.481063580509726
一次風險,176552.998027629539138
一次趨勢值,0.067274309676247
找到最佳解世代,2968
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AAPL[0](12),DD[7](1),MRK[17](9),PFE[20](10),UNH[23](14),V[25](2),
FS( 7 ),1659321.729999999981374,1670397.000000000232831,1710257.639999999897555,1682269.299999999813735,1757387.020000000018626,1640773.899999999906868,10120410.589999999850988
FS( 8 ),1693050.969999999972060,1691290.600000000093132,1760237.709999999962747,1729079.199999999953434,1763887.280000000027940,1663080.939999999944121,10300630.699999999254942
FS( 9 ),1687882.779999999795109,1692783.000000000000000,1774141.939999999944121,1770688.000000000000000,1779996.620000000111759,1669454.379999999888241,10374950.719999998807907
FS( 10 ),1670202.129999999888241,1686813.400000000139698,1770384.039999999804422,1772421.699999999953434,1781409.720000000204891,1650732.399999999906868,10331967.390000000596046
FS( 11 ),1631576.709999999962747,1603612.099999999860302,1745957.689999999944121,1759707.899999999906868,1740712.440000000176951,1606118.320000000065193,10087689.160000000149012
FS( 12 ),1656329.620000000111759,1608462.400000000139698,1764747.189999999944121,1788025.000000000000000,1775192.080000000074506,1640375.559999999823049,10233135.850000001490116
FS( 13 ),1565206.270000000018626,1609954.800000000046566,1757231.389999999897555,1783979.699999999953434,1753147.720000000204891,1615678.479999999981374,10085202.360000001266599
FS( 14 ),1523588.739999999990687,1603612.099999999860302,1749715.589999999850988,1767798.500000000000000,1687014.640000000130385,1607313.340000000083819,9939046.910000000149012
FS( 15 ),1517604.520000000018626,1623386.399999999906868,1784664.059999999823049,1794959.799999999813735,1696906.340000000083819,1632807.100000000093132,10050332.219999998807907
FS( 16 ),1549157.680000000167638,1646518.600000000093132,1800823.030000000027940,1787447.099999999860302,1673731.500000000000000,1628425.360000000102445,10086107.269999999552965
FS( 17 ),1578262.750000000000000,1682336.200000000186265,1827504.119999999878928,1796115.599999999860302,1654513.340000000083819,1649935.719999999972060,10188671.730000000447035
FS( 18 ),1575542.650000000139698,1709199.400000000139698,1801950.399999999906868,1768376.399999999906868,1661578.840000000083819,1663877.620000000111759,10180529.309999998658895
FS( 19 ),1586967.070000000065193,1805086.100000000093132,1779403.000000000000000,1748727.800000000046566,1677122.940000000176951,1680607.899999999906868,10277918.810000000521541
FS( 20 ),1621240.330000000074506,1775611.200000000186265,1798944.079999999841675,1738903.500000000000000,1681079.620000000111759,1665470.979999999981374,10281253.710000000894070
FS( 21 ),1671562.180000000167638,1799489.599999999860302,1797065.129999999888241,1758552.099999999860302,1696058.479999999981374,1672242.759999999776483,10394974.250000000000000
FS( 22 ),1720523.979999999981374,1801728.199999999953434,1766250.349999999860302,1679957.699999999953434,1693797.520000000018626,1677819.519999999785796,10340081.269999999552965
FS( 23 ),1707195.489999999990687,1761433.400000000139698,1717021.859999999869615,1670133.399999999906868,1687862.500000000000000,1653520.779999999795109,10197171.429999999701977
FS( 24 ),1731404.379999999888241,1759941.000000000000000,1718525.019999999785796,1691515.699999999953434,1681079.620000000111759,1746732.340000000083819,10329202.059999998658895
FS( 25 ),1748541.010000000009313,1804339.900000000139698,1716270.280000000027940,1673600.800000000046566,1665252.900000000139698,1788159.699999999953434,10396168.589999999850988
FS( 26 ),1790430.549999999813735,1806951.600000000093132,1690340.769999999785796,1659731.199999999953434,1701428.260000000242144,1781387.919999999925494,10430274.300000000745058
FS( 27 ),1782270.249999999767169,1835307.199999999953434,1701238.679999999934807,1677646.099999999860302,1709906.860000000102445,1790549.739999999990687,10496922.830000000074506
FS( 28 ),1802398.990000000223517,1833814.800000000046566,1690716.559999999823049,1660309.099999999860302,1766713.479999999981374,1785371.320000000065193,10539328.250000000000000
FS( 29 ),1774925.979999999981374,1855454.599999999860302,1709506.059999999823049,1652796.399999999906868,1752582.479999999981374,1778599.539999999804422,10523869.059999998658895
FS( 30 ),1760237.439999999711290,1830830.000000000000000,1726792.399999999906868,1659731.199999999953434,1778018.280000000027940,1780192.899999999906868,10535806.220000000670552
FS( 31 ),1767037.689999999711290,1825233.500000000000000,1735059.780000000027940,1697294.699999999953434,1763322.040000000037253,1781786.259999999776483,10569737.970000000670552
FS( 32 ),1724876.139999999897555,1855827.700000000186265,1753097.699999999720603,1699028.399999999906868,1744669.120000000111759,1795728.159999999916181,10573231.219999998807907
FS( 33 ),1666393.989999999990687,1877840.600000000093132,1756104.019999999785796,1708274.799999999813735,1741277.680000000167638,1810068.399999999906868,10559963.490000000223517
FS( 34 ),1688698.809999999823049,1865155.200000000186265,1742575.579999999841675,1690359.899999999906868,1756256.540000000037253,1790549.739999999990687,10533599.770000001415610
FS( 35 ),1683530.620000000111759,1903211.399999999906868,1728295.559999999823049,1673600.800000000046566,1776039.940000000176951,1837952.199999999953434,10602634.519999999552965
FS( 36 ),1721340.010000000009313,1892018.400000000139698,1698983.939999999944121,1658575.399999999906868,1768126.580000000074506,1808475.039999999804422,10547523.369999999180436
FS( 37 ),1708555.540000000037253,1900972.800000000046566,1778651.419999999692664,1663198.599999999860302,1776887.800000000046566,1808076.699999999953434,10636346.859999999403954
FS( 38 ),1715083.779999999795109,1865901.399999999906868,1755352.439999999944121,1693249.399999999906868,1760213.220000000204891,1794134.799999999813735,10583939.039999999105930
FS( 39 ),1718075.889999999897555,1865155.200000000186265,1778651.419999999692664,1682269.299999999813735,1762474.180000000167638,1773819.459999999962747,10580449.449999999254942
FS( 40 ),1729772.320000000065193,1864035.900000000139698,1772262.989999999757856,1678223.999999999767169,1753995.580000000074506,1796923.179999999934807,10595217.969999998807907
FS( 41 ),1715355.790000000037253,1861797.300000000046566,1789549.329999999841675,1676490.300000000046566,1790170.940000000176951,1792939.779999999795109,10626307.439999999478459
FS( 42 ),1728956.290000000037253,1856573.899999999906868,1761365.079999999841675,1634303.599999999860302,1790453.560000000055879,1774217.799999999813735,10545874.230000000447035
FS( 43 ),1754797.240000000223517,1849111.900000000139698,1768880.879999999888241,1632569.899999999906868,1827476.780000000027940,1802898.279999999795109,10635738.979999998584390
FS( 44 ),1747724.979999999981374,1830830.000000000000000,1754976.649999999906868,1573624.099999999860302,1770104.920000000158325,1774217.799999999813735,10451482.449999999254942
FS( 45 ),1751533.120000000111759,1824487.300000000046566,1820739.899999999906868,1603674.899999999906868,1774909.459999999962747,1794533.139999999897555,10569881.820000000298023
FS( 46 ),1746092.919999999925494,1839411.300000000046566,1857943.109999999869615,1598473.799999999813735,1762474.180000000167638,1794533.139999999897555,10598932.450000001117587
FS( 47 ),1729772.320000000065193,1788296.600000000093132,1831262.019999999785796,1588071.599999999860302,1745234.360000000102445,1765055.979999999981374,10447696.879999998956919
FS( 48 ),1703931.370000000111759,1800608.899999999906868,1826376.750000000000000,1624479.299999999813735,1750038.900000000139698,1786168.000000000000000,10491607.219999998807907
FS( 49 ),1716987.849999999860302,1825233.500000000000000,1810969.359999999869615,1633147.800000000046566,1768409.200000000186265,1792143.100000000093132,10546894.809999998658895
FS( 50 ),1705563.430000000167638,1824114.199999999953434,1821115.689999999944121,1639504.699999999953434,1799780.020000000018626,1815645.159999999916181,10605727.200000001117587
FS( 51 ),1700395.239999999990687,1806578.500000000000000,1787294.589999999850988,1642394.199999999953434,1806845.520000000018626,1789354.719999999972060,10532866.770000001415610
FS( 52 ),1679450.469999999972060,1795385.500000000000000,1775645.099999999860302,1642972.099999999860302,1804019.320000000065193,1784176.299999999813735,10481652.789999999105930
FS( 53 ),1694139.010000000009313,1840903.700000000186265,1800071.449999999720603,1680535.599999999860302,1813063.160000000149012,1814848.479999999981374,10643565.400000000372529
FS( 54 ),1671290.169999999925494,1806951.600000000093132,1801950.399999999906868,1681113.500000000000000,1803171.459999999962747,1801703.259999999776483,10566184.389999998733401
FS( 55 ),1678634.439999999944121,1814040.500000000000000,1796313.549999999813735,1685158.799999999813735,1819280.800000000279397,1816043.500000000000000,10609475.589999999850988
FS( 56 ),1677818.409999999916181,1839411.300000000046566,1794434.599999999860302,1699028.399999999906868,1856304.020000000251457,1832375.439999999944121,10699376.169999998062849
FS( 57 ),1643817.159999999916181,1811801.900000000139698,1788046.169999999692664,1681691.399999999906868,1844433.980000000214204,1818831.879999999888241,10588626.489999998360872
FS( 58 ),1619880.279999999795109,1763672.000000000232831,1740320.839999999850988,1655108.000000000000000,1803171.459999999962747,1777404.519999999785796,10359561.099999999627471
FS( 59 ),1606823.800000000046566,1733824.000000000000000,1766250.349999999860302,1644705.800000000046566,1805997.660000000149012,1787761.360000000102445,10345366.969999998807907
FS( 60 ),1564390.239999999990687,1718900.000000000000000,1744078.739999999757856,1601363.300000000046566,1827194.160000000149012,1775412.820000000065193,10231343.260000001639128
FS( 61 ),1564662.250000000000000,1726735.100000000093132,1737314.519999999785796,1617544.499999999767169,1801193.120000000111759,1797321.519999999785796,10244775.009999999776483
FS( 62 ),1546981.599999999860302,1711064.900000000139698,1754600.859999999869615,1623901.399999999906868,1830868.220000000204891,1818831.879999999888241,10286252.859999999403954
FS( 63 ),1530116.979999999981374,1718900.000000000000000,1776772.469999999972060,1628524.599999999860302,1867891.440000000176951,1835163.820000000065193,10357373.310000000521541
FS( 64 ),1540997.379999999888241,1709199.400000000139698,1745581.899999999906868,1618700.300000000046566,1850651.620000000111759,1820026.899999999906868,10285161.500000000000000
FS( 65 ),1590231.189999999944121,1726735.100000000093132,1740696.629999999888241,1605408.599999999860302,1854890.919999999925494,1844723.979999999981374,10362690.419999999925494
FS( 66 ),1626136.510000000009313,1723750.300000000046566,1749339.799999999813735,1600785.399999999906868,1844716.600000000093132,1844723.979999999981374,10389456.589999999850988
FS( 67 ),1635112.839999999850988,1723004.100000000093132,1749339.799999999813735,1597895.899999999906868,1852347.340000000316650,1862649.279999999795109,10420353.259999999776483
FS( 68 ),1622056.360000000102445,1736808.800000000046566,1772262.989999999757856,1616388.699999999953434,1870152.400000000139698,1900093.239999999990687,10517766.490000000223517
FS( 69 ),1612808.020000000018626,1758075.500000000000000,1781657.739999999757856,1625635.099999999860302,1909436.580000000074506,1873404.459999999962747,10561021.399999998509884
FS( 70 ),1641369.070000000065193,1807697.800000000046566,1789549.329999999841675,1638348.899999999906868,1921024.000000000000000,1864242.639999999897555,10662235.740000000223517
FS( 71 ),1634840.830000000074506,1795385.500000000000000,1802326.189999999944121,1643550.000000000000000,1913110.640000000130385,1859462.559999999823049,10648679.720000000670552
FS( 72 ),1660409.770000000018626,1817025.300000000046566,1815478.839999999850988,1662620.699999999953434,1932046.180000000167638,1891728.100000000093132,10779312.890000000596046
FS( 73 ),1657417.659999999916181,1812921.200000000186265,1824122.009999999776483,1664932.299999999813735,1921871.860000000102445,1899296.559999999823049,10780565.589999999850988
FS( 74 ),1660953.790000000037253,1827845.200000000186265,1823370.429999999934807,1663776.499999999767169,1911132.300000000279397,1894516.479999999981374,10781598.700000001117587
FS( 75 ),1671834.189999999944121,1805086.100000000093132,1812472.519999999785796,1657419.599999999860302,1891066.280000000027940,1886151.340000000083819,10724034.029999999329448
FS( 76 ),1672106.199999999953434,1845380.900000000139698,1808714.619999999878928,1657419.599999999860302,1871848.120000000111759,1888541.379999999888241,10744014.820000000298023
FS( 77 ),1677818.409999999916181,1837545.800000000046566,1781281.949999999720603,1646439.499999999767169,1993939.959999999962747,1902084.939999999944121,10839114.560000000521541
FS( 78 ),1651433.439999999944121,1842023.000000000000000,1795937.759999999776483,1681113.500000000000000,2019375.760000000242144,1891329.759999999776483,10881217.219999998807907
FS( 79 ),1656601.629999999888241,1837918.899999999906868,1793307.229999999748543,1696138.899999999906868,2040007.020000000251457,1904474.979999999981374,10928452.660000000149012
FS( 80 ),1628312.589999999850988,1835680.300000000046566,1801198.819999999832362,1700184.199999999953434,2054420.640000000130385,1878184.539999999804422,10897985.089999997988343
FS( 81 ),1711819.659999999916181,1826352.800000000046566,1795186.179999999934807,1692093.599999999860302,2049898.720000000204891,1859860.899999999906868,10935215.859999999403954
FS( 82 ),1703931.370000000111759,1859185.600000000093132,1810217.780000000027940,1686892.500000000000000,2052442.300000000279397,1937935.539999999804422,11050609.089999999850988
FS( 83 ),1713723.729999999981374,1843888.500000000000000,1822243.059999999823049,1697294.699999999953434,2040854.879999999888241,1923993.639999999897555,11042002.510000001639128
FS( 84 ),1740108.699999999953434,1859558.700000000186265,1816606.209999999962747,1707118.999999999767169,2057246.840000000316650,1911645.100000000093132,11092288.550000000745058
FS( 85 ),1761597.490000000223517,1862916.600000000093132,1805708.299999999813735,1714631.699999999953434,2042550.600000000093132,1906466.679999999934807,11093875.370000001043081
FS( 86 ),1758605.380000000121072,1861797.300000000046566,1810217.780000000027940,1689204.099999999860302,2058942.560000000055879,1762665.939999999944121,10941437.059999998658895
FS( 87 ),1774653.969999999739230,1880825.399999999906868,1825625.169999999692664,1682269.299999999813735,2067703.780000000027940,1784176.299999999813735,11015257.919999998062849
FS( 88 ),1797502.809999999823049,1924478.100000000093132,1824122.009999999776483,1697294.699999999953434,2042267.980000000214204,1832375.439999999944121,11118045.039999999105930
FS( 89 ),1824159.790000000037253,1938282.800000000046566,1823746.219999999972060,1686892.500000000000000,2072790.940000000176951,1837952.199999999953434,11183828.449999999254942
FS( 90 ),1807839.189999999711290,1915896.800000000046566,1820364.109999999869615,1695561.000000000000000,2069964.739999999990687,1821221.919999999925494,11130851.759999999776483
FS( 91 ),1807023.160000000149012,1928209.100000000093132,1824497.799999999813735,1690937.800000000046566,2060920.900000000139698,1806483.340000000083819,11118076.099999999627471
FS( 92 ),1791518.589999999850988,1961041.900000000139698,1821491.479999999748543,1683425.099999999860302,2068269.020000000251457,1800508.239999999990687,11126258.330000000074506
FS( 93 ),1765949.650000000139698,2021111.000000000000000,1818485.159999999916181,1688048.300000000046566,2061203.520000000251457,1790549.739999999990687,11145351.370000001043081
FS( 94 ),1816271.499999999767169,1991263.000000000000000,1821491.479999999748543,1686892.500000000000000,2045942.040000000037253,1790151.399999999906868,11152015.919999999925494
FS( 95 ),1902498.669999999925494,2012529.699999999953434,1819988.319999999832362,1691515.699999999953434,2073073.560000000055879,1784972.979999999981374,11284582.929999999701977
FS( 96 ),1937043.939999999711290,2005813.899999999906868,1825249.379999999888241,1677646.099999999860302,2048768.239999999990687,1776209.500000000000000,11270735.059999998658895
FS( 97 ),1934867.859999999869615,1974100.399999999906868,1802701.979999999748543,1664354.399999999906868,2017962.660000000149012,1731993.759999999776483,11125985.059999998658895
FS( 98 ),1952004.490000000223517,1959922.600000000093132,1792555.649999999906868,1639504.699999999953434,2018810.520000000251457,1724026.959999999962747,11086828.920000001788139
FS( 99 ),1972949.260000000009313,1946117.899999999906868,1788046.169999999692664,1644705.800000000046566,2026723.879999999888241,1742748.939999999944121,11121295.949999999254942
FS( 100 ),1947108.309999999823049,1963280.500000000000000,1787294.589999999850988,1648751.099999999860302,2047920.379999999888241,1725221.979999999981374,11119580.859999999403954
FS( 101 ),1952276.499999999767169,1973354.199999999953434,1783536.689999999944121,1631991.999999999767169,2030680.560000000055879,1776607.840000000083819,11148451.789999999105930
FS( 102 ),1954452.579999999841675,1975965.900000000139698,1796689.339999999850988,1627368.799999999813735,2034072.000000000000000,1781786.259999999776483,11170338.880000000819564
FS( 103 ),1946836.299999999813735,2058421.000000000000000,1793683.019999999785796,1637771.000000000000000,2050181.340000000316650,1783777.959999999962747,11270674.620000001043081
FS( 104 ),1954452.579999999841675,2053570.699999999953434,1789549.329999999841675,1619278.199999999953434,2045659.419999999925494,1742748.939999999944121,11205263.169999999925494
FS( 105 ),1898690.529999999795109,1995740.200000000186265,1770384.039999999804422,1618122.399999999906868,2021354.100000000093132,1734383.799999999813735,11038679.070000000298023
FS( 106 ),1907666.859999999869615,1989770.600000000093132,1769632.459999999962747,1630258.300000000046566,2021919.340000000316650,1744740.639999999897555,11063992.200000001117587
FS( 107 ),1910658.969999999739230,1993501.600000000093132,1770008.250000000000000,1623901.399999999906868,2047355.140000000130385,1746334.000000000000000,11091763.360000001266599
FS( 108 ),1893250.329999999841675,1987158.899999999906868,1777148.259999999776483,1630258.300000000046566,2027571.739999999990687,1737172.179999999934807,11052563.709999999031425
FS( 109 ),1898690.529999999795109,1989397.500000000000000,1774141.939999999944121,1618700.300000000046566,2050746.580000000074506,1763064.279999999795109,11094745.129999998956919
FS( 110 ),1937859.969999999739230,2007306.300000000046566,1791804.069999999832362,1639504.699999999953434,2073073.560000000055879,1754699.139999999897555,11204251.740000000223517
FS( 111 ),1924531.479999999981374,2040885.300000000046566,1785415.639999999897555,1633725.699999999953434,2092574.340000000316650,1754699.139999999897555,11231835.600000001490116
FS( 112 ),1935955.900000000139698,2048720.399999999906868,1784664.059999999823049,1634303.599999999860302,2093139.580000000074506,1759479.219999999972060,11256266.759999999776483
FS( 113 ),1966965.040000000037253,2062152.000000000232831,1794058.809999999823049,1635459.399999999906868,2098509.360000000335276,1778201.199999999953434,11335349.809999998658895
FS( 114 ),1922083.389999999897555,2124459.700000000186265,1803077.769999999785796,1644127.899999999906868,2109248.919999999925494,1838350.539999999804422,11441352.219999998807907
FS( 115 ),1817631.549999999813735,2117370.799999999813735,1809090.409999999916181,1656841.699999999953434,2124793.020000000484288,1855479.159999999916181,11381210.640000000596046
FS( 116 ),1836944.260000000009313,2064763.700000000186265,1798192.500000000000000,1636037.299999999813735,2112357.740000000223517,1843130.620000000111759,11291430.120000001043081
FS( 117 ),1806479.139999999897555,2118490.099999999627471,1795937.759999999776483,1647595.300000000046566,2105009.620000000111759,1882167.939999999944121,11355683.859999997541308
FS( 118 ),1749085.029999999795109,2114759.099999999627471,1810969.359999999869615,1659153.300000000046566,2123097.299999999813735,1886151.340000000083819,11343219.429999999701977
FS( 119 ),1769485.779999999795109,2109908.799999999813735,1804205.139999999897555,1655108.000000000000000,2100205.080000000074506,1908060.039999999804422,11346976.839999999850988
FS( 120 ),1805663.109999999869615,2171097.200000000186265,1818860.949999999720603,1678223.999999999767169,2064312.340000000316650,1928375.379999999888241,11466536.980000000447035
FS( 121 ),1835312.199999999953434,2157665.599999999627471,1813599.889999999897555,1666666.000000000000000,2002135.940000000176951,1939130.559999999823049,11414514.189999999478459
FS( 122 ),1816271.499999999767169,2109535.700000000186265,1804205.139999999897555,1674178.699999999953434,1994505.199999999953434,1980159.580000000074506,11378859.820000000298023
FS( 123 ),1906578.820000000065193,2084911.100000000093132,1791804.069999999832362,1664354.399999999906868,2029832.699999999953434,1954267.479999999981374,11431752.570000000298023
FS( 124 ),1900594.600000000093132,2078195.300000000046566,1786167.219999999972060,1659153.300000000046566,2043963.699999999953434,1925587.000000000000000,11393665.119999999180436
FS( 125 ),1871217.520000000251457,2117743.900000000372529,1791428.280000000027940,1646439.499999999767169,2034354.620000000111759,1907661.699999999953434,11368849.519999999552965
FS( 126 ),1889442.189999999711290,2124832.799999999813735,1791804.069999999832362,1648173.199999999953434,2039441.780000000027940,1927578.699999999953434,11421276.739999998360872
FS( 127 ),1875841.689999999711290,2073345.000000000000000,1795937.759999999776483,1668977.599999999860302,2034637.239999999990687,1922400.279999999795109,11371143.569999998435378
FS( 128 ),1852720.839999999850988,2040512.199999999953434,1789173.539999999804422,1660309.099999999860302,2023897.680000000167638,1903279.959999999962747,11269897.320000000298023
FS( 129 ),1896242.439999999711290,2035661.900000000139698,1831637.809999999823049,1669555.500000000000000,2051311.820000000065193,1924391.979999999981374,11408805.449999999254942
FS( 130 ),1902498.669999999925494,2056182.400000000139698,1817733.579999999841675,1676490.300000000046566,2051029.199999999953434,1910450.080000000074506,11414388.230000000447035
FS( 131 ),1878561.790000000037253,2059913.400000000139698,1817357.789999999804422,1662620.699999999953434,2049616.100000000093132,1878582.879999999888241,11346656.660000000149012
FS( 132 ),1876929.729999999981374,2124832.799999999813735,1812472.519999999785796,1675912.399999999906868,2062899.239999999990687,1896906.519999999785796,11449957.209999999031425
FS( 133 ),1895426.410000000149012,2090880.699999999953434,1799695.659999999916181,1653952.199999999953434,2039724.400000000139698,1855479.159999999916181,11335162.530000001192093
FS( 134 ),1869041.439999999711290,2046854.900000000139698,1794434.599999999860302,1631991.999999999767169,2020223.620000000111759,1817636.860000000102445,11180187.419999998062849
FS( 135 ),1890802.240000000223517,2068121.600000000093132,1776396.679999999934807,1634881.499999999767169,2017397.419999999925494,1830782.080000000074506,11218385.520000001415610
FS( 136 ),1902770.680000000167638,2146472.599999999627471,1784664.059999999823049,1662620.699999999953434,2090878.620000000111759,1882566.279999999795109,11469976.939999999478459
FS( 137 ),1915011.130000000121072,2182290.200000000186265,1777148.259999999776483,1659731.199999999953434,2099074.599999999627471,1914035.139999999897555,11547294.530000001192093
FS( 138 ),1927523.589999999850988,2168858.600000000558794,1756855.599999999860302,1696138.899999999906868,2111792.500000000000000,1926383.679999999934807,11587556.869999999180436
FS( 139 ),1937859.969999999739230,2148338.099999999627471,1750091.379999999888241,1685158.799999999813735,2087769.800000000279397,1905670.000000000000000,11514892.049999998882413
FS( 140 ),1947380.320000000065193,2185275.000000000000000,1772638.780000000027940,1722144.399999999906868,2125075.639999999664724,1948292.379999999888241,11700810.519999999552965
FS( 141 ),1960436.799999999813735,2199079.700000000186265,1770384.039999999804422,1748727.800000000046566,2017114.800000000279397,1974582.820000000065193,11670329.960000000894070
FS( 142 ),1977573.430000000167638,2194975.599999999627471,1751594.539999999804422,1763175.300000000046566,1943350.980000000214204,1996093.179999999934807,11626767.029999999329448
FS( 143 ),2025991.210000000195578,2197587.299999999813735,1747836.639999999897555,1756818.399999999906868,1927524.260000000242144,1992109.779999999795109,11647871.589999997988343
FS( 144 ),2020278.999999999767169,2207661.000000000000000,1746333.479999999748543,1772999.599999999860302,1946177.180000000167638,1991711.439999999944121,11685165.699999999254942
FS( 145 ),2039863.719999999739230,2180424.700000000186265,1749715.589999999850988,1768376.399999999906868,1922154.480000000214204,1980557.919999999925494,11641096.810000000521541
FS( 146 ),2067064.719999999739230,2158411.799999999813735,1736938.729999999748543,1768954.299999999813735,1910849.680000000167638,2020790.259999999776483,11663013.489999998360872
FS( 147 ),2043943.870000000111759,2099835.099999999627471,1748964.009999999776483,1768954.299999999813735,1911132.300000000279397,2022383.620000000111759,11595217.199999999254942
FS( 148 ),2059176.430000000167638,2078195.300000000046566,1704245.000000000000000,1776466.999999999767169,1891914.140000000130385,2022383.620000000111759,11532385.490000002086163
FS( 149 ),2007766.540000000037253,2096477.199999999953434,1712888.169999999692664,1805939.899999999906868,1924132.820000000065193,2033935.479999999981374,11581144.110000001266599
FS( 150 ),2039863.719999999739230,2086030.399999999906868,1700111.309999999823049,1787447.099999999860302,1922154.480000000214204,2029952.080000000074506,11565563.089999999850988
FS( 151 ),2031159.400000000139698,2097223.400000000372529,1694474.459999999962747,1773577.500000000000000,1929219.980000000214204,1958649.219999999972060,11484307.960000000894070
FS( 152 ),2020823.020000000251457,2069614.000000000000000,1699735.519999999785796,1801316.699999999953434,1939676.919999999925494,1983346.299999999813735,11514516.460000000894070
FS( 153 ),2046935.979999999981374,2040512.199999999953434,1718149.229999999748543,1806517.800000000046566,1948720.760000000242144,1956259.179999999934807,11517099.149999998509884
FS( 154 ),2041767.790000000037253,2057301.699999999953434,1704620.789999999804422,1805361.999999999767169,1942220.500000000000000,1965421.000000000000000,11516697.780000001192093
FS( 155 ),2024359.150000000139698,2086030.399999999906868,1727168.189999999944121,1789758.699999999953434,1986591.840000000316650,1982151.279999999795109,11596063.560000000521541
FS( 156 ),1991445.939999999711290,2054690.000000000000000,1721907.129999999888241,1786291.299999999813735,1971612.980000000214204,1953072.459999999962747,11479023.809999998658895
FS( 157 ),2022999.100000000093132,2107670.200000000186265,1758734.549999999813735,1809985.199999999953434,1992526.860000000102445,1974582.820000000065193,11666502.730000000447035
FS( 158 ),2017014.880000000121072,2107297.099999999627471,1766250.349999999860302,1805361.999999999767169,1992526.860000000102445,1984541.320000000065193,11672996.509999999776483
FS( 159 ),2020823.020000000251457,2090134.500000000232831,1788421.959999999962747,1813452.599999999860302,1976982.760000000242144,1974582.820000000065193,11664401.660000000149012
FS( 160 ),2023271.109999999869615,2103939.200000000186265,1779027.209999999962747,1841769.699999999953434,2006940.480000000214204,1989719.739999999990687,11744671.439999999478459
FS( 161 ),2052376.180000000167638,2130802.400000000372529,1797065.129999999888241,1849282.399999999906868,2019093.140000000130385,1993304.799999999813735,11841928.050000000745058
FS( 162 ),2040135.729999999981374,2137518.200000000186265,1806459.879999999888241,1860840.400000000139698,2031245.800000000279397,2011628.439999999944121,11887832.450000001117587
FS( 163 ),2015382.820000000065193,2118490.099999999627471,1804205.139999999897555,1849860.299999999813735,2025876.020000000251457,1990914.759999999776483,11804733.139999998733401
FS( 164 ),2018918.949999999953434,2109535.700000000186265,1806459.879999999888241,1829633.799999999813735,2023897.680000000167638,1965819.340000000083819,11754269.349999999627471
FS( 165 ),2001238.299999999813735,2086030.399999999906868,1808714.619999999878928,1844659.199999999953434,2034354.620000000111759,1972989.459999999962747,11747990.600000001490116
FS( 166 ),2025175.180000000167638,2105804.700000000186265,1827128.329999999841675,1847548.699999999953434,2060638.280000000027940,2007645.039999999804422,11873944.229999998584390
