代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14711985.290000002831221
真實報酬,4711985.290000002831221

夏普值報酬,0.462498529000000
夏普值風險,0.113887120872195
夏普值,4.061025737221163

二次趨勢線,12.170934262818996 x^2 + 15875.625779439104008 x + 10000000.000000000000000
二次加權預期報酬,19973.173647921499651
風險,242171.786267362476792
二次加權趨勢值,0.082475229488008
一次趨勢線,18180.487417638039915 x + 10000000.000000000000000
一次預期報酬,18180.487417638039915
一次風險,257271.335752537735971
一次趨勢值,0.070666587727151
找到最佳解世代,2352
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](7),HD[9](9),MCD[15](6),MRK[17](8),MSFT[18](11),PG[21](3),
FS( 30 ),2019838.770000000251457,1736605.000000000000000,1613866.750000000000000,1585154.680000000167638,1704642.840000000083819,1761733.500000000000000,10421845.540000000968575
FS( 31 ),2042882.000000000000000,1715623.300000000279397,1616280.429999999934807,1608620.060000000055879,1731399.250000000000000,1756202.300000000046566,10471011.340000001713634
FS( 32 ),2022190.120000000111759,1706531.229999999981374,1612961.619999999878928,1572804.479999999981374,1745209.010000000009313,1751708.200000000186265,10411408.660000000149012
FS( 33 ),2086617.110000000102445,1819832.410000000149012,1635288.160000000149012,1589477.250000000000000,1778007.190000000176951,1815662.700000000186265,10724888.820000000298023
FS( 34 ),2098373.859999999869615,1722617.199999999953434,1625331.729999999981374,1591329.780000000027940,1752977.000000000000000,1830527.800000000046566,10621161.370000001043081
FS( 35 ),2096492.780000000027940,1666666.000000000000000,1697138.709999999962747,1611090.100000000093132,1759018.770000000018626,1867517.700000000186265,10697928.059999998658895
FS( 36 ),2035827.950000000186265,1600923.340000000083819,1680242.949999999953434,1612942.630000000121072,1710684.610000000102445,1832947.700000000186265,10473573.179999999701977
FS( 37 ),2019368.500000000000000,1598825.170000000158325,1722180.639999999897555,1616030.180000000167638,1704642.840000000083819,1833293.400000000139698,10494344.730000000447035
FS( 38 ),2076741.439999999944121,1664567.830000000074506,1775281.600000000093132,1640113.069999999832362,1755566.330000000074506,1859220.900000000139698,10771495.169999999925494
FS( 39 ),2048995.510000000009313,1631696.500000000000000,1744507.179999999934807,1644435.639999999897555,1737441.020000000018626,1790080.900000000139698,10597160.750000000000000
FS( 40 ),2084265.760000000009313,1587634.930000000167638,1753860.189999999944121,1653080.780000000027940,1765060.540000000037253,1818082.600000000093132,10661988.800000000745058
FS( 41 ),2109190.070000000298023,1619806.870000000111759,1779807.250000000000000,1703099.089999999850988,1803037.380000000121072,1795612.099999999860302,10810556.759999999776483
FS( 42 ),2243217.020000000018626,1689745.870000000111759,1805754.310000000055879,1700011.540000000037253,1847055.989999999990687,1844701.500000000000000,11130490.230000000447035
FS( 43 ),2313757.520000000018626,1713525.130000000121072,1821744.939999999944121,1710509.209999999962747,1847055.989999999990687,1856801.000000000000000,11263397.789999999105930
FS( 44 ),2274725.109999999869615,1704433.060000000288710,1840149.250000000000000,1703716.600000000093132,1875538.620000000111759,1860258.000000000232831,11258824.640000000596046
FS( 45 ),2378184.510000000242144,1718420.860000000102445,1817521.000000000000000,1641348.089999999850988,1884169.719999999972060,1844355.800000000046566,11284003.980000000447035
FS( 46 ),2476000.669999999925494,1690445.260000000242144,1806357.729999999981374,1609855.080000000074506,1910926.130000000121072,1838478.900000000139698,11332067.770000001415610
FS( 47 ),2484465.530000000260770,1717721.469999999972060,1771661.079999999841675,1601209.939999999944121,1903158.140000000130385,1837096.100000000093132,11315316.259999999776483
FS( 48 ),2461892.570000000298023,1703034.280000000260770,1782522.639999999897555,1588242.229999999981374,1905747.469999999972060,1811860.000000000000000,11253303.190000001341105
FS( 49 ),2459541.220000000204891,1705831.840000000083819,1760799.520000000018626,1580214.600000000093132,1946313.640000000130385,1800451.899999999906868,11253156.720000000670552
FS( 50 ),2382416.939999999944121,1694641.600000000093132,1739981.530000000027940,1617265.200000000186265,1970480.719999999972060,1798032.000000000000000,11202821.990000000223517
FS( 51 ),2419098.000000000000000,1689046.479999999981374,1760799.520000000018626,1610472.589999999850988,2013636.219999999972060,1816699.800000000046566,11309756.610000001266599
FS( 52 ),2328806.160000000149012,1668064.780000000260770,1743300.340000000083819,1541311.469999999972060,2021404.210000000195578,1774524.399999999906868,11077415.360000001266599
FS( 53 ),2296357.530000000260770,1622604.430000000167638,1721878.929999999934807,1508583.439999999944121,2023993.540000000037253,1732003.300000000046566,10905425.170000001788139
FS( 54 ),2283189.970000000204891,1654076.979999999981374,1730930.229999999981374,1529578.780000000027940,2043845.070000000065193,1728892.000000000000000,10970517.029999999329448
FS( 55 ),2302471.040000000037253,1633095.280000000260770,1754765.319999999832362,1583919.659999999916181,2028309.090000000083819,1768993.200000000186265,11071557.589999999850988
FS( 56 ),2278017.000000000000000,1644984.910000000149012,1755067.030000000027940,1599974.919999999925494,2077506.360000000102445,1750671.100000000093132,11106225.320000000298023
FS( 57 ),2205595.419999999925494,1626101.380000000121072,1725801.160000000149012,1554896.689999999944121,2009320.670000000158325,1747905.500000000232831,10869624.820000000298023
FS( 58 ),2063103.610000000102445,1600223.949999999953434,1712525.919999999925494,1550574.119999999878928,2014499.330000000074506,1747559.800000000046566,10688490.730000000447035
FS( 59 ),1943184.760000000009313,1586236.150000000139698,1698647.259999999776483,1571569.459999999962747,2025719.760000000009313,1747559.800000000046566,10572921.190000001341105
FS( 60 ),2000087.430000000167638,1648481.860000000102445,1733645.619999999878928,1640730.580000000074506,2053339.280000000027940,1786623.900000000139698,10862912.669999999925494
FS( 61 ),1969519.880000000121072,1651279.420000000158325,1719766.959999999962747,1667283.510000000009313,2015362.440000000176951,1789043.800000000046566,10812260.009999999776483
FS( 62 ),2005730.670000000158325,1669463.560000000288710,1726706.289999999804422,1719771.860000000102445,2059381.050000000046566,1805637.399999999906868,10986694.830000001937151
FS( 63 ),1998676.620000000111759,1652678.199999999953434,1734550.750000000000000,1726564.469999999972060,2051613.060000000055879,1766573.300000000046566,10930660.400000000372529
FS( 64 ),1985979.330000000074506,1658273.320000000065193,1756575.579999999841675,1732122.060000000055879,2074917.030000000027940,1797686.300000000046566,11005557.620000001043081
FS( 65 ),1920141.530000000027940,1595328.219999999972060,1733343.910000000149012,1667901.020000000018626,2017088.660000000149012,1766919.000000000000000,10700726.339999999850988
FS( 66 ),1907444.240000000223517,1600223.949999999953434,1749636.250000000000000,1722241.900000000139698,2002415.790000000037253,1803563.200000000186265,10785529.330000001937151
FS( 67 ),1835963.200000000186265,1566653.229999999981374,1713732.759999999776483,1705569.130000000121072,1944587.420000000158325,1794575.000000000000000,10561084.740000000223517
FS( 68 ),1859946.969999999972060,1584837.370000000111759,1720973.800000000046566,1731504.550000000046566,1947176.750000000000000,1819811.100000000093132,10664254.539999999105930
FS( 69 ),1848190.219999999972060,1586236.150000000139698,1712827.630000000121072,1667901.020000000018626,1936819.430000000167638,1811860.000000000000000,10563838.449999999254942
FS( 70 ),1864649.670000000158325,1575045.910000000149012,1721275.509999999776483,1633320.459999999962747,1932503.880000000121072,1805291.699999999953434,10532091.129999998956919
FS( 71 ),1901801.000000000000000,1616309.920000000158325,1727913.130000000121072,1656168.330000000074506,2005005.120000000111759,1831564.899999999906868,10738766.400000000372529
FS( 72 ),1900390.189999999944121,1656175.150000000139698,1733645.619999999878928,1677163.669999999925494,1994647.800000000046566,1850924.100000000093132,10812950.529999999329448
FS( 73 ),1945065.840000000083819,1684150.750000000000000,1722180.639999999897555,1711126.719999999972060,2081821.910000000149012,1889296.800000000046566,11033646.660000000149012
FS( 74 ),1977514.469999999972060,1706531.229999999981374,1726404.579999999841675,1721006.880000000121072,2109441.430000000633299,1908656.000000000000000,11149558.589999999850988
FS( 75 ),1945065.840000000083819,1725414.760000000242144,1745110.600000000093132,1709274.189999999944121,2096494.780000000027940,1933200.700000000186265,11154564.870000001043081
FS( 76 ),1984568.520000000251457,1734506.830000000074506,1758385.840000000083819,1725329.450000000186265,2117209.419999999925494,1920755.500000000232831,11240759.560000000521541
FS( 77 ),2023130.660000000149012,1710727.570000000065193,1768945.689999999944121,1830923.659999999916181,2143102.719999999739230,1918335.600000000093132,11395169.900000000372529
FS( 78 ),1975163.120000000111759,1732408.660000000149012,1774678.179999999934807,1818573.459999999962747,2140513.390000000596046,1896902.199999999953434,11338243.009999999776483
FS( 79 ),1972811.770000000251457,1768077.550000000279397,1692311.350000000093132,1867974.260000000009313,2206109.750000000000000,1906927.500000000000000,11414216.179999999701977
FS( 80 ),1992563.110000000102445,1770875.110000000102445,1692009.639999999897555,1913670.000000000000000,2023993.540000000037253,1930435.100000000093132,11323550.500000000000000
FS( 81 ),1986449.600000000093132,1759684.870000000111759,1688690.829999999841675,1900084.780000000027940,1994647.800000000046566,1928360.900000000139698,11257922.780000001192093
FS( 82 ),2033946.870000000111759,1775770.840000000083819,1703776.329999999841675,1853771.530000000027940,2025719.760000000009313,1925941.000000000000000,11318930.330000000074506
FS( 83 ),2039590.110000000102445,1775770.840000000083819,1701966.069999999832362,1844508.880000000121072,2054202.390000000130385,1940114.699999999953434,11356156.989999998360872
FS( 84 ),2033476.600000000093132,1807942.780000000260770,1677225.850000000093132,1848831.450000000186265,2055065.500000000000000,1943917.399999999906868,11366463.580000000074506
FS( 85 ),2017957.689999999944121,1814237.290000000270084,1661235.219999999972060,1853154.020000000018626,2030035.310000000055879,1919027.000000000000000,11295650.530000001192093
FS( 86 ),2059341.450000000186265,1840814.110000000102445,1663347.189999999944121,1853771.530000000027940,2056791.719999999972060,1922484.000000000000000,11396554.000000000000000
FS( 87 ),2076741.439999999944121,1838715.940000000176951,1659726.669999999925494,1842656.350000000093132,2051613.060000000055879,1917298.500000000000000,11386755.960000000894070
FS( 88 ),2070627.930000000167638,1841513.500000000000000,1662140.350000000093132,1828453.619999999878928,2055065.500000000000000,1863715.000000000000000,11321519.900000000372529
FS( 89 ),2140698.160000000149012,1856200.690000000176951,1654597.600000000093132,1813015.869999999878928,2024856.650000000139698,1779018.500000000000000,11268391.470000000670552
FS( 90 ),2195719.750000000000000,1906556.770000000251457,1665459.160000000149012,1858711.610000000102445,2033487.750000000000000,1798723.400000000139698,11458662.440000001341105
FS( 91 ),2152454.910000000149012,1895366.530000000260770,1697742.130000000121072,1889587.110000000102445,2021404.210000000195578,1803563.200000000186265,11460122.089999999850988
FS( 92 ),2134584.649999999906868,1880679.340000000083819,1690199.380000000121072,1872914.339999999850988,1996374.020000000018626,1795266.400000000139698,11370022.130000000819564
FS( 93 ),2179260.300000000279397,1902360.430000000167638,1697440.419999999925494,1898232.250000000000000,2030898.420000000158325,1800451.899999999906868,11508647.720000000670552
FS( 94 ),2192427.859999999869615,1935931.150000000139698,1682958.340000000083819,1913052.489999999990687,2038666.410000000149012,1808057.300000000046566,11571097.550000000745058
FS( 95 ),2110130.609999999869615,1898164.090000000083819,1667571.130000000121072,1913052.489999999990687,2044708.180000000167638,1810477.199999999953434,11444107.699999999254942
FS( 96 ),2076741.439999999944121,1826126.920000000158325,1644339.459999999962747,1906877.389999999897555,2006731.340000000083819,1804946.000000000000000,11265766.550000000745058
FS( 97 ),2058871.180000000167638,1883476.900000000139698,1667269.419999999925494,1896379.719999999972060,2035213.969999999972060,1813242.800000000046566,11354457.990000000223517
FS( 98 ),2046644.160000000149012,1870887.880000000121072,1679036.109999999869615,1943927.989999999990687,2041255.739999999990687,1825342.300000000046566,11407098.180000001564622
FS( 99 ),2104017.100000000093132,1865992.150000000139698,1693819.899999999906868,1935282.850000000093132,2042981.960000000195578,1832947.700000000186265,11475045.660000000149012
FS( 100 ),2157157.609999999869615,1923342.130000000121072,1697742.130000000121072,2010619.070000000065193,2106852.100000000558794,1852306.899999999906868,11748023.940000001341105
FS( 101 ),2216411.630000000353903,1890470.800000000279397,1686880.569999999832362,2006914.010000000009313,2126703.629999999888241,1844010.100000000093132,11771394.740000000223517
FS( 102 ),2269081.870000000111759,1910753.110000000102445,1703172.910000000149012,2034701.960000000195578,2126703.629999999888241,1846084.300000000046566,11890501.780000001192093
FS( 103 ),2248860.260000000242144,1928237.860000000102445,1719766.959999999962747,2018029.189999999944121,2118935.640000000596046,1844701.500000000000000,11878535.410000000149012
FS( 104 ),2436968.260000000242144,1926839.080000000074506,1724594.319999999832362,2029761.879999999888241,2131019.180000000633299,1834330.500000000232831,12083517.220000000670552
FS( 105 ),2400287.200000000186265,1936630.540000000270084,1691707.929999999934807,1995798.830000000074506,2130156.070000000298023,1838824.599999999860302,11993409.169999999925494
FS( 106 ),2335860.209999999962747,1908654.940000000176951,1696837.000000000000000,2002591.439999999944121,2127566.740000000223517,1870629.000000000000000,11942143.330000000074506
FS( 107 ),2293535.910000000149012,1870188.489999999990687,1678734.399999999906868,1963070.800000000046566,2071464.590000000083819,1832947.700000000186265,11709945.890000000596046
FS( 108 ),2276135.919999999925494,1855501.300000000279397,1670588.229999999981374,1902554.819999999832362,2059381.050000000046566,1825342.300000000046566,11589507.620000001043081
FS( 109 ),2278957.540000000037253,1881378.729999999981374,1676622.429999999934807,1867356.750000000000000,2080958.800000000046566,1827762.199999999953434,11613040.449999999254942
FS( 110 ),2311406.169999999925494,1890470.800000000279397,1693819.899999999906868,1895762.209999999962747,2124977.410000000149012,1827416.500000000000000,11743856.990000002086163
FS( 111 ),2327865.620000000111759,1921943.350000000093132,1696233.579999999841675,1912434.979999999981374,2142239.610000000335276,1873740.300000000046566,11874461.440000001341105
FS( 112 ),2376303.430000000167638,1914949.449999999953434,1662140.350000000093132,1948250.560000000055879,2138787.169999999925494,1858529.500000000000000,11898964.460000000894070
FS( 113 ),2374422.350000000093132,1925440.300000000279397,1654899.310000000055879,1973568.469999999972060,2157775.589999999850988,1937349.100000000093132,12023459.119999999180436
FS( 114 ),2414865.570000000298023,1912151.890000000130385,1641020.649999999906868,2009384.050000000046566,2145692.049999999813735,1923521.100000000093132,12046639.310000000521541
FS( 115 ),2396995.310000000055879,1924041.520000000251457,1636193.289999999804422,2030996.900000000139698,2157775.589999999850988,1911767.300000000046566,12057773.910000000149012
FS( 116 ),2448725.010000000242144,1917047.620000000111759,1658821.539999999804422,2019264.210000000195578,2175037.790000000037253,1902433.400000000139698,12121333.570000002160668
FS( 117 ),2462362.840000000316650,1962507.969999999972060,1703776.329999999841675,1986536.180000000167638,2175037.790000000037253,1912113.000000000232831,12202338.109999999403954
FS( 118 ),2486816.880000000353903,1952716.510000000242144,1703474.619999999878928,1976656.019999999785796,2183668.890000000596046,1919718.400000000139698,12223055.320000002160668
FS( 119 ),2493400.660000000149012,1974397.600000000093132,1719766.959999999962747,1968628.389999999897555,2180216.450000000186265,1981598.699999999953434,12318012.759999997913837
FS( 120 ),2485876.340000000316650,1968103.090000000083819,1693819.899999999906868,1964923.330000000074506,2183668.890000000596046,1973993.300000000046566,12270388.850000001490116
FS( 121 ),2499043.899999999906868,1931734.810000000288710,1683863.469999999972060,1934665.339999999850988,2224235.059999999590218,1978833.100000000093132,12252379.679999997839332
FS( 122 ),2462833.109999999869615,1912851.280000000260770,1675717.300000000046566,1934665.339999999850988,2219056.400000000372529,1979178.800000000046566,12184306.230000000447035
FS( 123 ),2435557.450000000186265,1891170.190000000176951,1693216.479999999981374,1914905.020000000018626,2238907.930000000633299,1999575.100000000093132,12173336.169999999925494
FS( 124 ),2422860.160000000149012,1877881.780000000260770,1718258.410000000149012,1929725.260000000009313,2205246.640000000596046,2005452.000000000000000,12159428.250000000000000
FS( 125 ),2495752.010000000242144,1906556.770000000251457,1724896.030000000027940,1977891.040000000037253,2229413.719999999739230,2010637.500000000000000,12345151.070000000298023
FS( 126 ),2568643.859999999869615,1876483.000000000000000,1724896.030000000027940,1966775.860000000102445,2222508.839999999850988,2001995.000000000000000,12361306.589999999850988
FS( 127 ),2546541.169999999925494,1863194.590000000083819,1721878.929999999934807,1953190.639999999897555,2219919.509999999776483,2002340.700000000186265,12307069.539999999105930
FS( 128 ),2450606.090000000316650,1840814.110000000102445,1711922.500000000000000,1925402.689999999944121,2147418.269999999552965,1957399.699999999953434,12033567.359999999403954
FS( 129 ),2417216.919999999925494,1820531.800000000279397,1711017.369999999878928,1954425.659999999916181,2154323.150000000372529,1961893.800000000046566,12019412.700000002980232
FS( 130 ),2458600.680000000167638,1828924.479999999981374,1708000.270000000018626,1961835.780000000027940,2126703.629999999888241,1959473.900000000139698,12043542.740000000223517
FS( 131 ),2459070.950000000186265,1838715.940000000176951,1733042.199999999953434,2007531.519999999785796,2167269.799999999813735,1971573.400000000139698,12177207.810000000521541
FS( 132 ),2435557.450000000186265,1828225.090000000083819,1723990.899999999906868,1987771.199999999953434,2166406.690000000409782,1968807.800000000046566,12110763.130000000819564
FS( 133 ),2459541.220000000204891,1880679.340000000083819,1715844.729999999981374,2002591.439999999944121,2215603.959999999962747,1993006.800000000046566,12267271.490000002086163
FS( 134 ),2477881.750000000000000,1885575.070000000065193,1710715.660000000149012,2010619.070000000065193,2205246.640000000596046,1989895.500000000232831,12279937.690000001341105
FS( 135 ),2429443.939999999944121,1891170.190000000176951,1710112.239999999990687,2029144.369999999878928,2219919.509999999776483,1987821.300000000046566,12267615.550000000745058
FS( 136 ),2440730.419999999925494,1925440.300000000279397,1721275.509999999776483,2001973.930000000167638,2227687.500000000000000,1979524.500000000000000,12296636.160000000149012
FS( 137 ),2469416.890000000130385,1914949.449999999953434,1734852.459999999962747,2031614.409999999916181,2240634.150000000372529,1981253.000000000232831,12372724.359999999403954
FS( 138 ),2434146.640000000130385,1909354.330000000074506,1755972.160000000149012,2056314.809999999823049,2305367.400000000372529,1978833.100000000093132,12439992.439999999478459
FS( 139 ),2501395.250000000000000,1906556.770000000251457,1773471.340000000083819,2050757.219999999972060,2287242.089999999850988,1985747.099999999860302,12505173.769999999552965
FS( 140 ),2513622.270000000018626,1932434.199999999953434,1788556.840000000083819,2082867.739999999757856,2275158.549999999813735,1997846.600000000093132,12590490.199999997392297
FS( 141 ),2440260.149999999906868,1886274.459999999962747,1777695.280000000027940,2082250.229999999981374,2276021.660000000149012,2009600.400000000139698,12472106.179999999701977
FS( 142 ),2381006.130000000353903,1840814.110000000102445,1759894.389999999897555,2018029.189999999944121,2294146.969999999739230,1987475.600000000093132,12281370.389999998733401
FS( 143 ),2401698.010000000242144,1868789.709999999962747,1795194.459999999962747,2029761.879999999888241,2295010.080000000074506,2009600.400000000139698,12400058.540000000968575
FS( 144 ),2346206.149999999906868,1837317.160000000149012,1793082.489999999990687,2002591.439999999944121,2418434.809999999590218,1992661.100000000093132,12390297.150000000372529
FS( 145 ),2270962.950000000186265,1825427.530000000260770,1786143.160000000149012,1977273.530000000260770,2475400.070000000298023,1967079.300000000046566,12302290.540000002831221
FS( 146 ),2245568.370000000111759,1818433.630000000121072,1780712.380000000121072,2002591.439999999944121,2467632.080000000074506,1976758.900000000139698,12291700.800000000745058
FS( 147 ),2220644.060000000055879,1763181.820000000065193,1769247.399999999906868,1979126.059999999823049,2418434.809999999590218,1978487.399999999906868,12129125.549999998882413
FS( 148 ),2295416.990000000223517,1812139.120000000111759,1784332.899999999906868,1933430.319999999832362,2435697.009999999776483,2058344.100000000093132,12319364.439999999478459
FS( 149 ),2247919.720000000204891,1754789.140000000130385,1768342.270000000018626,1909964.939999999944121,2393404.620000000111759,2005106.300000000046566,12079530.990000002086163
FS( 150 ),2270022.410000000149012,1752690.969999999972060,1784936.319999999832362,1930342.770000000018626,2406351.269999999552965,2037947.800000000046566,12182295.539999999105930
FS( 151 ),2262027.820000000298023,1748494.630000000121072,1787350.000000000000000,1893909.680000000167638,2376142.419999999925494,2025156.899999999906868,12093085.450000001117587
FS( 152 ),2260617.010000000242144,1745697.070000000065193,1819029.550000000046566,2015559.150000000139698,2421887.250000000000000,2040713.400000000139698,12303507.430000001564622
FS( 153 ),2340562.910000000149012,1792556.199999999953434,1854933.039999999804422,2019881.719999999972060,2457274.759999999776483,2090494.199999999953434,12555706.829999998211861
FS( 154 ),2336330.479999999981374,1824028.750000000000000,1862174.079999999841675,2012471.600000000325963,2461590.309999999590218,2110199.099999999627471,12606798.319999998435378
FS( 155 ),2414865.570000000298023,1875084.219999999972060,1889931.399999999906868,2064342.439999999944121,2502156.479999999515712,2138200.799999999813735,12884584.910000000149012
FS( 156 ),2366427.760000000242144,1875783.610000000102445,1879069.840000000083819,2075457.619999999878928,2503882.700000000186265,2138546.500000000000000,12839172.030000001192093
FS( 157 ),2383357.479999999981374,1910053.719999999972060,1895663.889999999897555,2051374.729999999981374,2513376.910000000149012,2151337.400000000372529,12905168.130000000819564
FS( 158 ),2364546.680000000167638,1905157.989999999990687,1875751.030000000027940,2036554.489999999757856,2534091.549999999813735,2119187.299999999813735,12835293.039999999105930
FS( 159 ),2383357.479999999981374,1912151.890000000130385,1918292.139999999897555,2043964.610000000102445,2557395.519999999552965,2129904.000000000000000,12945069.640000000596046
FS( 160 ),2468006.080000000074506,1933832.979999999981374,1946954.590000000083819,2087807.820000000065193,2549627.530000000260770,2152720.200000000186265,13138953.199999999254942
FS( 161 ),2470357.430000000167638,1887673.239999999990687,1917990.429999999934807,2117448.299999999813735,2589330.589999999850988,2154103.000000000000000,13136906.989999998360872
FS( 162 ),2446373.660000000149012,1908654.940000000176951,1930360.539999999804422,2169936.650000000372529,2598824.799999999813735,2157560.000000000000000,13211714.589999999850988
FS( 163 ),2418627.729999999981374,1896065.920000000158325,1913163.069999999832362,2181669.339999999850988,2570342.169999999925494,2148571.799999999813735,13128444.030000001192093
FS( 164 ),2431325.020000000018626,1900961.650000000139698,1930058.829999999841675,2251447.969999999739230,2556532.410000000149012,2136472.299999999813735,13206802.179999999701977
FS( 165 ),2475060.130000000353903,1924041.520000000251457,1930662.250000000000000,2248977.929999999701977,2584151.930000000633299,2168622.400000000372529,13331520.160000002011657
FS( 166 ),2444022.310000000055879,1927538.469999999972060,1937601.579999999841675,2236627.729999999515712,2581562.600000000558794,2171042.299999999813735,13298398.990000002086163
