代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13671749.870000001043081
真實報酬,3671749.870000001043081

夏普值報酬,0.358474987000000
夏普值風險,0.097432701017782
夏普值,3.679206090515520

預期報酬,15188.768055805583572
風險,212453.764183336665155
趨勢值,0.071492110832635
找到最佳解世代,1748
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](5),GS[8](7),HD[9](3),NKE[19](4),UNH[23](1),
20140725,2011429.739999999990687,2095074.240000000223517,2001729.210000000195578,2004125.759999999776483,2071679.520000000251457,10184038.470000000670552
20140728,2032889.660000000149012,2101643.439999999944121,2002717.329999999841675,2021660.239999999990687,2097856.000000000000000,10256766.669999999925494
20140729,2010729.959999999962747,2096746.400000000139698,2000494.060000000288710,2013924.439999999711290,2061649.279999999795109,10183544.140000000596046
20140730,2034289.219999999972060,2099374.080000000074506,2019762.400000000139698,2053119.159999999916181,2029356.800000000046566,10235901.660000000149012
20140731,2003265.639999999897555,2064855.920000000158325,1997282.669999999925494,1989169.879999999888241,1982875.199999999953434,10037449.310000000521541
20140801,1991602.639999999897555,2033562.640000000130385,1970109.370000000111759,1979886.919999999925494,1993639.359999999869615,9968800.929999999701977
20140804,2034989.000000000000000,2050762.000000000000000,1977026.210000000195578,1989685.599999999860302,2012721.279999999795109,10065184.089999999850988
20140805,2023559.260000000009313,2023649.119999999878928,1977026.210000000195578,1983496.959999999962747,1981407.359999999869615,9989138.910000000149012
20140806,2019827.100000000093132,2027471.200000000186265,1989130.679999999934807,1989169.879999999888241,1993884.000000000000000,10019482.859999999403954
20140807,1994635.020000000018626,2019827.040000000037253,1987895.530000000027940,1968541.079999999841675,1939084.640000000130385,9909983.310000000521541
20140808,2025891.859999999869615,2057570.080000000074506,2036313.410000000381842,1987107.000000000000000,1960123.680000000167638,10067006.030000001192093
20140811,2041053.760000000009313,2059958.880000000121072,2047429.760000000009313,1987107.000000000000000,1954007.680000000167638,10089557.080000000074506
20140812,2034289.219999999972060,2058406.160000000381842,2048417.880000000121072,1978855.479999999748543,1962570.080000000074506,10082538.820000000298023
20140813,2043386.359999999869615,2058883.920000000158325,2053358.480000000214204,1992264.199999999953434,1994128.640000000130385,10142021.600000001490116
20140814,2066945.620000000111759,2063183.760000000009313,2071638.700000000186265,1993295.639999999664724,2001712.479999999748543,10196776.199999999254942
20140815,2082574.040000000037253,2053270.240000000223517,2067439.189999999944121,1989169.879999999888241,1993150.080000000074506,10185603.429999999701977
20140818,2098668.980000000447035,2084921.840000000316650,2064968.890000000130385,2025786.000000000000000,2014433.760000000009313,10288779.470000000670552
20140819,2101468.099999999627471,2077874.880000000121072,2179590.810000000055879,2024754.559999999823049,2042078.080000000074506,10425766.429999999701977
20140820,2095636.600000000093132,2078710.960000000195578,2241842.370000000111759,2035068.959999999962747,2041099.520000000251457,10492358.410000000149012
20140821,2108232.639999999664724,2092088.240000000223517,2251723.570000000298023,2035584.679999999701977,2049417.279999999795109,10537046.409999998286366
20140822,2110798.500000000000000,2095910.320000000065193,2248759.209999999962747,2044867.639999999664724,2049661.919999999925494,10549997.589999999850988
20140825,2108232.639999999664724,2124575.920000000391155,2252958.720000000204891,2063433.559999999823049,2060915.359999999869615,10610116.200000001117587
20140826,2099835.280000000260770,2124934.240000000223517,2263581.009999999776483,2049509.119999999878928,2082443.680000000167638,10620303.330000000074506
20140827,2107999.379999999888241,2123859.280000000260770,2269509.730000000447035,2055697.759999999776483,2113268.319999999832362,10670334.470000000670552
20140828,2104733.740000000223517,2121948.240000000223517,2285319.650000000372529,2032490.359999999636784,2112289.760000000242144,10656781.750000000000000
20140829,2096569.639999999897555,2139386.480000000447035,2309775.620000000111759,2025786.000000000000000,2120607.520000000018626,10692125.259999999776483
20140902,2118029.559999999590218,2147269.520000000484288,2251723.570000000298023,2044351.919999999925494,2113512.959999999962747,10674887.530000001192093
20140903,2121295.200000000186265,2145239.040000000037253,2198612.120000000111759,2032490.359999999636784,2123298.560000000055879,10620935.280000001192093
20140904,2102634.400000000372529,2150972.160000000149012,2221585.910000000149012,2060854.959999999962747,2129903.839999999850988,10665951.269999999552965
20140905,2121295.200000000186265,2147030.640000000130385,2263086.950000000186265,2115521.279999999795109,2146784.000000000000000,10793718.070000000298023
20140908,2112431.320000000298023,2151330.480000000447035,2243571.580000000074506,2124804.240000000223517,2150698.239999999757856,10782835.860000001266599
20140909,2090038.359999999869615,2118962.240000000223517,2196882.910000000149012,2110364.080000000074506,2166599.839999999850988,10682847.429999999701977
20140910,2088172.280000000027940,2148463.920000000391155,2204787.870000000111759,2126867.120000000111759,2134552.000000000000000,10702843.190000001341105
20140911,2098668.980000000447035,2161960.640000000130385,2204046.780000000260770,2109848.359999999869615,2130393.120000000111759,10704917.880000002682209
20140912,2091671.179999999934807,2187879.120000000111759,2194659.640000000130385,2110364.080000000074506,2108375.520000000018626,10692949.539999999105930
20140915,2101234.839999999850988,2197553.759999999776483,2207999.259999999776483,2104691.160000000149012,2104705.919999999925494,10716184.939999999478459
20140916,2105666.780000000260770,2198270.399999999906868,2229984.930000000167638,2093861.040000000037253,2132350.239999999757856,10760133.389999998733401
20140917,2107066.339999999850988,2207586.720000000204891,2253452.780000000260770,2102112.559999999590218,2128191.359999999869615,10798409.759999999776483
20140918,2107299.599999999627471,2244254.799999999813735,2274944.390000000130385,2113974.120000000111759,2143848.319999999832362,10884321.230000000447035
20140919,2110798.500000000000000,2224069.439999999944121,2281120.140000000130385,2109848.359999999869615,2148007.199999999720603,10873843.639999998733401
20140922,2082807.300000000046566,2213200.399999999906868,2270003.790000000037253,2080968.040000000037253,2147273.279999999795109,10794252.810000000521541
20140923,2059947.820000000065193,2210811.600000000093132,2260122.589999999850988,2066012.159999999916181,2118405.760000000242144,10715299.929999999701977
20140924,2086539.459999999962747,2243299.280000000260770,2297918.180000000167638,2084578.079999999841675,2158037.439999999944121,10870372.439999999478459
20140925,2054349.579999999841675,2198867.600000000093132,2270250.820000000298023,2056729.199999999953434,2108375.520000000018626,10688572.719999998807907
20140926,2069978.000000000000000,2211169.920000000391155,2293471.640000000130385,2307884.839999999850988,2118650.399999999906868,11001154.800000000745058
20140929,2072077.340000000083819,2195762.160000000149012,2294459.759999999776483,2298086.160000000149012,2116448.640000000130385,10976834.060000000521541
20140930,2076742.540000000037253,2192656.720000000204891,2266298.339999999850988,2300149.040000000037253,2110088.000000000000000,10945934.640000000596046
20141001,2040820.500000000000000,2158377.439999999944121,2248512.180000000167638,2261470.040000000037253,2076572.319999999832362,10785752.480000000447035
20141002,2024492.300000000046566,2184415.359999999869615,2278649.839999999850988,2302727.639999999664724,2077061.600000000093132,10867346.740000000223517
20141003,2063213.459999999962747,2246404.720000000204891,2310763.740000000223517,2328513.639999999664724,2104461.279999999795109,11053356.839999997988343
20141006,2065779.320000000065193,2239357.759999999776483,2303846.900000000372529,2300664.759999999776483,2081709.760000000009313,10991358.500000000000000
20141007,2031956.620000000111759,2195403.840000000316650,2284331.530000000260770,2271268.719999999739230,2059692.159999999916181,10842652.870000001043081
20141008,2055282.620000000111759,2229324.799999999813735,2324350.390000000130385,2290866.080000000074506,2119139.680000000167638,11018963.570000000298023
20141009,1999300.219999999972060,2165185.520000000484288,2299153.330000000074506,2249608.479999999515712,2078040.159999999916181,10791287.710000000894070
20141010,2012362.780000000027940,2154555.359999999869615,2286307.770000000018626,2248577.040000000037253,2089048.959999999962747,10790851.910000000149012
20141013,1957313.419999999925494,2135325.520000000484288,2238136.919999999925494,2202162.240000000223517,2053820.800000000046566,10586758.900000002235174
20141014,1962678.399999999906868,2134489.439999999944121,2225785.419999999925494,2194426.439999999478459,2026176.479999999748543,10543556.179999999701977
20141015,1914626.840000000083819,2117051.200000000186265,2170203.669999999925494,2196489.319999999832362,2010030.239999999990687,10408401.269999999552965
20141016,1906696.000000000000000,2061392.160000000381842,2195647.759999999776483,2244451.279999999795109,2089048.959999999962747,10497236.160000000149012
20141017,1955447.340000000083819,2113109.680000000167638,2229243.839999999850988,2248061.319999999832362,2157303.520000000018626,10703165.699999999254942
20141020,1994868.280000000027940,2124217.600000000093132,2269015.669999999925494,2292413.240000000223517,2166110.560000000055879,10846625.349999999627471
20141021,2041986.800000000046566,2152166.560000000055879,2327067.720000000204891,2337280.879999999888241,2225068.800000000279397,11083570.760000001639128
20141022,2031723.359999999869615,2112154.160000000149012,2305823.140000000130385,2317167.799999999813735,2196201.279999999795109,10963069.740000000223517
20141023,2052483.500000000000000,2150733.280000000260770,2341889.520000000018626,2330576.519999999552965,2217974.239999999757856,11093657.060000000521541
20141024,2066945.620000000111759,2190029.040000000037253,2346583.089999999850988,2343985.240000000223517,2241948.959999999962747,11189491.949999999254942
20141027,2063213.459999999962747,2196717.680000000167638,2358440.530000000260770,2363066.879999999888241,2253936.319999999832362,11235374.870000001043081
20141028,2097735.940000000409782,2225502.720000000204891,2386107.890000000130385,2384211.399999999906868,2266412.959999999962747,11359970.910000000149012
20141029,2088405.540000000037253,2222636.160000000149012,2381908.380000000353903,2371318.399999999906868,2274241.439999999944121,11338509.919999999925494
20141030,2104500.480000000447035,2233266.320000000298023,2409081.680000000167638,2398135.839999999850988,2296748.319999999832362,11441732.640000000596046
20141031,2131558.639999999664724,2269337.200000000186265,2409081.680000000167638,2397620.120000000111759,2324392.640000000130385,11531990.280000001192093
20141103,2139256.219999999739230,2279370.160000000149012,2373756.390000000130385,2409997.399999999906868,2320723.040000000037253,11523103.210000000894070
20141104,2107532.860000000335276,2272681.520000000484288,2370545.000000000000000,2422890.399999999906868,2323658.720000000204891,11497308.500000001862645
20141105,2122694.759999999776483,2267545.600000000093132,2366098.459999999962747,2441456.319999999832362,2343719.199999999720603,11541514.339999997988343
20141106,2146020.759999999776483,2281400.640000000130385,2403399.990000000223517,2439393.439999999478459,2353749.439999999944121,11623964.269999999552965
20141107,2099368.759999999776483,2277936.880000000353903,2412293.070000000298023,2418248.919999999925494,2290143.040000000037253,11497990.670000001788139
20141110,2094237.040000000037253,2290955.840000000316650,2424891.600000000093132,2448676.399999999906868,2318032.000000000000000,11576792.880000000819564
20141111,2098902.240000000223517,2291911.359999999869615,2424397.540000000037253,2446613.519999999552965,2341028.160000000149012,11602852.820000000298023
20141112,2097036.160000000149012,2271606.560000000055879,2433043.589999999850988,2470852.359999999869615,2340783.520000000018626,11613322.189999999478459
20141113,2110798.500000000000000,2272323.200000000186265,2445642.120000000111759,2478588.160000000149012,2346165.600000000093132,11653517.580000000074506
20141114,2118029.559999999590218,2269217.759999999776483,2426867.839999999850988,2462600.839999999850988,2326839.040000000037253,11603555.039999999105930
20141117,2108932.419999999925494,2268620.560000000055879,2421680.209999999962747,2477041.000000000000000,2360110.080000000074506,11636384.270000001415610
20141118,2105900.040000000037253,2265156.799999999813735,2371039.060000000055879,2487871.120000000111759,2402188.160000000149012,11632155.179999999701977
20141119,2095170.079999999841675,2259782.000000000000000,2388825.220000000204891,2500248.399999999906868,2369651.040000000037253,11613676.740000002086163
20141120,2073710.160000000149012,2266470.640000000130385,2410316.830000000074506,2509015.639999999664724,2369406.399999999906868,11628919.669999999925494
20141121,2075109.719999999972060,2264559.600000000093132,2427855.959999999962747,2512109.959999999962747,2365981.439999999944121,11645616.679999999701977
20141124,2112897.839999999850988,2270292.720000000204891,2430820.320000000298023,2526034.399999999906868,2370629.600000000093132,11710674.880000000819564
20141125,2137856.660000000149012,2255840.480000000447035,2396483.150000000372529,2509015.639999999664724,2395093.600000000093132,11694289.529999999329448
20141126,2144154.679999999701977,2251779.520000000484288,2413528.220000000204891,2521908.639999999664724,2400231.040000000037253,11731602.099999997764826
20141128,2157917.020000000484288,2250465.680000000167638,2455523.320000000298023,2560587.639999999664724,2412952.319999999832362,11837445.980000000447035
20141201,2162348.959999999962747,2247957.439999999944121,2442677.759999999776483,2519330.040000000037253,2423471.839999999850988,11795786.039999999105930
20141202,2180309.980000000447035,2271726.000000000000000,2424891.600000000093132,2528097.279999999795109,2442309.120000000111759,11847333.980000000447035
20141203,2171912.620000000111759,2280803.439999999944121,2435513.890000000130385,2539958.839999999850988,2466039.199999999720603,11894227.990000000223517
20141204,2174711.740000000223517,2292747.439999999944121,2444406.970000000204891,2554399.000000000000000,2438394.879999999888241,11904660.030000001192093
20141205,2187074.520000000484288,2334551.439999999944121,2461452.040000000037253,2561619.080000000074506,2454541.120000000111759,11999238.200000002980232
20141208,2188007.559999999590218,2348525.920000000391155,2480967.410000000149012,2519845.759999999776483,2444510.879999999888241,11981857.530000001192093
20141209,2167947.200000000186265,2351750.799999999813735,2461452.040000000037253,2502311.279999999795109,2471421.279999999795109,11954882.599999999627471
20141210,2137390.139999999664724,2293344.640000000130385,2444159.939999999944121,2518298.599999999627471,2424205.760000000242144,11817399.079999998211861
20141211,2140189.259999999776483,2311738.399999999906868,2477014.930000000167638,2499732.679999999701977,2439862.720000000204891,11868537.990000000223517
20141212,2134124.500000000000000,2255362.720000000204891,2464910.459999999962747,2480135.319999999832362,2416132.640000000130385,11750665.640000000596046
20141215,2120362.160000000149012,2216186.399999999906868,2471580.270000000018626,2461053.679999999701977,2404145.279999999795109,11673327.789999999105930
20141216,2103334.179999999701977,2189551.280000000260770,2397718.300000000279397,2403808.759999999776483,2344942.399999999906868,11439354.919999999925494
20141217,2131558.639999999664724,2210094.959999999962747,2444159.939999999944121,2436814.839999999850988,2425428.959999999962747,11648057.339999999850988
20141218,2160249.620000000111759,2288686.480000000447035,2486896.130000000353903,2503342.719999999739230,2501267.359999999869615,11940442.309999998658895
20141219,2166780.900000000372529,2308632.959999999962747,2518021.910000000149012,2445582.080000000074506,2507383.359999999869615,11946401.210000000894070
20141222,2197337.959999999962747,2322488.000000000000000,2556805.620000000111759,2473946.679999999701977,2520838.560000000055879,12071416.820000000298023
20141223,2208767.700000000186265,2335148.640000000130385,2563228.400000000372529,2474978.120000000111759,2516190.399999999906868,12098313.259999999776483
20141224,2202469.679999999701977,2339806.799999999813735,2558287.800000000279397,2483229.639999999664724,2512031.520000000018626,12095825.439999997615814
20141226,2216698.540000000037253,2334551.439999999944121,2562981.370000000111759,2497154.080000000074506,2508851.199999999720603,12120236.629999998956919
20141229,2227661.759999999776483,2343390.000000000000000,2582249.709999999962747,2509015.639999999664724,2503469.120000000111759,12165786.230000000447035
20141230,2209000.959999999962747,2337656.880000000353903,2575826.930000000167638,2498185.519999999552965,2516190.399999999906868,12136860.689999999478459
20141231,2197104.700000000186265,2315202.160000000149012,2593119.030000000260770,2479619.599999999627471,2473133.760000000242144,12058179.250000000000000
20150102,2186841.259999999776483,2322129.680000000167638,2555076.410000000149012,2450739.279999999795109,2465549.919999999925494,11980336.549999998882413
20150105,2154884.639999999664724,2249629.600000000093132,2501470.900000000372529,2411028.839999999850988,2424939.680000000167638,11741953.660000000149012
20150106,2143454.900000000372529,2204122.959999999962747,2493812.970000000204891,2397104.399999999906868,2420046.879999999888241,11658542.109999999403954
20150107,2165381.339999999850988,2236968.959999999962747,2579285.350000000093132,2446613.519999999552965,2444755.520000000018626,11873004.689999999478459
20150108,2187774.299999999813735,2272681.520000000484288,2636349.280000000260770,2502827.000000000000000,2561448.800000000279397,12161080.900000002235174
20150109,2198504.259999999776483,2237805.040000000037253,2591142.790000000037253,2475493.839999999850988,2537474.080000000074506,12040420.009999999776483
20150112,2203402.719999999739230,2210572.720000000204891,2579532.380000000353903,2471883.799999999813735,2508851.199999999720603,11974242.820000000298023
20150113,2220430.700000000186265,2208900.560000000055879,2562487.310000000055879,2450223.559999999590218,2521572.479999999981374,11963614.609999999403954
20150114,2198037.740000000223517,2152763.759999999776483,2535561.040000000037253,2416701.759999999776483,2527933.120000000111759,11830997.420000001788139
20150115,2200836.860000000335276,2131981.200000000186265,2495295.150000000372529,2393494.359999999869615,2555577.439999999944121,11777185.009999999776483
20150116,2220197.440000000409782,2116931.759999999776483,2572121.480000000447035,2398135.839999999850988,2587625.279999999795109,11895011.799999998882413
20150120,2209934.000000000000000,2097821.359999999869615,2550629.870000000111759,2414123.160000000149012,2583955.680000000167638,11856464.070000000298023
20150121,2196638.179999999701977,2115976.240000000223517,2557546.709999999962747,2411544.559999999590218,2674472.479999999981374,11956178.169999999925494
20150122,2219497.660000000149012,2174382.399999999906868,2620292.330000000074506,2471883.799999999813735,2785294.399999999906868,12271350.590000001713634
20150123,2209467.480000000447035,2155869.200000000186265,2603000.230000000447035,2479619.599999999627471,2740036.000000000000000,12187992.510000001639128
20150126,2215298.980000000447035,2155033.120000000111759,2627456.200000000186265,2484776.799999999813735,2730495.040000000037253,12213060.140000000596046
20150127,2191972.980000000447035,2108093.200000000186265,2597812.600000000093132,2436814.839999999850988,2691352.640000000130385,12026046.260000001639128
20150128,2161649.179999999701977,2067005.840000000316650,2587437.339999999850988,2406387.359999999869615,2653433.439999999944121,11875913.159999998286366
20150129,2174478.480000000447035,2102121.200000000186265,2658581.980000000447035,2446613.519999999552965,2676184.959999999962747,12057980.140000000596046
20150130,2121761.719999999739230,2059361.680000000167638,2579532.380000000353903,2379054.200000000186265,2599368.000000000000000,11739077.980000000447035
20150202,2144387.940000000409782,2096149.200000000186265,2579779.410000000149012,2370286.959999999962747,2624810.560000000055879,11815414.070000002160668
20150203,2195005.360000000335276,2152883.200000000186265,2649194.839999999850988,2407418.799999999813735,2637531.839999999850988,12042034.039999999105930
20150204,2362486.040000000037253,2135444.959999999962747,2678097.350000000093132,2386274.279999999795109,2640222.879999999888241,12202525.509999997913837
20150205,2394209.400000000372529,2159213.520000000484288,2692425.089999999850988,2406903.080000000074506,2662240.479999999981374,12314991.570000000298023
20150206,2379747.280000000260770,2190984.560000000055879,2693660.240000000223517,2367192.639999999664724,2632394.399999999906868,12263979.119999999180436
20150209,2372982.740000000223517,2176532.320000000298023,2676368.140000000130385,2351205.319999999832362,2605239.359999999869615,12182327.880000000819564
20150210,2377414.679999999701977,2204481.280000000260770,2733926.130000000353903,2391947.200000000186265,2665910.080000000074506,12373679.369999999180436
20150211,2376248.379999999888241,2241388.240000000223517,2725033.050000000279397,2354815.359999999869615,2687438.399999999906868,12384923.429999999701977
20150212,2416135.839999999850988,2266828.959999999962747,2770733.600000000093132,2372349.839999999850988,2687193.760000000242144,12513242.000000000000000
20150213,2429898.179999999701977,2257512.640000000130385,2764063.790000000037253,2373381.279999999795109,2677408.160000000149012,12502264.050000000745058
20150217,2428731.879999999888241,2269695.520000000484288,2766781.120000000111759,2368739.799999999813735,2685236.640000000130385,12519184.960000000894070
20150218,2422667.120000000111759,2253571.120000000111759,2766534.089999999850988,2414123.160000000149012,2685481.279999999795109,12542376.769999999552965
20150219,2423366.900000000372529,2258826.480000000447035,2740595.939999999944121,2416186.040000000037253,2691841.919999999925494,12530817.279999999329448
20150220,2438762.059999999590218,2287492.080000000074506,2772709.839999999850988,2448160.679999999701977,2755203.680000000167638,12702328.339999999850988
20150223,2449025.500000000000000,2273159.280000000260770,2773697.959999999962747,2450223.559999999590218,2847677.600000000093132,12793783.900000000372529
20150224,2441561.179999999701977,2295972.320000000298023,2884120.370000000111759,2460537.959999999962747,2823947.520000000018626,12906139.349999999627471
20150225,2462554.580000000074506,2290000.320000000298023,2873251.050000000279397,2496638.359999999869615,2790187.199999999720603,12912631.509999999776483
20150226,2438995.320000000298023,2295733.439999999944121,2850277.259999999776483,2501279.839999999850988,2780646.239999999757856,12866932.099999999627471
20150227,2427798.839999999850988,2266948.399999999906868,2834714.370000000111759,2504374.160000000149012,2779912.319999999832362,12813748.089999999850988
20150302,2470018.900000000372529,2290836.399999999906868,2868557.480000000447035,2546663.200000000186265,2798749.600000000093132,12974825.580000000074506
20150303,2480748.860000000335276,2284625.520000000484288,2867322.330000000074506,2526550.120000000111759,2761075.040000000037253,12920321.870000001043081
20150304,2462554.580000000074506,2265515.120000000111759,2834961.400000000372529,2514688.559999999590218,2784560.479999999981374,12862280.140000000596046
20150305,2449958.540000000037253,2270412.160000000149012,2863369.850000000093132,2538927.399999999906868,2808290.560000000055879,12930958.510000001639128
20150306,2421734.080000000074506,2232549.680000000167638,2827303.470000000204891,2499216.959999999962747,2761564.319999999832362,12742368.510000001639128
20150309,2455323.520000000484288,2244732.560000000055879,2847065.870000000111759,2512625.679999999701977,2810981.600000000093132,12870729.229999998584390
20150310,2404706.099999999627471,2182384.880000000353903,2780614.800000000279397,2488902.559999999590218,2751289.439999999944121,12607897.779999999329448
20150311,2400040.900000000372529,2199942.560000000055879,2793213.330000000074506,2458475.080000000074506,2757650.080000000074506,12609321.950000001117587
20150312,2499876.179999999701977,2268859.439999999944121,2868063.419999999925494,2502311.279999999795109,2810492.319999999832362,12949602.639999998733401
20150313,2482848.200000000186265,2261573.600000000093132,2836443.580000000074506,2470852.359999999869615,2819544.000000000000000,12871261.740000000223517
20150316,2504541.379999999888241,2292150.240000000223517,2877944.620000000111759,2486839.679999999701977,2899541.279999999795109,13061017.199999999254942
20150317,2494977.719999999739230,2276264.720000000204891,2855217.859999999869615,2489418.279999999795109,2877034.399999999906868,12992912.979999998584390
20150318,2518536.980000000447035,2297166.720000000204891,2867569.359999999869615,2514688.559999999590218,2934769.439999999944121,13132731.060000000521541
20150319,2504541.379999999888241,2269098.320000000298023,2844842.600000000093132,2535317.359999999869615,2954340.640000000130385,13108140.300000000745058
20150320,2529266.940000000409782,2306841.359999999869615,2902400.589999999850988,2629694.120000000111759,2914708.959999999962747,13282911.970000002533197
20150323,2524368.480000000447035,2292866.880000000353903,2867322.330000000074506,2616285.399999999906868,2912262.560000000055879,13213105.650000002235174
20150324,2498476.620000000111759,2284744.959999999962747,2869298.570000000298023,2595656.599999999627471,2889755.680000000167638,13137932.429999999701977
20150325,2449258.759999999776483,2237805.040000000037253,2808282.160000000149012,2552851.839999999850988,2851102.560000000055879,12899300.360000001266599
20150326,2454857.000000000000000,2236491.200000000186265,2775921.230000000447035,2561619.080000000074506,2844008.000000000000000,12872896.510000001639128
20150327,2460455.240000000223517,2246285.280000000260770,2812728.700000000186265,2575543.519999999552965,2887064.640000000130385,12982077.380000000819564
20150330,2475383.879999999888241,2281639.520000000484288,2831750.009999999776483,2601845.240000000223517,2960212.000000000000000,13150830.650000000372529
20150331,2446692.900000000372529,2245210.320000000298023,2806552.950000000186265,2587405.080000000074506,2893914.560000000055879,12979775.810000000521541
20150401,2459522.200000000186265,2296091.759999999776483,2794695.509999999776483,2567292.000000000000000,2873364.800000000279397,12990966.269999999552965
20150402,2472584.759999999776483,2287969.840000000316650,2829526.740000000223517,2569870.599999999627471,2871163.040000000037253,13031114.980000000447035
20150406,2463954.139999999664724,2293941.840000000316650,2839654.970000000204891,2571933.479999999515712,2879480.800000000279397,13048965.230000000447035
20150407,2459288.940000000409782,2298002.799999999813735,2823598.020000000018626,2568839.160000000149012,2870918.399999999906868,13020647.320000000298023
20150408,2480982.120000000111759,2300033.280000000260770,2855464.890000000130385,2600298.080000000074506,2891468.160000000149012,13128246.530000001192093
20150409,2490545.780000000260770,2327862.799999999813735,2830267.830000000074506,2597203.759999999776483,2900275.199999999720603,13146155.369999999180436
20150410,2494744.459999999962747,2336820.799999999813735,2846818.839999999850988,2578122.120000000111759,2911284.000000000000000,13167790.219999998807907
20150413,2484481.020000000484288,2336104.160000000149012,2827056.439999999944121,2560071.919999999925494,2920335.680000000167638,13128049.220000000670552
20150414,2487979.919999999925494,2361664.320000000298023,2817422.270000000018626,2566776.279999999795109,2933790.879999999888241,13167633.669999998062849
20150415,2495444.240000000223517,2402035.040000000037253,2802600.470000000204891,2574512.080000000074506,2870184.479999999981374,13144776.310000000521541
20150416,2521569.360000000335276,2391404.880000000353903,2800624.230000000447035,2576059.240000000223517,2974890.399999999906868,13264548.110000001266599
20150417,2488679.700000000186265,2357245.040000000037253,2769251.419999999925494,2541506.000000000000000,2904189.439999999944121,13060871.599999999627471
20150420,2524368.480000000447035,2366203.040000000037253,2788025.700000000186265,2578637.839999999850988,2901009.120000000111759,13158244.179999999701977
20150421,2511772.440000000409782,2351153.600000000093132,2795683.630000000353903,2586373.639999999664724,2918133.919999999925494,13163117.230000002309680
20150422,2517837.200000000186265,2368830.720000000204891,2791237.089999999850988,2582763.599999999627471,2882171.839999999850988,13142840.449999999254942
20150423,2542562.759999999776483,2380655.280000000260770,2815199.000000000000000,2607518.160000000149012,2893180.640000000130385,13239115.839999999850988
20150424,2554925.540000000037253,2364889.200000000186265,2808776.220000000204891,2603392.399999999906868,2903700.160000000149012,13235683.520000001415610
20150427,2569620.919999999925494,2347331.520000000484288,2751712.290000000037253,2602876.679999999701977,2843763.359999999869615,13115304.769999999552965
20150428,2564022.679999999701977,2358917.200000000186265,2731702.859999999869615,2575027.799999999813735,2876789.760000000242144,13106460.299999998882413
