代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15243190.059999998658895
真實報酬,5243190.059999998658895

夏普值報酬,0.515619006000000
夏普值風險,0.117666785072271
夏普值,4.382026802918999

預期報酬,19965.705945998328389
風險,202758.682940028957091
趨勢值,0.098470288209081
找到最佳解世代,2318
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),MMM[16](2),NKE[19](3),UNH[23](8),UTX[24](4),
20130318,2260612.979999999981374,2270542.400000000372529,2099224.320000000298023,2028023.479999999981374,2262404.119999999646097,10920807.300000000745058
20130319,2269370.850000000093132,2265588.200000000186265,2086821.280000000260770,2034291.890000000130385,2270695.699999999720603,10926767.919999999925494
20130320,2265655.390000000130385,2275927.400000000372529,2125580.780000000260770,2023598.719999999972060,2278987.279999999795109,10969749.570000000298023
20130321,2238054.830000000074506,2260418.600000000558794,2077519.000000000000000,2030235.860000000102445,2254112.540000000037253,10860340.830000001937151
20130322,2251058.939999999944121,2292297.799999999813735,2307750.429999999701977,2008112.060000000055879,2282401.459999999962747,11141620.690000001341105
20130325,2251855.109999999869615,2265372.799999999813735,2308525.620000000111759,2022861.260000000009313,2263135.729999999981374,11111750.520000001415610
20130326,2298829.140000000130385,2284758.799999999813735,2305424.860000000335276,2051990.929999999934807,2259477.680000000167638,11200481.410000000149012
20130327,2287682.760000000242144,2267957.600000000558794,2265890.169999999925494,2087757.739999999990687,2258502.199999999720603,11167790.470000000670552
20130328,2278394.109999999869615,2289928.400000000372529,2287595.490000000223517,2109512.810000000055879,2278499.540000000037253,11243930.350000001490116
20130401,2262470.709999999962747,2275712.000000000000000,2258138.269999999552965,2174409.290000000037253,2266062.169999999925494,11236792.439999999478459
20130402,2231685.470000000204891,2294451.799999999813735,2282944.349999999627471,2276547.500000000000000,2267769.259999999776483,11353398.379999998956919
20130403,2238851.000000000000000,2276358.200000000186265,2283719.540000000037253,2273966.390000000130385,2272890.529999999795109,11345785.660000000149012
20130404,2254509.010000000242144,2279373.799999999813735,2299998.530000000260770,2287240.669999999925494,2271915.049999999813735,11393037.060000002384186
20130405,2286886.589999999850988,2278512.200000000186265,2286045.110000000335276,2289821.780000000260770,2259233.810000000055879,11400499.490000000223517
20130408,2302279.209999999962747,2277866.000000000000000,2324029.419999999925494,2282078.450000000186265,2285327.899999999906868,11471580.980000000447035
20130409,2314487.149999999906868,2282174.000000000000000,2321703.849999999627471,2292771.620000000111759,2303374.279999999795109,11514510.900000000372529
20130410,2330675.939999999944121,2319653.600000000558794,2337207.650000000372529,2301252.409999999683350,2321176.790000000037253,11609966.390000000596046
20130411,2349518.629999999888241,2331716.000000000000000,2372091.200000000186265,2322270.020000000018626,2336784.469999999739230,11712380.320000000298023
20130412,2359072.669999999925494,2319438.200000000186265,2348060.309999999590218,2324113.669999999925494,2333614.159999999683350,11684299.009999999776483
20130415,2302809.989999999757856,2278081.400000000372529,2313176.759999999776483,2271016.550000000279397,2280694.369999999646097,11445779.070000000298023
20130416,2305994.669999999925494,2286482.000000000000000,2344959.549999999813735,2316001.609999999869615,2304837.500000000000000,11558275.330000000074506
20130417,2300686.870000000111759,2272050.200000000186265,2360463.349999999627471,2287240.669999999925494,2264355.079999999608845,11484796.169999999925494
20130418,2285559.640000000130385,2261280.200000000186265,2332556.509999999776483,2200957.850000000093132,2232651.979999999981374,11313006.179999999701977
20130419,2334391.399999999906868,2277004.400000000372529,2361238.540000000037253,2213863.399999999906868,2273378.270000000018626,11459876.009999999776483
20130422,2307321.620000000111759,2278943.000000000000000,2378292.719999999739230,2183627.540000000037253,2283376.939999999944121,11431561.819999998435378
20130423,2340229.979999999981374,2313191.600000000558794,2390695.759999999776483,2158553.899999999906868,2265330.560000000055879,11468001.800000000745058
20130424,2410558.330000000074506,2323530.800000000745058,2385269.429999999701977,2167772.149999999906868,2243626.129999999888241,11530756.839999999850988
20130425,2432851.089999999850988,2259126.200000000186265,2406199.559999999590218,2188052.300000000279397,2246308.699999999720603,11532537.849999999627471
20130426,2464167.109999999869615,2235647.600000000558794,2399222.849999999627471,2193214.520000000018626,2222897.180000000167638,11515149.259999999776483
20130429,2438955.060000000055879,2236509.200000000186265,2427904.879999999888241,2212757.209999999962747,2234359.069999999832362,11550485.419999999925494
20130430,2425950.949999999720603,2255464.400000000372529,2465114.000000000000000,2209807.370000000111759,2226311.359999999869615,11582648.079999998211861
20130501,2419846.979999999981374,2252018.000000000000000,2455811.719999999739230,2202064.040000000037253,2220458.479999999981374,11550199.220000000670552
20130502,2447182.149999999906868,2284112.600000000558794,2454261.339999999850988,2193214.520000000018626,2237529.379999999888241,11616299.989999998360872
20130503,2487786.819999999832362,2322669.200000000186265,2502323.120000000111759,2172565.640000000130385,2270695.699999999720603,11756040.479999998584390
20130506,2499729.370000000111759,2322884.600000000558794,2479067.419999999925494,2219763.080000000074506,2279962.759999999776483,11801407.230000000447035
20130507,2515652.770000000018626,2326546.400000000372529,2477517.040000000037253,2230824.979999999981374,2289229.819999999832362,11839771.009999999776483
20130508,2495748.520000000018626,2330639.000000000000000,2476741.849999999627471,2304939.709999999962747,2301667.189999999944121,11909736.269999997690320
20130509,2510875.750000000000000,2367687.799999999813735,2470540.330000000074506,2286503.209999999962747,2310934.250000000000000,11946541.339999999850988
20130510,2501056.319999999832362,2379750.200000000186265,2510075.020000000484288,2319688.909999999683350,2322883.879999999888241,12033454.329999998211861
20130513,2514856.600000000093132,2380181.000000000000000,2506199.070000000298023,2300514.950000000186265,2315567.779999999795109,12017319.400000000372529
20130514,2550684.250000000000000,2382119.600000000558794,2555036.040000000037253,2276178.770000000018626,2339467.040000000037253,12103485.699999999254942
20130515,2574834.739999999757856,2401721.000000000000000,2551935.280000000260770,2271754.009999999776483,2336540.600000000093132,12136785.630000000819564
20130516,2563157.580000000074506,2392458.799999999813735,2497671.979999999515712,2291296.700000000186265,2320932.919999999925494,12065517.979999998584390
20130517,2625258.839999999850988,2399351.600000000558794,2531780.339999999850988,2317107.800000000279397,2374096.579999999608845,12247595.160000000149012
20130520,2619951.040000000037253,2406459.799999999813735,2532555.530000000260770,2306783.359999999869615,2371170.140000000130385,12236919.870000001043081
20130521,2620747.209999999962747,2412706.400000000372529,2528679.580000000074506,2318213.989999999757856,2378973.979999999981374,12259321.160000000149012
20130522,2598985.229999999981374,2386427.600000000558794,2498447.169999999925494,2296458.919999999925494,2347270.879999999888241,12127589.800000000745058
20130523,2647286.209999999962747,2378242.400000000372529,2455036.530000000260770,2299408.759999999776483,2328736.759999999776483,12108710.660000000149012
20130524,2653920.959999999962747,2375226.799999999813735,2434106.400000000372529,2288346.859999999869615,2317762.609999999869615,12069363.629999998956919
20130528,2656840.250000000000000,2403659.600000000558794,2452710.959999999962747,2335544.300000000279397,2340442.520000000018626,12189197.630000000819564
20130529,2629770.470000000204891,2393751.200000000186265,2439532.729999999515712,2335913.030000000260770,2319713.569999999832362,12118681.000000000000000
20130530,2668252.020000000018626,2399997.799999999813735,2419377.790000000037253,2384216.659999999683350,2340198.649999999906868,12212042.919999999925494
20130531,2627912.739999999757856,2375226.799999999813735,2389920.570000000298023,2309364.470000000204891,2314348.430000000167638,12016773.009999999776483
20130603,2673559.819999999832362,2382550.400000000372529,2443408.679999999701977,2315632.879999999888241,2322396.140000000130385,12137547.920000001788139
20130604,2643570.750000000000000,2369841.799999999813735,2433331.209999999962747,2299408.759999999776483,2299228.489999999757856,12045381.009999999776483
20130605,2613847.069999999832362,2339039.600000000558794,2393796.519999999552965,2276916.229999999981374,2268257.000000000000000,11891856.419999999925494
20130606,2647551.600000000093132,2340762.799999999813735,2409300.320000000298023,2283184.640000000130385,2261916.379999999888241,11942715.740000002086163
20130607,2720003.069999999832362,2393320.400000000372529,2432556.019999999552965,2307152.089999999850988,2304593.629999999888241,12157625.210000000894070
20130610,2713368.319999999832362,2386858.400000000372529,2443408.679999999701977,2348081.120000000111759,2295814.310000000055879,12187530.830000000074506
20130611,2700364.209999999962747,2374149.799999999813735,2409300.320000000298023,2357299.370000000111759,2284596.290000000037253,12125709.989999998360872
20130612,2677275.279999999795109,2348517.200000000186265,2380618.290000000037253,2353612.069999999832362,2260209.290000000037253,12020232.129999998956919
20130613,2711245.199999999720603,2395259.000000000000000,2393796.519999999552965,2365411.430000000167638,2299472.359999999869615,12165184.509999997913837
20130614,2702487.330000000074506,2391597.200000000186265,2399222.849999999627471,2352505.879999999888241,2292887.869999999646097,12138701.129999998956919
20130617,2734334.129999999888241,2410552.400000000372529,2400773.229999999515712,2373523.490000000223517,2316299.390000000130385,12235482.640000000596046
20130618,2762200.080000000074506,2433384.799999999813735,2409300.320000000298023,2421827.120000000111759,2345319.919999999925494,12372032.240000000223517
20130619,2713633.709999999962747,2403228.799999999813735,2393796.519999999552965,2406340.459999999962747,2296789.790000000037253,12213789.279999997466803
20130620,2644366.919999999925494,2343132.200000000186265,2355812.209999999962747,2352505.879999999888241,2252161.579999999608845,11947978.790000000968575
20130621,2653390.180000000167638,2360579.600000000558794,2348060.309999999590218,2356193.179999999701977,2248015.790000000037253,11966239.059999998658895
20130624,2596862.109999999869615,2315561.000000000000000,2324029.419999999925494,2383847.930000000167638,2231188.759999999776483,11851489.219999998807907
20130625,2618624.089999999850988,2331500.600000000558794,2341083.599999999627471,2349924.770000000018626,2238260.989999999757856,11879394.050000000745058
20130626,2673825.209999999962747,2362518.200000000186265,2397672.469999999739230,2388641.419999999925494,2267525.390000000130385,12090182.690000001341105
20130627,2737518.810000000055879,2374580.600000000558794,2415501.839999999850988,2436945.050000000279397,2280450.500000000000000,12244996.800000000745058
20130628,2718676.120000000111759,2355410.000000000000000,2468214.759999999776483,2414452.520000000018626,2266549.909999999683350,12223303.310000000521541
20130701,2739907.319999999832362,2354548.400000000372529,2416277.030000000260770,2419983.469999999739230,2310446.509999999776483,12241162.730000000447035
20130702,2692933.290000000037253,2342055.200000000186265,2427129.690000000409782,2406709.189999999944121,2287522.729999999981374,12156350.100000001490116
20130703,2730618.669999999925494,2357564.000000000000000,2436431.969999999739230,2416664.900000000372529,2310202.640000000130385,12251482.179999999701977
20130705,2765384.760000000242144,2402582.600000000558794,2466664.379999999888241,2439894.890000000130385,2354099.239999999757856,12428625.870000001043081
20130708,2769896.390000000130385,2415291.200000000186265,2469765.139999999664724,2491148.359999999869615,2365073.390000000130385,12511174.480000000447035
20130709,2778123.479999999981374,2441570.000000000000000,2478292.229999999515712,2506266.290000000037253,2390435.869999999646097,12594687.869999999180436
20130710,2799885.459999999962747,2443293.200000000186265,2465114.000000000000000,2495941.850000000093132,2384826.859999999869615,12589061.369999999180436
20130711,2836509.279999999795109,2466987.200000000186265,2469765.139999999664724,2520646.759999999776483,2431162.159999999683350,12725070.539999999105930
20130712,2703548.890000000130385,2480126.600000000558794,2468214.759999999776483,2507372.479999999981374,2434576.339999999850988,12593839.070000000298023
20130715,2804131.699999999720603,2473880.000000000000000,2455811.719999999739230,2493360.740000000223517,2444575.009999999776483,12671759.169999999925494
20130716,2766180.930000000167638,2462894.600000000558794,2430230.450000000186265,2467180.909999999683350,2438478.259999999776483,12564965.150000000372529
20130717,2781042.770000000018626,2469356.600000000558794,2455036.530000000260770,2442107.270000000018626,2459694.949999999720603,12607238.120000001043081
20130718,2856413.529999999795109,2487450.200000000186265,2454261.339999999850988,2601398.629999999888241,2471400.709999999962747,12870924.410000000149012
20130719,2838632.399999999906868,2502743.600000000558794,2455811.719999999739230,2634584.330000000074506,2499201.890000000130385,12930973.940000001341105
20130722,2835978.500000000000000,2504682.200000000186265,2453486.150000000372529,2661501.620000000111759,2490178.699999999720603,12945827.169999999925494
20130723,2860659.770000000018626,2514806.000000000000000,2449610.200000000186265,2680306.850000000093132,2563583.569999999832362,13068966.390000000596046
20130724,2838367.010000000242144,2505759.200000000186265,2427904.879999999888241,2674407.169999999925494,2560413.259999999776483,13006851.520000001415610
20130725,2831732.260000000242144,2510498.000000000000000,2422478.549999999813735,2677725.740000000223517,2555535.859999999869615,12997970.410000000149012
20130726,2802539.359999999869615,2518252.400000000372529,2424028.929999999701977,2662607.809999999590218,2559925.520000000018626,12967354.019999999552965
20130729,2781573.549999999813735,2511790.400000000372529,2431005.639999999664724,2683994.150000000372529,2562364.219999999739230,12970727.960000000894070
20130730,2805989.430000000167638,2516744.600000000558794,2436431.969999999739230,2664820.189999999944121,2574557.719999999739230,12998543.910000000149012
20130731,2789269.859999999869615,2529453.200000000186265,2438757.540000000037253,2686206.529999999795109,2574557.719999999739230,13018244.850000001490116
20130801,2831732.260000000242144,2550562.400000000372529,2557361.610000000335276,2697637.159999999683350,2613820.790000000037253,13251114.219999998807907
20130802,2863579.060000000055879,2547331.400000000372529,2569764.650000000372529,2664451.459999999962747,2628209.119999999646097,13273335.689999999478459
20130805,2852963.459999999962747,2540007.799999999813735,2573640.600000000558794,2704274.300000000279397,2600651.810000000055879,13271537.970000000670552
20130806,2840755.520000000018626,2530961.000000000000000,2579066.930000000633299,2700587.000000000000000,2565534.529999999795109,13216904.979999998584390
20130807,2824301.339999999850988,2538069.200000000186265,2544183.379999999888241,2688787.640000000130385,2585775.739999999757856,13181117.300000000745058
20130808,2808908.720000000204891,2556378.200000000186265,2560462.370000000111759,2698374.620000000111759,2591384.750000000000000,13215508.660000000149012
20130809,2795373.830000000074506,2548408.400000000372529,2570539.839999999850988,2689156.370000000111759,2575777.069999999832362,13179255.510000001639128
20130812,2766446.319999999832362,2549916.200000000186265,2578291.740000000223517,2669244.950000000186265,2573826.109999999869615,13137725.320000000298023
20130813,2819258.930000000167638,2556162.799999999813735,2551160.089999999850988,2704643.029999999795109,2604553.729999999981374,13235778.580000000074506
20130814,2764323.199999999720603,2533545.800000000745058,2493796.030000000260770,2672932.250000000000000,2562120.350000000093132,13026717.630000000819564
20130815,2726372.430000000167638,2495420.000000000000000,2461238.049999999813735,2632740.680000000167638,2511639.259999999776483,12827410.419999999925494
20130816,2746011.290000000037253,2496497.000000000000000,2467439.570000000298023,2633846.870000000111759,2513834.089999999850988,12857628.820000000298023
20130819,2779185.040000000037253,2490250.400000000372529,2507749.450000000186265,2644171.309999999590218,2502859.939999999944121,12924216.139999998733401
20130820,2776796.529999999795109,2486157.799999999813735,2505423.879999999888241,2671826.059999999590218,2497250.930000000167638,12937455.199999999254942
20130821,2757688.449999999720603,2443077.799999999813735,2486044.129999999888241,2649333.529999999795109,2480180.029999999795109,12816323.939999999478459
20130822,2790331.419999999925494,2470002.799999999813735,2513950.969999999739230,2653758.290000000037253,2510907.649999999906868,12938951.130000000819564
20130823,2799354.680000000167638,2464187.000000000000000,2488369.700000000186265,2674775.900000000372529,2507005.729999999981374,12933693.010000001639128
20130826,2800681.629999999888241,2462679.200000000186265,2477517.040000000037253,2668876.219999999739230,2494812.229999999981374,12904566.320000000298023
20130827,2739111.149999999906868,2428215.200000000186265,2434881.589999999850988,2637165.439999999944121,2437258.909999999683350,12676632.289999999105930
20130828,2740703.489999999757856,2434031.000000000000000,2456586.910000000149012,2637902.900000000372529,2438234.390000000130385,12707458.690000001341105
20130829,2784758.229999999981374,2440923.799999999813735,2460462.860000000335276,2671088.600000000093132,2449940.149999999906868,12807173.640000000596046
20130830,2757953.839999999850988,2446524.200000000186265,2434881.589999999850988,2645277.500000000000000,2441160.829999999608845,12725797.959999999031425
20130903,2786881.350000000093132,2438769.799999999813735,2492245.650000000372529,2675513.359999999869615,2503591.549999999813735,12897001.710000000894070
20130904,2822974.390000000130385,2467418.000000000000000,2524803.629999999888241,2704643.029999999795109,2520662.449999999720603,13040501.500000000000000
20130905,2830405.310000000055879,2474310.800000000745058,2534105.910000000149012,2730085.400000000372529,2528466.290000000037253,13097373.710000000894070
20130906,2815012.689999999944121,2477972.600000000558794,2518602.110000000335276,2730822.859999999869615,2517492.140000000130385,13059902.400000002235174
20130909,2844736.370000000111759,2514590.600000000558794,2534881.100000000558794,2737828.729999999981374,2547975.890000000130385,13180012.690000001341105
20130910,2870744.589999999850988,2532899.600000000558794,2589919.589999999850988,2751840.469999999739230,2591384.750000000000000,13336789.000000000000000
20130911,2898875.930000000167638,2557024.400000000372529,2620152.000000000000000,2772120.620000000111759,2629672.339999999850988,13477845.289999999105930
20130912,2914003.159999999683350,2546039.000000000000000,2638756.559999999590218,2755896.500000000000000,2629672.339999999850988,13484367.559999998658895
20130913,2954607.830000000074506,2554655.000000000000000,2632555.040000000037253,2746309.520000000018626,2643329.060000000055879,13531456.450000001117587
20130916,3069787.089999999850988,2568225.200000000186265,2643407.700000000186265,2769908.240000000223517,2675276.029999999795109,13726604.259999999776483
20130917,3108003.250000000000000,2583303.200000000186265,2648058.839999999850988,2740041.109999999869615,2692103.060000000055879,13771509.460000000894070
20130918,3142238.560000000055879,2612597.600000000558794,2693019.860000000335276,2693212.400000000372529,2707223.000000000000000,13848291.419999999925494
20130919,3159223.520000000018626,2618628.799999999813735,2693795.049999999813735,2612091.800000000279397,2731366.129999999888241,13815105.300000000745058
20130920,3095264.529999999795109,2585026.400000000372529,2689143.910000000149012,2602136.089999999850988,2672349.589999999850988,13643920.519999999552965
20130923,3118618.850000000093132,2608720.400000000372529,2673640.110000000335276,2648227.339999999850988,2668447.669999999925494,13717654.369999999180436
20130924,3158161.959999999962747,2602043.000000000000000,2691469.479999999515712,2666663.839999999850988,2682592.129999999888241,13800930.410000000149012
20130925,3145157.850000000093132,2589119.000000000000000,2671314.540000000037253,2654127.020000000018626,2664545.750000000000000,13724264.160000000149012
20130926,3168246.779999999795109,2599027.400000000372529,2726353.030000000260770,2660764.159999999683350,2674300.549999999813735,13828691.920000001788139
20130927,3151261.819999999832362,2589549.799999999813735,2854259.379999999888241,2654495.750000000000000,2666984.449999999720603,13916551.199999999254942
20130930,3118353.459999999962747,2572102.400000000372529,2815499.879999999888241,2640484.009999999776483,2629428.469999999739230,13775868.219999998807907
20131001,3124988.209999999962747,2576625.800000000745058,2806972.790000000037253,2676250.819999999832362,2618698.189999999944121,13803535.810000000521541
20131002,3127376.720000000204891,2567579.000000000000000,2786817.850000000558794,2675882.089999999850988,2560169.390000000130385,13717825.050000000745058
20131003,3058375.319999999832362,2553578.000000000000000,2776740.379999999888241,2674038.439999999944121,2528710.159999999683350,13591442.299999998882413
20131004,3110391.760000000242144,2571887.000000000000000,2796120.129999999888241,2691368.750000000000000,2542854.619999999646097,13712622.259999999776483
20131007,3096856.870000000111759,2556593.600000000558794,2765112.530000000260770,2661132.890000000130385,2537001.739999999757856,13616697.630000000819564
20131008,3063683.120000000111759,2523637.400000000372529,2724027.459999999962747,2635690.520000000018626,2506030.250000000000000,13453068.750000000000000
20131009,3037940.290000000037253,2532468.799999999813735,2748058.350000000558794,2632003.219999999739230,2507981.209999999962747,13458451.870000001043081
20131010,3155508.060000000055879,2570594.600000000558794,2846507.479999999515712,2727873.020000000018626,2583093.169999999925494,13883576.330000000074506
20131011,3131092.180000000167638,2600319.799999999813735,2847282.669999999925494,2738566.189999999944121,2609675.000000000000000,13926935.839999999850988
20131014,3170369.899999999906868,2614967.000000000000000,2870538.370000000111759,2755159.040000000037253,2606992.430000000167638,14018026.739999998360872
20131015,3136399.979999999981374,2580933.799999999813735,2856584.950000000186265,2723816.990000000223517,2580166.729999999981374,13877902.450000001117587
20131016,3193724.220000000204891,2605058.600000000558794,2888367.740000000223517,2772489.350000000093132,2595530.540000000037253,14055170.449999999254942
20131017,3245475.270000000018626,2641245.800000000745058,2889142.930000000633299,2631634.490000000223517,2634305.869999999646097,14041804.359999999403954
20131018,3251579.239999999757856,2645984.600000000558794,2943406.229999999515712,2535395.959999999962747,2627477.509999999776483,14003843.540000000968575
20131021,3223713.290000000037253,2654816.000000000000000,2949607.750000000000000,2514747.080000000074506,2624551.069999999832362,13967435.189999999478459
20131022,3250517.680000000167638,2666663.000000000000000,2944181.419999999925494,2539083.259999999776483,2588214.439999999944121,13988659.799999998882413
20131023,3424082.740000000223517,2653739.000000000000000,2928677.620000000111759,2507741.209999999962747,2594555.060000000055879,14108795.630000000819564
20131024,3423021.179999999701977,2659985.600000000558794,2927127.240000000223517,2492992.009999999776483,2610894.350000000093132,14114020.379999998956919
20131025,3481672.370000000111759,2680017.799999999813735,2934103.950000000186265,2493360.740000000223517,2622112.369999999646097,14211267.230000000447035
20131028,3446906.279999999795109,2690787.799999999813735,2927127.240000000223517,2468287.100000000093132,2584800.259999999776483,14117908.679999999701977
