代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13223429.809999998658895
真實報酬,3223429.809999998658895

夏普值報酬,0.313642981000000
夏普值風險,0.087883880059632
夏普值,3.568834020382168

預期報酬,13750.427845279564281
風險,148473.315283292991808
趨勢值,0.092612115645449
找到最佳解世代,3312
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
BA[2](12),CAT[3](9),DD[7](1),MRK[17](8),MSFT[18](16),
20130807,2077701.540000000270084,1998545.300000000279397,2256272.459999999962747,2090419.699999999720603,1856400.560000000288710,10279339.560000000521541
20130808,2066378.200000000186265,2035640.150000000139698,2294691.500000000000000,2086975.139999999897555,1904460.050000000046566,10388145.040000000968575
20130809,2056421.469999999972060,2048974.900000000372529,2364980.879999999888241,2083530.579999999841675,1893458.480000000214204,10447366.310000000521541
20130812,2035141.399999999906868,2092858.350000000093132,2330054.479999999515712,2086975.139999999897555,1903301.989999999990687,10448331.359999999403954
20130813,2073992.170000000158325,2098919.600000000093132,2354939.540000000037253,2085252.859999999869615,1866244.069999999832362,10479348.240000000223517
20130814,2033579.560000000055879,2080735.850000000093132,2347081.099999999627471,2091280.839999999850988,1873192.430000000167638,10425869.779999999329448
20130815,2005661.670000000158325,2081705.650000000139698,2309971.799999999813735,2065446.639999999897555,1840766.750000000000000,10303552.509999999776483
20130816,2020108.690000000176951,2064734.150000000139698,2293381.759999999776483,2053821.250000000000000,1841345.780000000260770,10273391.629999998956919
20130819,2044512.440000000176951,2041458.950000000186265,2277228.299999999813735,2048654.409999999683350,1817605.550000000046566,10229459.650000000372529
20130820,2042755.370000000111759,2033215.650000000139698,2297310.979999999515712,2047793.270000000018626,1830923.240000000223517,10251998.509999999776483
20130821,2028698.810000000055879,2010910.250000000232831,2309098.639999999664724,2043487.569999999832362,1830344.210000000195578,10222539.480000000447035
20130822,2052712.100000000093132,2040731.600000000325963,2312154.700000000186265,2058557.520000000018626,1875508.550000000046566,10339664.470000000670552
20130823,2059349.920000000158325,2033943.000000000232831,2408638.879999999888241,2055112.959999999729916,2012159.630000000121072,10569204.390000000596046
20130826,2060326.070000000065193,2025942.150000000139698,2402963.339999999850988,2050376.689999999711290,1977417.830000000074506,10517026.080000000074506
20130827,2015032.709999999962747,2005091.450000000186265,2335293.439999999478459,2028417.619999999878928,1925884.159999999916181,10309719.379999998956919
20130828,2016204.090000000083819,1999030.200000000186265,2328308.160000000149012,2027556.479999999981374,1911987.440000000409782,10283086.370000001043081
20130829,2048612.270000000251457,2000969.800000000279397,2332673.959999999962747,2027987.049999999813735,1942676.030000000027940,10352919.109999999403954
20130830,2028894.040000000270084,2001212.250000000232831,2325252.099999999627471,2036167.879999999888241,1933990.580000000074506,10325516.849999999627471
20130903,2050174.110000000335276,2000484.900000000372529,2327871.580000000074506,2032723.319999999832362,1845978.020000000018626,10257231.929999999701977
20130904,2076725.390000000130385,2025457.250000000232831,2348827.419999999925494,2052960.109999999869615,1806603.979999999981374,10310574.150000000372529
20130905,2082191.830000000307336,2011152.700000000186265,2388119.620000000111759,2045640.419999999692664,1808920.100000000093132,10336024.669999999925494
20130906,2070868.489999999990687,2021820.500000000232831,2397287.799999999813735,2044779.280000000027940,1803708.830000000074506,10338464.900000000372529
20130909,2092734.250000000000000,2075159.500000000232831,2413004.679999999701977,2055543.530000000027940,1833239.360000000102445,10469681.319999998435378
20130910,2111866.790000000037253,2099889.400000000372529,2485913.540000000037253,2065877.209999999729916,1875508.550000000046566,10639055.490000000223517
20130911,2132561.169999999925494,2112496.800000000279397,2477618.519999999552965,2072766.329999999841675,1895774.600000000325963,10691217.419999999925494
20130912,2143689.280000000260770,2105465.750000000465661,2416060.740000000223517,2060279.799999999813735,1892879.449999999953434,10618375.019999999552965
20130913,2173559.469999999739230,2109587.400000000372529,2478928.259999999776483,2057696.379999999888241,1912566.470000000204891,10732337.980000000447035
20130916,2258289.290000000037253,2113709.050000000279397,2474562.459999999962747,2074919.179999999701977,1899248.780000000027940,10820728.759999999776483
20130917,2286402.410000000149012,2111042.100000000093132,2468886.919999999925494,2067168.919999999692664,1906776.170000000158325,10840276.519999999552965
20130918,2311587.080000000074506,2129710.750000000465661,2540486.040000000037253,2083961.149999999906868,1929358.340000000083819,10995103.359999999403954
20130919,2324081.799999999813735,2127528.700000000186265,2524769.160000000149012,2077933.169999999692664,1947887.300000000046566,11002200.130000000819564
20130920,2277031.370000000111759,2054793.700000000186265,2468450.339999999850988,2067168.919999999692664,1898669.750000000000000,10766114.080000000074506
20130923,2294211.610000000335276,2061582.300000000279397,2439636.059999999590218,2052960.109999999869615,1895774.600000000325963,10744164.679999999701977
20130924,2323300.879999999888241,2063521.900000000139698,2431777.620000000111759,2046501.559999999823049,1879561.760000000242144,10744663.720000000670552
20130925,2313734.610000000335276,2048732.450000000186265,2478055.099999999627471,2052529.540000000037253,1882456.909999999916181,10775508.609999999403954
20130926,2330719.620000000111759,2041458.950000000186265,2486350.120000000111759,2052960.109999999869615,1897511.690000000409782,10809000.490000002086163
20130927,2318224.900000000372529,2031760.950000000186265,2426102.080000000074506,2057696.379999999888241,1926463.190000000409782,10760247.500000000000000
20130930,2294016.379999999888241,2022062.950000000419095,2387683.040000000037253,2049946.119999999878928,1927042.220000000204891,10680750.710000000894070
20131001,2298897.129999999888241,2030791.150000000372529,2382007.500000000000000,2098600.530000000260770,1944413.120000000111759,10754709.429999999701977
20131002,2300654.200000000186265,2038307.100000000093132,2406019.399999999441206,2082669.439999999711290,1964100.140000000130385,10791750.280000001192093
20131003,2249894.400000000372529,2035882.600000000093132,2410385.200000000186265,2082238.869999999878928,1960625.960000000195578,10739027.030000001192093
20131004,2288159.480000000447035,2041458.950000000186265,2486350.120000000111759,2076641.459999999729916,1961784.020000000251457,10854394.029999999329448
20131007,2278202.750000000000000,2025214.800000000279397,2446621.339999999850988,2062002.079999999841675,1928200.280000000027940,10740241.250000000000000
20131008,2253799.000000000000000,2008728.199999999953434,2395104.899999999441206,2055974.099999999860302,1911408.409999999916181,10625014.609999999403954
20131009,2234861.690000000409782,2024972.350000000093132,2419989.959999999962747,2035306.739999999990687,1914882.590000000083819,10630013.330000000074506
20131010,2321348.580000000074506,2054308.800000000279397,2511671.759999999776483,2044779.280000000027940,1954835.659999999916181,10886944.080000000074506
20131011,2303387.419999999925494,2075644.400000000139698,2553583.439999999478459,2036167.879999999888241,1976259.770000000251457,10945042.910000000149012
20131014,2332281.459999999962747,2090918.750000000000000,2537866.559999999590218,2012917.099999999860302,1994788.730000000214204,10968772.599999999627471
20131015,2307292.020000000484288,2079038.700000000186265,2513854.660000000149012,2005166.839999999850988,1997104.850000000325963,10902457.070000000298023
20131016,2349461.700000000186265,2091646.100000000093132,2557076.080000000074506,2031001.040000000037253,2005790.300000000046566,11034975.220000002533197
20131017,2387531.549999999813735,2081463.199999999953434,2573229.540000000037253,2028417.619999999878928,2022003.140000000130385,11092645.050000000745058
20131018,2392021.839999999850988,2117588.250000000465661,2568427.160000000149012,2006889.119999999878928,2024319.260000000242144,11109245.629999998956919
20131021,2371522.690000000409782,2126316.450000000186265,2571483.219999999739230,2002583.419999999692664,2026056.350000000325963,11097962.129999998956919
20131022,2391240.919999999925494,2161956.600000000093132,2583270.879999999888241,2000861.139999999897555,2002316.120000000111759,11139645.660000000149012
20131023,2518921.340000000782311,2030791.150000000372529,2551400.540000000037253,2004736.270000000018626,1954835.659999999916181,11060684.960000000894070
20131024,2518140.419999999925494,2049459.800000000279397,2525642.320000000298023,1990096.889999999897555,1952519.540000000037253,11035858.970000002533197
20131025,2561286.250000000000000,2055278.600000000093132,2457099.259999999776483,2003875.129999999888241,2068904.569999999832362,11146443.809999998658895
20131028,2535711.120000000111759,2043398.550000000279397,2431777.620000000111759,1952637.299999999813735,2059640.090000000083819,11023164.679999999701977
20131029,2531416.059999999590218,2038307.100000000093132,2453170.040000000037253,1962540.409999999683350,2056744.940000000409782,11042178.550000000745058
20131030,2531806.520000000484288,2024245.000000000000000,2440945.799999999813735,1947901.030000000027940,2057903.000000000000000,11002801.349999999627471
20131031,2547815.379999999888241,2021093.150000000139698,2454043.200000000186265,1941442.479999999981374,2050375.609999999869615,11014769.820000000298023
20131101,2597208.570000000298023,2026669.500000000232831,2421736.279999999329448,1947470.459999999729916,2057323.970000000204891,11050408.779999999329448
20131104,2592523.049999999813735,2033943.000000000232831,2387683.040000000037253,1968568.389999999897555,2081064.199999999953434,11063781.679999999701977
20131105,2607750.990000000223517,2037822.200000000186265,2407329.139999999664724,1953067.869999999878928,2121596.299999999813735,11127566.500000000000000
20131106,2598379.950000000186265,2041943.850000000093132,2440945.799999999813735,1978902.069999999832362,2210766.919999999925494,11270938.589999999850988
20131107,2567533.610000000335276,2028124.200000000419095,2404273.080000000074506,1972874.089999999850988,2171392.879999999888241,11144197.859999999403954
20131108,2606189.150000000372529,2042428.750000000000000,2466267.439999999478459,2015069.949999999720603,2187605.719999999739230,11317561.009999997913837
20131111,2587447.070000000298023,2040246.700000000419095,2465830.859999999403954,2023681.349999999860302,2176604.150000000372529,11293810.130000000819564
20131112,2583542.470000000670552,2032973.199999999953434,2445748.179999999701977,2049084.979999999981374,2163286.459999999962747,11274635.289999999105930
20131113,2599941.790000000037253,2041458.950000000186265,2461901.639999999664724,2038320.729999999981374,2209608.860000000335276,11351231.969999998807907
20131114,2637425.950000000186265,2030791.150000000372529,2493335.399999999441206,2058988.089999999850988,2201502.440000000409782,11422043.030000001192093
20131115,2656753.720000000670552,2030306.250000000000000,2501193.839999999850988,2069752.339999999850988,2191079.900000000372529,11449086.050000000745058
20131118,2701266.160000000149012,2037579.750000000232831,2478928.259999999776483,2067168.919999999692664,2154021.980000000447035,11438965.070000000298023
20131119,2674324.419999999925494,2028609.100000000325963,2468450.339999999850988,2069752.339999999850988,2127386.600000000558794,11368522.800000000745058
20131120,2585885.229999999515712,2004606.550000000279397,2440945.799999999813735,2072335.760000000009313,2147073.620000000111759,11250846.960000000894070
20131121,2595256.270000000484288,1991029.350000000325963,2464084.540000000037253,2093433.689999999711290,2165602.580000000074506,11309406.430000001564622
20131122,2654606.190000000409782,2009455.550000000046566,2465830.859999999403954,2107211.929999999701977,2175446.089999999850988,11412550.619999999180436
20131125,2596622.879999999888241,2046307.950000000419095,2425228.919999999925494,2138212.969999999739230,2179499.299999999813735,11385872.019999999552965
20131126,2631373.820000000298023,2045338.150000000139698,2411694.939999999478459,2134768.410000000149012,2162707.430000000633299,11385882.750000000000000
20131127,2630202.440000000409782,2052854.100000000325963,2430904.459999999962747,2145532.660000000149012,2177183.180000000633299,11436676.839999999850988
20131129,2621026.629999999888241,2051156.949999999953434,2428721.559999999590218,2145532.660000000149012,2207871.770000000484288,11454309.570000000298023
20131202,2619269.559999999590218,2042671.200000000186265,2485913.540000000037253,2160602.609999999403954,2226400.730000000447035,11534857.640000000596046
20131203,2577099.879999999888241,2033458.100000000325963,2407329.139999999664724,2142518.669999999925494,2218294.310000000521541,11378700.099999999627471
20131204,2567338.379999999888241,2035882.600000000093132,2417807.059999999590218,2123143.019999999552965,2254773.200000000186265,11398944.259999997913837
20131205,2591351.669999999925494,2046550.400000000139698,2400343.859999999403954,2101614.519999999552965,2200344.379999999888241,11340204.829999998211861
20131206,2639183.020000000484288,2072977.450000000186265,2441382.379999999888241,2126587.580000000074506,2221189.459999999962747,11501319.890000000596046
20131209,2629421.520000000484288,2087282.000000000232831,2536556.820000000298023,2133907.269999999552965,2241455.509999999776483,11628623.119999999180436
20131210,2610288.979999999515712,2095282.850000000325963,2597678.019999999552965,2128309.859999999403954,2206713.709999999962747,11638273.419999998062849
20131211,2588032.759999999776483,2067643.550000000279397,2552273.700000000186265,2107642.500000000000000,2177762.209999999962747,11493354.720000002533197
20131212,2595841.959999999962747,2074674.600000000093132,2534373.919999999925494,2080516.589999999850988,2155180.040000000037253,11440587.109999999403954
20131213,2612826.970000000670552,2086312.200000000186265,2581524.559999999590218,2083100.010000000009313,2124491.450000000186265,11488255.190000001341105
20131216,2630202.440000000409782,2118558.050000000279397,2586326.939999999478459,2070613.479999999981374,2135493.020000000484288,11541193.929999999701977
20131217,2652849.120000000111759,2107405.350000000093132,2623872.820000000298023,2062432.649999999906868,2114647.940000000409782,11561207.880000002682209
20131218,2645235.150000000372529,2137711.600000000093132,2705076.700000000186265,2105489.649999999441206,2118122.120000000111759,11711635.219999998807907
20131219,2638987.790000000037253,2122437.250000000465661,2729525.179999999701977,2100753.379999999888241,2099014.129999999888241,11690717.730000000447035
20131220,2668272.290000000037253,2156137.800000000279397,2722103.320000000298023,2123573.589999999850988,2130860.780000000260770,11800947.780000001192093
20131223,2663001.080000000074506,2181110.149999999906868,2728215.439999999478459,2125295.870000000111759,2120438.240000000223517,11818060.779999999329448
20131224,2671395.970000000670552,2204142.899999999906868,2761832.099999999627471,2127448.719999999739230,2147073.620000000111759,11911893.310000002384186
20131226,2699509.090000000782311,2209961.700000000186265,2788900.059999999590218,2140796.389999999664724,2167918.700000000186265,12007085.940000001341105
20131227,2672762.580000000074506,2203173.100000000093132,2772746.599999999627471,2143810.379999999888241,2159233.250000000000000,11951725.910000000149012
20131230,2653630.040000000037253,2203173.100000000093132,2772746.599999999627471,2150268.929999999701977,2159233.250000000000000,11939051.919999999925494
20131231,2664758.150000000372529,2201718.400000000372529,2760522.359999999403954,2155005.200000000186265,2166181.610000000335276,11948185.719999998807907
20140102,2668272.290000000037253,2178928.100000000093132,2727342.279999999329448,2130893.280000000260770,2151705.860000000335276,11857141.809999998658895
20140103,2686819.140000000596046,2177715.850000000093132,2715118.040000000037253,2141226.959999999962747,2137230.110000000335276,11858110.100000001490116
20140106,2702242.309999999590218,2149106.750000000000000,2710315.660000000149012,2141657.530000000260770,2092065.770000000251457,11795388.019999999552965
20140107,2743240.610000000335276,2156137.800000000279397,2680191.639999999664724,2157588.620000000111759,2108278.610000000335276,11845437.280000001192093
20140108,2749292.740000000223517,2161229.250000000000000,2683247.700000000186265,2143810.379999999888241,2070641.659999999916181,11808221.730000000447035
20140109,2774867.870000000111759,2175048.899999999906868,2648757.879999999888241,2132184.990000000223517,2057323.970000000204891,11788183.610000001266599
20140110,2770377.580000000074506,2194444.900000000372529,2655306.580000000074506,2147685.509999999776483,2086854.500000000000000,11854669.070000000298023
20140113,2746949.979999999515712,2179413.000000000000000,2604663.299999999813735,2287190.189999999478459,2025477.319999999832362,11843693.789999999105930
20140114,2733479.110000000335276,2195657.150000000372529,2651813.939999999478459,2282023.349999999627471,2071799.720000000204891,11934773.270000001415610
20140115,2745388.140000000596046,2240510.399999999906868,2676699.000000000000000,2261355.990000000223517,2128544.660000000149012,12052498.190000001341105
20140116,2737383.709999999962747,2230812.400000000372529,2678881.899999999441206,2260494.849999999627471,2136072.049999999813735,12043644.910000000149012
20140117,2742264.459999999962747,2216992.750000000000000,2678008.740000000223517,2236813.500000000000000,2106541.520000000484288,11980620.969999998807907
20140121,2765887.290000000037253,2196626.950000000186265,2855696.799999999813735,2231646.660000000149012,2094381.890000000130385,12144239.589999999850988
20140122,2818599.390000000596046,2173351.750000000000000,2839979.919999999925494,2210979.299999999813735,2080485.170000000158325,12123395.529999999329448
20140123,2758859.009999999776483,2145227.550000000279397,2780605.040000000037253,2221743.549999999813735,2088012.560000000288710,11994447.710000000894070
20140124,2667881.830000000074506,2089221.600000000325963,2698964.580000000074506,2238105.209999999962747,2131439.810000000521541,11825613.030000001192093
20140127,2681743.160000000149012,2213356.000000000465661,2679755.059999999590218,2261786.559999999590218,2086275.470000000204891,11922916.250000000000000
20140128,2676471.950000000186265,2241965.100000000093132,2677135.580000000074506,2276425.939999999478459,2100172.190000000409782,11972170.760000001639128
20140129,2533758.820000000298023,2197111.850000000093132,2781041.620000000111759,2248008.320000000298023,2122754.360000000335276,11882674.969999998807907
20140130,2470309.070000000298023,2259663.950000000186265,2817277.759999999776483,2303982.419999999925494,2134334.959999999962747,11985568.160000000149012
20140131,2445514.860000000335276,2276877.899999999906868,2829502.000000000000000,2280731.639999999664724,2191079.900000000372529,12023706.299999998882413
20140203,2402954.719999999739230,2240752.850000000093132,2778422.139999999664724,2242410.910000000149012,2112331.820000000298023,11776872.440000001341105
20140204,2382650.799999999813735,2242692.450000000186265,2795448.759999999776483,2303982.419999999925494,2104804.430000000633299,11829578.859999999403954
20140205,2370156.080000000074506,2229600.149999999906868,2788463.479999999515712,2304843.559999999590218,2074115.840000000083819,11767179.109999999403954
20140206,2394950.290000000037253,2274938.300000000279397,2834304.379999999888241,2315177.240000000223517,2094960.920000000158325,11914331.130000000819564
20140207,2479875.339999999850988,2300153.100000000093132,2835177.540000000037253,2358234.240000000223517,2116964.060000000521541,12090404.279999999329448
20140210,2482608.559999999590218,2291182.450000000186265,2850021.259999999776483,2363401.080000000074506,2130860.780000000260770,12118074.129999998956919
20140211,2541177.559999999590218,2302335.149999999906868,2912015.620000000111759,2398277.250000000000000,2152284.890000000596046,12306090.469999998807907
20140212,2501545.870000000111759,2331671.600000000093132,2883201.339999999850988,2368137.349999999627471,2169655.790000000037253,12254211.949999999254942
20140213,2528292.379999999888241,2330216.900000000372529,2878835.540000000037253,2372443.049999999813735,2177762.209999999962747,12287550.080000001937151
20140214,2541177.559999999590218,2340884.700000000186265,2904157.179999999701977,2387082.429999999701977,2178341.240000000223517,12351643.109999999403954
20140218,2550353.370000000111759,2341127.150000000372529,2908522.980000000447035,2397846.679999999701977,2166760.640000000596046,12364610.820000000298023
20140219,2506621.849999999627471,2332641.399999999906868,2887130.559999999590218,2369859.629999999888241,2171971.910000000149012,12268225.349999999627471
20140220,2529463.759999999776483,2349855.350000000093132,2930788.559999999590218,2403013.519999999552965,2185868.629999999888241,12398989.819999996572733
20140221,2504474.320000000298023,2363917.450000000186265,2919874.059999999590218,2412486.059999999590218,2199186.320000000298023,12399938.210000000894070
20140224,2530049.450000000186265,2359553.350000000093132,2919000.899999999441206,2418944.609999999403954,2182394.450000000186265,12409942.759999997913837
20140225,2475189.820000000298023,2337490.399999999906868,2936027.519999999552965,2407319.219999999739230,2173709.000000000000000,12329735.960000000894070
20140226,2471870.910000000149012,2356643.950000000186265,2973573.399999999441206,2422819.740000000223517,2169655.790000000037253,12394563.789999999105930
20140227,2509940.759999999776483,2344521.450000000186265,3015921.660000000149012,2439611.969999999739230,2192237.959999999962747,12502233.800000000745058
20140228,2516969.040000000037253,2351067.600000000093132,3028582.480000000447035,2453820.780000000260770,2218294.310000000521541,12568734.210000002756715
20140303,2503302.940000000409782,2335065.900000000372529,3011555.860000000335276,2429278.290000000037253,2187605.719999999739230,12466808.710000000894070
20140304,2542544.169999999925494,2352279.850000000093132,3075296.540000000037253,2456834.769999999552965,2224084.610000000335276,12651039.939999997615814
20140305,2514431.049999999813735,2336520.600000000093132,3103237.660000000149012,2449084.509999999776483,2206713.709999999962747,12609987.530000001192093
20140306,2515797.660000000149012,2366341.950000000186265,3094942.639999999664724,2465446.169999999925494,2209029.830000000074506,12651558.250000000000000
20140307,2509550.299999999813735,2353007.200000000186265,3078352.599999999627471,2474488.139999999664724,2194554.080000000074506,12609952.319999998435378
20140310,2477337.350000000558794,2345733.700000000186265,3097998.699999999254942,2468029.589999999850988,2189921.839999999850988,12579021.179999999701977
20140311,2453519.290000000037253,2347915.750000000465661,3062635.719999999739230,2440903.679999999701977,2201502.440000000409782,12506476.880000002682209
20140312,2429310.770000000484288,2347430.850000000093132,3048228.579999999143183,2446070.519999999552965,2215978.190000000409782,12487018.910000000149012
20140313,2379722.350000000558794,2318094.400000000372529,3030328.799999999813735,2402152.379999999888241,2193975.049999999813735,12324272.980000000447035
20140314,2403540.410000000149012,2312760.500000000000000,3024653.259999999776483,2398277.250000000000000,2182973.480000000447035,12322204.900000000372529
20140317,2448638.540000000037253,2319549.100000000093132,3046482.259999999776483,2422389.169999999925494,2203239.530000000260770,12440298.600000001490116
20140318,2421696.799999999813735,2337490.399999999906868,3087957.360000000335276,2426694.870000000111759,2290094.030000000260770,12563933.460000000894070
20140319,2386555.400000000372529,2328519.750000000465661,3084464.719999999739230,2410763.780000000260770,2273881.190000000409782,12484184.839999999850988
20140320,2415644.669999999925494,2332641.399999999906868,3123756.919999999925494,2393540.980000000447035,2335258.370000000111759,12600842.339999999850988
20140321,2393193.219999999739230,2361250.500000000000000,3121574.019999999552965,2353497.969999999739230,2325414.860000000335276,12554930.570000000298023
20140324,2409592.540000000037253,2348158.200000000186265,3118517.959999999962747,2315607.809999999590218,2345101.879999999888241,12536978.390000000596046
20140325,2421306.339999999850988,2390344.500000000465661,3148641.980000000447035,2376318.179999999701977,2335837.400000000372529,12672448.400000000372529
20140326,2411740.070000000298023,2371190.950000000186265,3073113.639999999664724,2412055.490000000223517,2303990.750000000000000,12572090.900000000372529
20140327,2405492.709999999962747,2386950.200000000186265,2983614.740000000223517,2399568.959999999962747,2279092.459999999962747,12454719.070000000298023
20140328,2429896.459999999962747,2409740.500000000000000,2996712.139999999664724,2410333.209999999962747,2333521.280000000260770,12580203.589999999850988
20140331,2450005.150000000372529,2409255.600000000093132,3021160.620000000111759,2444348.240000000223517,2373474.350000000558794,12698243.960000000894070
20140401,2503107.709999999962747,2419923.400000000372529,3090576.839999999850988,2427125.439999999478459,2398372.640000000596046,12839106.030000001192093
20140402,2505060.009999999776483,2488294.300000000279397,3102364.500000000000000,2431000.570000000298023,2394319.430000000633299,12921038.810000002384186
20140403,2514235.820000000298023,2486354.700000000186265,3081408.660000000149012,2420236.320000000298023,2374632.410000000149012,12876867.910000000149012
20140404,2486903.620000000111759,2477141.600000000093132,3027272.740000000223517,2416361.189999999478459,2308622.990000000223517,12716302.140000000596046
20140407,2451957.450000000186265,2451441.900000000372529,2980122.099999999627471,2376318.179999999701977,2304569.780000000260770,12564409.410000000149012
20140408,2423844.330000000074506,2482475.500000000000000,2988853.699999999254942,2369859.629999999888241,2305727.839999999850988,12570761.000000000000000
20140409,2477142.120000000111759,2497022.500000000000000,3044735.939999999478459,2458557.049999999813735,2343364.790000000037253,12820822.399999998509884
20140410,2413887.600000000558794,2479323.650000000372529,2965714.959999999962747,2404735.799999999813735,2279092.459999999962747,12542754.470000002533197
20140411,2383236.490000000223517,2459685.200000000186265,2919000.899999999441206,2407749.790000000037253,2270407.009999999776483,12440079.389999998733401
20140414,2406273.629999999888241,2491931.050000000279397,2953054.139999999664724,2392679.839999999850988,2268669.919999999925494,12512608.580000000074506
20140415,2426187.089999999850988,2485142.450000000186265,2957419.939999999478459,2413347.200000000186265,2301674.629999999888241,12583771.309999998658895
20140416,2460742.799999999813735,2495567.800000000279397,3015485.079999999143183,2422389.169999999925494,2339311.580000000074506,12733496.429999997839332
20140417,2497446.040000000037253,2493143.300000000279397,3029019.059999999590218,2431431.139999999664724,2316729.410000000149012,12767768.949999999254942
20140421,2495493.740000000223517,2488536.750000000000000,3030765.379999999888241,2465015.599999999627471,2312676.200000000186265,12792487.669999998062849
20140422,2490222.530000000260770,2513994.000000000000000,3042989.620000000111759,2487405.240000000223517,2315571.350000000558794,12850182.740000002086163
20140423,2550353.370000000111759,2506478.050000000279397,3069621.000000000000000,2475779.849999999627471,2298200.450000000186265,12900432.719999998807907
20140424,2535320.660000000149012,2552543.550000000279397,3061325.980000000447035,2477071.559999999590218,2308043.959999999962747,12934305.710000000894070
20140425,2511893.059999999590218,2538239.000000000000000,3015485.079999999143183,2464585.030000000260770,2310939.110000000335276,12841141.279999997466803
20140428,2480265.799999999813735,2527813.650000000372529,2940393.319999999366701,2440473.109999999403954,2366525.990000000223517,12755471.869999999180436
