代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12155624.910000000149012
真實報酬,2155624.910000000149012

夏普值報酬,0.206862491000000
夏普值風險,0.067261369928415
夏普值,3.075502197177357

預期報酬,9958.061327131475991
風險,236623.234121788176708
趨勢值,0.042084038636739
找到最佳解世代,2625
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
NKE[19](1),UNH[23](4),V[25](3),
20150417,3416526.600000000093132,3914317.259999999310821,3280956.470000000204891,10611801.330000000074506
20150420,3466442.760000000242144,3910030.769999999552965,3291126.669999999925494,10667601.199999999254942
20150421,3476841.959999999962747,3933111.869999999646097,3323162.799999999813735,10733117.629999998956919
20150422,3471989.000000000000000,3884641.559999999590218,3458426.460000000428408,10815058.019999999552965
20150423,3505266.440000000409782,3899479.409999999683350,3443679.669999999925494,10848426.519999999552965
20150424,3499720.200000000186265,3913657.799999999813735,3431475.430000000167638,10844854.429999999701977
20150427,3499026.920000000391155,3832873.949999999720603,3412152.049999999813735,10744053.919999999925494
20150428,3461589.800000000279397,3877387.500000000000000,3395371.220000000204891,10734349.520000001415610
20150429,3472682.280000000260770,3746154.959999999497086,3424356.290000000502914,10643194.530000001192093
20150430,3426232.520000000484288,3673284.629999999888241,3358758.500000000000000,10458276.650000000372529
20150501,3493480.680000000167638,3732636.029999999795109,3344520.220000000204891,10570637.929999999701977
20150504,3495560.520000000484288,3777479.309999999590218,3334858.530000000260770,10607899.359999999403954
20150505,3481001.640000000130385,3738241.439999999944121,3354181.909999999683350,10573425.990000000223517
20150506,3474068.840000000316650,3742198.199999999720603,3339435.120000000111759,10555703.160000000149012
20150507,3517052.200000000186265,3784073.909999999683350,3385709.530000000260770,10686836.640000000596046
20150508,3551022.920000000391155,3814409.069999999832362,3532668.919999999925494,10898101.910000000149012
20150511,3563501.959999999962747,3784403.639999999664724,3509785.970000000204891,10857692.570000000298023
20150512,3548943.080000000074506,3780117.149999999906868,3493005.140000000130385,10822066.370000001043081
20150513,3541317.000000000000000,3820344.209999999497086,3490971.100000000558794,10852633.309999998658895
20150514,3585686.920000000391155,3908382.119999999646097,3559619.950000000186265,11053689.990000000223517
20150515,3639069.480000000447035,3934760.519999999552965,3537754.020000000018626,11111585.019999999552965
20150518,3631443.400000000372529,3950257.829999999608845,3559619.950000000186265,11141322.179999999701977
20150519,3627283.720000000204891,3974987.579999999608845,3567756.109999999869615,11170028.410000000149012
20150520,3626590.440000000409782,3997738.949999999720603,3548432.730000000447035,11172763.120000001043081
20150521,3618964.360000000335276,3972020.009999999310821,3527583.820000000298023,11118569.189999999478459
20150522,3620350.920000000391155,3943333.500000000000000,3540296.570000000298023,11103981.990000000223517
20150526,3584993.640000000130385,3898819.949999999720603,3485377.490000000689179,10969192.080000000074506
20150527,3564888.520000000484288,3938717.279999999795109,3533685.939999999944121,11037292.740000000223517
20150528,3546169.959999999962747,3944322.689999999944121,3537245.510000000242144,11027739.160000000149012
20150529,3524678.280000000260770,3963776.759999999310821,3492496.630000000353903,10980952.669999999925494
20150601,3527451.400000000372529,3952236.209999999497086,3514362.560000000055879,10994051.169999999925494
20150602,3539930.440000000409782,3882663.179999999701977,3510802.990000000689179,10933397.610000001266599
20150603,3553796.040000000037253,3902446.979999999515712,3506226.400000000372529,10962470.419999999925494
20150604,3534384.200000000186265,3846392.879999999888241,3468596.659999999683350,10849374.740000000223517
20150605,3537157.320000000298023,3842436.119999999646097,3476732.820000000298023,10856327.259999999776483
20150608,3516358.920000000391155,3854965.859999999403954,3441645.630000000353903,10812971.410000000149012
20150609,3513585.800000000279397,3857603.699999999720603,3455375.400000000372529,10826565.900000000372529
20150610,3582220.520000000484288,3909041.579999999608845,3540805.080000000074506,11032068.179999999701977
20150611,3600939.080000000074506,3934430.789999999571592,3541313.590000000316650,11076684.459999999031425
20150612,3597472.680000000167638,3879365.879999999888241,3525549.780000000260770,11002389.339999999850988
20150615,3582913.800000000279397,3923219.969999999739230,3486903.020000000018626,10993037.789999999105930
20150616,3624510.600000000093132,4007960.579999999608845,3509277.460000000428408,11141749.640000000596046
20150617,3631443.400000000372529,3948279.449999999720603,3496056.200000000186265,11075780.050000000745058
20150618,3674426.760000000242144,3986198.399999999906868,3534194.450000000186265,11194820.609999999403954
20150619,3693145.320000000298023,3967733.519999999552965,3493005.140000000130385,11153884.980000000447035
20150622,3702157.959999999962747,3965095.679999999701977,3513345.540000000502914,11180600.179999999701977
20150623,3716023.560000000521541,4047198.449999999720603,3530126.370000000111759,11293349.379999998956919
20150624,3682052.840000000316650,3929484.839999999850988,3501649.810000000055879,11113188.490000000223517
20150625,3647388.840000000316650,4033679.519999999552965,3489445.570000000298023,11170514.929999999701977
20150626,3803376.840000000316650,4064014.679999999701977,3496056.200000000186265,11363448.719999998807907
20150629,3732662.280000000260770,3996090.299999999813735,3392828.669999999925494,11121582.250000000000000
20150630,3744448.040000000037253,4022798.429999999701977,3414694.600000000558794,11181942.070000000298023
20150701,3793670.920000000391155,4068301.169999999459833,3450290.299999999813735,11312263.390000000596046
20150702,3808923.080000000074506,4016533.559999999590218,3470122.189999999944121,11295579.830000000074506
20150706,3807536.520000000484288,4028074.109999999403954,3464020.070000000298023,11299631.699999999254942
20150707,3858145.959999999962747,3979933.529999999795109,3446222.220000000204891,11284302.710000000894070
20150708,3788124.680000000167638,3916625.369999999646097,3393337.180000000167638,11098088.230000000447035
20150709,3793670.920000000391155,3935090.250000000000000,3409609.500000000000000,11138371.669999999925494
20150710,3831108.040000000037253,4027744.379999999888241,3479275.370000000111759,11338128.789999999105930
20150713,3896969.640000000130385,4037636.279999999795109,3535211.470000000204891,11469818.390000000596046
20150714,3894196.520000000484288,4121717.429999999701977,3564705.049999999813735,11580620.000000000000000
20150715,3878944.360000000335276,4150074.209999999497086,3560636.970000000204891,11589656.540000000968575
20150716,3894196.520000000484288,4119409.319999999832362,3588605.020000000018626,11602211.859999999403954
20150717,3910141.959999999962747,4083798.479999999515712,3604368.830000000074506,11598310.269999999552965
20150720,3921927.720000000204891,4044230.879999999888241,3696917.650000000372529,11663077.250000000000000
20150721,3917074.760000000242144,3985209.209999999497086,3662338.970000000204891,11564623.939999999478459
20150722,3955205.160000000149012,3976965.959999999497086,3659796.419999999925494,11591968.539999999105930
20150723,3951738.760000000242144,3934760.519999999552965,3648609.200000000186265,11535109.480000000447035
20150724,3917074.760000000242144,3888928.049999999813735,3803704.750000000000000,11609708.560000000521541
20150727,3873398.120000000111759,3886949.669999999459833,3755904.810000000055879,11516253.599999999627471
20150728,3933713.480000000447035,4006971.389999999664724,3800653.689999999944121,11741339.560000000521541
20150729,3983629.640000000130385,4006971.389999999664724,3865234.460000000428408,11855836.490000000223517
20150730,3987096.040000000037253,3975317.309999999590218,3884049.330000000074506,11846463.679999999701977
20150731,3994028.840000000316650,4003014.629999999888241,3831164.290000000502914,11828208.760000001639128
20150803,3980856.520000000484288,3986198.399999999906868,3853030.220000000204891,11820086.140000000596046
20150804,4013440.680000000167638,3984549.750000000000000,3827604.720000000204891,11825596.150000000372529
20150805,4047411.400000000372529,4086106.589999999850988,3812857.930000000167638,11946376.919999999925494
20150806,3990562.440000000409782,4024117.350000000093132,3741666.530000000260770,11756347.320000000298023
20150807,3969764.040000000037253,4016863.289999999571592,3773702.659999999683350,11760330.990000000223517
20150810,3998881.800000000279397,4038625.469999999739230,3782347.330000000074506,11819855.599999999627471
20150811,3967684.200000000186265,4031371.409999999683350,3730479.310000000055879,11729535.919999999925494
20150812,3919154.600000000093132,3996420.029999999795109,3739632.490000000689179,11655208.120000001043081
20150813,3937873.160000000149012,3973998.389999999664724,3759464.380000000353903,11671336.929999999701977
20150814,3964217.800000000279397,3990484.889999999664724,3774211.169999999925494,11728914.859999999403954
20150817,3985709.480000000447035,4082809.289999999571592,3783872.859999999869615,11852392.629999998956919
20150818,3980163.240000000223517,4138203.929999999701977,3786923.919999999925494,11905292.089999999850988
20150819,3985016.200000000186265,4063025.489999999757856,3783364.350000000558794,11831407.039999999105930
20150820,3892809.959999999962747,3949928.100000000093132,3760481.400000000372529,11603220.460000000894070
20150821,3704931.080000000074506,3834192.869999999646097,3620132.640000000130385,11159257.589999999850988
20150824,3600939.080000000074506,3641300.819999999832362,3476224.310000000055879,10718465.210000000894070
20150825,3589153.320000000298023,3626462.969999999739230,3405541.419999999925494,10621158.710000000894070
20150826,3770099.400000000372529,3741209.009999999310821,3594707.140000000130385,11106016.550000000745058
20150827,3903902.440000000409782,3883322.639999999664724,3681662.350000000558794,11468888.429999999701977
20150828,3899742.760000000242144,3867165.869999999646097,3684713.409999999683350,11451623.039999999105930
20150831,3874091.400000000372529,3815068.529999999795109,3625726.250000000000000,11314887.179999999701977
20150901,3765939.720000000204891,3713841.419999999459833,3506734.909999999683350,10986517.049999998882413
20150902,3837347.560000000521541,3766598.219999999739230,3540296.570000000298023,11144243.350000001490116
20150903,3842893.800000000279397,3758684.699999999720603,3579960.350000000558794,11181539.850000001490116
20150904,3802683.560000000521541,3704938.709999999497086,3516905.109999999869615,11024528.379999998956919
20150908,3874091.400000000372529,3827928.000000000000000,3586570.980000000447035,11288591.380000000819564
20150909,3808229.800000000279397,3794625.269999999552965,3539279.549999999813735,11142135.620000001043081
20150910,3826255.080000000074506,3850349.639999999664724,3571315.680000000167638,11247921.400000000372529
20150911,3876171.240000000223517,3913987.529999999795109,3598266.710000000428408,11388426.480000000447035
20150914,3878944.360000000335276,3884311.829999999608845,3560128.460000000428408,11323385.650000000372529
20150915,3946192.520000000484288,3957841.619999999646097,3585553.960000000428408,11489589.100000001490116
20150916,4006507.880000000353903,3994771.379999999888241,3609962.439999999944121,11611242.699999999254942
20150917,3996108.680000000167638,4064344.409999999683350,3608436.909999999683350,11668891.000000000000000
20150918,3988482.600000000093132,4038295.739999999757856,3548941.240000000689179,11575720.580000000074506
20150921,4040478.600000000093132,4086766.049999999813735,3599283.730000000447035,11726529.380000000819564
20150922,4020373.480000000447035,4053463.319999999832362,3572332.700000000186265,11646170.500000000000000
20150923,4001654.920000000391155,4065003.869999999646097,3607928.400000000372529,11674588.190000001341105
20150924,3979469.959999999962747,3992793.000000000000000,3571824.189999999944121,11544088.150000000372529
20150925,4333042.759999999776483,3837160.439999999944121,3594707.140000000130385,11764911.339999999850988
20150928,4233903.720000000670552,3716149.529999999795109,3417237.150000000372529,11367291.400000000372529
20150929,4148630.280000000260770,3766268.489999999757856,3484868.980000000447035,11399768.750000000000000
20150930,4263021.480000000447035,3825290.159999999683350,3542330.609999999869615,11630643.250000000000000
20151001,4292832.519999999552965,3845073.959999999497086,3559111.439999999944121,11697018.919999998062849
20151002,4340668.839999999850988,3918274.019999999552965,3593690.120000000111759,11852633.980000000447035
20151005,4308084.679999999701977,3945311.879999999888241,3673017.680000000167638,11926415.240000000223517
20151006,4270647.560000000521541,3826609.079999999608845,3665390.030000000260770,11762647.670000001788139
20151007,4232517.160000000149012,3839138.819999999832362,3723360.169999999925494,11795017.150000000372529
20151008,4330269.640000000596046,3827598.269999999552965,3757938.850000000558794,11915807.760000001639128
20151009,4330962.919999999925494,3932782.139999999664724,3762006.930000000167638,12025752.990000000223517
20151012,4382958.919999999925494,4039614.659999999683350,3813366.439999999944121,12235941.019999999552965
20151013,4361467.240000000223517,4088414.699999999720603,3813874.950000000186265,12263757.890000000596046
20151014,4362160.519999999552965,4025106.539999999571592,3773194.150000000372529,12160462.209999999031425
20151015,4464765.960000000894070,3962457.839999999850988,3831164.290000000502914,12258389.090000001713634
20151016,4523001.480000000447035,3956192.969999999739230,3864725.950000000186265,12343921.399999998509884
20151019,4617980.839999999850988,3980922.719999999739230,3915068.439999999944121,12513972.999999998137355
20151020,4588863.080000000074506,3970701.089999999850988,3878964.230000000447035,12438529.400000000372529
20151021,4592329.480000000447035,3894533.459999999497086,3837266.409999999683350,12324130.349999999627471
20151022,4590249.640000000596046,3752749.559999999590218,3886083.370000000111759,12229083.570000000298023
20151023,4525081.320000000298023,3822322.589999999850988,3919136.520000000018626,12266541.429999999701977
20151026,4554199.080000000074506,3842436.119999999646097,3975581.130000000353903,12372217.330000000074506
20151027,4534787.240000000223517,3936079.439999999944121,3942019.470000000204891,12412887.150000000372529
20151028,4551425.960000000894070,3949598.369999999646097,4010668.320000000298023,12511693.650000000372529
20151029,4545186.439999999478459,3947290.259999999310821,3992361.960000000428408,12484839.660000000149012
20151030,4542413.320000000298023,3883652.369999999646097,3945070.530000000260770,12371137.219999998807907
20151102,4547959.560000000521541,3913657.799999999813735,3825062.169999999925494,12286680.529999999329448
20151103,4554892.360000001266599,3879695.609999999403954,3961342.850000000558794,12395931.820000000298023
20151104,4518841.800000000745058,3780117.149999999906868,3984225.799999999813735,12283185.750000000000000
20151105,4570837.800000000745058,3832544.219999999739230,4030500.210000000428408,12433883.230000000447035
20151106,4568064.679999999701977,3785722.559999999590218,4004566.200000000186265,12358354.439999999478459
20151109,4523001.480000000447035,3767587.409999999683350,3968461.990000000689179,12259051.880000000819564
20151110,4506362.759999999776483,3821333.399999999906868,4041687.430000000167638,12369384.589999999850988
20151111,4416929.640000000596046,3776819.850000000093132,4026432.130000000353903,12220182.620000001043081
20151112,4367013.480000000447035,3720106.289999999571592,3982191.760000000242144,12069312.529999999329448
20151113,4224197.800000000745058,3673614.359999999403954,3972021.560000000055879,11869834.720000000670552
20151116,4279660.199999999254942,3753079.289999999571592,4012193.850000000558794,12044934.339999999850988
20151117,4249155.880000000819564,3771873.899999999906868,4008634.280000000260770,12029665.060000002384186
20151118,4360080.679999999701977,3866176.679999999701977,4091521.409999999683350,12317779.769999999552965
20151119,4360080.679999999701977,3647895.419999999459833,4075757.600000000558794,12083734.699999999254942
20151120,4598569.000000000000000,3725052.239999999757856,4077791.640000000130385,12401413.880000000819564
20151123,4591636.200000001117587,3698344.109999999403954,4073723.560000000055879,12363704.870000001043081
20151124,4593716.040000000968575,3732306.299999999813735,4057451.240000000689179,12383474.580000001937151
20151125,4649871.720000000670552,3772533.359999999403954,4045755.510000000242144,12468161.589999999850988
20151127,4656804.519999999552965,3770225.250000000000000,4059993.790000000502914,12487024.560000000521541
20151130,4585396.679999999701977,3716479.259999999310821,4017787.460000000428408,12319664.400000000372529
20151201,4621447.240000000223517,3833533.409999999683350,4063553.359999999869615,12518535.009999999776483
20151202,4598569.000000000000000,3879036.149999999906868,4019312.990000000689179,12496919.140000000596046
20151203,4475858.439999999478459,3791987.429999999701977,3981174.740000000689179,12249021.609999999403954
20151204,4587476.519999999552965,3882333.449999999720603,4088470.350000000558794,12558281.320000000298023
20151207,4561825.160000000149012,3821992.859999999403954,4045247.000000000000000,12429066.019999999552965
20151208,4565291.560000000521541,3821003.669999999459833,4020838.520000000018626,12407134.750000000000000
20151209,4466152.519999999552965,3793636.079999999608845,3960325.830000000074506,12220115.429999999701977
20151210,4459219.720000000670552,3831884.759999999310821,3972530.070000000298023,12263635.550000000745058
20151211,4378105.960000000894070,3824300.969999999739230,3870319.560000000055879,12072727.490000000223517
20151214,4432181.800000000745058,3820014.479999999515712,3908966.320000000298023,12161163.600000001490116
20151215,4458526.439999999478459,3878046.959999999497086,3997955.570000000298023,12334529.969999998807907
20151216,4538946.919999999925494,3918274.019999999552965,4061010.810000000055879,12518232.750000000000000
20151217,4513988.839999999850988,3931133.489999999757856,4001515.140000000130385,12446638.470000000670552
20151218,4455060.040000000968575,3819025.289999999571592,3880998.270000000018626,12155084.599999999627471
20151221,4499429.960000000894070,3871452.359999999403954,3924221.620000000111759,12295104.940000001341105
20151222,4570837.800000000745058,3872441.549999999813735,3934900.330000000074506,12378180.680000001564622
20151223,4461992.839999999850988,3913657.799999999813735,3994904.510000000242144,12370556.150000000372529
20151224,4380185.800000000745058,3902117.250000000000000,3979649.210000000428408,12261953.260000001639128
20151228,4423862.439999999478459,3901787.519999999552965,3993378.980000000447035,12319029.939999999478459
20151229,4455060.040000000968575,3950917.289999999571592,4027957.659999999683350,12433935.990000000223517
20151230,4385038.759999999776483,3921241.589999999850988,3984225.799999999813735,12290507.149999998509884
20151231,4333042.759999999776483,3879036.149999999906868,3943545.000000000000000,12155624.910000000149012
