代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14097037.039999999105930
真實報酬,4097037.039999999105930

夏普值報酬,0.401003704000000
夏普值風險,0.098432202881019
夏普值,4.073907646715148

預期報酬,16592.493686422538303
風險,120088.998551129305270
趨勢值,0.138168307560314
找到最佳解世代,2335
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,8
AAPL[0](9),BA[2](3),DD[7](10),KO[14](11),MCD[15](2),MMM[16](6),UNH[23](4),V[25](1),
20170112,1287016.560000000055879,1270955.689999999944121,1273315.280000000260770,1234624.010000000009313,1253902.219999999972060,1242090.000000000000000,1268119.200000000186265,1303670.350000000093132,10133693.310000000521541
20170113,1284750.240000000223517,1275291.350000000093132,1262577.980000000214204,1232513.580000000074506,1247740.820000000065193,1241740.000000000000000,1263745.600000000093132,1300466.150000000139698,10108825.720000000670552
20170117,1295110.560000000055879,1265977.709999999962747,1252300.850000000093132,1242764.239999999990687,1260577.070000000065193,1240830.000000000000000,1254842.199999999953434,1301908.040000000270084,10114310.670000001788139
20170118,1295002.639999999897555,1271196.560000000055879,1260583.910000000149012,1244874.669999999925494,1260166.310000000055879,1249440.000000000000000,1232037.000000000232831,1307194.970000000204891,10120496.060000000521541
20170119,1292736.320000000065193,1276656.280000000027940,1247085.590000000083819,1240352.320000000065193,1254723.740000000223517,1250770.000000000000000,1239534.600000000093132,1309437.910000000149012,10111296.760000001639128
20170120,1295110.560000000055879,1280911.650000000139698,1253374.580000000074506,1245779.139999999897555,1255545.260000000009313,1249440.000000000000000,1239222.199999999953434,1311200.220000000204891,10130583.609999999403954
20170123,1295973.919999999925494,1267342.640000000130385,1248159.320000000298023,1249095.530000000027940,1246508.540000000037253,1249580.000000000000000,1242424.300000000046566,1316166.730000000214204,10115250.980000000447035
20170124,1294786.800000000046566,1289101.230000000214204,1302766.160000000149012,1263265.559999999823049,1243119.770000000018626,1231800.000000000000000,1253045.900000000139698,1333469.410000000149012,10211354.830000000074506
20170125,1315399.520000000018626,1343778.720000000204891,1315190.750000000000000,1269898.339999999850988,1250718.830000000074506,1237120.000000000000000,1259372.000000000232831,1344203.480000000214204,10335681.640000000596046
20170126,1316047.040000000037253,1357909.760000000009313,1341727.220000000204891,1260552.150000000139698,1251643.040000000037253,1237750.000000000000000,1271165.100000000093132,1333629.619999999878928,10370423.929999999701977
20170127,1316154.960000000195578,1346508.579999999841675,1339272.980000000214204,1249698.510000000009313,1261706.660000000149012,1242370.000000000000000,1273039.500000000232831,1342120.750000000000000,10370871.940000001341105
20170130,1312701.520000000018626,1329406.810000000055879,1313963.630000000121072,1247588.080000000074506,1263349.699999999953434,1227950.000000000000000,1266010.500000000232831,1340999.280000000027940,10301969.519999999552965
20170131,1309679.760000000009313,1312144.459999999962747,1302612.770000000251457,1253316.389999999897555,1258728.649999999906868,1223750.000000000000000,1266088.600000000093132,1325138.489999999990687,10251459.119999999180436
20170201,1389540.560000000055879,1316560.409999999916181,1317184.820000000298023,1243970.199999999953434,1257188.300000000046566,1226200.000000000000000,1270852.700000000186265,1320812.820000000065193,10342309.810000000521541
20170202,1387166.320000000065193,1302830.820000000065193,1307674.640000000130385,1248191.059999999823049,1265403.500000000000000,1219270.000000000000000,1255623.199999999953434,1318569.880000000121072,10304729.419999999925494
20170203,1393101.920000000158325,1303954.880000000121072,1315190.750000000000000,1252411.919999999925494,1275877.880000000121072,1225290.000000000000000,1264292.300000000046566,1379129.260000000009313,10409248.910000000149012
20170206,1406160.239999999990687,1316640.699999999953434,1311049.220000000204891,1253014.900000000139698,1278034.370000000111759,1225710.000000000000000,1253670.699999999953434,1375124.010000000009313,10419404.140000000596046
20170207,1419542.320000000065193,1336873.780000000027940,1306140.740000000223517,1263265.559999999823049,1279472.030000000027940,1230330.000000000000000,1253826.900000000139698,1374322.960000000195578,10463774.290000000968575
20170208,1425046.239999999990687,1315275.770000000018626,1304760.230000000214204,1266883.439999999944121,1280293.550000000046566,1239500.000000000000000,1252108.700000000186265,1363268.470000000204891,10447136.400000000372529
20170209,1429147.199999999953434,1319049.400000000139698,1316417.870000000111759,1243668.709999999962747,1278342.440000000176951,1247270.000000000000000,1253124.000000000000000,1371118.760000000009313,10458138.380000000819564
20170210,1425909.600000000093132,1334705.949999999953434,1336665.350000000093132,1223468.879999999888241,1292102.899999999906868,1253010.000000000000000,1255545.100000000093132,1376245.480000000214204,10497653.259999999776483
20170213,1438536.239999999990687,1349158.150000000139698,1344795.020000000251457,1224674.839999999850988,1289227.580000000074506,1267150.000000000000000,1265229.500000000232831,1384896.820000000065193,10563668.150000000372529
20170214,1457206.400000000139698,1352931.780000000027940,1348169.600000000093132,1221961.429999999934807,1292000.210000000195578,1271210.000000000000000,1274132.900000000139698,1391465.429999999934807,10609077.750000000000000
20170215,1462494.479999999981374,1359354.980000000214204,1334671.280000000260770,1219248.019999999785796,1298880.440000000176951,1271910.000000000000000,1283192.500000000000000,1402519.920000000158325,10632271.619999999180436
20170216,1460767.760000000009313,1371478.770000000018626,1341420.440000000176951,1242161.260000000009313,1301139.620000000111759,1283880.000000000000000,1278194.100000000093132,1400437.189999999944121,10679479.140000000596046
20170217,1464760.800000000046566,1386733.870000000111759,1338199.250000000000000,1243065.729999999981374,1312435.520000000018626,1280660.000000000000000,1231099.800000000046566,1401238.239999999990687,10658193.210000000894070
20170221,1475336.959999999962747,1409616.520000000018626,1337278.910000000149012,1250000.000000000000000,1314900.080000000074506,1283600.000000000000000,1254139.300000000046566,1408607.900000000139698,10733479.670000001788139
20170222,1479761.680000000167638,1408010.720000000204891,1390812.020000000251457,1254220.860000000102445,1312948.969999999972060,1302290.000000000000000,1254139.300000000046566,1406685.380000000121072,10808868.930000001564622
20170223,1473502.320000000065193,1420054.220000000204891,1384216.250000000000000,1256029.799999999813735,1317261.950000000186265,1310340.000000000000000,1269993.600000000093132,1412773.360000000102445,10844171.500000000000000
20170224,1474905.280000000027940,1424711.040000000037253,1388204.390000000130385,1259647.679999999934807,1321164.170000000158325,1311880.000000000000000,1273586.200000000186265,1416778.610000000102445,10870877.370000001043081
20170227,1477819.120000000111759,1440688.750000000000000,1374245.900000000139698,1256331.290000000037253,1304117.630000000121072,1308380.000000000000000,1291705.400000000139698,1409889.580000000074506,10863177.669999999925494
20170228,1478466.640000000130385,1447111.949999999953434,1359980.630000000121072,1265074.500000000000000,1310895.170000000158325,1304460.000000000000000,1291705.400000000139698,1408928.320000000065193,10866622.609999999403954
20170301,1508684.239999999990687,1476658.669999999925494,1386210.320000000298023,1271104.299999999813735,1325271.770000000251457,1329030.000000000000000,1311699.000000000000000,1425750.369999999878928,11034408.669999999925494
20170302,1499726.880000000121072,1469271.989999999990687,1383909.470000000204891,1280450.489999999990687,1316851.189999999944121,1329240.000000000000000,1306778.700000000186265,1418380.710000000195578,11004609.429999999701977
20170303,1508576.320000000065193,1462768.500000000000000,1381915.400000000139698,1280751.979999999981374,1313462.420000000158325,1325180.000000000000000,1313729.600000000093132,1422546.170000000158325,11008930.390000000596046
20170306,1503827.840000000083819,1452732.250000000000000,1387284.050000000046566,1271707.280000000027940,1314797.390000000130385,1322310.000000000000000,1317634.600000000093132,1424949.320000000065193,10995242.730000000447035
20170307,1505770.400000000139698,1461483.860000000102445,1379461.160000000149012,1265978.969999999972060,1315208.149999999906868,1323640.000000000000000,1314510.600000000093132,1426871.840000000083819,10992924.979999998584390
20170308,1500158.560000000055879,1459235.739999999990687,1382375.570000000298023,1265978.969999999972060,1315413.530000000027940,1326580.000000000000000,1311464.699999999953434,1425269.739999999990687,10986476.810000000521541
20170309,1496705.120000000111759,1449841.810000000055879,1388051.000000000000000,1267184.929999999934807,1315926.979999999981374,1329310.000000000000000,1312245.699999999953434,1427672.890000000130385,10986938.429999999701977
20170310,1501669.439999999944121,1434827.579999999841675,1394493.380000000121072,1275023.669999999925494,1314283.940000000176951,1338480.000000000000000,1327631.399999999906868,1437605.910000000149012,11024015.320000000298023
20170313,1502316.959999999962747,1437637.730000000214204,1400475.590000000083819,1267184.929999999934807,1310484.410000000149012,1340650.000000000000000,1329427.700000000186265,1443693.890000000130385,11031871.210000000894070
20170314,1500050.640000000130385,1435068.449999999953434,1391118.800000000046566,1265375.989999999990687,1312435.520000000018626,1332320.000000000000000,1320446.200000000186265,1434722.130000000121072,10991537.730000002309680
20170315,1515914.880000000121072,1434907.870000000111759,1407684.920000000158325,1269898.339999999850988,1313257.040000000037253,1338410.000000000000000,1341689.400000000139698,1440649.900000000139698,11062412.349999999627471
20170316,1518397.040000000037253,1430732.790000000037253,1394953.550000000046566,1273817.709999999962747,1314283.940000000176951,1332180.000000000000000,1337940.600000000093132,1442572.420000000158325,11044878.050000000745058
20170317,1510842.640000000130385,1446068.179999999934807,1398634.910000000149012,1267184.929999999934807,1321061.479999999981374,1346530.000000000000000,1325444.600000000093132,1445776.619999999878928,11061543.359999999403954
20170320,1526706.880000000121072,1440367.589999999850988,1408912.040000000037253,1271707.280000000027940,1322499.140000000130385,1351080.000000000000000,1312167.600000000093132,1428794.360000000102445,11062234.889999998733401
20170321,1509223.840000000083819,1412828.120000000111759,1377927.260000000009313,1281354.959999999962747,1319829.200000000186265,1344920.000000000000000,1309824.600000000093132,1410850.840000000083819,10966758.820000000298023
20170322,1526275.199999999953434,1421017.699999999953434,1371638.270000000251457,1277737.080000000074506,1325785.219999999972060,1345550.000000000000000,1304591.900000000139698,1418220.500000000000000,10990815.869999999180436
20170323,1520879.199999999953434,1423265.820000000065193,1394339.990000000223517,1271405.790000000037253,1324758.320000000065193,1344990.000000000000000,1291002.500000000000000,1423667.640000000130385,10994309.260000001639128
20170324,1517857.439999999944121,1411704.060000000055879,1377927.260000000009313,1269898.339999999850988,1328249.780000000027940,1340580.000000000000000,1288737.600000000093132,1428954.570000000065193,10963909.050000000745058
20170327,1520447.520000000018626,1413952.179999999934807,1398481.520000000251457,1275928.139999999897555,1329790.130000000121072,1333020.000000000000000,1285613.600000000093132,1425109.530000000027940,10982342.619999999180436
20170328,1551960.160000000149012,1424068.720000000204891,1419956.120000000111759,1279244.530000000027940,1329379.369999999878928,1336940.000000000000000,1291471.100000000093132,1427833.100000000093132,11060853.099999999627471
20170329,1555413.600000000093132,1426236.550000000046566,1407224.750000000000000,1278943.040000000037253,1323115.280000000027940,1334770.000000000000000,1276554.000000000000000,1428794.360000000102445,11031051.580000000074506
20170330,1553363.120000000111759,1429046.699999999953434,1402009.490000000223517,1284369.860000000102445,1328044.399999999906868,1338970.000000000000000,1288659.500000000232831,1426070.790000000270084,11050533.860000001266599
20170331,1550449.280000000027940,1420054.220000000204891,1388051.000000000000000,1279546.019999999785796,1331022.410000000149012,1339320.000000000000000,1281005.699999999953434,1423827.850000000093132,11013276.479999998584390
20170403,1550880.959999999962747,1418368.130000000121072,1377467.090000000083819,1278641.549999999813735,1331022.410000000149012,1335050.000000000000000,1293345.500000000232831,1431678.140000000130385,11016453.780000001192093
20170404,1562428.400000000139698,1434827.579999999841675,1380534.890000000130385,1286781.780000000027940,1327736.330000000074506,1331340.000000000000000,1288503.300000000046566,1422385.960000000195578,11034538.240000002086163
20170405,1554334.400000000139698,1421820.600000000093132,1387590.830000000074506,1283465.389999999897555,1339237.610000000102445,1331690.000000000000000,1291627.300000000046566,1426391.210000000195578,11036157.340000001713634
20170406,1550449.280000000027940,1424149.010000000009313,1389584.900000000139698,1286480.290000000037253,1336567.670000000158325,1329240.000000000000000,1291393.000000000232831,1427352.470000000204891,11035216.620000001043081
20170407,1546995.840000000083819,1436031.929999999934807,1380381.500000000000000,1284671.349999999860302,1334616.560000000055879,1329940.000000000000000,1296703.800000000279397,1421745.119999999878928,11031086.099999999627471
20170410,1545161.199999999953434,1425674.520000000018626,1382068.790000000037253,1287083.269999999785796,1334821.939999999944121,1327980.000000000000000,1292486.399999999906868,1423667.640000000130385,11018943.759999999776483
20170411,1528541.520000000018626,1433783.810000000055879,1365042.500000000000000,1286178.799999999813735,1347350.119999999878928,1330500.000000000000000,1295219.900000000139698,1423507.429999999934807,11010124.080000000074506
20170412,1530376.160000000149012,1413550.730000000214204,1352617.910000000149012,1294620.519999999785796,1347966.260000000009313,1327910.000000000000000,1293111.200000000186265,1420783.860000000102445,10980936.640000000596046
20170413,1522282.160000000149012,1410098.260000000009313,1333904.330000000074506,1290098.169999999925494,1342831.760000000009313,1320560.000000000000000,1288425.200000000186265,1423827.850000000093132,10932027.729999998584390
20170417,1530699.920000000158325,1437396.860000000102445,1348476.380000000121072,1298539.889999999897555,1348890.469999999972060,1332530.000000000000000,1305763.400000000139698,1438887.590000000083819,11041184.509999999776483
20170418,1523900.959999999962747,1428002.929999999934807,1342954.340000000083819,1310900.979999999981374,1358646.020000000251457,1331550.000000000000000,1316775.500000000232831,1437605.910000000149012,11050336.640000000596046
20170419,1518289.120000000111759,1432418.880000000121072,1344488.240000000223517,1303363.729999999981374,1362137.479999999981374,1328820.000000000000000,1321930.100000000093132,1437926.330000000074506,11049373.880000000819564
20170420,1537283.040000000037253,1439644.980000000214204,1353078.080000000074506,1299142.870000000111759,1368606.950000000186265,1338130.000000000000000,1339815.000000000000000,1460355.730000000214204,11136056.650000002235174
20170421,1535448.400000000139698,1448316.300000000046566,1357833.170000000158325,1298539.889999999897555,1370044.610000000102445,1340510.000000000000000,1336847.199999999953434,1460355.730000000214204,11147895.300000000745058
20170424,1550233.439999999944121,1461805.020000000018626,1372251.830000000074506,1304871.179999999934807,1378465.189999999944121,1359620.000000000000000,1345984.900000000139698,1471570.429999999934807,11244801.990000000223517
20170425,1559838.320000000065193,1473447.070000000065193,1415814.590000000083819,1299745.849999999860302,1455174.619999999878928,1365920.000000000000000,1359340.000000000000000,1475735.890000000130385,11405016.339999999850988
20170426,1550665.120000000111759,1458994.870000000111759,1405230.680000000167638,1303665.219999999972060,1446343.280000000027940,1365010.000000000000000,1361995.400000000139698,1471089.800000000046566,11362994.370000001043081
20170427,1551852.239999999990687,1471118.659999999916181,1380381.500000000000000,1296730.949999999953434,1446651.350000000093132,1372780.000000000000000,1363947.900000000139698,1467565.179999999934807,11351027.780000001192093
20170428,1550341.360000000102445,1484045.350000000093132,1371791.660000000149012,1300951.809999999823049,1436998.490000000223517,1370820.000000000000000,1365900.400000000139698,1461477.199999999953434,11342326.269999999552965
20170501,1581961.920000000158325,1464454.589999999850988,1365656.060000000055879,1303062.239999999990687,1449526.670000000158325,1363680.000000000000000,1363635.500000000232831,1462118.040000000270084,11354095.020000001415610
20170502,1591998.479999999981374,1472885.040000000037253,1365656.060000000055879,1308187.570000000065193,1450348.189999999944121,1375720.000000000000000,1360121.000000000000000,1482624.920000000158325,11407541.259999999776483
20170503,1587142.080000000074506,1472483.589999999850988,1348016.209999999962747,1306077.139999999897555,1464622.100000000093132,1383420.000000000000000,1347625.000000000000000,1481022.820000000065193,11390408.939999999478459
20170504,1581422.320000000065193,1469914.310000000055879,1341727.220000000204891,1316327.799999999813735,1473145.369999999878928,1396580.000000000000000,1359183.800000000279397,1483906.600000000093132,11422207.419999999925494
20170505,1607646.880000000121072,1485490.570000000065193,1378234.040000000037253,1317232.269999999785796,1478382.560000000055879,1395810.000000000000000,1359964.800000000046566,1475415.470000000204891,11498176.590000001713634
20170508,1651354.479999999981374,1493599.860000000102445,1362434.870000000111759,1323262.070000000065193,1481257.880000000121072,1390560.000000000000000,1362464.000000000000000,1472691.900000000139698,11537625.060000000521541
20170509,1661930.640000000130385,1500745.669999999925494,1350623.840000000083819,1311805.449999999953434,1482490.160000000149012,1385730.000000000000000,1353092.000000000232831,1473973.580000000074506,11520391.340000001713634
20170510,1654052.479999999981374,1470797.500000000000000,1348016.209999999962747,1313614.389999999897555,1484133.200000000186265,1376490.000000000000000,1354263.500000000000000,1477978.830000000074506,11479346.109999999403954
20170511,1661498.959999999962747,1476899.540000000037253,1351237.400000000139698,1316629.290000000037253,1480949.810000000055879,1377260.000000000000000,1353716.800000000046566,1475575.679999999934807,11493767.480000000447035
20170512,1684701.760000000009313,1471359.530000000027940,1355225.540000000037253,1314217.370000000111759,1492759.160000000149012,1376000.000000000000000,1341923.700000000186265,1485668.910000000149012,11521855.969999998807907
20170515,1680384.959999999962747,1464454.589999999850988,1363048.430000000167638,1318438.229999999981374,1502206.640000000130385,1383420.000000000000000,1339736.900000000139698,1493679.410000000149012,11545369.160000002011657
20170516,1677902.800000000046566,1466943.579999999841675,1360900.970000000204891,1322056.110000000102445,1512578.330000000074506,1385380.000000000000000,1313104.800000000046566,1492397.730000000214204,11531264.320000000298023
20170517,1621568.560000000055879,1435469.900000000139698,1315037.360000000102445,1324468.030000000027940,1503541.610000000102445,1363890.000000000000000,1318884.200000000186265,1470128.540000000270084,11352988.200000001117587
20170518,1646282.239999999990687,1424389.880000000121072,1323320.420000000158325,1320548.659999999916181,1509703.010000000009313,1366690.000000000000000,1339112.100000000093132,1469327.489999999990687,11399373.800000000745058
20170519,1651894.080000000074506,1451367.320000000065193,1338812.810000000055879,1323563.559999999823049,1521409.670000000158325,1370610.000000000000000,1348015.500000000232831,1481663.660000000149012,11487336.600000001490116
20170522,1661930.640000000130385,1474731.709999999962747,1332063.650000000139698,1332005.280000000027940,1521820.429999999934807,1389580.000000000000000,1364494.600000000093132,1494961.090000000083819,11571587.400000000372529
20170523,1659880.160000000149012,1473286.489999999990687,1327768.730000000214204,1338336.570000000065193,1518020.899999999906868,1384120.000000000000000,1368555.800000000046566,1503772.640000000130385,11573741.290000002831221
20170524,1654915.840000000083819,1487417.530000000027940,1342340.780000000260770,1357631.929999999934807,1535272.820000000065193,1382440.000000000000000,1371445.500000000232831,1518992.590000000083819,11650456.990000000223517
20170525,1660635.600000000093132,1502030.310000000055879,1324854.320000000298023,1369088.549999999813735,1538148.140000000130385,1396790.000000000000000,1390658.100000000093132,1522677.420000000158325,11704882.439999999478459
20170526,1657829.680000000167638,1498176.390000000130385,1333904.330000000074506,1368485.570000000065193,1538969.660000000149012,1404700.000000000000000,1386362.600000000093132,1516749.650000000139698,11705177.880000000819564
20170530,1658477.199999999953434,1500504.800000000046566,1330069.580000000074506,1369691.530000000027940,1539688.490000000223517,1417090.000000000000000,1379255.500000000232831,1517550.699999999953434,11712327.800000000745058
20170531,1648656.479999999981374,1506526.550000000046566,1353538.250000000000000,1370897.489999999990687,1549546.729999999981374,1431300.000000000000000,1368243.400000000139698,1525721.410000000149012,11754430.310000000521541
20170601,1653189.120000000111759,1504037.560000000055879,1371024.709999999962747,1380545.169999999925494,1564950.229999999981374,1430460.000000000000000,1402607.400000000139698,1528444.980000000214204,11835259.170000001788139
20170602,1677686.959999999962747,1527401.949999999953434,1377313.700000000186265,1383560.070000000065193,1578813.380000000121072,1446910.000000000000000,1401123.500000000000000,1540460.730000000214204,11933270.290000000968575
20170605,1661283.120000000111759,1517124.829999999841675,1380841.670000000158325,1386574.969999999972060,1569057.830000000074506,1443550.000000000000000,1400967.300000000046566,1546869.130000000121072,11906268.850000001490116
20170606,1666894.959999999962747,1499461.030000000027940,1392192.530000000260770,1386273.479999999981374,1553038.189999999944121,1437880.000000000000000,1412291.800000000046566,1534693.170000000158325,11882725.160000000149012
20170607,1676823.600000000093132,1510300.179999999934807,1397561.180000000167638,1372103.449999999953434,1560329.179999999934807,1435080.000000000000000,1430957.700000000186265,1539499.470000000204891,11922654.759999999776483
20170608,1672722.640000000130385,1524993.250000000000000,1397407.790000000037253,1360646.830000000074506,1555091.990000000223517,1441590.000000000000000,1419086.500000000000000,1539499.470000000204891,11911038.470000000670552
20170609,1607862.719999999972060,1525796.150000000139698,1414280.690000000176951,1366375.139999999897555,1555605.439999999944121,1448520.000000000000000,1417290.200000000186265,1514987.340000000083819,11850717.679999999701977
20170612,1569443.199999999953434,1525555.280000000027940,1398328.130000000121072,1366676.629999999888241,1524695.750000000000000,1451740.000000000000000,1400030.100000000093132,1498005.080000000074506,11734474.169999999925494
20170613,1582069.840000000083819,1534306.890000000130385,1425631.550000000046566,1357631.929999999934807,1538558.899999999906868,1463780.000000000000000,1414088.100000000093132,1523318.260000000009313,11839385.469999998807907
20170614,1566637.280000000027940,1544664.300000000046566,1409678.990000000223517,1365772.159999999916181,1547390.240000000223517,1470080.000000000000000,1424319.200000000186265,1527163.300000000046566,11855705.470000002533197
20170615,1557248.239999999990687,1569313.329999999841675,1400168.810000000055879,1364264.709999999962747,1552422.050000000046566,1479040.000000000000000,1408855.400000000139698,1508739.150000000139698,11840051.690000001341105
20170616,1535448.400000000139698,1577262.040000000037253,1406611.190000000176951,1366073.650000000139698,1560842.630000000121072,1492690.000000000000000,1418617.900000000139698,1508739.150000000139698,11866284.960000000894070
20170619,1579371.840000000083819,1598458.600000000093132,1424711.209999999962747,1368184.080000000074506,1572651.979999999981374,1493530.000000000000000,1429473.800000000279397,1518672.170000000158325,11985053.680000001564622
20170620,1565018.479999999981374,1592436.850000000093132,1422103.580000000074506,1375118.349999999860302,1582202.149999999906868,1493530.000000000000000,1431426.300000000279397,1512103.560000000055879,11973939.270000001415610
20170621,1574299.600000000093132,1599181.209999999962747,1391118.800000000046566,1363360.239999999990687,1578710.689999999944121,1490030.000000000000000,1444312.800000000046566,1514666.920000000158325,11955680.260000001639128
20170622,1571709.520000000018626,1601349.040000000037253,1394339.990000000223517,1358837.889999999897555,1589698.520000000251457,1485550.000000000000000,1456652.600000000093132,1505214.530000000027940,11963352.089999999850988
20170623,1578724.320000000065193,1623749.949999999953434,1386517.100000000093132,1364264.709999999962747,1588055.479999999981374,1490310.000000000000000,1446890.100000000093132,1531328.760000000009313,12009840.419999999925494
20170626,1573760.000000000000000,1605684.699999999953434,1388664.560000000055879,1369691.530000000027940,1581072.560000000055879,1488280.000000000000000,1445874.800000000046566,1525561.199999999953434,11978589.349999999627471
20170627,1551204.719999999972060,1596933.089999999850988,1378234.040000000037253,1358234.909999999916181,1578608.000000000000000,1468470.000000000000000,1441813.600000000093132,1520434.480000000214204,11893932.839999999850988
20170628,1573867.920000000158325,1602794.260000000009313,1381608.620000000111759,1366375.139999999897555,1584564.020000000251457,1474350.000000000000000,1450404.600000000093132,1541742.410000000149012,11975706.970000000670552
20170629,1550665.120000000111759,1585451.620000000111759,1369797.590000000083819,1351602.129999999888241,1572549.290000000037253,1454960.000000000000000,1447046.300000000279397,1512744.400000000139698,11844816.450000001117587
20170630,1554334.400000000139698,1587780.030000000027940,1377773.870000000111759,1352205.110000000102445,1572857.360000000102445,1457340.000000000000000,1448217.800000000046566,1502490.960000000195578,11852999.530000003054738
20170703,1548722.560000000055879,1594524.390000000130385,1396794.230000000214204,1349491.699999999953434,1566079.820000000065193,1468820.000000000000000,1457824.100000000093132,1495601.929999999934807,11877858.730000000447035
20170705,1555089.840000000083819,1620377.770000000018626,1385443.370000000111759,1351300.639999999897555,1571933.149999999906868,1468330.000000000000000,1470320.100000000093132,1506175.790000000270084,11928970.660000000149012
20170706,1540412.719999999972060,1617728.199999999953434,1388511.170000000158325,1338638.059999999823049,1572138.530000000027940,1456150.000000000000000,1460089.000000000000000,1493999.830000000074506,11867667.509999999776483
20170707,1556061.120000000111759,1624874.010000000009313,1395720.500000000000000,1338336.570000000065193,1604793.950000000186265,1467140.000000000000000,1468055.200000000186265,1504733.900000000139698,11959715.250000001862645
20170710,1565558.080000000074506,1637640.120000000111759,1409372.209999999962747,1338035.080000000074506,1597092.200000000186265,1473440.000000000000000,1460167.100000000093132,1523478.470000000204891,12004783.260000001639128
20170711,1570630.320000000065193,1656187.110000000102445,1410139.160000000149012,1336527.629999999888241,1590828.110000000102445,1467630.000000000000000,1452357.100000000093132,1528605.189999999944121,12012904.619999999180436
20170712,1572896.640000000130385,1657552.040000000037253,1447873.100000000093132,1341954.449999999953434,1607977.340000000083819,1479110.000000000000000,1458136.500000000000000,1540941.360000000102445,12106441.429999999701977
20170713,1594804.400000000139698,1655865.949999999953434,1433147.660000000149012,1339542.530000000027940,1592163.080000000074506,1477640.000000000000000,1448686.399999999906868,1537096.320000000065193,12078946.340000001713634
20170714,1608510.239999999990687,1674172.070000000065193,1446952.760000000009313,1347079.780000000027940,1594627.640000000130385,1482400.000000000000000,1459776.600000000093132,1552957.110000000102445,12166476.199999999254942
20170717,1614122.080000000074506,1678106.280000000027940,1444345.130000000121072,1348587.229999999981374,1594422.260000000009313,1481770.000000000000000,1455481.100000000093132,1551355.010000000009313,12168189.089999999850988
20170718,1619733.920000000158325,1672004.239999999990687,1436215.459999999962747,1346778.290000000037253,1581072.560000000055879,1479180.000000000000000,1459386.100000000093132,1563370.760000000009313,12157741.330000000074506
20170719,1629878.400000000139698,1693200.800000000046566,1458610.400000000139698,1351602.129999999888241,1580353.729999999981374,1484710.000000000000000,1477661.500000000000000,1574104.830000000074506,12250121.790000000968575
20170720,1622539.840000000083819,1688383.400000000139698,1450327.340000000083819,1351300.639999999897555,1583639.810000000055879,1487160.000000000000000,1495702.600000000093132,1571861.890000000130385,12250915.519999999552965
20170721,1621784.400000000139698,1703317.339999999850988,1444805.300000000046566,1357631.929999999934807,1580661.800000000046566,1478130.000000000000000,1497889.400000000139698,1595733.179999999934807,12279953.349999999627471
20170724,1641425.840000000083819,1703638.500000000000000,1446492.590000000083819,1351903.620000000111759,1559404.969999999972060,1470010.000000000000000,1490938.500000000000000,1608069.350000000093132,12271883.369999999180436
