代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12594799.089999999850988
真實報酬,2594799.089999999850988

夏普值報酬,0.250779909000000
夏普值風險,0.065647165569362
夏普值,3.820117850100156

二次趨勢線,-0.842522210076531 x^2 + 20388.420328792311921 x + 10000000.000000000000000
二次加權預期報酬,20244.068190132533346
風險,104751.097172936802963
二次加權趨勢值,0.193258769945970
一次趨勢線,20307.223480157339509 x + 10000000.000000000000000
一次預期報酬,20307.223480157339509
一次風險,104762.687908472726122
一次趨勢值,0.193840229623537
找到最佳解世代,2139
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](9),BA[2](2),DD[7](13),MSFT[18](8),NKE[19](3),UNH[23](28),
FS( 33 ),2027875.029999999795109,1658433.070000000298023,1905425.559999999823049,1542008.149999999906868,1697678.599999999860302,1813189.380000000121072,10644613.790000000968575
FS( 34 ),2045835.699999999953434,1670378.890000000130385,1891741.000000000000000,1542493.199999999953434,1701956.199999999720603,1813951.200000000186265,10666360.190000001341105
FS( 35 ),2067787.629999999888241,1690557.640000000130385,1878416.559999999823049,1522606.149999999906868,1729760.599999999860302,1821061.519999999785796,10710194.099999999627471
FS( 36 ),2040704.079999999841675,1689104.770000000018626,1894982.079999999841675,1533762.300000000046566,1728156.499999999767169,1840107.019999999785796,10726820.749999998137355
FS( 37 ),2046120.789999999804422,1677481.810000000055879,1904705.319999999832362,1533277.250000000000000,1714788.999999999767169,1824616.679999999934807,10700994.849999999627471
FS( 38 ),2048401.509999999776483,1697337.700000000186265,1907226.159999999916181,1571111.149999999906868,1734038.199999999953434,1827663.959999999962747,10785782.679999999701977
FS( 39 ),2040418.989999999757856,1702826.320000000298023,1986812.679999999934807,1685582.949999999953434,1716393.099999999860302,1842138.540000000270084,10974176.580000001937151
FS( 40 ),2048401.509999999776483,1703633.470000000204891,1982131.119999999878928,1656479.949999999953434,1708907.299999999813735,1838075.500000000000000,10937632.849999999627471
FS( 41 ),1989958.059999999823049,1666181.709999999962747,1926312.520000000018626,1613310.499999999767169,1679498.799999999813735,1816236.659999999916181,10691502.250000000000000
FS( 42 ),1999366.029999999795109,1667150.290000000037253,1920550.599999999860302,1601669.300000000046566,1694470.399999999906868,1816744.540000000270084,10699955.160000000149012
FS( 43 ),2002502.019999999785796,1693947.670000000391155,1924151.799999999813735,1627376.949999999720603,1697143.899999999674037,1839599.139999999897555,10784725.480000000447035
FS( 44 ),1984256.259999999776483,1677643.240000000223517,1918029.759999999776483,1620101.199999999953434,1679498.799999999813735,1821823.339999999850988,10701356.599999999627471
FS( 45 ),1989958.059999999823049,1695239.110000000335276,1920190.479999999981374,1546373.599999999860302,1719066.599999999860302,1842646.420000000158325,10713478.269999999552965
FS( 46 ),2031011.019999999785796,1717193.590000000316650,1937476.239999999757856,1513390.199999999953434,1741523.999999999767169,1862707.679999999934807,10803306.729999998584390
FS( 47 ),2017041.609999999869615,1721713.630000000353903,1969887.040000000037253,1515330.399999999906868,1747940.399999999674037,1880229.540000000270084,10852146.620000001043081
FS( 48 ),2029015.389999999897555,1712350.689999999944121,1977449.559999999823049,1510964.949999999953434,1737246.399999999906868,1880737.420000000158325,10847768.410000000149012
FS( 49 ),2061515.649999999906868,1730430.850000000093132,1990413.880000000121072,1535702.500000000000000,1748475.100000000093132,1885562.280000000027940,10952104.259999999776483
FS( 50 ),2014475.799999999813735,1746250.990000000223517,2050553.919999999925494,1571111.149999999906868,1786438.799999999580905,1895212.000000000000000,11064046.659999998286366
FS( 51 ),1905001.239999999757856,1763362.570000000298023,2043711.639999999897555,1588087.900000000139698,1807292.099999999627471,1909178.700000000186265,11016638.149999998509884
FS( 52 ),1925242.629999999888241,1772564.080000000074506,1992934.719999999972060,1585662.649999999906868,1820124.899999999906868,1898005.339999999850988,10994538.320000000298023
FS( 53 ),1893312.549999999813735,1797262.870000000111759,2044792.000000000000000,1602154.350000000093132,1815847.299999999813735,1891402.900000000139698,11044775.970000000670552
FS( 54 ),1833158.559999999823049,1867323.490000000223517,2041190.799999999813735,1590998.199999999720603,1823333.099999999860302,1907655.060000000055879,11063663.209999999031425
FS( 55 ),1854540.309999999823049,1890569.410000000149012,2036509.239999999757856,1597303.849999999860302,1826541.299999999580905,1887085.920000000158325,11092554.029999997466803
FS( 56 ),1892457.279999999795109,1911393.880000000353903,2095568.919999999925494,1616220.800000000046566,1857553.899999999906868,1854835.540000000270084,11228034.320000000298023
FS( 57 ),1923532.089999999850988,1921725.400000000372529,2082604.599999999860302,1631742.399999999906868,1858088.599999999860302,1798968.740000000223517,11216665.830000000074506
FS( 58 ),1903575.789999999804422,1882820.770000000018626,2036149.119999999878928,1590513.149999999906868,1854880.399999999674037,1792112.359999999869615,11060055.589999999850988
FS( 59 ),1998225.669999999925494,1897026.610000000335276,2012381.199999999953434,1588087.900000000139698,1844186.399999999906868,1823854.859999999869615,11163766.640000000596046
FS( 60 ),1991953.689999999944121,1921079.680000000167638,2005899.040000000037253,1574506.500000000000000,1856484.499999999767169,1836551.859999999869615,11186479.269999999552965
FS( 61 ),1961163.969999999972060,1913169.610000000335276,2044071.759999999776483,1576931.749999999767169,1842582.299999999813735,1827917.900000000139698,11165841.290000000968575
FS( 62 ),1980264.999999999767169,1927214.020000000018626,2050914.040000000037253,1589543.050000000046566,1880546.000000000000000,1832488.819999999832362,11260974.929999999701977
FS( 63 ),1966010.499999999767169,1916882.500000000000000,2001217.479999999981374,1613795.550000000046566,1968771.499999999767169,1828171.839999999850988,11294853.369999999180436
FS( 64 ),1941777.849999999860302,1896865.180000000167638,1969526.919999999925494,1614280.600000000093132,1942036.499999999767169,1818522.120000000111759,11183013.170000001788139
FS( 65 ),1987392.249999999767169,1900900.930000000167638,1964845.359999999869615,1628832.099999999860302,1936154.799999999813735,1843154.300000000046566,11261283.739999998360872
FS( 66 ),1993949.319999999832362,1902353.800000000279397,1984651.959999999962747,1645323.800000000046566,1922252.600000000093132,1842900.359999999869615,11291435.839999999850988
FS( 67 ),1968861.399999999906868,1860382.000000000000000,1988253.159999999916181,1642413.500000000000000,1915301.499999999767169,1841630.659999999916181,11216846.219999998807907
FS( 68 ),1967150.859999999869615,1892022.280000000260770,2050914.040000000037253,1643383.600000000093132,1928668.999999999767169,1853565.839999999850988,11335709.619999999180436
FS( 69 ),1986536.979999999981374,1883789.350000000093132,2018143.119999999878928,1615250.699999999720603,1907281.000000000000000,1832742.760000000009313,11243747.910000000149012
FS( 70 ),1958883.249999999767169,1863610.600000000093132,1975648.959999999962747,1601184.249999999767169,1878941.899999999906868,1815220.900000000139698,11093493.859999999403954
FS( 71 ),1981690.449999999953434,1847951.890000000130385,1996175.799999999813735,1604094.550000000046566,1895517.600000000093132,1812681.500000000000000,11138115.789999999105930
FS( 72 ),1994234.409999999916181,1919465.380000000353903,2071801.000000000000000,1637562.999999999767169,1963424.499999999767169,1878705.900000000139698,11465198.189999999478459
FS( 73 ),2007063.459999999962747,1904613.820000000298023,2106372.519999999552965,1655509.850000000093132,1963959.199999999720603,1886070.159999999916181,11523593.009999999776483
FS( 74 ),2020177.599999999860302,1928505.459999999962747,2093408.199999999953434,1671031.450000000186265,1980000.199999999953434,1897497.459999999962747,11590624.370000001043081
FS( 75 ),2031011.019999999785796,1907842.420000000391155,2073601.599999999860302,1672971.650000000139698,1970375.599999999860302,1875912.560000000055879,11531718.850000001490116
FS( 76 ),2040989.169999999925494,1942711.300000000279397,2109253.479999999515712,1680247.399999999906868,1992298.299999999813735,1909432.639999999897555,11674936.289999999105930
FS( 77 ),2054673.489999999757856,1974190.150000000372529,2122577.919999999925494,1693828.800000000046566,1992833.000000000000000,1812427.560000000055879,11650534.919999999925494
FS( 78 ),2072634.159999999916181,1977903.040000000037253,2118616.599999999627471,1695769.000000000000000,2030261.999999999767169,1746149.220000000204891,11641338.019999999552965
FS( 79 ),2123380.180000000167638,1960952.890000000130385,2121137.439999999478459,1697224.150000000139698,2034539.599999999627471,1731928.580000000074506,11669166.839999999850988
FS( 80 ),2117393.289999999571592,1977257.320000000298023,2130860.679999999701977,1677337.099999999860302,2030796.699999999720603,1748688.620000000111759,11682337.709999997168779
FS( 81 ),2137919.769999999552965,2082832.540000000270084,2104571.919999999925494,1637562.999999999767169,2020102.699999999953434,1727103.720000000204891,11710097.650000000372529
FS( 82 ),2166428.769999999552965,2082186.820000000065193,2083324.839999999850988,1635622.799999999813735,2019033.299999999813735,1716946.120000000111759,11703546.649999998509884
FS( 83 ),2142196.120000000111759,2117862.850000000093132,2026786.000000000000000,1733117.849999999860302,2023845.599999999860302,1717200.060000000055879,11761012.480000000447035
FS( 84 ),2158161.160000000149012,2096715.520000000018626,2005899.040000000037253,1725357.050000000046566,2019033.299999999813735,1699932.139999999897555,11705102.210000000894070
FS( 85 ),2104279.149999999906868,2093164.060000000055879,2023544.919999999925494,1722931.800000000046566,2029727.299999999813735,1728881.300000000046566,11702532.530000001192093
FS( 86 ),2137919.769999999552965,2093486.920000000391155,2013461.559999999823049,1723901.899999999906868,2035608.999999999767169,1727103.720000000204891,11731486.869999999180436
FS( 87 ),2128796.890000000130385,2106724.180000000167638,2024265.159999999916181,1717596.249999999767169,2025449.699999999953434,1733452.220000000204891,11736288.400000000372529
FS( 88 ),2117963.470000000204891,2147565.970000000204891,1997616.279999999795109,1723416.850000000093132,2033470.199999999953434,1742848.000000000000000,11762884.769999999552965
FS( 89 ),2145332.109999999869615,2143691.649999999906868,1969526.919999999925494,1743303.899999999906868,2042025.399999999674037,1750974.080000000074506,11794858.060000000521541
FS( 90 ),2139915.399999999906868,2156283.189999999944121,1985732.319999999832362,1777257.399999999906868,2063948.099999999860302,1745133.459999999962747,11868273.870000001043081
FS( 91 ),2121669.640000000130385,2148534.550000000279397,2013461.559999999823049,1851955.099999999860302,2052184.699999999953434,1785002.040000000270084,11972811.589999999850988
FS( 92 ),2087173.749999999767169,2123028.609999999869615,1983211.479999999981374,1818971.699999999953434,2023845.599999999860302,1771543.220000000204891,11807778.360000001266599
FS( 93 ),2120244.189999999944121,2154991.750000000465661,2034348.520000000018626,1832553.100000000093132,2061809.300000000046566,1790334.780000000027940,11994285.640000000596046
FS( 94 ),2113972.209999999962747,2139494.470000000204891,2033988.399999999674037,1823337.150000000139698,2062878.699999999720603,1790334.780000000027940,11964009.709999999031425
FS( 95 ),2117963.470000000204891,2136265.870000000577420,2017422.880000000121072,1812181.000000000000000,2055392.899999999674037,1776368.080000000074506,11915598.200000001117587
FS( 96 ),2120529.279999999795109,2149825.989999999757856,2030747.319999999832362,1850984.999999999767169,2081058.500000000000000,1803285.720000000204891,12036435.810000000521541
FS( 97 ),2151033.910000000149012,2180820.550000000279397,2056675.959999999962747,1844194.300000000046566,2102446.500000000000000,1814205.139999999897555,12149380.360000001266599
FS( 98 ),2138204.859999999869615,2196802.120000000577420,2063158.119999999878928,1835463.400000000139698,2117952.799999999813735,1825124.560000000055879,12176709.860000001266599
FS( 99 ),2112261.669999999925494,2233608.160000000614673,2044792.000000000000000,1804420.200000000186265,2100842.399999999441206,1820299.700000000186265,12116228.129999998956919
FS( 100 ),2115967.839999999850988,2211330.819999999832362,2036149.119999999878928,1782107.900000000139698,2080523.799999999580905,1818522.120000000111759,12044605.600000001490116
FS( 101 ),2097436.989999999757856,2138203.029999999795109,2013461.559999999823049,1798599.599999999860302,2081058.500000000000000,1827917.900000000139698,11956681.580000000074506
FS( 102 ),2122524.910000000149012,2145951.670000000391155,2032547.919999999925494,1814121.199999999953434,2088009.599999999627471,1851534.319999999832362,12054693.620000001043081
FS( 103 ),2117108.200000000186265,2195026.390000000130385,2033988.399999999674037,1822367.050000000046566,2108862.899999999441206,1872611.339999999850988,12149968.279999997466803
FS( 104 ),2133073.239999999757856,2147081.680000000167638,2000497.239999999757856,1825762.399999999906868,2115814.000000000000000,1880991.359999999869615,12103223.919999999925494
FS( 105 ),2172415.660000000149012,2175816.220000000204891,1989333.520000000018626,1811695.949999999953434,2128112.099999999627471,1892418.659999999916181,12169796.109999999403954
FS( 106 ),2223446.769999999552965,2174847.640000000130385,2005178.799999999813735,1823822.199999999953434,2121161.000000000000000,1888355.620000000111759,12236816.030000001192093
FS( 107 ),2264784.819999999832362,2167260.430000000167638,2003378.199999999953434,1849529.850000000093132,2115814.000000000000000,1891402.900000000139698,12292174.200000001117587
FS( 108 ),2245113.609999999869615,2165807.560000000055879,2050553.919999999925494,1865051.450000000186265,2114744.599999999627471,1883276.819999999832362,12324551.960000000894070
FS( 109 ),2306407.959999999962747,2130938.680000000167638,1985732.319999999832362,1858260.750000000000000,2115814.000000000000000,1872357.400000000139698,12269515.110000001266599
FS( 110 ),2300991.249999999534339,2122867.180000000167638,1994375.199999999953434,1888818.899999999906868,2107258.799999999813735,1870325.880000000121072,12284641.209999999031425
FS( 111 ),2312965.029999999795109,2142723.069999999832362,1979970.399999999674037,1843224.199999999953434,2111001.699999999254942,1847471.280000000027940,12237359.679999997839332
FS( 112 ),2280749.859999999869615,2182273.420000000391155,2013821.679999999934807,1860686.000000000000000,2135063.200000000186265,1866516.780000000027940,12339114.939999999478459
FS( 113 ),2306978.140000000130385,2174201.920000000391155,2092327.839999999850988,1877662.750000000000000,2132924.399999999441206,1872103.459999999962747,12456202.510000001639128
FS( 114 ),2303271.970000000204891,2158381.779999999795109,2142744.639999999664724,1848559.750000000000000,2117952.799999999813735,1880483.479999999981374,12451398.420000001788139
FS( 115 ),2286166.569999999832362,2139978.760000000242144,2105292.160000000149012,1824307.250000000000000,2054323.500000000000000,1831980.939999999944121,12242053.179999999701977
FS( 116 ),2283030.579999999608845,2146435.960000000428408,2090527.239999999757856,1805390.299999999813735,2038282.499999999767169,1803285.720000000204891,12166956.299999998882413
FS( 117 ),2257942.660000000149012,2160480.370000000577420,2129420.200000000186265,1779682.649999999906868,2042560.100000000093132,1789826.900000000139698,12159916.880000000819564
FS( 118 ),2270486.620000000111759,2174847.640000000130385,2133381.519999999552965,1788898.600000000093132,2043629.499999999767169,1804555.420000000158325,12215803.299999998882413
FS( 119 ),2260223.379999999888241,2193573.520000000018626,2164351.839999999850988,1771436.800000000046566,2052184.699999999953434,1796175.400000000139698,12237949.640000000596046
FS( 120 ),2243117.979999999981374,2187277.750000000465661,2231334.160000000149012,1774347.099999999860302,2100307.700000000186265,1838075.500000000000000,12374464.190000001341105
FS( 121 ),2217459.879999999888241,2182111.989999999757856,2251500.879999999888241,1758340.449999999953434,2092287.199999999953434,1838329.439999999944121,12340033.839999997988343
FS( 122 ),2235990.729999999981374,2206326.489999999757856,2245378.839999999850988,1785018.199999999720603,2067691.000000000000000,1862707.679999999934807,12403116.939999999478459
FS( 123 ),2321802.819999999832362,2201967.880000000353903,2250420.519999999552965,1776287.299999999813735,2061809.300000000046566,1888101.679999999934807,12500393.500000000000000
FS( 124 ),2312109.759999999776483,2208909.370000000577420,2278149.759999999776483,1798599.599999999860302,2076246.199999999720603,1882515.000000000000000,12556533.689999999478459
FS( 125 ),2296714.899999999906868,2232155.290000000502914,2300477.200000000186265,1816061.399999999906868,2090683.099999999860302,1900798.679999999934807,12636894.570000000298023
FS( 126 ),2281034.950000000186265,2210039.380000000353903,2287152.759999999776483,1808785.649999999906868,2089613.699999999720603,1896735.639999999897555,12573366.080000000074506
FS( 127 ),2258512.839999999850988,2194219.239999999757856,2287152.759999999776483,1808785.649999999906868,2105120.000000000000000,1899021.100000000093132,12552815.589999999850988
FS( 128 ),2285026.209999999962747,2203420.750000000465661,2277069.399999999441206,1814606.249999999767169,2102446.500000000000000,1912225.979999999981374,12594799.089999999850988
