代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12203352.850000001490116
真實報酬,2203352.850000001490116

夏普值報酬,0.211635285000000
夏普值風險,0.062983574585317
夏普值,3.360166303570471

預期報酬,19772.494249654107989
風險,128053.960895261610858
趨勢值,0.154407517826227
找到最佳解世代,1973
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](1),BA[2](7),CSCO[4](23),JNJ[12](2),MRK[17](10),PG[21](21),UNH[23](20),VZ[26](13),
20130128,1284576.140000000130385,1227441.679999999934807,1339694.330000000074506,1312765.120000000111759,1310758.680000000167638,1358262.560000000055879,1286180.649999999906868,1235556.000000000000000,10355235.160000002011657
20130129,1292839.620000000111759,1221636.229999999981374,1321882.690000000176951,1326851.610000000102445,1333047.040000000037253,1380909.320000000065193,1297011.800000000046566,1256644.239999999990687,10430822.550000000745058
20130130,1290230.100000000093132,1237228.010000000009313,1309160.089999999850988,1321145.690000000176951,1328161.920000000158325,1382382.280000000027940,1292402.799999999813735,1259821.919999999925494,10420532.810000000521541
20130131,1278922.180000000167638,1225285.370000000111759,1308523.959999999962747,1318114.420000000158325,1320528.920000000158325,1383855.239999999990687,1272353.649999999906868,1259821.919999999925494,10367405.660000000149012
20130201,1302842.780000000027940,1241872.370000000111759,1325063.339999999850988,1322750.480000000214204,1277173.480000000214204,1397848.360000000102445,1285258.850000000093132,1287265.520000000018626,10440075.180000001564622
20130204,1291969.780000000027940,1247511.949999999720603,1324427.209999999962747,1321502.310000000055879,1247252.120000000111759,1385512.320000000065193,1284797.949999999953434,1286110.000000000000000,10389083.640000000596046
20130205,1319152.280000000027940,1258791.109999999869615,1340966.589999999850988,1331309.360000000102445,1264960.680000000167638,1393797.720000000204891,1331348.850000000093132,1287265.520000000018626,10527592.109999999403954
20130206,1316977.680000000167638,1265425.910000000149012,1347964.020000000018626,1344325.990000000223517,1254579.800000000279397,1402083.120000000111759,1322361.300000000046566,1292754.239999999990687,10546472.060000000521541
20130207,1351336.360000000102445,1284335.090000000083819,1342238.850000000093132,1338441.760000000242144,1251831.920000000158325,1402083.120000000111759,1314756.449999999953434,1284376.719999999972060,10569400.270000001415610
20130208,1343942.720000000204891,1269904.399999999906868,1346055.630000000121072,1345930.780000000260770,1257327.680000000167638,1394718.320000000065193,1330657.500000000000000,1281199.040000000037253,10569736.070000000298023
20130211,1347857.000000000000000,1258459.370000000111759,1353053.060000000055879,1344682.610000000102445,1263434.080000000307336,1395823.040000000037253,1316369.599999999860302,1280332.399999999906868,10560011.160000000149012
20130212,1352641.120000000111759,1260449.809999999823049,1333969.159999999916181,1351636.700000000186265,1265571.320000000298023,1398953.080000000074506,1313834.649999999906868,1283798.959999999962747,10560854.800000000745058
20130213,1350466.520000000251457,1240379.540000000037253,1344783.370000000111759,1349140.360000000102445,1256411.720000000204891,1409632.040000000037253,1318904.549999999813735,1286110.000000000000000,10555828.100000001490116
20130214,1355685.560000000288710,1242867.590000000083819,1335241.419999999925494,1351815.010000000242144,1257633.000000000000000,1413682.680000000167638,1314756.449999999953434,1280621.280000000027940,10552302.989999998360872
20130215,1341550.660000000149012,1244526.290000000037253,1335241.419999999925494,1358055.860000000102445,1264655.360000000102445,1409263.800000000279397,1320978.599999999860302,1282643.439999999944121,10556915.429999999701977
20130219,1354380.800000000279397,1238223.229999999981374,1365139.530000000027940,1372320.659999999916181,1289080.960000000195578,1424729.879999999888241,1305768.899999999906868,1285532.239999999990687,10635176.200000001117587
20130220,1346334.780000000027940,1240379.540000000037253,1342874.979999999981374,1366793.050000000279397,1302515.040000000037253,1419206.280000000027940,1272353.649999999906868,1297665.199999999953434,10588122.519999999552965
20130221,1338288.760000000242144,1260781.550000000046566,1320610.430000000167638,1370715.870000000111759,1297629.920000000158325,1418469.800000000279397,1273045.000000000000000,1303442.799999999813735,10582984.130000002682209
20130222,1360687.140000000130385,1271563.099999999860302,1329516.250000000000000,1359660.650000000139698,1311979.960000000195578,1417549.199999999953434,1255300.349999999860302,1311531.439999999944121,10617788.089999999850988
20130225,1348726.840000000316650,1244526.290000000037253,1314249.130000000121072,1347535.570000000065193,1298240.560000000288710,1397848.360000000102445,1228337.699999999953434,1320775.599999999860302,10500240.050000000745058
20130226,1346552.240000000223517,1254810.229999999981374,1311068.479999999981374,1350745.150000000139698,1295187.360000000102445,1400794.280000000027940,1222576.449999999953434,1332330.799999999813735,10514064.990000002086163
20130227,1359164.920000000158325,1283174.000000000000000,1328880.120000000111759,1360908.820000000065193,1311979.960000000195578,1413130.320000000065193,1241473.349999999860302,1338975.040000000037253,10637686.530000001192093
20130228,1351553.820000000065193,1275543.979999999981374,1326971.729999999981374,1357164.310000000055879,1304652.280000000027940,1402635.480000000214204,1231794.449999999953434,1344174.880000000121072,10594490.930000001564622
20130301,1356337.940000000176951,1281847.040000000037253,1325063.339999999850988,1367684.600000000093132,1301599.080000000307336,1408343.199999999953434,1233407.600000000093132,1349663.599999999860302,10623946.400000000372529
20130304,1367645.860000000102445,1278695.510000000009313,1319338.169999999925494,1376600.100000000093132,1323276.800000000279397,1411841.480000000214204,1228798.599999999860302,1360929.919999999925494,10667126.440000001341105
20130305,1394393.440000000176951,1304737.099999999860302,1349872.409999999916181,1384802.360000000102445,1320528.920000000158325,1418653.919999999925494,1232946.699999999953434,1377684.959999999962747,10783619.809999998658895
20130306,1405918.820000000298023,1311703.639999999897555,1381678.909999999916181,1379987.990000000223517,1333657.680000000167638,1421415.720000000204891,1235481.649999999906868,1365840.880000000121072,10835685.290000002831221
20130307,1403961.680000000167638,1344380.029999999795109,1386767.950000000186265,1386407.150000000139698,1321139.560000000288710,1415892.120000000111759,1239860.199999999953434,1371618.479999999981374,10870027.170000001788139
20130308,1407006.120000000111759,1347365.689999999944121,1388676.339999999850988,1394252.790000000037253,1311979.960000000195578,1421047.480000000214204,1240090.649999999906868,1385484.719999999972060,10895903.750000000000000
20130311,1424402.920000000158325,1375729.459999999962747,1391856.989999999990687,1398710.540000000037253,1333047.040000000037253,1424177.520000000018626,1249308.649999999906868,1381151.520000000018626,10978384.640000000596046
20130312,1419836.260000000242144,1395965.599999999860302,1380406.649999999906868,1400850.260000000242144,1375181.200000000186265,1420863.360000000102445,1263596.549999999813735,1397039.919999999925494,11053739.799999998882413
20130313,1420053.720000000204891,1405751.929999999934807,1372773.089999999850988,1400671.950000000186265,1361441.800000000279397,1414050.919999999925494,1255530.799999999813735,1384906.959999999962747,11015181.170000001788139
20130314,1421793.400000000139698,1403595.620000000111759,1373409.219999999972060,1410479.000000000000000,1351671.560000000288710,1424914.000000000000000,1261292.049999999813735,1400506.479999999981374,11047661.330000001937151
20130315,1437233.060000000288710,1433618.090000000083819,1395037.640000000130385,1412083.790000000037253,1346175.800000000279397,1405581.400000000139698,1261292.049999999813735,1387218.000000000000000,11078239.830000001937151
20130318,1430491.800000000279397,1412884.340000000083819,1378498.260000000242144,1405308.010000000242144,1332131.080000000307336,1402267.239999999990687,1267514.199999999953434,1408306.239999999990687,11037401.169999999925494
20130319,1416356.900000000139698,1418358.050000000046566,1368956.310000000055879,1406199.560000000055879,1334268.320000000298023,1419758.640000000130385,1271431.850000000093132,1414083.840000000083819,11049413.470000000670552
20130320,1435275.920000000158325,1416035.870000000111759,1378498.260000000242144,1416719.850000000093132,1347091.760000000009313,1428412.280000000027940,1264748.800000000046566,1403973.040000000037253,11090755.780000001192093
20130321,1422445.780000000027940,1398785.389999999897555,1325699.469999999972060,1408874.210000000195578,1337016.200000000186265,1421599.839999999850988,1268896.899999999906868,1409750.639999999897555,10993068.429999999701977
20130322,1440060.040000000037253,1406913.019999999785796,1319974.300000000046566,1421890.840000000083819,1340374.720000000204891,1422704.560000000055879,1255069.899999999906868,1416106.000000000000000,11023093.380000000819564
20130325,1437450.520000000018626,1407410.629999999888241,1326335.600000000093132,1420820.980000000214204,1333963.000000000000000,1411841.480000000214204,1264287.899999999906868,1420150.319999999832362,11022260.430000001564622
20130326,1460718.740000000223517,1436769.620000000111759,1326335.600000000093132,1441683.250000000000000,1355335.400000000139698,1425098.120000000111759,1282493.449999999953434,1429394.479999999981374,11157828.660000000149012
20130327,1460283.820000000298023,1429803.080000000074506,1325063.339999999850988,1449172.270000000018626,1346481.120000000111759,1418838.040000000037253,1304847.099999999860302,1413794.959999999962747,11148283.730000000447035
20130328,1467025.080000000074506,1423997.629999999888241,1329516.250000000000000,1453808.330000000074506,1349534.320000000298023,1418838.040000000037253,1318443.649999999906868,1419861.439999999944121,11181024.740000000223517
20130401,1462675.880000000353903,1414045.429999999934807,1325063.339999999850988,1460940.730000000214204,1354114.120000000111759,1430621.720000000204891,1359002.849999999860302,1421883.599999999860302,11228347.669999999925494
20130402,1470939.360000000102445,1394804.510000000009313,1349872.409999999916181,1474492.290000000037253,1371212.040000000037253,1453820.839999999850988,1422837.500000000000000,1429972.239999999990687,11367951.189999999478459
20130403,1440712.420000000158325,1399283.000000000000000,1348600.149999999906868,1463437.070000000065193,1384951.440000000176951,1438354.760000000242144,1421224.350000000093132,1415239.360000000102445,11311802.549999998882413
20130404,1451150.500000000232831,1409069.330000000074506,1338422.070000000065193,1469499.610000000102445,1383730.160000000149012,1446087.800000000279397,1429520.550000000046566,1424194.639999999897555,11351674.660000002011657
20130405,1420053.720000000204891,1429305.469999999972060,1311068.479999999981374,1462902.140000000363216,1377929.080000000307336,1440380.080000000074506,1431133.699999999953434,1431705.520000000018626,11304478.189999999478459
20130408,1426577.520000000018626,1438925.929999999934807,1308523.959999999962747,1446319.310000000055879,1388615.280000000027940,1450690.800000000279397,1426294.250000000000000,1427950.080000000074506,11313897.130000000819564
20130409,1418314.040000000037253,1446555.949999999720603,1333969.159999999916181,1453630.020000000018626,1389531.239999999990687,1440932.440000000176951,1432977.300000000046566,1425927.919999999925494,11341838.070000000298023
20130410,1422228.320000000298023,1456674.019999999785796,1365775.659999999916181,1462545.520000000018626,1430138.800000000279397,1458976.199999999953434,1438277.649999999906868,1440371.919999999925494,11474988.089999999850988
20130411,1429621.959999999962747,1468450.790000000037253,1379770.520000000018626,1467894.820000000065193,1441435.640000000130385,1466893.360000000102445,1451413.299999999813735,1459149.119999999878928,11564629.509999999776483
20130412,1428317.200000000419095,1474422.109999999869615,1370228.570000000065193,1475383.840000000083819,1438382.440000000176951,1474442.280000000027940,1452565.550000000046566,1469259.919999999925494,11583001.910000002011657
20130415,1393958.520000000018626,1439257.669999999925494,1339058.200000000186265,1457017.909999999916181,1418536.640000000130385,1466525.120000000111759,1419380.750000000000000,1462904.560000000055879,11396639.369999999180436
20130416,1404614.060000000288710,1441248.109999999869615,1346055.630000000121072,1487865.540000000037253,1433802.640000000130385,1474810.520000000018626,1447495.649999999906868,1457704.719999999972060,11493596.870000001043081
20130417,1394610.900000000139698,1437930.709999999962747,1312340.739999999990687,1496067.800000000279397,1427696.239999999990687,1455662.040000000037253,1429520.550000000046566,1431127.760000000009313,11384956.740000000223517
20130418,1414399.760000000242144,1428476.120000000111759,1309160.089999999850988,1483229.480000000214204,1421589.840000000316650,1470575.760000000242144,1375595.250000000000000,1470704.319999999832362,11373730.620000001043081
20130419,1462240.959999999962747,1458996.199999999720603,1301526.530000000027940,1506588.090000000083819,1449984.600000000325963,1499298.480000000214204,1383661.000000000000000,1509414.239999999990687,11571710.099999999627471
20130422,1449628.280000000027940,1442077.459999999962747,1309796.219999999972060,1512650.630000000121072,1463113.360000000102445,1498746.120000000111759,1364764.099999999860302,1507680.959999999962747,11548457.129999998956919
20130423,1466807.620000000111759,1462645.340000000083819,1330152.380000000121072,1523705.850000000093132,1484791.080000000307336,1519735.800000000279397,1349093.500000000000000,1511436.399999999906868,11648367.970000000670552
20130424,1466155.240000000223517,1506600.889999999897555,1297073.620000000111759,1504804.990000000223517,1464029.320000000298023,1419942.760000000242144,1354854.750000000000000,1496414.639999999897555,11509876.210000000894070
20130425,1481594.900000000139698,1520533.969999999972060,1312976.870000000111759,1519604.720000000204891,1445710.120000000111759,1410000.280000000027940,1367529.500000000000000,1537435.599999999860302,11595385.960000000894070
20130426,1473331.420000000158325,1540106.629999999888241,1314885.260000000242144,1517821.620000000111759,1461586.760000000009313,1419574.520000000018626,1370755.799999999813735,1549279.680000000167638,11647341.690000001341105
20130429,1470721.900000000139698,1524348.979999999981374,1334605.290000000037253,1526023.880000000121072,1460060.160000000149012,1430253.480000000214204,1382969.649999999906868,1544368.719999999972060,11673352.060000000521541
20130430,1487683.780000000027940,1516221.349999999860302,1330788.510000000242144,1519783.030000000260770,1435023.920000000158325,1413498.560000000055879,1381126.050000000046566,1557368.319999999832362,11641493.520000001415610
20130501,1484856.800000000279397,1512406.340000000083819,1296437.489999999990687,1501952.030000000260770,1395027.000000000000000,1417549.199999999953434,1376286.599999999860302,1513747.439999999944121,11498262.900000000372529
20130502,1508777.400000000139698,1529490.949999999720603,1318702.040000000037253,1518534.860000000102445,1396248.280000000027940,1431726.440000000176951,1370755.799999999813735,1517502.880000000121072,11591738.650000000372529
20130503,1527261.500000000232831,1554869.059999999823049,1325063.339999999850988,1529055.150000000139698,1394416.360000000102445,1439643.600000000093132,1357850.600000000093132,1521836.080000000074506,11649995.690000001341105
20130506,1523564.680000000167638,1562333.209999999962747,1323791.080000000074506,1509975.980000000214204,1373349.280000000027940,1431542.320000000065193,1387348.199999999953434,1503636.639999999897555,11615541.390000000596046
20130507,1527478.959999999962747,1572285.410000000149012,1296437.489999999990687,1525132.330000000074506,1382203.560000000288710,1435040.600000000093132,1394261.699999999953434,1528769.199999999953434,11661609.250000000000000
20130508,1529001.180000000167638,1559845.160000000149012,1318065.909999999916181,1523884.159999999916181,1373654.600000000325963,1444246.600000000093132,1440582.149999999906868,1534257.919999999925494,11723537.680000001564622
20130509,1526826.580000000074506,1569299.750000000000000,1325063.339999999850988,1518356.550000000279397,1388920.600000000325963,1440011.839999999850988,1429059.649999999906868,1522702.719999999972060,11720241.030000001192093
20130510,1523999.600000000093132,1563162.559999999823049,1342238.850000000093132,1529233.460000000195578,1402965.320000000298023,1450138.440000000176951,1449800.149999999906868,1527902.560000000055879,11789440.940000001341105
20130513,1517693.260000000242144,1571787.800000000046566,1353053.060000000055879,1530838.250000000000000,1409682.360000000102445,1447008.400000000139698,1437816.750000000000000,1518080.639999999897555,11785960.520000001415610
20130514,1555096.380000000353903,1594180.250000000000000,1353053.060000000055879,1550808.970000000204891,1424337.720000000204891,1463210.959999999962747,1422607.049999999813735,1535991.199999999953434,11899285.589999999850988
20130515,1582713.800000000279397,1609274.419999999925494,1349236.280000000027940,1562755.740000000223517,1426780.280000000027940,1485489.480000000214204,1419841.649999999906868,1548413.040000000037253,11984504.690000001341105
20130516,1570753.500000000232831,1601976.139999999897555,1519719.120000000111759,1559367.850000000093132,1415788.760000000009313,1476651.720000000204891,1432055.500000000000000,1536857.840000000083819,12113170.429999999701977
20130517,1594456.639999999897555,1640789.719999999972060,1541983.669999999925494,1570779.690000000176951,1404186.600000000325963,1473337.560000000055879,1448187.000000000000000,1541191.040000000037253,12214911.920000001788139
20130520,1617942.320000000298023,1637472.319999999832362,1523535.899999999906868,1569353.210000000195578,1380371.640000000130385,1456214.400000000139698,1441734.399999999906868,1523569.360000000102445,12150193.550000000745058
20130521,1633381.980000000214204,1637969.929999999934807,1527352.680000000167638,1579695.190000000176951,1445099.480000000214204,1450874.919999999925494,1448878.349999999860302,1504214.399999999906868,12227466.929999999701977
20130522,1618812.160000000149012,1624368.590000000083819,1484731.969999999972060,1577377.159999999916181,1426169.640000000130385,1451243.159999999916181,1435281.800000000046566,1486881.599999999860302,12104866.080000000074506
20130523,1624248.660000000149012,1654556.929999999934807,1495546.180000000167638,1555088.409999999916181,1445099.480000000214204,1449033.720000000204891,1437125.399999999906868,1499014.560000000055879,12159713.340000001713634
20130524,1636861.340000000083819,1658703.679999999934807,1496818.440000000176951,1548134.320000000065193,1439909.040000000037253,1507583.879999999888241,1430211.899999999906868,1484570.560000000055879,12202793.160000000149012
20130528,1656215.280000000027940,1660528.250000000000000,1519719.120000000111759,1562220.810000000055879,1453953.760000000009313,1488803.640000000130385,1459709.500000000000000,1468104.399999999906868,12269254.760000001639128
20130529,1649039.100000000093132,1643609.510000000009313,1534350.110000000102445,1527272.050000000279397,1431054.760000000009313,1452716.120000000111759,1459939.949999999953434,1431994.399999999906868,12129976.000000001862645
20130530,1655780.360000000102445,1667660.660000000149012,1550253.360000000102445,1533334.590000000083819,1437161.160000000149012,1456214.400000000139698,1490128.899999999906868,1417839.280000000027940,12208372.710000000894070
20130531,1646429.580000000074506,1642448.419999999925494,1534350.110000000102445,1501060.480000000214204,1425864.320000000298023,1413314.440000000176951,1443347.550000000046566,1400506.479999999981374,12007321.380000002682209
20130603,1662956.540000000037253,1670978.059999999823049,1550889.489999999990687,1510510.909999999916181,1479295.320000000298023,1429885.239999999990687,1447265.199999999953434,1405706.319999999832362,12157487.080000000074506
20130604,1654040.680000000167638,1652234.750000000000000,1549617.229999999981374,1499634.000000000000000,1509522.000000000000000,1424545.760000000242144,1437125.399999999906868,1410906.160000000149012,12137625.980000000447035
20130605,1625770.880000000353903,1633657.309999999823049,1547072.709999999962747,1492144.980000000214204,1487844.280000000027940,1411473.239999999990687,1423067.949999999953434,1395306.639999999897555,12016337.990000000223517
20130606,1657954.959999999962747,1654722.800000000046566,1561703.700000000186265,1506053.159999999916181,1483875.120000000111759,1414419.159999999916181,1426985.600000000093132,1443549.599999999860302,12149264.099999999627471
20130607,1697097.760000000242144,1700005.309999999823049,1557886.919999999925494,1514077.110000000102445,1471357.000000000000000,1431542.320000000065193,1441964.849999999860302,1451349.360000000102445,12265280.629999998956919
20130610,1702316.800000000279397,1695858.559999999823049,1549617.229999999981374,1518178.240000000223517,1479600.640000000130385,1437434.159999999916181,1467544.800000000046566,1459726.880000000121072,12310277.310000002384186
20130611,1664043.840000000083819,1687730.929999999934807,1531169.459999999962747,1510154.290000000037253,1452121.840000000316650,1438354.760000000242144,1473306.050000000046566,1449616.080000000074506,12206497.250000001862645
20130612,1624901.040000000037253,1673300.239999999757856,1526080.419999999925494,1493214.840000000083819,1442656.920000000158325,1428780.520000000018626,1471001.549999999813735,1441527.439999999944121,12101462.969999996945262
20130613,1635556.580000000074506,1694531.599999999860302,1548981.100000000093132,1514077.110000000102445,1462502.720000000204891,1444062.480000000214204,1478375.950000000186265,1462904.560000000055879,12240992.099999999627471
20130614,1586845.540000000037253,1689057.889999999897555,1532441.719999999972060,1514077.110000000102445,1464029.320000000298023,1436697.680000000167638,1470310.199999999953434,1475326.399999999906868,12168785.859999999403954
20130617,1605764.560000000288710,1708962.290000000037253,1571245.649999999906868,1526915.430000000167638,1459449.520000000018626,1453820.839999999850988,1483445.850000000093132,1464926.719999999972060,12274530.859999999403954
20130618,1630555.000000000232831,1726378.639999999897555,1578879.209999999962747,1539932.060000000055879,1457922.920000000158325,1455293.800000000279397,1513634.800000000046566,1489192.639999999897555,12391789.070000002160668
20130619,1614245.500000000232831,1696024.429999999934807,1569973.390000000130385,1513185.560000000055879,1452732.480000000214204,1428964.640000000130385,1503955.900000000139698,1445860.639999999897555,12224942.540000002831221
20130620,1585758.240000000223517,1652732.359999999869615,1554706.270000000018626,1473244.120000000111759,1413956.840000000316650,1385512.320000000065193,1470310.199999999953434,1414372.719999999972060,11950593.070000000298023
20130621,1594239.180000000167638,1658371.939999999944121,1557250.790000000037253,1483586.100000000093132,1435023.920000000158325,1425650.480000000214204,1472614.699999999953434,1430550.000000000000000,12057287.109999999403954
20130624,1565969.380000000353903,1623041.629999999888241,1530533.330000000074506,1508727.810000000055879,1417010.040000000037253,1410000.280000000027940,1489898.450000000186265,1418994.799999999813735,11964175.720000002533197
20130625,1592499.500000000232831,1636642.969999999972060,1527352.680000000167638,1521922.750000000000000,1411514.280000000027940,1412025.600000000093132,1468697.049999999813735,1457126.959999999962747,12027781.790000002831221
20130626,1607069.320000000298023,1671143.929999999934807,1551525.620000000111759,1551165.590000000083819,1425559.000000000000000,1425098.120000000111759,1492894.300000000046566,1463482.319999999832362,12187938.200000001117587
20130627,1633599.440000000176951,1710952.729999999981374,1566792.739999999990687,1546172.909999999916181,1443572.880000000121072,1430069.360000000102445,1523083.250000000000000,1473304.239999999990687,12327547.550000000745058
20130628,1625770.880000000353903,1699175.959999999962747,1548344.969999999972060,1531016.560000000055879,1418231.320000000298023,1417549.199999999953434,1509025.800000000046566,1454238.160000000149012,12203352.850000001490116
