代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11476530.089999999850988
真實報酬,1476530.089999999850988

夏普值報酬,0.138953009000000
夏普值風險,0.038772591324488
夏普值,3.583794744001007

預期報酬,10477.299324962104947
風險,134018.485829453449696
趨勢值,0.078178015966358
找到最佳解世代,1771
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
AAPL[0](6),BA[2](4),GS[8](12),INTC[11](5),PG[21](8),WBA[27](10),
20160826,1784831.199999999953434,1746988.879999999655411,1734486.500000000000000,1860291.529999999795109,1801161.099999999860302,1709516.669999999925494,10637279.879999998956919
20160829,1782828.399999999906868,1755840.250000000000000,1743891.500000000000000,1875591.639999999897555,1815967.899999999906868,1730188.349999999627471,10704312.039999999105930
20160830,1769142.600000000093132,1728229.259999999776483,1770016.500000000000000,1883505.489999999990687,1800338.500000000000000,1733848.959999999729916,10685085.309999998658895
20160831,1770811.600000000093132,1710262.299999999813735,1770957.000000000000000,1893529.699999999953434,1795608.550000000046566,1737940.229999999748543,10679113.380000000819564
20160901,1781326.300000000046566,1716207.250000000000000,1761029.500000000000000,1900388.370000000111759,1816173.550000000046566,1755812.619999999878928,10730941.589999999850988
20160902,1798016.300000000046566,1732853.109999999869615,1768031.000000000000000,1903553.909999999916181,1813911.399999999906868,1770455.059999999823049,10786824.780000001192093
20160906,1797515.600000000093132,1757029.239999999990687,1769598.500000000232831,1929405.820000000065193,1822960.000000000000000,1757965.919999999925494,10834479.080000000074506
20160907,1808531.000000000000000,1752405.389999999664724,1773151.499999999767169,1923602.330000000074506,1808770.149999999906868,1784666.839999999618158,10851131.209999999031425
20160908,1761131.400000000139698,1755840.250000000000000,1793947.000000000000000,1922547.149999999906868,1805274.099999999860302,1823210.909999999916181,10861954.810000000521541
20160909,1721242.300000000046566,1698108.179999999934807,1761656.500000000000000,1869788.149999999906868,1773603.999999999767169,1785528.159999999916181,10609931.290000000968575
20160912,1759796.199999999953434,1719113.669999999925494,1787677.000000000000000,1903553.909999999916181,1814939.649999999906868,1799524.609999999636784,10784609.039999999105930
20160913,1801688.100000000093132,1701146.709999999729916,1745250.000000000000000,1878757.179999999934807,1790261.649999999906868,1771101.049999999813735,10688208.689999997615814
20160914,1865443.900000000139698,1686746.719999999972060,1736472.000000000000000,1879284.769999999785796,1789439.050000000046566,1743754.139999999897555,10701144.580000000074506
20160915,1928865.899999999906868,1688067.819999999832362,1756536.000000000232831,1928878.229999999981374,1811032.300000000046566,1752798.000000000000000,10866182.250000000000000
20160916,1918017.400000000139698,1673932.049999999813735,1734800.000000000000000,1987440.719999999972060,1810826.649999999906868,1754735.969999999739230,10879756.789999999105930
20160919,1895652.800000000046566,1684236.629999999888241,1736994.500000000000000,1960533.629999999655411,1817407.449999999953434,1740093.529999999795109,10834922.539999999105930
20160920,1895485.899999999906868,1688332.040000000037253,1739711.500000000000000,1959478.449999999953434,1821726.099999999860302,1736432.919999999925494,10841170.910000000149012
20160921,1895152.100000000093132,1724926.509999999776483,1745563.500000000000000,1975833.739999999990687,1805685.399999999906868,1735140.939999999711290,10882306.189999999478459
20160922,1913010.400000000139698,1742232.919999999925494,1755909.000000000000000,1981109.639999999897555,1830157.749999999767169,1773900.339999999618158,10996324.049999998882413
20160923,1881132.500000000000000,1741043.929999999934807,1725708.500000000000000,1962116.399999999906868,1804862.800000000046566,1766794.449999999720603,10881662.580000000074506
20160926,1883969.800000000046566,1725058.619999999878928,1687566.000000000000000,1933626.539999999804422,1806713.649999999674037,1737294.239999999990687,10774232.849999999627471
20160927,1887474.700000000186265,1734966.869999999878928,1702300.499999999767169,1961588.809999999823049,1817201.799999999813735,1743538.809999999823049,10847075.490000000223517
20160928,1901828.100000000093132,1746988.879999999655411,1708152.499999999767169,1975306.149999999906868,1839823.299999999813735,1736863.579999999841675,10908966.509999999776483
20160929,1872286.800000000279397,1731135.679999999934807,1661127.499999999767169,1968975.070000000065193,1814528.350000000093132,1705640.729999999748543,10753698.130000000819564
20160930,1886807.100000000093132,1740515.489999999990687,1685371.500000000000000,1991661.439999999944121,1845787.149999999906868,1736002.260000000009313,10886148.939999999478459
20161003,1877961.400000000139698,1748970.529999999795109,1683281.500000000000000,1986913.129999999655411,1823371.299999999813735,1730834.339999999618158,10851336.199999999254942
20161004,1885972.600000000093132,1747253.099999999860302,1695821.500000000000000,1980582.049999999813735,1816996.149999999674037,1727819.719999999739230,10854449.120000001043081
20161005,1886807.100000000093132,1779091.609999999869615,1738980.000000000000000,2004323.600000000093132,1827278.649999999674037,1733633.629999999888241,10970118.589999999850988
20161006,1900826.700000000186265,1775920.969999999739230,1746817.500000000000000,2008544.320000000065193,1834887.699999999953434,1729111.699999999720603,10996112.889999998733401
20161007,1903664.000000000232831,1768390.699999999720603,1774823.500000000232831,2010127.090000000083819,1850928.399999999906868,1720067.839999999618158,11028005.529999999329448
20161010,1936877.100000000093132,1794680.589999999850988,1787468.000000000000000,2005906.370000000111759,1831597.300000000046566,1715115.250000000000000,11071648.609999999403954
20161011,1941049.600000000093132,1766937.489999999990687,1766568.000000000000000,1966337.120000000111759,1820903.500000000000000,1681308.439999999711290,10943108.150000000372529
20161012,1958407.200000000186265,1759275.109999999869615,1769285.000000000232831,1958950.860000000102445,1821520.449999999720603,1686045.699999999720603,10953488.320000000298023
20161013,1952398.800000000046566,1762181.529999999795109,1749638.999999999767169,1950509.419999999925494,1814733.999999999767169,1683892.399999999906868,10913359.150000000372529
20161014,1963247.300000000046566,1763766.849999999860302,1782034.000000000000000,1975833.739999999990687,1818641.350000000093132,1686261.029999999795109,10989788.269999999552965
20161017,1961912.100000000093132,1770372.349999999860302,1766150.000000000000000,1967392.299999999813735,1806302.349999999860302,1679801.129999999888241,10951934.230000000447035
20161018,1960576.900000000139698,1784904.449999999720603,1804083.500000000000000,1991661.439999999944121,1798487.649999999906868,1681308.439999999711290,11021026.379999998956919
20161019,1954735.400000000139698,1799172.329999999841675,1823729.500000000000000,1873481.279999999795109,1759208.500000000000000,1661928.739999999990687,10872259.750000000000000
20161020,1953734.000000000232831,1794680.589999999850988,1823729.500000000000000,1869260.559999999823049,1746663.850000000093132,1744615.459999999729916,10932687.959999999031425
20161021,1946056.600000000093132,1791906.279999999795109,1825401.499999999767169,1854488.039999999804422,1734324.849999999860302,1756458.609999999636784,10908639.879999998956919
20161024,1963581.100000000093132,1815950.299999999813735,1830104.000000000000000,1860291.529999999795109,1729594.899999999674037,1789619.429999999701977,10989145.259999999776483
20161025,1973595.100000000093132,1836691.570000000065193,1834597.500000000232831,1851850.090000000083819,1788616.449999999953434,1775407.649999999906868,11060762.359999999403954
20161026,1929199.700000000186265,1922827.289999999804422,1850481.500000000000000,1842353.469999999972060,1797459.400000000139698,1772177.699999999720603,11114503.059999998658895
20161027,1910673.800000000046566,1893366.759999999776483,1857587.500000000000000,1836549.979999999981374,1780596.099999999860302,1769163.079999999841675,11047941.219999998807907
20161028,1897989.400000000139698,1889403.459999999729916,1851212.999999999767169,1832856.850000000093132,1785943.000000000000000,1746338.099999999627471,11003747.809999998658895
20161031,1894985.200000000186265,1881741.079999999841675,1862708.000000000000000,1839715.519999999785796,1785120.399999999906868,1781436.889999999897555,11045711.089999999850988
20161101,1860770.699999999953434,1881476.859999999869615,1860827.000000000000000,1821249.870000000111759,1786148.649999999674037,1775622.979999999748543,10986100.060000000521541
20161102,1862439.700000000186265,1859546.599999999860302,1845361.000000000232831,1825470.590000000083819,1783886.499999999767169,1764210.489999999990687,10940918.879999998956919
20161103,1833065.300000000046566,1849902.570000000065193,1841494.500000000000000,1790122.059999999823049,1781007.399999999674037,1739447.539999999804422,10835043.369999999180436
20161104,1816542.200000000186265,1843561.289999999804422,1838463.999999999767169,1773239.179999999934807,1749748.599999999860302,1730188.349999999627471,10751747.619999999180436
20161107,1842745.500000000000000,1889667.679999999934807,1896566.000000000000000,1830218.899999999906868,1780184.800000000046566,1753874.649999999906868,10993261.530000001192093
20161108,1853594.000000000232831,1878702.549999999813735,1901163.999999999767169,1832856.850000000093132,1798693.299999999813735,1724589.769999999785796,10989604.469999998807907
20161109,1850589.800000000046566,1916882.339999999850988,2013083.500000000000000,1833384.439999999944121,1767228.850000000093132,1755812.619999999878928,11136985.549999998882413
20161110,1799017.700000000186265,1951230.939999999944121,2099191.500000000000000,1820194.689999999944121,1706150.799999999813735,1741385.510000000009313,11117175.139999998733401
20161111,1809699.300000000279397,1962196.070000000065193,2131273.000000000000000,1825998.179999999934807,1718901.099999999860302,1745261.449999999720603,11193333.099999999627471
20161114,1764302.500000000000000,1981616.239999999990687,2186031.000000000000000,1819139.509999999776483,1706973.399999999906868,1760549.879999999888241,11218616.530000001192093
20161115,1787668.500000000000000,1956779.560000000055879,2207035.500000000000000,1841825.879999999655411,1719723.699999999953434,1793280.039999999804422,11306317.179999999701977
20161116,1835735.699999999953434,1934717.189999999944121,2155517.000000000000000,1838132.750000000232831,1710880.749999999767169,1791342.069999999832362,11266329.459999999031425
20161117,1835068.100000000093132,1920052.979999999981374,2190733.500000000000000,1847629.370000000111759,1708412.949999999720603,1808568.469999999739230,11310469.370000001043081
20161118,1836904.000000000232831,1933528.199999999720603,2198257.500000000000000,1843936.239999999990687,1686408.399999999906868,1793064.709999999729916,11292103.049999998882413
20161121,1864776.300000000046566,1942379.570000000065193,2205886.000000000000000,1845519.009999999776483,1699570.000000000000000,1817827.659999999916181,11375962.539999999105930
20161122,1865944.600000000093132,1975407.070000000065193,2206199.500000000000000,1871898.509999999776483,1702037.800000000046566,1807061.159999999916181,11428552.640000000596046
20161123,1856431.300000000046566,1978313.489999999990687,2218739.500000000000000,1857125.989999999990687,1700392.600000000093132,1809860.449999999720603,11420867.330000000074506
20161125,1865777.700000000186265,1982276.789999999804422,2209021.000000000000000,1869788.149999999906868,1716433.299999999813735,1818042.989999999990687,11461343.930000001564622
20161128,1862105.899999999906868,1978709.820000000065193,2198257.500000000000000,1873481.279999999795109,1708412.949999999720603,1837853.349999999627471,11458824.799999998882413
20161129,1860270.000000000000000,2003414.389999999664724,2212887.500000000000000,1862929.479999999981374,1704711.250000000000000,1841729.289999999804422,11485945.909999998286366
20161130,1844581.400000000139698,1989146.509999999776483,2291680.500000000000000,1830746.489999999990687,1695868.299999999813735,1824502.889999999897555,11476530.089999999850988
