代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12612599.149999998509884
真實報酬,2612599.149999998509884

夏普值報酬,0.252559915000000
夏普值風險,0.069088053047523
夏普值,3.655623568177182

預期報酬,20912.314195142429526
風險,144114.714046901703114
趨勢值,0.145108806782468
找到最佳解世代,1942
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
HD[9](9),KO[14](4),MCD[15](18),UNH[23](8),VZ[26](1),WBA[27](5),XOM[29](2),
20101013,1553337.429999999934807,1553490.939999999944121,1551902.739999999990687,1657047.050000000046566,1583421.850000000093132,1741302.249999999767169,1556873.320000000298023,11197378.580000000074506
20101014,1543817.099999999860302,1552972.600000000093132,1578330.970000000204891,1678627.949999999953434,1594728.419999999925494,1725790.780000000027940,1563096.939999999944121,11237367.759999999776483
20101015,1538305.329999999841675,1553490.939999999944121,1587345.250000000000000,1688010.949999999953434,1594236.829999999841675,1730294.109999999869615,1560463.870000000111759,11252150.280000001192093
20101018,1529787.139999999897555,1555045.959999999962747,1584067.329999999841675,1700678.000000000000000,1602102.270000000018626,1721787.819999999832362,1586555.200000000186265,11280026.719999998807907
20101019,1523774.300000000046566,1563857.739999999990687,1577306.619999999878928,1656108.749999999767169,1580963.899999999906868,1682758.959999999962747,1558788.280000000260770,11143561.550000000745058
20101020,1539808.540000000037253,1585109.679999999934807,1585911.159999999916181,1723197.199999999953434,1604560.219999999972060,1702773.760000000009313,1580092.210000000195578,11321455.770000001415610
20101021,1593924.099999999860302,1593403.119999999878928,1607012.770000000018626,1711937.600000000093132,1598661.140000000130385,1706276.350000000093132,1587512.679999999934807,11398730.759999999776483
20101022,1577388.790000000037253,1597031.500000000000000,1609266.339999999850988,1748062.149999999906868,1577522.770000000018626,1704775.239999999990687,1587991.420000000158325,11402041.209999999031425
20101025,1573380.229999999748543,1581481.300000000046566,1612339.390000000130385,1762136.650000000139698,1590304.110000000102445,1723288.929999999701977,1584640.240000000223517,11427573.849999999627471
20101026,1567868.459999999962747,1587183.040000000037253,1613568.610000000102445,1762605.800000000046566,1597677.959999999962747,1708277.829999999841675,1592539.450000000186265,11429724.149999998509884
20101027,1548326.729999999748543,1586146.360000000102445,1587345.250000000000000,1685665.199999999953434,1598169.549999999813735,1698770.800000000046566,1571953.630000000121072,11276380.520000001415610
20101028,1562857.760000000009313,1586664.699999999953434,1587345.250000000000000,1700678.000000000000000,1593253.649999999906868,1708277.829999999841675,1585118.979999999981374,11324199.169999999925494
20101029,1548326.729999999748543,1589256.399999999906868,1593286.479999999981374,1691294.999999999767169,1596694.779999999795109,1695268.209999999962747,1591581.969999999972060,11305712.569999998435378
20101101,1538806.399999999906868,1599623.199999999953434,1595540.049999999813735,1694109.899999999906868,1592762.059999999823049,1703774.499999999767169,1602592.990000000223517,11327212.099999997764826
20101102,1578892.000000000000000,1603251.579999999841675,1606193.290000000037253,1735864.250000000000000,1612425.659999999916181,1725790.780000000027940,1623896.920000000158325,11486317.480000000447035
20101103,1576386.649999999906868,1605843.280000000027940,1608241.989999999990687,1719913.149999999906868,1621765.870000000111759,1760316.309999999823049,1627008.729999999981374,11519478.980000000447035
20101104,1600438.010000000009313,1618801.780000000027940,1622173.150000000139698,1726481.249999999767169,1647820.140000000130385,1798844.800000000046566,1660759.899999999906868,11675322.030000001192093
20101105,1599435.870000000111759,1621911.819999999832362,1624631.589999999850988,1729296.149999999906868,1643395.829999999841675,1758314.829999999841675,1675600.840000000083819,11652589.929999999701977
20101108,1577889.859999999869615,1618801.780000000027940,1624836.459999999962747,1741494.049999999813735,1630614.489999999990687,1755812.979999999981374,1683260.679999999934807,11632713.299999998882413
20101109,1576887.719999999972060,1623466.840000000083819,1620534.189999999944121,1734925.949999999953434,1622749.049999999813735,1763318.530000000027940,1690681.149999999906868,11632566.429999999701977
20101110,1587410.189999999944121,1621393.479999999981374,1628728.989999999990687,1743370.649999999906868,1614883.610000000102445,1756813.719999999972060,1702649.649999999906868,11655253.290000000968575
20101111,1588412.329999999841675,1627613.559999999823049,1632826.390000000130385,1757914.300000000046566,1604068.630000000121072,1761817.419999999925494,1719405.550000000046566,11692061.179999999701977
20101112,1575384.510000000009313,1630723.600000000093132,1615412.439999999944121,1720382.300000000046566,1600627.500000000000000,1742803.359999999869615,1699298.469999999972060,11584635.180000001564622
20101115,1572879.159999999916181,1631760.280000000027940,1619919.579999999841675,1664084.300000000046566,1610950.890000000130385,1726791.519999999785796,1687090.600000000093132,11513479.329999998211861
20101116,1588913.399999999906868,1608953.319999999832362,1586116.030000000027940,1642503.399999999906868,1582438.669999999925494,1701773.019999999785796,1650227.620000000111759,11360928.460000000894070
20101117,1544819.239999999757856,1620356.800000000046566,1605578.680000000167638,1657516.199999999953434,1589812.520000000018626,1701773.019999999785796,1651903.210000000195578,11371762.670000001788139
20101118,1546823.520000000018626,1654567.239999999990687,1618895.229999999981374,1671590.700000000186265,1605051.809999999823049,1722288.189999999944121,1683021.310000000055879,11502241.000000000000000
20101119,1564360.969999999972060,1667007.399999999674037,1631597.169999999925494,1688949.250000000000000,1602102.270000000018626,1739300.769999999785796,1688526.820000000298023,11581847.649999998509884
20101122,1557847.059999999823049,1665970.719999999972060,1629138.729999999981374,1710530.150000000139698,1597677.959999999962747,1745805.579999999841675,1680148.870000000111759,11587122.070000000298023
20101123,1548827.800000000046566,1648865.500000000000000,1618690.360000000102445,1691294.999999999767169,1592270.469999999972060,1700271.909999999683350,1651185.100000000093132,11451409.139999998733401
20101124,1561354.550000000046566,1674782.500000000000000,1628319.250000000000000,1697393.949999999953434,1590304.110000000102445,1716784.120000000111759,1672728.399999999906868,11541669.880000000819564
20101126,1553337.429999999934807,1661824.000000000000000,1609061.470000000204891,1683319.450000000186265,1583421.850000000093132,1685260.809999999823049,1657169.350000000093132,11433397.360000001266599
20101129,1537804.260000000009313,1643163.760000000009313,1603325.110000000102445,1716629.100000000093132,1568182.559999999823049,1741302.249999999767169,1662435.490000000223517,11472845.529999999329448
20101130,1513752.899999999906868,1637462.020000000018626,1604144.589999999850988,1713345.050000000046566,1573590.049999999813735,1743804.100000000093132,1665068.560000000055879,11451170.269999999552965
20101201,1583902.699999999953434,1676855.860000000102445,1624426.720000000204891,1767297.300000000046566,1590304.110000000102445,1784834.439999999944121,1707437.050000000046566,11735061.180000001564622
20101202,1671589.949999999953434,1682039.260000000009313,1626270.549999999813735,1785124.999999999767169,1609476.120000000111759,1806850.719999999972060,1711027.600000000093132,11892382.199999999254942
20101203,1677602.789999999804422,1671672.459999999962747,1634055.610000000102445,1774334.550000000046566,1617341.559999999823049,1844378.469999999972060,1704085.870000000111759,11923474.309999998658895
20101206,1670587.810000000055879,1658713.959999999962747,1630367.949999999953434,1749469.599999999860302,1616849.969999999972060,1818859.600000000093132,1706958.310000000055879,11851810.199999999254942
20101207,1681110.279999999795109,1662342.340000000083819,1645938.070000000065193,1725073.800000000046566,1619799.510000000009313,1812354.789999999804422,1710548.859999999869615,11857170.649999998509884
20101208,1705161.639999999897555,1669080.760000000009313,1613158.869999999878928,1728357.850000000093132,1621274.279999999795109,1824864.039999999804422,1719884.290000000037253,11881784.729999996721745
20101209,1719692.669999999925494,1680484.239999999990687,1590008.560000000055879,1719444.000000000000000,1649786.500000000000000,1819860.339999999850988,1723474.840000000083819,11902754.150000000372529
20101210,1723701.229999999748543,1675819.179999999934807,1588984.209999999962747,1720382.300000000046566,1673382.819999999832362,1822862.559999999823049,1727783.500000000232831,11932918.799999998882413
20101213,1731718.350000000093132,1680484.239999999990687,1579765.060000000055879,1731172.750000000000000,1676823.949999999953434,1823362.929999999701977,1732092.160000000149012,11955422.439999999478459
20101214,1739735.469999999972060,1656122.260000000009313,1579765.060000000055879,1712406.750000000000000,1704352.989999999990687,1838874.399999999906868,1727783.500000000232831,11959043.429999999701977
20101215,1743242.959999999962747,1677892.539999999804422,1577101.750000000000000,1663146.000000000232831,1702386.630000000121072,1857888.459999999962747,1719884.290000000037253,11941545.629999998956919
20101216,1759778.269999999785796,1693442.739999999990687,1571570.259999999776483,1670652.399999999906868,1708777.299999999813735,1887410.289999999804422,1728740.979999999981374,12020375.239999998360872
20101217,1758776.130000000121072,1702772.860000000102445,1573618.959999999962747,1644379.999999999767169,1702878.219999999972060,1880405.109999999869615,1727544.130000000121072,11990378.410000000149012
20101220,1763786.830000000074506,1692924.399999999674037,1575872.530000000027940,1650478.949999999953434,1707794.120000000111759,1865394.010000000009313,1728740.979999999981374,11984994.820000000298023
20101221,1757773.989999999757856,1697071.120000000111759,1574643.310000000055879,1657516.199999999953434,1717625.919999999925494,1842877.359999999869615,1740709.479999999981374,11988220.379999998956919
20101222,1762784.689999999944121,1700181.159999999916181,1577716.360000000102445,1681442.850000000093132,1729424.079999999841675,1943952.100000000093132,1742624.439999999944121,12138128.679999999701977
20101223,1758275.060000000055879,1699662.819999999832362,1576692.009999999776483,1678158.800000000046566,1742205.419999999925494,1960964.679999999701977,1752199.240000000223517,12168161.029999999329448
20101227,1765791.110000000102445,1686185.979999999981374,1565833.900000000139698,1667368.349999999860302,1745154.959999999962747,1949456.169999999925494,1747651.210000000195578,12127444.680000001564622
20101228,1758275.060000000055879,1693961.079999999841675,1565833.900000000139698,1675813.050000000046566,1751054.039999999804422,1974975.039999999804422,1757465.380000000121072,12177380.549999998882413
20101229,1748253.659999999916181,1696552.779999999795109,1577306.619999999878928,1684726.899999999906868,1749087.679999999934807,1975475.409999999683350,1756268.530000000260770,12187674.579999998211861
20101230,1746750.449999999953434,1697589.459999999962747,1572594.610000000102445,1686134.349999999860302,1748104.500000000000000,1963466.530000000027940,1756029.160000000149012,12170672.060000000521541
20101231,1756771.850000000093132,1704846.219999999972060,1572594.610000000102445,1694109.899999999906868,1758919.479999999981374,1949456.169999999925494,1750284.280000000260770,12186985.510000001639128
20110103,1769298.600000000093132,1690332.699999999953434,1569316.689999999944121,1741963.200000000186265,1790872.829999999841675,1967469.489999999990687,1784514.189999999944121,12313770.699999999254942
20110104,1737230.120000000111759,1655603.919999999925494,1522401.459999999962747,1757914.300000000046566,1826758.899999999906868,1983981.699999999720603,1792892.140000000130385,12276785.539999999105930
20110105,1731718.350000000093132,1645755.459999999962747,1529571.909999999916181,1763544.100000000093132,1851829.989999999990687,2011502.050000000046566,1788104.740000000223517,12322029.600000001490116
20110106,1724703.370000000111759,1633833.639999999897555,1520352.759999999776483,1800137.799999999813735,1781041.029999999795109,2017506.489999999990687,1799594.500000000232831,12277172.589999999850988
20110107,1722699.090000000083819,1630723.600000000093132,1523630.680000000167638,1803891.000000000232831,1766293.329999999841675,2005497.609999999869615,1809408.670000000158325,12262146.980000000447035
20110110,1723200.159999999916181,1634351.979999999981374,1507036.209999999962747,1803891.000000000232831,1765801.739999999990687,2049029.800000000046566,1798397.649999999906868,12281711.540000000968575
20110111,1746750.449999999953434,1625021.860000000102445,1514001.790000000037253,1833447.449999999953434,1738272.699999999953434,2043025.359999999869615,1811802.370000000111759,12312324.980000000447035
20110112,1745247.239999999757856,1633833.639999999897555,1507855.689999999944121,1823126.149999999906868,1743680.189999999944121,2061539.050000000046566,1833106.300000000046566,12348391.260000001639128
20110113,1767294.320000000065193,1643163.760000000009313,1488802.780000000027940,1857843.250000000000000,1759902.659999999916181,2083555.329999999841675,1836218.109999999869615,12436783.209999999031425
20110114,1798360.659999999916181,1636425.340000000083819,1517279.709999999962747,1912733.800000000046566,1743188.600000000093132,2073547.929999999701977,1863266.920000000158325,12544805.959999999031425
20110118,1804874.570000000065193,1645237.119999999878928,1529981.650000000139698,1917894.450000000186265,1689113.699999999953434,2100067.540000000037253,1884092.109999999869615,12571264.140000000596046
20110119,1785332.840000000083819,1643682.100000000093132,1543707.939999999944121,1902881.650000000139698,1700911.860000000102445,2065542.010000000009313,1872841.719999999972060,12514903.120000001043081
20110120,1828424.860000000102445,1631241.939999999944121,1539815.409999999916181,1891152.900000000139698,1701403.449999999953434,2082054.219999999972060,1861112.590000000083819,12535208.370000001043081
20110121,1829426.999999999767169,1627095.219999999972060,1536742.360000000102445,1895844.399999999906868,1718117.510000000009313,2086057.179999999701977,1890555.100000000093132,12583841.769999999552965
20110124,1836441.979999999748543,1639535.379999999888241,1544322.549999999813735,1867695.400000000139698,1732373.620000000111759,2076049.780000000027940,1881219.670000000158325,12577641.379999998956919
20110125,1861996.549999999813735,1631760.280000000027940,1546371.250000000000000,1905696.549999999813735,1759411.069999999832362,2063540.530000000027940,1883374.000000000232831,12652153.229999998584390
20110126,1875024.370000000111759,1631760.280000000027940,1540020.280000000027940,1888338.000000000000000,1789398.059999999823049,2066042.379999999888241,1906832.260000000009313,12697418.630000000819564
20110127,1903084.289999999804422,1625021.860000000102445,1523220.939999999944121,1984044.599999999860302,1793822.370000000111759,2055034.239999999990687,1912098.399999999906868,12796329.699999999254942
20110128,1838947.330000000074506,1612581.699999999953434,1501299.850000000093132,1920240.199999999953434,1751545.630000000121072,2019507.969999999972060,1890794.469999999972060,12534920.150000002235174
20110131,1842454.820000000065193,1629168.579999999841675,1509289.780000000027940,1925869.999999999767169,1751054.039999999804422,2023510.929999999701977,1931248.000000000232831,12612599.149999998509884
