代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11612936.669999999925494
真實報酬,1612936.669999999925494

夏普值報酬,0.152593667000000
夏普值風險,0.046196917028738
夏普值,3.303113645117824

預期報酬,15058.543298706321366
風險,156110.037644065625500
趨勢值,0.096461083002492
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MRK[17](3),PFE[20](5),PG[21](14),
20160421,2698641.959999999962747,2818158.100000000093132,2800808.200000000186265,2515879.870000000111759,10833488.130000000819564
20160422,2692701.709999999962747,2825128.700000000186265,2803336.000000000000000,2520550.419999999925494,10841716.830000000074506
20160425,2697216.300000000279397,2799237.899999999906868,2798280.399999999906868,2534873.439999999944121,10829608.039999999105930
20160426,2682959.699999999720603,2790275.700000000186265,2784798.799999999348074,2476958.620000000111759,10734992.820000000298023
20160427,2679633.159999999683350,2803719.000000000000000,2780585.799999999813735,2487545.200000000186265,10751483.160000000149012
20160428,2672742.470000000204891,2775338.700000000186265,2773002.399999999441206,2483497.390000000130385,10704580.959999999031425
20160429,2663238.069999999832362,2730527.700000000186265,2756150.399999999906868,2494706.709999999962747,10644622.879999998956919
20160502,2679157.939999999944121,2753431.100000000093132,2763733.799999999348074,2521173.160000000149012,10717496.000000000000000
20160503,2677732.279999999795109,2742477.299999999813735,2839567.800000000279397,2525220.969999999739230,10784998.350000001490116
20160504,2666564.609999999869615,2729034.000000000000000,2814289.799999999813735,2540789.469999999739230,10750677.879999998956919
20160505,2682246.869999999646097,2693185.200000000186265,2828614.000000000000000,2531448.370000000111759,10735494.440000001341105
20160506,2678920.329999999608845,2668788.100000000093132,2829456.599999999627471,2557292.080000000074506,10734457.109999999403954
20160509,2702206.109999999869615,2693683.100000000093132,2849679.000000000000000,2556980.709999999962747,10802548.919999999925494
20160510,2724779.060000000055879,2722561.300000000279397,2847993.799999999348074,2568190.030000000260770,10863524.190000001341105
20160511,2717650.760000000242144,2704139.000000000000000,2794067.399999999441206,2557914.820000000298023,10773771.980000000447035
20160512,2714324.220000000204891,2694678.899999999906868,2796595.199999999720603,2566010.439999999944121,10771608.759999999776483
20160513,2698404.350000000093132,2682729.300000000279397,2796595.199999999720603,2529268.780000000260770,10706997.629999998956919
20160516,2719314.029999999795109,2721067.600000000093132,2812604.600000000093132,2541723.580000000074506,10794709.810000000521541
20160517,2704819.819999999832362,2704636.899999999906868,2783113.600000000093132,2510275.209999999962747,10702845.530000001192093
20160518,2699117.180000000167638,2722063.400000000372529,2794910.000000000000000,2486299.719999999739230,10702390.300000000745058
20160519,2681534.040000000037253,2717582.299999999813735,2812604.600000000093132,2496886.299999999813735,10708607.239999998360872
20160520,2676544.229999999981374,2743971.000000000000000,2842938.200000000186265,2491593.009999999776483,10755046.440000001341105
20160523,2665138.949999999720603,2734510.900000000372529,2837040.000000000000000,2497197.669999999925494,10733887.519999999552965
20160524,2677732.279999999795109,2768368.100000000093132,2873271.799999999813735,2521173.160000000149012,10840545.339999999850988
20160525,2693414.540000000037253,2816664.399999999906868,2894336.799999999813735,2537053.030000000260770,10941468.769999999552965
20160526,2682722.089999999850988,2807702.200000000186265,2901077.599999999627471,2528957.410000000149012,10920459.300000000745058
20160527,2686523.850000000093132,2812183.299999999813735,2916244.399999999906868,2535496.180000000167638,10950447.730000000447035
20160531,2677732.279999999795109,2801229.500000000000000,2923827.800000000279397,2523352.750000000000000,10926142.330000000074506
20160601,2679870.770000000018626,2804714.799999999813735,2928040.799999999813735,2546705.500000000000000,10959331.870000001043081
20160602,2720502.079999999608845,2829111.899999999906868,2938151.999999999534339,2551687.419999999925494,11039453.399999998509884
20160603,2726917.550000000279397,2820149.700000000186265,2922985.199999999720603,2567878.660000000149012,11037931.109999999403954
20160606,2750916.159999999683350,2846538.400000000372529,2943207.599999999627471,2577219.759999999776483,11117881.919999999925494
20160607,2749965.720000000204891,2838074.100000000093132,2935624.200000000186265,2563208.109999999869615,11086872.129999998956919
20160608,2751628.989999999757856,2868943.899999999906868,2970170.799999999813735,2573483.320000000298023,11164227.009999999776483
20160609,2780142.189999999944121,2847036.300000000279397,2975226.399999999906868,2589674.560000000055879,11192079.450000001117587
20160610,2780379.800000000279397,2828614.000000000000000,2973541.199999999720603,2590608.669999999925494,11173143.669999999925494
20160613,2775152.379999999888241,2793761.000000000000000,2927198.200000000186265,2570992.359999999869615,11067103.939999999478459
20160614,2782993.510000000242144,2800731.600000000093132,2948263.200000000186265,2595279.219999999739230,11127267.530000001192093
20160615,2766123.199999999720603,2792765.200000000186265,2931411.199999999720603,2582824.419999999925494,11073124.019999999552965
20160616,2771588.229999999981374,2862969.100000000093132,2928040.799999999813735,2597147.439999999944121,11159745.569999998435378
20160617,2744025.470000000204891,2782807.200000000186265,2883382.999999999534339,2588429.080000000074506,10998644.750000000000000
20160620,2769212.129999999888241,2795254.700000000186265,2906975.799999999813735,2585626.750000000000000,11057069.379999998956919
20160621,2760658.169999999925494,2800731.600000000093132,2928040.799999999813735,2597147.439999999944121,11086578.009999999776483
20160622,2767311.250000000000000,2840065.700000000186265,2904447.999999999534339,2602129.359999999869615,11113954.309999998658895
20160623,2789171.369999999646097,2871931.300000000279397,2914559.200000000186265,2622057.040000000037253,11197718.910000000149012
20160624,2747589.619999999646097,2782309.300000000279397,2862317.999999999534339,2561339.890000000130385,10953556.810000000521541
20160627,2769449.739999999757856,2753929.000000000000000,2847993.799999999348074,2529268.780000000260770,10900641.320000000298023
20160628,2809368.220000000204891,2767372.299999999813735,2901920.199999999720603,2567567.290000000037253,11046228.009999997913837
20160629,2835505.319999999832362,2840563.600000000093132,2949948.399999999441206,2612715.939999999944121,11238733.259999999776483
20160630,2882314.489999999757856,2868446.000000000000000,2966800.399999999906868,2636380.060000000055879,11353940.950000001117587
20160701,2882076.879999999888241,2884876.700000000186265,2997134.000000000000000,2639805.129999999888241,11403892.710000000894070
20160705,2905362.659999999683350,2887864.100000000093132,3017356.399999999906868,2660355.549999999813735,11470938.710000000894070
20160706,2914154.229999999981374,2945620.500000000000000,3021569.399999999906868,2647589.379999999888241,11528933.510000001639128
20160707,2911065.300000000279397,2926700.300000000279397,3013986.000000000000000,2641361.979999999981374,11493113.580000001937151
20160708,2919144.040000000037253,2955080.600000000093132,3043476.999999999534339,2670630.759999999776483,11588332.400000000372529
20160711,2921044.919999999925494,2954582.700000000186265,3046004.799999999813735,2670008.020000000018626,11591640.439999999478459
20160712,2920807.310000000055879,2967528.100000000093132,3053588.200000000186265,2670008.020000000018626,11611931.629999998956919
20160713,2922708.189999999944121,2965038.600000000093132,3059486.399999999906868,2674367.200000000186265,11621600.390000000596046
20160714,2926985.169999999925494,2970017.600000000093132,3110885.000000000000000,2673744.459999999962747,11681632.230000000447035
20160715,2922708.189999999944121,2969021.800000000279397,3098246.000000000000000,2678103.640000000130385,11668079.630000000819564
20160718,2926034.729999999981374,2938649.900000000372529,3087292.199999999720603,2675612.680000000167638,11627589.509999999776483
20160719,2976170.439999999944121,2920725.500000000000000,3087292.199999999720603,2683085.560000000055879,11667273.699999999254942
20160720,2973556.729999999981374,2927198.200000000186265,3090662.599999999627471,2656619.109999999869615,11648036.639999998733401
20160721,2973794.339999999850988,2927198.200000000186265,3093190.399999999906868,2654750.890000000130385,11648933.830000000074506
20160722,2970943.020000000018626,2928691.899999999906868,3095718.200000000186265,2669073.910000000149012,11664427.030000001192093
20160725,2967616.479999999981374,2915746.500000000000000,3099088.600000000093132,2671564.870000000111759,11654016.449999999254942
20160726,2973794.339999999850988,2905788.500000000000000,3103301.599999999627471,2655062.259999999776483,11637946.699999999254942
20160727,2964765.159999999683350,2917738.100000000093132,3104986.799999999813735,2629841.290000000037253,11617331.349999997764826
20160728,2957399.250000000000000,2909273.800000000279397,3089820.000000000000000,2640739.240000000223517,11597232.290000000968575
20160729,2975695.220000000204891,2920725.500000000000000,3108357.199999999720603,2665026.100000000093132,11669804.019999999552965
20160801,2979734.589999999850988,2920725.500000000000000,3143746.399999999906868,2690558.439999999944121,11734764.929999999701977
20160802,2966666.040000000037253,2904294.799999999813735,3066227.199999999720603,2701456.390000000130385,11638644.429999999701977
20160803,2944093.089999999850988,2870437.600000000093132,2973541.199999999720603,2676858.160000000149012,11464930.049999998882413
20160804,2943142.649999999906868,2879897.700000000186265,2961744.799999999813735,2679349.120000000111759,11464134.269999999552965
20160805,2952171.829999999608845,3179633.500000000000000,2986180.199999999720603,2670942.129999999888241,11788927.660000000149012
20160808,2938152.839999999850988,3129843.500000000000000,2943207.599999999627471,2670319.390000000130385,11681523.330000000074506
20160809,2932925.419999999925494,3111421.200000000186265,2955846.599999999627471,2677480.899999999906868,11677674.119999999180436
20160810,2931262.149999999906868,3118889.700000000186265,2960059.600000000093132,2687444.740000000223517,11697656.189999999478459
20160811,2941004.159999999683350,3168181.800000000279397,2961744.799999999813735,2700522.280000000260770,11771453.039999999105930
20160812,2927935.609999999869615,3154240.600000000093132,2947420.599999999627471,2710174.750000000000000,11739771.559999998658895
20160815,2906313.100000000093132,3152746.899999999906868,2958374.399999999906868,2709552.009999999776483,11726986.410000000149012
20160816,2859266.319999999832362,3138805.700000000186265,2931411.199999999720603,2695851.729999999981374,11625334.949999999254942
20160817,2882552.100000000093132,3151253.200000000186265,2960902.199999999720603,2707683.790000000037253,11702391.289999999105930
20160818,2868533.109999999869615,3168181.800000000279397,2965115.199999999720603,2722629.549999999813735,11724459.660000000149012
20160819,2849524.310000000055879,3154738.500000000000000,2947420.599999999627471,2718581.740000000223517,11670265.150000000372529
20160822,2830753.119999999646097,3164198.600000000093132,2935624.200000000186265,2704258.719999999739230,11634834.640000000596046
20160823,2838119.029999999795109,3165692.299999999813735,2956689.200000000186265,2721384.070000000298023,11681884.600000001490116
20160824,2820773.500000000000000,3123370.799999999813735,2933939.000000000000000,2718581.740000000223517,11596665.040000000968575
20160825,2817446.959999999962747,3102956.899999999906868,2929726.000000000000000,2736952.570000000298023,11587082.429999999701977
20160826,2828614.629999999888241,3129345.600000000093132,2933939.000000000000000,2726988.729999999981374,11618887.960000000894070
20160829,2849524.310000000055879,3137312.000000000000000,2958374.399999999906868,2749407.370000000111759,11694618.080000001937151
20160830,2838831.859999999869615,3122375.000000000000000,2938994.600000000093132,2725743.250000000000000,11625944.709999999031425
20160831,2835742.930000000167638,3126358.200000000186265,2932253.799999999348074,2718581.740000000223517,11612936.669999999925494
