代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12840739.750000000000000
真實報酬,2840739.750000000000000

夏普值報酬,0.275373975000000
夏普值風險,0.070782897811076
夏普值,3.890402675162982

預期報酬,22083.210868116118945
風險,145986.686899406660814
趨勢值,0.151268662486551
找到最佳解世代,1661
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
CAT[3](2),CVX[5](1),KO[14](17),PFE[20](15),XOM[29](3),
20101126,2140710.850000000558794,1986682.850000000093132,2091323.400000000139698,1893226.699999999720603,2082416.460000000428408,10194360.260000001639128
20101129,2129006.150000000372529,1977966.170000000158325,2067840.239999999990687,1901263.399999999674037,2089033.840000000316650,10165109.800000000745058
20101130,2152670.000000000000000,1960532.810000000055879,2060664.830000000074506,1871412.799999999813735,2092342.530000000260770,10137622.970000000670552
20101201,2225188.250000000000000,2002421.300000000279397,2110240.390000000130385,1917336.799999999813735,2145582.360000000335276,10400769.100000001490116
20101202,2254958.900000000372529,2046004.700000000186265,2116763.490000000223517,1916188.699999999953434,2150094.209999999962747,10484010.000000000000000
20101203,2274297.100000000558794,2055447.770000000251457,2103717.290000000037253,1919632.999999999767169,2141371.299999999813735,10494466.460000000894070
20101206,2269717.000000000000000,2056900.550000000279397,2087409.540000000037253,1929965.899999999674037,2144980.780000000260770,10488973.769999999552965
20101207,2298978.750000000000000,2089588.100000000093132,2091975.709999999962747,1925373.499999999767169,2149492.629999999888241,10555408.689999997615814
20101208,2280403.900000000372529,2085714.020000000251457,2100455.740000000223517,1919632.999999999767169,2161223.440000000409782,10547430.100000001490116
20101209,2281676.150000000372529,2098062.650000000372529,2114806.560000000055879,1924225.399999999906868,2165735.290000000037253,10584506.050000000745058
20101210,2288546.299999999813735,2107263.590000000316650,2108935.770000000018626,1954075.999999999767169,2171149.510000000707805,10629971.170000001788139
20101213,2331548.350000000558794,2139709.010000000242144,2114806.560000000055879,1973593.699999999953434,2176563.730000000447035,10736221.350000001490116
20101214,2343253.050000000745058,2139951.140000000130385,2084147.989999999990687,1964408.899999999674037,2171149.510000000707805,10702910.590000003576279
20101215,2369461.400000000372529,2130992.330000000540167,2111545.009999999776483,1960964.599999999627471,2161223.440000000409782,10734186.780000001192093
20101216,2371497.000000000000000,2156415.980000000447035,2131114.310000000055879,1977037.999999999767169,2172352.669999999925494,10808417.960000000894070
20101217,2355975.550000000745058,2142614.569999999832362,2142855.890000000130385,1955224.099999999860302,2170848.720000000670552,10767518.830000001937151
20101220,2374041.500000000000000,2150120.600000000093132,2130462.000000000000000,1971297.500000000000000,2172352.669999999925494,10798274.269999999552965
20101221,2407883.350000000558794,2160532.190000000409782,2135680.479999999981374,1995407.599999999627471,2187392.169999999925494,10886895.790000000968575
20101222,2406356.650000000372529,2177239.160000000149012,2139594.339999999850988,2016073.399999999674037,2189798.490000000223517,10929062.040000000968575
20101223,2403303.250000000000000,2195641.040000000502914,2138942.029999999795109,2021813.899999999674037,2201830.090000000782311,10961530.310000002384186
20101227,2393634.150000000372529,2182081.760000000242144,2121981.970000000204891,2008036.699999999720603,2196115.080000000074506,10901849.660000000149012
20101228,2383965.049999999813735,2207989.669999999925494,2131766.620000000111759,2019517.699999999720603,2208447.470000000670552,10951686.509999999776483
20101229,2386255.100000000558794,2212348.010000000242144,2135028.169999999925494,2020665.800000000046566,2206943.520000000484288,10961240.600000001490116
20101230,2388545.150000000372529,2217917.000000000000000,2136332.790000000037253,2008036.699999999720603,2206642.730000000447035,10957474.370000001043081
20101231,2383201.700000000186265,2209442.450000000186265,2145465.129999999888241,2010332.899999999906868,2199423.770000000484288,10947865.949999999254942
20110103,2395669.750000000000000,2226149.419999999925494,2127200.450000000186265,2029850.599999999860302,2242436.740000000223517,11021306.960000000894070
20110104,2384473.950000000186265,2217917.000000000000000,2083495.680000000167638,2065441.699999999720603,2252964.390000000596046,11004292.720000000670552
20110105,2405084.400000000372529,2214042.919999999925494,2071101.790000000037253,2079218.899999999674037,2246948.590000000782311,11016396.600000001490116
20110106,2380148.300000000745058,2195883.169999999925494,2056098.659999999916181,2087255.599999999860302,2261386.510000000707805,10980772.240000002086163
20110107,2384982.850000000558794,2207989.669999999925494,2052184.800000000046566,2105625.199999999720603,2273718.900000000372529,11024501.419999999925494
20110110,2376331.549999999813735,2189103.530000000260770,2056750.970000000204891,2096440.399999999906868,2259882.560000000521541,10978509.010000001639128
20110111,2390580.750000000000000,2223485.990000000223517,2045009.390000000130385,2091847.999999999767169,2276726.799999999813735,11027650.929999999701977
20110112,2378876.049999999813735,2238498.050000000279397,2056098.659999999916181,2109069.500000000000000,2303497.110000000335276,11086039.370000001043081
20110113,2395415.299999999813735,2231960.540000000502914,2067840.239999999990687,2091847.999999999767169,2307407.379999999888241,11094471.460000000894070
20110114,2392107.450000000186265,2247698.990000000223517,2059360.209999999962747,2105625.199999999720603,2341396.650000000372529,11146188.500000000000000
20110118,2448595.350000000558794,2260289.750000000000000,2070449.479999999981374,2110217.599999999627471,2367565.379999999888241,11257117.559999998658895
20110119,2431038.300000000745058,2251088.810000000055879,2068492.550000000046566,2103329.000000000000000,2353428.250000000000000,11207376.910000000149012
20110120,2381929.450000000186265,2244793.430000000167638,2052837.109999999869615,2094144.199999999720603,2338689.540000000037253,11112393.730000000447035
20110121,2360046.750000000000000,2270701.340000000316650,2047618.630000000121072,2107921.399999999906868,2375686.709999999962747,11161974.829999998211861
20110124,2406356.650000000372529,2278449.500000000000000,2063274.070000000065193,2118254.299999999813735,2363955.900000000372529,11230290.419999999925494
20110125,2401776.549999999813735,2277965.240000000223517,2053489.420000000158325,2120550.499999999534339,2366663.010000000707805,11220444.719999998807907
20110126,2436381.750000000000000,2291524.520000000018626,2053489.420000000158325,2107921.399999999906868,2396140.429999999701977,11285457.519999999552965
20110127,2458773.350000000558794,2294187.950000000186265,2045009.390000000130385,2121698.600000000093132,2402757.810000000521541,11322427.100000001490116
20110128,2434600.600000000558794,2260774.010000000242144,2029353.949999999953434,2083811.299999999580905,2375987.500000000000000,11184527.360000001266599
20110131,2468442.450000000186265,2298546.290000000502914,2050227.870000000111759,2091847.999999999767169,2426821.010000000707805,11335885.620000001043081
20110201,2493887.450000000186265,2329781.060000000055879,2056750.970000000204891,2206657.999999999534339,2523976.179999999701977,11611053.660000000149012
20110202,2521368.050000000745058,2336076.440000000409782,2050227.870000000111759,2176807.399999999906868,2508936.679999999701977,11593416.440000001341105
20110203,2517296.850000000558794,2356173.230000000447035,2041095.530000000027940,2200917.500000000000000,2509839.049999999813735,11625322.160000000149012
20110204,2534090.550000000745058,2351330.630000000353903,2040443.220000000204891,2215842.799999999813735,2505026.410000000149012,11646733.610000003129244
20110207,2556482.150000000372529,2364647.780000000260770,2039138.600000000093132,2185992.199999999720603,2524577.760000000707805,11670838.490000002086163
20110208,2560044.450000000186265,2366584.819999999832362,2050880.180000000167638,2199769.399999999906868,2496002.709999999962747,11673281.559999998658895
20110209,2539179.550000000745058,2330265.319999999832362,2060012.520000000018626,2187140.299999999813735,2483068.740000000223517,11599666.430000001564622
20110210,2559790.000000000000000,2341403.300000000279397,2072406.409999999916181,2184844.100000000093132,2502620.090000000782311,11661063.900000002235174
20110211,2634598.300000000745058,2335350.050000000279397,2073711.030000000027940,2161882.099999999627471,2491190.070000000298023,11696731.550000000745058
20110214,2627473.700000000186265,2347456.550000000279397,2059360.209999999962747,2187140.299999999813735,2554055.179999999701977,11775485.939999999478459
20110215,2620858.000000000000000,2332686.620000000111759,2061317.140000000130385,2187140.299999999813735,2495701.919999999925494,11697703.979999998584390
20110216,2634852.750000000000000,2340434.780000000260770,2067840.239999999990687,2213546.600000000093132,2517358.799999999813735,11774033.170000001788139
20110217,2630018.200000000186265,2352783.410000000149012,2105674.220000000204891,2223879.500000000000000,2523073.810000000521541,11835429.140000000596046
20110218,2693630.700000000186265,2390313.560000000055879,2105674.220000000204891,2203213.700000000186265,2541722.790000000037253,11934554.969999998807907
20110222,2595667.450000000186265,2429054.359999999869615,2079581.820000000065193,2168770.699999999720603,2569997.049999999813735,11843071.379999998956919
20110223,2545031.900000000372529,2476269.709999999962747,2084800.300000000046566,2153845.399999999906868,2619025.820000000298023,11878973.130000000819564
20110224,2559026.650000000372529,2470458.590000000316650,2083495.680000000167638,2169918.799999999813735,2585938.919999999925494,11868838.639999998733401
20110225,2595413.000000000000000,2472153.500000000000000,2097846.500000000000000,2165326.399999999906868,2566989.150000000372529,11897728.550000000745058
20110228,2619076.850000000558794,2512104.950000000186265,2084800.300000000046566,2208954.199999999720603,2572704.160000000149012,11997640.460000000894070
20110301,2540960.700000000186265,2491523.900000000372529,2117415.800000000279397,2197473.199999999720603,2550746.490000000223517,11898120.089999999850988
20110302,2569204.650000000372529,2505325.310000000055879,2101760.359999999869615,2203213.700000000186265,2559168.610000000335276,11938672.629999998956919
20110303,2652664.250000000000000,2522758.669999999925494,2138289.720000000204891,2269803.499999999534339,2581427.070000000298023,12164943.210000000894070
20110304,2621875.800000000745058,2512104.950000000186265,2126548.140000000130385,2257174.399999999906868,2559168.610000000335276,12076871.900000002235174
20110307,2598720.850000000558794,2494187.330000000540167,2127200.450000000186265,2251433.899999999906868,2548340.169999999925494,12019882.700000001117587
20110308,2649610.850000000558794,2512589.209999999962747,2140898.959999999962747,2259470.599999999627471,2544730.690000000409782,12107300.310000002384186
20110309,2604573.200000000186265,2473122.020000000018626,2140246.650000000372529,2257174.399999999906868,2538113.310000000521541,12013229.580000001937151
20110310,2503556.549999999813735,2399030.240000000223517,2129809.689999999944121,2222731.399999999906868,2447876.310000000521541,11703004.190000001341105
20110311,2545031.900000000372529,2419611.290000000502914,2114154.250000000000000,2235360.499999999534339,2470134.770000000484288,11784292.710000000894070
20110314,2597957.500000000000000,2440676.600000000093132,2085452.609999999869615,2274395.899999999441206,2477955.310000000521541,11876437.919999999925494
20110315,2563606.750000000000000,2451088.190000000409782,2056098.659999999916181,2268655.399999999906868,2448177.100000000558794,11787626.100000001490116
20110316,2554701.000000000000000,2409441.830000000540167,2009132.340000000083819,2215842.799999999813735,2385612.780000000260770,11574730.750000000000000
20110317,2623911.400000000372529,2475543.319999999832362,2031310.880000000121072,2282432.599999999627471,2441258.929999999701977,11854457.129999998956919
20110318,2673274.700000000186265,2489102.600000000093132,2045009.390000000130385,2316875.599999999627471,2431934.440000000409782,11956196.730000000447035
20110321,2737650.550000000745058,2546971.669999999925494,2073711.030000000027940,2293913.600000000093132,2491791.650000000372529,12144038.500000001862645
20110322,2717294.550000000745058,2547940.190000000409782,2071754.100000000093132,2289321.200000000186265,2483369.530000000260770,12109679.570000004023314
20110323,2716531.200000000186265,2553993.440000000409782,2096541.880000000121072,2287025.000000000000000,2484572.690000000409782,12138664.210000000894070
20110324,2757497.650000000372529,2551572.140000000130385,2110240.390000000130385,2330652.799999999813735,2488482.959999999962747,12238445.940000001341105
20110325,2775818.050000000745058,2585470.340000000316650,2127200.450000000186265,2336393.299999999813735,2515253.270000000484288,12340135.410000000149012
20110328,2783706.000000000000000,2567552.720000000204891,2121329.660000000149012,2327208.499999999534339,2510741.419999999925494,12310538.300000000745058
20110329,2812713.300000000745058,2599756.010000000242144,2143508.200000000186265,2339837.599999999627471,2504124.040000000037253,12399939.149999998509884
20110330,2837903.850000000558794,2615252.330000000540167,2153945.160000000149012,2335245.199999999720603,2541422.000000000000000,12483768.540000000968575
20110331,2833323.750000000000000,2602661.569999999832362,2163729.810000000055879,2331800.899999999441206,2530593.560000000521541,12462109.590000001713634
20110401,2878361.400000000372529,2622758.359999999869615,2192431.450000000186265,2339837.599999999627471,2547137.010000000707805,12580525.820000000298023
20110404,2884977.100000000558794,2620579.190000000409782,2206782.270000000018626,2358207.199999999720603,2552852.020000000484288,12623397.780000001192093
20110405,2857750.950000000186265,2647213.490000000223517,2200911.479999999981374,2347874.299999999813735,2569395.470000000670552,12623145.689999999478459
20110406,2824418.000000000000000,2630990.780000000260770,2206129.959999999962747,2329504.699999999720603,2562176.510000000707805,12553219.949999999254942
20110407,2795156.250000000000000,2637770.419999999925494,2199606.859999999869615,2334097.099999999627471,2579622.330000000074506,12546252.959999999031425
20110408,2794392.900000000372529,2655203.780000000260770,2194388.379999999888241,2349022.399999999906868,2585337.340000000782311,12578344.800000000745058
20110411,2775309.150000000372529,2609683.340000000316650,2198302.240000000223517,2373132.500000000000000,2561574.929999999701977,12518002.160000000149012
20110412,2711696.650000000372529,2522516.540000000502914,2181994.490000000223517,2349022.399999999906868,2502018.510000000707805,12267248.590000003576279
20110413,2738668.350000000558794,2513557.730000000447035,2194388.379999999888241,2349022.399999999906868,2501416.929999999701977,12297053.790000000968575
20110414,2737396.100000000558794,2539465.640000000130385,2228308.500000000000000,2352466.699999999720603,2509839.049999999813735,12367475.989999998360872
20110415,2727981.450000000186265,2572395.319999999832362,2218523.850000000093132,2357059.100000000093132,2535406.200000000186265,12411365.919999998062849
20110418,2643758.500000000000000,2530264.700000000186265,2195693.000000000000000,2342133.799999999813735,2499612.190000000409782,12211462.190000001341105
20110419,2699737.500000000000000,2552056.400000000372529,2187865.279999999795109,2357059.100000000093132,2520667.490000000223517,12317385.769999999552965
20110420,2755207.600000000558794,2610409.730000000447035,2212653.060000000055879,2340985.699999999720603,2576313.640000000596046,12495569.730000000447035
20110421,2784214.900000000372529,2618157.890000000130385,2213957.679999999701977,2272099.699999999720603,2597669.730000000447035,12486099.900000000372529
20110425,2769711.250000000000000,2600966.660000000149012,2209391.509999999776483,2312283.199999999720603,2593458.669999999925494,12485811.289999999105930
20110426,2848336.299999999813735,2633169.950000000186265,2183299.109999999869615,2318023.700000000186265,2629553.470000000670552,12612382.529999999329448
20110427,2865384.450000000186265,2638496.810000000055879,2185256.040000000037253,2368540.099999999627471,2640381.910000000149012,12698059.309999998658895
20110428,2866147.799999999813735,2634622.730000000447035,2198954.550000000279397,2391502.099999999627471,2627147.150000000372529,12718374.330000000074506
20110429,2936630.450000000186265,2649876.919999999925494,2200259.169999999925494,2407575.499999999534339,2646397.709999999962747,12840739.750000000000000
