代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13461907.450000001117587
真實報酬,3461907.450000001117587

夏普值報酬,0.337490745000000
夏普值風險,0.093670061934802
夏普值,3.602973437072209

預期報酬,29526.164735238096910
風險,185103.482181988278171
趨勢值,0.159511665513720
找到最佳解世代,1700
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](3),UNH[23](1),WBA[27](2),
20141111,3565870.600000000558794,3698160.679999999701977,3796179.969999999739230,11060212.250000000000000
20141112,3578587.500000000000000,3697774.210000000428408,3792805.629999999422580,11069168.339999999850988
20141113,3597117.840000000316650,3706276.550000000279397,3765810.909999999217689,11069206.300000000745058
20141114,3569504.000000000000000,3675745.419999999925494,3764123.740000000223517,11009374.160000000149012
20141117,3561873.860000000335276,3728305.339999999850988,3742752.919999999459833,11032933.119999999180436
20141118,3487389.160000000614673,3794778.179999999701977,3827673.810000000055879,11109842.150000000372529
20141119,3513549.640000000596046,3743377.669999999925494,3812489.280000000260770,11069417.589999999850988
20141120,3545160.220000000204891,3742991.199999999720603,3787181.729999999981374,11075334.150000000372529
20141121,3570957.360000000335276,3737580.619999999646097,3801241.479999999981374,11109780.460000000894070
20141124,3575317.440000000409782,3744923.550000000279397,3809114.939999999944121,11129356.929999999701977
20141125,3524813.180000000633299,3783570.550000000279397,3813614.060000000055879,11121998.790000000968575
20141126,3549883.640000000596046,3791686.419999999925494,3850731.799999999813735,11192302.859999999403954
20141128,3611651.440000000409782,3811782.859999999869615,3858605.259999999776483,11282040.560000000521541
20141201,3592757.760000000242144,3828401.070000000298023,3811364.499999999534339,11232524.330000000074506
20141202,3566597.280000000260770,3858159.259999999776483,3754000.719999999739230,11178758.259999999776483
20141203,3582220.900000000372529,3895646.850000000093132,3789431.289999999571592,11267300.039999999105930
20141204,3595301.140000000596046,3851975.740000000223517,3818675.569999999832362,11265953.450000001117587
20141205,3620371.600000000558794,3877482.759999999776483,3858042.869999999646097,11355898.230000000447035
20141208,3649075.460000000428408,3861637.490000000223517,3809114.939999999944121,11319828.890000000596046
20141209,3620371.600000000558794,3904149.189999999944121,3857480.479999999981374,11382002.270000001415610
20141210,3594937.800000000279397,3829560.479999999981374,3832735.319999999832362,11257234.599999999627471
20141211,3643262.020000000018626,3854294.560000000055879,4106056.859999999869615,11603614.439999999478459
20141212,3625458.360000000335276,3816806.970000000204891,4189852.969999999739230,11632119.300000000745058
20141215,3635268.540000000037253,3797869.939999999944121,4130239.629999999422580,11563379.109999999403954
20141216,3526629.880000000353903,3704344.199999999720603,4071188.679999999701977,11302163.759999999776483
20141217,3594937.800000000279397,3831492.830000000074506,4048693.079999999608845,11475124.710000000894070
20141218,3657795.620000000577420,3951298.529999999795109,4183104.289999999571592,11792199.439999999478459
20141219,3703576.460000000428408,3960960.279999999795109,4118429.439999999944121,11782967.179999999701977
20141222,3760620.840000000316650,3982216.130000000353903,4176917.999999999534339,11919755.970000000670552
20141223,3770067.680000000633299,3974873.199999999720603,4302893.360000000335276,12047835.240000002086163
20141224,3762800.880000000353903,3968303.210000000428408,4311891.599999999627471,12042996.690000001341105
20141226,3769704.340000000316650,3963279.100000000093132,4300081.409999999217689,12033065.849999999627471
20141229,3798044.860000000335276,3954776.759999999776483,4318640.280000000260770,12071462.900000000372529
20141230,3788598.020000000018626,3974873.199999999720603,4277023.419999999925494,12040495.640000000596046
20141231,3814031.820000000298023,3906854.479999999981374,4285459.269999999552965,12006346.570000000298023
20150102,3758077.460000000428408,3894873.910000000149012,4274211.469999999739230,11927163.839999999850988
20150105,3679232.680000000633299,3830719.890000000130385,4189852.969999999739230,11699806.539999999105930
20150106,3667969.140000000596046,3822990.490000000223517,4200538.379999999888241,11691499.010000001639128
20150107,3793684.780000000260770,3862023.960000000428408,4307954.869999999180436,11963664.609999999403954
20150108,3877616.320000000298023,4046370.149999999906868,4361381.919999999925494,12285369.390000000596046
20150109,3811125.100000000558794,4008496.089999999850988,4255652.599999999627471,12075274.789999999105930
20150112,3794048.120000000577420,3963279.100000000093132,4257339.769999999552965,12014667.990000000223517
20150113,3768977.660000000614673,3983375.539999999571592,4232594.610000000335276,11984948.810000000521541
20150114,3729373.600000000558794,3993423.759999999776483,4217410.079999999143183,11940208.439999999478459
20150115,3670149.180000000633299,4037094.869999999646097,4205599.889999999664724,11912844.940000001341105
20150116,3783147.920000000391155,4087722.439999999944121,4275898.639999999664724,12146770.000000000000000
20150120,3751537.340000000316650,4081925.390000000130385,4277023.419999999925494,12110487.150000000372529
20150121,3761710.860000000335276,4224919.290000000037253,4251153.479999999515712,12237784.629999998956919
20150122,3853999.220000000204891,4399990.200000000186265,4275336.249999999068677,12529326.669999998062849
20150123,3828565.420000000391155,4328493.250000000000000,4251153.479999999515712,12408213.149999998509884
20150126,3864536.080000000074506,4313420.919999999925494,4265213.229999999515712,12443171.230000000447035
20150127,3820935.280000000260770,4251585.719999999739230,4214035.740000000223517,12286557.740000000223517
20150128,3805675.000000000000000,4191682.869999999646097,4148798.499999999534339,12146157.369999999180436
20150129,3910316.920000000391155,4227624.580000000074506,4193789.699999999254942,12331732.199999999254942
20150130,3794048.120000000577420,4106273.000000000000000,4147673.719999999739230,12047995.839999999850988
20150202,3794411.460000000428408,4146465.880000000353903,4211786.179999999701977,12152664.519999999552965
20150203,3896510.000000000000000,4166562.320000000298023,4206162.280000000260770,12269235.600000001490116
20150204,3939020.780000000260770,4170813.490000000223517,4199413.599999999627471,12309248.870000001043081
20150205,3960094.500000000000000,4205595.790000000037253,4206162.280000000260770,12371853.570000000298023
20150206,3961911.200000000651926,4158446.449999999720603,4282647.320000000298023,12403005.970000000670552
20150209,3936477.400000000372529,4115548.279999999795109,4296707.070000000298023,12348733.750000000000000
20150210,4021135.620000000577420,4211392.839999999850988,4313016.379999999888241,12545545.839999999850988
20150211,4008055.380000000353903,4245402.200000000186265,4472735.139999999664724,12726193.719999998807907
20150212,4075273.280000000260770,4245015.730000000447035,4496917.909999999217689,12817207.919999999925494
20150213,4065463.100000000558794,4229556.929999999701977,4427743.940000000409782,12722764.970000000670552
20150217,4069459.840000000316650,4241923.969999999739230,4386689.469999999739230,12698074.280000001192093
20150218,4069096.500000000000000,4242310.439999999478459,4374879.280000000260770,12686287.219999998807907
20150219,4030945.800000000279397,4252358.660000000149012,4336074.369999999180436,12619379.830000000074506
20150220,4078180.000000000000000,4352454.390000000596046,4337761.539999999105930,12768396.929999999701977
20150223,4079633.360000000335276,4498540.049999999813735,4419870.479999999515712,12998044.890000000596046
20150224,4242046.339999999850988,4461052.459999999962747,4521100.679999999701977,13224200.480000000447035
20150225,4226059.380000000819564,4407719.599999999627471,4499729.860000000335276,13133509.839999999850988
20150226,4192268.760000000242144,4392647.269999999552965,4591961.820000000298023,13176878.849999999627471
20150227,4169378.340000000316650,4391487.859999999403954,4672383.589999999850988,13233250.789999999105930
20150302,4219155.919999999925494,4421246.049999999813735,4702752.650000000372529,13343155.619999999180436
20150303,4217339.220000000670552,4361729.669999999925494,4679694.659999999217689,13258764.550000000745058
20150304,4169741.680000000633299,4398830.790000000037253,4669009.249999999068677,13237582.719999998807907
20150305,4211525.779999999329448,4436318.379999999888241,4679132.269999999552965,13326977.429999999701977
20150306,4158478.140000000596046,4362502.609999999403954,4631329.119999999180436,13152310.869999999180436
20150309,4187545.340000000316650,4440569.549999999813735,4696003.969999999739230,13324119.859999999403954
20150310,4089806.880000000353903,4346270.870000000111759,4652137.549999999813735,13088216.300000000745058
20150311,4108337.220000000204891,4356319.089999999850988,4640327.360000000335276,13104984.670000001788139
20150312,4218429.240000000223517,4439796.609999999403954,4738183.219999999739230,13396410.070000000298023
20150313,4171921.720000000204891,4454096.000000000000000,4708376.549999999813735,13334395.269999999552965
20150316,4232962.839999999850988,4580471.689999999478459,4879905.499999999068677,13693341.029999997466803
20150317,4199535.560000000521541,4544916.450000000186265,4851223.610000000335276,13595676.620000001043081
20150318,4217702.560000000521541,4636123.370000000111759,4902963.490000000223517,13756790.419999999925494
20150319,4184275.280000000260770,4667040.969999999739230,4913086.509999999776483,13764403.759999999776483
20150320,4268933.500000000000000,4604432.830000000074506,4962014.440000000409782,13835381.769999999552965
20150323,4217339.220000000670552,4600568.129999999888241,4944580.349999999627471,13762488.700000001117587
20150324,4220245.940000001341105,4565012.890000000596046,4949079.469999999739230,13734339.300000000745058
20150325,4130500.960000000428408,4503950.629999999888241,4829852.789999999105930,13464305.379999998956919
20150326,4082903.420000000391155,4492743.000000000000000,4748868.629999999888241,13324516.050000000745058
20150327,4137041.080000000074506,4560761.719999999739230,4796671.780000000260770,13494475.580000001937151
20150330,4165018.260000000242144,4676316.250000000000000,4836039.079999999143183,13677374.589999999850988
20150331,4127957.580000000074506,4571582.879999999888241,4762365.990000000223517,13461907.450000001117587
