代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11634056.410000000149012
真實報酬,1634056.410000000149012

夏普值報酬,0.154705641000000
夏普值風險,0.051907387908552
夏普值,2.980416607989473

預期報酬,15556.909061688484144
風險,73571.341301163061871
趨勢值,0.211453383702854
找到最佳解世代,2021
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AAPL[0](3),CSCO[4](9),CVX[5](1),IBM[10](20),INTC[11](16),JNJ[12](4),MCD[15](18),TRV[22](5),UNH[23](15),
20140211,1189728.219999999739230,1151680.600000000093132,1130519.350000000093132,1130100.759999999776483,1107941.609999999869615,1167626.500000000000000,1124914.660000000149012,1137494.099999999860302,1085593.480000000214204,10225600.279999999329448
20140212,1189572.849999999860302,1158780.280000000260770,1115092.200000000186265,1133496.280000000027940,1111563.770000000018626,1160719.050000000046566,1119605.560000000055879,1124507.600000000093132,1079752.120000000111759,10193090.710000000894070
20140213,1208527.989999999990687,1129367.320000000065193,1119869.640000000130385,1143557.079999999841675,1118355.319999999832362,1162477.310000000055879,1126330.419999999925494,1132982.999999999767169,1094662.959999999962747,10236132.039999999105930
20140214,1207440.399999999906868,1144073.800000000046566,1129524.050000000046566,1155189.879999999888241,1121071.939999999944121,1164989.110000000102445,1130105.780000000027940,1148566.799999999813735,1130172.280000000027940,10331135.040000000968575
20140218,1211946.129999999888241,1136467.000000000000000,1121860.239999999990687,1152045.879999999888241,1121071.939999999944121,1157579.300000000046566,1132937.300000000046566,1153351.300000000046566,1134937.600000000093132,10322197.689999999478459
20140219,1192835.619999999878928,1129874.440000000176951,1130718.410000000149012,1150536.759999999776483,1109299.919999999925494,1150923.030000000027940,1127392.239999999990687,1148430.100000000093132,1130633.439999999944121,10270644.960000000894070
20140220,1179007.689999999711290,1130888.680000000167638,1140671.410000000149012,1158774.039999999804422,1120166.399999999906868,1160216.689999999944121,1129751.840000000083819,1145696.099999999860302,1129557.400000000139698,10294731.250000000000000
20140221,1165956.609999999869615,1122267.640000000130385,1121561.650000000139698,1149530.679999999934807,1105677.760000000009313,1149415.949999999953434,1138010.440000000176951,1145422.699999999953434,1134630.160000000149012,10232474.589999999850988
20140224,1170928.449999999953434,1121760.520000000018626,1136192.560000000055879,1153680.759999999776483,1115185.929999999934807,1144266.760000000009313,1138600.340000000083819,1140638.199999999953434,1168448.560000000055879,10289703.079999998211861
20140225,1158809.589999999850988,1107561.160000000149012,1144354.020000000018626,1152297.399999999906868,1114733.159999999916181,1144266.760000000009313,1140016.100000000093132,1139271.199999999953434,1157841.879999999888241,10259152.269999999552965
20140226,1148399.799999999813735,1112125.239999999990687,1149728.640000000130385,1157516.439999999944121,1122883.020000000018626,1144266.760000000009313,1131403.560000000055879,1140501.500000000000000,1169217.160000000149012,10276043.120000001043081
20140227,1171239.189999999711290,1111618.120000000111759,1151520.180000000167638,1165124.919999999925494,1121071.939999999944121,1147406.510000000009313,1121847.180000000167638,1146242.899999999906868,1168602.280000000027940,10304674.219999998807907
20140228,1168131.790000000037253,1105532.680000000167638,1147937.100000000093132,1164496.119999999878928,1121071.939999999944121,1156951.350000000093132,1122673.040000000037253,1146106.199999999953434,1187817.280000000027940,10320718.500000000000000
20140303,1171394.559999999823049,1093868.920000000158325,1143060.130000000121072,1158774.039999999804422,1109299.919999999925494,1149918.310000000055879,1112880.699999999953434,1137084.000000000000000,1185204.040000000037253,10261485.620000001043081
20140304,1179163.059999999823049,1106546.920000000158325,1147837.570000000065193,1172481.879999999888241,1114280.389999999897555,1172273.330000000074506,1120667.380000000121072,1149797.099999999860302,1201037.199999999953434,10364085.829999998211861
20140305,1181648.979999999748543,1109082.520000000018626,1138979.400000000139698,1176883.479999999748543,1109299.919999999925494,1162854.080000000074506,1121139.300000000046566,1153351.300000000046566,1198885.120000000111759,10352125.100000001490116
20140306,1178075.469999999739230,1106546.920000000158325,1143159.660000000149012,1180027.479999999748543,1115185.929999999934807,1166621.780000000027940,1127746.180000000167638,1153761.399999999906868,1193504.920000000158325,10364630.740000000223517
20140307,1177453.989999999990687,1101982.840000000083819,1145448.850000000093132,1180279.000000000000000,1115638.699999999953434,1172022.149999999906868,1126802.340000000083819,1147336.500000000000000,1189815.640000000130385,10356781.009999999776483
20140310,1178541.579999999841675,1099954.360000000102445,1153013.130000000121072,1172167.479999999748543,1124694.099999999860302,1173654.820000000065193,1123262.940000000176951,1145286.000000000000000,1197194.199999999953434,10367769.609999999403954
20140311,1189883.589999999850988,1095897.400000000139698,1139775.640000000130385,1174494.039999999804422,1119713.629999999888241,1174157.179999999934807,1165499.780000000027940,1142551.999999999767169,1195657.000000000000000,10397631.259999999776483
20140312,1191126.549999999813735,1106546.920000000158325,1151122.060000000055879,1171098.520000000018626,1121071.939999999944121,1175538.669999999925494,1164673.919999999925494,1140501.500000000000000,1192890.040000000037253,10414571.120000001043081
20140313,1177920.099999999860302,1091333.320000000065193,1139178.460000000195578,1156510.359999999869615,1112469.309999999823049,1168003.270000000018626,1148864.600000000093132,1129018.699999999953434,1183820.560000000055879,10307119.679999999701977
20140314,1164713.649999999906868,1082712.280000000260770,1135694.910000000149012,1145883.639999999897555,1109299.919999999925494,1165617.060000000055879,1151342.180000000167638,1129975.599999999860302,1163683.240000000223517,10248923.480000000447035
20140317,1169219.379999999888241,1090826.200000000186265,1145349.320000000065193,1168520.439999999944121,1118355.319999999832362,1179683.140000000130385,1151578.140000000130385,1142005.199999999953434,1179977.560000000055879,10345515.700000001117587
20140318,1179473.799999999813735,1096911.640000000130385,1156994.330000000074506,1174808.439999999944121,1123788.559999999823049,1179808.729999999981374,1148156.720000000204891,1147609.899999999906868,1199038.840000000083819,10406591.960000000894070
20140319,1179163.059999999823049,1096911.640000000130385,1146643.210000000195578,1161603.639999999897555,1132843.959999999962747,1175413.080000000074506,1133881.140000000130385,1137357.399999999906868,1229167.959999999962747,10392986.089999999850988
20140320,1173569.739999999990687,1107054.040000000037253,1149728.640000000130385,1181662.359999999869615,1151407.530000000027940,1182069.350000000093132,1139780.140000000130385,1137767.500000000000000,1253302.000000000000000,10476342.300000000745058
20140321,1182736.570000000065193,1097418.760000000009313,1150923.000000000000000,1173928.119999999878928,1139635.510000000009313,1204801.140000000130385,1126448.400000000139698,1145286.000000000000000,1250381.320000000065193,10471559.820000000298023
20140324,1196875.239999999990687,1093868.920000000158325,1153112.660000000149012,1183863.159999999916181,1137371.659999999916181,1195633.070000000065193,1134824.980000000214204,1146379.599999999860302,1249459.000000000000000,10491389.290000000968575
20140325,1209770.949999999953434,1132917.160000000149012,1165454.380000000121072,1226558.679999999934807,1152765.839999999850988,1223011.689999999944121,1131639.520000000018626,1148703.500000000000000,1246692.040000000037253,10637514.759999997913837
20140326,1198118.199999999953434,1131902.920000000158325,1171625.239999999990687,1211341.719999999972060,1149143.679999999934807,1218867.219999999972060,1130813.660000000149012,1140501.500000000000000,1253455.720000000204891,10605770.860000001266599
20140327,1192990.989999999990687,1116689.320000000065193,1171227.120000000111759,1193798.199999999953434,1145974.289999999804422,1221755.790000000037253,1134589.020000000018626,1141321.699999999720603,1245462.280000000027940,10563809.709999999031425
20140328,1191592.659999999916181,1132410.040000000037253,1179488.110000000102445,1197696.759999999776483,1160010.159999999916181,1223765.229999999981374,1147330.860000000102445,1148156.699999999720603,1254685.480000000214204,10635137.000000001862645
20140331,1191437.290000000037253,1136974.120000000111759,1183568.840000000083819,1210524.280000000027940,1168612.789999999804422,1233686.840000000083819,1156651.280000000027940,1163330.399999999906868,1260373.120000000111759,10705159.960000000894070
20140401,1202313.189999999711290,1171458.280000000260770,1184464.610000000102445,1223163.159999999916181,1176762.649999999906868,1230044.729999999981374,1155117.540000000037253,1153624.699999999953434,1258067.320000000065193,10755017.180000001564622
20140402,1204333.000000000000000,1165879.959999999962747,1187948.160000000149012,1217189.560000000055879,1172234.949999999953434,1233686.840000000083819,1151460.160000000149012,1157178.899999999906868,1254531.760000000009313,10744444.289999999105930
20140403,1195943.019999999785796,1170951.160000000149012,1184862.730000000214204,1211781.879999999888241,1195778.989999999990687,1234063.610000000102445,1152286.020000000018626,1161690.000000000000000,1264369.840000000083819,10771728.250000000000000
20140404,1180406.019999999785796,1151680.600000000093132,1182474.010000000009313,1205996.919999999925494,1184459.739999999990687,1236073.050000000046566,1154763.600000000093132,1164697.399999999906868,1253302.000000000000000,10713854.339999999850988
20140407,1161916.989999999990687,1158780.280000000260770,1167942.630000000121072,1223288.919999999925494,1199401.149999999906868,1229416.780000000027940,1144617.320000000065193,1161963.399999999906868,1246384.600000000093132,10693713.070000000298023
20140408,1161916.989999999990687,1163344.360000000102445,1172521.010000000009313,1215554.679999999934807,1218417.489999999990687,1231551.810000000055879,1157241.180000000167638,1158272.500000000000000,1239928.360000000102445,10718749.379999998956919
20140409,1177143.250000000000000,1172472.520000000018626,1185459.910000000149012,1236619.479999999748543,1221586.879999999888241,1242729.320000000065193,1160426.640000000130385,1173172.799999999813735,1251149.920000000158325,10820761.720000000670552
20140410,1161916.989999999990687,1148637.879999999888241,1161473.180000000167638,1230583.000000000000000,1196684.530000000027940,1212462.130000000121072,1173168.480000000214204,1161826.699999999720603,1229629.120000000111759,10676383.010000001639128
20140411,1153371.639999999897555,1139002.600000000093132,1164857.200000000186265,1227501.879999999888241,1185365.280000000027940,1216606.600000000093132,1171516.760000000242144,1166064.399999999906868,1213642.240000000223517,10637929.600000001490116
20140414,1158032.739999999990687,1158780.280000000260770,1181478.710000000195578,1243724.919999999925494,1202570.539999999804422,1219997.530000000027940,1181191.120000000111759,1168798.399999999906868,1217177.800000000279397,10731753.040000000968575
20140415,1149642.759999999776483,1160808.760000000009313,1197403.510000000009313,1239008.919999999925494,1212078.709999999962747,1245869.070000000065193,1189685.680000000167638,1174129.699999999953434,1222250.560000000055879,10790878.669999999925494
20140416,1151973.309999999823049,1167908.440000000176951,1212631.600000000093132,1235110.359999999869615,1219323.030000000027940,1240217.520000000018626,1189685.680000000167638,1186296.000000000000000,1201959.520000000018626,10805106.459999999031425
20140417,1165179.759999999776483,1177036.600000000093132,1231044.650000000139698,1194930.039999999804422,1224303.500000000000000,1242854.909999999916181,1182842.840000000083819,1184929.000000000000000,1164913.000000000000000,10768035.300000000745058
20140421,1179007.689999999711290,1186671.879999999888241,1236618.330000000074506,1209140.919999999925494,1220228.569999999832362,1255916.270000000018626,1176000.000000000000000,1181101.399999999906868,1152154.240000000223517,10796840.299999998882413
20140422,1180250.649999999906868,1192757.320000000065193,1234229.610000000102445,1208386.359999999869615,1215248.099999999860302,1258176.890000000130385,1171870.699999999953434,1187799.699999999953434,1164605.560000000055879,10813325.889999998733401
20140423,1164713.649999999906868,1191743.080000000074506,1241097.180000000167638,1205745.399999999906868,1211173.169999999925494,1258679.250000000000000,1169629.080000000074506,1204750.499999999767169,1157995.600000000093132,10805527.910000000149012
20140424,1260266.199999999953434,1183122.040000000037253,1237215.510000000009313,1196250.520000000018626,1211173.169999999925494,1255413.909999999916181,1178005.660000000149012,1211038.699999999953434,1177364.320000000065193,10909851.029999999329448
20140425,1269588.399999999906868,1166387.080000000074506,1234130.080000000074506,1192540.599999999860302,1188987.439999999944121,1253278.880000000121072,1188505.880000000121072,1207211.099999999860302,1163068.360000000102445,10863698.819999998435378
20140428,1318685.320000000065193,1167401.320000000065193,1251448.300000000046566,1214611.479999999748543,1192156.829999999841675,1272745.330000000074506,1183550.720000000204891,1225392.199999999953434,1164298.120000000111759,10990290.620000001043081
20140429,1314801.070000000065193,1174501.000000000000000,1253837.020000000018626,1226998.840000000083819,1198948.379999999888241,1268852.040000000037253,1197590.340000000083819,1242616.399999999906868,1155997.240000000223517,11034143.330000001937151
20140430,1309829.229999999748543,1171965.400000000139698,1249358.170000000158325,1235550.520000000018626,1208456.550000000046566,1272117.380000000121072,1196174.580000000074506,1238241.999999999767169,1153537.720000000204891,11035232.550000000745058
20140501,1312936.629999999888241,1166894.200000000186265,1243585.430000000167638,1217063.799999999813735,1197590.069999999832362,1262572.540000000037253,1191219.419999999925494,1241659.499999999767169,1152154.240000000223517,10985676.830000000074506
20140502,1315267.179999999934807,1163344.360000000102445,1241395.770000000018626,1203921.879999999888241,1195778.989999999990687,1247250.560000000055879,1196764.480000000214204,1243983.399999999906868,1153384.000000000000000,10961091.620000001043081
20140505,1333911.579999999841675,1164358.600000000093132,1247765.690000000176951,1202790.039999999804422,1184912.510000000009313,1255916.270000000018626,1193343.060000000055879,1239198.899999999906868,1156458.400000000139698,10978656.050000000745058
20140506,1319462.169999999925494,1152187.719999999972060,1243884.020000000018626,1195055.799999999813735,1186270.819999999832362,1249762.360000000102445,1191101.440000000176951,1228672.999999999767169,1156919.560000000055879,10923317.890000000596046
20140507,1314801.070000000065193,1159794.520000000018626,1256424.800000000046566,1190465.560000000055879,1193967.909999999916181,1267344.959999999962747,1203017.419999999925494,1244940.299999999813735,1197655.360000000102445,11028412.899999998509884
20140508,1305168.129999999888241,1167401.320000000065193,1245078.380000000121072,1188013.239999999990687,1192609.599999999860302,1262195.770000000018626,1202899.440000000176951,1247264.199999999720603,1181975.920000000158325,10992606.999999998137355
20140509,1299730.179999999934807,1167401.320000000065193,1244481.200000000186265,1195370.199999999953434,1190798.520000000018626,1267344.959999999962747,1214461.480000000214204,1248084.399999999906868,1182898.240000000223517,11010571.500000000000000
20140512,1315888.659999999916181,1176022.360000000102445,1246571.330000000074506,1211027.319999999832362,1193967.909999999916181,1262446.949999999953434,1213635.620000000111759,1258200.199999999953434,1195042.120000000111759,11072803.469999998807907
20140513,1317908.469999999739230,1159287.400000000139698,1252642.660000000149012,1208637.879999999888241,1197590.069999999832362,1268726.449999999953434,1221540.280000000027940,1270093.099999999860302,1199653.720000000204891,11096081.030000001192093
20140514,1318219.209999999962747,1156751.800000000046566,1258315.870000000111759,1186818.520000000018626,1192156.829999999841675,1266842.600000000093132,1215641.280000000027940,1266538.899999999906868,1186280.080000000074506,11047566.089999999850988
20140515,1307032.570000000065193,1226227.239999999990687,1232338.540000000037253,1172607.639999999897555,1177668.189999999944121,1264581.979999999981374,1209388.340000000083819,1262711.300000000046566,1175673.400000000139698,11028230.200000001117587
20140516,1326298.449999999953434,1235862.520000000018626,1226068.150000000139698,1176380.439999999944121,1169065.559999999823049,1263200.489999999990687,1216939.060000000055879,1265581.999999999767169,1178286.640000000130385,11057684.310000000521541
20140519,1341990.820000000065193,1234848.280000000260770,1223778.960000000195578,1176003.159999999916181,1179026.500000000000000,1263954.030000000027940,1204551.160000000149012,1268179.299999999813735,1186741.240000000223517,11079074.450000001117587
20140520,1342301.559999999823049,1223184.520000000018626,1219300.110000000102445,1162735.479999999748543,1179026.500000000000000,1259056.020000000018626,1197944.280000000027940,1266812.300000000046566,1178440.360000000102445,11028802.129999998956919
20140521,1345875.070000000065193,1241440.840000000083819,1235822.090000000083819,1172167.479999999748543,1186270.819999999832362,1270233.530000000027940,1210096.220000000204891,1269409.599999999860302,1194734.680000000167638,11126051.329999998211861
20140522,1347894.879999999888241,1236369.640000000130385,1230547.000000000000000,1167703.000000000000000,1184006.969999999972060,1267972.909999999916181,1208798.440000000176951,1271460.100000000093132,1204265.320000000065193,11119019.259999999776483
20140523,1363121.139999999897555,1243469.320000000065193,1227959.220000000204891,1169337.879999999888241,1190345.750000000000000,1268224.090000000083819,1203489.340000000083819,1269409.599999999860302,1210875.280000000027940,11146232.619999999180436
20140527,1388757.189999999711290,1253104.600000000093132,1222684.130000000121072,1162043.799999999813735,1209362.089999999850988,1266089.060000000055879,1207736.620000000111759,1278021.699999999720603,1216101.760000000009313,11203901.949999997392297
20140528,1385028.309999999823049,1258682.920000000158325,1219499.170000000158325,1151354.199999999953434,1217059.179999999934807,1259683.969999999972060,1195230.739999999990687,1277611.599999999860302,1207954.600000000093132,11172105.689999999478459
20140529,1410353.619999999878928,1251583.239999999990687,1217508.570000000065193,1155630.039999999804422,1220681.339999999850988,1265461.110000000102445,1195702.660000000149012,1286360.399999999906868,1220098.480000000214204,11223380.460000000894070
20140530,1405071.040000000037253,1248540.520000000018626,1222186.480000000214204,1159402.840000000083819,1236981.059999999823049,1274252.409999999916181,1196764.480000000214204,1277474.899999999906868,1224095.199999999953434,11244769.929999999701977
20140602,1395438.099999999860302,1256654.440000000176951,1216413.739999999990687,1167765.879999999888241,1234264.439999999944121,1283169.300000000046566,1203843.280000000027940,1281029.099999999860302,1221635.680000000167638,11260214.959999999031425
20140603,1415170.089999999850988,1251583.239999999990687,1219797.760000000009313,1159465.719999999972060,1252375.239999999990687,1286811.409999999916181,1197000.440000000176951,1276928.099999999860302,1227938.199999999953434,11287071.199999999254942
20140604,1431328.570000000065193,1242455.080000000074506,1217807.160000000149012,1160346.039999999804422,1249658.619999999878928,1289574.390000000130385,1208680.459999999962747,1294152.300000000046566,1237622.560000000055879,11331626.180000001564622
20140605,1436921.889999999897555,1252597.479999999981374,1229452.170000000158325,1169589.399999999906868,1252375.239999999990687,1296356.250000000000000,1208798.440000000176951,1298253.299999999813735,1226708.439999999944121,11371053.609999997541308
20140606,1432882.269999999785796,1259190.040000000037253,1236120.680000000167638,1172041.719999999972060,1275466.510000000009313,1295853.890000000130385,1203017.419999999925494,1289914.599999999860302,1228706.800000000279397,11393194.929999999701977
20140609,1455877.030000000027940,1257668.680000000167638,1237912.220000000204891,1171098.520000000018626,1263694.489999999990687,1296356.250000000000000,1196174.580000000074506,1294015.599999999860302,1226093.560000000055879,11398891.929999999701977
20140610,1464422.379999999888241,1267811.080000000074506,1247566.630000000121072,1158962.679999999934807,1278635.899999999906868,1307408.169999999925494,1190275.580000000074506,1300030.399999999906868,1226862.160000000149012,11441975.980000000447035
20140611,1458362.949999999953434,1269839.560000000055879,1245974.150000000139698,1146135.159999999916181,1264600.030000000027940,1297612.149999999906868,1184848.500000000000000,1297296.399999999906868,1232396.080000000074506,11397065.980000000447035
20140612,1433969.859999999869615,1250569.000000000000000,1255230.440000000176951,1139658.520000000018626,1265958.339999999850988,1287690.540000000037253,1177061.820000000065193,1298663.399999999906868,1221174.520000000018626,11329977.439999999478459
20140613,1418277.489999999990687,1252597.479999999981374,1266676.390000000130385,1148084.439999999944121,1352437.409999999916181,1287690.540000000037253,1185674.360000000102445,1304268.099999999860302,1217177.800000000279397,11432885.009999999776483
20140616,1432571.530000000027940,1243976.440000000176951,1279416.229999999981374,1146763.959999999962747,1358776.189999999944121,1286685.820000000065193,1192871.140000000130385,1304951.599999999860302,1199038.840000000083819,11445052.750000000000000
20140617,1430707.089999999850988,1242455.080000000074506,1282302.600000000325963,1146198.039999999804422,1356059.569999999832362,1280155.140000000130385,1194876.800000000046566,1301670.799999999813735,1201652.080000000074506,11436078.200000001117587
20140618,1432260.790000000037253,1249047.640000000130385,1296734.450000000186265,1154623.959999999962747,1355154.030000000027940,1291207.060000000055879,1195820.640000000130385,1304131.399999999906868,1217638.959999999962747,11496619.929999999701977
20140619,1427288.949999999953434,1253104.600000000093132,1313754.080000000307336,1149719.319999999832362,1362398.349999999860302,1303766.060000000055879,1202427.520000000018626,1306865.399999999906868,1237622.560000000055879,11556947.839999999850988
20140620,1412528.799999999813735,1259190.040000000037253,1317237.630000000121072,1141733.560000000055879,1367378.819999999832362,1322102.199999999953434,1202545.500000000000000,1293058.699999999953434,1251457.360000000102445,11567233.609999999403954
20140623,1411285.839999999850988,1252597.479999999981374,1323607.550000000046566,1145443.479999999748543,1368737.129999999888241,1315571.520000000018626,1202427.520000000018626,1297979.899999999906868,1252687.120000000111759,11570338.539999999105930
20140624,1402740.489999999990687,1243976.440000000176951,1311564.420000000158325,1137520.599999999860302,1380961.919999999925494,1313562.080000000074506,1197236.400000000139698,1294152.300000000046566,1256530.120000000111759,11538245.769999999552965
20140625,1403983.449999999953434,1253611.719999999972060,1306189.800000000046566,1136514.520000000018626,1398167.179999999934807,1328256.110000000102445,1198888.120000000111759,1296749.599999999860302,1265753.320000000065193,11588114.820000000298023
20140626,1412373.429999999934807,1250061.879999999888241,1303104.369999999878928,1134313.719999999972060,1393639.479999999981374,1326874.620000000111759,1197708.320000000065193,1290598.099999999860302,1264984.720000000204891,11573659.639999998733401
20140627,1429153.389999999897555,1252597.479999999981374,1297530.690000000176951,1142739.639999999897555,1400431.030000000027940,1318585.679999999934807,1197118.419999999925494,1283899.800000000046566,1260526.840000000083819,11582583.970000000670552
20140630,1443913.540000000037253,1260204.280000000260770,1299421.760000000242144,1139972.919999999925494,1399072.719999999972060,1313938.850000000093132,1188623.860000000102445,1285950.299999999813735,1256683.840000000083819,11587783.070000000298023
20140701,1453080.369999999878928,1271868.040000000037253,1299322.229999999981374,1171915.959999999962747,1402694.879999999888241,1329637.600000000093132,1191691.340000000083819,1301534.099999999860302,1258835.920000000158325,11680581.439999999478459
20140702,1452458.889999999897555,1269332.440000000176951,1296236.800000000046566,1184743.479999999748543,1402694.879999999888241,1329512.010000000009313,1186146.280000000027940,1293468.800000000046566,1268059.120000000111759,11682653.699999999254942
20140703,1461004.239999999990687,1277446.360000000102445,1305791.680000000167638,1185623.799999999813735,1409939.199999999953434,1323986.050000000046566,1191455.380000000121072,1296476.199999999953434,1281279.040000000037253,11733002.949999999254942
20140707,1491146.019999999785796,1279474.840000000083819,1298625.520000000018626,1182542.679999999934807,1404958.729999999981374,1337173.000000000000000,1181899.000000000000000,1292511.899999999906868,1263908.680000000167638,11732241.369999999180436
20140708,1481513.079999999841675,1271360.920000000158325,1292952.310000000055879,1177386.520000000018626,1394092.250000000000000,1327753.750000000000000,1180955.160000000149012,1286907.199999999953434,1259450.800000000279397,11672372.990000000223517
20140709,1482134.559999999823049,1290124.360000000102445,1307782.280000000027940,1184932.119999999878928,1398619.949999999953434,1331772.630000000121072,1192517.199999999953434,1294562.399999999906868,1271902.120000000111759,11754348.620000001043081
20140710,1476696.609999999869615,1290124.360000000102445,1296435.860000000102445,1180404.759999999776483,1415372.439999999944121,1328758.469999999972060,1186736.180000000167638,1289094.399999999906868,1261756.600000000093132,11725380.679999999701977
20140711,1479493.269999999785796,1294181.320000000065193,1278719.520000000018626,1182291.159999999916181,1414919.669999999925494,1319967.169999999925494,1184258.600000000093132,1294289.000000000000000,1273900.480000000214204,11722021.189999999478459
20140714,1498603.780000000027940,1290124.360000000102445,1286582.389999999897555,1193986.840000000083819,1425786.149999999906868,1323483.689999999944121,1185438.400000000139698,1306318.599999999860302,1295421.280000000027940,11805746.489999998360872
20140715,1481046.969999999739230,1301788.120000000111759,1286582.389999999897555,1185372.280000000027940,1435747.089999999850988,1297109.790000000037253,1183432.739999999990687,1311649.899999999906868,1289733.640000000130385,11772463.919999999925494
20140716,1472656.989999999990687,1317508.840000000083819,1302805.780000000027940,1209706.840000000083819,1568861.469999999972060,1283797.250000000000000,1171280.800000000046566,1307138.800000000046566,1287581.560000000055879,11921339.330000001937151
20140717,1446399.459999999962747,1299759.640000000130385,1294743.850000000325963,1210524.280000000027940,1525848.320000000065193,1260563.100000000093132,1160662.600000000093132,1294562.399999999906868,1308333.760000000009313,11801398.410000000149012
20140718,1467219.040000000037253,1313959.000000000000000,1297829.280000000027940,1210587.159999999916181,1525848.320000000065193,1278522.469999999972060,1167977.360000000102445,1303311.199999999953434,1314636.280000000027940,11879891.109999999403954
20140721,1459605.909999999916181,1310916.280000000260770,1306786.979999999981374,1200211.959999999962747,1542148.040000000037253,1271866.199999999953434,1150988.239999999990687,1302217.600000000093132,1307565.160000000149012,11852307.370000001043081
20140722,1471724.769999999785796,1315987.479999999981374,1319626.350000000325963,1220585.079999999841675,1575200.250000000000000,1286937.000000000000000,1135886.800000000046566,1252595.499999999767169,1322783.439999999944121,11901327.669999999925494
20140723,1510101.159999999916181,1302295.239999999990687,1332565.250000000000000,1217692.599999999860302,1562069.919999999925494,1283420.479999999981374,1125032.640000000130385,1254646.000000000000000,1321092.520000000018626,11908916.810000000521541
20140724,1507615.239999999990687,1309902.040000000037253,1342219.660000000149012,1227816.280000000027940,1550750.669999999925494,1283546.070000000065193,1125032.640000000130385,1269682.999999999767169,1317095.800000000279397,11933662.400000002235174
20140725,1517558.919999999925494,1317001.719999999972060,1329479.820000000065193,1222534.359999999869615,1550750.669999999925494,1282415.760000000009313,1129397.900000000139698,1259020.399999999906868,1301723.800000000279397,11909884.350000001490116
20140728,1538533.869999999878928,1314466.120000000111759,1326195.330000000307336,1231211.799999999813735,1549845.129999999888241,1282415.760000000009313,1130105.780000000027940,1256012.999999999767169,1318171.840000000083819,11946959.629999998956919
20140729,1528590.189999999711290,1303816.600000000093132,1318033.869999999878928,1223603.319999999832362,1548034.049999999813735,1280531.909999999916181,1130577.699999999953434,1245623.800000000046566,1295421.280000000027940,11874233.720000000670552
20140730,1525016.679999999934807,1299759.640000000130385,1319128.700000000186265,1220019.159999999916181,1555278.369999999878928,1284801.969999999972060,1132111.440000000176951,1243163.199999999953434,1275130.240000000223517,11854410.400000000372529
20140731,1485397.329999999841675,1279474.840000000083819,1286383.330000000307336,1205368.119999999878928,1534450.949999999953434,1257046.580000000074506,1115712.220000000204891,1224298.599999999860302,1245923.439999999944121,11634056.410000000149012
