代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11714138.350000001490116
真實報酬,1714138.350000001490116

夏普值報酬,0.162713835000000
夏普值風險,0.046452982153682
夏普值,3.502764030556504

預期報酬,13300.484568209913050
風險,69925.408304898126516
趨勢值,0.190209608933785
找到最佳解世代,2194
找到最佳解實驗#,4
找到最佳解次數,24

stock[index](rank)
投資組合檔數,9
AAPL[0](13),AXP[1](6),BA[2](2),DD[7](12),JNJ[12](8),MCD[15](4),MRK[17](20),UNH[23](3),V[25](1),
20170518,1179866.259999999776483,1070873.599999999860302,1066449.270000000018626,1071851.159999999916181,1142607.500000000000000,1167326.199999999953434,1138919.559999999823049,1089320.209999999962747,1117079.199999999720603,10044293.959999997168779
20170519,1183887.939999999944121,1076762.000000000000000,1086646.229999999748543,1084399.399999999906868,1142877.469999999972060,1176377.800000000046566,1136958.699999999953434,1096562.630000000121072,1126457.800000000046566,10110930.970000000670552
20170522,1191080.560000000055879,1079285.600000000093132,1104138.239999999757856,1078932.840000000083819,1145217.209999999962747,1176695.400000000139698,1141593.459999999962747,1109967.459999999962747,1136567.199999999953434,10163478.969999998807907
20170523,1189611.100000000093132,1082370.000000000000000,1103056.260000000009313,1075454.119999999878928,1147556.949999999953434,1173757.600000000093132,1150684.719999999972060,1113271.020000000018626,1143266.199999999953434,10179028.970000000670552
20170524,1186053.459999999962747,1081248.400000000139698,1113635.619999999878928,1087256.919999999925494,1147466.959999999962747,1187096.800000000046566,1157458.600000000093132,1115621.630000000121072,1154837.199999999953434,10230676.589999999850988
20170525,1190152.479999999981374,1085734.800000000046566,1124575.639999999897555,1073093.560000000055879,1147646.939999999944121,1189320.000000000000000,1159419.459999999962747,1131250.010000000242144,1157638.600000000093132,10258832.490000000223517
20170526,1188141.639999999897555,1086015.199999999953434,1121690.359999999869615,1080423.719999999972060,1142157.550000000046566,1189955.200000000186265,1157280.339999999850988,1127755.860000000102445,1153132.000000000000000,10246552.869999999180436
20170530,1188605.679999999701977,1080827.800000000046566,1123433.549999999813735,1077317.719999999972060,1143867.359999999869615,1190511.000000000000000,1156567.299999999813735,1121974.630000000121072,1153741.000000000000000,10236847.039999999105930
20170531,1181567.739999999757856,1078724.800000000046566,1127941.799999999813735,1096326.439999999944121,1154126.219999999972060,1198133.399999999906868,1160667.280000000027940,1113016.900000000139698,1159952.800000000046566,10270458.379999998956919
20170601,1184816.020000000018626,1097511.600000000093132,1126078.389999999897555,1110489.799999999813735,1158895.689999999944121,1210043.399999999906868,1163341.179999999934807,1140970.100000000093132,1162023.399999999906868,10354170.580000000074506
20170602,1202372.199999999720603,1100455.799999999813735,1143570.399999999906868,1115583.639999999897555,1170594.390000000130385,1220762.400000000139698,1167084.639999999897555,1139763.030000000027940,1171158.399999999906868,10431345.900000000372529
20170605,1190616.520000000018626,1107185.399999999906868,1135876.319999999832362,1118441.159999999916181,1173114.110000000102445,1213219.399999999906868,1159954.239999999757856,1139635.970000000204891,1176030.399999999906868,10414074.520000001415610
20170606,1194638.199999999720603,1105503.000000000000000,1122652.119999999878928,1127634.919999999925494,1177343.640000000130385,1200833.000000000000000,1152823.839999999850988,1148847.820000000065193,1166773.600000000093132,10397051.139999998733401
20170607,1201753.479999999981374,1118962.199999999953434,1130766.969999999739230,1131983.319999999832362,1176623.719999999972060,1206470.400000000139698,1141949.979999999981374,1164031.490000000223517,1170427.599999999860302,10442970.159999998286366
20170608,1198814.560000000055879,1120925.000000000000000,1141767.099999999860302,1131859.079999999841675,1174823.920000000158325,1202421.000000000000000,1126619.619999999878928,1154374.930000000167638,1170427.599999999860302,10422033.810000000521541
20170609,1152333.219999999739230,1125972.199999999953434,1142368.199999999953434,1145525.479999999981374,1183642.939999999944121,1202818.000000000000000,1147832.559999999823049,1152913.740000000223517,1151792.199999999953434,10405199.539999999105930
20170612,1124800.179999999701977,1124009.400000000139698,1142187.869999999878928,1132604.519999999785796,1186252.649999999906868,1178918.600000000093132,1147832.559999999823049,1138873.610000000102445,1138881.399999999906868,10314361.789999999105930
20170613,1133848.959999999962747,1129897.800000000046566,1148739.859999999869615,1154719.239999999990687,1188052.449999999953434,1189637.600000000093132,1127867.439999999944121,1150309.010000000242144,1158125.799999999813735,10381199.160000000149012
20170614,1122789.339999999850988,1133402.800000000046566,1156494.049999999813735,1141798.280000000027940,1194801.699999999953434,1196466.000000000000000,1129650.039999999804422,1158631.440000000176951,1161048.999999999767169,10395083.650000000372529
20170615,1116060.759999999776483,1131440.000000000000000,1174947.819999999832362,1134095.399999999906868,1197231.429999999934807,1200356.599999999860302,1126441.359999999869615,1146052.500000000000000,1147042.000000000000000,10373668.869999999180436
20170616,1100438.080000000074506,1141955.000000000000000,1180898.709999999962747,1139313.479999999981374,1209020.119999999878928,1206867.400000000139698,1122519.639999999897555,1153993.750000000000000,1147042.000000000000000,10402049.179999999701977
20170619,1131915.459999999962747,1147983.599999999860302,1196767.750000000000000,1153973.799999999813735,1206500.399999999906868,1215998.399999999906868,1135176.099999999860302,1162824.420000000158325,1154593.600000000093132,10505734.529999999329448
20170620,1121629.239999999757856,1156816.200000000186265,1192259.500000000000000,1151861.719999999972060,1207850.250000000000000,1223382.600000000093132,1150328.199999999953434,1164412.670000000158325,1149599.799999999813735,10518141.179999999701977
20170621,1128280.479999999981374,1152610.199999999953434,1197308.739999999757856,1126765.239999999990687,1214059.560000000055879,1220683.000000000000000,1166906.379999999888241,1174895.120000000111759,1151548.600000000093132,10533058.319999998435378
20170622,1126424.319999999832362,1153171.000000000000000,1198931.709999999962747,1129374.280000000027940,1224318.420000000158325,1229178.800000000046566,1176888.939999999944121,1184932.860000000102445,1144362.399999999906868,10567583.729999998584390
20170623,1131451.419999999925494,1152750.399999999906868,1215702.399999999906868,1123038.040000000037253,1227738.040000000037253,1227908.399999999906868,1179384.579999999841675,1176991.610000000102445,1164215.799999999813735,10599181.689999997615814
20170626,1127893.779999999795109,1163125.199999999953434,1202177.649999999906868,1124777.399999999906868,1226928.129999999888241,1222509.200000000186265,1175106.339999999850988,1176165.720000000204891,1159831.000000000000000,10578515.419999999925494
20170627,1111729.719999999739230,1164807.599999999860302,1195625.659999999683350,1116329.079999999841675,1214959.459999999962747,1220603.600000000093132,1168332.459999999962747,1172862.160000000149012,1155933.399999999906868,10521184.139999998733401
20170628,1127971.120000000111759,1177285.399999999906868,1200013.689999999944121,1119062.359999999869615,1204250.649999999906868,1225208.800000000046566,1161558.579999999841675,1179850.459999999962747,1172132.800000000046566,10567334.860000001266599
20170629,1111343.020000000018626,1172518.599999999860302,1187029.929999999934807,1109495.879999999888241,1193631.829999999841675,1215919.000000000000000,1146941.260000000009313,1177118.670000000158325,1150087.000000000000000,10464086.189999999478459
20170630,1113972.580000000074506,1181070.799999999813735,1188773.119999999878928,1115956.359999999869615,1190482.179999999934807,1216157.199999999953434,1142484.760000000009313,1178071.620000000111759,1142291.799999999813735,10469261.419999998062849
20170703,1109950.899999999906868,1193128.000000000000000,1193822.359999999869615,1131362.119999999878928,1195971.570000000065193,1210916.800000000046566,1145693.439999999944121,1185885.810000000055879,1137054.399999999906868,10503786.400000000372529
20170705,1114513.959999999962747,1190183.800000000046566,1213177.779999999795109,1122168.359999999869615,1202630.829999999841675,1215442.600000000093132,1143732.579999999841675,1196050.610000000102445,1145093.199999999953434,10542994.719999998807907
20170706,1103995.719999999739230,1174060.799999999813735,1211194.149999999906868,1124653.159999999916181,1192551.949999999953434,1215601.400000000139698,1124837.020000000018626,1187728.180000000167638,1135836.399999999906868,10470459.779999999329448
20170707,1115210.020000000018626,1182332.599999999860302,1216543.939999999944121,1130492.439999999944121,1192731.929999999934807,1240850.600000000093132,1125906.579999999841675,1194208.240000000223517,1143997.000000000000000,10542274.349999999627471
20170710,1122015.939999999944121,1181912.000000000000000,1226101.429999999934807,1141549.799999999813735,1183822.920000000158325,1234895.600000000093132,1120024.000000000000000,1187791.709999999962747,1158247.599999999860302,10556361.999999998137355
20170711,1125650.919999999925494,1179949.199999999953434,1239986.839999999850988,1142171.000000000000000,1180943.239999999990687,1230052.199999999953434,1111289.260000000009313,1181438.709999999962747,1162145.199999999953434,10553627.570000000298023
20170712,1127275.060000000055879,1189202.399999999906868,1241008.709999999962747,1172734.040000000037253,1189942.239999999990687,1243312.000000000232831,1119132.699999999953434,1186139.930000000167638,1171523.800000000046566,10640271.880000000819564
20170713,1142975.080000000074506,1196913.400000000139698,1239746.399999999906868,1160807.000000000000000,1186612.610000000102445,1231084.399999999906868,1121093.559999999823049,1178452.800000000046566,1168600.599999999860302,10626286.849999999627471
20170714,1152797.259999999776483,1195651.600000000093132,1253451.479999999748543,1171988.599999999860302,1193271.869999999878928,1232990.000000000000000,1124123.979999999981374,1187474.060000000055879,1180658.800000000046566,10692408.650000000372529
20170717,1156818.939999999944121,1194810.399999999906868,1256396.869999999878928,1169876.519999999785796,1189222.320000000065193,1232831.199999999953434,1116102.280000000027940,1183979.910000000149012,1179440.799999999813735,10679480.240000002086163
20170718,1160840.620000000111759,1199016.399999999906868,1251828.510000000009313,1163291.799999999813735,1210010.010000000009313,1222509.200000000186265,1112537.079999999841675,1187156.410000000149012,1188575.799999999813735,10695766.830000001937151
20170719,1168110.580000000074506,1204764.600000000093132,1267697.549999999813735,1181430.840000000083819,1216759.260000000009313,1221953.399999999906868,1116280.539999999804422,1202022.430000000167638,1196736.399999999906868,10775756.600000001490116
20170720,1162851.459999999962747,1196633.000000000000000,1264090.949999999953434,1174721.879999999888241,1228997.899999999906868,1224494.200000000186265,1121984.859999999869615,1216697.860000000102445,1195031.199999999953434,10785504.309999998658895
20170721,1162310.080000000074506,1199997.800000000046566,1275271.409999999683350,1170249.239999999990687,1217659.159999999916181,1222191.599999999860302,1116458.800000000046566,1218476.700000000186265,1213179.399999999906868,10795795.189999999478459
20170724,1176385.959999999962747,1191726.000000000000000,1275511.849999999860302,1171615.879999999888241,1196961.459999999962747,1205755.800000000046566,1115389.239999999990687,1212822.530000000027940,1222558.000000000000000,10768727.719999998807907
20170725,1181413.060000000055879,1197474.199999999953434,1277194.929999999934807,1182797.479999999981374,1186792.589999999850988,1263082.600000000093132,1111645.780000000027940,1209709.560000000055879,1217929.599999999860302,10828040.799999998882413
20170726,1186981.540000000037253,1195932.000000000000000,1403365.819999999832362,1175218.840000000083819,1178423.519999999785796,1242756.199999999953434,1101663.219999999972060,1211933.110000000102445,1228404.399999999906868,10924679.650000000372529
20170727,1164552.939999999944121,1175603.000000000000000,1448748.869999999878928,1169503.799999999813735,1177343.640000000130385,1246249.800000000046566,1135354.359999999869615,1200370.650000000139698,1212813.999999999767169,10930542.060000000521541
20170728,1156354.899999999906868,1188922.000000000000000,1450371.839999999850988,1162049.399999999906868,1186522.619999999878928,1237515.800000000046566,1142841.280000000027940,1214474.310000000055879,1207698.399999999906868,10946751.550000000745058
20170731,1150399.719999999739230,1194950.600000000093132,1457524.929999999934807,1136580.199999999953434,1194351.750000000000000,1231878.399999999906868,1138741.300000000046566,1218667.290000000037253,1212692.199999999953434,10935787.390000000596046
20170801,1160608.600000000093132,1195090.799999999813735,1439371.709999999962747,1144531.560000000055879,1192461.959999999962747,1223144.399999999906868,1139454.339999999850988,1221335.550000000046566,1228648.000000000000000,10944647.919999999925494
20170802,1215442.659999999916181,1195932.000000000000000,1430415.319999999832362,1137698.359999999869615,1189312.310000000055879,1243391.400000000139698,1130897.859999999869615,1226227.360000000102445,1233641.799999999813735,11002960.070000000298023
20170803,1203300.279999999795109,1199296.800000000046566,1432218.619999999878928,1122292.599999999860302,1200021.119999999878928,1228543.600000000093132,1132323.939999999944121,1237472.170000000158325,1225237.599999999860302,10980707.729999998584390
20170804,1209642.159999999916181,1205325.399999999906868,1428972.679999999934807,1134343.879999999888241,1198491.290000000037253,1221397.600000000093132,1124837.020000000018626,1238171.000000000000000,1228891.599999999860302,10990073.629999998956919
20170807,1228358.439999999944121,1203643.000000000000000,1444120.399999999906868,1130243.959999999962747,1195611.610000000102445,1230528.600000000093132,1120202.260000000009313,1237535.700000000186265,1236199.599999999860302,11026444.569999998435378
20170808,1238180.620000000111759,1204904.800000000046566,1439732.369999999878928,1121919.879999999888241,1190302.199999999953434,1230131.599999999860302,1110932.739999999990687,1238298.060000000055879,1233641.799999999813735,11008045.070000000298023
20170809,1245759.939999999944121,1201399.800000000046566,1408535.279999999795109,1123535.000000000000000,1198941.239999999990687,1230131.599999999860302,1113963.159999999916181,1237853.350000000093132,1229866.000000000000000,10989986.369999999180436
20170810,1201366.779999999795109,1185557.199999999953434,1399939.549999999813735,1116577.560000000055879,1197681.379999999888241,1243629.600000000093132,1108437.099999999860302,1223495.570000000065193,1211839.599999999860302,10888525.339999999850988
20170811,1218072.219999999739230,1181771.800000000046566,1411961.549999999813735,1119310.840000000083819,1197771.369999999878928,1249028.800000000046566,1112002.300000000046566,1226354.420000000158325,1219147.599999999860302,10935421.899999998509884
20170814,1236401.799999999813735,1198315.399999999906868,1425606.520000000018626,1121919.879999999888241,1201190.989999999990687,1248711.199999999953434,1117171.839999999850988,1230737.990000000223517,1240828.000000000000000,11020884.619999999180436
20170815,1249936.299999999813735,1216821.800000000046566,1437748.739999999757856,1126516.760000000009313,1200291.089999999850988,1251569.600000000093132,1114141.419999999925494,1235756.860000000102445,1250084.799999999813735,11082868.369999997317791
20170816,1244909.199999999720603,1225233.800000000046566,1428251.359999999869615,1131362.119999999878928,1207400.299999999813735,1261732.800000000046566,1117706.619999999878928,1231119.170000000158325,1258488.999999999767169,11106205.369999999180436
20170817,1221011.139999999897555,1207007.800000000046566,1416229.359999999869615,1117819.959999999962747,1197231.429999999934807,1253713.399999999906868,1102376.260000000009313,1224321.459999999962747,1244360.199999999953434,10984072.009999997913837
20170818,1218226.899999999906868,1197053.599999999860302,1417311.339999999850988,1121795.639999999897555,1193541.839999999850988,1252681.199999999953434,1096137.159999999916181,1212377.820000000065193,1248623.199999999953434,10957749.699999999254942
20170821,1215984.040000000037253,1195932.000000000000000,1416770.349999999860302,1129871.239999999990687,1200921.019999999785796,1257445.200000000186265,1104693.639999999897555,1220064.950000000186265,1257271.000000000000000,10998954.440000001341105
20170822,1235860.419999999925494,1195932.000000000000000,1441235.119999999878928,1146146.679999999934807,1212169.769999999785796,1267608.399999999906868,1112715.339999999850988,1237599.229999999981374,1267623.999999999767169,11116891.959999999031425
20170823,1237407.219999999739230,1195651.600000000093132,1431256.859999999869615,1142667.959999999962747,1195071.670000000158325,1261018.199999999953434,1107902.319999999832362,1234105.080000000074506,1256783.800000000046566,11061865.710000000894070
20170824,1231916.080000000074506,1196773.199999999953434,1435164.010000000009313,1138568.040000000037253,1195881.579999999841675,1257842.199999999953434,1117884.879999999888241,1237345.110000000102445,1257271.000000000000000,11068647.099999999627471
20170825,1236479.139999999897555,1198315.399999999906868,1418032.659999999683350,1141922.519999999785796,1184992.790000000037253,1261097.600000000093132,1121984.859999999869615,1234867.440000000176951,1258854.399999999906868,11056547.809999998658895
20170828,1248930.879999999888241,1197474.199999999953434,1425786.849999999860302,1144283.079999999841675,1185532.729999999981374,1267846.599999999860302,1128758.739999999990687,1239505.130000000121072,1264091.799999999813735,11102211.010000001639128
20170829,1260067.839999999850988,1197614.400000000139698,1445683.260000000009313,1136331.719999999972060,1189762.260000000009313,1265544.000000000000000,1125193.539999999804422,1249924.050000000046566,1263969.999999999767169,11134092.070000000298023
20170830,1263470.799999999813735,1201399.800000000046566,1445502.929999999934807,1148258.760000000009313,1179503.399999999906868,1266735.000000000000000,1125193.539999999804422,1244524.000000000000000,1263482.800000000046566,11138072.029999999329448
20170831,1268497.899999999906868,1207148.000000000000000,1440694.129999999888241,1179318.760000000009313,1191202.100000000093132,1270228.600000000093132,1138384.780000000027940,1263710.060000000055879,1260924.999999999767169,11220110.330000000074506
20170901,1268884.600000000093132,1207708.800000000046566,1444721.500000000000000,1188636.760000000009313,1179143.439999999944121,1268958.199999999953434,1137850.000000000000000,1269110.110000000102445,1265553.399999999906868,11230567.810000000521541
20170905,1253648.620000000111759,1196072.199999999953434,1424704.869999999878928,1149749.639999999897555,1168974.570000000065193,1263320.800000000046566,1134106.539999999804422,1266314.790000000037253,1254713.199999999953434,11111606.230000000447035
20170906,1252333.839999999850988,1194950.600000000093132,1410398.689999999944121,1147761.799999999813735,1175903.799999999813735,1256333.600000000093132,1140880.419999999925494,1260406.500000000000000,1256783.800000000046566,11095754.050000000745058
20170907,1247306.739999999757856,1183454.199999999953434,1420557.279999999795109,1144407.319999999832362,1189582.280000000027940,1269672.800000000046566,1146584.739999999757856,1259072.370000000111759,1273592.199999999953434,11134230.929999999701977
20170908,1226966.319999999832362,1181211.000000000000000,1435404.449999999953434,1147389.079999999841675,1178693.489999999990687,1268164.200000000186265,1145693.439999999944121,1256404.110000000102445,1272008.800000000046566,11111935.890000000596046
20170911,1249162.899999999906868,1201399.800000000046566,1446284.359999999869615,1182797.479999999981374,1198761.260000000009313,1282615.000000000000000,1161023.799999999813735,1268030.100000000093132,1292958.399999999906868,11283034.099999999627471
20170912,1244213.139999999897555,1213457.000000000000000,1446224.250000000000000,1212366.599999999860302,1193541.839999999850988,1241327.000000000232831,1166906.379999999888241,1254625.270000000018626,1293689.199999999720603,11266351.679999997839332
20170913,1234855.000000000000000,1214718.800000000046566,1454339.099999999860302,1229635.959999999962747,1191922.019999999785796,1246646.800000000046566,1166728.119999999878928,1260088.850000000093132,1289060.799999999813735,11287996.449999999254942
20170914,1224259.419999999925494,1208409.800000000046566,1474175.399999999906868,1238829.719999999972060,1207490.290000000037253,1246646.800000000046566,1178671.540000000037253,1256277.050000000046566,1292105.799999999813735,11326866.820000000298023
20170915,1236633.819999999832362,1219625.799999999813735,1496836.869999999878928,1236096.439999999944121,1209920.019999999785796,1246011.599999999860302,1179384.579999999841675,1259135.900000000139698,1282605.399999999906868,11366251.429999999701977
20170918,1227275.679999999701977,1231963.400000000139698,1521361.750000000000000,1234481.319999999832362,1218289.089999999850988,1244106.000000000000000,1176354.159999999916181,1259199.430000000167638,1276880.799999999813735,11389912.629999998956919
20170919,1227739.719999999739230,1247806.000000000000000,1517634.929999999934807,1239450.919999999925494,1216849.250000000000000,1250061.000000000000000,1175641.119999999878928,1236709.810000000055879,1283945.199999999953434,11395838.949999999254942
20170920,1207167.279999999795109,1239814.600000000093132,1535667.929999999934807,1245787.159999999916181,1198851.250000000000000,1269514.000000000000000,1172788.959999999962747,1243698.110000000102445,1283945.199999999953434,11397235.489999998360872
20170921,1186440.159999999916181,1239674.400000000139698,1539154.310000000055879,1244172.040000000037253,1185622.719999999972060,1262765.000000000000000,1169402.019999999785796,1240267.490000000223517,1282727.199999999953434,11350226.339999999850988
20170922,1174839.159999999916181,1239394.000000000000000,1541618.819999999832362,1237835.799999999813735,1182383.079999999841675,1261812.199999999953434,1161023.799999999813735,1226417.950000000186265,1285772.199999999953434,11311098.009999997913837
20170925,1164475.600000000093132,1236730.199999999953434,1528815.389999999897555,1244544.760000000009313,1180403.299999999813735,1240771.199999999953434,1161915.100000000093132,1218286.110000000102445,1254834.999999999767169,11230777.659999998286366
20170926,1184506.659999999916181,1243459.800000000046566,1525088.569999999832362,1227026.919999999925494,1178333.530000000027940,1217665.800000000046566,1154428.179999999934807,1224321.459999999962747,1253860.599999999860302,11208692.519999997690320
20170927,1192936.719999999739230,1254675.799999999813735,1534585.949999999953434,1217336.199999999953434,1167624.719999999972060,1223223.800000000046566,1151041.239999999757856,1235693.330000000074506,1265431.599999999860302,11242550.359999999403954
20170928,1185589.419999999925494,1263788.800000000046566,1528514.839999999850988,1221933.079999999841675,1165105.000000000000000,1250537.400000000139698,1146049.959999999962747,1245921.660000000149012,1273835.799999999813735,11281276.960000000894070
20170929,1192085.979999999981374,1268275.199999999953434,1528154.179999999934807,1224914.840000000083819,1169964.459999999962747,1244106.000000000000000,1141415.199999999953434,1244333.410000000149012,1273835.799999999813735,11287086.070000000298023
20171002,1189688.439999999944121,1269396.800000000046566,1538853.760000000009313,1245911.399999999906868,1180853.250000000000000,1246329.200000000186265,1150684.719999999972060,1254434.680000000167638,1284310.599999999860302,11360463.849999999627471
20171003,1194870.219999999739230,1281874.600000000093132,1535667.929999999934807,1244917.479999999981374,1188772.369999999878928,1245535.200000000186265,1147476.040000000037253,1261994.750000000000000,1286137.599999999860302,11387247.189999999478459
20171004,1187136.219999999739230,1275986.200000000186265,1537471.229999999748543,1246532.599999999860302,1195881.579999999841675,1248314.200000000186265,1151576.019999999785796,1273747.800000000046566,1282727.199999999953434,11399374.049999998882413
20171005,1201908.159999999916181,1278089.199999999953434,1556285.659999999683350,1255726.359999999869615,1198581.280000000027940,1260938.800000000046566,1151576.019999999785796,1257357.060000000055879,1294054.599999999860302,11454518.139999998733401
20171006,1201212.100000000093132,1283557.000000000000000,1554422.249999999767169,1260074.760000000009313,1198851.250000000000000,1267290.800000000046566,1150684.719999999972060,1258373.540000000037253,1300022.800000000046566,11474490.219999998807907
20171009,1205388.459999999962747,1285519.800000000046566,1553280.159999999683350,1268274.599999999860302,1200921.019999999785796,1271419.600000000093132,1146763.000000000000000,1247192.260000000242144,1303433.199999999953434,11482193.099999997764826
20171010,1205852.500000000000000,1288323.800000000046566,1568548.099999999860302,1266286.760000000009313,1204970.570000000065193,1275072.000000000232831,1149080.379999999888241,1236900.400000000139698,1307087.199999999953434,11502122.709999999031425
20171011,1210879.600000000093132,1289305.199999999953434,1571613.709999999962747,1267156.439999999944121,1229717.820000000065193,1295477.800000000046566,1136958.699999999953434,1240585.140000000130385,1320850.599999999860302,11562546.009999999776483
20171012,1206625.899999999906868,1284398.199999999953434,1574438.880000000121072,1263305.000000000000000,1231337.640000000130385,1301512.199999999953434,1137850.000000000000000,1225719.120000000111759,1316831.199999999953434,11542019.140000000596046
20171013,1214282.560000000055879,1301923.199999999953434,1567406.010000000009313,1263801.959999999962747,1227738.040000000037253,1313104.600000000093132,1130006.559999999823049,1223177.920000000158325,1323530.199999999953434,11564972.049999998882413
20171016,1236633.819999999832362,1289305.199999999953434,1561455.119999999878928,1254980.919999999925494,1224948.350000000093132,1310246.199999999953434,1129115.260000000009313,1227497.959999999962747,1319145.399999999906868,11553329.230000002309680
20171017,1241196.879999999888241,1285519.800000000046566,1554662.689999999944121,1254111.239999999990687,1266973.679999999934807,1313342.800000000046566,1126976.139999999897555,1295411.530000000027940,1309888.600000000093132,11648084.359999997541308
20171018,1235705.739999999757856,1290987.599999999860302,1563198.310000000055879,1252371.879999999888241,1265983.790000000037253,1316280.600000000093132,1132145.679999999934807,1303924.550000000046566,1313055.399999999906868,11673654.550000000745058
20171019,1206471.219999999739230,1288464.000000000000000,1557187.310000000055879,1254235.479999999981374,1278222.429999999934807,1322076.800000000046566,1136423.919999999925494,1291345.610000000102445,1303554.999999999767169,11637982.769999999552965
20171020,1208559.399999999906868,1291127.800000000046566,1591510.119999999878928,1259453.560000000055879,1281462.070000000065193,1320488.800000000046566,1138741.300000000046566,1318282.330000000074506,1310010.399999999906868,11719636.780000001192093
20171023,1207940.679999999701977,1295193.599999999860302,1576903.389999999897555,1265914.040000000037253,1292440.850000000093132,1296986.400000000139698,1130184.819999999832362,1315232.890000000130385,1309766.799999999813735,11690564.469999998807907
20171024,1215133.299999999813735,1315943.199999999953434,1599023.869999999878928,1271504.840000000083819,1274622.829999999841675,1301274.000000000000000,1125015.280000000027940,1322475.310000000055879,1320485.199999999953434,11745478.830000000074506
20171025,1209796.839999999850988,1311316.600000000093132,1553460.489999999990687,1257838.439999999944121,1281102.110000000102445,1298892.000000000232831,1113250.119999999878928,1318727.040000000037253,1333639.599999999860302,11678024.240000000223517
20171026,1217530.839999999850988,1341599.800000000046566,1558569.839999999850988,1292501.399999999906868,1276152.659999999916181,1302306.199999999953434,1105050.159999999916181,1328828.310000000055879,1337415.399999999906868,11759955.609999999403954
