代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11794718.439999999478459
真實報酬,1794718.439999999478459

夏普值報酬,0.170771844000000
夏普值風險,0.048856698131476
夏普值,3.495361957135227

預期報酬,13953.383716454505702
風險,121461.350974567103549
趨勢值,0.114879207291019
找到最佳解世代,2135
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),DIS[6](5),PG[21](2),VZ[26](9),WBA[27](20),XOM[29](16),
20180608,1933313.400000000139698,1727296.150000000139698,1778174.760000000242144,1660924.760000000009313,1590168.949999999720603,1792066.599999999860302,10481948.619999999180436
20180611,1928573.449999999953434,1733442.219999999972060,1786238.409999999916181,1664977.399999999906868,1606722.409999999916181,1781348.599999999860302,10501306.490000000223517
20180612,1939162.700000000186265,1733110.000000000000000,1779557.099999999860302,1648429.120000000111759,1597693.250000000000000,1766772.120000000111759,10464728.289999999105930
20180613,1923228.400000000139698,1765999.780000000260770,1761817.070000000065193,1600810.600000000093132,1602960.259999999776483,1747265.360000000102445,10402085.470000000670552
20180614,1924236.900000000139698,1806530.620000000111759,1750758.349999999860302,1614994.840000000083819,1627038.020000000018626,1755411.040000000037253,10478973.769999999552965
20180615,1904470.300000000279397,1808191.719999999972060,1782782.559999999823049,1623100.120000000111759,1650363.349999999627471,1729044.760000000009313,10497956.810000000521541
20180618,1903461.800000000279397,1778458.030000000260770,1747302.500000000000000,1602836.920000000158325,1608979.699999999953434,1732474.519999999785796,10373517.469999998807907
20180619,1872702.550000000046566,1762511.469999999972060,1758591.609999999869615,1637959.800000000046566,1620516.959999999729916,1729902.199999999953434,10382188.589999997988343
20180620,1880871.400000000139698,1779953.020000000251457,1747532.889999999897555,1624113.280000000260770,1705541.549999999813735,1724543.199999999953434,10462559.339999999850988
20180621,1870383.000000000232831,1759023.160000000149012,1761125.899999999906868,1642350.160000000149012,1700274.540000000037253,1708251.839999999850988,10441412.600000001490116
20180622,1864937.100000000093132,1766498.110000000102445,1783934.510000000242144,1680512.520000000018626,1695759.959999999729916,1744478.679999999934807,10536124.879999998956919
20180625,1837203.350000000093132,1735103.320000000065193,1792228.550000000046566,1675109.000000000000000,1686479.989999999757856,1709323.639999999897555,10435451.849999999627471
20180626,1859995.450000000186265,1731947.230000000214204,1797066.739999999990687,1664977.399999999906868,1669675.719999999739230,1728616.040000000037253,10452282.579999998211861
20180627,1857272.500000000000000,1726963.929999999934807,1789924.649999999906868,1665315.120000000111759,1661900.609999999869615,1751552.559999999823049,10452933.370000001043081
20180628,1870786.400000000139698,1740418.840000000083819,1798218.689999999944121,1717661.719999999972060,1497369.250000000000000,1757125.919999999925494,10381584.819999998435378
20180629,1866853.250000000232831,1741083.280000000260770,1798449.080000000074506,1699087.120000000111759,1505395.169999999925494,1773417.280000000027940,10384289.179999999701977
20180702,1887729.200000000186265,1749721.000000000000000,1800061.809999999823049,1702802.040000000037253,1533235.079999999841675,1752624.360000000102445,10426177.489999998360872
20180703,1854852.100000000093132,1728292.810000000288710,1794762.840000000083819,1712258.200000000186265,1523955.109999999869615,1762913.639999999897555,10377038.700000001117587
20180705,1869777.900000000139698,1749887.110000000102445,1824943.929999999934807,1731845.960000000195578,1564586.329999999841675,1764414.160000000149012,10505459.390000000596046
20180706,1895696.350000000093132,1740584.950000000186265,1827247.830000000074506,1738600.359999999869615,1587660.849999999627471,1764842.879999999888241,10554637.219999998807907
20180709,1922018.200000000186265,1761182.590000000083819,1793841.280000000027940,1713609.080000000074506,1598445.679999999701977,1777061.400000000139698,10566162.230000000447035
20180710,1919698.650000000139698,1761348.700000000186265,1838997.719999999739230,1733872.280000000260770,1585152.750000000000000,1793352.760000000009313,10632426.860000001266599
20180711,1894788.700000000186265,1794736.810000000288710,1823791.979999999981374,1733872.280000000260770,1596690.009999999776483,1770416.239999999990687,10614300.020000001415610
20180712,1926556.450000000186265,1798225.120000000111759,1817571.449999999953434,1730495.080000000074506,1602207.829999999841675,1772559.839999999850988,10647619.769999999552965
20180713,1929581.950000000186265,1827294.370000000111759,1827247.830000000074506,1736236.319999999832362,1634562.319999999832362,1785850.160000000149012,10740776.950000001117587
20180716,1925346.250000000000000,1830616.570000000065193,1832316.409999999916181,1742315.280000000260770,1634311.509999999776483,1768272.639999999897555,10733182.660000000149012
20180717,1930792.150000000139698,1832277.670000000158325,1843835.909999999916181,1736911.760000000009313,1646099.579999999608845,1764414.160000000149012,10754335.230000000447035
20180718,1920202.900000000139698,1838755.959999999962747,1836693.820000000065193,1727117.880000000121072,1659392.509999999776483,1762484.919999999925494,10744651.990000000223517
20180719,1935128.700000000186265,1862675.800000000046566,1813885.210000000195578,1713946.800000000046566,1628542.879999999888241,1757983.360000000102445,10712166.750000000000000
20180720,1930691.300000000046566,1851878.650000000139698,1812733.260000000242144,1709556.439999999944121,1629796.929999999934807,1744907.400000000139698,10679567.980000000447035
20180723,1930691.300000000046566,1845400.360000000102445,1808816.630000000121072,1713946.800000000046566,1638826.089999999850988,1744907.400000000139698,10682592.580000000074506
20180724,1946423.900000000139698,1838922.070000000065193,1819875.349999999860302,1739613.520000000018626,1643089.859999999869615,1779419.360000000102445,10767348.059999998658895
20180725,1964778.600000000093132,1846895.350000000325963,1830934.070000000065193,1719350.319999999832362,1672936.250000000000000,1791852.239999999990687,10826750.830000000074506
20180726,1958626.750000000232831,1885598.980000000214204,1845218.250000000000000,1728468.760000000009313,1694004.290000000037253,1805785.639999999897555,10917706.670000001788139
20180727,1926052.199999999953434,1870815.190000000176951,1856507.359999999869615,1756499.520000000018626,1721593.389999999897555,1756054.120000000111759,10887525.780000001192093
20180730,1915261.250000000000000,1870981.300000000046566,1847752.540000000037253,1772710.080000000074506,1734635.509999999776483,1752195.639999999897555,10893540.320000000298023
20180731,1919093.550000000046566,1886429.530000000260770,1863419.059999999823049,1744003.880000000121072,1696010.770000000018626,1747265.360000000102445,10856226.149999998509884
20180801,2032146.400000000139698,1876629.040000000037253,1858120.090000000083819,1747043.359999999869615,1666415.189999999711290,1723257.040000000037253,10903615.120000001043081
20180802,2091547.050000000046566,1872974.620000000111759,1889222.739999999990687,1755486.359999999869615,1679958.929999999934807,1712967.760000000009313,11002161.459999999031425
20180803,2097598.049999999813735,1895233.360000000102445,1896825.609999999869615,1765280.240000000223517,1685978.369999999878928,1719184.199999999953434,11060103.829999998211861
20180806,2108489.849999999627471,1925963.709999999962747,1901203.019999999785796,1772372.359999999869615,1690994.569999999832362,1718755.480000000214204,11117782.990000000223517
20180807,2088723.250000000232831,1936262.530000000260770,1903967.699999999953434,1771696.920000000158325,1681714.599999999627471,1742120.719999999972060,11124489.720000000670552
20180808,2090135.150000000139698,1893406.150000000139698,1897286.389999999897555,1779802.200000000186265,1667669.239999999757856,1730545.280000000027940,11058848.410000000149012
20180809,2106573.700000000186265,1896396.130000000121072,1875399.340000000083819,1790271.520000000018626,1659643.319999999832362,1721756.519999999785796,11050044.529999999329448
20180810,2092958.950000000186265,1871811.850000000325963,1876090.510000000242144,1772034.639999999897555,1667669.239999999757856,1702464.120000000111759,10983033.309999998658895
20180813,2106472.850000000558794,1862509.690000000176951,1878164.019999999785796,1763591.639999999897555,1667418.429999999934807,1684029.160000000149012,10962189.790000000968575
20180814,2115347.650000000372529,1872974.620000000111759,1873325.830000000074506,1785543.439999999944121,1722095.009999999776483,1678670.160000000149012,11047960.710000000894070
20180815,2120289.299999999813735,1874635.719999999972060,1896134.439999999944121,1798039.080000000074506,1723850.679999999934807,1649302.839999999850988,11062256.059999998658895
20180816,2151351.099999999627471,1868489.650000000139698,1928158.649999999906868,1832824.240000000223517,1746172.770000000018626,1672025.000000000000000,11199025.410000000149012
20180817,2194313.200000000186265,1868489.650000000139698,1928158.649999999906868,1850385.679999999934807,1755452.739999999757856,1677598.360000000102445,11274402.279999999329448
20180820,2172933.000000000000000,1860350.260000000009313,1927006.699999999953434,1845657.600000000093132,1755452.739999999757856,1689388.160000000149012,11250792.460000000894070
20180821,2168697.299999999813735,1866994.660000000149012,1932996.840000000083819,1854438.319999999832362,1761973.799999999813735,1689816.879999999888241,11274921.799999997019768
20180822,2168798.150000000372529,1859519.709999999962747,1921246.949999999953434,1828433.880000000121072,1746674.389999999897555,1714039.559999999823049,11238716.640000000596046
20180823,2173235.549999999813735,1860516.370000000111759,1917791.099999999860302,1833161.960000000195578,1737645.229999999748543,1695175.879999999888241,11217530.089999999850988
20180824,2179992.500000000000000,1859353.600000000325963,1920555.780000000027940,1850047.960000000195578,1735889.559999999590218,1706751.320000000065193,11252594.720000000670552
20180827,2197943.799999999813735,1865998.000000000000000,1922398.899999999906868,1852412.000000000000000,1741658.189999999711290,1723471.400000000139698,11303886.289999999105930
20180828,2215693.400000000372529,1870150.750000000000000,1923320.460000000195578,1845657.600000000093132,1737645.229999999748543,1720899.080000000074506,11313370.520000001415610
20180829,2248772.200000000186265,1867991.320000000065193,1923550.849999999860302,1842955.840000000083819,1722095.009999999776483,1733331.959999999962747,11338701.179999999701977
20180830,2269446.450000000186265,1859187.490000000223517,1921707.729999999981374,1849034.800000000046566,1700525.349999999627471,1725829.360000000102445,11325735.179999999701977
20180831,2295667.450000000186265,1860848.590000000083819,1911109.790000000037253,1836201.439999999944121,1719586.909999999916181,1718541.120000000111759,11341959.300000000745058
20180904,2303029.500000000000000,1841413.719999999972060,1905350.040000000037253,1796350.479999999981374,1696010.770000000018626,1721113.440000000176951,11263271.949999999254942
20180905,2288002.850000000558794,1825134.940000000176951,1918943.050000000046566,1817626.840000000083819,1711560.989999999757856,1744049.959999999962747,11305322.629999998956919
20180906,2249982.400000000372529,1831613.230000000214204,1904198.090000000083819,1833499.679999999934807,1706293.979999999748543,1724757.559999999823049,11250348.940000001341105
20180907,2231829.400000000372529,1843407.040000000037253,1887149.229999999981374,1823705.800000000046566,1710306.939999999711290,1754124.879999999888241,11250527.289999999105930
20180910,2201876.950000000186265,1838589.850000000325963,1897977.559999999823049,1827758.439999999944121,1725606.349999999627471,1751552.559999999823049,11243365.710000000894070
20180911,2257546.150000000372529,1820649.969999999972060,1889453.130000000121072,1848021.639999999897555,1724101.489999999757856,1776203.959999999962747,11315980.339999999850988
20180912,2229509.849999999627471,1818324.429999999934807,1914796.030000000027940,1856464.639999999897555,1765234.329999999608845,1781991.679999999934807,11366324.959999999031425
20180913,2283363.750000000000000,1838423.740000000223517,1922629.290000000037253,1855451.479999999981374,1767742.429999999934807,1764628.519999999785796,11432243.209999999031425
20180914,2257445.299999999813735,1815002.230000000214204,1926315.530000000027940,1842280.399999999906868,1762726.229999999748543,1777490.120000000111759,11381263.810000002384186
20180917,2197338.700000000186265,1816663.330000000074506,1941060.489999999990687,1847346.200000000186265,1766990.000000000000000,1787993.760000000009313,11357396.480000000447035
20180918,2200969.299999999813735,1819487.200000000186265,1935300.739999999990687,1836876.880000000121072,1777774.829999999608845,1792709.679999999934807,11363122.629999998956919
20180919,2202280.350000000558794,1823806.060000000288710,1935300.739999999990687,1806819.800000000046566,1787807.229999999748543,1814145.679999999934807,11370163.860000001266599
20180920,2219021.450000000186265,1854204.190000000176951,1966633.780000000027940,1822017.200000000186265,1828187.639999999897555,1818218.519999999785796,11508286.780000001192093
20180921,2195120.000000000000000,1833938.770000000251457,1977231.719999999739230,1837890.040000000037253,1830946.549999999813735,1825721.120000000111759,11500852.199999999254942
20180924,2226686.049999999813735,1873306.840000000083819,1941521.269999999785796,1808170.679999999934807,1810881.750000000000000,1856374.599999999860302,11516945.189999999478459
20180925,2240805.049999999813735,1887592.300000000046566,1915026.420000000158325,1791622.399999999906868,1811132.559999999590218,1854231.000000000000000,11500413.730000000447035
20180926,2222954.599999999627471,1913837.679999999934807,1918251.880000000121072,1794661.880000000121072,1829943.309999999590218,1838797.080000000074506,11518450.429999997839332
20180927,2268639.650000000372529,1927624.810000000288710,1909036.280000000027940,1809859.280000000260770,1851262.159999999916181,1838582.719999999972060,11605008.900000002235174
20180928,2276606.799999999813735,1942574.709999999962747,1917560.710000000195578,1803104.880000000121072,1828438.449999999953434,1822505.719999999972060,11590795.269999999552965
20181001,2291936.000000000000000,1930947.010000000009313,1927697.870000000111759,1818302.280000000260770,1817402.809999999590218,1839440.160000000149012,11625730.129999998956919
20181002,2312307.700000000186265,1954534.630000000121072,1943594.780000000027940,1837890.040000000037253,1843236.239999999757856,1853373.559999999823049,11744940.950000001117587
20181003,2340444.849999999627471,1942076.380000000121072,1912952.909999999916181,1833499.679999999934807,1851011.349999999627471,1846728.400000000139698,11726717.569999998435378
20181004,2299298.049999999813735,1929119.800000000046566,1887379.620000000111759,1858153.240000000223517,1839474.089999999850988,1834509.879999999888241,11647938.679999999701977
20181005,2261983.549999999813735,1906694.950000000186265,1892678.590000000083819,1855451.479999999981374,1818656.859999999869615,1829365.239999999990687,11564834.669999999925494
20181008,2256739.350000000558794,1927292.590000000083819,1898438.340000000083819,1858153.240000000223517,1859789.699999999953434,1846299.679999999934807,11646716.900000000372529
20181009,2288002.850000000558794,1941744.160000000149012,1893830.540000000037253,1857140.080000000074506,1844991.909999999916181,1854445.360000000102445,11680158.900000000372529
20181010,2182009.500000000000000,1874801.830000000074506,1876320.899999999906868,1834850.560000000055879,1813640.659999999916181,1811787.719999999972060,11393415.170000001788139
20181011,2162747.150000000372529,1846397.020000000251457,1817110.670000000158325,1801078.560000000055879,1778276.449999999953434,1749194.599999999860302,11154808.449999999254942
20181012,2239998.250000000000000,1870649.080000000074506,1821488.080000000074506,1814587.359999999869615,1843487.049999999813735,1744478.679999999934807,11334692.500000000000000
20181015,2192094.500000000000000,1884436.209999999962747,1846139.809999999823049,1810197.000000000000000,1874085.869999999878928,1732474.519999999785796,11339431.909999998286366
20181016,2240401.650000000372529,1930116.459999999962747,1866414.130000000121072,1813574.200000000186265,1913212.229999999748543,1740620.199999999953434,11504342.869999999180436
20181017,2230720.049999999813735,1945730.800000000046566,1885997.280000000027940,1822354.920000000158325,1930768.929999999934807,1747051.000000000000000,11562626.980000000447035
20181018,2178580.600000000558794,1929950.350000000325963,1848674.099999999860302,1845657.600000000093132,1920736.529999999795109,1754553.599999999860302,11478156.779999999329448
20181019,2211760.250000000000000,1975132.270000000251457,2011329.439999999944121,1854100.600000000093132,1940048.899999999674037,1757125.919999999925494,11749501.380000000819564
20181022,2225274.150000000372529,1964667.340000000083819,1995202.139999999897555,1856802.359999999869615,1947573.199999999953434,1739548.400000000139698,11729071.589999999850988
20181023,2246250.950000000186265,1957690.719999999972060,2008103.979999999981374,1932113.920000000158325,1937791.609999999869615,1711467.239999999990687,11793422.419999999925494
20181024,2169201.549999999813735,1854038.080000000074506,2061093.679999999934807,1939206.040000000037253,1861043.750000000000000,1663879.320000000065193,11548466.419999999925494
20181025,2216701.900000000372529,1896396.130000000121072,2050495.739999999990687,1905771.760000000009313,1899668.489999999757856,1678670.160000000149012,11647708.179999999701977
20181026,2181404.400000000372529,1880283.459999999962747,2024231.280000000027940,1874701.520000000018626,1911958.179999999934807,1661950.080000000074506,11534532.919999999925494
20181029,2140459.299999999813735,1877791.810000000288710,2032986.099999999860302,1907460.359999999869615,1926755.969999999739230,1651660.800000000046566,11537118.339999999850988
20181030,2151149.400000000372529,1906362.730000000214204,2054873.149999999906868,1964872.760000000009313,1976416.349999999627471,1688745.080000000074506,11742423.470000000670552
20181031,2207222.000000000000000,1907525.500000000000000,2043123.260000000242144,1928061.280000000260770,2000744.919999999692664,1708037.480000000214204,11794718.439999999478459
