代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12101916.469999998807907
真實報酬,2101916.469999998807907

夏普值報酬,0.201491647000000
夏普值風險,0.055362470898235
夏普值,3.639498810852837

預期報酬,18227.761215769303817
風險,125445.673437748104334
趨勢值,0.145304024572954
找到最佳解世代,2253
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CVX[5](8),KO[14](19),MCD[15](28),PFE[20](1),UNH[23](2),
20110315,2500422.000000000000000,1995568.229999999981374,1918776.440000000176951,2424538.540000000037253,2343370.279999999795109,11182675.490000000223517
20110316,2457938.000000000000000,1949984.310000000055879,1874333.360000000102445,2368097.000000000000000,2292439.759999999776483,10942792.430000001564622
20110317,2525369.000000000000000,1971510.050000000046566,1874844.200000000186265,2439262.419999999459833,2314893.000000000000000,11125878.669999999925494
20110318,2539201.000000000000000,1984805.360000000102445,1864371.979999999981374,2476072.119999999646097,2332965.119999999646097,11197415.579999998211861
20110321,2598234.000000000000000,2012662.199999999953434,1884039.320000000298023,2451532.319999999832362,2365275.879999999422580,11311743.719999998807907
20110322,2599222.000000000000000,2010762.870000000111759,1886848.940000000176951,2446624.359999999869615,2340632.080000000074506,11284090.250000000000000
20110323,2605397.000000000000000,2034821.050000000046566,1903706.660000000149012,2444170.379999999888241,2341179.719999999739230,11329274.809999998658895
20110324,2602927.000000000000000,2048116.360000000102445,1913923.460000000428408,2490796.000000000000000,2398681.919999999459833,11454444.740000000223517
20110325,2637507.000000000000000,2064577.219999999972060,1922096.900000000139698,2496930.950000000186265,2395943.719999999739230,11517055.789999999105930
20110328,2619229.000000000000000,2058879.230000000214204,1915711.400000000139698,2487115.029999999795109,2402515.399999999441206,11483450.059999998658895
20110329,2652080.000000000000000,2080404.969999999972060,1925161.940000000176951,2500611.919999999459833,2435921.439999999478459,11594180.269999999552965
20110330,2667888.000000000000000,2090534.730000000214204,1936400.420000000158325,2495703.959999999962747,2486304.319999999832362,11676831.429999999701977
20110331,2655044.000000000000000,2100031.379999999888241,1943552.180000000167638,2492022.989999999757856,2475351.520000000018626,11666002.070000000298023
20110401,2675545.000000000000000,2127888.219999999739230,1940997.979999999981374,2500611.919999999459833,2497804.759999999776483,11742847.879999998956919
20110404,2673322.000000000000000,2141816.639999999664724,1951214.780000000260770,2520243.759999999776483,2497257.119999999646097,11783854.299999998882413
20110405,2700492.000000000000000,2136118.650000000372529,1956578.600000000093132,2509200.849999999627471,2469327.479999999981374,11771717.580000000074506
20110406,2683943.000000000000000,2141183.530000000260770,1959643.640000000130385,2489569.009999999776483,2462208.159999999683350,11736547.339999999850988
20110407,2690859.000000000000000,2134852.429999999701977,1941508.820000000298023,2494476.969999999739230,2433183.239999999757856,11694880.459999999031425
20110408,2708643.000000000000000,2129787.549999999813735,1942275.080000000307336,2510427.839999999850988,2430445.040000000037253,11721578.509999997913837
20110411,2662207.000000000000000,2133586.209999999962747,1947638.900000000139698,2536194.629999999888241,2427159.199999999720603,11706785.939999999478459
20110412,2573287.000000000000000,2117758.459999999962747,1958111.120000000111759,2510427.839999999850988,2453993.560000000055879,11613577.980000000447035
20110413,2564148.000000000000000,2129787.549999999813735,1963985.780000000260770,2510427.839999999850988,2427706.839999999850988,11596056.009999999776483
20110414,2590577.000000000000000,2162709.269999999552965,1968583.339999999850988,2514108.809999999590218,2454541.199999999720603,11690519.619999997317791
20110415,2624169.000000000000000,2153212.620000000111759,1976501.360000000102445,2519016.770000000018626,2463303.439999999478459,11736203.189999999478459
20110418,2581191.000000000000000,2131053.769999999552965,1966795.400000000139698,2503065.899999999441206,2384990.919999999459833,11567096.990000000223517
20110419,2603421.000000000000000,2123456.450000000186265,1956578.600000000093132,2519016.770000000018626,2407444.159999999683350,11609916.980000000447035
20110420,2662948.000000000000000,2147514.629999999888241,2002554.200000000186265,2501838.909999999683350,2422778.080000000074506,11737633.820000000298023
20110421,2670852.000000000000000,2148780.849999999627471,1964496.620000000111759,2428219.509999999776483,2618285.560000000055879,11830634.540000000968575
20110425,2653315.000000000000000,2144349.080000000074506,1970115.860000000102445,2471164.159999999683350,2612809.159999999683350,11851753.259999999776483
20110426,2686166.000000000000000,2119024.679999999701977,1965262.880000000121072,2477299.109999999869615,2593094.119999999646097,11840846.789999999105930
20110427,2691600.000000000000000,2120924.009999999776483,1989016.940000000176951,2531286.669999999459833,2640191.159999999683350,11973018.779999999329448
20110428,2687648.000000000000000,2134219.320000000298023,1993103.660000000149012,2555826.469999999739230,2688931.119999999646097,12059728.569999998435378
20110429,2703209.000000000000000,2135485.540000000037253,2000255.420000000158325,2573004.329999999608845,2696050.439999999478459,12108004.729999998584390
20110502,2672087.000000000000000,2143715.969999999739230,2008684.280000000260770,2579139.279999999795109,2731647.040000000037253,12135273.570000000298023
20110503,2622440.000000000000000,2148780.849999999627471,2016346.880000000121072,2507973.859999999869615,2720694.239999999757856,12016235.830000000074506
20110504,2585637.000000000000000,2135485.540000000037253,2019667.339999999850988,2532513.659999999683350,2714122.560000000055879,11987426.099999999627471
20110505,2534755.000000000000000,2111427.360000000335276,2007662.600000000093132,2501838.909999999683350,2715217.839999999850988,11870901.710000000894070
20110506,2541177.000000000000000,2117758.459999999962747,2010216.800000000279397,2521470.750000000000000,2744790.399999999441206,11935413.410000000149012
20110509,2571064.000000000000000,2119657.790000000037253,2025797.420000000158325,2527605.700000000186265,2763957.799999999813735,12008082.710000000894070
20110510,2577733.000000000000000,2131686.879999999888241,2036014.219999999972060,2559507.439999999944121,2766148.359999999403954,12071089.899999998509884
20110511,2525863.000000000000000,2131053.769999999552965,2030905.820000000298023,2528832.689999999944121,2739314.000000000000000,11955969.279999999329448
20110512,2538213.000000000000000,2162709.269999999552965,2060279.120000000111759,2563188.409999999683350,2742599.839999999850988,12066989.639999998733401
20110513,2529074.000000000000000,2158277.500000000000000,2062322.479999999981374,2566869.379999999888241,2735480.520000000018626,12052023.879999998956919
20110516,2510796.000000000000000,2147514.629999999888241,2072539.280000000260770,2574231.319999999832362,2747528.599999999627471,12052609.830000000074506
20110517,2480168.000000000000000,2151946.400000000372529,2067175.460000000428408,2593863.159999999683350,2737671.080000000074506,12030824.100000001490116
20110518,2540683.000000000000000,2162076.160000000149012,2081734.400000000139698,2598771.119999999646097,2771624.759999999776483,12154889.439999999478459
20110519,2565630.000000000000000,2167141.040000000037253,2107531.820000000298023,2580366.270000000018626,2768338.919999999459833,12189008.050000000745058
20110520,2533520.000000000000000,2162076.160000000149012,2102934.259999999776483,2538648.609999999869615,2723980.080000000074506,12061159.109999999403954
20110523,2503880.000000000000000,2136118.650000000372529,2107276.400000000372529,2526378.709999999962747,2692216.959999999497086,11965870.720000000670552
20110524,2526110.000000000000000,2136118.650000000372529,2110852.280000000260770,2517789.779999999795109,2626500.159999999683350,11917370.870000001043081
20110525,2550316.000000000000000,2118391.570000000298023,2112895.639999999664724,2549691.520000000018626,2621571.399999999441206,11952866.129999998956919
20110526,2553033.000000000000000,2111427.360000000335276,2105488.459999999962747,2564415.399999999441206,2612261.520000000018626,11946625.739999998360872
20110527,2549328.000000000000000,2105729.370000000111759,2084799.440000000176951,2568096.369999999646097,2645119.919999999459833,11953073.099999999627471
20110531,2591318.000000000000000,2115226.019999999552965,2082756.080000000307336,2631899.849999999627471,2680716.520000000018626,12101916.469999998807907
