代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11730159.009999999776483
真實報酬,1730159.009999999776483

夏普值報酬,0.164315901000000
夏普值風險,0.044231843209129
夏普值,3.714877994640871

預期報酬,13266.951305573893478
風險,91201.292514694345300
趨勢值,0.145468895667639
找到最佳解世代,2716
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
BA[2](9),DIS[6](25),JNJ[12](7),KO[14](6),MCD[15](1),MMM[16](3),MSFT[18](10),UNH[23](5),UTX[24](4),
20170424,1237844.360000000102445,1141736.049999999813735,1205689.040000000037253,1156815.880000000121072,1216808.899999999906868,1234461.550000000046566,1160606.679999999934807,1181227.420000000158325,1178482.149999999906868,10713673.030000001192093
20170425,1247702.910000000149012,1156596.729999999981374,1210986.979999999981374,1152272.120000000111759,1284524.449999999953434,1240181.050000000046566,1167309.219999999972060,1192947.760000000009313,1184054.199999999953434,10836576.419999999925494
20170426,1235464.710000000195578,1160613.129999999888241,1211771.860000000102445,1155746.760000000009313,1276728.550000000046566,1239354.900000000139698,1165762.479999999748543,1195278.120000000111759,1197528.429999999934807,10838249.940000001341105
20170427,1245731.200000000186265,1163223.789999999804422,1214028.389999999897555,1149599.320000000065193,1277000.500000000000000,1246408.950000000186265,1173324.319999999832362,1196991.620000000111759,1203404.409999999916181,10869713.500000000000000
20170428,1256677.590000000316650,1160813.949999999720603,1211379.419999999925494,1153341.239999999990687,1268479.399999999906868,1244629.550000000279397,1176589.659999999683350,1198705.120000000111759,1205531.919999999925494,10876148.849999999627471
20170501,1240088.030000000027940,1152078.279999999795109,1210103.989999999990687,1155212.199999999953434,1279538.699999999953434,1238147.450000000186265,1192916.359999999869615,1196717.460000000195578,1204822.750000000000000,10869626.220000000670552
20170502,1247226.980000000214204,1148463.520000000018626,1213635.949999999953434,1159755.959999999962747,1280263.899999999906868,1249078.050000000046566,1191025.899999999906868,1193633.159999999916181,1208875.149999999906868,10891959.570000000298023
20170503,1246887.030000000027940,1120850.770000000018626,1210005.879999999888241,1157885.000000000000000,1292864.250000000000000,1256068.550000000046566,1187244.979999999748543,1182666.760000000009313,1218803.530000000027940,10873277.749999998137355
20170504,1244711.350000000093132,1116332.319999999832362,1216088.699999999953434,1166972.520000000018626,1300388.199999999953434,1268015.950000000186265,1182604.760000000009313,1192810.680000000167638,1225895.229999999981374,10913820.710000000894070
20170505,1257901.410000000149012,1124565.939999999711290,1211771.860000000102445,1167774.359999999869615,1305011.350000000093132,1267316.900000000139698,1185870.099999999860302,1193496.080000000074506,1229441.079999999841675,10943150.080000000074506
20170508,1264768.400000000139698,1118842.569999999832362,1209221.000000000000000,1173119.959999999962747,1307549.550000000046566,1262550.650000000139698,1184838.939999999711290,1195689.360000000102445,1226705.709999999962747,10943287.140000000596046
20170509,1270819.510000000242144,1125369.219999999739230,1208828.559999999823049,1162963.320000000065193,1308637.350000000093132,1258165.700000000186265,1186557.540000000037253,1187464.560000000055879,1230555.489999999990687,10939362.250000001862645
20170510,1245459.240000000223517,1101170.409999999916181,1204904.159999999916181,1164567.000000000000000,1310087.750000000000000,1249777.100000000093132,1191197.760000000009313,1188492.659999999916181,1226097.849999999860302,10881754.929999999701977
20170511,1250626.480000000214204,1100367.129999999888241,1208730.449999999953434,1167239.800000000046566,1307277.600000000093132,1250476.150000000139698,1176589.659999999683350,1188012.880000000121072,1228731.909999999916181,10878053.060000002384186
20170512,1245935.170000000158325,1101471.639999999897555,1213047.290000000037253,1165101.560000000055879,1317702.350000000093132,1249332.250000000000000,1175214.779999999795109,1177663.340000000083819,1224172.959999999962747,10869642.339999999850988
20170515,1240088.030000000027940,1095848.679999999701977,1245914.139999999897555,1168843.479999999981374,1326042.149999999906868,1256068.550000000046566,1176074.080000000074506,1175744.220000000204891,1225084.750000000000000,10909709.080000000074506
20170516,1242195.719999999972060,1084301.529999999795109,1253566.719999999972060,1172050.840000000083819,1335197.799999999813735,1257847.950000000186265,1192916.359999999869615,1152372.080000000074506,1229947.630000000121072,10920397.630000000819564
20170517,1215543.640000000130385,1067533.059999999823049,1242774.620000000111759,1174189.080000000074506,1327220.599999999860302,1238338.100000000093132,1159747.379999999888241,1157444.040000000270084,1211509.209999999962747,10794300.730000000447035
20170518,1206161.020000000251457,1071248.229999999981374,1245717.919999999925494,1170714.439999999944121,1332659.599999999860302,1240880.100000000093132,1163700.159999999683350,1175195.899999999906868,1209381.699999999953434,10815660.069999998435378
20170519,1229005.660000000149012,1079682.669999999925494,1246012.250000000000000,1173387.239999999990687,1342993.699999999953434,1244438.900000000139698,1163356.439999999711290,1183009.460000000195578,1227516.189999999944121,10889403.510000001639128
20170522,1248790.750000000000000,1080787.179999999701977,1248563.110000000102445,1180871.080000000074506,1343356.300000000046566,1261660.950000000186265,1176417.799999999813735,1197471.399999999906868,1232581.689999999944121,10970501.259999999776483
20170523,1247566.930000000167638,1074662.169999999925494,1251113.969999999972060,1186483.959999999962747,1340002.250000000000000,1256704.050000000046566,1180370.580000000074506,1201035.479999999981374,1236735.399999999906868,10974675.790000000968575
20170524,1259533.170000000158325,1081590.459999999729916,1251015.860000000102445,1203589.880000000121072,1355231.449999999953434,1255178.850000000093132,1181917.319999999832362,1203571.460000000195578,1236836.709999999962747,11028466.160000000149012
20170525,1271907.350000000093132,1077172.419999999925494,1251212.080000000074506,1213746.520000000018626,1357769.649999999906868,1268206.600000000093132,1196525.419999999925494,1220432.300000000279397,1238558.979999999981374,11095532.320000000298023
20170526,1268643.830000000074506,1088619.159999999916181,1245227.370000000111759,1213211.959999999962747,1358494.850000000093132,1275387.750000000000000,1202368.659999999683350,1216662.600000000093132,1234506.579999999841675,11103123.759999999776483
20170530,1270615.540000000037253,1087916.289999999804422,1247091.459999999962747,1214281.080000000074506,1359129.399999999906868,1286636.100000000093132,1210102.359999999869615,1210425.460000000195578,1228630.599999999860302,11114829.289999999105930
20170531,1275714.790000000037253,1083899.889999999897555,1258276.000000000000000,1215350.199999999953434,1367831.799999999813735,1299536.750000000232831,1200306.339999999850988,1200761.320000000065193,1228731.909999999916181,11130410.000000000000000
20170601,1273607.100000000093132,1086610.959999999729916,1263475.830000000074506,1223903.159999999916181,1381429.299999999813735,1298774.150000000139698,1204774.699999999720603,1230918.920000000158325,1233898.719999999972060,11197393.839999999850988
20170602,1293392.190000000176951,1076268.729999999981374,1276230.130000000121072,1226575.959999999962747,1393667.050000000046566,1313708.400000000139698,1233303.459999999962747,1229616.659999999916181,1237241.949999999953434,11280005.529999999329448
20170605,1284689.469999999972060,1069641.669999999925494,1278977.210000000195578,1229248.760000000009313,1385055.299999999813735,1310658.000000000232831,1242240.179999999934807,1229479.580000000074506,1225692.610000000102445,11255683.779999999329448
20170606,1269731.670000000158325,1059399.849999999860302,1283588.380000000121072,1228981.479999999981374,1370913.899999999906868,1305510.450000000186265,1246364.819999999832362,1239417.880000000121072,1216979.949999999953434,11220889.380000000819564
20170607,1278910.320000000065193,1063617.069999999832362,1282803.500000000000000,1216419.320000000065193,1377350.050000000046566,1302968.450000000186265,1244130.639999999897555,1255798.940000000176951,1213535.409999999916181,11235534.699999999254942
20170608,1291352.490000000223517,1047551.469999999739230,1280841.300000000046566,1206262.680000000167638,1372726.899999999906868,1308878.600000000093132,1236568.799999999813735,1245380.860000000102445,1215156.369999999878928,11204720.469999996945262
20170609,1292032.390000000130385,1060604.770000000018626,1290456.080000000074506,1211341.000000000000000,1373180.149999999906868,1315170.050000000279397,1208555.619999999646097,1243804.440000000176951,1222248.070000000065193,11217393.570000000298023
20170612,1291828.420000000158325,1074862.989999999990687,1293301.270000000018626,1211608.280000000027940,1345894.500000000000000,1318093.350000000093132,1199275.179999999934807,1228657.100000000093132,1214548.510000000009313,11178070.599999999627471
20170613,1299239.330000000074506,1070043.309999999823049,1295263.470000000204891,1203589.880000000121072,1358132.250000000000000,1329023.950000000186265,1214227.000000000000000,1240994.300000000279397,1216372.090000000083819,11226886.580000001937151
20170614,1308010.040000000037253,1065826.089999999850988,1302621.720000000204891,1210806.439999999944121,1365928.149999999906868,1334743.450000000186265,1207696.319999999832362,1249973.040000000270084,1215865.540000000037253,11261471.789999999105930
20170615,1328882.969999999972060,1064219.529999999795109,1305270.689999999944121,1209470.040000000037253,1370369.999999999767169,1342877.850000000093132,1201337.500000000000000,1236402.120000000111759,1223362.479999999981374,11282194.179999999701977
20170616,1335613.980000000214204,1059500.260000000009313,1318123.099999999860302,1211073.720000000204891,1377803.300000000046566,1355270.100000000093132,1203056.099999999860302,1244969.620000000111759,1220120.560000000055879,11325531.740000000223517
20170619,1353563.340000000316650,1058094.520000000018626,1315376.020000000018626,1212944.680000000167638,1388228.049999999813735,1356032.700000000186265,1218007.919999999925494,1254496.680000000167638,1234506.579999999841675,11391251.490000000223517
20170620,1348464.090000000316650,1043735.889999999781139,1316847.669999999925494,1219092.120000000111759,1396658.500000000000000,1356032.700000000186265,1201509.359999999869615,1256210.180000000167638,1231062.040000000037253,11369613.550000000745058
20170621,1354175.250000000000000,1052371.149999999906868,1323617.260000000009313,1208668.199999999953434,1393576.399999999906868,1352855.200000000186265,1207696.319999999832362,1267519.280000000027940,1233493.479999999981374,11393973.539999999105930
20170622,1356010.980000000214204,1046547.369999999878928,1334801.800000000046566,1204659.000000000000000,1403275.949999999953434,1348788.000000000232831,1207524.459999999962747,1278348.600000000093132,1237748.500000000000000,11417705.660000000149012
20170623,1374980.190000000176951,1047953.109999999869615,1338529.979999999981374,1209470.040000000037253,1401825.549999999813735,1353109.400000000139698,1223851.159999999683350,1269781.100000000093132,1238255.050000000046566,11457756.580000000074506
20170626,1359682.440000000176951,1060102.719999999739230,1337646.989999999990687,1214281.080000000074506,1395661.350000000093132,1351266.450000000186265,1212164.679999999934807,1268890.080000000074506,1234709.199999999953434,11434405.990000000223517
20170627,1352271.530000000027940,1058496.159999999916181,1324598.359999999869615,1204124.439999999944121,1393485.750000000000000,1333281.800000000046566,1189479.159999999683350,1265326.000000000000000,1231872.520000000018626,11352936.719999998807907
20170628,1357234.800000000279397,1073055.609999999869615,1312923.270000000018626,1211341.000000000000000,1398743.449999999953434,1338620.000000000232831,1199618.899999999906868,1272865.399999999906868,1241091.729999999981374,11405495.160000000149012
20170629,1342548.960000000195578,1061508.459999999729916,1301346.289999999804422,1198244.280000000027940,1388137.399999999906868,1321016.650000000139698,1177105.239999999757856,1269918.180000000167638,1232480.380000000121072,11292306.840000001713634
20170630,1344520.670000000158325,1066930.599999999860302,1297912.439999999944121,1198778.840000000083819,1388409.349999999860302,1323177.350000000093132,1184667.080000000074506,1270946.280000000027940,1237140.639999999897555,11312484.250000000000000
20170703,1350231.830000000074506,1079080.209999999729916,1303897.150000000139698,1196373.320000000065193,1382426.449999999953434,1333599.550000000279397,1171605.719999999972060,1279376.700000000186265,1236836.709999999962747,11333428.640000004321337
20170705,1372124.610000000102445,1060705.179999999701977,1311157.289999999804422,1197977.000000000000000,1387593.500000000000000,1333154.700000000186265,1187244.979999999748543,1290343.100000000093132,1244029.719999999972060,11384331.080000000074506
20170706,1369880.940000000176951,1037811.699999999837019,1300168.970000000204891,1186751.239999999990687,1387774.800000000046566,1322097.000000000232831,1178480.119999999646097,1281364.360000000102445,1234911.820000000065193,11299241.949999999254942
20170707,1375932.050000000279397,1037510.469999999739230,1300365.189999999944121,1186483.959999999962747,1416601.500000000000000,1332074.350000000093132,1193775.659999999683350,1288355.440000000176951,1242206.139999999897555,11373305.759999999776483
20170710,1386742.460000000195578,1040221.539999999920838,1290652.300000000046566,1186216.680000000167638,1409802.750000000000000,1337793.850000000093132,1202712.379999999888241,1281432.899999999906868,1246765.090000000083819,11382340.950000001117587
20170711,1402448.150000000139698,1042731.789999999920838,1287512.779999999795109,1184880.280000000027940,1404273.099999999860302,1332519.200000000186265,1202884.239999999757856,1274578.899999999906868,1251627.969999999972060,11383457.410000000149012
20170712,1403603.980000000214204,1048153.929999999818392,1297323.779999999795109,1189691.320000000065193,1419411.650000000139698,1342941.400000000139698,1222820.000000000000000,1279650.860000000102445,1253350.239999999990687,11456948.160000000149012
20170713,1402176.190000000176951,1047250.239999999874271,1293693.710000000195578,1187553.080000000074506,1405451.549999999813735,1341606.850000000093132,1233475.319999999832362,1271357.520000000018626,1246866.399999999906868,11429431.860000001266599
20170714,1417677.910000000149012,1055283.039999999804422,1300953.849999999860302,1194235.080000000074506,1407627.149999999906868,1345928.250000000232831,1250833.179999999934807,1281090.200000000186265,1250310.939999999944121,11503940.599999999627471
20170717,1421009.420000000158325,1052270.739999999990687,1296538.900000000139698,1195571.479999999981374,1407445.849999999860302,1345356.300000000279397,1260629.199999999720603,1277320.500000000000000,1247271.639999999897555,11503415.030000001192093
20170718,1415842.180000000167638,1061910.099999999860302,1319202.310000000055879,1193967.800000000046566,1395661.350000000093132,1343004.950000000186265,1259769.899999999906868,1280747.500000000000000,1242408.760000000009313,11512515.849999999627471
20170719,1433791.540000000037253,1072653.969999999739230,1326560.560000000055879,1198244.280000000027940,1395026.799999999813735,1348025.400000000139698,1269394.059999999823049,1296785.860000000102445,1246967.709999999962747,11587451.179999999701977
20170720,1429712.140000000130385,1078076.109999999869615,1339903.520000000018626,1197977.000000000000000,1397927.600000000093132,1350249.650000000139698,1275581.019999999785796,1312618.600000000093132,1240585.179999999934807,11622631.819999998435378
20170721,1442358.280000000027940,1075365.039999999804422,1327541.659999999916181,1203589.880000000121072,1395298.749999999767169,1342051.700000000186265,1268191.040000000037253,1314537.720000000204891,1251121.419999999925494,11620056.490000000223517
20170724,1442630.240000000223517,1074461.349999999860302,1304976.359999999869615,1198511.560000000055879,1376534.199999999953434,1334679.900000000139698,1264925.699999999720603,1308437.659999999916181,1247474.260000000009313,11552632.230000000447035
20170725,1444533.960000000195578,1068637.569999999832362,1293889.929999999934807,1209202.760000000009313,1441983.500000000000000,1267253.350000000093132,1275065.439999999711290,1305079.200000000186265,1220019.250000000000000,11525665.960000000894070
20170726,1587244.969999999972060,1073858.889999999897555,1284765.699999999953434,1222566.760000000009313,1418777.099999999860302,1264965.550000000046566,1272659.399999999906868,1307478.100000000093132,1211103.969999999972060,11643421.439999999478459
20170727,1638577.420000000158325,1104584.349999999860302,1283588.380000000121072,1232723.399999999906868,1422765.699999999953434,1271447.650000000139698,1257363.859999999869615,1295003.820000000065193,1202492.619999999878928,11708548.200000001117587
20170728,1640413.150000000139698,1104182.709999999729916,1293595.599999999860302,1229783.320000000065193,1412794.199999999953434,1269350.500000000232831,1255301.540000000037253,1310219.700000000186265,1204316.199999999953434,11719957.919999998062849
20170731,1648503.960000000195578,1103881.479999999981374,1302131.169999999925494,1225239.560000000055879,1406358.049999999813735,1278565.250000000000000,1249458.299999999813735,1314743.340000000083819,1201276.899999999906868,11730159.009999999776483
