代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11626352.449999999254942
真實報酬,1626352.449999999254942

夏普值報酬,0.153935245000000
夏普值風險,0.045611118869851
夏普值,3.374949986191863

預期報酬,12990.830277372717319
風險,98161.818455423810519
趨勢值,0.132340970061307
找到最佳解世代,1851
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](1),CSCO[4](5),DD[7](2),JNJ[12](16),MCD[15](17),MRK[17](4),
20140113,1770879.000000000000000,1740391.140000000130385,1787400.769999999785796,1663849.040000000037253,1623191.359999999869615,1776706.629999999888241,10362421.940000001341105
20140114,1784078.000000000000000,1757645.959999999962747,1819756.489999999990687,1667722.360000000102445,1629866.599999999860302,1772692.989999999990687,10431766.400000000372529
20140115,1820523.000000000000000,1786665.430000000167638,1836833.119999999878928,1669130.840000000083819,1633974.439999999711290,1756638.430000000167638,10503769.259999999776483
20140116,1812643.000000000000000,1786665.430000000167638,1838331.069999999832362,1666313.880000000121072,1644244.039999999804422,1755969.489999999990687,10504170.910000000149012
20140117,1801414.000000000000000,1783528.189999999944121,1837731.889999999897555,1673708.400000000139698,1624902.959999999962747,1737573.640000000130385,10458863.080000001937151
20140121,1784866.000000000000000,1790586.979999999981374,1959665.019999999785796,1655574.219999999972060,1627470.359999999869615,1733560.000000000000000,10551726.580000000074506
20140122,1765954.000000000000000,1791371.290000000037253,1948879.779999999795109,1660679.959999999962747,1624047.159999999683350,1717505.439999999944121,10508441.629999998956919
20140123,1743102.000000000000000,1769410.609999999869615,1908135.539999999804422,1632862.479999999981374,1631578.199999999720603,1725867.189999999944121,10410960.019999997690320
20140124,1697595.000000000000000,1741175.449999999953434,1852112.209999999962747,1595361.699999999953434,1616344.959999999962747,1738577.049999999813735,10241170.370000001043081
20140127,1798459.000000000232831,1725489.250000000000000,1838930.250000000000000,1583565.679999999934807,1610183.199999999720603,1756972.900000000139698,10313604.279999999329448
20140128,1821705.000000000000000,1705881.500000000000000,1837132.709999999962747,1586382.639999999897555,1612065.959999999962747,1768344.879999999888241,10331516.689999997615814
20140129,1785260.000000000000000,1698038.399999999906868,1908435.129999999888241,1565255.440000000176951,1594436.479999999981374,1746269.860000000102445,10297699.309999998658895
20140130,1836086.000000000000000,1723920.630000000121072,1933301.099999999860302,1575819.040000000037253,1605561.879999999888241,1789750.959999999962747,10464443.609999999403954
20140131,1850073.000000000000000,1718430.459999999962747,1941689.619999999878928,1557684.860000000102445,1611894.799999999813735,1771689.579999999841675,10451466.320000000298023
20140203,1820720.000000000000000,1690195.300000000046566,1906637.589999999850988,1527930.719999999972060,1592211.399999999674037,1741921.750000000000000,10279620.759999999776483
20140204,1822296.000000000000000,1709803.050000000046566,1918321.599999999860302,1525113.760000000009313,1593409.519999999785796,1789750.959999999962747,10358698.890000000596046
20140205,1811657.999999999767169,1723920.630000000121072,1913528.159999999683350,1536733.719999999972060,1601796.359999999869615,1790419.900000000139698,10378060.769999999552965
20140206,1848497.000000000000000,1763920.439999999944121,1944985.109999999869615,1562614.540000000037253,1625074.119999999878928,1798447.180000000167638,10543542.389999998733401
20140207,1868985.000000000000000,1778038.020000000018626,1945584.289999999804422,1585326.280000000260770,1641847.799999999813735,1831894.180000000167638,10651679.570000000298023
20140210,1861696.000000000000000,1790586.979999999981374,1955770.349999999860302,1603460.459999999962747,1623704.839999999850988,1835907.820000000065193,10671130.449999999254942
20140211,1870757.999999999767169,1781175.260000000009313,1998312.129999999888241,1636911.860000000102445,1631920.519999999785796,1862999.890000000130385,10782081.660000000149012
20140212,1894595.000000000000000,1792155.600000000093132,1978539.189999999944121,1627228.560000000055879,1624218.319999999832362,1839586.989999999990687,10756327.660000000149012
20140213,1893413.000000000000000,1746665.619999999878928,1975543.289999999804422,1629693.400000000139698,1633974.439999999711290,1842931.689999999944121,10722225.439999999478459
20140214,1902081.000000000000000,1769410.609999999869615,1992919.509999999776483,1633214.600000000093132,1639451.559999999823049,1854303.669999999925494,10791384.949999999254942
20140218,1902278.000000000000000,1757645.959999999962747,1995915.409999999916181,1622827.060000000055879,1643559.399999999674037,1862665.419999999925494,10784895.250000000000000
20140219,1895382.999999999767169,1747449.930000000167638,1981235.499999999767169,1613495.880000000121072,1635514.879999999888241,1840924.869999999878928,10714008.059999998658895
20140220,1909370.000000000000000,1749018.550000000046566,2011194.499999999767169,1626524.320000000065193,1638938.079999999841675,1866679.060000000055879,10801728.509999999776483
20140221,1920796.000000000000000,1735685.280000000027940,2003704.749999999767169,1611383.159999999916181,1650919.279999999795109,1874037.400000000139698,10796529.870000001043081
20140224,1917249.999999999767169,1734900.969999999972060,2003105.569999999832362,1604164.699999999953434,1651775.079999999841675,1879054.449999999953434,10790254.769999997690320
20140225,1899323.000000000000000,1712940.290000000037253,2014789.579999999841675,1604164.699999999953434,1653829.000000000000000,1870023.759999999776483,10755074.330000000074506
20140226,1914886.000000000000000,1719999.080000000074506,2040554.319999999832362,1604164.699999999953434,1641334.319999999832362,1882064.680000000167638,10803007.099999999627471
20140227,1905036.000000000000000,1719214.770000000018626,2069614.549999999813735,1608566.199999999953434,1627470.359999999869615,1895109.009999999776483,10825014.890000000596046
20140228,1910355.000000000000000,1709803.050000000046566,2078302.659999999916181,1621946.760000000009313,1628668.479999999981374,1906146.520000000018626,10855226.469999998807907
20140303,1897353.000000000000000,1691763.919999999925494,2066618.649999999906868,1612087.400000000139698,1614462.199999999720603,1887081.729999999981374,10769370.900000000372529
20140304,1911340.000000000000000,1711371.669999999925494,2110358.790000000037253,1643426.080000000074506,1625758.760000000009313,1908487.810000000055879,10910747.110000001266599
20140305,1898535.000000000000000,1715293.219999999972060,2129532.549999999813735,1630221.580000000074506,1626443.399999999674037,1902467.350000000093132,10902497.099999999627471
20140306,1922766.000000000000000,1711371.669999999925494,2123840.339999999850988,1635503.380000000121072,1636028.359999999869615,1915177.209999999962747,10944690.960000000894070
20140307,1911931.000000000000000,1704312.880000000121072,2112455.919999999925494,1643073.959999999962747,1634659.079999999841675,1922201.079999999841675,10928637.919999999925494
20140310,1906021.000000000000000,1701175.640000000130385,2125937.469999999739230,1645362.739999999990687,1629524.279999999795109,1917184.030000000027940,10925209.159999998286366
20140311,1907794.000000000000000,1694901.159999999916181,2101670.679999999701977,1646066.979999999981374,1690799.559999999823049,1896112.419999999925494,10937348.800000000745058
20140312,1907399.999999999767169,1711371.669999999925494,2091784.209999999729916,1648003.639999999897555,1689601.439999999711290,1900126.060000000055879,10948291.019999999552965
20140313,1883563.000000000000000,1687842.369999999878928,2079501.019999999785796,1637440.040000000037253,1666666.000000000000000,1866010.119999999878928,10821026.549999998882413
20140314,1879229.000000000000000,1674509.100000000093132,2075606.349999999860302,1634094.900000000139698,1670260.359999999869615,1862999.890000000130385,10796703.600000001490116
20140317,1884745.000000000000000,1687058.060000000055879,2090585.849999999860302,1653813.620000000111759,1670602.679999999701977,1881730.209999999962747,10868539.420000001788139
20140318,1899323.000000000000000,1696469.780000000027940,2119046.900000000372529,1653989.679999999934807,1665639.039999999804422,1885074.909999999916181,10919547.310000000521541
20140319,1892034.000000000232831,1696469.780000000027940,2116650.179999999701977,1647827.580000000074506,1644928.679999999701977,1872699.520000000018626,10870613.739999998360872
20140320,1895382.999999999767169,1712155.979999999981374,2143613.279999999329448,1657158.760000000009313,1653486.679999999701977,1859320.720000000204891,10921122.419999999925494
20140321,1918629.000000000000000,1697254.090000000083819,2142115.330000000074506,1689025.620000000111759,1634145.599999999860302,1828215.009999999776483,10909388.650000000372529
20140324,1907991.000000000000000,1691763.919999999925494,2140018.200000000186265,1676173.239999999990687,1646297.959999999962747,1798781.650000000139698,10861029.970000000670552
20140325,1942269.000000000000000,1752155.790000000037253,2160689.910000000149012,1714554.320000000065193,1641676.639999999897555,1845941.919999999925494,11057291.580000000074506
20140326,1926706.000000000000000,1750587.169999999925494,2108860.839999999850988,1708744.340000000083819,1640478.519999999785796,1873702.930000000167638,11009083.799999998882413
20140327,1939511.000000000000000,1727057.869999999878928,2047444.889999999897555,1712793.719999999972060,1645955.639999999897555,1864003.299999999813735,10936770.419999998062849
20140328,1958029.000000000000000,1751371.479999999981374,2056432.589999999850988,1715610.679999999934807,1664440.919999999692664,1872365.049999999813735,11018253.719999998807907
20140331,1957635.000000000000000,1758430.270000000018626,2073209.629999999888241,1729519.420000000158325,1677962.559999999823049,1898788.180000000167638,11095549.060000000521541
20140401,1966303.000000000000000,1811763.350000000093132,2120844.440000000409782,1724413.679999999934807,1675737.479999999981374,1885409.379999999888241,11184475.330000001937151
20140402,2021857.000000000000000,1803135.939999999944121,2128933.370000000111759,1729519.420000000158325,1670431.519999999785796,1888419.610000000102445,11242300.859999999403954
20140403,2020281.000000000000000,1810979.040000000037253,2114553.049999999813735,1730047.600000000093132,1671629.639999999897555,1880057.860000000102445,11227552.189999999478459
20140404,2012795.000000000000000,1781175.260000000009313,2077403.889999999897555,1732864.560000000055879,1675224.000000000000000,1877047.629999999888241,11156514.339999999850988
20140407,1991913.000000000000000,1792155.600000000093132,2045048.169999999925494,1723533.380000000121072,1660504.239999999990687,1845941.919999999925494,11059100.309999998658895
20140408,2017129.000000000000000,1799214.390000000130385,2051039.969999999739230,1726526.400000000139698,1678818.359999999869615,1840924.869999999878928,11113656.989999998360872
20140409,2028949.000000000000000,1813331.969999999972060,2089387.489999999757856,1742195.739999999990687,1683439.679999999701977,1909825.689999999944121,11267133.569999998435378
20140410,2014568.000000000000000,1776469.399999999906868,2035161.699999999953434,1699765.280000000260770,1701924.959999999962747,1868016.939999999944121,11095910.279999999329448
20140411,1998611.000000000000000,1761567.510000000009313,2003105.569999999832362,1705575.260000000009313,1699528.719999999972060,1870358.229999999981374,11038750.290000000968575
20140414,2024812.000000000000000,1792155.600000000093132,2026473.589999999850988,1710328.880000000121072,1713563.839999999850988,1858651.780000000027940,11125989.689999999478459
20140415,2019296.000000000000000,1795292.840000000083819,2029469.489999999757856,1746597.239999999990687,1725887.359999999869615,1874706.339999999850988,11191253.269999999552965
20140416,2027767.000000000232831,1806273.180000000167638,2069314.959999999729916,1738674.540000000037253,1725887.359999999869615,1881730.209999999962747,11249651.250000000000000
20140417,2025797.000000000000000,1820390.760000000009313,2078602.249999999767169,1742371.799999999813735,1715960.079999999841675,1888754.079999999841675,11271879.969999998807907
20140421,2022054.000000000000000,1835292.649999999906868,2079800.609999999869615,1760682.040000000037253,1706032.799999999813735,1914842.739999999990687,11318708.839999999850988
20140422,2042739.000000000000000,1844704.369999999878928,2088189.129999999888241,1763851.120000000111759,1700042.199999999720603,1932235.180000000167638,11371765.000000000000000
20140423,2036632.000000000000000,1843135.750000000000000,2106464.120000000111759,1764555.360000000102445,1696790.159999999683350,1923204.489999999990687,11370785.880000000819564
20140424,2074062.000000000000000,1829802.479999999981374,2100771.910000000149012,1759977.799999999813735,1708942.519999999785796,1924207.900000000139698,11397768.610000001266599
20140425,2062439.000000000000000,1803920.250000000000000,2069314.959999999729916,1756984.780000000260770,1724175.760000000009313,1914508.270000000018626,11331347.019999999552965
20140428,2053968.000000000000000,1805488.869999999878928,2017785.479999999748543,1784274.080000000074506,1716987.039999999804422,1895777.949999999953434,11274285.419999998062849
20140429,2074456.000000000000000,1816469.209999999962747,2077703.479999999748543,1778816.219999999972060,1737355.079999999841675,1964009.829999999841675,11448813.819999998435378
20140430,2076426.000000000000000,1812547.659999999916181,2128933.370000000111759,1783393.780000000260770,1735301.159999999683350,1958658.310000000055879,11495264.280000001192093
20140501,2069924.999999999767169,1804704.560000000055879,2078302.659999999916181,1770013.219999999972060,1728112.439999999711290,1994112.129999999888241,11445174.009999997913837
20140502,2068743.000000000000000,1799214.390000000130385,2077403.889999999897555,1748533.900000000139698,1736156.959999999962747,1947286.329999999841675,11377342.470000000670552
20140505,2059090.000000000000000,1800783.010000000009313,2105864.940000000409782,1760682.040000000037253,1731193.319999999832362,1960999.600000000093132,11418616.910000000149012
20140506,2046285.000000000000000,1781959.569999999832362,2095379.289999999804422,1752055.100000000093132,1727941.279999999795109,1910160.159999999916181,11313784.399999998509884
20140507,2061060.000000000000000,1793724.219999999972060,2112755.509999999776483,1776703.500000000000000,1745228.439999999711290,1867682.470000000204891,11357158.140000000596046
20140508,2067364.000000000000000,1805488.869999999878928,2099573.549999999813735,1769485.040000000037253,1745057.279999999795109,1833901.000000000000000,11320873.740000000223517
20140509,2069728.000000000000000,1805488.869999999878928,2102269.860000000335276,1776703.500000000000000,1761830.959999999962747,1846610.860000000102445,11362636.050000000745058
20140512,2092186.000000000000000,1818822.140000000130385,2138520.250000000000000,1769837.159999999916181,1760632.839999999850988,1849286.619999999878928,11429289.009999999776483
20140513,2110901.000000000000000,1792939.909999999916181,2135524.349999999627471,1778640.159999999916181,1772100.559999999823049,1864672.239999999990687,11454782.220000000670552
20140514,2098687.000000000000000,1789018.359999999869615,2141815.739999999292195,1775999.260000000009313,1763542.559999999823049,1885409.379999999888241,11454476.300000000745058
20140515,2068349.000000000000000,1896468.830000000074506,2074108.399999999906868,1772830.179999999934807,1754471.079999999841675,1869354.820000000065193,11435586.310000000521541
20140516,2088837.000000000000000,1911370.719999999972060,2089687.079999999841675,1770893.520000000018626,1765425.319999999832362,1868685.879999999888241,11494903.519999999552965
20140519,2076229.000000000000000,1909802.100000000093132,2104966.169999999925494,1771949.880000000121072,1747453.519999999785796,1884740.439999999944121,11495145.109999999403954
20140520,2000778.000000000000000,1891762.969999999972060,2122042.799999999813735,1765083.540000000037253,1737868.559999999823049,1873033.989999999990687,11390573.859999999403954
20140521,2026782.000000000000000,1919998.130000000121072,2130730.910000000149012,1780752.880000000121072,1755498.039999999804422,1892433.250000000000000,11506199.209999999031425
20140522,2030722.000000000000000,1912155.030000000027940,2123840.339999999850988,1777583.799999999813735,1753615.279999999795109,1889423.020000000018626,11487343.469999998807907
20140523,2049437.000000000000000,1923135.369999999878928,2162187.860000000335276,1777935.920000000158325,1745913.079999999841675,1900126.060000000055879,11558739.290000000968575
20140527,2042542.000000000232831,1938037.260000000009313,2172973.099999999627471,1774942.900000000139698,1752074.839999999850988,1896112.419999999925494,11576686.519999999552965
20140528,2027373.000000000000000,1946664.669999999925494,2208923.900000000372529,1765963.840000000083819,1733931.879999999888241,1886412.790000000037253,11569274.079999998211861
20140529,2040966.000000000000000,1935684.330000000074506,2238583.309999999590218,1774062.600000000093132,1734616.519999999785796,1929893.890000000130385,11653810.650000000372529
20140530,2013977.000000000000000,1930978.469999999972060,2223603.809999999590218,1786386.799999999813735,1736156.959999999962747,1935245.409999999916181,11626352.449999999254942
