代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11894303.329999998211861
真實報酬,1894303.329999998211861

夏普值報酬,0.180730333000000
夏普值風險,0.051110977589408
夏普值,3.536037491825476

預期報酬,14796.600551060513681
風險,119774.232279170450056
趨勢值,0.123537427621097
找到最佳解世代,1880
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](23),HD[9](4),TRV[22](1),V[25](2),
20121207,2524691.520000000018626,3087867.970000000204891,2928568.959999999962747,2877283.769999999552965,11418412.219999998807907
20121210,2554794.880000000353903,3020313.459999999962747,2926573.760000000242144,2879607.899999999906868,11381290.000000000000000
20121211,2564603.839999999850988,3013126.810000000055879,2930165.120000000111759,2884256.159999999217689,11392151.929999999701977
20121212,2552765.439999999944121,3015043.250000000000000,2925376.640000000130385,2864113.699999999720603,11357299.029999999329448
20121213,2513867.839999999850988,2990129.529999999795109,2922184.320000000298023,2850943.629999999422580,11277125.319999998435378
20121214,2503720.640000000130385,2973360.680000000167638,2927770.879999999888241,2843971.239999999757856,11248823.439999999478459
20121217,2525029.760000000242144,3033249.430000000167638,2960492.159999999683350,2888129.709999999497086,11406901.059999998658895
20121218,2554456.640000000130385,3018397.020000000018626,2966078.719999999739230,2919118.109999999403954,11458050.489999998360872
20121219,2554118.400000000372529,2959466.490000000223517,2930165.120000000111759,2888904.419999999459833,11332654.430000001564622
20121220,2577456.960000000428408,2969048.689999999944121,2945727.679999999701977,2953205.349999999627471,11445438.679999999701977
20121221,2576442.240000000223517,2937906.540000000037253,2905823.679999999701977,2919892.819999999366701,11340065.280000001192093
20121224,2569677.439999999944121,2949884.290000000037253,2887467.839999999850988,2928414.629999999422580,11335444.199999999254942
20121226,2571368.640000000130385,2929282.560000000055879,2883876.479999999515712,2900525.069999999366701,11285052.750000000000000
20121227,2564942.080000000074506,2925928.790000000037253,2865919.679999999701977,2893552.679999999701977,11250343.230000000447035
20121228,2526382.720000000204891,2905806.169999999925494,2842775.359999999869615,2878833.189999999478459,11153797.439999999478459
20121231,2549044.800000000279397,2963299.370000000111759,2865919.679999999701977,2936161.729999999515712,11314425.579999998211861
20130102,2606883.839999999850988,3041394.299999999813735,2907419.839999999850988,3009759.179999999701977,11565457.160000000149012
20130103,2620413.439999999944121,3032770.319999999832362,2929766.080000000074506,3012083.309999999590218,11595033.149999998509884
20130104,2627854.720000000204891,3027021.000000000000000,2955304.640000000130385,3036099.319999999366701,11646279.679999999701977
20130107,2575089.279999999795109,3010731.260000000242144,2915400.640000000130385,3057791.199999999720603,11559012.379999998956919
20130108,2507441.279999999795109,3028937.439999999944121,2920588.159999999683350,3086455.469999999739230,11543422.349999997764826
20130109,2596398.400000000372529,3026541.890000000130385,2950516.159999999683350,3133712.779999999795109,11707169.230000000447035
20130110,2607560.320000000298023,3048101.839999999850988,2970867.200000000186265,3108922.059999999590218,11735451.419999998062849
20130111,2542280.000000000000000,3051934.720000000204891,2986828.799999999813735,3121317.419999999459833,11702360.939999999478459
20130114,2589295.359999999869615,3041394.299999999813735,2990819.200000000186265,3111246.189999999478459,11732755.049999998882413
20130115,2602486.720000000204891,3063912.470000000204891,3015160.640000000130385,3107372.639999999664724,11788932.469999998807907
20130116,2514544.320000000298023,3059600.479999999981374,3014761.599999999627471,3102724.379999999422580,11691630.779999999329448
20130117,2545662.400000000372529,3116614.569999999832362,3028728.000000000000000,3096526.699999999720603,11787531.669999999925494
20130118,2538221.120000000577420,3136737.189999999944121,3045088.640000000130385,3065538.299999999813735,11785585.250000000000000
20130122,2508456.000000000000000,3150152.270000000018626,3110531.200000000186265,3080257.789999999571592,11849397.259999997913837
20130123,2512853.120000000577420,3184169.079999999608845,3098160.959999999962747,3080257.789999999571592,11875440.949999999254942
20130124,2547691.839999999850988,3226809.869999999646097,3116117.760000000242144,3090329.019999999552965,11980948.489999998360872
20130125,2537882.880000000353903,3249328.039999999571592,3126492.799999999813735,3095751.989999999757856,12009455.709999999031425
20130128,2503044.160000000149012,3237829.399999999906868,3086588.799999999813735,3028352.219999999739230,11855814.579999998211861
20130129,2491205.760000000242144,3219623.220000000204891,3104944.640000000130385,3034549.899999999906868,11850323.520000001415610
20130130,2523000.320000000298023,3221539.659999999683350,3095766.719999999739230,3002012.079999999608845,11842318.779999999329448
20130131,2498647.040000000502914,3206208.140000000130385,3130882.239999999757856,3058565.909999999217689,11894303.329999998211861
