代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13029057.910000000149012
真實報酬,3029057.910000000149012

夏普值報酬,0.294205791000000
夏普值風險,0.071588516952738
夏普值,4.109678528390661

預期報酬,21024.947163152653957
風險,145789.604179768124595
趨勢值,0.144214309939600
找到最佳解世代,1957
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](4),VZ[26](3),WBA[27](6),
20180711,3452081.160000000149012,3589957.750000000465661,3401185.289999999571592,10443225.199999999254942
20180712,3480840.480000000447035,3582965.250000000000000,3412939.229999999981374,10476745.960000000894070
20180713,3481768.200000000186265,3594852.499999999534339,3481860.060000000055879,10558481.759999999776483
20180716,3467852.400000000372529,3607439.000000000465661,3481325.789999999571592,10556618.189999999478459
20180717,3492900.839999999850988,3596251.000000000000000,3506436.479999999515712,10595589.320000000298023
20180718,3493828.559999999590218,3575972.750000000000000,3534752.789999999571592,10604555.099999999627471
20180719,3465996.959999999962747,3548702.000000000000000,3469037.580000000074506,10483737.539999999105930
20180720,3463213.799999999813735,3539611.750000000000000,3471708.930000000167638,10474535.480000000447035
20180723,3452081.160000000149012,3548702.000000000000000,3490942.649999999906868,10491726.810000000521541
20180724,3497539.440000000409782,3601845.000000000000000,3500025.240000000223517,10599410.679999999701977
20180725,3524443.320000000298023,3559889.999999999534339,3563603.370000000111759,10647937.690000001341105
20180726,3540214.559999999590218,3578769.750000000000000,3608482.050000000279397,10727467.359999999403954
20180727,3563407.559999999590218,3636807.500000000000000,3667251.750000000000000,10867467.809999998658895
20180730,3580106.520000000484288,3670371.500000000000000,3695033.789999999571592,10945512.810000000521541
20180731,3704421.000000000000000,3610935.250000000000000,3612756.209999999962747,10928113.460000000894070
20180801,3735963.480000000447035,3617228.500000000000000,3549712.349999999627471,10902905.330000000074506
20180802,3678444.839999999850988,3634709.750000000000000,3578562.930000000167638,10891718.519999999552965
20180803,3761011.919999999925494,3654988.000000000000000,3591385.409999999683350,11007386.330000000074506
20180806,3807397.919999999925494,3669672.250000000000000,3602070.810000000055879,11079141.980000000447035
20180807,3788843.520000000484288,3668273.750000000000000,3582302.819999999366701,11039421.089999999850988
20180808,3841723.559999999590218,3685055.750000000000000,3552383.699999999254942,11079164.009999997913837
20180809,3803687.040000000037253,3706732.500000000000000,3535287.060000000055879,11045707.599999999627471
20180810,3797193.000000000000000,3668973.000000000000000,3552383.699999999254942,11018550.699999999254942
20180813,3786060.360000000335276,3651491.750000000000000,3551849.430000000167638,10989402.540000000968575
20180814,3776783.160000000149012,3696943.000000000000000,3668320.289999999571592,11142047.449999999254942
20180815,3818530.559999999590218,3722815.250000000000000,3672060.180000000167638,11213406.990000000223517
20180816,3842651.280000000260770,3794838.000000000000000,3719610.209999999962747,11357100.490000000223517
20180817,3904808.520000000484288,3831199.000000000000000,3739378.199999999254942,11475386.719999998807907
20180820,3927073.799999999813735,3821409.500000000000000,3739378.199999999254942,11487862.500000000000000
20180821,3911302.559999999590218,3839589.999999999534339,3753269.219999999739230,11504162.779999997466803
20180822,3902953.080000000074506,3785747.750000000000000,3720678.750000000000000,11409380.580000000074506
20180823,3915013.440000000409782,3795537.250000000000000,3701445.029999999795109,11411996.720000000670552
20180824,3933567.839999999850988,3830499.750000000000000,3697705.139999999199063,11461773.729999998584390
20180827,3857494.799999999813735,3835394.500000000000000,3709993.349999999627471,11402883.649999998509884
20180828,3850073.040000000037253,3821409.500000000000000,3701445.029999999795109,11372928.570000000298023
20180829,3850073.040000000037253,3815815.500000000000000,3668320.289999999571592,11334209.830000000074506
20180830,3850073.040000000037253,3828402.000000000000000,3622373.069999999366701,11300849.109999999403954
20180831,3851928.480000000447035,3801830.500000000000000,3662977.589999999850988,11316737.570000000298023
20180904,3838012.679999999701977,3719319.000000000000000,3612756.209999999962747,11170088.890000000596046
20180905,3882543.240000000223517,3763371.750000000000000,3645880.949999999254942,11291796.939999999478459
20180906,3876049.200000000186265,3796236.500000000000000,3634661.279999999795109,11306947.980000000447035
20180907,3915013.440000000409782,3775958.250000000000000,3643209.599999999627471,11334182.289999999105930
20180910,3902025.360000000335276,3784349.250000000000000,3675800.069999999366701,11362175.679999999701977
20180911,3925218.360000000335276,3826304.250000000000000,3672594.449999999254942,11424118.059999998658895
20180912,3934495.559999999590218,3843785.500000000000000,3760214.729999999515712,11538496.789999999105930
20180913,3975315.240000000223517,3841687.750000000000000,3765557.430000000167638,11582561.419999999925494
20180914,3985520.160000000149012,3814417.000000000000000,3754872.029999999795109,11554810.189999999478459
20180917,3990158.759999999776483,3824905.750000000000000,3763954.620000000111759,11579020.129999998956919
20180918,4036544.759999999776483,3803229.000000000000000,3786928.229999999515712,11626702.989999998360872
20180919,4013351.759999999776483,3740995.750000000000000,3808299.029999999795109,11562647.539999999105930
20180920,4058810.040000000037253,3772462.000000000000000,3894316.500000000000000,11725589.539999999105930
20180921,4087569.360000000335276,3805326.750000000000000,3900193.469999999739230,11793090.580000000074506
20180924,4075509.000000000000000,3743792.750000000000000,3857451.870000000111759,11676754.620000001043081
20180925,4062520.919999999925494,3709529.500000000000000,3857986.139999999199063,11630037.559999998658895
20180926,4052316.000000000000000,3715822.750000000000000,3898056.389999999199063,11666196.139999998733401
20180927,4072725.839999999850988,3747289.000000000465661,3943469.339999999850988,11763485.179999999701977
20180928,4088497.080000000074506,3733304.000000000000000,3894850.770000000018626,11716652.849999999627471
20181001,4107051.480000000447035,3764770.250000000465661,3871342.889999999199063,11743165.619999999180436
20181002,4102412.879999999888241,3805326.750000000000000,3926372.699999999254942,11834113.329999998211861
20181003,4157148.360000000335276,3796236.500000000000000,3942935.069999999366701,11896320.929999999701977
20181004,4146943.440000000409782,3847281.750000000000000,3918358.649999999906868,11912584.839999999850988
20181005,4166425.559999999590218,3841687.750000000000000,3874014.240000000223517,11882128.550000000745058
20181008,4200751.200000000186265,3847281.750000000000000,3961634.520000000018626,12009668.470000000670552
20181009,4218377.879999999888241,3845184.000000000000000,3930112.589999999850988,11993675.469999998807907
20181010,4129316.759999999776483,3799033.500000000000000,3863328.839999999850988,11791680.099999999627471
20181011,3971604.360000000335276,3729108.500000000000000,3787996.770000000018626,11488710.630000000819564
20181012,4061593.200000000186265,3757078.500000000000000,3926906.969999999739230,11745579.669999999925494
20181015,4000363.679999999701977,3747988.250000000000000,3992087.909999999683350,11740440.839999999850988
20181016,4075509.000000000000000,3754980.750000000000000,4075434.029999999795109,11905924.779999999329448
20181017,4134883.080000000074506,3773161.250000000000000,4112832.930000000167638,12020878.259999999776483
20181018,4082003.040000000037253,3821409.500000000000000,4091462.129999999422580,11994875.669999999925494
20181019,4128389.040000000037253,3838890.750000000000000,4132600.919999999459833,12099881.709999999031425
20181022,4116328.679999999701977,3844484.750000000000000,4148629.020000000018626,12109443.449999999254942
20181023,4091280.240000000223517,4000417.500000000000000,4127792.490000000223517,12219491.230000000447035
20181024,3940989.599999999627471,4015101.750000000000000,3964305.870000000111759,11920398.219999998807907
20181025,4027267.559999999590218,3945876.000000000000000,4046583.449999999254942,12019728.009999997913837
20181026,3952122.240000000223517,3881545.000000000000000,4072762.680000000167638,11906430.919999999925494
20181029,4010568.599999999627471,3949372.250000000000000,4104284.609999999403954,12064226.459999999031425
20181030,3979026.120000000111759,4068244.750000000000000,4210070.069999999366701,12257341.939999999478459
20181031,3994797.360000000335276,3992026.500000000465661,4261894.259999999776483,12248719.120000001043081
20181101,4051388.280000000260770,3919304.500000000000000,4268839.770000000484288,12239533.550000000745058
20181102,3982737.000000000000000,3959861.000000000000000,4236783.569999999366701,12179382.570000000298023
20181105,4037472.480000000447035,4000417.500000000000000,4272579.659999999217689,12310470.640000000596046
20181106,3990158.759999999776483,4000417.500000000000000,4306238.669999998994172,12296815.929999999701977
20181107,4119111.839999999850988,4031184.500000000000000,4376228.039999999105930,12526525.379999998956919
20181108,4068087.240000000223517,4074538.000000000000000,4404544.349999999627471,12547170.589999999850988
20181109,4107979.200000000186265,4087823.750000000000000,4401873.000000000000000,12597676.949999999254942
20181112,4092207.959999999962747,4106004.250000000000000,4370885.339999999850988,12569098.550000000745058
20181113,4037472.480000000447035,4101808.749999999534339,4376762.309999999590218,12516044.539999999105930
20181114,3980881.559999999590218,4121387.750000000000000,4355391.509999999776483,12457661.820000000298023
20181115,4008713.160000000149012,4131177.250000000000000,4396530.299999999813735,12536421.710000000894070
20181116,4036544.759999999776483,4210192.500000000000000,4408818.509999999776483,12655556.769999999552965
20181119,4098702.000000000000000,4238861.750000000000000,4376762.309999999590218,12714327.059999998658895
20181120,4038400.200000000186265,4157748.750000000000000,4262962.799999999813735,12459112.750000000000000
20181121,3998508.240000000223517,4136771.249999999534339,4261359.990000000223517,12396640.480000000447035
20181123,4002219.120000000111759,4100410.250000000000000,4317458.339999999850988,12420088.710000000894070
20181126,4020773.520000000484288,4137470.500000000000000,4365008.370000000111759,12523253.390000000596046
20181127,4088497.080000000074506,4240959.500000000000000,4462245.509999999776483,12791703.089999999850988
20181128,4165497.839999999850988,4199703.750000000000000,4522083.750000000000000,12887286.339999999850988
20181129,4222088.759999999776483,4157049.500000000000000,4533303.419999998994172,12912442.679999999701977
20181130,4288884.599999999627471,4216485.750000000000000,4523686.559999999590218,13029057.910000000149012
