代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11942880.380000000819564
真實報酬,1942880.380000000819564

夏普值報酬,0.185588038000000
夏普值風險,0.058315149137984
夏普值,3.182501301006133

預期報酬,17117.042525361212029
風險,117459.574744134108187
趨勢值,0.145727094301574
找到最佳解世代,1792
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,4
MMM[16](3),PFE[20](10),UNH[23](1),XOM[29](2),
20160225,2632282.439999999944121,2508199.399999999906868,2631116.320000000298023,2633590.080000000540167,10405188.240000000223517
20160226,2620362.120000000111759,2478681.560000000055879,2633938.360000000335276,2625240.700000000186265,10358222.740000000223517
20160229,2597183.720000000204891,2432764.919999999925494,2585529.520000000018626,2573859.900000000372529,10189338.060000000521541
20160301,2642216.040000000037253,2463102.699999999720603,2641319.080000000074506,2610147.590000000316650,10356785.410000000149012
20160302,2639235.959999999962747,2458183.060000000055879,2632635.879999999888241,2655748.050000000279397,10385802.949999999254942
20160303,2638739.279999999795109,2450803.600000000093132,2644575.280000000260770,2646114.150000000372529,10380232.310000000521541
20160304,2650162.919999999925494,2436044.680000000167638,2644141.120000000111759,2642581.720000000204891,10372930.439999999478459
20160307,2658440.919999999925494,2442604.199999999720603,2643272.800000000279397,2712266.930000000167638,10456584.849999999627471
20160308,2652315.199999999720603,2407346.779999999795109,2641102.000000000000000,2653500.140000000130385,10354264.119999999180436
20160309,2650494.040000000037253,2438504.500000000000000,2628945.520000000018626,2646114.150000000372529,10364058.210000000894070
20160310,2647182.839999999850988,2426205.399999999906868,2650436.440000000409782,2639049.290000000502914,10362873.970000000670552
20160311,2680129.279999999795109,2500819.939999999944121,2715777.520000000018626,2639370.419999999925494,10536097.160000000149012
20160314,2678970.359999999869615,2468022.339999999850988,2718382.479999999981374,2646435.280000000260770,10511810.460000000894070
20160315,2688903.959999999962747,2422105.699999999720603,2710350.520000000018626,2659601.609999999869615,10480961.789999999105930
20160316,2696850.839999999850988,2381108.699999999720603,2711435.920000000391155,2661207.260000000242144,10450602.719999998807907
20160317,2711089.000000000000000,2405706.899999999906868,2703403.960000000428408,2700706.250000000000000,10520906.110000001266599
20160318,2737247.479999999981374,2414726.239999999757856,2750944.479999999981374,2703917.550000000279397,10606835.750000000000000
20160321,2729135.040000000037253,2465562.520000000018626,2751378.640000000130385,2685292.010000000242144,10631368.210000000894070
20160322,2730293.959999999962747,2490980.659999999683350,2779164.880000000353903,2701348.510000000242144,10701788.009999999776483
20160323,2719698.120000000111759,2475401.800000000279397,2817588.040000000037253,2689466.700000000186265,10702154.660000000149012
20160324,2722843.760000000242144,2466382.459999999962747,2791538.440000000409782,2696852.690000000409782,10677617.350000001490116
20160328,2752975.680000000167638,2441784.260000000242144,2798702.080000000074506,2704559.810000000055879,10698021.830000000074506
20160329,2721684.839999999850988,2463922.640000000130385,2818456.360000000335276,2714514.840000000316650,10718578.680000001564622
20160330,2760757.000000000000000,2465562.520000000018626,2815200.160000000149012,2714193.709999999962747,10755713.390000000596046
20160331,2758770.279999999795109,2430305.100000000093132,2798267.920000000391155,2684328.620000000111759,10671671.920000001788139
20160401,2773670.680000000167638,2463102.699999999720603,2820410.080000000074506,2664097.430000000167638,10721280.890000000596046
20160404,2754962.399999999906868,2518858.619999999646097,2811075.640000000596046,2670520.030000000260770,10755416.690000001341105
20160405,2745194.359999999869615,2571334.779999999795109,2757891.040000000502914,2640012.680000000167638,10714432.859999999403954
20160406,2761750.359999999869615,2700065.359999999869615,2779381.960000000428408,2675336.980000000447035,10916534.660000000149012
20160407,2767544.959999999962747,2686126.379999999888241,2754200.680000000167638,2645150.760000000242144,10853022.779999999329448
20160408,2758770.279999999795109,2664807.939999999944121,2728368.160000000149012,2672125.680000000167638,10824072.060000000521541
20160411,2758108.040000000037253,2614791.600000000093132,2742478.360000000335276,2675658.109999999869615,10791036.110000001266599
20160412,2781948.680000000167638,2620531.180000000167638,2752681.120000000111759,2708734.500000000000000,10863895.480000000447035
20160413,2791220.040000000037253,2668087.699999999720603,2773520.800000000279397,2724148.740000000223517,10956977.280000001192093
20160414,2784100.959999999962747,2677107.040000000037253,2778296.560000000521541,2743416.540000000502914,10982921.100000001490116
20160415,2794365.680000000167638,2664807.939999999944121,2764186.360000000335276,2728644.560000000055879,10952004.540000000968575
20160418,2807113.800000000279397,2673827.279999999795109,2774606.200000000186265,2754656.090000000316650,11010203.370000001043081
20160419,2808769.399999999906868,2696785.600000000093132,2833000.720000000204891,2768464.680000000167638,11107020.400000000372529
20160420,2797014.640000000130385,2724663.559999999590218,2907459.160000000149012,2787411.350000000093132,11216548.709999999031425
20160421,2792378.959999999962747,2725483.500000000000000,2886402.400000000372529,2787090.220000000204891,11191355.080000000074506
20160422,2792378.959999999962747,2727943.320000000298023,2911800.760000000242144,2810853.840000000316650,11242976.880000000819564
20160425,2787743.279999999795109,2723023.680000000167638,2904202.960000000428408,2804431.240000000223517,11219401.160000000149012
20160426,2751320.080000000074506,2709904.639999999664724,2914188.640000000596046,2814065.140000000130385,11189478.500000000000000
20160427,2777478.560000000055879,2705804.939999999944121,2882929.120000000577420,2840718.930000000167638,11206931.550000000745058
20160428,2764896.000000000000000,2698425.479999999515712,2867082.280000000260770,2826910.340000000316650,11157314.099999999627471
20160429,2771187.279999999795109,2682026.680000000167638,2858616.160000000149012,2838792.150000000372529,11150622.269999999552965
20160502,2787081.040000000037253,2689406.139999999664724,2867733.520000000018626,2862234.640000000130385,11206455.339999999850988
20160503,2780955.319999999832362,2763200.740000000223517,2875548.400000000372529,2829479.380000000353903,11249183.840000001713634
20160504,2767544.959999999962747,2738602.540000000037253,2866213.960000000428408,2824020.169999999925494,11196381.630000000819564
20160505,2777644.120000000111759,2752541.520000000018626,2872292.200000000186265,2827231.470000000204891,11229709.310000000521541
20160506,2796186.839999999850988,2753361.459999999962747,2866431.040000000037253,2842324.580000000540167,11258303.919999999925494
20160509,2790061.120000000111759,2773040.020000000018626,2880107.080000000074506,2844251.359999999869615,11287459.580000000074506
20160510,2818868.560000000055879,2771400.139999999664724,2899644.280000000260770,2889851.819999999832362,11379764.800000000745058
20160511,2810756.120000000111759,2718923.979999999515712,2837125.240000000223517,2851958.480000000447035,11218763.820000000298023
20160512,2817047.399999999906868,2721383.799999999813735,2816502.640000000596046,2879575.660000000149012,11234509.500000000000000
20160513,2786749.919999999925494,2721383.799999999813735,2800438.720000000204891,2847141.530000000260770,11155713.969999998807907
20160516,2807113.800000000279397,2736962.660000000149012,2836039.839999999850988,2876364.359999999869615,11256480.660000000149012
20160517,2778306.359999999869615,2708264.760000000242144,2812595.200000000186265,2875079.840000000316650,11174246.160000000149012
20160518,2761915.919999999925494,2719743.919999999925494,2833217.799999999813735,2869299.500000000000000,11184177.140000000596046
20160519,2733605.160000000149012,2736962.660000000149012,2822146.720000000204891,2893705.380000000353903,11186419.920000001788139
20160520,2731949.560000000055879,2766480.500000000000000,2842552.240000000223517,2881823.569999999832362,11222805.870000001043081
20160523,2750161.160000000149012,2760740.919999999925494,2831264.080000000074506,2877327.750000000000000,11219493.910000000149012
20160524,2791882.279999999795109,2795998.339999999850988,2878370.440000000409782,2879575.660000000149012,11345826.719999998807907
20160525,2814398.439999999944121,2816496.839999999850988,2896388.080000000074506,2898522.330000000540167,11425805.689999999478459
20160526,2796517.959999999962747,2823056.359999999869615,2886836.560000000055879,2883750.350000000093132,11390161.230000000447035
20160527,2796186.839999999850988,2837815.279999999795109,2908978.720000000204891,2890494.080000000540167,11433474.919999999925494
20160531,2786749.919999999925494,2845194.740000000223517,2901815.080000000074506,2858702.209999999962747,11392461.949999999254942
20160601,2792875.640000000130385,2849294.439999999944121,2920483.960000000428408,2865767.069999999832362,11428421.110000001266599
20160602,2782114.239999999757856,2859133.719999999739230,2953263.040000000037253,2842966.840000000316650,11437477.839999999850988
20160603,2787743.279999999795109,2844374.799999999813735,2970629.440000000409782,2837828.760000000242144,11440576.279999999329448
20160606,2815888.479999999981374,2864053.359999999869615,2999066.920000000391155,2868978.370000000111759,11547987.129999998956919
20160607,2829629.959999999962747,2856673.900000000372529,2972800.240000000223517,2912973.180000000167638,11572077.280000001192093
20160608,2838073.520000000018626,2890291.439999999944121,3047909.920000000391155,2915542.220000000204891,11691817.100000001490116
20160609,2816716.279999999795109,2895211.080000000074506,3053988.160000000149012,2911688.660000000149012,11677604.179999999701977
20160610,2790723.359999999869615,2893571.199999999720603,3022728.640000000596046,2889530.690000000409782,11596553.890000000596046
20160613,2767048.279999999795109,2848474.500000000000000,2997764.440000000409782,2909119.620000000111759,11522406.839999999850988
20160614,2774995.160000000149012,2868973.000000000000000,2992988.680000000167638,2903981.540000000502914,11540938.380000000819564
20160615,2778140.800000000279397,2852574.199999999720603,2979746.799999999813735,2895311.030000000260770,11505772.830000001937151
20160616,2813405.080000000074506,2849294.439999999944121,3010138.000000000000000,2929350.810000000055879,11602188.330000000074506
20160617,2797014.640000000130385,2805837.619999999646097,2989081.240000000223517,2913294.310000000055879,11505227.810000000521541
20160620,2834927.879999999888241,2828795.939999999944121,3007098.880000000353903,2926139.510000000242144,11596962.210000000894070
20160621,2837245.720000000204891,2849294.439999999944121,2999935.240000000223517,2939305.840000000316650,11625781.240000000223517
20160622,2834927.879999999888241,2826336.119999999646097,2993639.920000000391155,2927745.160000000149012,11582649.080000000074506
20160623,2882609.160000000149012,2836175.400000000372529,3021643.240000000223517,2947976.350000000093132,11688404.150000000372529
20160624,2799994.720000000204891,2785339.119999999646097,2980398.040000000037253,2870584.020000000018626,11436315.899999998509884
20160627,2768041.640000000130385,2771400.139999999664724,2976490.600000000558794,2853564.130000000353903,11369496.509999999776483
20160628,2807776.040000000037253,2823876.299999999813735,3011223.400000000372529,2919395.780000000260770,11562271.519999999552965
20160629,2839729.120000000111759,2870612.879999999888241,3050514.880000000353903,2969170.930000000167638,11730027.810000000521541
20160630,2899330.720000000204891,2887011.680000000167638,3065276.319999999832362,3010275.569999999832362,11861894.290000000968575
20160701,2906284.239999999757856,2916529.520000000018626,3057895.600000000558794,3013486.870000000111759,11894196.230000000447035
20160705,2907774.279999999795109,2936208.080000000074506,3073091.200000000186265,2987154.209999999962747,11904227.769999999552965
20160706,2899992.959999999962747,2940307.779999999795109,3090891.760000000242144,3021515.120000000111759,11952707.620000001043081
20160707,2895191.720000000204891,2932928.320000000298023,3056593.120000000577420,2985227.430000000167638,11869940.590000001713634
20160708,2932442.720000000204891,2961626.219999999739230,3066795.880000000353903,3003852.970000000204891,11964717.790000000968575
20160711,2947177.560000000055879,2964086.040000000037253,3046173.280000000260770,3015092.520000000018626,11972529.399999998509884
20160712,2966216.959999999962747,2971465.500000000000000,3036187.600000000558794,3049132.300000000279397,12023002.360000001266599
20160713,2967044.760000000242144,2977205.080000000074506,3071354.560000000055879,3046884.390000000130385,12062488.790000000968575
20160714,2995024.399999999906868,3027221.419999999925494,3057461.440000000409782,3049132.300000000279397,12128839.560000002384186
20160715,3003302.399999999906868,3014922.320000000298023,3068098.360000000335276,3054591.510000000242144,12140914.590000001713634
20160718,2998501.160000000149012,3004263.100000000093132,3055507.720000000204891,3044957.609999999869615,12103229.589999999850988
20160719,3000653.439999999944121,3004263.100000000093132,3095450.440000000409782,3033718.060000000055879,12134085.040000000968575
20160720,3003633.520000000018626,3007542.859999999869615,3104784.880000000353903,3016377.040000000502914,12132338.300000000745058
20160721,2984428.560000000055879,3010002.680000000167638,3101528.680000000167638,3013808.000000000000000,12109767.919999999925494
20160722,2987408.640000000130385,3012462.500000000000000,3119329.240000000223517,3018946.080000000540167,12138146.460000000894070
20160725,2973998.279999999795109,3015742.260000000242144,3076781.560000000055879,2960821.550000000279397,12027343.650000000372529
20160726,2941382.959999999962747,3019841.959999999962747,3076130.319999999832362,2939305.840000000316650,11976661.080000000074506
20160727,2951482.120000000111759,3021481.839999999850988,3075696.160000000149012,2919395.780000000260770,11968055.900000002235174
20160728,2946680.879999999888241,3006722.919999999925494,3099140.799999999813735,2896595.550000000279397,11949140.150000000372529
20160729,2952972.160000000149012,3024761.600000000093132,3108692.319999999832362,2856454.300000000279397,11942880.380000000819564
