代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12014042.539999999105930
真實報酬,2014042.539999999105930

夏普值報酬,0.192704254000000
夏普值風險,0.052672903556370
夏普值,3.658508283937101

預期報酬,15814.668992813651130
風險,69034.635669341616449
趨勢值,0.229083109362116
找到最佳解世代,2550
找到最佳解實驗#,4
找到最佳解次數,13

stock[index](rank)
投資組合檔數,9
AAPL[0](10),CAT[3](1),CVX[5](7),DD[7](12),PFE[20](16),PG[21](22),UNH[23](5),V[25](2),WMT[28](11),
20170727,1161560.560000000055879,1182553.489999999990687,1130066.219999999972060,1164425.699999999953434,1091594.979999999981374,1156114.969999999972060,1132142.920000000158325,1179710.919999999925494,1171303.099999999860302,10369473.859999997541308
20170728,1153383.719999999972060,1179761.959999999962747,1151470.710000000195578,1157003.700000000186265,1096556.679999999934807,1150122.939999999711290,1145445.160000000149012,1174734.760000000009313,1171743.530000000027940,10380224.159999998286366
20170731,1147443.939999999944121,1178211.110000000102445,1162865.140000000130385,1131645.200000000186265,1096887.459999999962747,1157899.829999999841675,1149399.880000000121072,1179592.440000000176951,1174386.109999999869615,10378332.109999999403954
20170801,1157626.420000000158325,1169422.959999999962747,1179797.050000000046566,1139562.000000000232831,1094241.219999999972060,1161469.549999999813735,1151916.520000000018626,1195113.320000000065193,1181873.419999999925494,10431023.459999999031425
20170802,1212318.679999999934807,1169319.570000000065193,1176389.370000000111759,1132758.500000000000000,1088948.739999999990687,1160704.610000000102445,1156530.360000000102445,1199971.000000000000000,1182313.849999999860302,10479255.680000001564622
20170803,1200207.699999999953434,1174178.900000000139698,1165420.900000000139698,1117419.700000000186265,1105818.520000000018626,1158409.789999999804422,1167136.200000000186265,1191795.880000000121072,1187305.389999999897555,10467693.980000002309680
20170804,1206533.179999999934807,1182346.709999999962747,1172662.219999999972060,1129418.600000000093132,1112764.899999999906868,1155987.479999999981374,1167795.320000000065193,1195350.280000000027940,1181579.800000000046566,10504439.490000000223517
20170807,1225201.060000000055879,1186068.750000000000000,1169148.050000000046566,1125336.500000000000000,1101849.160000000149012,1165804.209999999962747,1167196.120000000111759,1202459.080000000074506,1193324.599999999860302,10536388.529999999329448
20170808,1234997.840000000083819,1182967.050000000046566,1175217.979999999981374,1117048.600000000093132,1100856.820000000065193,1167589.069999999832362,1167915.160000000149012,1199971.000000000000000,1197875.709999999962747,10544440.230000000447035
20170809,1242557.560000000055879,1182243.320000000065193,1180968.440000000176951,1118656.700000000186265,1106480.080000000074506,1171923.729999999981374,1167495.720000000204891,1196298.120000000111759,1198169.329999999841675,10564794.000000001862645
20170810,1198279.199999999953434,1169939.910000000149012,1172662.219999999972060,1111729.500000000232831,1105487.739999999990687,1169628.909999999916181,1153953.800000000046566,1178763.080000000074506,1184222.379999999888241,10444667.739999998360872
20170811,1214941.439999999944121,1166838.209999999962747,1163291.100000000093132,1114450.900000000139698,1099864.479999999981374,1164529.310000000055879,1156650.200000000186265,1185871.880000000121072,1180405.320000000065193,10446843.840000001713634
20170814,1233223.619999999878928,1175729.750000000000000,1157753.620000000111759,1117048.600000000093132,1101849.160000000149012,1168481.500000000000000,1160784.680000000167638,1206961.320000000065193,1184809.619999999878928,10506642.869999999180436
20170815,1246723.119999999878928,1175109.410000000149012,1156262.760000000009313,1121625.500000000000000,1104164.620000000111759,1175493.449999999953434,1165518.360000000102445,1215965.800000000046566,1185837.289999999804422,10546701.310000000521541
20170816,1241709.019999999785796,1179968.739999999990687,1137839.990000000223517,1126449.800000000046566,1103503.060000000055879,1178553.209999999962747,1161144.200000000186265,1224140.919999999925494,1188920.300000000046566,10542230.240000000223517
20170817,1217872.760000000009313,1169836.520000000018626,1128042.910000000149012,1112966.500000000000000,1089941.080000000074506,1173836.079999999841675,1154732.760000000009313,1210397.239999999990687,1170128.619999999878928,10427755.469999998807907
20170818,1215095.719999999972060,1177900.940000000176951,1134006.350000000093132,1116924.900000000139698,1080679.239999999990687,1178935.679999999934807,1143467.800000000046566,1214544.040000000037253,1164403.030000000027940,10425958.699999999254942
20170821,1212858.660000000149012,1174592.459999999962747,1126552.050000000046566,1124965.400000000139698,1083656.260000000009313,1183907.789999999804422,1150718.120000000111759,1222956.120000000111759,1170275.429999999934807,10450483.289999999105930
20170822,1232683.639999999897555,1197545.040000000037253,1132728.469999999972060,1141170.100000000093132,1096556.679999999934807,1183015.360000000102445,1167256.040000000037253,1233026.919999999925494,1174826.539999999804422,10558809.789999999105930
20170823,1234226.439999999944121,1186482.310000000055879,1135390.719999999972060,1137706.500000000000000,1099533.699999999953434,1178553.209999999962747,1163960.440000000176951,1222482.200000000186265,1173945.679999999934807,10532282.199999999254942
20170824,1228749.500000000000000,1186792.479999999981374,1144229.390000000130385,1133624.400000000139698,1099202.919999999925494,1176385.879999999888241,1167016.360000000102445,1222956.120000000111759,1150162.459999999962747,10509120.510000001639128
20170825,1233300.760000000009313,1192685.709999999962747,1152642.100000000093132,1136964.300000000046566,1104495.399999999906868,1179445.639999999897555,1164679.480000000214204,1224496.360000000102445,1154419.949999999953434,10543130.699999999254942
20170828,1245720.300000000046566,1189790.790000000037253,1147637.070000000065193,1139314.600000000093132,1107141.639999999897555,1178935.679999999934807,1169053.640000000130385,1229591.000000000000000,1145611.349999999860302,10552797.069999998435378
20170829,1256828.459999999962747,1199509.450000000186265,1148701.969999999972060,1131397.800000000046566,1108133.979999999981374,1177023.329999999841675,1178880.520000000018626,1229472.520000000018626,1156475.289999999804422,10586424.319999998435378
20170830,1260222.619999999878928,1215431.510000000009313,1147317.600000000093132,1143273.000000000000000,1106480.080000000074506,1171286.280000000027940,1173787.320000000065193,1228998.600000000093132,1153098.659999999916181,10599896.670000001788139
20170831,1265236.719999999972060,1214811.169999999925494,1146146.210000000195578,1174198.000000000000000,1122026.739999999990687,1176385.879999999888241,1191883.160000000149012,1226510.520000000018626,1146198.589999999850988,10663397.990000000223517
20170901,1265622.420000000158325,1222978.979999999981374,1158286.070000000065193,1183475.500000000000000,1123349.860000000102445,1179700.619999999878928,1196976.360000000102445,1231012.760000000009313,1150602.889999999897555,10712006.460000002756715
20170905,1250425.840000000083819,1223185.760000000009313,1165527.390000000130385,1144757.400000000139698,1118057.379999999888241,1182122.929999999934807,1194339.880000000121072,1220468.040000000037253,1171596.719999999972060,10670482.340000001713634
20170906,1249114.459999999962747,1209538.280000000027940,1190552.540000000037253,1142778.199999999953434,1124342.199999999953434,1182122.929999999934807,1188767.320000000065193,1222482.200000000186265,1175707.399999999906868,10685406.530000001192093
20170907,1244100.359999999869615,1217706.090000000083819,1190659.030000000027940,1139438.300000000046566,1124342.199999999953434,1185310.179999999934807,1187509.000000000000000,1238832.440000000176951,1176294.639999999897555,10704193.240000000223517
20170908,1223812.540000000037253,1218223.040000000037253,1179797.050000000046566,1142407.100000000093132,1127980.780000000027940,1183652.810000000055879,1184992.360000000102445,1237292.200000000186265,1158090.199999999953434,10656249.080000000074506
20170911,1245951.719999999972060,1229078.989999999990687,1198326.310000000055879,1177661.600000000093132,1135257.939999999944121,1198314.159999999916181,1195957.720000000204891,1257670.760000000009313,1161026.399999999906868,10799246.600000001490116
20170912,1241014.760000000009313,1250480.719999999972060,1198006.840000000083819,1207102.200000000186265,1169989.839999999850988,1192194.639999999897555,1183314.600000000093132,1258381.639999999897555,1168807.329999999841675,10869293.570000000298023
20170913,1231680.820000000065193,1236936.630000000121072,1216003.650000000139698,1224296.500000000000000,1159735.660000000149012,1192704.599999999860302,1188467.720000000204891,1253879.400000000139698,1172477.579999999841675,10876183.560000000521541
20170914,1221112.639999999897555,1245724.780000000027940,1218878.880000000121072,1233450.300000000046566,1181897.919999999925494,1192704.599999999860302,1184872.520000000018626,1256841.400000000139698,1169835.000000000000000,10905319.039999999105930
20170915,1233455.040000000037253,1254926.489999999990687,1220795.699999999953434,1230728.900000000139698,1169659.060000000055879,1189134.879999999888241,1187568.920000000158325,1247599.959999999962747,1180111.699999999953434,10913981.650000002235174
20170918,1224121.099999999860302,1280360.429999999934807,1226759.140000000130385,1229120.800000000046566,1175943.879999999888241,1187605.000000000000000,1187628.840000000083819,1242031.400000000139698,1174532.919999999925494,10928104.509999999776483
20170919,1224583.939999999944121,1289768.919999999925494,1239005.490000000223517,1234068.800000000046566,1172636.080000000074506,1200608.979999999981374,1166417.160000000149012,1248903.239999999990687,1175266.969999999972060,10951260.580000001937151
20170920,1204064.699999999953434,1290906.209999999962747,1239324.960000000195578,1240377.500000000000000,1190498.199999999953434,1203541.250000000000000,1173008.360000000102445,1248903.239999999990687,1181873.419999999925494,10972498.839999999850988
20170921,1183391.179999999934807,1290285.870000000111759,1240389.860000000102445,1238769.400000000139698,1189836.639999999897555,1181103.010000000009313,1169772.680000000167638,1247718.440000000176951,1174679.729999999981374,10915947.810000000521541
20170922,1171820.179999999934807,1286563.830000000074506,1249122.040000000037253,1232460.699999999953434,1189505.860000000102445,1176003.409999999916181,1156710.120000000111759,1250680.440000000176951,1167632.849999999860302,10880500.429999999701977
20170925,1161483.420000000158325,1285426.540000000037253,1256576.340000000083819,1239140.500000000000000,1174620.760000000009313,1182122.929999999934807,1149040.360000000102445,1220586.520000000018626,1162054.070000000065193,10831052.439999999478459
20170926,1181462.679999999934807,1287390.950000000186265,1251571.310000000055879,1221698.800000000046566,1167674.379999999888241,1181230.500000000000000,1154732.760000000009313,1219638.679999999934807,1165577.510000000009313,10830978.570000000298023
20170927,1189870.939999999944121,1287494.340000000083819,1250825.880000000121072,1212050.200000000186265,1172636.080000000074506,1158537.280000000027940,1165458.440000000176951,1230894.280000000027940,1164109.409999999916181,10831877.849999999627471
20170928,1182542.639999999897555,1294835.030000000027940,1252636.210000000195578,1216627.100000000093132,1177597.780000000027940,1158792.260000000009313,1175105.560000000055879,1239069.400000000139698,1159117.869999999878928,10856324.849999999627471
20170929,1189022.399999999906868,1289458.750000000000000,1251358.330000000074506,1219595.900000000139698,1180905.580000000074506,1159939.669999999925494,1173607.560000000055879,1239069.400000000139698,1147226.260000000009313,10850184.849999999627471
20171002,1186631.060000000055879,1289562.140000000130385,1250612.900000000139698,1240501.200000000186265,1193144.439999999944121,1170011.379999999888241,1183134.840000000083819,1249258.679999999934807,1151777.369999999878928,10914635.009999999776483
20171003,1191799.439999999944121,1297729.950000000186265,1254766.010000000009313,1239511.600000000093132,1195459.899999999906868,1174473.530000000027940,1190265.320000000065193,1251035.880000000121072,1163081.739999999990687,10958124.370000001043081
20171004,1184085.439999999944121,1310446.919999999925494,1252210.250000000000000,1241119.700000000186265,1189505.860000000102445,1178298.229999999981374,1201350.520000000018626,1247718.440000000176951,1161173.209999999962747,10965909.570000000298023
20171005,1198819.179999999934807,1306931.660000000149012,1262859.250000000000000,1250273.500000000000000,1190828.979999999981374,1173326.119999999878928,1185891.160000000149012,1258737.080000000074506,1165871.129999999888241,10993539.060000002384186
20171006,1198124.920000000158325,1312411.330000000074506,1246353.300000000046566,1254603.000000000000000,1192482.879999999888241,1177150.819999999832362,1186849.880000000121072,1264542.600000000093132,1159851.919999999925494,10992371.650000000372529
20171009,1202290.479999999981374,1311894.380000000121072,1253594.620000000111759,1262767.200000000186265,1195459.899999999906868,1174473.530000000027940,1176303.960000000195578,1267860.040000000037253,1182313.849999999860302,11026958.959999999031425
20171010,1202753.320000000065193,1325438.469999999972060,1265202.030000000027940,1260788.000000000000000,1204060.179999999934807,1168099.030000000027940,1166596.920000000158325,1271414.440000000176951,1235165.449999999953434,11099518.839999999850988
20171011,1207767.420000000158325,1329677.459999999962747,1270846.000000000000000,1261653.900000000139698,1205714.080000000074506,1166059.189999999711290,1170072.280000000027940,1284802.679999999934807,1258655.050000000046566,11155249.060000000521541
20171012,1203524.719999999972060,1344048.670000000158325,1268822.690000000176951,1257819.200000000186265,1202406.280000000027940,1174856.000000000000000,1156051.000000000000000,1280892.840000000083819,1264087.019999999785796,11152509.419999999925494
20171013,1211161.580000000074506,1351492.750000000232831,1269035.669999999925494,1258314.000000000000000,1202075.500000000000000,1186202.610000000102445,1153654.200000000186265,1287409.239999999990687,1271721.139999999897555,11191067.690000001341105
20171016,1233455.040000000037253,1359350.390000000130385,1279365.199999999953434,1249531.300000000046566,1190167.419999999925494,1187477.510000000009313,1157728.760000000009313,1283143.959999999962747,1258801.859999999869615,11199022.439999997615814
20171017,1238006.300000000046566,1349735.119999999878928,1280323.610000000102445,1248665.400000000139698,1197444.580000000074506,1183142.849999999860302,1221783.239999999990687,1274139.480000000214204,1262325.300000000046566,11255566.880000000819564
20171018,1232529.359999999869615,1357489.369999999878928,1258280.180000000167638,1246933.600000000093132,1185205.719999999972060,1182760.379999999888241,1229812.520000000018626,1277219.959999999962747,1265848.739999999990687,11236080.830000000074506
20171019,1203370.439999999944121,1360177.510000000242144,1258812.630000000121072,1248789.100000000093132,1198767.699999999953434,1167716.560000000055879,1217948.360000000102445,1267978.520000000018626,1268491.320000000065193,11192053.139999998733401
20171020,1205453.219999999972060,1358213.100000000093132,1263498.190000000176951,1253984.500000000232831,1204721.739999999990687,1125134.899999999906868,1243354.440000000176951,1274257.959999999962747,1283759.559999999823049,11212378.610000001266599
20171023,1204836.099999999860302,1361521.580000000074506,1266586.400000000139698,1260416.900000000139698,1204060.179999999934807,1113023.349999999860302,1240478.280000000027940,1274021.000000000000000,1301523.570000000065193,11226468.359999999403954
20171024,1212010.119999999878928,1429345.420000000158325,1269781.100000000093132,1265983.400000000139698,1199760.040000000037253,1108943.669999999925494,1247309.160000000149012,1284447.239999999990687,1291687.300000000046566,11309268.450000001117587
20171025,1206687.459999999962747,1414870.820000000065193,1261368.390000000130385,1252376.400000000139698,1196121.459999999962747,1107413.789999999804422,1243773.880000000121072,1297243.080000000074506,1299027.800000000046566,11278884.080000001937151
20171026,1214401.459999999962747,1415904.719999999972060,1261368.390000000130385,1286888.700000000186265,1182228.699999999953434,1115573.149999999906868,1253301.160000000149012,1300915.959999999962747,1301083.139999999897555,11331666.379999998956919
20171027,1257908.420000000158325,1424899.650000000139698,1209188.290000000037253,1277858.600000000093132,1177597.780000000027940,1109708.610000000102445,1273973.560000000055879,1299849.639999999897555,1294476.689999999944121,11325462.240000002086163
20171030,1286218.800000000046566,1411252.170000000158325,1218239.940000000176951,1262767.200000000186265,1162712.679999999934807,1099891.879999999888241,1254739.239999999990687,1303759.480000000214204,1276565.869999999878928,11276148.259999999776483
20171031,1304115.279999999795109,1404118.260000000242144,1234213.440000000176951,1273900.200000000186265,1159735.660000000149012,1100784.310000000055879,1259712.600000000093132,1303048.600000000093132,1281851.030000000027940,11321480.379999998956919
20171101,1287530.179999999934807,1409184.369999999878928,1234319.930000000167638,1291589.300000000046566,1166351.260000000009313,1107796.260000000009313,1255578.120000000111759,1315962.919999999925494,1291100.059999999823049,11359413.400000000372529
20171102,1296941.260000000009313,1411045.390000000130385,1228250.000000000000000,1269075.900000000139698,1172966.860000000102445,1102951.639999999897555,1264985.560000000055879,1314896.600000000093132,1303725.719999999972060,11364839.930000001564622
20171103,1330805.719999999972060,1412699.630000000121072,1224629.340000000083819,1253613.400000000139698,1175943.879999999888241,1103844.069999999832362,1275591.400000000139698,1319398.840000000083819,1316645.000000000000000,11413172.280000001192093
20171106,1344305.219999999972060,1423865.750000000232831,1246459.790000000037253,1237408.700000000186265,1168335.939999999944121,1097087.099999999860302,1271097.400000000139698,1326033.719999999972060,1302257.619999999878928,11416852.240000000223517
20171107,1348625.060000000055879,1435238.650000000139698,1248589.590000000083819,1253242.300000000046566,1169659.060000000055879,1108943.669999999925494,1274572.760000000009313,1328047.880000000121072,1305927.869999999878928,11472847.839999999850988
20171108,1359656.080000000074506,1419523.369999999878928,1242519.660000000149012,1247428.400000000139698,1168997.500000000000000,1116593.069999999832362,1263008.200000000186265,1332550.120000000111759,1325159.979999999981374,11475437.380000002682209
20171109,1356879.040000000037253,1399362.320000000065193,1248589.590000000083819,1237161.300000000046566,1164366.580000000074506,1119142.869999999878928,1267741.880000000121072,1328640.280000000027940,1325747.219999999972060,11447632.080000000074506
20171110,1347545.099999999860302,1411148.780000000027940,1247950.650000000139698,1232584.400000000139698,1163705.020000000018626,1123987.489999999757856,1264805.800000000046566,1325559.800000000046566,1334849.439999999944121,11452137.480000002309680
20171113,1342145.300000000046566,1411665.729999999981374,1248483.100000000093132,1241243.400000000139698,1167674.379999999888241,1134696.649999999906868,1274333.080000000074506,1319872.760000000009313,1335877.109999999869615,11475992.509999999776483
20171114,1321857.479999999981374,1422108.119999999878928,1245181.910000000149012,1207968.100000000093132,1170320.620000000111759,1133039.280000000027940,1268640.680000000167638,1326744.600000000093132,1337345.209999999962747,11433207.000000000000000
20171115,1304423.840000000083819,1386541.959999999962747,1240176.880000000121072,1215019.000000000000000,1169659.060000000055879,1124879.919999999925494,1257555.480000000214204,1306247.560000000055879,1318847.149999999906868,11323351.850000001490116
20171116,1320006.119999999878928,1409908.100000000093132,1220156.760000000009313,1245078.100000000093132,1176274.660000000149012,1137883.899999999906868,1265165.320000000065193,1315370.520000000018626,1462574.139999999897555,11552418.620000001043081
20171117,1312677.820000000065193,1407530.130000000121072,1221647.620000000111759,1246191.400000000139698,1169989.839999999850988,1127429.719999999972060,1257795.160000000149012,1301152.919999999925494,1431009.989999999990687,11475425.600000001490116
20171120,1311366.439999999944121,1415594.550000000046566,1221754.110000000102445,1248170.600000000093132,1169328.280000000027940,1125389.879999999888241,1259892.360000000102445,1302693.160000000149012,1431156.800000000046566,11485347.180000001564622
20171121,1335742.679999999934807,1422728.459999999962747,1226546.160000000149012,1255345.200000000186265,1175613.099999999860302,1131126.929999999934807,1273973.560000000055879,1320465.160000000149012,1417063.039999999804422,11558605.289999999105930
20171122,1349782.160000000149012,1426967.449999999953434,1234426.419999999925494,1243717.400000000139698,1171974.520000000018626,1126154.819999999832362,1265704.600000000093132,1313000.919999999925494,1415448.129999999888241,11547177.420000001788139
20171124,1349859.300000000046566,1420557.270000000018626,1240815.820000000065193,1253613.400000000139698,1173959.199999999953434,1127684.699999999953434,1273434.280000000027940,1326626.120000000111759,1418531.139999999897555,11585082.230000000447035
20171127,1343070.979999999981374,1418489.469999999972060,1231018.740000000223517,1235429.500000000232831,1173959.199999999953434,1134186.689999999711290,1272775.160000000149012,1331483.800000000046566,1418531.139999999897555,11558945.680000001564622
20171128,1335202.699999999953434,1437099.670000000158325,1240176.880000000121072,1252376.400000000139698,1185867.280000000027940,1139796.250000000000000,1295185.239999999990687,1343094.840000000083819,1420733.289999999804422,11649533.549999998882413
20171129,1307509.439999999944121,1427484.400000000139698,1247950.650000000139698,1264499.000000000000000,1197775.360000000102445,1139541.269999999785796,1335571.320000000065193,1301626.840000000083819,1432331.280000000027940,11654290.559999998658895
20171130,1325791.619999999878928,1459431.910000000149012,1267225.340000000083819,1267715.200000000186265,1199429.260000000009313,1147318.159999999916181,1367269.000000000000000,1333971.880000000121072,1427486.550000000046566,11795639.920000001788139
20171201,1319620.420000000158325,1463257.340000000083819,1272762.820000000065193,1250892.000000000232831,1202406.280000000027940,1152035.289999999804422,1358940.120000000111759,1311934.600000000093132,1429248.269999999785796,11761098.139999998733401
20171204,1309977.920000000158325,1463050.560000000055879,1286925.990000000223517,1270684.000000000000000,1192813.660000000149012,1165421.739999999757856,1326823.000000000000000,1272836.200000000186265,1424256.729999999981374,11712790.800000000745058
20171205,1308743.679999999934807,1448989.520000000018626,1282133.940000000176951,1260293.199999999953434,1178590.120000000111759,1165294.250000000000000,1318853.640000000130385,1286461.400000000139698,1436295.149999999906868,11685655.900000002235174
20171206,1303883.859999999869615,1451057.320000000065193,1273827.719999999972060,1252129.000000000000000,1176274.660000000149012,1163381.899999999906868,1317954.840000000083819,1300205.080000000074506,1428220.599999999860302,11666935.979999998584390
20171207,1306275.199999999953434,1477421.770000000018626,1274040.699999999953434,1257324.400000000139698,1174289.979999999981374,1148720.549999999813735,1319213.160000000149012,1319872.760000000009313,1420880.099999999860302,11698039.620000001043081
20171208,1306660.899999999906868,1487450.600000000093132,1277128.910000000149012,1246067.700000000186265,1182228.699999999953434,1152162.780000000027940,1341743.080000000074506,1334090.360000000102445,1417503.469999999972060,11745037.500000001862645
20171211,1332117.099999999860302,1486520.090000000083819,1282453.410000000149012,1247428.400000000139698,1197775.360000000102445,1150377.919999999925494,1334912.200000000186265,1331365.320000000065193,1423082.250000000000000,11786033.050000000745058
20171212,1324634.519999999785796,1482901.439999999944121,1274573.150000000139698,1247057.300000000046566,1210014.219999999972060,1145533.299999999813735,1333234.440000000176951,1344279.639999999897555,1419705.619999999878928,11781934.629999998956919
20171213,1329031.500000000000000,1536147.290000000037253,1277235.400000000139698,1242975.200000000186265,1211998.899999999906868,1158664.769999999785796,1344379.560000000055879,1342502.440000000176951,1435267.479999999981374,11878203.540000000968575
20171214,1328645.800000000046566,1512470.979999999981374,1272975.800000000046566,1238769.400000000139698,1206044.860000000102445,1160194.649999999906868,1325804.360000000102445,1337881.719999999972060,1426018.449999999953434,11808807.019999999552965
20171215,1342145.300000000046566,1516709.969999999972060,1275105.600000000093132,1233202.900000000139698,1230522.580000000074506,1171541.260000000009313,1329219.800000000046566,1348544.919999999925494,1425724.829999999841675,11872718.160000000149012
20171218,1361044.599999999860302,1548554.090000000083819,1274786.130000000121072,1257695.500000000000000,1228207.120000000111759,1171413.769999999785796,1334313.000000000000000,1345345.959999999962747,1437322.820000000065193,11958683.990000002086163
20171219,1346542.279999999795109,1560340.550000000046566,1276276.990000000223517,1258190.300000000046566,1221922.299999999813735,1168863.969999999972060,1330538.040000000037253,1328640.280000000027940,1450535.719999999972060,11941851.429999999701977
20171220,1345076.619999999878928,1576986.340000000083819,1287458.440000000176951,1255592.600000000093132,1206044.860000000102445,1166951.619999999878928,1332575.320000000065193,1328403.320000000065193,1449801.669999999925494,11948891.790000000968575
20171221,1350167.859999999869615,1598905.020000000018626,1329309.010000000009313,1262025.000000000000000,1198767.699999999953434,1168736.479999999981374,1328440.840000000083819,1331839.239999999990687,1439671.780000000027940,12007863.929999999701977
20171222,1350167.859999999869615,1610381.310000000055879,1331012.850000000093132,1270312.900000000139698,1195459.899999999906868,1174601.019999999785796,1318314.360000000102445,1335156.679999999934807,1441873.929999999934807,12027281.809999998658895
20171226,1315917.699999999953434,1617515.219999999972060,1341661.850000000093132,1258561.400000000139698,1197775.360000000102445,1179063.169999999925494,1315917.560000000055879,1338711.080000000074506,1455820.879999999888241,12020945.219999998807907
20171227,1316149.119999999878928,1628681.340000000083819,1337082.780000000027940,1258561.400000000139698,1201744.719999999972060,1174218.549999999813735,1320831.000000000000000,1350914.520000000018626,1457288.979999999981374,12045473.410000000149012
20171228,1319851.840000000083819,1637986.439999999944121,1337402.250000000000000,1259798.400000000139698,1203067.839999999850988,1173836.079999999841675,1334912.200000000186265,1354824.360000000102445,1459344.320000000065193,12081024.730000000447035
20171229,1305580.939999999944121,1629301.680000000167638,1333249.140000000130385,1254603.000000000000000,1198106.139999999897555,1171413.769999999785796,1321070.680000000167638,1350914.520000000018626,1449801.669999999925494,12014042.539999999105930
