代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11874704.630000000819564
真實報酬,1874704.630000000819564

夏普值報酬,0.178770463000000
夏普值風險,0.047686077851742
夏普值,3.748902636861978

預期報酬,14479.555496484968899
風險,81929.105519049291615
趨勢值,0.176732742347814
找到最佳解世代,1632
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](11),DIS[6](5),KO[14](30),MCD[15](4),UTX[24](9),
20161215,2040159.919999999925494,2252450.899999999906868,1959906.350000000093132,2173929.139999999664724,2116044.169999999925494,10542490.479999998584390
20161216,2042802.020000000018626,2242093.939999999944121,1968868.460000000195578,2189563.219999999739230,2123676.080000000074506,10567003.720000000670552
20161219,2054603.399999999906868,2272085.970000000204891,1965566.630000000121072,2185121.719999999739230,2168684.780000000260770,10646062.500000000000000
20161220,2060063.739999999990687,2275538.290000000037253,1965094.939999999944121,2191162.160000000149012,2165358.049999999813735,10657217.179999999701977
20161221,2062001.280000000027940,2277695.990000000223517,1960849.730000000214204,2188497.260000000707805,2162227.009999999776483,10651271.270000001415610
20161222,2048438.500000000000000,2274675.209999999962747,1959906.350000000093132,2198090.900000000372529,2161639.939999999478459,10642750.900000000372529
20161223,2052489.719999999972060,2268849.420000000391155,1962264.800000000279397,2187786.620000000111759,2165358.049999999813735,10636748.610000003129244
20161227,2065524.080000000074506,2269280.959999999962747,1962736.490000000223517,2186543.000000000000000,2171815.820000000298023,10655900.350000001490116
20161228,2056717.080000000074506,2250508.970000000204891,1952359.310000000055879,2179614.260000000707805,2156356.309999999590218,10595555.929999999701977
20161229,2056188.659999999916181,2256118.990000000223517,1962264.800000000279397,2181568.520000000484288,2163401.149999999441206,10619542.120000001043081
20161230,2040159.919999999925494,2248782.810000000055879,1955661.140000000130385,2162558.900000000372529,2145201.980000000447035,10552364.750000001862645
20170103,2045972.540000000037253,2288916.030000000260770,1971698.600000000093132,2125250.299999999813735,2168880.469999999739230,10600717.939999997615814
20170104,2043682.719999999972060,2318260.750000000000000,1964623.250000000000000,2122763.060000000521541,2170250.299999999813735,10619580.080000001937151
20170105,2054074.979999999981374,2316966.129999999888241,1969340.150000000139698,2126671.580000000074506,2179056.349999999627471,10646109.189999999478459
20170106,2076973.179999999934807,2351489.330000000074506,1968868.460000000195578,2145503.540000000037253,2202539.149999999441206,10745373.660000000149012
20170109,2095996.299999999813735,2338111.590000000316650,1949057.480000000214204,2139640.760000000707805,2181991.700000000186265,10704797.830000001937151
20170110,2098109.979999999981374,2338543.129999999888241,1935850.160000000149012,2136442.879999999888241,2177295.139999999664724,10686241.289999999105930
20170111,2109382.939999999944121,2361414.750000000000000,1936321.850000000093132,2147635.459999999962747,2172207.200000000186265,10726962.199999999254942
20170112,2100575.939999999944121,2320202.680000000167638,1931604.950000000186265,2169309.980000000447035,2168684.780000000260770,10690378.330000001937151
20170113,2096877.000000000000000,2331638.490000000223517,1928303.120000000344589,2158650.379999999888241,2156943.379999999888241,10672412.370000001043081
20170117,2113786.439999999944121,2329696.560000000055879,1944340.580000000074506,2180857.879999999888241,2152051.129999999888241,10720732.589999999850988
20170118,2113610.299999999813735,2333796.189999999944121,1947642.410000000149012,2180147.240000000223517,2160857.179999999701977,10736053.320000000298023
20170119,2109911.359999999869615,2314808.430000000167638,1940567.060000000055879,2170731.260000000707805,2166923.570000000298023,10702941.679999999701977
20170120,2113786.439999999944121,2323007.689999999944121,1949057.480000000214204,2172152.540000000037253,2168097.709999999962747,10726101.859999999403954
20170123,2115195.560000000055879,2311356.110000000335276,1954246.070000000065193,2156518.459999999962747,2159291.660000000149012,10696607.859999999403954
20170124,2113258.020000000018626,2328186.170000000391155,1976415.500000000000000,2150655.679999999701977,2184144.290000000037253,10752659.660000000149012
20170125,2146900.759999999776483,2331206.950000000186265,1986792.679999999934807,2163802.520000000484288,2171424.439999999478459,10800127.349999999627471
20170126,2147957.600000000093132,2331638.490000000223517,1972170.290000000270084,2165401.459999999962747,2159683.040000000037253,10776850.879999998956919
20170127,2148133.740000000223517,2358393.970000000204891,1955189.450000000186265,2182812.139999999664724,2146767.500000000000000,10791296.800000000745058
20170130,2142497.259999999776483,2393780.250000000000000,1951887.620000000344589,2185654.700000000186265,2136395.929999999701977,10810215.759999999776483
20170131,2137565.339999999850988,2387522.920000000391155,1960849.730000000214204,2177660.000000000000000,2146180.429999999701977,10809778.419999999925494
20170201,2267908.939999999944121,2401547.970000000204891,1946227.340000000083819,2174995.100000000558794,2117022.620000000111759,10907701.970000002533197
20170202,2264033.859999999869615,2386659.840000000316650,1952831.000000000000000,2189207.900000000372529,2120545.040000000037253,10913277.640000000596046
20170203,2273721.560000000055879,2379970.970000000204891,1959434.660000000149012,2207329.219999999739230,2145789.049999999813735,10966245.460000000894070
20170206,2295034.500000000000000,2364219.759999999776483,1960378.040000000270084,2211060.080000000074506,2165945.120000000111759,10996637.500000000000000
20170207,2316875.859999999869615,2351920.870000000111759,1976415.500000000000000,2213547.320000000298023,2177099.450000000186265,11035859.000000000000000
20170208,2325859.000000000000000,2351920.870000000111759,1982075.780000000260770,2214968.600000000558794,2160465.799999999813735,11035290.050000000745058
20170209,2332552.319999999832362,2362493.600000000093132,1945755.650000000139698,2211593.060000000521541,2154399.410000000149012,11006794.040000000968575
20170210,2327268.120000000111759,2357530.890000000130385,1914152.420000000158325,2235399.500000000000000,2173185.649999999441206,11007536.579999998211861
20170213,2347876.500000000000000,2365945.920000000391155,1916039.179999999934807,2230425.020000000484288,2192167.580000000074506,11052454.200000001117587
20170214,2378348.720000000204891,2380618.280000000260770,1911793.970000000204891,2235221.839999999850988,2183361.530000000260770,11089344.339999999850988
20170215,2386979.579999999608845,2377381.730000000447035,1907548.760000000009313,2247125.060000000521541,2190014.990000000223517,11109050.120000001043081
20170216,2384161.339999999850988,2388817.540000000037253,1943397.200000000186265,2251033.580000000074506,2193146.030000000260770,11160555.690000001341105
20170217,2390678.520000000018626,2374792.490000000223517,1944812.270000000018626,2270576.179999999701977,2194711.549999999813735,11175571.009999997913837
20170221,2407940.239999999757856,2373713.640000000130385,1955661.140000000130385,2274840.019999999552965,2201560.700000000186265,11213715.739999998360872
20170222,2415161.979999999981374,2376087.110000000335276,1962264.800000000279397,2271464.480000000447035,2204691.740000000223517,11229670.110000001266599
20170223,2404945.859999999869615,2367672.080000000074506,1965094.939999999944121,2278926.200000000186265,2193537.410000000149012,11210176.489999998360872
20170224,2407235.679999999701977,2380402.509999999776483,1970755.220000000204891,2285677.280000000260770,2200777.939999999478459,11244848.630000000819564
20170227,2411991.459999999962747,2378460.580000000074506,1965566.630000000121072,2256185.719999999739230,2207627.089999999850988,11219831.480000000447035
20170228,2413048.300000000279397,2375439.800000000279397,1979245.640000000130385,2267911.280000000260770,2202539.149999999441206,11238184.169999998062849
20170301,2462367.500000000000000,2395937.950000000186265,1988679.439999999944121,2292783.680000000633299,2224652.120000000111759,11364420.690000001341105
20170302,2447747.879999999888241,2386228.300000000279397,2003301.830000000074506,2278215.559999999590218,2205278.809999999590218,11320772.379999998956919
20170303,2462191.359999999869615,2400253.350000000093132,2003773.520000000018626,2272352.780000000260770,2198429.660000000149012,11337000.670000001788139
20170306,2454441.200000000186265,2387954.459999999962747,1989622.820000000065193,2274662.360000000335276,2185122.740000000223517,11291803.580000000074506
20170307,2457611.720000000204891,2392054.090000000316650,1980660.710000000195578,2275373.000000000000000,2197255.519999999552965,11302955.039999999105930
20170308,2448452.439999999944121,2391622.550000000279397,1980660.710000000195578,2275728.320000000298023,2186883.950000000186265,11283347.969999998807907
20170309,2442815.959999999962747,2395722.180000000167638,1982547.470000000204891,2276616.620000000111759,2190406.370000000111759,11288108.600000001490116
20170310,2450918.399999999906868,2393348.709999999962747,1994811.410000000149012,2273774.060000000521541,2194515.860000000335276,11307368.440000001341105
20170313,2451975.239999999757856,2406294.910000000149012,1982547.470000000204891,2267200.639999999664724,2197842.589999999850988,11305860.850000001490116
20170314,2448276.300000000279397,2423340.740000000223517,1979717.330000000074506,2270576.179999999701977,2188449.469999999739230,11310360.019999999552965
20170315,2474168.879999999888241,2413846.860000000335276,1986792.679999999934807,2271997.459999999962747,2212910.719999999739230,11359716.599999997764826
20170316,2478220.100000000093132,2410394.540000000037253,1992924.650000000139698,2273774.060000000521541,2198429.660000000149012,11353743.010000001639128
20170317,2465890.300000000279397,2411473.390000000130385,1982547.470000000204891,2285499.620000000111759,2220151.250000000000000,11365562.030000001192093
20170320,2491782.879999999888241,2431971.540000000037253,1989622.820000000065193,2287986.860000000335276,2221325.389999999664724,11422689.490000002086163
20170321,2463248.200000000186265,2411257.620000000111759,2004716.900000000139698,2283367.700000000186265,2194907.240000000223517,11357497.660000002011657
20170322,2491078.319999999832362,2418378.030000000260770,1999056.620000000344589,2293671.980000000447035,2190406.370000000111759,11392591.320000000298023
20170323,2482271.319999999832362,2421830.350000000093132,1989151.130000000121072,2291895.379999999888241,2188645.160000000149012,11373793.339999999850988
20170324,2477339.399999999906868,2419672.649999999906868,1986792.679999999934807,2297935.820000000298023,2187862.399999999441206,11369602.949999999254942
20170327,2481566.759999999776483,2424851.129999999888241,1996226.480000000214204,2300600.720000000670552,2188449.469999999739230,11391694.559999998658895
20170328,2532999.640000000130385,2439307.720000000204891,2001415.070000000065193,2299890.080000000074506,2206257.259999999776483,11479869.770000001415610
20170329,2538636.120000000111759,2428087.680000000167638,2000943.380000000121072,2289052.820000000298023,2192950.339999999850988,11449670.339999999850988
20170330,2535289.459999999962747,2442112.730000000447035,2009433.800000000279397,2297580.500000000000000,2200582.250000000000000,11484998.740000000223517
20170331,2530533.679999999701977,2446643.899999999906868,2001886.760000000009313,2302732.640000000596046,2195885.689999999478459,11477682.669999999925494
20170403,2531238.239999999757856,2442544.270000000018626,2000471.689999999944121,2302732.640000000596046,2190406.370000000111759,11467393.210000000894070
20170404,2550085.220000000204891,2439091.950000000186265,2013207.320000000065193,2297047.519999999552965,2211149.509999999776483,11510581.519999999552965
20170405,2536874.720000000204891,2438228.870000000111759,2008018.730000000214204,2316945.440000000409782,2201560.700000000186265,11501628.460000000894070
20170406,2530533.679999999701977,2439307.720000000204891,2012735.630000000121072,2312326.280000000260770,2199799.490000000223517,11494702.800000000745058
20170407,2524897.200000000186265,2429166.530000000260770,2009905.490000000223517,2308950.740000000223517,2211149.509999999776483,11484069.470000000670552
20170410,2521902.819999999832362,2425929.980000000447035,2013679.010000000009313,2309306.059999999590218,2208996.919999999925494,11479814.790000000968575
20170411,2494777.259999999776483,2439739.259999999776483,2012263.939999999944121,2330980.580000000074506,2214084.860000000335276,11491845.899999998509884
20170412,2497771.640000000130385,2439091.950000000186265,2025471.260000000009313,2332046.540000000037253,2196472.759999999776483,11490854.150000000372529
20170413,2484561.140000000130385,2442544.270000000018626,2018395.910000000149012,2323163.540000000037253,2193537.410000000149012,11462202.269999999552965
20170417,2498300.060000000055879,2455058.930000000167638,2031603.230000000214204,2333645.480000000447035,2216628.830000000074506,11535236.530000001192093
20170418,2487203.239999999757856,2463905.500000000000000,2050942.520000000018626,2350523.180000000633299,2222303.839999999850988,11574878.280000001192093
20170419,2478043.959999999962747,2453980.080000000074506,2039150.270000000018626,2356563.620000000111759,2209779.679999999701977,11537517.609999999403954
20170420,2509044.600000000093132,2476851.700000000186265,2032546.610000000335276,2367756.200000000186265,2229740.059999999590218,11615939.170000001788139
20170421,2506050.220000000204891,2469299.750000000000000,2031603.230000000214204,2370243.440000000409782,2250287.509999999776483,11627484.150000000372529
20170424,2530181.399999999906868,2453332.770000000018626,2041508.720000000204891,2384811.559999999590218,2276314.280000000260770,11686148.730000000447035
20170425,2545857.859999999869615,2485266.730000000447035,2033489.990000000223517,2517523.580000000074506,2287077.230000000447035,11869215.390000000596046
20170426,2530885.959999999962747,2493897.530000000260770,2039621.960000000195578,2502244.820000000298023,2313104.000000000000000,11879754.269999999552965
20170427,2532823.500000000000000,2499507.550000000279397,2028773.090000000083819,2502777.799999999813735,2324454.019999999552965,11888335.960000000894070
20170428,2530357.540000000037253,2494329.069999999832362,2035376.750000000000000,2486077.760000000707805,2328563.509999999776483,11874704.630000000819564
