代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11719201.059999998658895
真實報酬,1719201.059999998658895

夏普值報酬,0.163220106000000
夏普值風險,0.051576709657709
夏普值,3.164608736835217

預期報酬,15012.354440452754716
風險,76604.366497588227503
趨勢值,0.195972568233762
找到最佳解世代,2793
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](16),AXP[1](2),DD[7](8),HD[9](6),MCD[15](4),PFE[20](10),
20170822,1790481.250000000000000,1668034.779999999795109,1680693.859999999869615,1670119.399999999906868,1715005.000000000000000,1666163.390000000130385,10190501.679999999701977
20170823,1792722.250000000000000,1667643.699999999953434,1675592.819999999832362,1661096.000000000000000,1706089.140000000130385,1670686.880000000353903,10173834.790000000968575
20170824,1784766.700000000186265,1669208.019999999785796,1669580.879999999888241,1651627.000000000000000,1701792.340000000083819,1670184.270000000018626,10147163.209999999031425
20170825,1791377.650000000139698,1671358.959999999729916,1674499.739999999757856,1667223.000000000000000,1706196.560000000055879,1678226.030000000260770,10188885.940000001341105
20170828,1809417.700000000186265,1670185.719999999739230,1677961.159999999683350,1686606.599999999860302,1715327.260000000009313,1682246.910000000149012,10241749.349999999627471
20170829,1825552.900000000139698,1670381.259999999776483,1666301.639999999664724,1669339.600000000093132,1712212.080000000074506,1683754.740000000223517,10227546.220000000670552
20170830,1830483.100000000093132,1675660.839999999850988,1683790.919999999925494,1671122.000000000000000,1713823.380000000121072,1681241.690000000409782,10256125.929999999701977
20170831,1837766.350000000093132,1683677.979999999748543,1729335.919999999925494,1669673.800000000046566,1718549.860000000102445,1704864.360000000335276,10343872.269999999552965
20170901,1838326.600000000325963,1684460.139999999897555,1742999.419999999925494,1679811.199999999953434,1716831.140000000130385,1706874.800000000279397,10369307.300000000745058
20170905,1816252.750000000232831,1668230.319999999832362,1685977.080000000074506,1703762.200000000186265,1709204.320000000065193,1698833.040000000037253,10282263.710000000894070
20170906,1814347.900000000139698,1666666.000000000000000,1683062.199999999720603,1744200.400000000139698,1699751.360000000102445,1708382.630000000353903,10316414.490000000223517
20170907,1807064.649999999906868,1650631.719999999739230,1678143.339999999850988,1759462.200000000186265,1717797.920000000158325,1708382.630000000353903,10321486.460000000894070
20170908,1777595.500000000000000,1647503.079999999841675,1682515.659999999683350,1778734.399999999906868,1715756.940000000176951,1713911.340000000316650,10316020.919999999925494
20170911,1809753.850000000093132,1675660.839999999850988,1734436.959999999962747,1764363.800000000046566,1735307.380000000121072,1724968.760000000242144,10444495.589999999850988
20170912,1802582.650000000139698,1692477.279999999795109,1777795.799999999813735,1781519.399999999906868,1679448.980000000214204,1777742.810000000055879,10511570.919999999925494
20170913,1789024.600000000093132,1694237.139999999897555,1803118.819999999832362,1782744.800000000046566,1686646.120000000111759,1762161.900000000372529,10517937.380000000819564
20170914,1773673.750000000000000,1685437.839999999850988,1816600.139999999664724,1775615.199999999953434,1686646.120000000111759,1795836.770000000018626,10533813.820000000298023
20170915,1791601.750000000000000,1701081.039999999804422,1812592.179999999701977,1764698.000000000000000,1685786.760000000009313,1777240.200000000186265,10533003.929999999701977
20170918,1778043.699999999953434,1718288.559999999823049,1810223.839999999850988,1758125.400000000139698,1683208.680000000167638,1786789.790000000037253,10534683.969999998807907
20170919,1778716.000000000000000,1740384.579999999841675,1817511.040000000037253,1756454.399999999906868,1691265.180000000167638,1781763.690000000409782,10566098.890000000596046
20170920,1748910.699999999953434,1729238.800000000046566,1826802.219999999739230,1767817.200000000186265,1717583.080000000074506,1808904.630000000353903,10599260.630000000819564
20170921,1718881.300000000046566,1729043.259999999776483,1824433.879999999888241,1773498.599999999860302,1708452.380000000121072,1807899.410000000149012,10562212.830000000074506
20170922,1702073.800000000046566,1728652.179999999934807,1815142.699999999720603,1782187.800000000046566,1707163.340000000083819,1807396.800000000279397,10542620.620000001043081
20170925,1687059.100000000325963,1724936.919999999692664,1824980.419999999925494,1794776.000000000000000,1678697.040000000037253,1784779.350000000093132,10495232.830000000074506
20170926,1716080.050000000046566,1734322.839999999850988,1799293.040000000037253,1796558.399999999906868,1647437.820000000065193,1774224.540000000037253,10467920.690000001341105
20170927,1728293.500000000000000,1749966.039999999804422,1785083.000000000000000,1792770.799999999813735,1654957.220000000204891,1781763.690000000409782,10492838.250000000000000
20170928,1717648.750000000000000,1762676.139999999897555,1791823.659999999683350,1808812.400000000139698,1691909.700000000186265,1789302.840000000316650,10562177.489999998360872
20170929,1727060.950000000186265,1768933.419999999692664,1796195.979999999981374,1822180.400000000139698,1683208.680000000167638,1794328.940000000409782,10591912.370000001043081
20171002,1723587.400000000139698,1770497.739999999990687,1826984.399999999906868,1827304.800000000046566,1686216.440000000176951,1812925.510000000242144,10647520.289999999105930
20171003,1731094.750000000000000,1787900.800000000046566,1825526.959999999962747,1840115.799999999813735,1685142.240000000223517,1816443.780000000260770,10686228.330000001937151
20171004,1719889.750000000000000,1779688.119999999878928,1827895.299999999813735,1841452.599999999860302,1688901.940000000176951,1807396.800000000279397,10665228.509999999776483
20171005,1741291.300000000046566,1782621.219999999739230,1841376.619999999646097,1850698.800000000046566,1705981.720000000204891,1809407.240000000223517,10731380.899999998509884
20171006,1740282.850000000325963,1790247.279999999795109,1847752.919999999925494,1847691.000000000000000,1714575.320000000065193,1811920.290000000037253,10752473.660000000149012
20171009,1746333.550000000046566,1792984.839999999850988,1859776.799999999813735,1846131.400000000139698,1720161.160000000149012,1816443.780000000260770,10781835.530000001192093
20171010,1747005.850000000093132,1796895.639999999897555,1856861.919999999925494,1840004.399999999906868,1725102.480000000214204,1829511.640000000130385,10795385.930000001564622
20171011,1754289.100000000325963,1798264.419999999692664,1858137.179999999701977,1841007.000000000000000,1752709.420000000158325,1832024.690000000409782,10836435.809999998658895
20171012,1748126.350000000093132,1791420.519999999785796,1852489.600000000093132,1833654.600000000093132,1760873.340000000083819,1826998.590000000316650,10813567.000000000000000
20171013,1759219.300000000279397,1815863.019999999785796,1853218.319999999832362,1832317.800000000046566,1776556.660000000149012,1826495.980000000447035,10863675.080000001937151
20171016,1791601.750000000000000,1798264.419999999692664,1840283.540000000037253,1829532.800000000046566,1772689.540000000037253,1808402.020000000018626,10840778.070000000298023
20171017,1798212.700000000186265,1792984.839999999850988,1839008.279999999795109,1819841.000000000000000,1776878.920000000158325,1819459.440000000409782,10846389.179999999701977
20171018,1790257.149999999906868,1800610.899999999906868,1836457.759999999776483,1820954.999999999767169,1780853.460000000195578,1800862.870000000111759,10830001.140000000596046
20171019,1747902.250000000000000,1797091.179999999934807,1839190.459999999962747,1818615.600000000093132,1788695.120000000111759,1821469.880000000353903,10812968.490000000223517
20171020,1750927.600000000093132,1800806.439999999944121,1846842.020000000018626,1820732.200000000186265,1786546.720000000204891,1830516.860000000335276,10836375.839999999850988
20171023,1750031.199999999953434,1806477.099999999860302,1856315.379999999888241,1835325.600000000093132,1754750.400000000139698,1829511.640000000130385,10832415.320000000298023
20171024,1760451.850000000093132,1835417.019999999785796,1864513.479999999981374,1849696.199999999953434,1760551.080000000074506,1822977.710000000428408,10893611.339999999850988
20171025,1752720.400000000139698,1828964.199999999953434,1844473.679999999701977,1850141.799999999813735,1757328.480000000214204,1817449.000000000000000,10851081.559999998658895
20171026,1763925.400000000139698,1871200.839999999850988,1895301.899999999906868,1867743.000000000000000,1761947.540000000037253,1796339.380000000353903,10956462.060000000521541
20171027,1827121.600000000325963,1873156.239999999990687,1882002.759999999776483,1864289.600000000093132,1776771.500000000000000,1789302.840000000316650,11012648.539999999105930
20171030,1868243.950000000186265,1859077.359999999636784,1859776.799999999813735,1841675.400000000139698,1785794.780000000027940,1766685.390000000130385,10981257.679999999701977
20171031,1894239.550000000046566,1867876.659999999683350,1876173.000000000000000,1846911.199999999953434,1793099.340000000083819,1762161.900000000372529,11040465.650000000372529
20171101,1870148.800000000046566,1873156.239999999990687,1902224.739999999757856,1842455.199999999953434,1787298.660000000149012,1772214.100000000093132,11047501.740000000223517
20171102,1883818.900000000139698,1876871.500000000000000,1869067.979999999981374,1812711.400000000139698,1805882.320000000065193,1782266.300000000279397,11030622.400000002235174
20171103,1933008.850000000093132,1885670.800000000046566,1846295.479999999981374,1831426.599999999860302,1811790.420000000158325,1786789.790000000037253,11094985.940000001341105
20171106,1952617.600000000093132,1882933.239999999990687,1822429.899999999906868,1829532.800000000046566,1827044.060000000055879,1775229.760000000242144,11089791.359999999403954
20171107,1958892.400000000139698,1864943.559999999823049,1845748.939999999944121,1823294.399999999906868,1834563.460000000195578,1777240.200000000186265,11104686.960000000894070
20171108,1974915.550000000279397,1860250.599999999860302,1837186.479999999981374,1827639.000000000232831,1827366.320000000065193,1776234.980000000447035,11103596.930000001564622
20171109,1970881.750000000000000,1833266.079999999841675,1822065.540000000037253,1818949.800000000046566,1794066.120000000111759,1769198.440000000409782,11008431.730000000447035
20171110,1957323.699999999953434,1828768.659999999683350,1815324.879999999888241,1828307.400000000139698,1778919.900000000139698,1768193.220000000204891,10976841.759999999776483
20171113,1949480.200000000186265,1836199.179999999934807,1828077.479999999981374,1842121.000000000000000,1798040.660000000149012,1774224.540000000037253,11028147.059999998658895
20171114,1920011.050000000046566,1833461.619999999878928,1779071.060000000055879,1872310.400000000139698,1805989.740000000223517,1778245.420000000391155,10989093.290000000968575
20171115,1894687.750000000232831,1823684.619999999878928,1789455.319999999832362,1843457.800000000046566,1797503.560000000055879,1777240.200000000186265,10926033.250000000000000
20171116,1917321.850000000093132,1829550.819999999832362,1833725.060000000055879,1866072.000000000000000,1805774.900000000139698,1787292.400000000372529,11039741.030000001192093
20171117,1906677.100000000093132,1832092.839999999850988,1835364.679999999701977,1868745.600000000093132,1791058.360000000102445,1777742.810000000055879,11011685.389999998733401
20171120,1904772.250000000000000,1837176.879999999888241,1838279.560000000055879,1898934.999999999767169,1793314.180000000167638,1776737.590000000316650,11049219.459999999031425
20171121,1940180.050000000046566,1846171.719999999739230,1848846.000000000000000,1925782.400000000139698,1808030.720000000204891,1786287.180000000167638,11155302.070000000298023
20171122,1960573.150000000139698,1834634.859999999636784,1831721.080000000074506,1916870.400000000139698,1816087.220000000204891,1780758.470000000204891,11140649.180000001564622
20171124,1960685.200000000186265,1827986.500000000000000,1846295.479999999981374,1919878.200000000186265,1816731.740000000223517,1783774.130000000353903,11155355.250000001862645
20171127,1950824.800000000046566,1827790.959999999729916,1819515.020000000018626,1940264.399999999906868,1815120.440000000176951,1783774.130000000353903,11137293.750000000000000
20171128,1939395.699999999953434,1863183.699999999953434,1844473.679999999701977,1967111.799999999813735,1840686.400000000139698,1801868.090000000316650,11256723.369999999180436
20171129,1899169.750000000000000,1888994.979999999748543,1862327.319999999832362,1974687.000000000000000,1830911.180000000167638,1819962.050000000279397,11276056.279999999329448
20171130,1925725.600000000093132,1910699.919999999692664,1867064.000000000000000,2003316.799999999813735,1847453.860000000102445,1822475.100000000093132,11376739.279999999329448
20171201,1916761.600000000325963,1913633.019999999785796,1842287.520000000018626,2010000.799999999813735,1857121.660000000149012,1826998.590000000316650,11366807.190000001341105
20171204,1902755.350000000325963,1927907.439999999944121,1871436.319999999832362,2059908.000000000000000,1833274.420000000158325,1812422.900000000372529,11407708.429999999701977
20171205,1900962.550000000046566,1930253.919999999692664,1856133.199999999720603,2037071.000000000000000,1858410.700000000186265,1790810.670000000391155,11373646.040000000968575
20171206,1893903.399999999906868,1920476.919999999692664,1844109.319999999832362,2014234.000000000232831,1863674.280000000027940,1787292.400000000372529,11323694.319999998435378
20171207,1897376.949999999953434,1927711.899999999906868,1851760.879999999888241,2027602.000000000000000,1857551.340000000083819,1784276.740000000223517,11346283.810000000521541
20171208,1897937.200000000186265,1927125.279999999795109,1835182.500000000000000,2043309.399999999906868,1860129.420000000158325,1796339.380000000353903,11360027.180000001564622
20171211,1934913.699999999953434,1935924.579999999841675,1837186.479999999981374,2030387.000000000000000,1861203.620000000111759,1819962.050000000279397,11419581.429999999701977
20171212,1924044.849999999860302,1943159.559999999823049,1836639.939999999944121,2025374.000000000232831,1850246.780000000027940,1838558.620000000111759,11418027.750000000000000
20171213,1930431.700000000186265,1912068.699999999953434,1830628.000000000000000,2039076.199999999953434,1864426.220000000204891,1841574.280000000260770,11418209.100000001490116
20171214,1929871.450000000186265,1899749.679999999934807,1824433.879999999888241,2029050.199999999953434,1860022.000000000000000,1832527.300000000279397,11375658.510000001639128
20171215,1949480.200000000186265,1926538.659999999683350,1816235.779999999795109,2034063.200000000186265,1869904.640000000130385,1869720.440000000409782,11465946.920000001788139
20171218,1976932.449999999953434,1949221.300000000046566,1852307.419999999925494,2058014.199999999953434,1871408.520000000018626,1866202.170000000391155,11574090.060000000521541
20171219,1955867.050000000046566,1938857.679999999934807,1853036.139999999664724,2071939.199999999953434,1862707.500000000000000,1856652.580000000074506,11539064.150000000372529
20171220,1953738.100000000093132,1926343.119999999878928,1849210.359999999869615,2086755.400000000139698,1849602.260000000009313,1832527.300000000279397,11498180.540000000968575
20171221,1961133.399999999906868,1926147.579999999841675,1858683.719999999739230,2095333.200000000186265,1846164.820000000065193,1821469.880000000353903,11508936.599999999627471
20171222,1961133.399999999906868,1930840.539999999804422,1870889.779999999795109,2095890.199999999953434,1841545.760000000009313,1816443.780000000260770,11516747.460000000894070
20171226,1911383.199999999953434,1927516.359999999636784,1853582.679999999701977,2120732.400000000372529,1840149.300000000046566,1819962.050000000279397,11473329.990000000223517
20171227,1911719.350000000093132,1938466.599999999860302,1853582.679999999701977,2118838.600000000093132,1854973.260000000009313,1825993.370000000111759,11503577.859999999403954
20171228,1917097.750000000232831,1949612.379999999888241,1855404.479999999981374,2114271.200000000186265,1859592.320000000065193,1828003.810000000055879,11523985.939999999478459
20171229,1896368.500000000000000,1941986.319999999832362,1847752.919999999925494,2111486.200000000186265,1849065.160000000149012,1820464.660000000149012,11467127.760000001639128
20180102,1930319.649999999906868,1934751.339999999850988,1865424.379999999888241,2094776.199999999953434,1860881.360000000102445,1831522.080000000074506,11517679.009999999776483
20180103,1929983.500000000000000,1946679.279999999795109,1895301.899999999906868,2105693.399999999906868,1853039.700000000186265,1845092.550000000279397,11575794.330000001937151
20180104,1938947.500000000000000,1972099.479999999748543,1931555.719999999739230,2122403.399999999906868,1866037.520000000018626,1849113.430000000167638,11680161.049999998882413
20180105,1961021.350000000093132,1976596.899999999906868,1956878.739999999757856,2144572.000000000000000,1869797.220000000204891,1852631.700000000186265,11761501.910000000149012
20180108,1953738.100000000093132,1958411.679999999934807,1949955.899999999906868,2139447.600000000093132,1868508.180000000167638,1832024.690000000409782,11702090.149999998509884
20180109,1953514.000000000232831,1965646.659999999683350,1954692.580000000074506,2151256.000000000000000,1864318.800000000046566,1830014.250000000000000,11719446.290000000968575
20180110,1953065.800000000046566,1979334.459999999729916,1925179.419999999925494,2136774.000000000000000,1863996.540000000037253,1833029.910000000149012,11691384.129999998956919
20180111,1964158.750000000000000,1969753.000000000000000,1951595.520000000018626,2168857.200000000186265,1862707.500000000000000,1837553.400000000372529,11754629.369999999180436
20180112,1984439.800000000046566,1974445.959999999729916,1956514.379999999888241,2188240.799999999813735,1864641.060000000055879,1836548.180000000167638,11804834.179999999701977
20180116,1974355.300000000046566,1962126.939999999944121,1944672.679999999701977,2187015.399999999906868,1865822.680000000167638,1839563.840000000316650,11773560.839999999850988
20180117,2006961.850000000093132,1970339.619999999878928,1965805.560000000055879,2226116.799999999813735,1879787.280000000027940,1868715.220000000204891,11917730.330000000074506
20180118,2008754.649999999906868,1952741.019999999785796,1972546.219999999739230,2209518.200000000186265,1875383.060000000055879,1859165.630000000353903,11878112.780000001192093
20180119,1999790.650000000139698,1916957.199999999953434,1972181.859999999869615,2242938.200000000186265,1892033.160000000149012,1856652.580000000074506,11880557.650000000372529
20180122,1983431.350000000093132,1922627.859999999636784,1976554.179999999701977,2277806.399999999906868,1892999.940000000176951,1856149.970000000204891,11909573.699999999254942
20180123,1983879.550000000046566,1915979.500000000000000,1975461.100000000093132,2282708.000000000000000,1899445.140000000130385,1850621.260000000242144,11908098.550000000745058
20180124,1952281.450000000186265,1941790.779999999795109,1972181.859999999869615,2297412.799999999813735,1892033.160000000149012,1856149.970000000204891,11911854.020000001415610
20180125,1917433.900000000139698,1949416.839999999850988,1988760.239999999757856,2287943.800000000279397,1887091.840000000083819,1871228.270000000018626,11901878.890000000596046
20180126,1921915.899999999906868,1948243.599999999860302,1998233.600000000093132,2308664.199999999720603,1916095.240000000223517,1960692.850000000093132,12053849.389999998733401
20180129,1882138.150000000139698,1943941.719999999739230,1968538.259999999776483,2282930.799999999813735,1909757.460000000195578,1961195.460000000428408,11948505.850000001490116
20180130,1871045.200000000186265,1930253.919999999692664,1949227.179999999701977,2248285.399999999906868,1852932.280000000027940,1899877.040000000037253,11751625.019999999552965
20180131,1876199.500000000232831,1943746.179999999934807,1960886.699999999720603,2238148.000000000000000,1838538.000000000000000,1861678.680000000167638,11719201.059999998658895
