代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11508050.680000001564622
真實報酬,1508050.680000001564622

夏普值報酬,0.142105068000000
夏普值風險,0.041143021091843
夏普值,3.453928861538454

預期報酬,11836.360969987455974
風險,108092.673031694488600
趨勢值,0.109501973057109
找到最佳解世代,1795
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
DIS[6](1),KO[14](2),PFE[20](6),TRV[22](9),UNH[23](10),VZ[26](3),WMT[28](11),
20120319,1595297.959999999962747,1489062.860000000102445,1460613.399999999906868,1448663.459999999962747,1548281.219999999972060,1504057.670000000158325,1414136.780000000027940,10460116.349999999627471
20120320,1587953.160000000149012,1493293.059999999823049,1455273.000000000000000,1449643.580000000074506,1511044.169999999925494,1503299.010000000242144,1410877.440000000176951,10411386.419999999925494
20120321,1589054.880000000353903,1504291.580000000074506,1453270.349999999860302,1433716.630000000121072,1488701.939999999944121,1508988.960000000195578,1409946.200000000186265,10387973.540000002831221
20120322,1589789.360000000102445,1510636.879999999888241,1450600.150000000139698,1420485.010000000009313,1486219.469999999972060,1504437.000000000000000,1412041.489999999990687,10374212.360000001266599
20120323,1603010.000000000000000,1511905.939999999944121,1456608.100000000093132,1426120.700000000186265,1480151.209999999729916,1495333.080000000307336,1414369.590000000083819,10387501.620000001043081
20120326,1629818.520000000251457,1520789.360000000102445,1479304.800000000046566,1442047.650000000139698,1519870.729999999981374,1491919.110000000102445,1424846.040000000037253,10508599.210000000894070
20120327,1621372.000000000000000,1520366.339999999850988,1502001.500000000000000,1432981.540000000037253,1528973.119999999878928,1466504.000000000000000,1422285.130000000121072,10494486.630000000819564
20120328,1597868.640000000130385,1536864.119999999878928,1495993.550000000046566,1440087.410000000149012,1529248.949999999953434,1451330.800000000046566,1424613.229999999981374,10476009.700000001117587
20120329,1579506.640000000130385,1561399.279999999795109,1496661.100000000093132,1437147.050000000046566,1602895.559999999823049,1444123.530000000260770,1415999.260000000009313,10537735.419999999925494
20120330,1607784.120000000111759,1565629.479999999981374,1512014.750000000000000,1450623.700000000186265,1625789.449999999953434,1450192.810000000055879,1424846.040000000037253,10636883.350000001490116
20120402,1609987.560000000288710,1568167.599999999860302,1508009.449999999953434,1453809.090000000083819,1630754.389999999897555,1461193.380000000353903,1428571.000000000000000,10660495.470000000670552
20120403,1589789.360000000102445,1560130.219999999972060,1504671.699999999953434,1452583.940000000176951,1638477.629999999888241,1458917.400000000139698,1412041.489999999990687,10616614.740000000223517
20120404,1576568.720000000204891,1553784.919999999925494,1494658.449999999953434,1451113.760000000009313,1629099.409999999916181,1456262.090000000316650,1402961.900000000139698,10564452.250000000000000
20120405,1582077.320000000065193,1554207.939999999944121,1491320.699999999953434,1442782.740000000223517,1627720.259999999776483,1428571.000000000000000,1412507.110000000102445,10539190.070000000298023
20120409,1546455.040000000037253,1541517.339999999850988,1471961.750000000000000,1422445.250000000000000,1603723.050000000046566,1420984.400000000139698,1399935.370000000111759,10407025.199999999254942
20120410,1505324.160000000149012,1523327.479999999981374,1467956.449999999953434,1415094.350000000093132,1587724.909999999916181,1395948.620000000111759,1395279.170000000158325,10290658.139999998733401
20120411,1519279.280000000027940,1525442.580000000074506,1465286.250000000000000,1425385.610000000102445,1600413.090000000083819,1417949.760000000242144,1392252.640000000130385,10346012.210000000894070
20120412,1547924.000000000000000,1527557.679999999934807,1463283.600000000093132,1448173.400000000139698,1612549.609999999869615,1424398.370000000111759,1400168.180000000167638,10424057.839999999850988
20120413,1536906.800000000279397,1521635.399999999906868,1458610.750000000000000,1424160.459999999962747,1601240.579999999841675,1413397.800000000046566,1391554.210000000195578,10347509.000000001862645
20120416,1529929.239999999990687,1532210.899999999906868,1467288.900000000139698,1449643.580000000074506,1582208.309999999823049,1419846.410000000149012,1410411.820000000065193,10391542.160000000149012
20120417,1567387.720000000204891,1564360.419999999925494,1489318.049999999813735,1469981.070000000065193,1602619.729999999981374,1431605.640000000363216,1440444.310000000055879,10565719.940000001341105
20120418,1560410.160000000149012,1569013.640000000130385,1498663.750000000000000,1457239.510000000009313,1581104.989999999990687,1428571.000000000000000,1444867.700000000186265,10539873.750000000000000
20120419,1545353.320000000065193,1561399.279999999795109,1491320.699999999953434,1511881.200000000186265,1619445.359999999869615,1447158.170000000158325,1437650.590000000083819,10614211.619999999180436
20120420,1555268.800000000279397,1568167.599999999860302,1506006.799999999813735,1537609.350000000093132,1641511.759999999776483,1469159.310000000055879,1453947.290000000037253,10731673.910000000149012
20120423,1542782.640000000130385,1558861.159999999916181,1493990.899999999906868,1541529.830000000074506,1632685.199999999953434,1463090.030000000260770,1386199.580000000074506,10619142.339999999850988
20120424,1549025.720000000204891,1567744.580000000074506,1510679.649999999906868,1552801.209999999962747,1619721.189999999944121,1498367.720000000204891,1344992.210000000195578,10643335.280000001192093
20120425,1568122.200000000186265,1585088.399999999906868,1527368.399999999906868,1562847.440000000176951,1623858.639999999897555,1497609.060000000055879,1335447.000000000000000,10700344.140000000596046
20120426,1592360.040000000037253,1601163.159999999916181,1539384.299999999813735,1587105.409999999916181,1610067.139999999897555,1522644.840000000316650,1372463.790000000037253,10825191.679999999701977
20120427,1591992.800000000279397,1621045.099999999860302,1540719.399999999906868,1568483.130000000121072,1597378.959999999729916,1526058.810000000055879,1374326.270000000018626,10820007.470000000670552
20120430,1583179.040000000037253,1614276.779999999795109,1528703.500000000000000,1576079.059999999823049,1548832.879999999888241,1531748.760000000242144,1371532.550000000046566,10754355.570000000298023
20120501,1608151.360000000102445,1627390.399999999906868,1520692.900000000139698,1582939.899999999906868,1575864.219999999972060,1538576.700000000186265,1375257.510000000009313,10828875.990000000223517
20120502,1598970.360000000102445,1632043.619999999878928,1512682.300000000046566,1586370.320000000065193,1562900.209999999729916,1540094.020000000251457,1373860.650000000139698,10806924.480000000447035
20120503,1608885.840000000316650,1637965.899999999906868,1508677.000000000000000,1586615.350000000093132,1536972.189999999944121,1541611.340000000316650,1373395.030000000027940,10794125.649999998509884
20120504,1576568.720000000204891,1628659.459999999962747,1493990.899999999906868,1580489.600000000093132,1509389.189999999944121,1527196.800000000046566,1366643.540000000037253,10682941.210000000894070
20120507,1609253.080000000074506,1634581.739999999990687,1498663.750000000000000,1582694.870000000111759,1524008.179999999934807,1537438.710000000195578,1378051.229999999981374,10764694.560000000521541
20120508,1626880.600000000093132,1631620.599999999860302,1496661.100000000093132,1577794.270000000018626,1539730.489999999990687,1538197.370000000111759,1374791.890000000130385,10785679.320000000298023
20120509,1653321.880000000353903,1624006.239999999990687,1498663.750000000000000,1566277.860000000102445,1523180.689999999944121,1526817.470000000204891,1374326.270000000018626,10766597.160000000149012
20120510,1662870.120000000111759,1637542.879999999888241,1524030.649999999906868,1583920.020000000018626,1525111.500000000000000,1538197.370000000111759,1378051.229999999981374,10849726.769999999552965
20120511,1673152.840000000316650,1638811.939999999944121,1512014.750000000000000,1583429.960000000195578,1522629.030000000027940,1561336.500000000000000,1383405.860000000102445,10874783.879999998956919
20120514,1658830.480000000214204,1626121.339999999850988,1508009.449999999953434,1579999.540000000270084,1521525.709999999729916,1551094.590000000316650,1375257.510000000009313,10820841.620000001043081
20120515,1652954.640000000130385,1619353.020000000018626,1488650.500000000000000,1571913.550000000279397,1515457.449999999953434,1557163.870000000111759,1381776.190000000176951,10787272.220000000670552
20120516,1655525.320000000065193,1614699.800000000046566,1511347.199999999953434,1558681.930000000167638,1514354.129999999888241,1550715.260000000242144,1378051.229999999981374,10783377.870000001043081
20120517,1627982.320000000065193,1588895.580000000074506,1506006.799999999813735,1536384.200000000186265,1513802.469999999972060,1569302.430000000167638,1436020.920000000158325,10778397.720000000670552
20120518,1608885.840000000316650,1566475.520000000018626,1506674.350000000093132,1523642.640000000130385,1489253.600000000093132,1575371.710000000195578,1453481.670000000158325,10723788.330000001937151
20120521,1630185.760000000242144,1576204.979999999981374,1504671.699999999953434,1536384.200000000186265,1532283.079999999841675,1568164.440000000409782,1467683.080000000074506,10815580.240000000223517
20120522,1630185.760000000242144,1569436.659999999916181,1493323.350000000093132,1539324.560000000055879,1536972.189999999944121,1570061.090000000316650,1483746.969999999972060,10823053.580000000074506
20120523,1630185.760000000242144,1569436.659999999916181,1493323.350000000093132,1539324.560000000055879,1536972.189999999944121,1570061.090000000316650,1483746.969999999972060,10823053.580000000074506
20120524,1632021.959999999962747,1598202.020000000018626,1477969.699999999953434,1548390.669999999925494,1550763.689999999944121,1570061.090000000316650,1514943.510000000009313,10892355.639999998733401
20120525,1634225.400000000139698,1591433.699999999953434,1477302.149999999906868,1533933.900000000139698,1548005.389999999897555,1572337.070000000298023,1520530.950000000186265,10877771.559999998658895
20120529,1670214.919999999925494,1596086.919999999925494,1480639.899999999906868,1540794.740000000223517,1548832.879999999888241,1583716.970000000204891,1529144.920000000158325,10949434.250000000000000
20120530,1659932.200000000186265,1587626.520000000018626,1471294.199999999953434,1516536.770000000018626,1549384.540000000037253,1571199.080000000307336,1523557.479999999981374,10879533.790000000968575
20120531,1678661.440000000176951,1580858.199999999953434,1459945.850000000093132,1531238.570000000065193,1538351.340000000083819,1579544.340000000316650,1532404.260000000009313,10901007.000000000000000
20120601,1630553.000000000000000,1546170.559999999823049,1444592.199999999953434,1484437.840000000083819,1518215.750000000000000,1556405.210000000195578,1526118.390000000130385,10706495.950000001117587
20120604,1630920.239999999990687,1557592.099999999860302,1442589.550000000046566,1479537.240000000223517,1514629.959999999729916,1568164.440000000409782,1536362.030000000027940,10729798.560000000521541
20120605,1646711.560000000288710,1549131.699999999953434,1441922.000000000000000,1489828.500000000000000,1545798.750000000000000,1562853.820000000298023,1524954.340000000083819,10761203.669999999925494
20120606,1672051.120000000111759,1578320.080000000074506,1462616.050000000046566,1510411.020000000018626,1591586.530000000027940,1584475.630000000353903,1534965.170000000158325,10934428.599999999627471
20120607,1675723.520000000251457,1571128.739999999990687,1464618.700000000186265,1517026.830000000074506,1584690.780000000027940,1579544.340000000316650,1533568.310000000288710,10926304.220000002533197
20120608,1698125.160000000149012,1591433.699999999953434,1477969.699999999953434,1522662.520000000018626,1599861.429999999934807,1609890.740000000223517,1588278.660000000149012,11088224.910000000149012
20120611,1681966.600000000093132,1579166.119999999878928,1475299.500000000000000,1508450.780000000260770,1584966.609999999869615,1614442.700000000186265,1572214.770000000018626,11016510.079999998211861
20120612,1703266.520000000251457,1590587.659999999916181,1481307.450000000186265,1517761.919999999925494,1595448.150000000139698,1628857.240000000223517,1576638.160000000149012,11093870.100000001490116
20120613,1697757.919999999925494,1580012.159999999916181,1481307.450000000186265,1510656.050000000046566,1600137.259999999776483,1630753.890000000363216,1561505.510000000009313,11062133.240000000223517
20120614,1732645.720000000204891,1602009.199999999953434,1506006.799999999813735,1546675.459999999962747,1634340.179999999934807,1659582.970000000204891,1574542.869999999878928,11255806.199999999254942
20120615,1729340.560000000288710,1609623.559999999823049,1509344.550000000046566,1553781.330000000074506,1624686.129999999888241,1651996.370000000111759,1577336.590000000083819,11256112.089999999850988
20120618,1729707.800000000279397,1607085.439999999944121,1510012.100000000093132,1545450.310000000055879,1639029.290000000037253,1662238.280000000260770,1585950.560000000288710,11279476.780000001192093
20120619,1744764.640000000130385,1602009.199999999953434,1516020.050000000046566,1554761.450000000186265,1662199.009999999776483,1658824.310000000055879,1578733.450000000186265,11317315.109999999403954
20120620,1752843.919999999925494,1598202.020000000018626,1513349.850000000093132,1564562.650000000139698,1643994.229999999981374,1642513.120000000111759,1595262.959999999962747,11310731.750000000000000
20120621,1740725.000000000000000,1579589.140000000130385,1508677.000000000000000,1533443.840000000083819,1609239.650000000139698,1643651.110000000102445,1576172.540000000037253,11191501.280000001192093
20120622,1743295.680000000167638,1585088.399999999906868,1517355.150000000139698,1552311.150000000139698,1629375.239999999990687,1667169.570000000298023,1566860.140000000130385,11261458.330000001937151
20120625,1715018.200000000186265,1581704.239999999990687,1499998.849999999860302,1522907.550000000046566,1591310.699999999953434,1655789.670000000158325,1587347.420000000158325,11154079.630000000819564
20120626,1737052.600000000093132,1588049.540000000037253,1497996.200000000186265,1522907.550000000046566,1621927.829999999841675,1662996.940000000409782,1596659.820000000065193,11227593.480000000447035
20120627,1757985.280000000027940,1614699.800000000046566,1509344.550000000046566,1539569.590000000083819,1635443.500000000000000,1660720.960000000195578,1596892.630000000121072,11314659.310000000521541
20120628,1756149.080000000074506,1619353.020000000018626,1504004.150000000139698,1540059.650000000139698,1643994.229999999981374,1667928.230000000214204,1590141.140000000130385,11321632.500000001862645
20120629,1781121.400000000139698,1654040.659999999916181,1535379.000000000000000,1564317.620000000111759,1613652.929999999934807,1685756.740000000223517,1623200.160000000149012,11457471.510000001639128
20120702,1789200.680000000167638,1669269.379999999888241,1535379.000000000000000,1566277.860000000102445,1551867.009999999776483,1704343.910000000149012,1614586.189999999944121,11430927.029999999329448
20120703,1784426.560000000288710,1674345.619999999878928,1526700.850000000093132,1571423.489999999990687,1513802.469999999972060,1705102.570000000298023,1647179.590000000083819,11422984.150000000372529
20120705,1766799.040000000037253,1659539.919999999925494,1513349.850000000093132,1567257.980000000214204,1539454.659999999916181,1702826.590000000316650,1654862.320000000065193,11404093.360000001266599
20120706,1764228.360000000102445,1653194.619999999878928,1504671.699999999953434,1550105.880000000121072,1539730.489999999990687,1684998.080000000307336,1661381.000000000000000,11358313.130000000819564
20120709,1762759.400000000139698,1649387.439999999944121,1512014.750000000000000,1545450.310000000055879,1547177.900000000139698,1697136.640000000363216,1670693.400000000139698,11384622.840000001713634
20120710,1739256.040000000037253,1649387.439999999944121,1497996.200000000186265,1548880.730000000214204,1536420.530000000027940,1695619.320000000298023,1678841.750000000000000,11346405.010000001639128
20120711,1735950.880000000353903,1638388.919999999925494,1491320.699999999953434,1532218.690000000176951,1545798.750000000000000,1703205.920000000158325,1682333.900000000139698,11329220.760000001639128
20120712,1741092.239999999990687,1621045.099999999860302,1513349.850000000093132,1525112.820000000065193,1505251.739999999990687,1694481.330000000307336,1683497.950000000186265,11283834.030000001192093
20120713,1769736.959999999962747,1634581.739999999990687,1522695.549999999813735,1546920.490000000223517,1522629.030000000027940,1714965.150000000139698,1703752.420000000158325,11415284.339999999850988
20120716,1757618.040000000037253,1617660.939999999944121,1544057.149999999906868,1532708.750000000000000,1521525.709999999729916,1717241.130000000353903,1699096.220000000204891,11389910.940000001341105
20120717,1812336.800000000279397,1643465.159999999916181,1576767.100000000093132,1551331.030000000260770,1541937.129999999888241,1732035.000000000000000,1701889.939999999944121,11559765.160000000149012
20120718,1812336.800000000279397,1637965.899999999906868,1580104.850000000093132,1568238.100000000093132,1554349.479999999981374,1740759.590000000316650,1696069.689999999944121,11589827.410000000149012
20120719,1799116.160000000149012,1640504.020000000018626,1588783.000000000000000,1560642.169999999925494,1516836.600000000093132,1689550.040000000270084,1665338.770000000018626,11460773.759999999776483
20120720,1784426.560000000288710,1629505.500000000000000,1582107.500000000000000,1536629.230000000214204,1528421.459999999729916,1687653.390000000363216,1682101.090000000083819,11430847.730000000447035
20120723,1762024.919999999925494,1626121.339999999850988,1575432.000000000000000,1512861.320000000065193,1503596.759999999776483,1682342.770000000251457,1672788.689999999944121,11335170.799999998882413
20120724,1768635.239999999990687,1621468.119999999878928,1560745.899999999906868,1492033.770000000018626,1514354.129999999888241,1660341.630000000353903,1679540.180000000167638,11297121.969999998807907
20120725,1773776.600000000093132,1629082.479999999981374,1557408.149999999906868,1494239.040000000037253,1447603.269999999785796,1658444.980000000214204,1678143.320000000065193,11238700.839999999850988
20120726,1825557.440000000176951,1667577.300000000046566,1568088.949999999953434,1509675.930000000167638,1434639.259999999776483,1686515.400000000139698,1715160.110000000102445,11407217.390000000596046
20120727,1834003.959999999962747,1692535.479999999981374,1590785.649999999906868,1536874.260000000009313,1471324.650000000139698,1703205.920000000158325,1734948.959999999962747,11563681.879999998956919
20120730,1828862.600000000093132,1715801.580000000074506,1582775.050000000046566,1548880.730000000214204,1469118.009999999776483,1705102.570000000298023,1745658.220000000204891,11596201.760000001639128
20120731,1804624.760000000242144,1709033.260000000009313,1604804.199999999953434,1535159.050000000046566,1409262.900000000139698,1712309.840000000316650,1732853.670000000158325,11508050.680000001564622
