代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12444702.379999998956919
真實報酬,2444702.379999998956919

夏普值報酬,0.235770238000000
夏普值風險,0.064655701499214
夏普值,3.646549840664363

預期報酬,20021.517893245243613
風險,99557.126453972843592
趨勢值,0.201105823423917
找到最佳解世代,2631
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](6),TRV[22](1),V[25](2),
20190424,3709879.260000000242144,3874167.050000000279397,4079884.200000000186265,11663931.510000001639128
20190425,3715510.560000000521541,3874445.399999999906868,4068010.120000000111759,11657967.080000001937151
20190426,3705937.350000000093132,3903672.150000000372529,4116264.359999999869615,11725874.859999999403954
20190429,3700306.050000000279397,3937630.850000000093132,4147086.439999999944121,11785024.339999999850988
20190430,3708753.000000000000000,4001373.000000000000000,4154160.359999999869615,11864287.359999999403954
20190501,3644931.600000000093132,3982723.550000000279397,4112727.399999999441206,11740383.550000000745058
20190502,3653190.840000000316650,3972146.249999999534339,4070536.520000000018626,11695874.609999999403954
20190503,3707814.450000000651926,3990239.000000000000000,4093779.399999999441206,11791833.850000001490116
20190506,3733718.430000000167638,3992465.800000000279397,4099842.759999999776483,11826027.990000000223517
20190507,3717575.370000000111759,3944589.600000000093132,4047546.280000000260770,11709712.250000000000000
20190508,3717387.660000000149012,3939579.299999999813735,4061441.479999999515712,11718409.439999999478459
20190509,3711756.359999999869615,3947929.800000000279397,4037440.679999999701977,11697127.839999999850988
20190510,3754178.820000000298023,4007218.350000000093132,4060178.280000000260770,11821576.449999999254942
20190513,3736158.660000000149012,3991909.100000000093132,3974785.959999999962747,11702854.719999998807907
20190514,3717012.240000000223517,4055929.600000000093132,4047546.280000000260770,11820489.120000001043081
20190515,3736909.500000000000000,4078475.950000000186265,4112727.399999999441206,11928113.849999999627471
20190516,3754178.820000000298023,4103249.100000000093132,4165276.520000000018626,12022705.439999999478459
20190517,3739725.150000000372529,4105475.900000000372529,4145570.600000000093132,11990772.650000000372529
20190520,3735407.820000000298023,4124403.699999999720603,4129906.919999999925494,11989719.439999999478459
20190521,3751363.170000000391155,4104919.200000000186265,4139759.880000000353903,11996043.250000001862645
20190522,3753615.690000000409782,4118558.350000000093132,4149360.200000000186265,12021535.240000002086163
20190523,3735032.400000000372529,4090166.649999999906868,4080389.479999999515712,11905589.530000001192093
20190524,3712507.200000000651926,4118001.649999999906868,4108937.799999999348074,11939447.650000000372529
20190528,3691859.100000000093132,4071795.549999999813735,4135970.280000000260770,11899625.929999999701977
20190529,3679657.950000000651926,4038115.199999999720603,4111211.559999999590218,11828985.710000000894070
20190530,3740100.570000000298023,4056486.299999999813735,4111969.479999999515712,11908557.349999999627471
20190531,3721892.700000000651926,4052032.699999999720603,4075841.959999999962747,11849768.359999999403954
20190603,3731465.910000000149012,4085991.399999999906868,4006871.239999999757856,11824329.550000000745058
20190604,3747421.260000000242144,4107146.000000000465661,4101105.959999999962747,11955674.220000000670552
20190605,3756806.760000000242144,4171166.500000000000000,4178413.799999999348074,12106388.059999998658895
20190606,3811618.080000000540167,4147506.750000000000000,4217067.719999999739230,12176193.550000000745058
20190607,3857231.609999999869615,4162259.299999999813735,4296144.040000000037253,12315635.949999999254942
20190610,3778768.830000000540167,4156413.949999999720603,4315597.319999999366701,12250781.099999999627471
20190611,3815559.990000000223517,4152795.399999999906868,4302712.679999999701977,12271069.070000000298023
20190612,3846907.560000000521541,4167826.299999999813735,4335050.599999999627471,12349785.460000000894070
20190613,3838648.320000000298023,4158919.100000000093132,4278459.239999999292195,12276027.660000000149012
20190614,3853665.120000000111759,4178403.600000000558794,4286291.080000000074506,12318360.800000000745058
20190617,3825884.040000000502914,4173114.949999999720603,4283764.679999999701977,12282764.669999999925494
20190618,3839023.740000000223517,4184527.300000000279397,4276690.759999999776483,12300242.800000000745058
20190619,3839774.580000000540167,4219877.750000000000000,4312313.000000000000000,12371966.330000000074506
20190620,3850474.050000000279397,4236300.400000000372529,4389368.200000000186265,12476143.650000002235174
20190621,3834330.990000000223517,4216537.549999999813735,4381789.000000000000000,12432658.539999999105930
20190624,3827948.850000000093132,4231568.450000000186265,4392147.239999999292195,12451665.539999999105930
20190625,3861548.940000000409782,4262465.299999999813735,4327218.759999999776483,12451234.000000000000000
20190626,3839774.580000000540167,4139156.249999999534339,4321660.679999999701977,12300592.509999999776483
20190627,3872060.700000000651926,4153073.749999999534339,4325955.559999999590218,12351091.009999999776483
20190628,3898152.390000000130385,4161980.950000000186265,4384568.040000000037253,12444702.379999998956919
