代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12269416.410000000149012
真實報酬,2269416.410000000149012

夏普值報酬,0.218241641000000
夏普值風險,0.053725662274052
夏普值,4.062148920319679

預期報酬,15709.542908588584396
風險,72454.373063744395040
趨勢值,0.216819803199008
找到最佳解世代,2427
找到最佳解實驗#,2
找到最佳解次數,43

stock[index](rank)
投資組合檔數,10
AAPL[0](18),AXP[1](2),BA[2](1),CAT[3](5),HD[9](16),JPM[13](7),PFE[20](11),PG[21](20),UNH[23](4),V[25](3),
20170629,940562.320000000065193,1086949.929999999934807,1052384.070000000065193,1001991.639999999897555,991206.100000000093132,1109548.000000000000000,1030014.460000000195578,987512.799999999930151,1057593.720000000204891,991495.000000000000000,10249258.040000000968575
20170630,942787.960000000079162,1094878.100000000093132,1053929.479999999981374,1019252.519999999785796,999283.460000000195578,1112591.000000000000000,1028789.380000000121072,989329.119999999995343,1058449.919999999925494,984775.000000000000000,10284065.939999999478459
20170703,939384.040000000037253,1106055.520000000018626,1058405.840000000083819,1014605.359999999869615,1003257.000000000000000,1129023.199999999953434,1035833.590000000083819,996026.799999999930151,1065470.759999999776483,980259.999999999883585,10328322.109999999403954
20170705,943246.180000000051223,1103326.150000000139698,1075565.219999999972060,1019537.039999999804422,994658.520000000135042,1140343.160000000149012,1030320.730000000097789,995232.159999999916181,1074603.560000000055879,987190.000000000000000,10364022.720000000670552
20170706,934343.619999999995343,1088379.600000000093132,1073806.649999999906868,1010242.719999999972060,990489.560000000172295,1136691.559999999823049,1017457.390000000013970,991826.560000000055879,1067126.080000000074506,979210.000000000000000,10289573.740000000223517
20170707,943835.320000000065193,1096047.830000000074506,1078549.459999999962747,1014131.159999999916181,991662.080000000074506,1142412.399999999906868,1021438.900000000139698,995005.119999999995343,1072948.239999999757856,986245.000000000000000,10342275.509999999776483
20170710,949595.800000000046566,1095657.919999999925494,1087022.570000000065193,1022856.439999999944121,984822.380000000121072,1134378.879999999888241,1023276.520000000018626,988648.000000000000000,1067183.159999999683350,998530.000000000000000,10351971.669999999925494
20170711,952672.420000000041910,1093838.340000000083819,1099332.560000000055879,1026650.039999999804422,981044.260000000009313,1129996.959999999962747,1015926.040000000153668,985015.359999999869615,1061475.159999999683350,1001890.000000000000000,10347841.140000000596046
20170712,954047.080000000074506,1102416.359999999869615,1100238.489999999990687,1033478.519999999785796,994007.120000000111759,1126101.919999999925494,1017457.390000000013970,987172.239999999874271,1065699.080000000074506,1009975.000000000116415,10390593.199999999254942
20170713,967335.460000000079162,1109564.710000000195578,1099119.399999999906868,1028831.359999999869615,998566.920000000041910,1133283.399999999906868,1019295.010000000125729,984220.719999999972060,1058792.399999999906868,1007455.000000000000000,10406464.379999998956919
20170714,975648.880000000004657,1108394.979999999981374,1111269.520000000018626,1031676.559999999823049,995896.180000000051223,1122937.199999999953434,1023889.060000000055879,988761.519999999902211,1066897.759999999776483,1017850.000000000116415,10443221.659999998286366
20170717,979052.800000000046566,1107615.160000000149012,1113880.729999999981374,1032340.439999999944121,1002475.320000000065193,1112469.280000000027940,1018376.200000000069849,993869.919999999925494,1063758.359999999869615,1016800.000000000000000,10440638.210000000894070
20170718,982456.720000000088476,1111514.260000000009313,1109830.689999999944121,1015553.759999999776483,991271.239999999990687,1108574.239999999757856,1021745.170000000041910,1006243.599999999976717,1066612.359999999869615,1024675.000000000000000,10438477.039999999105930
20170719,988609.960000000079162,1116843.030000000260770,1123899.250000000000000,1022951.279999999795109,998632.060000000172295,1110156.600000000093132,1029708.189999999944121,1002951.519999999902211,1079969.080000000074506,1031710.000000000000000,10505430.969999998807907
20170720,984158.680000000051223,1109304.770000000018626,1120701.850000000093132,1017924.759999999776483,957789.280000000144355,1110156.600000000093132,1027258.030000000027940,1005789.519999999902211,1093154.560000000055879,1030240.000000000000000,10456478.050000000745058
20170721,983700.460000000079162,1112424.050000000046566,1130613.789999999804422,1011001.439999999944121,955313.960000000195578,1106383.280000000027940,1025420.409999999916181,1005903.039999999920838,1094752.799999999813735,1045884.999999999883585,10471398.230000000447035
20170724,995614.180000000051223,1104755.820000000065193,1130826.949999999953434,1026081.000000000000000,941829.980000000214204,1111130.359999999869615,1020520.090000000083819,1001021.680000000051223,1089672.679999999701977,1053970.000000000000000,10475422.740000000223517
20170725,999869.080000000074506,1110084.590000000083819,1132319.070000000065193,1086399.239999999990687,957398.440000000060536,1129631.799999999813735,1013782.150000000139698,1011919.599999999976717,1086875.759999999776483,1049980.000000000000000,10578259.730000000447035
20170726,1004582.200000000069849,1108654.919999999925494,1244174.780000000027940,1076725.559999999823049,955574.520000000135042,1119042.160000000149012,1007350.480000000097789,1013735.919999999925494,1088873.560000000055879,1059010.000000000000000,10677724.100000001490116
20170727,985598.800000000046566,1089809.270000000018626,1284408.729999999981374,1084786.959999999962747,962349.080000000074506,1114416.799999999813735,1010719.450000000069849,1029401.680000000051223,1078485.000000000000000,1045569.999999999883585,10685545.769999999552965
20170728,978660.040000000037253,1102156.419999999925494,1285847.560000000055879,1082226.279999999795109,964628.980000000214204,1111130.359999999869615,1015313.500000000000000,1024066.239999999874271,1091156.759999999776483,1041160.000000000116415,10696346.140000000596046
20170731,973619.619999999995343,1107745.130000000121072,1292189.070000000065193,1080803.679999999934807,974530.260000000009313,1117459.799999999813735,1015619.770000000018626,1030990.959999999846332,1094924.040000000037253,1045465.000000000000000,10733347.329999998211861
20170801,982260.340000000083819,1107875.100000000093132,1276095.489999999990687,1072742.279999999795109,976158.760000000009313,1132431.359999999869615,1013169.609999999986030,1034169.519999999902211,1097321.399999999906868,1059220.000000000000000,10751443.860000001266599
20170802,1028671.479999999981374,1108654.919999999925494,1268155.280000000027940,1072647.439999999944121,980392.860000000102445,1133405.119999999878928,1008269.290000000153668,1033488.400000000023283,1101716.560000000055879,1063525.000000000000000,10798926.349999999627471
20170803,1018394.260000000009313,1111774.200000000186265,1269753.979999999981374,1077104.919999999925494,982281.920000000041910,1125980.199999999953434,1023889.060000000055879,1031445.039999999920838,1111819.720000000204891,1056280.000000000000000,10808723.299999998882413
20170804,1023761.979999999981374,1117362.910000000149012,1266876.320000000065193,1084597.279999999795109,995049.360000000102445,1140099.719999999972060,1030320.730000000097789,1029288.159999999916181,1112447.600000000093132,1059430.000000000000000,10859234.060000000521541
20170807,1039603.300000000046566,1115803.270000000018626,1280305.399999999906868,1088011.519999999785796,998957.760000000009313,1144481.639999999897555,1020213.820000000181608,1038029.199999999953434,1111876.799999999813735,1065730.000000000000000,10903012.710000000894070
20170808,1047916.720000000088476,1116973.000000000000000,1276415.229999999981374,1085166.319999999832362,998957.760000000009313,1140343.160000000149012,1019295.010000000125729,1039618.479999999981374,1112561.759999999776483,1063525.000000000000000,10900772.439999999478459
20170809,1054331.800000000046566,1113723.750000000000000,1248757.719999999972060,1084502.439999999944121,1011399.500000000000000,1138517.359999999869615,1024501.600000000209548,1043478.159999999916181,1112162.200000000186265,1060270.000000000000000,10891644.529999997466803
20170810,1016757.760000000009313,1099037.140000000130385,1241137.250000000000000,1073216.479999999981374,1002410.180000000051223,1122206.879999999888241,1023582.790000000153668,1041434.799999999930151,1099262.120000000111759,1044730.000000000000000,10763775.400000002235174
20170811,1030897.119999999995343,1095527.950000000186265,1251795.250000000000000,1070371.279999999795109,1008924.180000000051223,1112834.439999999944121,1018376.200000000069849,1036894.000000000000000,1101830.720000000204891,1051030.000000000000000,10778481.139999998733401
20170814,1046411.140000000013970,1110864.410000000149012,1263892.080000000074506,1078527.519999999785796,1004885.500000000000000,1125858.479999999981374,1020213.820000000181608,1040413.119999999995343,1105769.239999999757856,1069720.000000000000000,10866555.310000000521541
20170815,1057866.639999999897555,1128020.450000000186265,1274656.659999999916181,1077958.479999999981374,978243.239999999990687,1128779.760000000009313,1022357.710000000195578,1046656.719999999972060,1110278.560000000055879,1077700.000000000000000,10902518.220000000670552
20170816,1053611.739999999990687,1135818.650000000139698,1266236.840000000083819,1082415.959999999962747,991792.360000000102445,1120989.679999999934807,1021745.170000000041910,1049381.199999999720603,1106111.720000000204891,1084945.000000000000000,10913048.320000000298023
20170817,1033384.600000000093132,1118922.550000000046566,1255578.840000000083819,1073121.639999999897555,974986.239999999990687,1103462.000000000000000,1009188.100000000209548,1045180.959999999846332,1100004.159999999683350,1072765.000000000000000,10786594.089999999850988
20170818,1031028.040000000037253,1109694.679999999934807,1256538.060000000055879,1080519.159999999916181,960785.720000000204891,1104557.479999999981374,1000612.540000000153668,1049721.759999999776483,1089273.120000000111759,1076440.000000000000000,10759170.560000002384186
20170821,1029129.700000000069849,1108654.919999999925494,1256058.449999999953434,1077484.279999999795109,971924.660000000032596,1103218.559999999823049,1003368.969999999972060,1054149.040000000037253,1096179.799999999813735,1083895.000000000000000,10784063.379999998956919
20170822,1045952.920000000041910,1108654.919999999925494,1277747.479999999981374,1098538.759999999776483,976549.600000000093132,1114538.520000000018626,1015313.500000000000000,1053354.399999999906868,1111933.879999999888241,1092820.000000000000000,10895403.980000000447035
20170823,1047262.119999999995343,1108394.979999999981374,1268901.340000000083819,1088390.879999999888241,971273.260000000009313,1115877.439999999944121,1018069.930000000167638,1049381.199999999720603,1108794.479999999981374,1083475.000000000000000,10859820.629999998956919
20170824,1042614.460000000079162,1109434.739999999990687,1272365.189999999944121,1088675.399999999906868,965736.360000000102445,1114051.639999999897555,1017763.659999999916181,1047451.359999999869615,1111705.560000000055879,1083895.000000000000000,10853693.370000001043081
20170825,1046476.600000000093132,1110864.410000000149012,1257177.539999999804422,1094081.279999999795109,974855.960000000195578,1118555.280000000027940,1022663.980000000097789,1050175.839999999850988,1109479.439999999944121,1085260.000000000000000,10869590.330000000074506
20170828,1057015.659999999916181,1110084.590000000083819,1264051.949999999953434,1091425.759999999776483,986190.320000000065193,1115025.399999999906868,1025114.140000000013970,1049721.759999999776483,1113646.279999999795109,1089775.000000000000000,10902050.859999997541308
20170829,1066441.899999999906868,1110214.560000000055879,1281690.939999999944121,1100340.719999999972060,976093.620000000111759,1108939.399999999906868,1026032.950000000069849,1048018.959999999846332,1123007.399999999906868,1089670.000000000000000,10930450.450000001117587
20170830,1069322.139999999897555,1113723.750000000000000,1281531.070000000065193,1114946.079999999841675,977135.860000000102445,1111495.520000000018626,1024501.600000000209548,1042910.560000000055879,1118155.600000000093132,1089250.000000000000000,10942972.179999999701977
20170831,1073577.040000000037253,1119052.520000000018626,1277267.869999999878928,1114377.039999999804422,976289.040000000153668,1106383.280000000027940,1038896.290000000153668,1047451.359999999869615,1135393.759999999776483,1087045.000000000000000,10975733.199999999254942
20170901,1073904.340000000083819,1119572.400000000139698,1280838.300000000046566,1121869.399999999906868,982216.780000000144355,1116242.600000000093132,1040121.370000000111759,1050402.879999999888241,1140245.560000000055879,1091035.000000000000000,11016448.630000000819564
20170905,1061008.720000000204891,1108784.890000000130385,1263092.729999999981374,1122059.079999999841675,996221.880000000121072,1089585.919999999925494,1035221.049999999930151,1052559.759999999776483,1137734.040000000037253,1081690.000000000000000,10947958.070000000298023
20170906,1059895.899999999906868,1107745.130000000121072,1250409.709999999962747,1109540.199999999953434,1019867.700000000069849,1096889.119999999878928,1041040.180000000167638,1052559.759999999776483,1132425.600000000093132,1083475.000000000000000,10953848.300000000745058
20170907,1055641.000000000000000,1097087.590000000083819,1259415.719999999972060,1117032.559999999823049,1028791.880000000121072,1077657.359999999869615,1041040.180000000167638,1055397.759999999776483,1131226.919999999925494,1097965.000000000000000,10961255.969999998807907
20170908,1038425.020000000018626,1095008.070000000065193,1272578.350000000093132,1117506.759999999776483,1040061.100000000093132,1076318.439999999944121,1044409.150000000139698,1053922.000000000000000,1128829.560000000055879,1096600.000000000000000,10963658.449999999254942
20170911,1057212.040000000037253,1113723.750000000000000,1282223.840000000083819,1127464.959999999962747,1031658.040000000153668,1092994.080000000074506,1051147.089999999850988,1066976.799999999813735,1139275.200000000186265,1114660.000000000000000,11077335.800000000745058
20170912,1053022.600000000093132,1124901.169999999925494,1282170.550000000046566,1147096.839999999850988,1041689.600000000093132,1106383.280000000027940,1083305.439999999944121,1061527.839999999850988,1127231.319999999832362,1115290.000000000000000,11142618.640000000596046
20170913,1045101.940000000060536,1126070.900000000139698,1289364.699999999953434,1134672.799999999813735,1042406.140000000130385,1109548.000000000000000,1073811.070000000298023,1061981.919999999925494,1132140.200000000186265,1111300.000000000000000,11126397.670000001788139
20170914,1036133.920000000041910,1120222.250000000000000,1306950.399999999906868,1142734.199999999953434,1038237.180000000051223,1107357.040000000037253,1094331.160000000149012,1061981.919999999925494,1128715.399999999906868,1113925.000000000000000,11150588.470000000670552
20170915,1046607.520000000018626,1130619.850000000093132,1327040.729999999981374,1151174.959999999962747,1031853.460000000195578,1115268.840000000083819,1082999.169999999925494,1058803.359999999869615,1131284.000000000000000,1105735.000000000000000,11181386.890000000596046
20170918,1038686.859999999986030,1142057.210000000195578,1348783.050000000046566,1174505.599999999860302,1028010.200000000069849,1131092.439999999944121,1088818.299999999813735,1057441.120000000111759,1131341.080000000074506,1100800.000000000000000,11241535.859999999403954
20170919,1039079.619999999995343,1156743.820000000065193,1345479.070000000065193,1183136.039999999804422,1027033.100000000093132,1143507.879999999888241,1085755.600000000093132,1069020.160000000149012,1111134.759999999776483,1106890.000000000000000,11267780.050000000745058
20170920,1021667.260000000009313,1149335.530000000260770,1361466.070000000065193,1184179.279999999795109,1033677.380000000121072,1143507.879999999888241,1102294.180000000167638,1071631.120000000111759,1117413.560000000055879,1106890.000000000000000,11292062.259999999776483
20170921,1004123.979999999981374,1149205.560000000055879,1364556.890000000130385,1183610.239999999990687,1036999.520000000135042,1156775.359999999869615,1101681.640000000130385,1051651.600000000093132,1114331.239999999757856,1105840.000000000000000,11268776.030000001192093
20170922,994304.979999999981374,1148945.620000000111759,1366741.780000000027940,1180196.000000000000000,1042080.440000000060536,1154340.959999999962747,1101375.370000000111759,1047110.799999999930151,1101887.799999999813735,1108465.000000000000000,11245448.750000000000000
20170925,985533.340000000083819,1146476.189999999944121,1355391.010000000009313,1179152.759999999776483,1049441.260000000009313,1145698.840000000083819,1087593.220000000204891,1052559.759999999776483,1094581.560000000055879,1081795.000000000000000,11178222.939999999478459
20170926,1002487.479999999981374,1152714.750000000000000,1352087.030000000027940,1180954.719999999972060,1050483.500000000000000,1140586.600000000093132,1081161.549999999813735,1051765.120000000111759,1100004.159999999683350,1080955.000000000000000,11193199.910000000149012
20170927,1009622.619999999995343,1163112.350000000093132,1360506.850000000093132,1181049.559999999823049,1048268.739999999990687,1158601.160000000149012,1085755.600000000093132,1031558.560000000055879,1110221.479999999981374,1090930.000000000000000,11239626.920000001788139
20170928,1003403.920000000041910,1171560.400000000139698,1355124.560000000055879,1187783.199999999953434,1057648.900000000139698,1161035.559999999823049,1090349.649999999906868,1031785.599999999976717,1119411.359999999869615,1098175.000000000000000,11276278.149999998509884
20170929,1008902.560000000055879,1175719.439999999944121,1354804.820000000065193,1182851.519999999785796,1065465.700000000186265,1162617.919999999925494,1093412.350000000093132,1032807.280000000027940,1117984.359999999869615,1098175.000000000000000,11292740.949999999254942
20171002,1006873.300000000046566,1176759.200000000186265,1364290.439999999944121,1182946.359999999869615,1068462.140000000130385,1178806.679999999934807,1104744.339999999850988,1041775.359999999869615,1127060.080000000074506,1107205.000000000000000,11358922.899999998509884
20171003,1011259.119999999995343,1188326.530000000260770,1361466.070000000065193,1190438.719999999972060,1075953.239999999990687,1185014.399999999906868,1106888.229999999981374,1045748.560000000055879,1133852.600000000093132,1108780.000000000000000,11407727.470000000670552
20171004,1004713.119999999995343,1182867.790000000037253,1363064.770000000018626,1202104.039999999804422,1076734.920000000158325,1172964.119999999878928,1101375.370000000111759,1049154.160000000149012,1144412.399999999906868,1105840.000000000000000,11403230.689999999478459
20171005,1017215.979999999981374,1184817.340000000083819,1379744.539999999804422,1198879.479999999981374,1082141.540000000037253,1181849.679999999934807,1102600.450000000186265,1044726.880000000004657,1129685.759999999776483,1115605.000000000000000,11437266.650000000372529
20171006,1016626.840000000083819,1189886.169999999925494,1378092.549999999813735,1203906.000000000000000,1080382.760000000009313,1179780.439999999944121,1104131.799999999813735,1048132.479999999981374,1130599.040000000037253,1120750.000000000000000,11452288.079999998211861
20171009,1020161.680000000051223,1191705.750000000000000,1377080.039999999804422,1203431.799999999813735,1079470.800000000046566,1173572.719999999972060,1106888.229999999981374,1045748.560000000055879,1120552.959999999962747,1123690.000000000000000,11442302.539999999105930
20171010,1020554.440000000060536,1194305.150000000139698,1390615.699999999953434,1215855.839999999850988,1075888.100000000093132,1182336.559999999823049,1114851.250000000000000,1040072.560000000055879,1111306.000000000000000,1126840.000000000000000,11472625.599999999627471
20171011,1024809.340000000083819,1195214.939999999944121,1393333.489999999990687,1219744.279999999795109,1076474.360000000102445,1178806.679999999934807,1116382.600000000093132,1038256.239999999874271,1114616.639999999664724,1138705.000000000000000,11496343.570000000298023
20171012,1021209.040000000037253,1190665.989999999990687,1395838.120000000111759,1232927.040000000037253,1072175.120000000111759,1168460.479999999981374,1113319.899999999906868,1046089.119999999995343,1101259.919999999925494,1135240.000000000000000,11477184.730000000447035
20171013,1027689.580000000074506,1206912.239999999990687,1389603.189999999944121,1239755.520000000018626,1071393.440000000176951,1166878.119999999878928,1113013.630000000353903,1056192.399999999906868,1098976.720000000204891,1141015.000000000000000,11511429.840000001713634
20171016,1046607.520000000018626,1195214.939999999944121,1384327.479999999981374,1246963.359999999869615,1069764.940000000176951,1190978.679999999934807,1101987.910000000149012,1057327.600000000093132,1102858.159999999683350,1137235.000000000000000,11533265.589999999850988
20171017,1050469.659999999916181,1191705.750000000000000,1378305.709999999962747,1238143.239999999757856,1064097.760000000009313,1188300.840000000083819,1108725.850000000093132,1053467.919999999925494,1163876.679999999701977,1129255.000000000000000,11566348.409999998286366
20171018,1045822.000000000000000,1196774.580000000074506,1385872.890000000130385,1245256.239999999757856,1064749.159999999916181,1192804.479999999981374,1097393.859999999869615,1053127.359999999869615,1171525.399999999906868,1131985.000000000000000,11585310.969999998807907
20171019,1021078.119999999995343,1194435.120000000111759,1380543.890000000130385,1247722.080000000074506,1063381.220000000204891,1194265.119999999878928,1109950.930000000167638,1039732.000000000000000,1160223.560000000055879,1123795.000000000000000,11535127.040000002831221
20171020,1022845.540000000037253,1196904.550000000046566,1410972.479999999981374,1245920.120000000111759,1064618.880000000121072,1211305.919999999925494,1115463.790000000037253,1001816.319999999948777,1184425.479999999981374,1129360.000000000000000,11583633.080000000074506
20171023,1022321.859999999986030,1200673.679999999934807,1398023.010000000009313,1248955.000000000000000,1073152.220000000204891,1209236.679999999934807,1114851.250000000000000,991031.919999999925494,1181685.639999999664724,1129150.000000000000000,11569081.259999997913837
20171024,1028409.640000000013970,1219909.239999999990687,1417633.729999999981374,1311170.040000000037253,1081555.280000000027940,1228468.439999999944121,1110869.740000000223517,987399.280000000027940,1188192.759999999776483,1138390.000000000000000,11711998.150000000372529
20171025,1023892.900000000023283,1215620.229999999981374,1377239.910000000149012,1297892.439999999944121,1081815.840000000083819,1229685.639999999897555,1107500.770000000018626,986037.039999999920838,1184825.040000000037253,1149730.000000000000000,11654239.809999998658895
20171026,1030438.900000000023283,1243693.750000000000000,1381769.559999999823049,1298840.839999999850988,1092107.960000000195578,1238449.479999999981374,1094637.430000000167638,993302.319999999948777,1193900.759999999776483,1152985.000000000000000,11720126.000000000000000
20171027,1067358.340000000083819,1244993.450000000186265,1366795.069999999832362,1307091.919999999925494,1090088.620000000111759,1238814.639999999897555,1090349.649999999906868,988080.400000000023283,1213593.359999999869615,1152040.000000000000000,11759205.449999999254942
20171030,1091382.159999999916181,1235635.609999999869615,1381662.979999999981374,1294573.040000000037253,1076865.200000000186265,1234432.719999999972060,1076567.500000000000000,979339.359999999869615,1195270.679999999701977,1155505.000000000000000,11721234.249999998137355
20171031,1106568.879999999888241,1241484.260000000009313,1374895.150000000139698,1288029.080000000074506,1079926.780000000027940,1224695.119999999878928,1073811.070000000298023,980134.000000000000000,1200008.319999999832362,1154875.000000000000000,11724427.660000000149012
20171101,1092494.979999999981374,1244993.450000000186265,1377666.229999999981374,1292676.239999999757856,1077321.180000000167638,1228468.439999999944121,1079936.470000000204891,986377.599999999976717,1196069.799999999813735,1166320.000000000000000,11742324.390000000596046
20171102,1100481.100000000093132,1247462.880000000121072,1399675.000000000000000,1294383.359999999869615,1059928.800000000046566,1236623.679999999934807,1086061.870000000111759,982063.839999999967404,1205031.359999999869615,1165375.000000000000000,11777086.889999998733401
20171103,1129218.040000000037253,1253311.530000000260770,1394985.479999999981374,1295900.799999999813735,1070872.320000000065193,1234432.719999999972060,1088818.299999999813735,982858.479999999981374,1215134.520000000018626,1169365.000000000000000,11834897.189999999478459
20171106,1140673.540000000037253,1251491.950000000186265,1407348.760000000009313,1306143.520000000018626,1069764.940000000176951,1226764.359999999869615,1081774.089999999850988,976841.919999999925494,1210853.520000000018626,1175245.000000000000000,11846901.599999999627471
20171107,1144339.300000000046566,1239534.710000000195578,1418326.500000000000000,1316575.919999999925494,1066117.100000000093132,1202055.199999999953434,1082999.169999999925494,987399.280000000027940,1214164.159999999683350,1177030.000000000000000,11848541.339999997988343
20171108,1153700.080000000074506,1236415.429999999934807,1415342.260000000009313,1302160.239999999757856,1068657.560000000288710,1188544.280000000027940,1082386.630000000353903,994210.479999999981374,1203147.720000000204891,1181020.000000000000000,11825584.680000001564622
20171109,1151343.520000000018626,1218479.570000000065193,1400048.030000000027940,1283666.439999999944121,1063576.640000000130385,1188422.559999999823049,1078098.850000000093132,996480.880000000004657,1207657.040000000037253,1177555.000000000000000,11765328.530000001192093
20171110,1143422.859999999869615,1215490.260000000009313,1390189.380000000121072,1294478.199999999720603,1069048.400000000139698,1186961.919999999925494,1077486.310000000055879,1000794.639999999897555,1204860.120000000111759,1174825.000000000000000,11757557.089999999850988
20171113,1138840.659999999916181,1220429.120000000111759,1398555.910000000149012,1294952.399999999906868,1077125.760000000009313,1191222.119999999878928,1081161.549999999813735,1010330.319999999948777,1213935.839999999850988,1169785.000000000000000,11796338.679999999701977
