代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12117893.760000001639128
真實報酬,2117893.760000001639128

夏普值報酬,0.203089376000000
夏普值風險,0.054072333261624
夏普值,3.755883346430987

預期報酬,16710.966691071775131
風險,111957.306497593366657
趨勢值,0.149261957203579
找到最佳解世代,1777
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),INTC[11](15),MRK[17](2),MSFT[18](7),
20131220,2133635.440000000409782,2218461.200000000186265,2048221.880000000121072,2187621.649999999906868,2078508.590000000083819,10666448.759999999776483
20131223,2158347.200000000186265,2223442.400000000372529,2069472.200000000186265,2189395.849999999627471,2068342.010000000009313,10708999.660000000149012
20131224,2181139.599999999627471,2250839.000000000000000,2078462.720000000204891,2191613.599999999627471,2094323.270000000251457,10796378.189999999478459
20131226,2186897.680000000633299,2272898.599999999627471,2100530.360000000335276,2205363.649999999906868,2114656.429999999701977,10880346.720000000670552
20131227,2180179.919999999925494,2259734.000000000000000,2092357.160000000381842,2208468.500000000000000,2106184.280000000260770,10846923.859999999403954
20131230,2180179.919999999925494,2259734.000000000000000,2112790.160000000149012,2215121.749999999534339,2106184.280000000260770,10874010.109999999403954
20131231,2178740.400000000372529,2249771.599999999627471,2121780.680000000633299,2220000.799999999813735,2112962.000000000000000,10883255.480000000447035
20140102,2156187.919999999925494,2222730.799999999813735,2107886.240000000223517,2195162.000000000000000,2098841.750000000000000,10780808.710000000894070
20140103,2154988.320000000298023,2212768.399999999441206,2107068.919999999925494,2205807.199999999720603,2084721.500000000000000,10765354.339999999850988
20140106,2126677.759999999776483,2208854.599999999627471,2080914.680000000167638,2206250.750000000000000,2040666.320000000530854,10663364.109999999403954
20140107,2133635.440000000409782,2184304.400000000372529,2091539.840000000083819,2222662.099999999627471,2056481.000000000000000,10688622.780000001192093
20140108,2138673.759999999776483,2186795.000000000000000,2078462.720000000204891,2208468.500000000000000,2019768.350000000093132,10632168.330000000074506
20140109,2152349.200000000186265,2158686.799999999813735,2068654.880000000121072,2196492.649999999906868,2006777.720000000437722,10582961.250000000000000
20140110,2171542.799999999813735,2164023.799999999813735,2086635.920000000391155,2212460.449999999720603,2035583.030000000260770,10670246.000000000000000
20140113,2156667.759999999776483,2122751.000000000000000,2084183.960000000195578,2356170.649999999906868,1975713.170000000158325,10695486.539999999105930
20140114,2172742.400000000372529,2161177.400000000372529,2166733.280000000260770,2350848.049999999813735,2020897.970000000437722,10872399.100000001490116
20140115,2217127.599999999627471,2181458.000000000000000,2179810.400000000372529,2329557.649999999906868,2076249.350000000093132,10984203.000000000000000
20140116,2207530.799999999813735,2183237.000000000000000,2169185.240000000223517,2328670.549999999813735,2083591.880000000353903,10972215.470000000670552
20140117,2193855.360000000335276,2182525.400000000372529,2112790.160000000149012,2304275.299999999813735,2054786.570000000530854,10848232.790000000968575
20140121,2173702.080000000074506,2327336.000000000000000,2091539.840000000083819,2298952.699999999720603,2042925.560000000288710,10934456.179999999701977
20140122,2150669.759999999776483,2314527.200000000186265,2068654.880000000121072,2277662.299999999813735,2029370.120000000344589,10840884.260000001639128
20140123,2122839.040000000037253,2266138.399999999441206,2053943.120000000111759,2288751.049999999813735,2036712.650000000372529,10768384.259999999776483
20140124,2067417.520000000251457,2199603.799999999813735,2027788.880000000121072,2305605.949999999720603,2079073.400000000372529,10679489.550000000745058
20140127,2190256.560000000521541,2183948.599999999627471,2020433.000000000000000,2330001.199999999720603,2035018.220000000437722,10759657.580000000074506
20140128,2218567.120000000111759,2181813.799999999813735,2035144.760000000009313,2345081.899999999906868,2048573.660000000381842,10829181.240000000223517
20140129,2174181.919999999925494,2266494.200000000186265,2017163.720000000204891,2315807.599999999627471,2070601.250000000000000,10844248.689999999478459
20140130,2236081.280000000260770,2296025.599999999627471,2022067.640000000130385,2373469.099999999627471,2081897.450000000186265,11009541.070000000298023
20140131,2253115.599999999627471,2305988.000000000000000,2005721.240000000223517,2349517.399999999906868,2137248.830000000074506,11051591.070000000298023
20140203,2217367.520000000484288,2264359.400000000372529,1957499.360000000102445,2310041.449999999720603,2060434.670000000158325,10809702.400000000372529
20140204,2219286.879999999888241,2278235.599999999627471,1946874.200000000186265,2373469.099999999627471,2053092.140000000363216,10870957.919999999925494
20140205,2206331.200000000186265,2272542.799999999813735,1922354.600000000093132,2374356.199999999720603,2023157.210000000195578,10798742.009999999776483
20140206,2251196.240000000223517,2309901.799999999813735,1960768.640000000130385,2385001.399999999906868,2043490.370000000344589,10950358.450000001117587
20140207,2276147.919999999925494,2310613.399999999441206,1978749.680000000167638,2429356.399999999906868,2064953.150000000372529,11059820.550000000745058
20140210,2267270.879999999888241,2322710.599999999627471,1985288.240000000223517,2434679.000000000000000,2078508.590000000083819,11088457.309999998658895
20140211,2278307.200000000186265,2373234.200000000186265,2000000.000000000000000,2470606.549999999813735,2099406.560000000521541,11221554.509999999776483
20140212,2307337.520000000484288,2349751.400000000372529,2006538.560000000288710,2439558.049999999813735,2116350.860000000335276,11219536.390000000596046
20140213,2305898.000000000000000,2346193.399999999441206,2018798.360000000102445,2443993.549999999813735,2124258.200000000186265,11239141.509999997913837
20140214,2316454.480000000447035,2366829.799999999813735,2023702.280000000260770,2459074.249999999534339,2124823.009999999776483,11290883.820000000298023
20140218,2316694.400000000372529,2370387.799999999813735,2023702.280000000260770,2470162.999999999534339,2113526.810000000521541,11294474.290000000968575
20140219,2308297.200000000186265,2352953.599999999627471,2002451.960000000195578,2441332.250000000000000,2118610.100000000558794,11223645.109999999403954
20140220,2325331.520000000484288,2388533.599999999627471,2022067.640000000130385,2475485.600000000093132,2132165.540000000037253,11343583.899999998509884
20140221,2339246.879999999888241,2379638.599999999627471,1995913.400000000372529,2485243.699999999720603,2145156.169999999925494,11345198.750000000000000
20140224,2334928.320000000298023,2378927.000000000000000,2013077.120000000111759,2491896.949999999720603,2128776.679999999701977,11347606.070000000298023
20140225,2313095.599999999627471,2392803.200000000186265,2012259.800000000279397,2479921.099999999627471,2120304.530000000260770,11318384.230000000447035
20140226,2332049.280000000260770,2423402.000000000000000,2026971.560000000288710,2495888.899999999906868,2116350.860000000335276,11394662.600000001490116
20140227,2320053.280000000260770,2457914.599999999627471,2023702.280000000260770,2513187.349999999627471,2138378.450000000186265,11453235.960000000894070
20140228,2326531.120000000111759,2468232.799999999813735,2023702.280000000260770,2527824.500000000000000,2163794.900000000372529,11510085.599999999627471
20140303,2310696.400000000372529,2454356.600000000558794,2002451.960000000195578,2502542.149999999906868,2133859.970000000670552,11403907.080000001937151
20140304,2327730.719999999739230,2506303.399999999441206,2011442.480000000214204,2530929.350000000093132,2169443.000000000000000,11545848.949999999254942
20140305,2312135.919999999925494,2529074.599999999627471,2002451.960000000195578,2522945.449999999720603,2152498.700000000186265,11519106.629999998956919
20140306,2341646.080000000074506,2522314.400000000372529,2013077.120000000111759,2539800.349999999627471,2154757.940000000409782,11571595.890000000596046
20140307,2328450.480000000447035,2508794.000000000000000,2013894.440000000176951,2549114.899999999906868,2140637.690000000409782,11540891.510000001639128
20140310,2321252.879999999888241,2524805.000000000000000,2030240.840000000083819,2542461.649999999906868,2136119.209999999962747,11554879.579999998211861
20140311,2323412.160000000149012,2495985.200000000186265,2021250.320000000298023,2514517.999999999534339,2147415.410000000149012,11502581.089999999850988
20140312,2322932.320000000298023,2484243.799999999813735,2023702.280000000260770,2519840.600000000093132,2161535.660000000149012,11512254.660000000149012
20140313,2293902.000000000000000,2469656.000000000000000,2008173.200000000186265,2474598.500000000000000,2140072.879999999888241,11386402.579999998211861
20140314,2288623.759999999776483,2465030.599999999627471,2002451.960000000195578,2470606.549999999813735,2129341.490000000223517,11356054.359999999403954
20140317,2295341.520000000484288,2482820.599999999627471,2018798.360000000102445,2495445.349999999627471,2149109.839999999850988,11441515.669999999925494
20140318,2313095.599999999627471,2516621.600000000558794,2028606.200000000186265,2499880.849999999627471,2233831.339999999850988,11592035.589999999850988
20140319,2304218.560000000521541,2513775.200000000186265,2044952.600000000093132,2483469.500000000000000,2218016.660000000149012,11564432.520000001415610
20140320,2308297.200000000186265,2545797.200000000186265,2078462.720000000204891,2465727.500000000000000,2277886.520000000484288,11676171.140000000596046
20140321,2336607.759999999776483,2544018.200000000186265,2057212.400000000372529,2424477.349999999627471,2268284.750000000000000,11630600.460000000894070
20140324,2323652.080000000074506,2541527.600000000558794,2053125.800000000279397,2385444.949999999720603,2287488.290000000037253,11591238.719999998807907
20140325,2365398.160000000149012,2566077.799999999813735,2080914.680000000167638,2447985.499999999534339,2278451.330000000074506,11738827.470000000670552
20140326,2346444.480000000447035,2504524.400000000372529,2074376.120000000111759,2484800.149999999906868,2247386.780000000260770,11657531.929999999701977
20140327,2362039.280000000260770,2431585.400000000372529,2068654.880000000121072,2471937.199999999720603,2223099.950000000186265,11557316.710000000894070
20140328,2384591.759999999776483,2442259.400000000372529,2093991.800000000279397,2483025.949999999720603,2276192.089999999850988,11680061.000000000000000
20140331,2384111.919999999925494,2462184.200000000186265,2109520.879999999888241,2518066.399999999906868,2315163.980000000447035,11789047.380000000819564
20140401,2394668.400000000372529,2518756.400000000372529,2124232.639999999664724,2500324.399999999906868,2339450.810000000521541,11877432.650000000372529
20140402,2462325.839999999850988,2528363.000000000000000,2116059.440000000409782,2504316.349999999627471,2335497.140000000596046,11946561.769999999552965
20140403,2460406.480000000447035,2511284.599999999627471,2158560.080000000074506,2493227.599999999627471,2316293.600000000558794,11939772.359999999403954
20140404,2451289.520000000484288,2467165.400000000372529,2138127.080000000074506,2489235.649999999906868,2251905.259999999776483,11797722.910000000149012
20140407,2425858.000000000000000,2428739.000000000000000,2165098.639999999664724,2447985.499999999534339,2247951.589999999850988,11715632.729999998584390
20140408,2456567.759999999776483,2435855.000000000000000,2199426.080000000074506,2441332.250000000000000,2249081.209999999962747,11782262.300000000745058
20140409,2470962.959999999962747,2481397.399999999441206,2205147.320000000298023,2532703.549999999813735,2285793.860000000335276,11976005.089999999850988
20140410,2453448.799999999813735,2416997.600000000558794,2160194.719999999739230,2477259.799999999813735,2223099.950000000186265,11731000.870000001043081
20140411,2434015.280000000260770,2378927.000000000000000,2139761.719999999739230,2480364.649999999906868,2214627.800000000745058,11647696.450000001117587
20140414,2465924.640000000596046,2406679.400000000372529,2170819.879999999888241,2464840.399999999906868,2212933.370000000111759,11721197.690000001341105
20140415,2459206.879999999888241,2410237.399999999441206,2187983.600000000558794,2486130.799999999813735,2245127.540000000037253,11788686.219999998807907
20140416,2469523.440000000409782,2457558.799999999813735,2201060.719999999739230,2495445.349999999627471,2281840.190000000409782,11905428.500000000000000
20140417,2467124.240000000223517,2468588.599999999627471,2210051.240000000223517,2504759.899999999906868,2259812.600000000558794,11910336.580000001937151
20140421,2462565.759999999776483,2470011.799999999813735,2202695.360000000335276,2539356.799999999813735,2255858.929999999701977,11930488.649999998509884
20140422,2487757.360000000335276,2479974.200000000186265,2193704.839999999850988,2562421.399999999906868,2258682.980000000447035,11982540.780000001192093
20140423,2480319.839999999850988,2501678.000000000000000,2186348.959999999962747,2550445.549999999813735,2241738.679999999701977,11960531.029999999329448
20140424,2525904.640000000596046,2494917.799999999813735,2186348.959999999962747,2551776.199999999720603,2251340.450000000186265,12010288.050000000745058
20140425,2511749.360000000335276,2457558.799999999813735,2146300.280000000260770,2538913.250000000000000,2254164.500000000000000,11908686.190000001341105
20140428,2501432.799999999813735,2396361.200000000186265,2152021.520000000484288,2514074.449999999720603,2308386.259999999776483,11872276.230000000447035
20140429,2526384.480000000447035,2467521.200000000186265,2164281.320000000298023,2604558.649999999906868,2288053.100000000558794,12050798.750000000000000
20140430,2528783.680000000633299,2528363.000000000000000,2181445.040000000037253,2597461.850000000093132,2281840.190000000409782,12117893.760000001639128
