代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12027007.810000000521541
真實報酬,2027007.810000000521541

夏普值報酬,0.194000781000000
夏普值風險,0.055586761496356
夏普值,3.490053670651714

預期報酬,16216.328721963292992
風險,117182.513694536130060
趨勢值,0.138385226692056
找到最佳解世代,2988
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),INTC[11](2),NKE[19](9),PG[21](18),TRV[22](8),
20140702,2438177.600000000093132,2400618.130000000353903,2106687.319999999832362,1974194.480000000214204,2223729.520000000484288,11143407.050000000745058
20140703,2452522.699999999720603,2413016.370000000111759,2124558.799999999813735,1984615.940000000176951,2228899.740000000223517,11203613.550000000745058
20140707,2503121.779999999795109,2404492.580000000074506,2129974.399999999906868,1989826.670000000158325,2222084.450000000186265,11249499.879999998956919
20140708,2486950.939999999478459,2385895.220000000204891,2103437.959999999962747,1999007.480000000214204,2212449.040000000037253,11187740.640000000596046
20140709,2487994.219999999739230,2393644.120000000111759,2131057.520000000018626,2026549.910000000149012,2225609.600000000558794,11264855.370000001043081
20140710,2478865.520000000018626,2422315.050000000279397,2098563.919999999925494,2025061.130000000121072,2216209.200000000186265,11241014.820000000298023
20140711,2483560.279999999795109,2421540.160000000149012,2093148.319999999832362,2013895.280000000027940,2225139.580000000074506,11237283.619999999180436
20140714,2515641.139999999664724,2440137.520000000018626,2111019.799999999813735,2017865.360000000102445,2245820.459999999962747,11330484.280000001192093
20140715,2486168.479999999515712,2457185.100000000093132,2113186.040000000037253,2016376.580000000307336,2254985.850000000558794,11327902.050000000745058
20140716,2472084.199999999720603,2685002.760000000242144,2082858.679999999934807,2008436.420000000158325,2247230.520000000484288,11495612.580000001937151
20140717,2428005.619999999646097,2611388.210000000428408,2072569.040000000037253,1995037.400000000372529,2225609.600000000558794,11332609.870000001043081
20140718,2462955.500000000000000,2611388.210000000428408,2099105.479999999981374,1998759.350000000093132,2240650.240000000223517,11412858.780000001192093
20140721,2450175.319999999832362,2639284.250000000465661,2080150.879999999655411,1992059.840000000316650,2238770.160000000149012,11400440.450000001117587
20140722,2470519.279999999795109,2695851.220000000204891,2086108.040000000037253,1987593.500000000000000,2153461.530000000260770,11393533.570000000298023
20140723,2534941.819999999832362,2673379.410000000149012,2095314.559999999823049,1984864.070000000065193,2156986.679999999701977,11445486.539999999105930
20140724,2530768.699999999720603,2654007.160000000149012,2128349.719999999739230,1991563.580000000307336,2182837.780000000260770,11487526.940000001341105
20140725,2547461.179999999701977,2654007.160000000149012,2104521.080000000074506,1974194.480000000214204,2164507.000000000000000,11444690.900000000372529
20140728,2582671.879999999422580,2652457.379999999888241,2122934.120000000111759,1966750.580000000307336,2159336.780000000260770,11484150.740000002086163
20140729,2565979.399999999441206,2649357.819999999832362,2114810.719999999739230,1951614.650000000372529,2141476.020000000484288,11423238.609999999403954
20140730,2559980.540000000037253,2661756.060000000055879,2155969.280000000260770,1939456.280000000027940,2137245.839999999850988,11454408.000000000000000
20140731,2493471.439999999478459,2626111.120000000111759,2088815.839999999850988,1918613.360000000102445,2104814.459999999962747,11231826.219999998807907
20140801,2507294.899999999441206,2614487.770000000484288,2079067.760000000009313,1976427.650000000372529,2105989.509999999776483,11283267.589999999850988
20140804,2493210.619999999646097,2638509.359999999869615,2089357.399999999906868,1965758.060000000055879,2112804.799999999813735,11299640.239999998360872
20140805,2480952.080000000074506,2543197.890000000130385,2082858.679999999934807,1970472.530000000027940,2094474.020000000251457,11171955.199999999254942
20140806,2476778.959999999497086,2545522.560000000055879,2088815.839999999850988,2012158.370000000344589,2108104.600000000558794,11231380.330000001937151
20140807,2464259.600000000093132,2532349.430000000167638,2067153.439999999944121,1988586.020000000251457,2112804.799999999813735,11165153.289999999105930
20140808,2471040.919999999459833,2526150.310000000055879,2086649.600000000093132,2008684.550000000279397,2126435.379999999888241,11218960.760000001639128
20140811,2503643.419999999459833,2558695.690000000409782,2086649.600000000093132,2021835.440000000176951,2130665.560000000521541,11301489.709999999031425
20140812,2503121.779999999795109,2567219.480000000447035,2077984.639999999897555,2020346.660000000149012,2140770.990000000223517,11309443.549999998882413
20140813,2536245.919999999459833,2642383.810000000055879,2092065.199999999953434,2021835.440000000176951,2145001.169999999925494,11437531.539999999105930
20140814,2543027.239999999757856,2629985.569999999832362,2093148.319999999832362,2033497.550000000279397,2167327.120000000111759,11466985.800000000745058
20140815,2555546.600000000093132,2647808.040000000502914,2088815.839999999850988,2029279.340000000316650,2165212.030000000260770,11486661.850000001490116
20140818,2586323.359999999869615,2666405.399999999906868,2127266.600000000093132,2045655.920000000158325,2185422.889999999664724,11611074.169999998062849
20140819,2622055.699999999720603,2660981.170000000391155,2126183.479999999981374,2051859.170000000158325,2183542.810000000521541,11644622.330000000074506
20140820,2623098.979999999515712,2673379.410000000149012,2137014.680000000167638,2054836.730000000214204,2188243.009999999776483,11676572.810000000521541
20140821,2623359.799999999813735,2723747.260000000242144,2137556.239999999757856,2066498.840000000316650,2207748.839999999850988,11758910.980000000447035
20140822,2642660.479999999515712,2707474.569999999832362,2147304.319999999832362,2069228.270000000251457,2203283.650000000372529,11769951.289999999105930
20140825,2648398.520000000018626,2697401.000000000465661,2166800.479999999981374,2072950.220000000437722,2215974.190000000409782,11801524.410000000149012
20140826,2631445.219999999739230,2696626.109999999869615,2152178.359999999869615,2068980.140000000130385,2213859.100000000558794,11763088.929999999701977
20140827,2663786.899999999441206,2695851.220000000204891,2158677.080000000074506,2067243.230000000214204,2227019.660000000149012,11812578.089999999850988
20140828,2666916.739999999757856,2685002.760000000242144,2134306.879999999888241,2060295.590000000316650,2217149.240000000223517,11763671.210000000894070
20140829,2673437.239999999757856,2705924.790000000502914,2127266.600000000093132,2062280.630000000121072,2225844.610000000335276,11794753.870000001043081
20140902,2694302.839999999850988,2678803.640000000130385,2146762.759999999776483,2059054.940000000176951,2221379.419999999925494,11800303.599999999627471
20140903,2580585.319999999832362,2678803.640000000130385,2134306.879999999888241,2057069.900000000372529,2220204.370000000111759,11670970.109999999403954
20140904,2559198.080000000074506,2705149.899999999906868,2164092.680000000167638,2076920.300000000279397,2215269.160000000149012,11720630.120000001043081
20140905,2581367.779999999795109,2712123.910000000149012,2221498.040000000037253,2078657.210000000195578,2214094.110000000335276,11807741.050000000745058
20140908,2565457.759999999776483,2737695.279999999795109,2231246.120000000111759,2067491.360000000102445,2192003.169999999925494,11793893.689999999478459
20140909,2555807.419999999459833,2705149.899999999906868,2216082.439999999944121,2059303.070000000065193,2182132.750000000000000,11718475.580000000074506
20140910,2634314.239999999757856,2713673.690000000409782,2233412.359999999869615,2075431.520000000251457,2189653.070000000298023,11846484.879999998956919
20140911,2645529.500000000000000,2713673.690000000409782,2215540.879999999888241,2071709.570000000065193,2183777.820000000298023,11830231.460000000894070
20140912,2651528.359999999869615,2682678.089999999850988,2216082.439999999944121,2066002.580000000307336,2172027.320000000298023,11788318.789999999105930
20140915,2650745.899999999441206,2676478.970000000204891,2210125.280000000260770,2081138.510000000242144,2198583.450000000186265,11817072.109999999403954
20140916,2630662.759999999776483,2706699.680000000167638,2198752.520000000018626,2086349.240000000223517,2200698.540000000037253,11823162.739999998360872
20140917,2649441.799999999813735,2710574.129999999888241,2207417.479999999981374,2088334.280000000027940,2200933.549999999813735,11856701.239999998360872
20140918,2654919.020000000018626,2725297.040000000502914,2219873.359999999869615,2089078.670000000158325,2227489.679999999701977,11916657.769999999552965
20140919,2633270.959999999497086,2698175.890000000130385,2215540.879999999888241,2096026.310000000055879,2223494.509999999776483,11866508.549999998882413
20140922,2635879.159999999683350,2689652.100000000093132,2185213.520000000018626,2104462.730000000447035,2223259.500000000000000,11838467.009999999776483
20140923,2677088.719999999739230,2667180.290000000502914,2169508.280000000260770,2095281.920000000158325,2198583.450000000186265,11807642.660000000149012
20140924,2653875.739999999757856,2692751.660000000149012,2189004.439999999944121,2115132.319999999832362,2227724.690000000409782,11878488.850000001490116
20140925,2552677.580000000074506,2645483.370000000111759,2159760.200000000186265,2092552.490000000223517,2202108.600000000558794,11652582.240000002086163
20140926,2627793.739999999757856,2654782.049999999813735,2423499.919999999925494,2098755.740000000223517,2218559.299999999813735,12023390.750000000000000
20140929,2611101.259999999776483,2704375.010000000242144,2413210.280000000260770,2095281.920000000158325,2203753.669999999925494,12027722.140000000596046
20140930,2627793.739999999757856,2698175.890000000130385,2415376.520000000018626,2077912.820000000065193,2207748.839999999850988,12027007.810000000521541
