代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11377782.339999999850988
真實報酬,1377782.339999999850988

夏普值報酬,0.129078234000000
夏普值風險,0.040097639239138
夏普值,3.219098092787746

預期報酬,10989.440833838694743
風險,84736.031814604895771
趨勢值,0.129690293473769
找到最佳解世代,2574
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,7
AAPL[0](9),BA[2](11),DIS[6](23),JNJ[12](7),KO[14](5),MCD[15](1),MMM[16](6),
20170404,1509700.839999999850988,1416444.219999999972060,1466850.199999999953434,1457442.830000000074506,1453084.120000000111759,1446924.239999999757856,1458008.440000000176951,10208457.889999998733401
20170405,1501879.839999999850988,1403604.100000000093132,1466331.159999999916181,1458845.510000000009313,1449339.060000000055879,1459458.159999999916181,1458391.740000000223517,10197852.570000000298023
20170406,1498125.759999999776483,1405902.640000000130385,1466979.959999999962747,1461767.760000000009313,1452743.660000000149012,1456548.500000000000000,1455708.640000000130385,10197779.919999999925494
20170407,1494788.799999999813735,1417633.119999999878928,1460881.239999999990687,1460248.190000000176951,1450700.900000000139698,1454422.209999999962747,1456475.240000000223517,10195152.700000001117587
20170410,1493016.039999999571592,1407408.580000000074506,1458934.840000000083819,1453468.570000000065193,1453424.580000000074506,1454646.029999999795109,1454328.760000000242144,10175230.400000000372529
20170411,1476956.919999999692664,1415413.839999999850988,1467239.479999999748543,1452065.890000000130385,1452403.199999999953434,1468299.049999999813735,1457088.520000000018626,10189469.899999998509884
20170412,1478729.679999999934807,1395440.320000000065193,1466850.199999999953434,1465858.910000000149012,1461936.080000000074506,1468970.509999999776483,1454252.100000000093132,10192040.799999998882413
20170413,1470908.679999999934807,1392032.140000000130385,1468926.359999999869615,1461066.419999999925494,1456829.180000000167638,1463375.009999999776483,1446202.800000000279397,10159343.589999999850988
20170417,1479042.520000000018626,1418980.540000000037253,1476452.439999999944121,1469599.390000000130385,1466362.060000000055879,1469977.699999999720603,1459311.660000000149012,10239729.310000000521541
20170418,1472472.879999999655411,1409707.119999999878928,1481772.599999999860302,1424012.290000000037253,1480320.919999999925494,1480609.149999999906868,1458238.420000000158325,10207136.379999998956919
20170419,1467050.319999999832362,1414066.420000000158325,1475803.639999999897555,1418752.240000000223517,1471809.419999999925494,1484414.089999999618158,1455248.680000000167638,10187147.809999998658895
20170420,1485403.599999999860302,1421199.820000000065193,1489558.199999999953434,1424596.740000000223517,1467042.980000000214204,1491464.419999999925494,1465444.460000000195578,10244713.220000002533197
20170421,1483630.839999999850988,1429759.899999999906868,1485016.599999999860302,1423310.950000000186265,1466362.060000000055879,1493031.159999999916181,1468050.900000000139698,10249165.410000000149012
20170424,1497917.199999999720603,1443075.580000000074506,1475414.359999999869615,1436519.520000000018626,1473511.720000000204891,1502207.779999999795109,1488979.080000000074506,10317628.240000000223517
20170425,1507198.119999999878928,1454568.280000000027940,1494618.840000000083819,1442831.580000000074506,1467723.900000000139698,1585804.549999999813735,1495878.480000000214204,10448626.750000000000000
20170426,1498334.319999999832362,1440301.479999999981374,1499809.239999999990687,1443766.700000000186265,1472149.880000000121072,1576180.289999999804422,1494881.900000000139698,10425426.810000000521541
20170427,1499481.399999999674037,1452269.739999999990687,1503183.000000000000000,1446455.169999999925494,1464319.300000000046566,1576516.020000000018626,1503391.160000000149012,10445618.789999999105930
20170428,1498021.479999999748543,1465030.600000000093132,1500068.759999999776483,1443299.140000000130385,1469085.739999999990687,1565996.479999999981374,1501244.680000000167638,10442749.880000000819564
20170501,1528575.520000000018626,1445691.159999999916181,1488779.639999999897555,1441779.570000000065193,1471468.959999999962747,1579649.500000000000000,1493425.360000000102445,10449372.709999999031425
20170502,1538273.559999999590218,1454013.459999999962747,1484108.280000000027940,1445987.610000000102445,1477256.780000000027940,1580544.779999999795109,1506610.880000000121072,10486798.350000001490116
20170503,1533580.959999999729916,1453617.159999999916181,1448424.280000000027940,1441662.679999999934807,1474873.560000000055879,1596100.270000000018626,1515043.480000000214204,10463305.389999998733401
20170504,1528054.119999999878928,1451080.839999999850988,1442585.079999999841675,1448909.860000000102445,1486449.199999999953434,1605388.799999999813735,1529455.560000000055879,10491926.460000000894070
20170505,1553394.159999999916181,1466457.280000000027940,1453225.399999999906868,1443766.700000000186265,1487470.580000000074506,1611096.209999999962747,1528612.300000000279397,10544025.630000000819564
20170508,1595627.559999999590218,1474462.540000000037253,1445829.079999999841675,1440727.560000000055879,1494279.780000000027940,1614229.689999999944121,1522862.800000000279397,10588022.010000001639128
20170509,1605847.000000000000000,1481516.679999999934807,1454263.479999999748543,1440260.000000000000000,1481342.300000000046566,1615572.610000000102445,1517573.260000000242144,10596378.329999998211861
20170510,1598234.559999999590218,1451952.700000000186265,1422991.319999999832362,1435584.400000000139698,1483385.060000000055879,1617363.169999999925494,1507454.140000000130385,10516968.350000001490116
20170511,1605429.879999999655411,1457976.459999999962747,1421953.239999999990687,1440143.110000000102445,1486789.660000000149012,1613893.959999999962747,1508297.400000000139698,10534486.710000000894070
20170512,1627850.079999999841675,1452507.520000000018626,1423380.599999999860302,1445286.270000000018626,1484065.980000000214204,1626763.610000000102445,1506917.520000000018626,10566774.579999998211861
20170515,1623678.879999999655411,1445691.159999999916181,1416114.039999999804422,1484444.419999999925494,1488832.419999999925494,1637059.329999999841675,1515043.480000000214204,10610866.729999998584390
20170516,1621280.439999999711290,1448148.219999999972060,1401191.639999999897555,1493561.840000000083819,1492917.940000000176951,1648362.239999999757856,1517189.960000000195578,10622655.280000001192093
20170517,1566846.279999999795109,1417078.300000000046566,1379521.719999999972060,1480703.940000000176951,1495641.620000000111759,1638514.159999999916181,1493655.340000000083819,10471964.359999999403954
20170518,1590726.399999999674037,1406140.420000000158325,1384322.840000000083819,1484210.640000000130385,1491215.639999999897555,1645228.759999999776483,1496721.740000000223517,10498569.439999999478459
20170519,1596148.959999999729916,1432771.780000000027940,1395222.679999999934807,1484561.310000000055879,1494620.239999999990687,1657986.500000000000000,1501014.700000000186265,10562329.170000001788139
20170522,1605847.000000000000000,1455836.439999999944121,1396650.039999999804422,1487600.450000000186265,1504153.120000000111759,1658434.139999999897555,1521789.560000000055879,10630313.750000000000000
20170523,1603865.679999999934807,1454409.760000000009313,1388734.679999999934807,1490639.590000000083819,1511302.780000000027940,1654293.469999999739230,1515810.080000000074506,10619059.040000000968575
20170524,1599068.799999999813735,1468359.520000000018626,1397688.119999999878928,1490522.700000000186265,1533092.220000000204891,1673094.349999999860302,1513970.240000000223517,10675798.949999999254942
20170525,1604595.639999999897555,1482784.839999999850988,1391978.679999999934807,1490756.479999999981374,1546029.699999999953434,1676227.829999999841675,1529685.540000000037253,10722061.709999997168779
20170526,1601884.359999999869615,1478980.360000000102445,1406771.319999999832362,1483626.190000000176951,1545348.780000000027940,1677123.110000000102445,1538348.120000000111759,10732085.239999998360872
20170530,1602510.039999999571592,1481278.899999999906868,1405863.000000000000000,1485847.100000000093132,1546710.620000000111759,1677906.479999999981374,1551916.940000000176951,10752036.079999998211861
20170531,1593020.559999999590218,1487223.399999999906868,1400672.599999999860302,1499172.560000000055879,1548072.459999999962747,1688649.839999999618158,1567478.920000000158325,10784293.339999997988343
20170601,1597400.319999999832362,1484766.339999999850988,1404176.119999999878928,1505367.729999999981374,1558967.180000000167638,1705436.339999999618158,1566559.000000000000000,10822676.029999999329448
20170602,1621071.879999999655411,1507831.000000000000000,1390810.840000000083819,1520563.430000000167638,1562371.780000000027940,1720544.189999999944121,1584574.100000000093132,10907770.220000000670552
20170605,1605221.319999999832362,1497685.719999999972060,1382246.679999999934807,1523836.350000000325963,1565776.380000000121072,1709912.739999999757856,1580894.420000000158325,10865576.609999999403954
20170606,1610643.879999999655411,1480248.520000000018626,1369011.159999999916181,1529330.180000000167638,1565435.919999999925494,1692454.779999999795109,1574684.960000000195578,10821812.400000000372529
20170607,1620237.639999999897555,1490948.619999999878928,1374461.079999999841675,1528395.060000000055879,1549434.300000000046566,1700400.389999999897555,1571618.560000000055879,10835498.650000000372529
20170608,1616275.000000000000000,1505453.200000000186265,1353699.479999999748543,1526057.260000000242144,1536496.820000000065193,1694692.979999999981374,1578747.940000000176951,10811425.679999999701977
20170609,1553602.719999999739230,1506245.800000000046566,1370568.280000000027940,1537512.479999999981374,1542965.560000000055879,1695252.529999999795109,1586337.280000000260770,10792487.649999998509884
20170612,1516479.039999999571592,1506008.020000000018626,1388994.199999999953434,1540902.290000000037253,1543306.020000000018626,1661567.619999999878928,1589863.640000000130385,10747123.830000000074506
20170613,1528679.799999999813735,1514647.360000000102445,1382765.719999999972060,1543240.090000000083819,1533092.220000000204891,1676675.469999999739230,1603049.160000000149012,10782152.820000000298023
20170614,1513767.759999999776483,1524871.899999999906868,1377315.799999999813735,1552006.840000000083819,1542284.639999999897555,1686299.729999999981374,1609948.560000000055879,10806498.229999998584390
20170615,1504695.399999999674037,1549204.719999999972060,1375239.639999999897555,1555162.869999999878928,1540582.340000000083819,1691783.319999999832362,1619761.040000000037253,10836432.329999998211861
20170616,1483630.839999999850988,1557051.459999999962747,1369140.919999999925494,1570475.459999999962747,1542625.100000000093132,1700959.939999999944121,1634709.740000000223517,10858596.459999999031425
20170619,1526072.799999999813735,1577976.100000000093132,1367324.280000000027940,1567202.540000000037253,1545008.320000000065193,1713829.589999999618158,1635629.660000000149012,10933046.289999999105930
20170620,1512203.559999999590218,1572031.600000000093132,1348768.599999999860302,1568955.890000000130385,1552838.900000000139698,1724237.219999999739230,1635629.660000000149012,10914668.429999999701977
20170621,1521171.639999999897555,1578689.439999999944121,1359927.959999999962747,1577021.300000000046566,1539560.959999999962747,1720432.279999999795109,1631796.660000000149012,10928603.240000000223517
20170622,1518668.919999999692664,1580829.459999999962747,1352401.879999999888241,1590346.760000000242144,1534454.060000000055879,1732406.649999999906868,1626890.420000000158325,10936001.150000000372529
20170623,1525447.119999999878928,1602943.000000000000000,1354218.520000000018626,1594788.580000000074506,1540582.340000000083819,1730616.089999999618158,1632103.300000000279397,10980701.950000001117587
20170626,1520650.239999999757856,1585109.500000000000000,1369919.479999999748543,1593736.570000000065193,1546710.620000000111759,1723006.209999999962747,1629880.160000000149012,10969015.780000001192093
20170627,1498855.719999999739230,1576470.159999999916181,1367843.319999999832362,1578190.199999999953434,1533773.139999999897555,1720320.369999999878928,1608185.380000000121072,10883641.289999999105930
20170628,1520754.520000000018626,1582256.140000000130385,1386658.520000000018626,1564280.290000000037253,1542965.560000000055879,1726811.149999999906868,1614624.820000000065193,10938354.000000000000000
20170629,1498334.319999999832362,1565135.979999999981374,1371736.119999999878928,1550487.269999999785796,1526283.020000000018626,1713717.679999999701977,1593390.000000000000000,10819087.389999998733401
20170630,1501879.839999999850988,1567434.520000000018626,1378743.159999999916181,1546396.119999999878928,1526963.940000000176951,1714053.409999999916181,1595996.440000000176951,10831470.429999999701977
20170703,1496457.279999999795109,1574092.360000000102445,1394444.119999999878928,1553526.410000000149012,1523899.800000000046566,1706667.349999999860302,1608568.680000000167638,10857659.000000000000000
20170705,1502609.799999999813735,1599614.080000000074506,1370698.039999999804422,1562176.269999999785796,1525942.560000000055879,1713046.219999999739230,1608032.060000000055879,10882122.029999999329448
20170706,1488427.719999999739230,1596998.500000000000000,1341112.759999999776483,1549084.590000000083819,1511643.239999999990687,1713270.039999999804422,1594693.220000000204891,10795233.070000000298023
20170707,1503548.319999999832362,1604052.640000000130385,1340723.479999999748543,1549318.369999999878928,1511302.780000000027940,1748857.419999999925494,1606728.840000000083819,10864534.849999999627471
20170710,1512724.959999999729916,1616654.979999999981374,1344227.000000000000000,1537746.260000000242144,1510962.320000000065193,1740464.169999999925494,1613628.240000000223517,10876410.929999999701977
20170711,1517626.119999999878928,1634964.040000000037253,1347471.000000000000000,1534005.780000000027940,1509260.020000000018626,1733637.659999999916181,1607265.460000000195578,10884233.080000001937151
20170712,1519816.000000000000000,1636311.459999999962747,1354478.039999999804422,1545694.780000000027940,1515388.300000000046566,1752326.629999999888241,1619837.700000000186265,10943855.910000000149012
20170713,1540984.839999999850988,1634647.000000000000000,1353310.199999999953434,1541369.850000000325963,1512664.620000000111759,1735092.489999999757856,1618227.840000000083819,10936299.839999999850988
20170714,1554228.399999999674037,1652718.280000000027940,1363691.000000000000000,1550019.709999999962747,1521176.120000000111759,1737778.329999999841675,1623440.720000000204891,11003055.560000000521541
20170717,1559650.959999999729916,1656602.020000000018626,1359798.199999999953434,1544759.660000000149012,1522878.419999999925494,1737554.509999999776483,1622750.780000000260770,11003997.550000000745058
20170718,1565073.520000000018626,1650578.260000000009313,1372255.159999999916181,1571761.250000000232831,1520835.660000000149012,1723006.209999999962747,1619914.360000000102445,11023427.419999999925494
20170719,1574875.839999999850988,1671502.899999999906868,1386139.479999999748543,1580528.000000000232831,1526283.020000000018626,1722222.839999999618158,1625970.500000000000000,11087525.580000000074506
20170720,1567784.799999999813735,1666747.300000000046566,1393146.520000000018626,1596425.040000000037253,1525942.560000000055879,1725803.959999999962747,1628653.600000000093132,11104506.779999999329448
20170721,1567054.839999999850988,1681489.659999999916181,1389643.000000000000000,1581696.900000000139698,1533092.220000000204891,1722558.569999999832362,1618764.460000000195578,11094302.650000002235174
20170724,1586033.799999999813735,1681806.700000000186265,1388475.159999999916181,1554812.199999999953434,1526623.480000000214204,1699393.199999999720603,1609871.900000000139698,11047019.440000001341105
20170725,1592812.000000000000000,1684025.979999999981374,1380949.079999999841675,1541603.629999999888241,1540241.880000000121072,1780192.219999999739230,1528535.640000000130385,11048363.429999999701977
20170726,1600320.159999999916181,1850392.719999999972060,1387696.599999999860302,1530732.859999999869615,1557264.880000000121072,1751543.259999999776483,1525775.880000000121072,11203729.360000001266599
20170727,1570078.959999999729916,1910234.020000000018626,1427403.159999999916181,1529330.180000000167638,1570202.360000000102445,1756467.299999999813735,1533595.200000000186265,11297314.179999999701977
20170728,1559025.279999999795109,1912374.040000000037253,1426884.119999999878928,1541252.959999999962747,1566457.300000000046566,1744157.199999999720603,1531065.420000000158325,11281219.319999998435378
20170731,1550995.719999999739230,1921805.979999999981374,1426494.840000000083819,1551422.390000000130385,1560669.480000000214204,1736211.589999999618158,1542181.120000000111759,11289784.120000001043081
20170801,1564760.679999999934807,1897869.459999999962747,1435318.520000000018626,1548967.699999999953434,1555903.040000000270084,1723901.489999999757856,1557589.780000000260770,11284313.670000001788139
20170802,1638695.199999999720603,1886059.719999999972060,1410145.079999999841675,1544876.550000000046566,1552157.980000000214204,1752438.539999999804422,1574684.960000000195578,11359061.030000001192093
20170803,1622323.239999999757856,1888437.520000000018626,1415984.280000000027940,1558786.459999999962747,1554881.660000000149012,1731511.369999999878928,1591626.820000000065193,11363554.349999999627471
20170804,1630874.199999999720603,1884157.479999999981374,1397428.599999999860302,1556799.330000000074506,1549093.840000000083819,1721439.469999999739230,1591856.800000000279397,11331652.719999998807907
20170807,1656109.959999999729916,1904131.000000000000000,1380040.759999999776483,1553058.850000000325963,1553860.280000000027940,1734309.119999999878928,1590246.940000000176951,11371759.910000000149012
20170808,1669353.520000000018626,1898345.020000000018626,1388215.639999999897555,1546162.340000000083819,1552498.440000000176951,1733749.569999999832362,1582504.280000000260770,11370831.809999998658895
20170809,1679572.959999999729916,1857209.080000000074506,1334365.239999999990687,1557383.780000000027940,1552157.980000000214204,1733749.569999999832362,1582887.580000000074506,11297329.190000001341105
20170810,1619716.239999999757856,1845874.899999999906868,1315160.759999999776483,1555747.320000000065193,1557264.880000000121072,1752774.270000000018626,1580971.080000000074506,11227512.449999999254942
20170811,1642240.719999999739230,1861726.899999999906868,1323465.399999999906868,1555864.209999999962747,1552157.980000000214204,1760384.149999999906868,1579054.580000000074506,11274896.939999999478459
20170814,1666955.079999999841675,1879718.920000000158325,1315809.560000000055879,1560306.030000000027940,1559307.639999999897555,1759936.509999999776483,1589710.320000000065193,11331747.060000000521541
20170815,1685204.079999999841675,1895729.439999999944121,1317236.919999999925494,1559137.129999999888241,1572585.580000000074506,1763965.270000000018626,1588253.780000000260770,11382115.199999999254942
20170816,1678425.879999999655411,1883206.360000000102445,1326190.359999999869615,1568371.439999999944121,1572926.040000000270084,1778289.750000000000000,1593926.620000000111759,11401339.449999999254942
20170817,1646203.359999999869615,1867354.360000000102445,1315550.039999999804422,1555162.869999999878928,1561350.400000000139698,1766986.839999999618158,1574225.000000000000000,11286835.869999999180436
20170818,1642449.279999999795109,1868781.040000000037253,1306726.359999999869615,1550370.379999999888241,1554881.660000000149012,1765532.009999999776483,1560272.880000000121072,11249016.610000001266599
20170821,1639425.159999999916181,1868067.700000000186265,1312825.079999999841675,1559955.359999999869615,1555222.120000000111759,1772246.610000000102445,1568092.200000000186265,11275837.230000000447035
20170822,1666225.119999999878928,1900326.520000000018626,1333586.679999999934807,1574566.609999999869615,1552498.440000000176951,1786571.089999999618158,1575068.260000000242144,11388845.719999998807907
20170823,1668310.719999999739230,1887169.360000000102445,1317107.159999999916181,1552357.510000000242144,1550455.680000000167638,1777282.559999999823049,1553680.120000000111759,11306366.109999999403954
20170824,1660906.839999999850988,1892321.260000000009313,1317366.679999999934807,1553409.519999999785796,1546029.699999999953434,1772806.159999999916181,1549463.820000000065193,11292306.979999998584390
20170825,1667059.359999999869615,1869732.159999999916181,1328915.319999999832362,1539265.830000000074506,1551477.060000000055879,1777394.469999999739230,1549540.480000000214204,11283387.679999999701977
20170828,1683848.439999999711290,1879956.700000000186265,1330861.719999999972060,1539967.170000000158325,1546370.160000000149012,1786906.819999999832362,1552070.260000000242144,11319984.269999999552965
20170829,1698864.759999999776483,1906191.760000000009313,1330991.479999999748543,1545461.000000000232831,1547391.540000000270084,1783661.429999999701977,1555596.620000000111759,11368161.589999999850988
20170830,1703453.079999999841675,1905953.979999999981374,1334884.280000000027940,1532135.540000000037253,1545348.780000000027940,1785340.079999999841675,1561499.440000000176951,11368618.179999999701977
20170831,1710231.279999999795109,1899613.179999999934807,1313214.359999999869615,1547331.240000000223517,1550796.139999999897555,1790264.119999999878928,1566329.020000000018626,11377782.339999999850988
