代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11832579.070000000298023
真實報酬,1832579.070000000298023

夏普值報酬,0.174557907000000
夏普值風險,0.055309846990632
夏普值,3.156000540546898

預期報酬,15080.752458292181473
風險,147774.555333006952424
趨勢值,0.102052429962032
找到最佳解世代,1814
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](8),MRK[17](1),NKE[19](4),
20180409,3454251.980000000447035,3452598.379999999888241,3340792.200000000651926,10247643.560000000521541
20180410,3539729.189999999944121,3472885.790000000037253,3331841.160000000149012,10344457.140000000596046
20180411,3551642.390000000130385,3455057.460000000428408,3323387.399999999906868,10330088.250000000000000
20180412,3551046.730000000447035,3488255.040000000037253,3370131.719999999739230,10409434.490000000223517
20180413,3571597.000000000000000,3514690.150000000372529,3344273.160000000149012,10430561.310000000521541
20180416,3594827.740000000223517,3605676.109999999869615,3334824.840000000316650,10535329.689999999478459
20180417,3594827.740000000223517,3643791.850000000093132,3357202.440000000409782,10595823.030000001192093
20180418,3687750.699999999720603,3622274.900000000372529,3292058.760000000242144,10602085.359999999403954
20180419,3684474.569999999832362,3605061.340000000316650,3268686.600000000558794,10558223.510000001639128
20180420,3642778.370000000111759,3616741.969999999739230,3286588.680000000167638,10546110.019999999552965
20180423,3680602.780000000260770,3704039.310000000055879,3325873.799999999813735,10710516.890000000596046
20180424,3649628.460000000428408,3694202.990000000223517,3330349.320000000298023,10674181.770000001415610
20180425,3654989.399999999906868,3665923.570000000298023,3315430.920000000391155,10636344.890000000596046
20180426,3699663.899999999906868,3652398.629999999888241,3384055.560000000055879,10736119.089999999850988
20180427,3771143.100000000093132,3656087.250000000000000,3459144.840000000316650,10886376.189999999478459
20180430,3726170.770000000018626,3619201.049999999813735,3400963.080000000074506,10746335.900000000372529
20180501,3718725.020000000018626,3564486.520000000018626,3386541.959999999962747,10669754.500000000000000
20180502,3737488.310000000055879,3522682.159999999683350,3394498.440000000409782,10654669.910000000149012
20180503,3752975.470000000204891,3536821.870000000111759,3326868.360000000335276,10616666.699999999254942
20180504,3738679.630000000353903,3550346.810000000055879,3386541.959999999962747,10675569.400000000372529
20180507,3721107.660000000149012,3527600.320000000298023,3448204.680000000167638,10696913.660000000149012
20180508,3769653.949999999720603,3489484.580000000074506,3404444.040000000037253,10663583.570000000298023
20180509,3833687.399999999906868,3562642.210000000428408,3379082.760000000242144,10775413.370000001043081
20180510,3836665.699999999720603,3569404.680000000167638,3377590.920000000391155,10783662.300000000745058
20180511,3867044.360000000335276,3669612.189999999944121,3402952.200000000651926,10939609.750000001862645
20180514,3883425.009999999776483,3668997.419999999925494,3423340.680000000167638,10975764.109999999403954
20180515,3864066.060000000521541,3639488.460000000428408,3456161.160000000149012,10959716.680000001564622
20180516,3858705.120000000111759,3673300.810000000055879,3547660.680000000167638,11079667.609999999403954
20180517,3855726.820000000298023,3631496.450000000186265,3527769.479999999981374,11014993.750000000000000
20180518,3808074.020000000018626,3635799.840000000316650,3546666.119999999646097,10990540.980000000447035
20180521,3853046.350000000093132,3600757.950000000186265,3549649.799999999813735,11003455.100000001490116
20180522,3819093.729999999981374,3593380.710000000428408,3546168.840000000316650,10958644.280000001192093
20180523,3833091.739999999757856,3637644.150000000372529,3547660.680000000167638,11018397.570000000298023
20180524,3770845.270000000018626,3635185.070000000298023,3589432.200000000651926,10995463.540000000968575
20180525,3639204.410000000149012,3632725.990000000223517,3592913.160000000149012,10864844.560000000521541
20180529,3615378.010000000242144,3590306.859999999869615,3526774.920000000391155,10732460.790000000968575
20180530,3727659.919999999925494,3671456.500000000000000,3591918.600000000558794,10991036.019999999552965
20180531,3702046.540000000037253,3659775.870000000111759,3570535.560000000055879,10932358.970000000670552
20180601,3688644.189999999944121,3723097.180000000167638,3618274.440000000409782,11030016.810000000521541
20180604,3641289.220000000204891,3812853.600000000093132,3671483.399999999906868,11125627.220000000670552
20180605,3655287.230000000447035,3774123.090000000316650,3682423.560000000055879,11111834.880000000819564
20180606,3674646.180000000167638,3807320.669999999925494,3717233.160000000149012,11199201.009999999776483
20180607,3781269.319999999832362,3811009.290000000037253,3717730.440000000409782,11310010.050000000745058
20180608,3765782.160000000149012,3847280.719999999739230,3724692.360000000335276,11337756.240000000223517
20180611,3799139.120000000111759,3831911.469999999739230,3709276.680000000167638,11340328.269999999552965
20180612,3784843.280000000260770,3838673.939999999944121,3694358.280000000260770,11317876.500000000000000
20180613,3784545.449999999720603,3847895.490000000223517,3685407.240000000223517,11317849.179999999701977
20180614,3767866.970000000204891,3784574.180000000167638,3714746.760000000242144,11267188.910000000149012
20180615,3694302.960000000428408,3813468.370000000111759,3771436.680000000167638,11279209.009999999776483
20180618,3751784.149999999906868,3749532.290000000037253,3759999.240000000223517,11261316.679999999701977
20180619,3738977.460000000428408,3751991.370000000111759,3692866.440000000409782,11183836.269999999552965
20180620,3731531.710000000428408,3767360.620000000111759,3715741.320000000298023,11214634.650000000372529
20180621,3651117.610000000335276,3761212.919999999925494,3676953.479999999981374,11089285.009999999776483
20180622,3725872.939999999944121,3779041.250000000000000,3651592.200000000651926,11156507.390000000596046
20180625,3651713.270000000018626,3755065.219999999739230,3597885.959999999962747,11004665.449999999254942
20180626,3697876.919999999925494,3732933.500000000000000,3608328.840000000316650,11039140.259999999776483
20180627,3752677.640000000130385,3681292.820000000298023,3548157.959999999962747,10982129.420000001788139
20180628,3742551.419999999925494,3707113.159999999683350,3565562.760000000242144,11015228.339999999850988
20180629,3765484.330000000540167,3731703.960000000428408,3962392.200000000651926,11459581.490000002086163
20180702,3700557.390000000130385,3716949.479999999981374,3896253.959999999962747,11313761.830000000074506
20180703,3714853.230000000447035,3732318.729999999981374,3793317.000000000000000,11240489.960000000894070
20180705,3692515.980000000447035,3789492.340000000316650,3806743.560000000055879,11288752.880000000819564
20180706,3697281.260000000242144,3823919.460000000428408,3803262.600000000558794,11324464.320000000298023
20180709,3752379.810000000055879,3812853.600000000093132,3843045.000000000000000,11408279.410000000149012
20180710,3800032.610000000335276,3830067.159999999683350,3857466.119999999646097,11487566.889999998733401
20180711,3678815.799999999813735,3805476.359999999869615,3847023.240000000223517,11331316.400000000372529
20180712,3700855.220000000204891,3852198.879999999888241,3847520.520000000484288,11400575.620000001043081
20180713,3694302.960000000428408,3866338.590000000316650,3848017.799999999813735,11408660.350000001490116
20180716,3662732.980000000447035,3847895.490000000223517,3866417.160000000149012,11377046.630000000819564
20180717,3630865.169999999925494,3844206.870000000111759,3852493.320000000298023,11327566.359999999403954
20180718,3619547.630000000353903,3869412.439999999944121,3808732.680000000167638,11297693.750000000000000
20180719,3623717.250000000000000,3842977.330000000074506,3826634.760000000242144,11293330.339999999850988
20180720,3641587.049999999813735,3843592.100000000093132,3827132.040000000037253,11312312.190000001341105
20180723,3613591.030000000260770,3854043.189999999944121,3808732.680000000167638,11276367.900000000372529
20180724,3688644.189999999944121,3898921.400000000372529,3756021.000000000000000,11343587.589999999850988
20180725,3719916.340000000316650,3964701.789999999571592,3837077.640000000130385,11521696.769999999552965
20180726,3691622.490000000223517,3935192.830000000540167,3886308.360000000335276,11513124.679999999701977
20180727,3751784.149999999906868,3903224.790000000037253,3823651.080000000074506,11478661.019999999552965
20180730,3807180.530000000260770,3984374.430000000167638,3777404.040000000037253,11568960.000000000000000
20180731,3760719.049999999813735,4049540.050000000279397,3824645.640000000130385,11634905.740000000223517
20180801,3734510.010000000242144,4026178.789999999571592,3855974.280000000260770,11616664.080000000074506
20180802,3685963.720000000204891,4009580.000000000000000,3911172.360000000335276,11606717.080000001937151
20180803,3694600.790000000037253,4053228.670000000391155,3915647.879999999888241,11663478.339999999850988
20180806,3702046.540000000037253,4071057.000000000000000,3953938.440000000409782,11727042.980000000447035
20180807,3728255.580000000540167,4093188.719999999739230,4004661.000000000000000,11826106.300000000745058
20180808,3689537.680000000167638,4099951.189999999944121,4003169.160000000149012,11792659.030000001192093
20180809,3649330.630000000353903,4057532.060000000055879,4040962.440000000409782,11747826.130000000819564
20180810,3673454.860000000335276,4061835.449999999720603,4014606.600000000558794,11749897.910000000149012
20180813,3646650.160000000149012,4101795.500000000000000,3985764.360000000335276,11734211.019999999552965
20180814,3650819.780000000260770,4085811.479999999515712,3985267.080000000074506,11721899.339999999850988
20180815,3512626.660000000149012,4141755.550000000279397,3956922.119999999646097,11611305.330000000074506
20180816,3504287.419999999925494,4232741.509999999776483,3980791.560000000055879,11717821.490000000223517
20180817,3508457.040000000037253,4245651.679999999701977,3965873.160000000149012,11719982.879999998956919
20180820,3506967.890000000130385,4313891.150000000372529,4086712.200000000651926,11907572.240000002086163
20180821,3512626.660000000149012,4252414.150000000372529,4125002.760000000242144,11890044.570000000298023
20180822,3541814.000000000000000,4244422.140000000596046,4109587.080000000074506,11895824.220000000670552
20180823,3517391.939999999944121,4240118.750000000000000,4123013.640000000130385,11880525.330000000074506
20180824,3544494.470000000204891,4244422.140000000596046,4100138.760000000242144,11889056.370000001043081
20180827,3584403.689999999944121,4241348.289999999105930,4110084.360000000335276,11935837.339999999850988
20180828,3569810.020000000018626,4219216.570000000298023,4106603.399999999906868,11895630.990000000223517
20180829,3580531.899999999906868,4230282.429999999701977,4117046.280000000260770,11927861.609999999403954
20180830,3568320.870000000111759,4213683.640000000596046,4047924.360000000335276,11829929.870000001043081
20180831,3528113.819999999832362,4216757.490000000223517,4087706.760000000242144,11832579.070000000298023
