代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12547009.960000000894070
真實報酬,2547009.960000000894070

夏普值報酬,0.246000996000000
夏普值風險,0.073430119949161
夏普值,3.350137466346473

預期報酬,23500.469325068010221
風險,87806.682060219900450
趨勢值,0.267638735158571
找到最佳解世代,2581
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,10
AXP[1](5),BA[2](17),GS[8](16),JNJ[12](1),MCD[15](7),MMM[16](3),NKE[19](4),TRV[22](6),VZ[26](19),WBA[27](2),
20121211,1020751.240000000107102,1020731.479999999864958,1009083.229999999981374,1019647.169999999809079,1029639.040000000037253,1030016.350000000093132,1019696.319999999948777,1036853.200000000186265,1007252.800000000046566,1080799.859999999869615,10274470.689999999478459
20121212,1031663.530000000027940,1016019.780000000027940,1002546.699999999953434,1017639.429999999818392,1026077.760000000009313,1023859.150000000023283,1017644.619999999995343,1035158.800000000162981,1015185.550000000046566,1081389.640000000130385,10267184.960000000894070
20121213,1032557.979999999981374,1000538.479999999864958,1006027.189999999944121,1014627.819999999948777,1024469.439999999944121,1017042.250000000000000,998358.639999999897555,1034029.200000000186265,1009066.000000000116415,1076671.399999999906868,10213388.400000000372529
20121214,1013416.750000000000000,996499.880000000004657,1013327.729999999981374,1013767.359999999869615,1021137.919999999925494,1014623.349999999976717,994255.239999999990687,1036006.000000000116415,1002039.850000000093132,1084043.649999999906868,10189117.730000000447035
20121217,1024507.930000000051223,1004980.940000000060536,1048387.299999999930151,1017352.609999999869615,1032970.559999999939464,1022869.599999999976717,1005334.419999999925494,1047584.400000000023283,1000000.000000000000000,1095249.470000000204891,10299237.230000000447035
20121218,1034346.880000000004657,1016692.880000000004657,1084720.219999999972060,1017496.020000000018626,1039978.239999999990687,1031885.499999999883585,1014772.239999999990687,1049561.199999999953434,994333.750000000000000,1107339.959999999962747,10391126.890000000596046
20121219,1015921.209999999962747,1016558.260000000125729,1080305.939999999944121,1012906.899999999906868,1030672.959999999962747,1022759.649999999906868,1003282.719999999855645,1036853.200000000186265,983227.900000000139698,1098198.370000000111759,10300687.109999999403954
20121220,1026833.500000000000000,1025847.040000000037253,1101273.770000000018626,1014627.819999999948777,1034464.000000000000000,1034964.099999999976717,1015592.919999999925494,1042360.000000000000000,992973.850000000093132,1107339.959999999962747,10396276.960000000894070
20121221,1031305.750000000000000,1025443.180000000051223,1090407.849999999860302,1007744.139999999897555,1036072.320000000065193,1023639.249999999883585,1078374.939999999944121,1028240.000000000000000,987534.250000000116415,1070773.600000000093132,10379535.279999999329448
20121224,1029159.070000000065193,1022750.780000000027940,1082767.750000000000000,1004158.889999999897555,1025848.000000000000000,1024628.799999999930151,1083299.019999999785796,1021744.800000000046566,986854.300000000046566,1075491.840000000316650,10356703.250000000000000
20121226,1022003.470000000088476,1023423.880000000004657,1079541.929999999934807,1006310.039999999920838,1019529.599999999976717,1023309.399999999906868,1053344.199999999953434,1020474.000000000000000,984814.450000000186265,1081094.750000000000000,10313845.720000000670552
20121227,1014132.309999999939464,1020866.099999999976717,1075382.320000000065193,1005162.760000000009313,1019299.839999999967404,1018581.550000000046566,1061961.339999999850988,1014120.000000000000000,985494.400000000023283,1077261.180000000167638,10292261.799999998882413
20121228,1013774.530000000027940,1005519.419999999925494,1065619.969999999972060,996414.750000000000000,1006203.520000000018626,1009125.849999999976717,1046368.419999999925494,1005930.400000000023283,972348.700000000069849,1077556.070000000298023,10198861.629999998956919
20121231,1028264.619999999995343,1014538.959999999962747,1082937.530000000027940,1005306.169999999809079,1013440.959999999962747,1020890.499999999883585,1058678.619999999878928,1014120.000000000000000,980734.750000000116415,1091415.899999999906868,10310328.010000001639128
20130102,1050983.649999999906868,1037558.979999999864958,1117742.429999999934807,1015918.510000000009313,1035383.040000000037253,1042110.849999999976717,1063602.699999999953434,1028804.800000000046566,1003399.750000000116415,1122379.350000000093132,10517884.059999998658895
20130103,1055455.899999999906868,1042943.780000000027940,1111630.349999999860302,1014484.409999999916181,1041241.919999999925494,1040901.400000000023283,1074681.879999999888241,1036712.000000000116415,998640.100000000093132,1114417.320000000298023,10531109.060000000521541
20130104,1066368.189999999944121,1045905.419999999925494,1141936.079999999841675,1026100.619999999878928,1032281.279999999911524,1048597.900000000139698,1084940.379999999888241,1045748.800000000162981,1004079.699999999953434,1096429.030000000260770,10592387.399999998509884
20130107,1070840.439999999944121,1024904.699999999953434,1139813.829999999841675,1023949.470000000088476,1044458.559999999939464,1049917.300000000046566,1086581.739999999990687,1031628.800000000162981,1012919.050000000046566,1121494.680000000167638,10606508.570000000298023
20130108,1076922.700000000186265,997980.699999999953434,1129542.140000000130385,1024092.879999999888241,1044803.199999999953434,1050027.250000000000000,1075092.219999999972060,1033464.400000000023283,976881.700000000069849,1125623.140000000130385,10534430.330000000074506
20130109,1077996.040000000037253,1033385.760000000125729,1140323.169999999925494,1028682.000000000000000,1043309.760000000009313,1060032.699999999953434,1076323.239999999990687,1044054.400000000023283,974615.200000000069849,1133880.060000000055879,10612602.330000000074506
20130110,1087477.209999999962747,1037828.220000000088476,1166214.619999999878928,1035278.859999999869615,1050087.679999999934807,1065310.300000000046566,1078374.939999999944121,1051255.600000000093132,987987.550000000162981,1137418.740000000223517,10697233.720000000670552
20130111,1095527.260000000242144,1011846.559999999939464,1164177.260000000009313,1037573.419999999809079,1053878.719999999972060,1058603.350000000093132,1089454.119999999878928,1056903.600000000093132,981414.699999999953434,1153047.910000000149012,10702426.900000000372529
20130114,1094990.589999999850988,1030558.739999999990687,1155688.260000000009313,1040585.030000000027940,1051581.119999999878928,1067399.350000000093132,1091505.820000000065193,1058315.600000000093132,965322.550000000162981,1151278.570000000298023,10707225.630000000819564
20130115,1086940.540000000037253,1035808.919999999925494,1151104.199999999953434,1037860.239999999990687,1051351.360000000102445,1069708.300000000046566,1100533.300000000046566,1066928.800000000046566,951270.250000000000000,1158945.709999999962747,10710451.620000001043081
20130116,1084436.080000000074506,1000807.720000000088476,1197793.699999999953434,1040871.849999999976717,1046641.279999999911524,1073116.750000000000000,1102585.000000000000000,1066787.600000000093132,940844.349999999976717,1161599.720000000204891,10715484.050000000745058
20130117,1086582.760000000242144,1013192.760000000125729,1197114.579999999841675,1045460.970000000088476,1054223.360000000102445,1078394.350000000093132,1097250.579999999841675,1071729.600000000093132,954896.650000000139698,1160715.050000000279397,10759560.660000002011657
20130118,1069409.319999999832362,1010231.120000000111759,1226316.739999999757856,1050193.500000000000000,1059967.360000000102445,1085651.050000000046566,1093557.519999999785796,1077518.800000000046566,964189.300000000046566,1156291.700000000186265,10793326.410000000149012
20130122,1062611.500000000000000,998384.559999999939464,1239050.239999999757856,1042449.359999999869615,1067894.080000000074506,1092138.100000000093132,1097250.579999999841675,1100675.600000000093132,973255.300000000046566,1164548.620000000111759,10838257.940000001341105
20130123,1054203.669999999925494,1000134.620000000111759,1235739.530000000027940,1044743.919999999809079,1073982.719999999972060,1093897.300000000046566,1089454.119999999878928,1096298.400000000139698,969855.550000000046566,1165433.290000000037253,10823743.120000001043081
20130124,1060822.600000000093132,1014000.479999999864958,1230646.130000000121072,1048329.169999999809079,1072029.760000000009313,1095876.399999999906868,1105047.039999999804422,1102652.400000000139698,965322.550000000162981,1163074.169999999925494,10857800.699999999254942
20130125,1064400.399999999906868,1010096.500000000000000,1226401.630000000121072,1060088.790000000037253,1076739.840000000083819,1105991.800000000046566,1139925.939999999944121,1106323.600000000093132,967135.750000000116415,1169856.640000000130385,10926960.890000000596046
20130128,1056708.129999999888241,996230.640000000013970,1223770.040000000037253,1055786.490000000223517,1084092.159999999916181,1106651.500000000000000,1118177.919999999925494,1092203.600000000093132,969402.250000000116415,1182536.910000000149012,10885559.640000000596046
20130129,1063505.950000000186265,991518.940000000060536,1248812.589999999850988,1067115.879999999888241,1090525.439999999944121,1119405.699999999953434,1106278.060000000055879,1098698.800000000046566,985947.700000000069849,1181357.350000000093132,10953166.409999998286366
20130130,1061359.270000000018626,1004173.220000000088476,1249237.040000000037253,1062526.759999999776483,1087653.439999999944121,1108300.750000000000000,1100122.959999999962747,1095451.199999999953434,988440.850000000093132,1175754.439999999944121,10933019.929999999701977
20130131,1052056.990000000223517,994480.580000000074506,1255264.229999999981374,1060088.790000000037253,1094776.000000000000000,1105552.000000000000000,1109150.439999999944121,1107876.800000000046566,988440.850000000093132,1178408.450000000186265,10946095.129999998956919
20130201,1071734.890000000130385,1007942.580000000074506,1272581.790000000037253,1063817.450000000186265,1102358.080000000074506,1116656.949999999953434,1101764.320000000065193,1128068.400000000139698,1009972.600000000093132,1188729.600000000093132,11063626.660000000149012
20130204,1062790.390000000130385,1012519.659999999916181,1252377.969999999972060,1062813.580000000074506,1086849.280000000027940,1107970.899999999906868,1100943.639999999897555,1101381.600000000093132,1009066.000000000116415,1179882.899999999906868,10976595.919999999925494
20130205,1085151.640000000130385,1021673.820000000065193,1277250.739999999757856,1070701.129999999888241,1090410.560000000055879,1115887.300000000046566,1105867.719999999972060,1110559.600000000093132,1009972.600000000093132,1218808.379999999888241,11106283.489999998360872
20130206,1083362.740000000223517,1027058.620000000111759,1282938.369999999878928,1081170.060000000055879,1092248.639999999897555,1129081.300000000046566,1111202.139999999897555,1114936.800000000046566,1014278.950000000069849,1222052.169999999925494,11158329.789999999105930
20130207,1111627.359999999869615,1042405.300000000162981,1275637.829999999841675,1076437.529999999795109,1087193.919999999925494,1123913.649999999906868,1121870.979999999981374,1117196.000000000232831,1007706.100000000093132,1218218.600000000093132,11182207.269999999552965
20130208,1105545.100000000093132,1030693.360000000102445,1287013.089999999850988,1082460.750000000000000,1089951.040000000037253,1128751.449999999953434,1120229.619999999878928,1113524.800000000046566,1005212.950000000069849,1220872.609999999869615,11184254.769999999552965
20130211,1108765.120000000111759,1021404.580000000074506,1292446.050000000046566,1081456.879999999888241,1093397.439999999944121,1128311.650000000139698,1132950.159999999916181,1118466.800000000046566,1004533.000000000116415,1223231.729999999981374,11204963.410000002011657
20130212,1112700.700000000186265,1023020.019999999902211,1308320.479999999981374,1087049.870000000111759,1092593.280000000027940,1137547.449999999953434,1130488.119999999878928,1128209.600000000093132,1007252.800000000046566,1237091.560000000055879,11264273.880000002682209
20130213,1110911.800000000279397,1006731.000000000000000,1311800.969999999972060,1085042.129999999888241,1079956.479999999981374,1130950.449999999953434,1119408.939999999944121,1129480.399999999906868,1009066.000000000116415,1223231.729999999981374,11206579.900000002235174
20130214,1115205.160000000149012,1008750.300000000162981,1323770.459999999962747,1087193.279999999795109,1074901.760000000009313,1130070.850000000093132,1120639.959999999962747,1134422.400000000139698,1004759.650000000023283,1234437.550000000279397,11234151.370000001043081
20130215,1103577.310000000055879,1010096.500000000000000,1315790.800000000046566,1092212.629999999888241,1078807.679999999934807,1135018.600000000093132,1127615.739999999990687,1135128.400000000139698,1006346.200000000069849,1213500.359999999869615,11218094.219999998807907
20130219,1114131.819999999832362,1004980.940000000060536,1346860.540000000037253,1103685.429999999701977,1078233.280000000027940,1145463.850000000093132,1117767.579999999841675,1138093.600000000093132,1008612.700000000069849,1229719.310000000055879,11287549.049999998882413
20130220,1107512.890000000130385,1006731.000000000000000,1317403.709999999962747,1099239.720000000204891,1078922.560000000055879,1134139.000000000000000,1108329.760000000009313,1131174.800000000046566,1018132.000000000116415,1226770.410000000149012,11228355.850000001490116
20130221,1100893.959999999962747,1023289.260000000125729,1280901.010000000009313,1102394.740000000223517,1081564.800000000046566,1129411.149999999906868,1118998.599999999860302,1134987.199999999953434,1022665.000000000000000,1227360.189999999944121,11222465.909999998286366
20130222,1119319.629999999888241,1032039.559999999939464,1308150.699999999953434,1093503.319999999832362,1094316.479999999981374,1138427.050000000046566,1117767.579999999841675,1143882.800000000279397,1029011.200000000069849,1232963.100000000093132,11309381.419999998062849
20130225,1109480.680000000167638,1010096.500000000000000,1253481.540000000037253,1083751.439999999944121,1104540.800000000046566,1118746.000000000000000,1108740.099999999860302,1119031.600000000093132,1036264.000000000000000,1198460.970000000204891,11142593.630000000819564
20130226,1107691.780000000260770,1018442.940000000060536,1256452.689999999944121,1086332.819999999832362,1105459.840000000083819,1124903.199999999953434,1113664.179999999934807,1130186.400000000139698,1045330.000000000000000,1203179.209999999962747,11191643.059999998658895
20130227,1118067.399999999906868,1041462.959999999962747,1287437.540000000037253,1094507.189999999944121,1099830.719999999972060,1138756.899999999906868,1114895.199999999953434,1140635.200000000186265,1050542.950000000186265,1214090.140000000130385,11300226.199999999254942
20130228,1111806.250000000000000,1035270.440000000060536,1271393.329999999841675,1091495.580000000074506,1101783.679999999934807,1143484.750000000000000,1117357.239999999990687,1135552.000000000232831,1054622.649999999906868,1207307.669999999925494,11270073.589999999850988
20130301,1115741.830000000074506,1040386.000000000000000,1277929.859999999869615,1099956.770000000018626,1099256.320000000065193,1140955.899999999906868,1124743.359999999869615,1139364.400000000139698,1058929.000000000000000,1218513.490000000223517,11315776.929999999701977
20130304,1125044.109999999869615,1037828.220000000088476,1291936.709999999962747,1107127.270000000018626,1092248.639999999897555,1135568.350000000093132,1123102.000000000000000,1136964.000000000000000,1067768.350000000093132,1231783.540000000037253,11349371.190000001341105
20130305,1147047.580000000074506,1058963.560000000055879,1298558.130000000121072,1113724.129999999888241,1100749.760000000009313,1148432.500000000000000,1126384.719999999972060,1150236.800000000046566,1080914.049999999813735,1200820.090000000316650,11425831.320000000298023
20130306,1156528.750000000000000,1064617.600000000093132,1308490.260000000009313,1109852.060000000055879,1112237.760000000009313,1150741.449999999953434,1134591.519999999785796,1144730.000000000000000,1071621.399999999906868,1178408.450000000186265,11431819.250000000000000
20130307,1154918.740000000223517,1091137.739999999757856,1329627.869999999878928,1115014.819999999832362,1115454.399999999906868,1149422.050000000046566,1132950.159999999916181,1146565.600000000093132,1076154.399999999906868,1183421.580000000074506,11494667.360000001266599
20130308,1157423.200000000186265,1093560.899999999906868,1298727.909999999916181,1121324.859999999869615,1134064.959999999962747,1162286.199999999953434,1122281.320000000065193,1152919.600000000093132,1087033.600000000093132,1198460.970000000204891,11528083.519999999552965
20130311,1171734.399999999906868,1116580.919999999925494,1301444.390000000130385,1124910.109999999869615,1136132.800000000046566,1163385.699999999953434,1118998.599999999860302,1154331.600000000093132,1083633.850000000093132,1217333.930000000167638,11588486.299999998882413
20130312,1167977.709999999962747,1133004.560000000055879,1289135.339999999850988,1126631.029999999795109,1134639.360000000102445,1155909.099999999860302,1097660.919999999925494,1154190.399999999906868,1096099.600000000093132,1210256.570000000298023,11565504.589999999850988
20130313,1168156.600000000093132,1140947.140000000130385,1289644.679999999934807,1126487.620000000111759,1141761.919999999925494,1155469.300000000046566,1125564.039999999804422,1159556.000000000232831,1086580.299999999813735,1261567.430000000167638,11655735.030000001192093
20130314,1169587.719999999739230,1139197.080000000074506,1307556.469999999972060,1134375.169999999925494,1140957.760000000009313,1165694.649999999906868,1122281.320000000065193,1162944.800000000046566,1098819.399999999906868,1259798.090000000316650,11701212.460000000894070
20130315,1182288.910000000149012,1163563.300000000279397,1314517.449999999953434,1135665.859999999869615,1145093.439999999944121,1169872.750000000000000,1123922.679999999934807,1161815.200000000186265,1088393.500000000000000,1255669.629999999888241,11740802.719999998807907
20130318,1176743.319999999832362,1146735.800000000279397,1289984.239999999757856,1130216.279999999795109,1132456.639999999897555,1158987.699999999953434,1111202.139999999897555,1165345.200000000186265,1104938.950000000186265,1251246.280000000260770,11667856.550000000745058
20130319,1165115.469999999739230,1151178.260000000242144,1263583.449999999953434,1130933.330000000074506,1130503.679999999934807,1156458.850000000093132,1104636.699999999953434,1174664.400000000139698,1109471.950000000186265,1319365.870000000111759,11705911.960000000894070
20130320,1180678.899999999906868,1149293.580000000074506,1274534.260000000009313,1139394.520000000018626,1134754.239999999990687,1161736.449999999953434,1125153.699999999953434,1183842.400000000139698,1101539.200000000186265,1357111.790000000037253,11808039.039999999105930
20130321,1170124.390000000130385,1135293.100000000093132,1234211.510000000009313,1133084.479999999981374,1131997.119999999878928,1153820.050000000046566,1099712.619999999878928,1182571.600000000093132,1106072.200000000186265,1350919.100000000093132,11697806.169999999925494
20130322,1184614.479999999981374,1141889.479999999981374,1244568.089999999850988,1143553.409999999683350,1140498.239999999990687,1170092.649999999906868,1221583.599999999860302,1181724.400000000139698,1111058.500000000000000,1370971.620000000111759,11910554.469999998807907
20130325,1182467.799999999813735,1142293.339999999850988,1240408.479999999981374,1142692.950000000186265,1128665.599999999860302,1156348.899999999906868,1221993.939999999944121,1177206.000000000232831,1114231.600000000093132,1362124.919999999925494,11868433.529999999329448
20130326,1201609.030000000260770,1166121.080000000074506,1244058.749999999767169,1159471.919999999925494,1131652.479999999981374,1166244.399999999906868,1220352.579999999841675,1177064.800000000046566,1121484.399999999906868,1402819.740000000223517,11990879.180000001564622
20130327,1201251.250000000000000,1160467.040000000037253,1255094.449999999953434,1165495.139999999664724,1136247.679999999934807,1157668.300000000046566,1199425.239999999990687,1177206.000000000232831,1109245.299999999813735,1393088.370000000111759,11955188.769999999552965
20130328,1206796.839999999850988,1155755.339999999850988,1249237.040000000037253,1169223.799999999813735,1145323.199999999953434,1168883.199999999953434,1210914.760000000009313,1188784.400000000139698,1114004.950000000186265,1406063.530000000260770,12014987.060000002384186
20130401,1203219.040000000037253,1147678.140000000130385,1239814.249999999767169,1174960.200000000186265,1137970.879999999888241,1161626.500000000000000,1195321.839999999850988,1185395.600000000093132,1115591.500000000000000,1385126.340000000316650,11946704.289999999105930
20130402,1210016.859999999869615,1132062.220000000204891,1245247.209999999962747,1185859.359999999869615,1151871.360000000102445,1171192.149999999906868,1208452.719999999972060,1191890.800000000046566,1121937.700000000186265,1395447.490000000223517,12013977.869999999180436
20130403,1185151.149999999906868,1135696.959999999962747,1217488.179999999934807,1176967.939999999944121,1140268.479999999981374,1161956.350000000093132,1208863.060000000055879,1182148.000000000000000,1110378.550000000279397,1365368.709999999962747,11884287.380000002682209
20130404,1193737.870000000111759,1143639.540000000037253,1213922.800000000046566,1181843.879999999888241,1156121.919999999925494,1163495.649999999906868,1217480.199999999953434,1190902.400000000139698,1117404.700000000186265,1373920.520000000018626,11952469.480000000447035
20130405,1168156.600000000093132,1160063.180000000167638,1219865.099999999860302,1176537.709999999962747,1165197.439999999944121,1163055.850000000093132,1210094.079999999841675,1191890.800000000046566,1123297.600000000093132,1386305.899999999906868,11964464.259999999776483
20130408,1173523.299999999813735,1167871.140000000130385,1220968.669999999925494,1163200.580000000074506,1166116.479999999981374,1162726.000000000000000,1230200.739999999990687,1196409.200000000186265,1120351.149999999906868,1405473.750000000000000,12006841.009999999776483
20130409,1166725.479999999981374,1174063.660000000149012,1243888.969999999972060,1169080.389999999664724,1161061.760000000009313,1164925.000000000000000,1228969.719999999972060,1204034.000000000000000,1118764.600000000093132,1424641.600000000093132,12056155.179999999701977
20130410,1169945.500000000000000,1182275.479999999981374,1268846.630000000121072,1176250.889999999664724,1166001.599999999860302,1184056.300000000046566,1237176.519999999785796,1197538.800000000046566,1130097.100000000093132,1418743.800000000279397,12130932.619999999180436
20130411,1176027.759999999776483,1191833.500000000000000,1265535.919999999925494,1180553.189999999944121,1171745.599999999860302,1190213.500000000000000,1255641.820000000065193,1215188.800000000046566,1144829.350000000093132,1435257.640000000130385,12226827.080000000074506
20130412,1174954.419999999925494,1196679.819999999832362,1265960.369999999878928,1186576.409999999683350,1190126.399999999906868,1183946.350000000093132,1242921.279999999795109,1218012.800000000279397,1152762.100000000093132,1438206.540000000037253,12250146.489999998360872
20130415,1146689.799999999813735,1168140.379999999888241,1243379.630000000121072,1171805.179999999701977,1173583.679999999934807,1162835.949999999953434,1224455.979999999981374,1196126.800000000046566,1147775.800000000279397,1433783.189999999944121,12068576.390000000596046
20130416,1155455.410000000149012,1169755.819999999832362,1223345.589999999850988,1196615.109999999869615,1183808.000000000000000,1167124.000000000000000,1241279.919999999925494,1222107.600000000093132,1143696.100000000093132,1446758.350000000093132,12149945.899999998509884
20130417,1147226.469999999739230,1167063.419999999925494,1193634.089999999850988,1203211.970000000204891,1178064.000000000000000,1159757.350000000093132,1249486.719999999972060,1201210.000000000000000,1122844.300000000279397,1431718.959999999962747,12054217.280000001192093
20130418,1163505.459999999962747,1159390.080000000074506,1176656.089999999850988,1192886.450000000186265,1170826.560000000055879,1154259.850000000093132,1234714.479999999981374,1187513.600000000093132,1153895.350000000093132,1436437.200000000186265,12030085.120000001043081
20130419,1202861.259999999776483,1184160.160000000149012,1177674.770000000018626,1211673.159999999683350,1147965.439999999944121,1162286.199999999953434,1249897.060000000055879,1197538.800000000046566,1184266.450000000186265,1455310.160000000149012,12173633.460000000894070
20130422,1192485.640000000130385,1170428.919999999925494,1184465.969999999972060,1216549.100000000093132,1141072.639999999897555,1163275.750000000000000,1258924.539999999804422,1194291.199999999953434,1182906.549999999813735,1466221.090000000316650,12170621.399999998509884
20130423,1206617.950000000186265,1187121.800000000279397,1213498.349999999860302,1225440.520000000018626,1146127.360000000102445,1180757.800000000046566,1265489.979999999981374,1219283.600000000093132,1185853.000000000000000,1463272.189999999944121,12293462.550000000745058
20130424,1206081.280000000260770,1222796.100000000093132,1221902.459999999962747,1210239.060000000055879,1160602.239999999990687,1186035.400000000139698,1262617.599999999860302,1212364.800000000046566,1174067.200000000186265,1446463.459999999962747,12303169.600000001490116
20130425,1218782.469999999739230,1234104.180000000167638,1228948.329999999841675,1222142.089999999850988,1159683.199999999953434,1153160.349999999860302,1273696.779999999795109,1204034.000000000000000,1206251.500000000000000,1465631.310000000055879,12366434.209999999031425
20130426,1211984.649999999906868,1249989.339999999850988,1223430.479999999981374,1220707.990000000223517,1159108.800000000046566,1141175.800000000046566,1270003.719999999972060,1202339.600000000093132,1215544.149999999906868,1452951.040000000037253,12347235.570000000298023
20130429,1209837.969999999739230,1237200.439999999944121,1231919.479999999981374,1227304.850000000093132,1173928.320000000065193,1141615.600000000093132,1285186.300000000046566,1206999.200000000186265,1211691.100000000093132,1457374.390000000130385,12383057.650000000372529
20130430,1223791.390000000130385,1230604.060000000055879,1240068.919999999925494,1222285.500000000000000,1173468.800000000046566,1151291.199999999953434,1304882.619999999878928,1206010.800000000046566,1221890.350000000093132,1460028.399999999906868,12434322.040000000968575
20130501,1221465.819999999832362,1227507.800000000279397,1210696.979999999981374,1207944.500000000000000,1164737.919999999925494,1149532.000000000000000,1299958.539999999804422,1187513.600000000093132,1187666.200000000186265,1443219.669999999925494,12300243.029999999329448
20130502,1241143.719999999739230,1241373.660000000149012,1219695.319999999832362,1221281.629999999888241,1172549.760000000009313,1165914.550000000046566,1299137.859999999869615,1192032.000000000232831,1190612.649999999906868,1441450.330000000074506,12385191.480000000447035
20130503,1256349.370000000111759,1261970.520000000018626,1234126.619999999878928,1229742.819999999832362,1182429.439999999944121,1185595.600000000093132,1324578.939999999944121,1206010.800000000046566,1194012.399999999906868,1416089.790000000037253,12490906.300000000745058
20130506,1253308.240000000223517,1268028.419999999925494,1260272.739999999757856,1214397.950000000186265,1172664.639999999897555,1185705.550000000046566,1312268.739999999990687,1204598.800000000046566,1179733.450000000186265,1410781.770000000018626,12461760.300000000745058
20130507,1256528.259999999776483,1276105.620000000111759,1267658.169999999925494,1226587.799999999813735,1175192.000000000000000,1187574.699999999953434,1311448.060000000055879,1214624.000000000000000,1199452.000000000000000,1450591.919999999925494,12565762.529999999329448
20130508,1257780.490000000223517,1266009.120000000111759,1275637.829999999841675,1225583.929999999701977,1159798.080000000074506,1189663.750000000000000,1311037.719999999972060,1232415.200000000186265,1203758.350000000093132,1448527.689999999944121,12570212.160000000149012
20130509,1255991.589999999850988,1273682.459999999962747,1261036.749999999767169,1221138.220000000204891,1145323.199999999953434,1208575.149999999906868,1307755.000000000000000,1220836.800000000046566,1194692.350000000093132,1409897.100000000093132,12498928.619999999180436
20130510,1253666.020000000018626,1268701.520000000018626,1265790.589999999850988,1229886.229999999981374,1151182.080000000074506,1214732.350000000093132,1328682.340000000083819,1221260.399999999906868,1198772.050000000279397,1436732.090000000316650,12569405.669999999925494
20130513,1248478.209999999962747,1275701.760000000242144,1270289.760000000009313,1231176.919999999925494,1153249.919999999925494,1214952.250000000000000,1326630.639999999897555,1221401.600000000093132,1191065.950000000186265,1447053.240000000223517,12580000.250000001862645
20130514,1279247.290000000037253,1293875.459999999962747,1311800.969999999972060,1247238.839999999850988,1162670.080000000074506,1215941.800000000046566,1352482.060000000055879,1241169.600000000093132,1205118.250000000000000,1462387.520000000018626,12771931.869999999180436
20130515,1301966.319999999832362,1306125.879999999888241,1321053.979999999981374,1256847.310000000055879,1171286.080000000074506,1225947.250000000000000,1350840.699999999953434,1239475.200000000186265,1214864.200000000186265,1475362.680000000167638,12863769.599999997764826
20130516,1292127.370000000111759,1300202.600000000093132,1311376.520000000018626,1254122.520000000018626,1161751.040000000037253,1221219.399999999906868,1322116.899999999906868,1226626.000000000232831,1205798.200000000186265,1448232.800000000279397,12743573.350000001490116
20130517,1311626.379999999888241,1331703.680000000167638,1342870.709999999962747,1263300.759999999776483,1166576.000000000000000,1224737.800000000046566,1340171.859999999869615,1221401.600000000093132,1209197.950000000186265,1462977.300000000279397,12874564.039999999105930
