代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12519913.080000000074506
真實報酬,2519913.080000000074506

夏普值報酬,0.243291308000000
夏普值風險,0.065790131992655
夏普值,3.697990878436940

預期報酬,20350.354332557169982
風險,94191.600116623521899
趨勢值,0.216052751066553
找到最佳解世代,2100
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](11),CSCO[4](14),JNJ[12](16),MMM[16](1),NKE[19](2),TRV[22](5),
20121203,1751368.800000000046566,1849366.280000000260770,1639132.390000000363216,1718033.500000000000000,1778992.059999999823049,1666900.940000000176951,10403797.970000000670552
20121204,1752078.600000000093132,1862971.620000000344589,1644074.320000000065193,1714609.000000000000000,1781180.229999999981374,1657033.460000000195578,10411951.230000002309680
20121205,1747819.800000000279397,1866858.860000000102445,1646662.950000000186265,1726785.000000000000000,1781180.229999999981374,1738557.640000000130385,10507868.480000000447035
20121206,1750422.400000000139698,1893097.730000000214204,1648545.590000000083819,1730399.750000000000000,1795038.639999999897555,1718587.740000000223517,10536095.850000001490116
20121207,1766038.000000000000000,1879492.390000000130385,1657958.790000000270084,1741053.750000000000000,1797956.199999999720603,1724226.300000000046566,10566729.430000001564622
20121210,1787095.400000000139698,1923223.840000000083819,1661488.739999999990687,1747902.750000000000000,1788474.129999999888241,1723051.600000000325963,10631240.459999999031425
20121211,1793956.800000000046566,1922252.030000000260770,1673255.239999999990687,1782338.000000000232831,1812544.000000000000000,1725166.060000000288710,10709516.130000000819564
20121212,1785675.800000000046566,1917392.980000000214204,1669960.620000000111759,1771684.000000000000000,1808897.049999999813735,1722346.780000000260770,10675961.230000000447035
20121213,1758466.800000000046566,1918364.790000000037253,1665018.690000000176951,1759888.500000000000000,1774615.719999999739230,1720467.260000000242144,10596825.759999999776483
20121214,1751368.800000000046566,1930026.510000000009313,1663606.710000000195578,1755703.000000000000000,1767321.819999999832362,1723756.420000000158325,10591787.259999999776483
20121217,1766274.600000000325963,1954321.760000000009313,1669489.960000000195578,1769971.750000000000000,1787015.349999999860302,1743021.500000000000000,10690098.919999999925494
20121218,1786858.800000000046566,1980560.629999999888241,1669725.290000000270084,1785572.250000000000000,1803791.319999999832362,1746310.660000000149012,10772822.949999999254942
20121219,1786622.200000000186265,1969870.719999999972060,1662194.729999999981374,1769781.500000000000000,1783368.399999999906868,1725166.060000000288710,10697007.610000001266599
20121220,1802947.600000000093132,1966955.290000000037253,1665018.690000000176951,1790899.250000000000000,1805250.099999999860302,1734328.719999999972060,10765403.650000000372529
20121221,1802237.800000000046566,1939744.610000000102445,1653722.850000000093132,1771303.500000000000000,1916846.770000000018626,1710834.719999999972060,10794694.250000000000000
20121224,1797505.800000000046566,1927111.079999999841675,1647839.600000000093132,1773015.750000000000000,1925599.449999999720603,1700027.480000000214204,10771103.160000000149012
20121226,1798688.800000000046566,1935857.370000000344589,1651369.550000000279397,1770732.749999999767169,1872353.979999999981374,1697913.020000000018626,10726919.470000000670552
20121227,1794193.400000000139698,1909618.500000000000000,1649486.910000000149012,1762552.000000000000000,1887671.169999999692664,1687340.719999999972060,10690866.700000001117587
20121228,1767221.000000000000000,1890182.300000000046566,1635131.780000000260770,1746190.500000000000000,1859954.349999999860302,1673714.199999999953434,10572398.129999998956919
20121231,1783073.200000000186265,1909618.500000000000000,1649722.239999999990687,1766547.250000000000000,1881836.049999999813735,1687340.719999999972060,10678141.960000000894070
20130102,1823531.800000000046566,1976673.390000000130385,1667136.660000000149012,1803265.500000000000000,1890588.729999999981374,1711774.480000000214204,10872974.560000000521541
20130103,1832995.800000000046566,1987363.300000000046566,1664783.360000000102445,1801172.750000000000000,1910282.260000000009313,1724931.120000000111759,10921532.589999999850988
20130104,1838201.000000000000000,1990278.730000000214204,1683845.090000000083819,1814490.250000000000000,1928517.010000000009313,1739967.280000000260770,10995303.359999999403954
20130107,1801291.399999999906868,1971814.340000000083819,1680315.140000000363216,1816773.250000000000000,1931434.569999999832362,1716473.280000000260770,10918105.980000000447035
20130108,1753971.399999999906868,1973757.959999999962747,1680550.470000000204891,1816963.500000000000000,1911011.649999999906868,1719527.500000000000000,10855786.480000000447035
20130109,1816197.200000000186265,1972786.150000000139698,1688081.030000000260770,1834276.250000000000000,1913199.819999999832362,1737148.000000000000000,10961692.450000001117587
20130110,1824005.000000000232831,1986391.490000000223517,1698906.210000000195578,1843408.250000000000000,1916846.770000000018626,1749129.940000000176951,11018691.660000000149012
20130111,1778341.199999999953434,1990278.730000000214204,1702671.489999999990687,1831803.000000000000000,1936540.299999999813735,1758527.540000000037253,10998166.259999997913837
20130114,1811228.600000000093132,2037897.419999999925494,1707613.420000000158325,1847023.000000000000000,1940187.250000000000000,1760876.940000000176951,11104830.630000000819564
20130115,1820456.000000000000000,2038869.230000000214204,1703142.150000000372529,1851018.250000000232831,1956233.829999999841675,1775208.280000000260770,11144931.740000002086163
20130116,1758940.000000000232831,2043728.280000000260770,1708084.080000000074506,1856916.000000000000000,1959880.780000000027940,1774973.340000000083819,11102526.480000000447035
20130117,1780707.200000000186265,2035953.800000000046566,1715614.640000000363216,1866048.000000000000000,1950398.709999999729916,1783196.240000000223517,11131922.589999999850988
20130118,1775502.000000000232831,2042756.469999999972060,1723380.530000000260770,1878604.500000000000000,1943834.199999999720603,1792828.780000000260770,11156910.480000000447035
20130122,1754681.199999999953434,2028179.320000000298023,1710672.710000000195578,1889829.250000000000000,1950398.709999999729916,1831358.940000000176951,11165124.129999998956919
20130123,1757757.000000000232831,2003884.070000000298023,1714437.989999999990687,1892873.250000000000000,1936540.299999999813735,1824075.800000000046566,11129572.410000000149012
20130124,1782126.800000000046566,2042756.469999999972060,1720321.239999999990687,1896297.750000000000000,1964257.119999999878928,1834648.100000000325963,11240411.479999998584390
20130125,1775265.400000000139698,2055390.000000000000000,1739618.300000000279397,1913800.750000000000000,2026255.270000000018626,1840756.540000000037253,11351090.260000001639128
20130128,1750895.600000000093132,2046643.709999999962747,1732558.400000000372529,1914942.250000000000000,1987597.599999999860302,1817262.540000000037253,11249904.100000001490116
20130129,1742614.600000000325963,2019433.030000000260770,1751149.470000000204891,1937011.250000000000000,1966445.290000000037253,1828069.780000000260770,11244727.420000001788139
20130130,1764855.000000000232831,1999996.829999999841675,1743618.910000000149012,1917796.000000000000000,1955504.439999999711290,1822666.160000000149012,11204441.339999999850988
20130131,1747819.800000000279397,1999025.020000000018626,1739618.300000000279397,1913039.750000000000000,1971551.020000000018626,1843340.879999999888241,11214398.769999999552965
20130201,1771479.800000000279397,2024292.079999999841675,1745736.880000000353903,1932255.000000000000000,1958422.000000000000000,1876937.300000000046566,11309127.060000000521541
20130204,1779524.199999999953434,2023320.270000000018626,1744089.570000000065193,1917225.250000000000000,1956963.219999999739230,1832533.640000000130385,11253660.150000000372529
20130205,1795613.000000000000000,2048587.329999999841675,1757032.720000000204891,1930923.250000000000000,1965715.899999999906868,1847804.740000000223517,11345680.940000001341105
20130206,1805077.000000000232831,2059277.240000000223517,1774211.810000000288710,1953753.250000000000000,1975197.969999999739230,1855087.879999999888241,11422609.149999998509884
20130207,1832049.400000000139698,2050530.950000000186265,1766445.920000000158325,1944811.500000000000000,1994162.109999999869615,1858846.920000000158325,11446850.800000000745058
20130208,1811465.200000000186265,2056361.810000000055879,1776329.780000000260770,1953182.500000000000000,1991244.549999999813735,1852738.480000000214204,11441326.320000000298023
20130211,1795139.800000000279397,2067051.719999999972060,1774682.470000000204891,1952421.500000000000000,2013855.639999999897555,1860961.379999999888241,11464116.510000001639128
20130212,1797979.000000000000000,2037897.419999999925494,1783860.340000000083819,1968402.499999999767169,2009479.299999999813735,1877172.240000000223517,11474794.799999998882413
20130213,1769350.400000000139698,2054418.190000000176951,1780565.720000000204891,1956987.500000000000000,1989785.770000000018626,1879286.699999999953434,11430398.279999999329448
20130214,1772899.400000000139698,2039841.040000000037253,1784095.670000000158325,1955465.500000000000000,1991973.939999999711290,1887509.600000000325963,11431789.150000000372529
20130215,1775265.400000000139698,2039841.040000000037253,1792332.220000000204891,1964026.750000000000000,2004373.569999999832362,1888684.300000000046566,11464527.280000001192093
20130219,1766274.600000000325963,2085516.110000000102445,1811158.620000000111759,1982100.500000000232831,1986868.209999999729916,1893618.040000000037253,11525540.079999998211861
20130220,1769350.400000000139698,2051502.760000000009313,1803863.390000000363216,1962504.750000000000000,1970092.239999999990687,1882105.980000000214204,11439423.520000001415610
20130221,1798452.200000000186265,2017489.410000000149012,1809040.650000000372529,1954324.000000000000000,1989056.379999999888241,1888449.360000000102445,11456816.000000000000000
20130222,1813831.199999999953434,2031094.750000000000000,1794450.190000000176951,1969924.500000000232831,1986868.209999999729916,1903250.580000000307336,11499423.429999999701977
20130225,1775265.400000000139698,2007771.310000000055879,1778447.750000000000000,1935869.750000000000000,1970821.629999999888241,1861901.140000000130385,11330080.980000000447035
20130226,1789934.600000000325963,2002912.260000000009313,1782683.690000000176951,1946523.750000000000000,1979574.309999999823049,1880461.400000000372529,11382094.010000001639128
20130227,1830393.200000000186265,2030122.940000000176951,1796097.500000000000000,1970495.249999999767169,1981762.479999999981374,1897846.960000000195578,11506722.330000001937151
20130228,1819509.600000000325963,2027207.510000000009313,1791155.570000000065193,1978676.000000000000000,1986138.819999999832362,1889389.120000000111759,11492080.620000001043081
20130301,1828500.400000000139698,2024292.079999999841675,1805040.040000000270084,1974300.250000000000000,1999267.839999999850988,1895732.500000000000000,11527137.109999999403954
20130304,1824005.000000000232831,2015545.790000000037253,1816806.540000000270084,1964978.000000000000000,1996350.280000000027940,1891738.520000000018626,11509428.129999998956919
20130305,1861151.199999999953434,2062192.669999999925494,1827631.720000000204891,1987237.250000000000000,2002185.399999999906868,1913822.879999999888241,11654225.120000001043081
20130306,1871088.400000000139698,2110783.169999999925494,1821277.810000000288710,1991232.500000000000000,2016773.199999999720603,1904660.219999999972060,11715819.300000000745058
20130307,1917698.600000000093132,2118557.650000000372529,1829749.690000000176951,1988949.500000000232831,2013855.639999999897555,1907714.440000000176951,11776529.519999999552965
20130308,1921957.400000000139698,2121473.080000000074506,1840104.210000000195578,2011208.749999999767169,1994891.500000000000000,1918286.740000000223517,11807925.680000001564622
20130311,1962416.000000000000000,2126332.129999999888241,1845987.460000000195578,2013111.250000000000000,1989056.379999999888241,1920636.140000000130385,11857543.359999999403954
20130312,1991281.199999999953434,2108839.549999999813735,1848811.420000000158325,2000174.250000000000000,1951128.099999999860302,1920401.199999999953434,11820639.719999998807907
20130313,2005240.600000000093132,2097177.830000000074506,1848576.090000000083819,1999413.250000000000000,2000726.619999999878928,1929328.920000000158325,11880467.310000000521541
20130314,2002164.800000000279397,2098149.640000000130385,1861519.239999999990687,2017106.500000000000000,1994891.500000000000000,1934967.480000000214204,11908803.160000000149012
20130315,2044989.400000000139698,2131191.180000000167638,1863637.210000000195578,2024336.000000000000000,1997809.059999999823049,1933087.960000000195578,11995054.810000000521541
20130318,2015414.400000000139698,2105924.120000000111759,1854694.670000000158325,2005501.250000000000000,1975197.969999999739230,1938961.460000000195578,11895697.870000001043081
20130319,2023222.200000000186265,2091346.969999999972060,1855871.320000000065193,2001125.500000000232831,1963527.729999999981374,1954467.500000000000000,11889565.220000000670552
20130320,2019909.800000000279397,2105924.120000000111759,1869755.790000000270084,2010257.500000000000000,1999997.229999999981374,1969738.600000000325963,11975587.040000000968575
20130321,1995303.400000000139698,2025263.890000000130385,1859401.270000000251457,1996559.500000000000000,1954775.049999999813735,1967624.140000000130385,11798931.250000000000000
20130322,2006896.800000000046566,2016517.600000000093132,1876580.360000000102445,2024716.500000000000000,2171403.879999999888241,1966214.500000000000000,12062333.640000000596046
20130325,2007606.599999999860302,2026235.700000000186265,1875168.380000000353903,2000935.250000000000000,2172133.269999999552965,1958696.420000000158325,12040779.619999999180436
20130326,2049484.800000000279397,2026235.700000000186265,1902701.989999999990687,2018057.749999999767169,2169215.709999999962747,1958461.480000000214204,12124161.429999999701977
20130327,2039547.600000000093132,2024292.079999999841675,1912585.850000000093132,2003218.250000000232831,2132016.820000000298023,1958696.420000000158325,12070361.019999999552965
20130328,2031266.599999999860302,2031094.750000000000000,1918704.430000000167638,2022623.750000000000000,2152439.740000000223517,1977961.500000000000000,12134094.769999999552965
20130401,2017070.600000000093132,2024292.079999999841675,1928117.630000000353903,2010067.250000000000000,2124722.919999999925494,1972322.940000000176951,12076597.419999999925494
20130402,1989625.000000000232831,2062192.669999999925494,1946002.710000000195578,2026619.000000000000000,2148063.399999999441206,1983130.179999999934807,12155636.959999999031425
20130403,1996013.200000000186265,2060249.050000000046566,1931412.250000000000000,2010638.000000000232831,2148792.790000000037253,1966919.320000000065193,12114028.609999999403954
20130404,2009972.600000000093132,2044700.090000000083819,1939413.470000000204891,2013301.499999999767169,2164109.980000000447035,1981485.600000000325963,12152987.240000000223517
20130405,2038837.800000000046566,2002912.260000000009313,1930706.260000000242144,2012540.500000000000000,2150980.959999999962747,1983130.179999999934807,12119111.960000000894070
20130408,2052560.600000000093132,1999025.020000000018626,1908820.570000000065193,2011969.750000000000000,2186721.070000000298023,1990648.260000000242144,12149749.270000001415610
20130409,2063444.199999999953434,2037897.419999999925494,1918469.100000000093132,2015774.750000000000000,2184532.899999999441206,2003335.020000000018626,12223457.390000000596046
20130410,2077876.800000000046566,2086487.919999999925494,1930235.600000000093132,2048878.250000000000000,2199120.700000000186265,1992527.780000000260770,12335131.050000000745058
20130411,2094675.400000000139698,2107867.740000000223517,1937295.500000000000000,2059532.250000000000000,2231943.250000000000000,2021895.280000000260770,12453213.420000001788139
20130412,2103193.000000000000000,2093290.590000000083819,1947179.360000000102445,2048688.000000000232831,2209332.160000000149012,2026594.080000000307336,12428281.189999999478459
20130415,2053033.800000000046566,2045671.900000000139698,1922940.370000000111759,2012160.000000000000000,2176509.609999999403954,1990178.379999999888241,12200498.059999998658895
20130416,2055873.000000000000000,2056361.810000000055879,1963652.460000000195578,2019579.750000000000000,2206414.599999999627471,2033407.340000000083819,12335292.960000000894070
20130417,2051141.000000000000000,2004855.879999999888241,1974477.640000000363216,2006833.000000000000000,2221002.399999999441206,1998636.219999999972060,12256950.140000000596046
20130418,2037654.800000000279397,1999996.829999999841675,1957533.880000000353903,1997320.500000000000000,2194744.359999999403954,1975847.040000000037253,12163101.410000000149012
20130419,2081189.199999999953434,1988335.110000000102445,1988362.110000000102445,2011208.749999999767169,2221731.790000000037253,1992527.780000000260770,12283358.740000002086163
20130422,2057056.000000000000000,2000968.640000000130385,1996363.330000000074506,2012921.000000000000000,2237778.370000000111759,1987124.160000000149012,12292215.500000000000000
20130423,2086394.400000000139698,2032066.560000000055879,2010953.790000000270084,2043170.750000000000000,2249448.609999999403954,2028708.540000000037253,12450746.649999998509884
20130424,2149093.399999999906868,1981532.440000000176951,1986008.810000000288710,2052302.750000000000000,2244342.879999999888241,2017196.480000000214204,12430480.760000001639128
20130425,2168967.800000000279397,2005827.690000000176951,2005541.200000000186265,1995418.000000000000000,2264036.410000000149012,2003335.020000000018626,12443130.120000001043081
20130426,2196886.600000000093132,2008743.120000000344589,2003187.900000000372529,1974680.750000000232831,2257471.899999999441206,2000515.740000000223517,12441490.009999999776483
20130429,2174409.600000000093132,2038869.230000000214204,2014013.080000000074506,1975441.750000000000000,2284459.330000000074506,2008268.760000000242144,12495465.750000000000000
20130430,2162816.200000000186265,2033038.370000000344589,2005776.530000000260770,1992183.749999999767169,2319470.049999999813735,2006624.179999999934807,12519913.080000000074506
