代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12481000.960000000894070
真實報酬,2481000.960000000894070

夏普值報酬,0.239400096000000
夏普值風險,0.056821280935247
夏普值,4.213211882231531

預期報酬,15928.889058343294892
風險,158924.208584443083964
趨勢值,0.100229469130121
找到最佳解世代,2153
找到最佳解實驗#,3
找到最佳解次數,22

stock[index](rank)
投資組合檔數,3
AAPL[0](1),GS[8](2),NKE[19](4),
20140606,3646497.720000000204891,3466185.720000000204891,3483186.360000000335276,10595870.800000000745058
20140609,3705018.400000000372529,3462223.080000000074506,3503288.640000000596046,10670531.120000001043081
20140610,3726765.950000000186265,3469731.240000000223517,3486841.320000000298023,10683339.510000001639128
20140611,3711344.959999999962747,3450335.160000000149012,3432930.660000000614673,10594611.780000001192093
20140612,3649265.590000000316650,3461388.840000000316650,3416483.340000000316650,10527138.770000001415610
20140613,3609329.180000000167638,3459928.919999999925494,3409173.420000000856817,10478432.519999999552965
20140616,3645706.900000000372529,3459094.680000000167638,3406432.200000000651926,10511234.780000001192093
20140617,3640961.979999999981374,3508523.399999999906868,3431103.180000000167638,10580589.560000000521541
20140618,3644916.080000000540167,3542727.240000000223517,3481358.880000000353903,10669003.200000001117587
20140619,3632262.959999999962747,3540015.959999999962747,3455774.160000000614673,10628054.080000000074506
20140620,3594699.010000000242144,3542310.120000000111759,3431103.180000000167638,10568113.310000000521541
20140623,3591535.729999999981374,3550652.520000000484288,3447550.500000000000000,10589739.750000000000000
20140624,3569788.180000000167638,3508731.959999999962747,3425620.740000000689179,10504141.880000000819564
20140625,3572951.459999999962747,3511860.359999999869615,3494151.240000000689179,10578964.060000000521541
20140626,3594303.600000000558794,3504143.639999999664724,3511512.300000000279397,10609960.540000000968575
20140627,3637007.880000000353903,3478490.760000000242144,3548975.640000000596046,10664475.280000001192093
20140630,3674571.830000000540167,3492255.720000000204891,3543493.200000000651926,10710321.750000001862645
20140701,3697901.020000000018626,3479116.439999999944121,3563595.480000000447035,10740613.940000001341105
20140702,3696319.380000000353903,3480784.919999999925494,3554458.080000000540167,10731563.380000000819564
20140703,3718066.930000000167638,3534384.840000000316650,3584611.500000000000000,10837064.269999999552965
20140707,3794776.470000000204891,3499346.760000000242144,3593748.900000000372529,10887873.130000000819564
20140708,3770261.049999999813735,3439490.040000000037253,3548975.640000000596046,10758727.730000000447035
20140709,3771842.690000000409782,3434484.599999999627471,3595576.380000000353903,10801904.669999999925494
20140710,3758003.340000000316650,3408414.599999999627471,3540751.980000000447035,10707170.919999999925494
20140711,3765120.720000000204891,3437195.880000000353903,3531614.580000000540167,10733932.180000001564622
20140714,3813756.150000000372529,3483079.080000000074506,3561768.000000000000000,10858604.230000000447035
20140715,3769074.819999999832362,3528336.599999999627471,3565422.960000000894070,10862835.380000000819564
20140716,3747722.680000000167638,3555449.399999999906868,3514253.520000000484288,10817426.600000001490116
20140717,3680898.390000000130385,3548566.919999999925494,3496892.460000000894070,10726358.770000001415610
20140718,3733883.330000000540167,3576305.399999999906868,3541665.720000000204891,10851855.450000001117587
20140721,3714508.240000000223517,3581519.399999999906868,3509684.820000000298023,10805713.460000000894070
20140722,3745350.220000000204891,3650344.200000000186265,3519735.960000000894070,10915431.380000000819564
20140723,3843016.490000000223517,3687885.000000000000000,3535269.540000000037253,11066172.030000001192093
20140724,3836689.930000000167638,3676205.639999999664724,3591007.680000000167638,11103904.250000000000000
20140725,3861996.170000000391155,3658269.479999999981374,3550803.120000000577420,11071069.770000001415610
20140728,3915376.520000000018626,3669740.279999999795109,3581870.280000000726432,11166988.080000000074506
20140729,3890070.279999999795109,3661189.319999999832362,3568164.180000000167638,11119424.779999999329448
20140730,3880975.850000000558794,3665777.639999999664724,3637608.420000000856817,11184362.910000000149012
20140731,3780146.299999999813735,3605503.800000000279397,3524304.660000000614673,10909955.759999999776483
20140801,3801103.029999999795109,3550861.080000000074506,3507857.340000000316650,10859822.449999999254942
20140804,3779750.890000000130385,3580893.720000000204891,3525218.400000000372529,10885864.010000001639128
20140805,3761166.620000000577420,3533550.599999999627471,3514253.520000000484288,10808971.740000002086163
20140806,3754840.060000000055879,3540224.520000000484288,3524304.660000000614673,10819370.240000000223517
20140807,3735860.380000000353903,3526876.680000000167638,3487755.060000000521541,10750493.120000001043081
20140808,3746141.040000000037253,3592781.639999999664724,3520649.700000000651926,10859573.380000000819564
20140811,3795567.290000000037253,3596952.840000000316650,3520649.700000000651926,10913170.830000001937151
20140812,3794776.470000000204891,3594241.560000000521541,3506029.860000000335276,10895048.890000000596046
20140813,3844993.540000000037253,3595075.800000000279397,3529787.100000000558794,10969857.440000001341105
20140814,3855274.200000000186265,3602583.959999999962747,3531614.580000000540167,10989473.740000000223517
20140815,3874253.880000000353903,3585273.479999999981374,3524304.660000000614673,10983833.020000001415610
20140818,3920912.260000000242144,3640541.880000000353903,3589180.200000000651926,11150635.340000001713634
20140819,3975083.430000000167638,3628236.840000000316650,3587352.720000000204891,11190673.990000000223517
20140820,3976665.069999999832362,3629696.760000000242144,3605627.520000000484288,11211990.350000001490116
20140821,3977060.479999999981374,3653055.479999999981374,3606541.260000000242144,11236658.220000000670552
20140822,4006320.819999999832362,3659729.399999999906868,3622988.580000000540167,11289039.800000000745058
20140825,4015019.840000000316650,3709783.800000000279397,3655883.220000000204891,11380687.860000001266599
20140826,3989318.190000000409782,3710409.479999999981374,3631212.240000000689179,11330940.910000000149012
20140827,4038349.029999999795109,3708532.439999999944121,3642177.120000000577420,11389059.589999999850988
20140828,4043093.950000000186265,3705195.479999999981374,3601058.820000000298023,11349349.250000000000000
20140829,4052979.200000000186265,3735645.240000000223517,3589180.200000000651926,11377805.640000000596046
20140902,4084612.000000000000000,3749410.200000000186265,3622074.840000000316650,11456098.040000000968575
20140903,3912213.240000000223517,3745864.680000000167638,3601058.820000000298023,11259137.740000000223517
20140904,3879789.620000000577420,3755875.560000000521541,3651314.520000000484288,11286980.700000002980232
20140905,3913399.470000000204891,3748993.080000000074506,3748170.960000000894070,11410564.510000001639128
20140908,3889279.459999999962747,3756501.240000000223517,3764618.280000000726432,11410399.980000000447035
20140909,3874649.290000000037253,3699981.479999999981374,3739033.560000000521541,11313665.330000000074506
20140910,3993667.700000000186265,3751495.800000000279397,3768273.240000000689179,11513437.740000000223517
20140911,4010670.330000000540167,3775063.080000000074506,3738119.820000000298023,11523854.230000000447035
20140912,4019764.760000000242144,3820320.599999999627471,3739033.560000000521541,11579119.919999999925494
20140915,4018578.529999999795109,3837213.959999999962747,3728982.420000000856817,11584775.910000000149012
20140916,3988131.959999999962747,3838465.319999999832362,3709793.880000000353903,11536392.160000000149012
20140917,4016601.479999999981374,3854733.000000000000000,3724413.720000000204891,11595749.200000001117587
20140918,4024905.090000000316650,3918760.919999999925494,3745429.740000000689179,11689096.750000000000000
20140919,3992086.060000000055879,3883514.279999999795109,3738119.820000000298023,11613721.160000000149012
20140922,3996040.160000000149012,3864535.319999999832362,3686950.380000000353903,11547526.860000001266599
20140923,4058514.940000000409782,3860364.120000000111759,3660451.920000000856817,11579331.980000000447035
20140924,4023323.450000000186265,3917092.439999999944121,3693346.560000000521541,11633763.450000001117587
20140925,3869904.370000000577420,3839508.120000000111759,3644004.600000000558794,11353418.089999999850988
20140926,3983782.450000000186265,3860989.800000000279397,4088995.980000000447035,11933769.230000000447035
20140929,3958476.209999999962747,3834085.560000000521541,4071634.920000000856817,11864197.690000001341105
20140930,3983782.450000000186265,3828663.000000000000000,4075289.880000000353903,11887736.330000000074506
20141001,3921703.080000000540167,3768806.279999999795109,4006759.380000000353903,11697269.740000000223517
20141002,3950172.600000000558794,3814272.359999999869615,4079858.580000000540167,11844304.540000000968575
20141003,3939101.120000000577420,3922515.000000000000000,4125545.580000000540167,11987162.700000001117587
20141006,3939101.120000000577420,3910209.959999999962747,4076203.620000000577420,11925515.700000001117587
20141007,3904700.450000000186265,3833459.880000000353903,4024120.440000000409782,11762281.769999999552965
20141008,3985759.500000000000000,3892690.919999999925494,4058842.560000000521541,11937293.980000000447035
20141009,3994458.520000000018626,3780694.200000000186265,3985743.360000000335276,11760897.080000001937151
20141010,3982991.630000000353903,3762132.359999999869615,3983915.880000000353903,11729040.870000001043081
20141013,3946613.910000000149012,3728554.200000000186265,3901679.280000000726432,11576848.390000000596046
20141014,3904700.450000000186265,3727094.279999999795109,3887973.180000000167638,11519768.910000000149012
20141015,3856855.840000000316650,3696644.520000000484288,3891628.140000000596046,11445129.500000001862645
20141016,3806243.360000000335276,3599455.560000000521541,3976605.960000000894070,11382305.880000002682209
20141017,3861996.170000000391155,3689762.040000000037253,3983002.140000000596046,11534761.350000001490116
20141020,3944636.860000000335276,3709158.120000000111759,4061583.780000000726432,11715379.760000001639128
20141021,4051792.970000000204891,3757961.160000000149012,4141079.160000000614673,11950834.290000000968575
20141022,4072354.290000000037253,3688093.560000000521541,4105443.300000000279397,11865892.150000000372529
20141023,4145109.729999999981374,3755458.439999999944121,4129200.540000000037253,12029769.710000000894070
20141024,4160530.720000000204891,3824074.680000000167638,4152957.780000000726432,12137564.180000001564622
20141027,4156181.209999999962747,3835754.040000000037253,4186766.160000000614673,12178702.410000000149012
20141028,4220633.040000000037253,3886017.000000000000000,4224229.500000000000000,12330880.539999999105930
20141029,4244357.640000000596046,3881011.560000000521541,4201386.000000000000000,12326756.200000001117587
20141030,4230122.879999999888241,3899573.399999999906868,4248900.480000000447035,12378597.759999999776483
20141031,4270454.700000000186265,3962558.520000000484288,4247986.740000000223517,12481000.960000000894070
