代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12662286.879999998956919
真實報酬,2662286.879999998956919

夏普值報酬,0.257528688000000
夏普值風險,0.063791919855054
夏普值,4.037011091454032

預期報酬,18782.157438538666611
風險,183251.677924329967937
趨勢值,0.102493781510117
找到最佳解世代,1801
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](15),NKE[19](7),WBA[27](2),
20140930,3348580.040000000037253,3784788.199999999720603,3264485.500000000000000,10397854.740000000223517
20141001,3277339.560000000055879,3721143.199999999720603,3251817.560000000055879,10250301.320000000298023
20141002,3264195.560000000055879,3789031.199999999720603,3291473.719999999739230,10344701.480000000447035
20141003,3321766.280000000260770,3831461.199999999720603,3347102.500000000000000,10500330.980000000447035
20141006,3319137.480000000447035,3785636.799999999813735,3340493.139999999664724,10445268.419999999925494
20141007,3241850.759999999776483,3737266.599999999627471,3295879.959999999962747,10274998.320000000298023
20141008,3285488.840000000316650,3769513.399999999906868,3385106.319999999832362,10440109.560000000521541
20141009,3227129.480000000447035,3701625.399999999441206,3390063.339999999850988,10318819.219999998807907
20141010,3194006.600000000093132,3699928.199999999720603,3469375.660000000149012,10363311.460000000894070
20141013,3166404.200000000186265,3623554.200000000186265,3342696.259999999776483,10132655.660000000149012
20141014,3214774.120000000111759,3610825.199999999254942,3342696.259999999776483,10168296.579999998211861
20141015,3159569.319999999832362,3614219.600000000093132,3357016.540000000037253,10130806.460000000894070
20141016,3162198.120000000111759,3693139.399999999906868,3326172.859999999869615,10181511.379999998956919
20141017,3239747.719999999739230,3699079.600000000093132,3319563.500000000000000,10258391.820000000298023
20141020,3267875.880000000353903,3772059.200000000186265,3315708.040000000037253,10355644.120000001043081
20141021,3341745.160000000149012,3845887.399999999906868,3390063.339999999850988,10577696.900000000372529
20141022,3192692.200000000186265,3812791.999999999534339,3387309.439999999944121,10392794.639999998733401
20141023,3207939.240000000223517,3834855.599999999627471,3418703.899999999906868,10461499.740000000223517
20141024,3213459.719999999739230,3856919.200000000186265,3450649.139999999664724,10521029.059999998658895
20141027,3210305.160000000149012,3888317.399999999906868,3475985.020000000018626,10574608.580000000074506
20141028,3249474.280000000260770,3923109.999999999534339,3508481.040000000037253,10681066.320000000298023
20141029,3235541.640000000130385,3901894.999999999534339,3460563.179999999701977,10598000.820000000298023
20141030,3254994.759999999776483,3946022.199999999720603,3467723.319999999832362,10668741.279999999329448
20141031,3283648.680000000167638,3945173.600000000093132,3537121.600000000093132,10765944.880000000819564
20141103,3313091.240000000223517,3965539.999999999534339,3578980.880000000353903,10857613.120000001043081
20141104,3308096.520000000018626,3986754.999999999534339,3593301.159999999683350,10888153.679999999701977
20141105,3265509.959999999962747,4017304.600000000093132,3616433.919999999925494,10899249.480000000447035
20141106,3274973.640000000130385,4013910.199999999254942,3670961.140000000130385,10959845.980000000447035
20141107,3271556.200000000186265,3979117.599999999627471,3685832.200000000186265,10936507.000000000000000
20141110,3276550.919999999925494,4029184.999999999534339,3733199.279999999795109,11038936.199999999254942
20141111,3295478.280000000260770,4025790.599999999627471,3717777.439999999944121,11039047.320000000298023
20141112,3308885.160000000149012,4065674.799999999348074,3714472.759999999776483,11089033.719999998807907
20141113,3378811.240000000223517,4078403.799999999813735,3688035.319999999832362,11145251.359999999403954
20141114,3387486.280000000260770,4052097.199999999720603,3686382.980000000447035,11125967.460000000894070
20141117,3375919.559999999590218,4075858.000000000000000,3665453.339999999850988,11117231.899999998509884
20141118,3434804.680000000167638,4093678.600000000093132,3748621.120000000111759,11277105.400000000372529
20141119,3459778.280000000260770,4114044.999999999534339,3733750.060000000055879,11307574.339999999850988
20141120,3462144.199999999720603,4128471.199999999720603,3708964.959999999962747,11299581.359999999403954
20141121,3490535.240000000223517,4133562.799999999813735,3722734.459999999962747,11346833.500000000000000
20141124,3538642.280000000260770,4156474.999999999534339,3730445.380000000353903,11425563.660000000149012
20141125,3543899.880000000353903,4128471.199999999720603,3734851.620000000111759,11407223.699999999254942
20141126,3543111.240000000223517,4149686.199999999720603,3771203.100000000093132,11464001.539999999105930
20141128,3532070.280000000260770,4213331.199999999254942,3778914.020000000018626,11524316.500000000000000
20141201,3480282.919999999925494,4145443.199999999720603,3732648.499999999534339,11358375.619999999180436
20141202,3477391.240000000223517,4159869.399999999906868,3676468.939999999944121,11313730.580000000074506
20141203,3469241.959999999962747,4179387.199999999720603,3711168.079999999608845,11359798.240000000223517
20141204,3452154.759999999776483,4203148.000000000000000,3739808.640000000130385,11395112.400000000372529
20141205,3475551.080000000074506,4215028.400000000372529,3778363.239999999757856,11468943.720000000670552
20141208,3424815.240000000223517,4146291.799999999813735,3730445.380000000353903,11301553.419999999925494
20141209,3408516.680000000167638,4117439.399999999906868,3777812.459999999962747,11303769.539999999105930
20141210,3276550.919999999925494,4143745.999999999534339,3753578.140000000130385,11173876.060000000521541
20141211,3243165.160000000149012,4113196.399999999441206,4021257.220000000204891,11377619.779999999329448
20141212,3174816.359999999869615,4080949.600000000093132,4103323.439999999944121,11359090.400000000372529
20141215,3209253.640000000130385,4049551.399999999441206,4044940.759999999776483,11303746.799999998882413
20141216,3266298.600000000093132,3955356.799999999813735,3987108.859999999869615,11208765.259999999776483
20141217,3287591.880000000353903,4009667.199999999720603,3965077.659999999683350,11262337.740000000223517
20141218,3303627.560000000055879,4119136.599999999627471,4096714.079999999608845,11519479.240000000223517
20141219,3318348.840000000316650,4024093.399999999906868,4033374.380000000353903,11375817.620000001043081
20141222,3370661.959999999962747,4070766.399999999441206,4090655.499999999534339,11532084.859999999403954
20141223,3418243.240000000223517,4072463.600000000093132,4214030.220000000670552,11704738.060000000521541
20141224,3450051.720000000204891,4086041.199999999720603,4222842.699999999254942,11758936.619999999180436
20141226,3460304.040000000037253,4108953.399999999906868,4211276.320000000298023,11780534.759999999776483
20141229,3477654.120000000111759,4128471.199999999720603,4229452.060000000521541,11835578.380000000819564
20141230,3465561.640000000596046,4110650.599999999627471,4188694.339999999850988,11764907.580000000074506
20141231,3416928.839999999850988,4080100.999999999534339,4196956.040000000968575,11693986.880000000819564
20150102,3416140.199999999720603,4032579.399999999906868,4185940.439999999944121,11634661.039999999105930
20150105,3392481.000000000465661,3967237.199999999720603,4103323.439999999944121,11463042.640000000596046
20150106,3352523.240000000223517,3944324.999999999534339,4113788.259999999776483,11410637.500000000000000
20150107,3404573.479999999981374,4025790.599999999627471,4218987.240000000223517,11649352.320000000298023
20150108,3464773.000000000465661,4118288.000000000000000,4271311.339999999850988,11854373.339999999850988
20150109,3457938.120000000111759,4073312.199999999720603,4167764.700000000186265,11699016.019999999552965
20150112,3440325.160000000149012,4067371.999999999534339,4169417.040000000037253,11677115.199999999254942
20150113,3448211.559999999590218,4031730.799999999348074,4145182.720000000204891,11625126.080000000074506
20150114,3427444.040000000037253,3976571.799999999813735,4130311.659999999683350,11534328.500000000000000
20150115,3421134.919999999925494,3938384.799999999348074,4118745.279999999795109,11478265.999999998137355
20150116,3437959.240000000223517,3946022.199999999720603,4187592.779999999795109,11571575.219999998807907
20150120,3449525.959999999962747,3972328.799999999813735,4188694.339999999850988,11610550.099999999627471
20150121,3480808.680000000167638,3968085.799999999348074,4163358.459999999962747,11612253.939999999478459
20150122,3565718.919999999925494,4067371.999999999534339,4187041.999999999534339,11820133.919999999925494
20150123,3538905.160000000149012,4080100.999999999534339,4163358.459999999962747,11782365.620000001043081
20150126,3524446.759999999776483,4088586.999999999534339,4177127.959999999962747,11790162.719999998807907
20150127,3482648.839999999850988,4009667.199999999720603,4127006.980000000447035,11619324.019999999552965
20150128,3670870.919999999925494,3959599.799999999348074,4063116.499999999534339,11693588.219999998807907
20150129,3884855.240000000223517,4025790.599999999627471,4107178.899999999441206,12017825.739999998360872
20150130,3821501.160000000149012,3914624.000000000000000,4062014.939999999944121,11798141.099999999627471
20150202,3844897.479999999981374,3900197.799999999813735,4124803.859999999869615,11869900.139999998733401
20150203,3873288.520000000018626,3961296.999999999534339,4119296.060000000055879,11953882.580000000074506
20150204,3870133.959999999962747,3926504.399999999906868,4112686.700000000186265,11909326.059999998658895
20150205,3906411.399999999906868,3960448.399999999906868,4119296.060000000055879,11986156.859999999403954
20150206,3890638.600000000093132,3895106.199999999720603,4194202.140000000130385,11979947.939999999478459
20150209,3879597.640000000596046,3868799.600000000093132,4207971.640000000596046,11956369.880000000819564
20150210,3891690.120000000111759,3935839.000000000000000,4223944.259999999776483,12051474.379999998956919
20150211,3888535.559999999590218,3874739.799999999348074,4380365.779999999329448,12143642.139999998733401
20150212,3893004.520000000018626,3903592.199999999720603,4404049.320000000298023,12200647.039999999105930
20150213,3936116.839999999850988,3905289.399999999906868,4336303.380000000819564,12177710.620000001043081
20150217,3941111.559999999590218,3897651.999999999534339,4296096.439999999478459,12134860.999999998137355
20150218,3973971.559999999590218,3972328.799999999813735,4284530.060000000521541,12230831.419999999925494
20150219,4041794.600000000093132,3975723.199999999720603,4246526.240000000223517,12264045.039999999105930
20150220,4161667.880000000353903,4028336.399999999441206,4248178.580000000074506,12438183.859999999403954
20150223,4067819.720000000204891,4031730.799999999348074,4328592.460000000894070,12428143.980000000447035
20150224,4058356.040000000037253,4048702.799999999813735,4427732.859999999403954,12534792.699999999254942
20150225,4022341.479999999981374,4108104.799999999348074,4406803.220000000670552,12537250.500000000000000
20150226,3988692.839999999850988,4115742.199999999720603,4497131.140000000596046,12601567.179999999701977
20150227,3965559.399999999906868,4120833.799999999813735,4575892.679999999701977,12662286.879999998956919
