代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11154685.049999998882413
真實報酬,1154685.049999998882413

夏普值報酬,0.106768505000000
夏普值風險,0.036638399655644
夏普值,2.914114863189766

預期報酬,9449.573072765071629
風險,133459.281921864690958
趨勢值,0.070804914702729
找到最佳解世代,2477
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](3),MRK[17](4),PG[21](1),VZ[26](10),WMT[28](2),
20190528,2001630.639999999897555,2039383.950000000186265,1962060.359999999869615,2053855.339999999850988,1991832.260000000009313,10048762.549999998882413
20190529,1981655.299999999813735,2016515.850000000093132,1956989.219999999739230,2034621.290000000037253,1985998.160000000149012,9975779.820000000298023
20190530,2007745.539999999804422,2024646.730000000214204,1978400.699999999953434,1987410.439999999944121,1987359.449999999953434,9985562.859999999403954
20190531,2002853.619999999878928,2012704.500000000000000,1932948.259999999776483,1900682.360000000102445,1972774.199999999953434,9821962.939999999478459
20190603,2037504.719999999739230,2039383.950000000186265,1949664.239999999757856,1971673.489999999990687,1982886.639999999897555,9981113.040000000968575
20190604,2038320.039999999804422,2060219.330000000074506,1966192.400000000139698,1966078.129999999888241,1994554.840000000083819,10025364.740000000223517
20190605,2070117.519999999785796,2075718.820000000065193,2004695.500000000000000,1994404.640000000130385,2030726.260000000009313,10175662.740000000223517
20190606,2095392.439999999711290,2069366.570000000065193,2016903.799999999813735,2012239.850000000093132,2044144.689999999944121,10238047.349999999627471
20190607,2099061.379999999888241,2095283.750000000000000,2043010.779999999795109,2001748.550000000046566,2062619.340000000083819,10301723.800000000745058
20190610,2094577.119999999878928,2095791.930000000167638,2042071.679999999934807,1963630.159999999916181,2091011.959999999962747,10287082.849999999627471
20190611,2092538.819999999832362,2108496.430000000633299,2054467.799999999813735,1987410.439999999944121,2099179.700000000186265,10342093.190000001341105
20190612,2105176.280000000260770,2127045.000000000000000,2060102.400000000139698,2005945.070000000065193,2116293.060000000055879,10414561.810000000521541
20190613,2084385.619999999878928,2106463.709999999962747,2083204.259999999776483,2015037.530000000027940,2112987.070000000298023,10402078.190000001341105
20190614,2091723.500000000000000,2103414.629999999888241,2088651.040000000037253,2038118.390000000130385,2121154.810000000055879,10443062.370000001043081
20190617,2073786.459999999729916,2116627.309999999590218,2084706.819999999832362,2015387.239999999990687,2122905.040000000037253,10413412.870000001043081
20190618,2064410.279999999795109,2146864.019999999552965,2058599.839999999850988,2004895.939999999944121,2132434.070000000298023,10407204.149999998509884
20190619,2083977.959999999729916,2168969.849999999627471,2074001.079999999841675,2015387.239999999990687,2131850.660000000149012,10474186.789999999105930
20190620,2105991.599999999627471,2149659.009999999776483,2098793.319999999366701,2005245.650000000139698,2145463.560000000055879,10505153.139999998733401
20190621,2101507.339999999850988,2148896.740000000223517,2088651.040000000037253,2020283.180000000167638,2161215.629999999888241,10520553.929999999701977
20190624,2116590.759999999776483,2172781.200000000186265,2109874.700000000186265,2037768.680000000167638,2163354.799999999813735,10600370.140000000596046
20190625,2110068.200000000186265,2165920.769999999552965,2098417.679999999701977,2028326.510000000009313,2153242.359999999869615,10555975.519999999552965
20190626,2083977.959999999729916,2122725.470000000670552,2061041.500000000000000,1993005.800000000046566,2142352.040000000037253,10403102.769999999552965
20190627,2082347.319999999832362,2130094.080000000074506,2061980.599999999860302,2002098.260000000009313,2141185.219999999739230,10417705.480000000447035
20190628,2075824.759999999776483,2130602.259999999776483,2059538.939999999944121,1997901.739999999990687,2148769.549999999813735,10412637.250000000000000
20190701,2103545.639999999664724,2153470.360000000335276,2075315.819999999832362,1981465.369999999878928,2151297.660000000149012,10465094.850000001490116
20190702,2119036.719999999739230,2172781.200000000186265,2093910.000000000000000,2032872.739999999990687,2170355.719999999739230,10588956.379999998956919
20190703,2123928.639999999664724,2208099.709999999962747,2142743.200000000186265,2032872.739999999990687,2184357.560000000055879,10692001.849999999627471
20190705,2124336.299999999813735,2175068.009999999776483,2125275.940000000409782,2039167.520000000018626,2177745.580000000074506,10641593.349999999627471
20190708,2119852.040000000037253,2135429.970000000670552,2142179.740000000223517,2024479.699999999953434,2192136.359999999869615,10614077.810000000521541
20190709,2103137.979999999515712,2156265.349999999627471,2120768.259999999776483,1972722.619999999878928,2195247.879999999888241,10548142.089999999850988
20190710,2112514.160000000149012,2155248.990000000223517,2136545.139999999664724,1993355.510000000009313,2197192.580000000074506,10594856.380000000819564
20190711,2121482.679999999701977,2058186.610000000102445,2148377.799999999813735,1990557.830000000074506,2215472.760000000242144,10534077.679999999701977
20190712,2124743.959999999962747,2025917.180000000167638,2159834.819999999366701,2000000.000000000000000,2228696.719999999739230,10539192.679999999701977
20190715,2125151.620000000111759,2057170.250000000000000,2169038.000000000000000,2013638.689999999944121,2236086.580000000074506,10601085.140000000596046
20190716,2125559.280000000260770,2073177.920000000158325,2176738.620000000111759,2007693.619999999878928,2231808.240000000223517,10614977.679999999701977
20190717,2127189.919999999925494,2081562.890000000130385,2177677.719999999739230,2001049.129999999888241,2228696.719999999739230,10616176.379999998956919
20190718,2121075.019999999552965,2101127.820000000298023,2168286.719999999739230,2000699.419999999925494,2231030.359999999869615,10622219.339999999850988
20190719,2094984.779999999795109,2068096.120000000111759,2160210.459999999962747,1979017.400000000139698,2215083.820000000298023,10517392.580000000074506
20190722,2088054.559999999823049,2063522.500000000000000,2165657.240000000223517,1940899.010000000009313,2194081.060000000055879,10452214.369999999180436
20190723,2214836.819999999366701,2084357.880000000121072,2138423.339999999850988,1940199.589999999850988,2179884.750000000000000,10557702.379999998956919
20190724,2192415.519999999552965,2077243.360000000102445,2114945.839999999850988,1957335.379999999888241,2178134.520000000018626,10520074.619999999180436
20190725,2163471.660000000149012,2077243.360000000102445,2118138.780000000260770,1970974.070000000065193,2182412.859999999869615,10512240.730000000447035
20190726,2208314.259999999776483,2069112.480000000214204,2154951.500000000000000,1996153.189999999944121,2197970.459999999962747,10626501.890000000596046
20190729,2200976.379999999888241,2096046.020000000018626,2178804.639999999664724,2006294.780000000027940,2183385.209999999962747,10665507.030000001192093
20190730,2189969.559999999590218,2115865.040000000037253,2261633.259999999776483,1980416.239999999990687,2179301.339999999850988,10727185.439999999478459
20190731,2145534.620000000111759,2108750.519999999552965,2217119.919999999925494,1932855.680000000167638,2146630.379999999888241,10550891.120000001043081
20190801,2121075.019999999552965,2126536.820000000298023,2192515.500000000000000,1932505.969999999972060,2127183.379999999888241,10499816.689999999478459
20190802,2133304.819999999366701,2146355.839999999850988,2187068.719999999739230,1944046.400000000139698,2127572.320000000298023,10538348.099999999627471
20190805,2105583.939999999478459,2112053.690000000409782,2123961.200000000186265,1931107.129999999888241,2057952.059999999823049,10330658.019999999552965
20190806,2130858.860000000335276,2143306.759999999776483,2146499.599999999627471,1925162.059999999823049,2086150.209999999962747,10431977.489999998360872
20190807,2167955.919999999925494,2140765.860000000335276,2169789.280000000260770,1926560.900000000139698,2104235.919999999925494,10509307.880000000819564
20190808,2188746.580000000074506,2152962.180000000633299,2205850.719999999739230,1952089.729999999981374,2110458.959999999962747,10610108.170000001788139
20190809,2177739.759999999776483,2173035.290000000037253,2193454.599999999627471,1950690.890000000130385,2086344.679999999934807,10581265.219999998807907
20190812,2168771.240000000223517,2160330.790000000037253,2179368.099999999627471,1947543.500000000000000,2044339.160000000149012,10500352.789999999105930
20190813,2181001.040000000037253,2187264.330000000074506,2202282.139999999664724,1971323.780000000027940,2088872.790000000037253,10630744.079999998211861
20190814,2160210.379999999888241,2119168.209999999962747,2174860.419999999925494,1948592.629999999888241,2065341.920000000158325,10468173.560000000521541
20190815,2196084.459999999962747,2120692.750000000000000,2204911.620000000111759,1968875.809999999823049,2191552.950000000186265,10682117.589999999850988
20190816,2218098.099999999627471,2161347.150000000372529,2238531.400000000372529,1981115.659999999916181,2197387.049999999813735,10796479.359999999403954
20190819,2229512.580000000074506,2190059.320000000298023,2258440.319999999366701,1993355.510000000009313,2213333.589999999850988,10884701.320000000298023
20190820,2196492.120000000111759,2176338.459999999962747,2233272.440000000409782,1967826.680000000167638,2179106.870000000111759,10753036.570000000298023
20190821,2205460.639999999664724,2208353.799999999813735,2238907.040000000037253,1979017.400000000139698,2178523.459999999962747,10810262.339999999850988
20190822,2221359.379999999888241,2203526.089999999850988,2243039.080000000074506,1985661.890000000130385,2176384.290000000037253,10829970.730000000447035
20190823,2190784.879999999888241,2158298.070000000298023,2203596.879999999888241,1955586.830000000074506,2155381.529999999795109,10663648.189999999478459
20190826,2223397.679999999701977,2182182.530000000260770,2241160.879999999888241,1983213.919999999925494,2177940.049999999813735,10807895.059999998658895
20190827,2230735.559999999590218,2173035.290000000037253,2264262.740000000223517,1999650.290000000037253,2186302.260000000242144,10853986.139999998733401
20190828,2246634.299999999813735,2197427.930000000633299,2280227.440000000409782,2026577.960000000195578,2192136.359999999869615,10943003.990000000223517
20190829,2244188.339999999850988,2203526.089999999850988,2276095.400000000372529,2026228.250000000000000,2218584.279999999795109,10968622.359999999403954
20190830,2243780.679999999701977,2197173.839999999850988,2258252.500000000000000,2033921.869999999878928,2222084.740000000223517,10955213.629999998956919
20190903,2254379.839999999850988,2201747.459999999962747,2279476.160000000149012,2029725.350000000093132,2229474.600000000093132,10994803.410000000149012
20190904,2273539.860000000335276,2186502.059999999590218,2314222.859999999403954,2034621.290000000037253,2254172.290000000037253,11063058.359999999403954
20190905,2247041.959999999962747,2187772.509999999776483,2305770.959999999962747,2048959.400000000139698,2245032.200000000186265,11034577.030000001192093
20190906,2251526.219999999739230,2199714.740000000223517,2307836.980000000447035,2065395.770000000018626,2231224.830000000074506,11055698.540000000968575
20190909,2222582.360000000335276,2120946.839999999850988,2294689.580000000074506,2051407.369999999878928,2262340.029999999795109,10951966.179999999701977
20190910,2217690.439999999478459,2075718.820000000065193,2251678.799999999813735,2088126.919999999925494,2256894.870000000111759,10890109.850000001490116
20190911,2232773.860000000335276,2106971.890000000596046,2277785.780000000260770,2102814.740000000223517,2256311.459999999962747,10976657.730000000447035
20190912,2246634.299999999813735,2116881.400000000372529,2305958.780000000260770,2113306.040000000037253,2273813.760000000242144,11056594.279999999329448
20190913,2211983.200000000186265,2099095.099999999627471,2293750.480000000447035,2096869.669999999925494,2283731.729999999981374,10985430.179999999701977
20190916,2199753.399999999441206,2084357.880000000121072,2249237.139999999664724,2080783.010000000009313,2247560.310000000055879,10861691.740000000223517
20190917,2211167.879999999888241,2096554.200000000186265,2275719.759999999776483,2093722.280000000027940,2265840.490000000223517,10943004.609999999403954
20190918,2210760.219999999739230,2109512.790000000037253,2280415.259999999776483,2095820.540000000037253,2278481.040000000037253,10974989.849999997764826
20190919,2222582.360000000335276,2133651.339999999850988,2289618.440000000409782,2097569.089999999850988,2277508.689999999944121,11020929.919999999925494
20190920,2197715.099999999627471,2163888.049999999813735,2296004.319999999366701,2108410.099999999627471,2274980.580000000074506,11040998.149999998509884
20190923,2207091.280000000260770,2143560.849999999627471,2314410.679999999701977,2105612.419999999925494,2287426.660000000149012,11058101.890000000596046
20190924,2213613.839999999850988,2124250.009999999776483,2321735.660000000149012,2116103.719999999739230,2302595.320000000298023,11078298.550000000745058
20190925,2208314.259999999776483,2111545.509999999776483,2310654.280000000260770,2107710.679999999701977,2303956.609999999869615,11042181.339999999850988
20190926,2217282.780000000260770,2131364.530000000260770,2334883.059999999590218,2113655.750000000000000,2300650.620000000111759,11097836.740000002086163
20190927,2214021.500000000000000,2106717.799999999813735,2339766.379999999888241,2108759.809999999590218,2303567.669999999925494,11072833.159999998286366
20190930,2219321.080000000074506,2138987.230000000447035,2336197.799999999813735,2110858.070000000298023,2308040.479999999981374,11113404.660000000149012
20191001,2227881.939999999478459,2124504.099999999627471,2326243.339999999850988,2093022.860000000102445,2291899.469999999739230,11063551.709999997168779
20191002,2163879.319999999366701,2073940.190000000176951,2274217.200000000186265,2060150.119999999878928,2258256.160000000149012,10830442.990000000223517
20191003,2194861.479999999515712,2102398.269999999552965,2286613.319999999366701,2063647.219999999972060,2261951.089999999850988,10909471.379999998956919
20191004,2223397.679999999701977,2159822.610000000335276,2329060.639999999664724,2094771.409999999916181,2297928.040000000037253,11104980.379999998956919
20191007,2196084.459999999962747,2144323.120000000111759,2307273.519999999552965,2107011.259999999776483,2279842.330000000074506,11034534.689999999478459
20191008,2184262.319999999366701,2116373.220000000670552,2271399.900000000372529,2088476.629999999888241,2286648.779999999795109,10947160.849999999627471
20191009,2194453.819999999366701,2138987.230000000447035,2291121.000000000000000,2070991.129999999888241,2312902.229999999981374,11008455.410000000149012
20191010,2187523.599999999627471,2128315.450000000186265,2290369.719999999739230,2092323.439999999944121,2326126.189999999944121,11024658.399999998509884
20191011,2172847.839999999850988,2143052.669999999925494,2274405.019999999552965,2095820.540000000037253,2338377.799999999813735,11024503.870000001043081
20191014,2172847.839999999850988,2151945.820000000298023,2254871.740000000223517,2084280.110000000102445,2317569.510000000242144,10981515.019999999552965
20191015,2181408.700000000186265,2160838.970000000670552,2201343.040000000037253,2117502.559999999590218,2324570.430000000167638,10985663.699999999254942
20191016,2180593.379999999888241,2145847.660000000149012,2207541.099999999627471,2108410.099999999627471,2322431.260000000242144,10964823.499999998137355
20191017,2192823.179999999701977,2129331.809999999590218,2190637.299999999813735,2112606.620000000111759,2330599.000000000000000,10955997.910000000149012
20191018,2233181.519999999552965,2151691.730000000447035,2206414.179999999701977,2134988.059999999590218,2316986.100000000093132,11043261.589999997988343
20191021,2210760.219999999739230,2147626.290000000037253,2236653.200000000186265,2124496.759999999776483,2328654.299999999813735,11048190.769999999552965
20191022,2195269.139999999664724,2065809.310000000055879,2294877.400000000372529,2125196.179999999701977,2325542.779999999795109,11006694.809999998658895
20191023,2227474.280000000260770,2105701.440000000409782,2310278.639999999664724,2129042.990000000223517,2321069.969999999739230,11093567.320000000298023
20191024,2226251.299999999813735,2098332.830000000074506,2343898.419999999925494,2118551.690000000409782,2316208.219999999739230,11103242.460000000894070
20191025,2191192.540000000037253,2090201.950000000186265,2314974.139999999664724,2111207.780000000260770,2315041.400000000372529,11022617.810000000521541
20191028,2183854.660000000149012,2088677.410000000149012,2319294.000000000000000,2104563.290000000037253,2318541.859999999869615,11014931.219999998807907
20191029,2177332.099999999627471,2162363.509999999776483,2321547.839999999850988,2104913.000000000000000,2278286.570000000298023,11044443.019999999552965
20191030,2198938.080000000074506,2190821.589999999850988,2346715.719999999739230,2126944.730000000447035,2296761.219999999739230,11160181.339999999850988
20191031,2218913.419999999925494,2202001.549999999813735,2338639.459999999962747,2114704.879999999888241,2280425.740000000223517,11154685.049999998882413
