代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10939881.219999998807907
真實報酬,939881.219999998807907

夏普值報酬,0.085288122000000
夏普值風險,0.040888478414466
夏普值,2.085871749383192

預期報酬,8260.734381513952030
風險,245250.553163855860475
趨勢值,0.033682836898618
找到最佳解世代,2699
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),CSCO[4](5),NKE[19](4),
20180515,3711784.080000000074506,3649490.419999999925494,3395875.080000000074506,10757150.580000000074506
20180516,3746424.000000000000000,3623812.660000000149012,3485779.320000000298023,10856016.980000000447035
20180517,3722733.480000000447035,3487399.560000000521541,3466234.919999999925494,10676368.960000000894070
20180518,3709196.040000000037253,3467338.810000000521541,3484802.099999999627471,10661337.949999999254942
20180521,3735474.600000000093132,3510670.030000000260770,3487733.759999999776483,10733879.390000000596046
20180522,3726117.839999999850988,3502645.729999999981374,3484313.490000000223517,10713078.060000000521541
20180523,3750007.440000000409782,3505053.020000000018626,3485779.320000000298023,10740840.780000001192093
20180524,3745826.760000000242144,3496226.290000000502914,3526822.560000000521541,10768876.610000001266599
20180525,3754387.200000000186265,3471350.959999999962747,3530242.830000000074506,10755981.990000000223517
20180529,3740849.760000000242144,3448080.490000000223517,3465257.700000000186265,10654188.949999999254942
20180530,3732886.560000000055879,3438451.330000000540167,3529265.610000000335276,10700604.500000000000000
20180531,3720344.520000000018626,3427217.310000000521541,3508255.379999999888241,10655818.210000000894070
20180601,3787434.480000000447035,3503448.160000000149012,3555161.940000000409782,10846045.580000001937151
20180604,3819088.200000000186265,3497028.720000000204891,3607443.209999999962747,10923561.129999998956919
20180605,3848552.040000000037253,3504250.590000000316650,3618192.629999999888241,10970996.260000001639128
20180606,3861890.399999999906868,3551593.959999999962747,3652395.330000000074506,11065880.689999999478459
20180607,3851538.240000000223517,3502645.729999999981374,3652883.940000000409782,11007068.910000000149012
20180608,3816500.159999999683350,3489004.419999999925494,3659724.480000000447035,10965230.060000000521541
20180611,3807143.399999999906868,3505855.450000000186265,3644577.570000000298023,10957577.419999999925494
20180612,3828046.800000000279397,3525916.200000000186265,3629919.270000000484288,10983883.269999999552965
20180613,3796592.159999999683350,3531533.209999999962747,3621124.290000000037253,10949250.660000000149012
20180614,3798582.960000000428408,3586098.450000000186265,3649952.280000000260770,11034634.690000001341105
20180615,3759563.280000000260770,3550791.530000000260770,3705653.820000000298023,11016009.630000000819564
20180618,3757572.480000000447035,3547581.810000000521541,3694415.790000000037253,10999571.080000001937151
20180619,3696853.080000000074506,3516287.040000000502914,3628453.440000000409782,10841594.560000002384186
20180620,3712978.560000000055879,3509867.600000000558794,3650929.500000000000000,10873776.660000000149012
20180621,3692274.240000000223517,3463326.660000000149012,3612817.919999999925494,10768419.820000000298023
20180622,3681523.919999999925494,3466536.380000000353903,3587898.810000000521541,10735960.110000001266599
20180625,3626776.919999999925494,3393515.250000000000000,3535128.929999999701977,10555422.099999999627471
20180626,3671769.000000000000000,3414378.430000000167638,3545389.740000000223517,10631538.169999999925494
20180627,3666393.839999999850988,3396724.970000000204891,3486267.929999999701977,10549387.740000000223517
20180628,3693070.560000000055879,3445673.200000000186265,3503369.280000000260770,10642114.039999999105930
20180629,3685306.440000000409782,3452895.070000000298023,3893280.060000000521541,11031482.570000000298023
20180702,3726516.000000000000000,3435241.610000000335276,3828294.929999999701977,10990053.539999999105930
20180703,3661615.919999999925494,3424007.590000000316650,3727152.660000000149012,10812777.169999999925494
20180705,3691079.760000000242144,3415180.860000000335276,3740345.129999999888241,10846606.750000000000000
20180706,3742243.319999999832362,3427217.310000000521541,3736924.860000000335276,10906386.490000002086163
20180709,3794203.200000000186265,3424007.590000000316650,3776013.660000000149012,10994225.450000001117587
20180710,3789624.359999999869615,3439253.760000000242144,3790183.349999999627471,11019062.469999998807907
20180711,3740451.600000000093132,3415983.290000000502914,3779922.540000000037253,10936358.429999999701977
20180712,3803161.800000000279397,3497028.720000000204891,3780411.150000000372529,11080602.670000001788139
20180713,3809134.200000000186265,3352591.320000000298023,3780899.759999999776483,10942626.280000001192093
20180716,3800772.839999999850988,3410366.280000000260770,3798978.330000000074506,11010118.449999999254942
20180717,3811523.159999999683350,3397527.400000000372529,3785297.250000000000000,10994348.810000000521541
20180718,3790619.760000000242144,3387095.810000000521541,3742299.570000000298023,10920016.140000000596046
20180719,3820083.600000000093132,3402341.979999999981374,3759889.530000000260770,10982316.109999999403954
20180720,3811324.080000000074506,3371047.209999999962747,3760378.139999999664724,10942750.429999999701977
20180723,3811324.080000000074506,3375059.360000000335276,3742299.570000000298023,10928684.010000001639128
20180724,3842380.560000000055879,3401539.550000000279397,3690506.910000000149012,10934428.019999999552965
20180725,3878613.120000000111759,3463326.660000000149012,3770150.339999999850988,11112091.120000001043081
20180726,3866469.240000000223517,3493016.570000000298023,3818522.730000000447035,11178009.540000000968575
20180727,3802166.399999999906868,3415983.290000000502914,3756957.870000000111759,10975108.560000000521541
20180730,3780864.839999999850988,3383886.090000000316650,3711517.139999999664724,10876269.070000000298023
20180731,3788429.879999999888241,3393515.250000000000000,3757935.089999999850988,10939881.219999998807907
