代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11881429.550000000745058
真實報酬,1881429.550000000745058

夏普值報酬,0.179442955000000
夏普值風險,0.054594062774781
夏普值,3.286858421588118

預期報酬,16764.152904376216611
風險,235094.972420423408039
趨勢值,0.071308002599038
找到最佳解世代,2108
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](3),INTC[11](5),NKE[19](2),
20180514,4083999.000000000931323,4081173.279999999329448,3797855.979999999981374,11963029.259999999776483
20180515,4064338.700000000186265,4008322.039999999571592,3834267.520000000018626,11906929.259999999776483
20180516,4035741.900000000372529,4061845.399999999441206,3935778.479999999981374,12033366.779999999329448
20180517,3883821.400000000372529,4074482.859999999869615,3913710.879999999888241,11872016.140000000596046
20180518,3861480.150000000372529,4074482.859999999869615,3934675.099999999627471,11870639.109999999403954
20180521,3909737.250000000465661,4038057.239999999757856,3937985.239999999757856,11885780.730000000447035
20180522,3900800.750000000465661,4047721.179999999701977,3934123.410000000149012,11882646.339999999850988
20180523,3903481.700000000651926,4104218.059999999590218,3935778.479999999981374,11943479.240000000223517
20180524,3893651.550000000279397,4070022.579999999608845,3982120.440000000409782,11945795.570000000298023
20180525,3865948.400000000372529,4121315.799999999348074,3985982.270000000018626,11973247.469999998807907
20180529,3840032.550000000279397,4112395.239999999757856,3912607.500000000000000,11865036.289999999105930
20180530,3829308.750000000465661,4139156.919999999459833,3984878.890000000130385,11953345.560000000521541
20180531,3816797.650000000372529,4103474.679999999701977,3961156.219999999739230,11881429.550000000745058
