代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12326398.339999999850988
真實報酬,2326398.339999999850988

夏普值報酬,0.223939834000000
夏普值風險,0.072466579474176
夏普值,3.090249817570089

預期報酬,23054.661542432168062
風險,167188.441891854570713
趨勢值,0.137896264128982
找到最佳解世代,1572
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
BA[2](11),MCD[15](10),MRK[17](9),MSFT[18](3),NKE[19](16),V[25](2),
20090825,1874071.600000000093132,1708739.909999999916181,1829944.780000000027940,1746030.320000000065193,1623116.259999999776483,1757333.860000000102445,10539240.730000000447035
20090826,1857370.400000000139698,1725387.859999999869615,1814949.789999999804422,1739652.830000000074506,1631355.399999999906868,1787896.060000000288710,10556616.339999999850988
20090827,2012730.400000000139698,1730230.899999999674037,1825501.819999999832362,1749573.370000000111759,1672551.100000000093132,1775671.180000000167638,10766262.769999999552965
20090828,1982435.199999999953434,1697237.689999999944121,1794956.469999999972060,1748864.760000000009313,1653718.780000000027940,1796045.979999999981374,10673262.879999998956919
20090831,1929224.400000000139698,1702383.419999999925494,1801065.539999999804422,1746738.929999999934807,1630178.379999999888241,1810308.340000000083819,10619903.009999999776483
20090901,1894268.400000000139698,1684222.019999999785796,1765521.859999999869615,1700679.280000000027940,1599575.859999999869615,1787896.060000000288710,10432167.480000000447035
20090902,1879897.600000000093132,1676049.389999999897555,1711095.599999999860302,1690758.739999999990687,1568973.339999999850988,1784839.840000000083819,10311618.509999999776483
20090903,1882228.000000000232831,1682103.189999999944121,1679439.509999999776483,1708473.989999999990687,1580743.539999999804422,1806233.380000000121072,10339225.610000001266599
20090904,1909027.600000000093132,1699356.519999999785796,1704986.529999999795109,1744613.100000000093132,1596044.800000000046566,1791971.020000000018626,10446003.570000000298023
20090908,1922621.600000000093132,1701778.039999999804422,1719981.519999999785796,1758785.300000000046566,1625470.300000000046566,1807252.119999999878928,10535892.879999998956919
20090909,1962626.800000000046566,1667574.070000000065193,1752192.979999999981374,1755950.860000000102445,1629001.359999999869615,1795027.240000000223517,10562377.310000000521541
20090910,1961073.200000000186265,1660309.510000000009313,1774963.149999999906868,1771540.280000000027940,1631355.399999999906868,1841889.280000000027940,10641134.819999998435378
20090911,1994475.600000000093132,1646385.769999999785796,1807174.609999999869615,1761619.739999999990687,1618408.179999999934807,1840870.540000000037253,10668938.440000001341105
20090914,1979716.400000000139698,1641542.729999999748543,1826612.559999999823049,1771540.280000000027940,1616054.139999999897555,1856151.639999999897555,10691621.750000000000000
20090915,2022440.400000000139698,1664244.479999999748543,1816060.530000000027940,1785712.479999999981374,1608992.020000000018626,1864301.560000000288710,10761755.470000000670552
20090916,2033704.000000000000000,1709345.289999999804422,1786625.919999999925494,1785712.479999999981374,1683144.280000000027940,1886713.840000000083819,10885249.809999998658895
20090917,2053900.800000000279397,1709042.599999999860302,1777739.999999999767169,1792798.580000000074506,1709038.719999999972060,1879582.659999999916181,10922107.360000001266599
20090918,2059338.400000000139698,1725387.859999999869615,1770520.189999999944121,1789964.140000000130385,1724339.979999999981374,1879582.659999999916181,10949137.230000000447035
20090921,2053124.000000000000000,1699356.519999999785796,1767187.969999999972060,1792798.580000000074506,1723162.959999999962747,1869395.260000000242144,10905029.289999999105930
20090922,2063999.200000000186265,1689367.750000000000000,1739974.839999999850988,1826103.250000000000000,1723162.959999999962747,1894863.760000000242144,10937475.759999999776483
20090923,2034092.399999999906868,1681195.119999999878928,1739974.839999999850988,1821851.590000000083819,1716100.839999999850988,1882638.880000000121072,10875857.669999999925494
20090924,2011565.199999999953434,1698751.139999999897555,1722203.000000000000000,1838149.620000000111759,1711392.759999999776483,1872451.479999999981374,10854517.199999999254942
20090925,2001078.400000000139698,1723874.409999999916181,1735531.879999999888241,1810513.830000000074506,1725517.000000000000000,1800120.940000000176951,10796640.459999999031425
20090928,2061280.400000000139698,1730533.589999999850988,1778850.739999999990687,1830354.909999999916181,1736110.179999999934807,1812345.820000000065193,10949479.640000000596046
20090929,2121482.399999999906868,1730533.589999999850988,1768854.080000000074506,1824686.030000000027940,1767889.719999999972060,1771596.220000000204891,10985046.040000000968575
20090930,2103227.600000000093132,1727506.689999999944121,1756635.939999999944121,1822560.199999999953434,1904424.039999999804422,1760390.080000000307336,11074748.550000000745058
20091001,2023994.000000000000000,1717517.919999999925494,1731644.289999999804422,1763036.959999999962747,1839687.939999999944121,1760390.080000000307336,10836275.189999999478459
20091002,1996417.600000000093132,1716609.849999999860302,1757746.679999999701977,1768705.840000000083819,1825563.699999999953434,1726771.659999999916181,10791819.330000000074506
20091005,2030596.800000000046566,1713582.949999999953434,1764411.119999999878928,1746030.320000000065193,1847927.079999999841675,1735940.320000000065193,10838492.589999999850988
20091006,2030985.199999999953434,1738706.219999999739230,1805508.499999999767169,1779334.989999999990687,1856166.219999999972060,1738996.540000000037253,10949701.670000001788139
20091007,2011565.199999999953434,1729625.519999999785796,1787736.659999999683350,1778626.380000000121072,1866759.399999999906868,1805214.639999999897555,10979531.799999998882413
20091008,2031373.600000000093132,1721452.889999999897555,1801065.539999999804422,1819017.150000000139698,1884414.700000000186265,1826608.180000000167638,11083936.060000000521541
20091009,2046521.199999999953434,1716307.159999999916181,1808285.350000000093132,1810513.830000000074506,1871467.479999999981374,1858189.119999999878928,11111288.139999998733401
20091012,2006516.000000000000000,1715701.779999999795109,1824946.449999999953434,1822560.199999999953434,1860874.300000000046566,1877545.180000000167638,11108147.910000000149012
20091013,2015837.600000000093132,1726901.309999999823049,1800510.169999999925494,1828937.689999999944121,1873821.520000000018626,1901994.940000000176951,11148007.229999998584390
20091014,2039530.000000000000000,1740522.359999999869615,1827167.929999999701977,1839566.840000000083819,1910309.139999999897555,1905051.159999999916181,11262151.429999999701977
20091015,2010400.000000000000000,1761710.659999999916181,1849382.729999999748543,1892712.590000000083819,1911486.159999999683350,1912182.340000000083819,11337878.479999998584390
20091016,2065941.199999999953434,1779266.679999999934807,1844384.399999999906868,1877831.780000000027940,1915017.219999999972060,1891807.540000000037253,11374252.820000000298023
20091019,2076039.600000000093132,1794401.179999999934807,1873263.639999999664724,1867911.239999999990687,1944442.719999999972060,1909126.119999999878928,11465188.500000000000000
20091020,2015449.200000000186265,1783504.339999999850988,1872708.269999999785796,1868619.850000000093132,1915017.219999999972060,1911163.600000000325963,11366466.480000000447035
20091021,1966510.800000000279397,1765645.629999999888241,1814949.789999999804422,1883500.659999999916181,1905601.060000000055879,1915238.560000000288710,11251450.500000000000000
20091022,1983600.400000000139698,1801060.359999999869615,1825501.819999999832362,1884209.270000000018626,1918548.280000000027940,1927463.440000000176951,11340387.569999998435378
20091023,1937769.200000000186265,1798941.529999999795109,1801065.539999999804422,1985540.500000000000000,1887945.759999999776483,1887732.580000000307336,11298999.109999999403954
20091026,1875625.199999999953434,1791979.659999999916181,1778295.370000000111759,2032308.760000000009313,1876175.559999999823049,1854114.159999999916181,11208502.710000000894070
20091027,1854651.600000000093132,1786531.239999999990687,1801065.539999999804422,2025931.270000000018626,1885591.719999999972060,1882638.880000000121072,11236414.250000001862645
20091028,1834066.400000000139698,1775029.019999999785796,1779961.479999999748543,1985540.500000000000000,1840864.959999999962747,1949875.720000000204891,11165342.080000000074506
20091029,1895822.000000000232831,1790163.519999999785796,1738864.099999999860302,1999712.699999999953434,1874998.539999999804422,1968213.040000000037253,11267777.899999998509884
20091030,1856593.600000000093132,1774120.949999999953434,1717760.039999999804422,1964990.810000000055879,1830271.780000000027940,1929500.920000000158325,11073242.099999999627471
20091102,1874848.400000000139698,1790768.899999999674037,1736087.250000000000000,1975619.959999999962747,1839687.939999999944121,1968213.040000000037253,11185229.489999998360872
20091103,1868245.600000000093132,1793190.419999999925494,1703320.419999999925494,1950818.610000000102445,1844396.020000000018626,1977381.700000000186265,11137356.769999999552965
20091104,1867080.400000000139698,1824972.869999999878928,1812728.309999999823049,1988374.939999999944121,1845573.039999999804422,1994700.280000000027940,11333433.839999997988343
20091105,1933108.400000000139698,1860992.979999999748543,1816615.899999999906868,2017427.949999999953434,1905601.060000000055879,2027299.959999999962747,11561050.250000000000000
20091106,1929612.800000000046566,1868257.539999999804422,1809951.459999999962747,2020971.000000000000000,1899715.959999999962747,2029337.440000000176951,11557850.199999999254942
20091109,1994475.600000000093132,1896105.019999999785796,1856602.539999999804422,2054275.669999999925494,1922079.339999999618158,2067030.820000000065193,11790572.990000000223517
20091110,1954470.400000000139698,1885208.179999999934807,1866599.199999999953434,2055692.890000000130385,1897361.920000000158325,2064993.340000000083819,11724329.929999999701977
20091111,1968452.800000000046566,1901856.129999999888241,1844939.769999999785796,2063487.600000000093132,1910309.139999999897555,2057862.159999999916181,11746911.599999999627471
20091112,1952916.800000000046566,1881878.589999999850988,1831610.889999999664724,2080494.239999999990687,1885591.719999999972060,2035449.880000000121072,11667946.120000001043081
20091113,1968452.800000000046566,1924557.879999999888241,1838275.330000000074506,2099626.709999999962747,1896184.899999999906868,2037487.360000000102445,11764588.979999998584390
20091116,2038364.800000000046566,1953313.429999999934807,1877706.600000000093132,2093249.219999999972060,1944442.719999999972060,2026281.220000000204891,11933361.990000000223517
20091117,2040306.800000000046566,1924255.189999999944121,1904364.359999999869615,2125845.280000000260770,1911486.159999999683350,2051749.720000000204891,11958011.509999999776483
20091118,2020498.400000000139698,1936665.479999999748543,1951570.809999999823049,2133639.990000000223517,1896184.899999999906868,2047674.760000000242144,11986238.339999999850988
20091119,1997582.800000000046566,1919412.149999999674037,1962122.839999999850988,2110255.860000000335276,1870290.459999999962747,2042581.060000000288710,11902249.169999999925494
20091120,2008069.600000000093132,1936362.789999999804422,2024879.649999999906868,2098918.100000000558794,1880883.639999999897555,2037487.360000000102445,11986605.139999998733401
20091123,2044190.800000000279397,1936968.169999999925494,2022658.169999999925494,2121593.620000000111759,1897361.920000000158325,2048693.500000000000000,12071470.180000001564622
20091124,2018556.400000000139698,1943930.039999999804422,2011550.769999999785796,2119467.790000000037253,1898538.939999999711290,2053787.200000000186265,12045835.140000000596046
20091125,2055842.800000000046566,1950891.909999999916181,2030988.719999999972060,2110964.469999999739230,1933849.539999999804422,2083330.659999999916181,12165872.099999999627471
20091127,2037199.600000000093132,1925163.260000000009313,2015438.359999999869615,2070573.699999999953434,1913840.200000000186265,2045637.280000000027940,12007856.400000000372529
20091130,2035646.000000000000000,1914569.109999999869615,2010995.399999999906868,2084037.290000000037253,1909132.119999999878928,2062955.860000000102445,12017339.779999999329448
20091201,2086526.400000000139698,1923347.119999999878928,2048205.189999999944121,2126553.890000000596046,1924433.380000000121072,2112874.120000000111759,12221944.100000001490116
20091202,2088856.800000000046566,1891867.359999999869615,2043762.229999999748543,2110255.860000000335276,1923256.359999999869615,2094536.800000000046566,12152539.410000000149012
20091203,2088468.400000000139698,1875824.789999999804422,2042096.120000000111759,2113798.910000000149012,1903247.020000000251457,2038506.100000000325963,12061945.339999999850988
20091204,2123812.800000000279397,1864322.570000000065193,2038208.530000000027940,2124428.060000000521541,1892653.839999999618158,2044618.540000000037253,12088048.339999999850988
20091207,2168090.399999999906868,1874614.029999999795109,2038208.530000000027940,2110964.469999999739230,1899715.959999999962747,2035449.880000000121072,12127047.270000001415610
20091208,2161876.000000000000000,1834658.949999999953434,2018770.580000000074506,2095375.050000000046566,1869113.439999999944121,2037487.360000000102445,12017285.379999998956919
20091209,2154496.399999999906868,1834356.260000000009313,2063200.179999999701977,2105295.589999999850988,1823209.659999999916181,2082311.920000000158325,12062874.009999999776483
20091210,2136630.000000000000000,1847977.309999999823049,2084859.609999999869615,2116633.350000000558794,1845573.039999999804422,2096574.280000000027940,12128251.589999999850988
20091211,2159545.600000000093132,1866441.399999999674037,2058757.219999999972060,2115216.129999999888241,1879706.620000000111759,2072124.520000000018626,12151795.489999998360872
20091214,2177023.600000000093132,1880970.519999999785796,2097633.120000000111759,2133639.990000000223517,1887945.759999999776483,2158717.419999999925494,12335934.410000000149012
20091215,2162264.400000000372529,1876732.859999999869615,2110406.629999999888241,2127262.500000000000000,1893830.859999999869615,2194373.320000000298023,12364874.570000000298023
20091216,2141290.800000000279397,1889445.839999999850988,2096522.379999999888241,2132931.379999999888241,1884414.700000000186265,2216785.600000000558794,12361394.699999999254942
20091217,2115656.399999999906868,1874311.339999999850988,2070419.989999999990687,2097500.879999999888241,1860874.300000000046566,2216785.600000000558794,12235552.510000001639128
20091218,2075651.199999999953434,1881878.589999999850988,2077084.429999999701977,2151355.240000000223517,1896184.899999999906868,2265685.120000000111759,12347843.480000000447035
20091221,2109053.600000000093132,1896710.399999999674037,2093190.159999999683350,2162693.000000000000000,1909132.119999999878928,2229010.480000000447035,12399793.759999999776483
20091222,2140125.600000000093132,1906093.789999999804422,2096522.379999999888241,2183951.299999999813735,1915017.219999999972060,2198448.280000000260770,12440162.570000000298023
20091223,2134688.000000000000000,1917898.699999999953434,2068753.879999999888241,2191037.400000000372529,1925610.399999999906868,2194373.320000000298023,12432365.700000001117587
20091224,2154884.799999999813735,1919714.839999999850988,2054314.260000000009313,2196706.280000000260770,1919725.299999999813735,2197429.540000000037253,12442779.019999999552965
20091228,2141679.200000000186265,1925465.949999999953434,2070975.359999999869615,2208752.650000000372529,1927964.439999999711290,2209654.419999999925494,12484496.019999999552965
20091229,2144398.000000000000000,1924860.570000000065193,2060423.330000000074506,2224342.070000000298023,1947973.780000000027940,2242254.100000000558794,12544255.850000001490116
20091230,2134688.000000000000000,1903672.269999999785796,2058201.850000000093132,2193871.839999999850988,1946796.759999999776483,2245310.320000000298023,12482545.039999999105930
20091231,2102450.800000000279397,1890051.219999999739230,2029322.609999999869615,2159858.560000000521541,1944442.719999999972060,2227991.740000000223517,12354121.650000000372529
20100104,2182072.800000000279397,1900342.679999999934807,2055424.999999999767169,2193163.229999999515712,1923256.359999999869615,2245310.320000000298023,12499574.390000000596046
20100105,2253538.400000000372529,1885813.559999999823049,2063755.549999999813735,2193871.839999999850988,1930318.479999999748543,2218823.080000000074506,12546124.910000000149012
20100106,2321896.800000000279397,1860084.909999999916181,2091524.049999999813735,2180408.250000000000000,1918548.280000000027940,2189279.620000000111759,12561745.910000000149012
20100107,2415889.600000000093132,1873705.959999999729916,2094856.269999999785796,2157732.729999999515712,1937380.600000000093132,2209654.419999999925494,12689223.579999998211861
20100108,2392585.600000000093132,1871889.820000000065193,2093745.530000000027940,2172613.540000000037253,1933849.539999999804422,2215766.860000000335276,12680454.890000000596046
20100111,2364232.399999999906868,1886418.939999999944121,2102076.080000000074506,2144977.750000000000000,1910309.139999999897555,2209654.419999999925494,12617672.730000000447035
20100112,2347142.800000000279397,1896710.399999999674037,2085414.979999999748543,2130805.549999999813735,1906778.079999999841675,2199467.020000000484288,12566322.830000001937151
20100113,2375496.000000000000000,1894591.570000000065193,2162056.040000000037253,2150646.629999999888241,1924433.380000000121072,2219841.820000000298023,12727069.440000001341105
20100114,2391032.000000000000000,1896407.709999999729916,2220925.259999999776483,2193871.839999999850988,1912663.179999999934807,2226973.000000000000000,12841876.989999998360872
20100115,2362290.399999999906868,1885208.179999999934807,2192046.020000000018626,2186785.740000000223517,1895007.880000000121072,2194373.320000000298023,12715715.540000000968575
20100119,2355687.600000000093132,1921530.979999999748543,2255913.569999999832362,2203792.379999999888241,1904424.039999999804422,2237160.400000000372529,12878512.970000000670552
20100120,2338209.600000000093132,1907304.549999999813735,2278683.739999999757856,2167653.269999999552965,1889122.780000000027940,2226973.000000000000000,12807950.939999999478459
20100121,2299369.600000000093132,1913055.659999999916181,2225923.589999999850988,2126553.890000000596046,1872644.500000000000000,2150567.500000000000000,12588118.740000000223517
20100122,2243828.400000000372529,1918806.769999999785796,2158723.819999999832362,2052149.840000000083819,1853812.179999999934807,2106761.679999999701977,12334086.689999999478459
20100125,2244216.800000000279397,1909726.070000000065193,2152614.750000000000000,2077659.800000000046566,1873821.520000000018626,2089443.100000000325963,12347486.039999999105930
20100126,2241498.000000000000000,1931519.750000000000000,2142618.089999999850988,2090414.780000000027940,1876175.559999999823049,2067030.820000000065193,12349261.000000000000000
20100127,2405402.800000000279397,1929098.229999999748543,2145950.310000000055879,2102461.150000000372529,1883237.679999999934807,2137323.879999999888241,12603478.050000000745058
20100128,2429872.000000000000000,1901856.129999999888241,2108740.520000000018626,2066322.040000000037253,1869113.439999999944121,2104724.200000000186265,12480632.330000001937151
20100129,2353745.600000000093132,1889748.529999999795109,2120403.290000000037253,1996878.260000000009313,1876175.559999999823049,2089443.100000000325963,12326398.339999999850988
