訓練日期,20111208 - 20120313
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12037648.580000000074506
真實報酬,2037648.580000000074506

夏普值報酬,0.195064858000000
夏普值風險,0.052688359580553
夏普值,3.702238208835766

預期報酬,29542.277111514435092
風險,77081.398442667748895
趨勢值,0.383260782865631
找到最佳解世代,2200
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
AAPL[0](4),MCD[15](18),MSFT[18](1),PFE[20](19),
20120127,2874233.600000000093132,2558060.799999999813735,2854491.279999999795109,2623350.290000000037253,10910135.969999998807907
20120130,2911117.200000000186265,2558060.799999999813735,2891600.560000000055879,2635563.189999999944121,10996341.750000000000000
20120131,2933157.399999999906868,2567392.000000000000000,2883788.080000000074506,2613579.969999999739230,10997917.449999999254942
20120201,2931358.200000000186265,2550544.000000000000000,2918944.239999999757856,2602588.359999999869615,11003434.799999998882413
20120202,2924611.199999999720603,2556246.399999999906868,2924803.599999999627471,2578162.560000000055879,10983823.759999999776483
20120203,2953848.200000000186265,2592275.200000000186265,2953123.839999999850988,2589154.169999999925494,11088401.410000000149012
20120206,2981286.000000000000000,2578796.799999999813735,2949217.599999999627471,2558621.919999999925494,11067922.319999998435378
20120207,3012772.000000000465661,2615603.199999999720603,2963866.000000000000000,2570834.820000000298023,11163076.019999999552965
20120208,3063149.599999999627471,2593312.000000000000000,2994139.359999999869615,2565949.660000000149012,11216550.619999999180436
20120209,3168852.600000000093132,2591756.799999999813735,3004881.520000000018626,2581826.430000000167638,11347317.349999999627471
20120210,3170651.799999999813735,2578278.399999999906868,2978514.399999999906868,2570834.820000000298023,11298279.419999999925494
20120213,3229575.600000000093132,2582944.000000000000000,2986326.879999999888241,2601367.070000000298023,11400213.550000000745058
20120214,3273656.000000000000000,2580352.000000000000000,2954100.399999999906868,2605030.939999999944121,11413139.339999999850988
20120215,3198089.599999999627471,2555987.200000000186265,2934569.200000000186265,2578162.560000000055879,11266808.560000000521541
20120216,3226876.799999999813735,2572835.200000000186265,3055662.639999999664724,2605030.939999999944121,11460405.580000000074506
20120217,3226427.000000000465661,2591756.799999999813735,3051756.399999999906868,2587932.880000000353903,11457873.080000001937151
20120221,3308290.600000000093132,2604716.799999999813735,3070311.040000000037253,2591596.750000000000000,11574915.190000001341105
20120222,3296595.800000000279397,2609123.199999999720603,3053709.520000000018626,2608694.810000000055879,11568123.330000000074506
20120223,3318186.199999999720603,2613011.200000000186265,3063475.120000000111759,2568392.240000000223517,11563064.759999999776483
20120224,3356869.000000000000000,2600310.399999999906868,3074217.279999999795109,2586711.589999999850988,11618108.269999999552965
20120227,3378459.399999999906868,2601347.200000000186265,3061522.000000000000000,2596481.910000000149012,11637810.509999999776483
20120228,3440531.799999999813735,2586313.600000000093132,3112303.120000000111759,2591596.750000000000000,11730745.269999999552965
20120229,3485511.799999999813735,2573353.600000000093132,3099607.839999999850988,2580605.140000000130385,11739078.380000000819564
20120301,3498556.000000000000000,2572576.000000000000000,3153318.639999999664724,2624571.580000000074506,11849022.220000000670552
20120302,3503054.000000000000000,2579056.000000000000000,3132810.879999999888241,2614801.260000000242144,11829722.139999998733401
20120305,3426138.200000000186265,2590460.799999999813735,3105467.200000000186265,2625792.870000000111759,11747859.070000000298023
20120306,3407246.600000000093132,2589164.799999999813735,3082029.759999999776483,2597703.200000000186265,11676144.359999999403954
20120307,3409945.400000000372529,2596681.600000000093132,3109373.439999999944121,2609916.100000000093132,11725916.539999999105930
20120308,3482813.000000000465661,2513219.199999999720603,3125974.959999999497086,2620907.710000000428408,11742914.870000001043081
20120309,3503054.000000000000000,2510108.800000000279397,3124021.839999999850988,2623350.290000000037253,11760534.929999999701977
20120312,3547134.399999999906868,2505443.199999999720603,3128904.639999999664724,2630678.029999999795109,11812160.269999997690320
20120313,3650588.399999999906868,2508553.600000000093132,3190427.919999999925494,2688078.660000000149012,12037648.580000000074506
