代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11626907.900000002235174
真實報酬,1626907.900000002235174

夏普值報酬,0.153990790000000
夏普值風險,0.048208628803522
夏普值,3.194257829394028

預期報酬,28633.830591459296556
風險,63048.034067564272846
趨勢值,0.454158976008267
找到最佳解世代,3238
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,8
AXP[1](20),CAT[3](8),DIS[6](7),HD[9](2),MSFT[18](18),NKE[19](3),WBA[27](5),WMT[28](4),
20171109,1226837.780000000027940,1245766.159999999916181,1312233.729999999981374,1231074.600000000093132,1263674.570000000065193,1275913.340000000083819,1311678.740000000223517,1292804.840000000083819,10159983.759999999776483
20171110,1223828.000000000000000,1256258.719999999739230,1339069.630000000121072,1237408.200000000186265,1260368.629999999888241,1275004.100000000093132,1339028.639999999897555,1301680.760000000009313,10232646.679999999701977
20171113,1228800.680000000167638,1256718.919999999925494,1338558.469999999972060,1246757.800000000046566,1261270.250000000000000,1270912.520000000018626,1327334.200000000186265,1302682.879999999888241,10233035.719999998807907
20171114,1226968.640000000130385,1266014.959999999729916,1318495.439999999944121,1267191.199999999953434,1263073.489999999757856,1272503.689999999944121,1331483.840000000083819,1304114.479999999981374,10249845.739999998360872
20171115,1220425.640000000130385,1234353.199999999720603,1325140.520000000018626,1247662.600000000093132,1246994.599999999860302,1287278.840000000083819,1324127.660000000149012,1286076.320000000065193,10172059.379999998956919
20171116,1224351.439999999944121,1255154.239999999990687,1323990.409999999916181,1262968.800000000046566,1250300.540000000037253,1300917.439999999944121,1344875.859999999869615,1426229.960000000195578,10388788.689999999478459
20171117,1226052.620000000111759,1253037.319999999832362,1321945.770000000018626,1264778.400000000139698,1238278.939999999944121,1345470.199999999953434,1343932.760000000009313,1395450.560000000055879,10388946.570000002160668
20171120,1229454.979999999981374,1260216.439999999711290,1313128.260000000009313,1285211.800000000046566,1240232.449999999953434,1346834.060000000055879,1335067.620000000111759,1395593.720000000204891,10405739.330000000074506
20171121,1235474.540000000037253,1266567.199999999720603,1316323.010000000009313,1303383.200000000186265,1258114.579999999841675,1350016.400000000139698,1342235.179999999934807,1381850.359999999869615,10453964.470000000670552
20171122,1227753.800000000046566,1270340.839999999618158,1313000.469999999972060,1297351.199999999953434,1248948.109999999869615,1342742.479999999981374,1345441.719999999972060,1380275.600000000093132,10425854.220000000670552
20171124,1223304.560000000055879,1264634.359999999636784,1311722.570000000065193,1299387.000000000232831,1251202.159999999916181,1348425.229999999981374,1325636.620000000111759,1383281.960000000195578,10407594.460000000894070
20171127,1223173.699999999953434,1262793.559999999823049,1313639.420000000158325,1313185.199999999953434,1260368.629999999888241,1355471.840000000083819,1308849.439999999944121,1383281.960000000195578,10420763.750000000000000
20171128,1246859.360000000102445,1279360.760000000009313,1321562.399999999906868,1331356.600000000093132,1275545.899999999906868,1354335.290000000037253,1362606.139999999897555,1385429.359999999869615,10557055.809999998658895
20171129,1264132.879999999888241,1270801.039999999804422,1344947.969999999972060,1336483.800000000046566,1252404.320000000065193,1372065.469999999972060,1356570.300000000046566,1396739.000000000000000,10594144.779999999329448
20171130,1278658.339999999850988,1299241.399999999906868,1339580.790000000037253,1355861.600000000093132,1264876.729999999981374,1373429.330000000074506,1372414.380000000121072,1392014.720000000204891,10676077.290000000968575
20171201,1280621.239999999990687,1302646.879999999888241,1345075.760000000009313,1360385.599999999860302,1266229.159999999916181,1361154.590000000083819,1347705.160000000149012,1393732.639999999897555,10657551.030000001192093
20171204,1290174.020000000018626,1302462.799999999813735,1408587.389999999897555,1394164.800000000046566,1218443.299999999813735,1366155.410000000149012,1349968.599999999860302,1388865.200000000186265,10718821.519999999552965
20171205,1291744.339999999850988,1289945.359999999636784,1370250.389999999897555,1378707.800000000046566,1226107.070000000065193,1373429.330000000074506,1323750.420000000158325,1400604.320000000065193,10654539.029999999329448
20171206,1285201.339999999850988,1291786.159999999916181,1347759.349999999860302,1363250.800000000046566,1243989.199999999953434,1357517.630000000121072,1340160.359999999869615,1392730.520000000018626,10622395.359999999403954
20171207,1290043.159999999916181,1315256.359999999636784,1345203.550000000046566,1372298.800000000046566,1239631.369999999878928,1377520.910000000149012,1312999.080000000074506,1385572.520000000018626,10638525.750000000000000
20171208,1289650.580000000074506,1324184.239999999990687,1332041.180000000167638,1382930.199999999953434,1264726.459999999729916,1393432.610000000102445,1349591.359999999869615,1382279.840000000083819,10718836.470000000670552
20171211,1295539.280000000027940,1323355.879999999888241,1365266.580000000074506,1374183.800000000046566,1280805.349999999860302,1407298.520000000018626,1355815.819999999832362,1387719.920000000158325,10789985.150000000372529
20171212,1300381.100000000093132,1320134.479999999748543,1372933.979999999981374,1370790.800000000046566,1286064.799999999813735,1413208.580000000074506,1358267.880000000121072,1384427.239999999990687,10806208.860000001266599
20171213,1279574.360000000102445,1367535.079999999841675,1375234.199999999953434,1380065.000000000000000,1282608.589999999850988,1461625.610000000102445,1352797.899999999906868,1399602.200000000186265,10899042.940000001341105
20171214,1271330.180000000167638,1346457.919999999925494,1413060.040000000037253,1373279.000000000000000,1272690.769999999785796,1466853.739999999990687,1327145.580000000074506,1390583.119999999878928,10861400.349999999627471
20171215,1289258.000000000000000,1350231.559999999823049,1422005.339999999850988,1376672.000000000232831,1305149.089999999850988,1472763.800000000279397,1356947.540000000037253,1390296.800000000046566,10963324.129999998956919
20171218,1304437.760000000009313,1378579.879999999888241,1418938.380000000121072,1392883.000000000000000,1298086.399999999906868,1473218.420000000158325,1368453.359999999869615,1401606.440000000176951,11036203.639999998733401
20171219,1297502.180000000167638,1389072.439999999711290,1428906.000000000000000,1402308.000000000000000,1289821.549999999813735,1460261.750000000000000,1361663.040000000037253,1414490.840000000083819,11044025.800000000745058
20171220,1289127.140000000130385,1403890.879999999888241,1401814.520000000018626,1412336.199999999953434,1285163.179999999934807,1445486.600000000093132,1371659.899999999906868,1413775.040000000037253,11023253.460000000894070
20171221,1288996.280000000027940,1423403.359999999636784,1400281.040000000037253,1418142.000000000232831,1284862.639999999897555,1472309.179999999934807,1381656.760000000009313,1403897.000000000000000,11073548.259999999776483
20171222,1292136.919999999925494,1433619.799999999813735,1388779.939999999944121,1418519.000000000000000,1285012.909999999916181,1438667.300000000046566,1371471.279999999795109,1406044.399999999906868,11034251.550000000745058
20171226,1289912.300000000046566,1439970.559999999823049,1381751.489999999990687,1435333.200000000186265,1283359.939999999944121,1446850.459999999962747,1382599.859999999869615,1419644.600000000093132,11079422.410000000149012
20171227,1297240.459999999962747,1449910.879999999888241,1375617.570000000065193,1434051.400000000139698,1288018.309999999823049,1430938.760000000009313,1374300.580000000074506,1421076.200000000186265,11071154.160000000149012
20171228,1304699.479999999981374,1458194.479999999748543,1377278.839999999850988,1430960.000000000000000,1288168.579999999841675,1430938.760000000009313,1375809.540000000037253,1423080.440000000176951,11089130.119999999180436
20171229,1299595.939999999944121,1450463.119999999878928,1373956.300000000046566,1429075.000000000000000,1285463.719999999972060,1421846.360000000102445,1369773.700000000186265,1413775.040000000037253,11043949.179999999701977
20180102,1294754.120000000111759,1445492.959999999729916,1428778.209999999962747,1417765.000000000000000,1291624.790000000037253,1443213.500000000000000,1413722.160000000149012,1411484.479999999981374,11146835.220000000670552
20180103,1302736.580000000074506,1447701.919999999925494,1434912.130000000121072,1425154.199999999953434,1297635.589999999850988,1442986.189999999944121,1424284.880000000121072,1423796.239999999990687,11199207.730000000447035
20180104,1319748.379999999888241,1467582.559999999823049,1434273.180000000167638,1436464.199999999953434,1309056.109999999869615,1442076.949999999953434,1350534.459999999962747,1425084.680000000167638,11184820.519999999552965
20180105,1322758.159999999916181,1490776.639999999897555,1426477.989999999990687,1451468.800000000046566,1325285.269999999785796,1454351.689999999944121,1375432.300000000046566,1433531.119999999878928,11280081.969999998807907
20180108,1310588.180000000167638,1528236.919999999925494,1406031.589999999850988,1448000.399999999906868,1326637.699999999953434,1467308.360000000102445,1392973.959999999962747,1454718.800000000046566,11334495.910000000149012
20180109,1315430.000000000000000,1531918.519999999785796,1405009.270000000018626,1455992.800000000046566,1325736.079999999841675,1456852.100000000093132,1384863.300000000046566,1437253.280000000027940,11313055.349999999627471
20180110,1324590.199999999953434,1526764.279999999795109,1399003.139999999897555,1446190.800000000046566,1319725.279999999795109,1459807.130000000121072,1397312.219999999972060,1426945.760000000009313,11300338.810000000521541
20180111,1318178.060000000055879,1557413.599999999627471,1418427.219999999972060,1467906.000000000000000,1323632.299999999813735,1461398.300000000279397,1421832.819999999832362,1431956.359999999869615,11400744.660000000149012
20180112,1321318.699999999953434,1567538.000000000000000,1437340.139999999897555,1481025.599999999860302,1346473.339999999850988,1470036.080000000074506,1434847.599999999860302,1444124.960000000195578,11502704.419999999925494
20180116,1313074.520000000018626,1558426.039999999804422,1414593.520000000018626,1480196.199999999953434,1327689.589999999850988,1441622.330000000074506,1434093.120000000111759,1441548.080000000074506,11411243.400000000372529
20180117,1318570.640000000130385,1550970.799999999813735,1430950.639999999897555,1506661.600000000093132,1354587.919999999925494,1450487.420000000158325,1429377.620000000111759,1470323.239999999990687,11511929.880000000819564
20180118,1306793.239999999990687,1554008.119999999878928,1411143.189999999944121,1495427.000000000232831,1353986.839999999850988,1457306.719999999972060,1433527.260000000009313,1493228.840000000083819,11505421.209999999031425
20180119,1282845.860000000102445,1568550.439999999711290,1413315.620000000111759,1518047.000000000232831,1352484.139999999897555,1527772.819999999832362,1442392.399999999906868,1497380.479999999981374,11602788.759999999776483
20180122,1286640.800000000046566,1572968.359999999636784,1419832.909999999916181,1541647.200000000186265,1376677.609999999869615,1509133.400000000139698,1459934.060000000055879,1509692.239999999990687,11676526.580000000074506
20180123,1282191.560000000055879,1559530.519999999785796,1411015.399999999906868,1544964.800000000046566,1381035.439999999944121,1526181.650000000139698,1452766.500000000000000,1516134.440000000176951,11673820.310000000521541
20180124,1299465.080000000074506,1549498.159999999916181,1412165.510000000009313,1554917.600000000093132,1379833.279999999795109,1545730.310000000055879,1458613.719999999972060,1514559.680000000167638,11714783.339999999850988
20180125,1304568.620000000111759,1558978.279999999795109,1412804.459999999962747,1548508.600000000093132,1387497.049999999813735,1539138.319999999832362,1476344.000000000000000,1526155.639999999897555,11753994.969999998807907
20180126,1303783.459999999962747,1537717.039999999804422,1433762.020000000018626,1562533.000000000000000,1413493.760000000009313,1546639.550000000279397,1492942.560000000055879,1551781.280000000027940,11842652.669999999925494
20180129,1300904.540000000037253,1496483.119999999878928,1425455.670000000158325,1545115.599999999860302,1411389.979999999981374,1536183.290000000037253,1514068.000000000000000,1568387.840000000083819,11797988.039999999105930
20180130,1291744.339999999850988,1507343.839999999618158,1407181.699999999953434,1521666.199999999953434,1393658.119999999878928,1530500.540000000037253,1435979.319999999832362,1542332.720000000204891,11630406.780000001192093
20180131,1300773.680000000167638,1498323.919999999925494,1388779.939999999944121,1514804.800000000046566,1427769.409999999916181,1550731.130000000121072,1419569.380000000121072,1526155.639999999897555,11626907.900000002235174
