代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10708650.049999998882413
真實報酬,708650.049999998882413

夏普值報酬,0.062165005000000
夏普值風險,0.017236156616156
夏普值,3.606662806819099

預期報酬,11321.214646657468620
風險,53346.281051884507178
趨勢值,0.212221253729880
找到最佳解世代,2057
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),DIS[6](13),KO[14](11),MSFT[18](20),WMT[28](1),XOM[29](27),
20170328,1974994.300000000279397,1702814.799999999813735,1701145.120000000111759,1683164.560000000055879,1756065.760000000009313,1625938.649999999906868,10444127.190000001341105
20170329,1979389.180000000167638,1694982.560000000055879,1700744.200000000186265,1687804.779999999795109,1766554.000000000000000,1629514.709999999729916,10458993.429999999701977
20170330,1976779.720000000204891,1704772.860000000102445,1707960.760000000009313,1693991.739999999757856,1787780.200000000186265,1662891.270000000018626,10534180.550000000745058
20170331,1973071.540000000037253,1707935.879999999888241,1701546.040000000037253,1697858.589999999850988,1800016.480000000214204,1629316.040000000037253,10509748.570000000298023
20170403,1973620.899999999906868,1705074.100000000093132,1700343.280000000027940,1689867.099999999860302,1793773.480000000214204,1630508.059999999823049,10493190.919999999925494
20170404,1988316.280000000260770,1702664.179999999934807,1711168.120000000111759,1694507.320000000065193,1798268.440000000409782,1636468.159999999916181,10531396.500000000000000
20170405,1978015.780000000260770,1702061.699999999953434,1706758.000000000000000,1690124.889999999897555,1789278.520000000251457,1639646.879999999888241,10505889.769999999552965
20170406,1973071.540000000037253,1702814.799999999813735,1710767.200000000186265,1694507.320000000065193,1783784.680000000400469,1649183.040000000037253,10514132.580000001937151
20170407,1968676.660000000149012,1695735.659999999916181,1708361.679999999934807,1693218.370000000111759,1820493.520000000251457,1644216.290000000037253,10530706.179999999701977
20170410,1966341.879999999888241,1693476.360000000102445,1711569.040000000037253,1689351.520000000018626,1824489.040000000270084,1651567.079999999841675,10536798.920000001788139
20170411,1945191.520000000018626,1703116.039999999804422,1710366.280000000027940,1688062.570000000065193,1833728.680000000400469,1645805.649999999906868,10526274.740000000223517
20170412,1947526.300000000279397,1702664.179999999934807,1721592.040000000037253,1681617.820000000065193,1833978.400000000139698,1648388.359999999869615,10535771.099999999627471
20170413,1937225.800000000279397,1705074.100000000093132,1715578.239999999990687,1674399.699999999953434,1826736.520000000251457,1622958.599999999860302,10481976.960000000894070
20170417,1947938.320000000298023,1713810.060000000055879,1726804.000000000000000,1688062.570000000065193,1835227.000000000000000,1620773.229999999748543,10532619.180000001564622
20170418,1939285.899999999906868,1719985.479999999981374,1743241.719999999972060,1685742.459999999962747,1845215.800000000279397,1610243.719999999739230,10543719.079999998211861
20170419,1932144.220000000204891,1713056.959999999962747,1733218.719999999972060,1676719.810000000055879,1849710.760000000009313,1599118.199999999720603,10503972.669999999925494
20170420,1956316.060000000055879,1729022.679999999934807,1727605.840000000083819,1688578.149999999906868,1867940.320000000065193,1609449.040000000037253,10578916.089999999850988
20170421,1953981.280000000260770,1723750.979999999981374,1726804.000000000000000,1711779.250000000000000,1871436.400000000139698,1603091.599999999860302,10590847.509999999776483
20170424,1972796.859999999869615,1712605.100000000093132,1735223.320000000065193,1740909.520000000018626,1867440.880000000121072,1611435.739999999757856,10640415.420000001788139
20170425,1985020.120000000111759,1734896.860000000102445,1728407.679999999934807,1750963.329999999841675,1874183.320000000065193,1623753.280000000027940,10697228.589999999850988
20170426,1973346.220000000204891,1740921.659999999916181,1733619.640000000130385,1748643.219999999972060,1883672.680000000400469,1617197.169999999925494,10697404.589999999850988
20170427,1974856.959999999962747,1744837.780000000027940,1724398.479999999981374,1759985.979999999748543,1883922.400000000139698,1614415.790000000037253,10702421.390000000596046
20170428,1972934.200000000186265,1741222.899999999906868,1730011.360000000102445,1764883.989999999757856,1877429.680000000400469,1622163.919999999925494,10708650.049999998882413
