代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10947587.240000002086163
真實報酬,947587.240000002086163

夏普值報酬,0.086058724000000
夏普值風險,0.025192740696440
夏普值,3.416012772765183

預期報酬,14036.700970052846969
風險,52748.838958282838576
趨勢值,0.266104453619424
找到最佳解世代,1746
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,7
AAPL[0](17),CAT[3](2),HD[9](3),MCD[15](10),PFE[20](4),V[25](1),VZ[26](22),
20170822,1534706.250000000000000,1452013.320000000065193,1431531.190000000176951,1470007.000000000000000,1428140.189999999944121,1493280.479999999748543,1427095.250000000000000,10236776.680000001564622
20170823,1536627.250000000000000,1438599.800000000046566,1423796.500000000000000,1462364.360000000102445,1432017.480000000214204,1480510.760000000009313,1425029.199999999953434,10198948.349999999627471
20170824,1529807.700000000186265,1438975.880000000121072,1415679.850000000093132,1458681.160000000149012,1431586.669999999925494,1481084.679999999934807,1425914.650000000139698,10181733.589999999850988
20170825,1535474.650000000139698,1446121.399999999906868,1429048.450000000186265,1462456.439999999944121,1438479.630000000121072,1482949.919999999692664,1436835.199999999953434,10231368.689999997615814
20170828,1550938.700000000186265,1442611.320000000065193,1445663.709999999962747,1470283.239999999990687,1441926.110000000102445,1489119.559999999823049,1434769.149999999906868,10275314.790000000968575
20170829,1564769.900000000139698,1454395.160000000149012,1430862.760000000009313,1467612.920000000158325,1443218.540000000037253,1488976.079999999841675,1431817.649999999906868,10281656.009999999776483
20170830,1568996.100000000093132,1473700.600000000093132,1432390.600000000093132,1468994.120000000111759,1441064.490000000223517,1488402.159999999916181,1420306.799999999813735,10293857.870000001043081
20170831,1575239.350000000093132,1472948.439999999944121,1431149.230000000214204,1473045.640000000130385,1461312.560000000055879,1485389.079999999841675,1415879.550000000046566,10314966.850000001490116
20170901,1575719.600000000093132,1482851.880000000121072,1439838.820000000065193,1471572.360000000102445,1463035.800000000046566,1490841.320000000065193,1414403.800000000046566,10338266.580000001937151
20170905,1556797.750000000232831,1483102.600000000093132,1460369.170000000158325,1465034.680000000167638,1456142.839999999850988,1478071.599999999860302,1397875.399999999906868,10297397.040000000968575
20170906,1555164.900000000139698,1466555.080000000074506,1495032.040000000037253,1456931.640000000130385,1464328.230000000214204,1480510.760000000009313,1384593.649999999906868,10303119.300000000745058
20170907,1548921.649999999906868,1476458.520000000018626,1508114.170000000158325,1472401.080000000074506,1464328.230000000214204,1500311.000000000000000,1363638.000000000000000,10334175.650000000372529
20170908,1523660.500000000000000,1477085.320000000065193,1524633.940000000176951,1470651.560000000288710,1469067.140000000130385,1498445.760000000009313,1360981.649999999906868,10324528.870000001043081
20170911,1551226.850000000093132,1490248.120000000111759,1512315.730000000214204,1487410.120000000111759,1478544.959999999962747,1523124.320000000065193,1366589.500000000000000,10409462.599999999627471
20170912,1545079.650000000139698,1516197.640000000130385,1527021.190000000176951,1439528.520000000251457,1523780.010000000009313,1523985.199999999720603,1381051.849999999860302,10456647.060000000521541
20170913,1533457.600000000093132,1499775.479999999981374,1528071.580000000074506,1445697.880000000121072,1510424.900000000139698,1518532.959999999962747,1394628.750000000000000,10430592.150000000372529
20170914,1520298.750000000000000,1510431.080000000074506,1521960.219999999972060,1445697.880000000121072,1539289.169999999925494,1522119.959999999962747,1392562.699999999953434,10452362.759999997913837
20170915,1535666.750000000000000,1521588.120000000111759,1512602.200000000186265,1444961.239999999990687,1523349.199999999953434,1510928.519999999785796,1412632.899999999906868,10461731.930000001564622
20170918,1524044.699999999953434,1552426.679999999934807,1506968.290000000037253,1442751.320000000298023,1531534.589999999850988,1504184.959999999962747,1419421.350000000093132,10481334.889999998733401
20170919,1524621.000000000000000,1563834.439999999944121,1505535.940000000176951,1449657.320000000298023,1527226.490000000223517,1512506.799999999813735,1456315.100000000093132,10539700.089999999850988
20170920,1499071.699999999953434,1565213.399999999906868,1515275.920000000158325,1472216.920000000158325,1550490.230000000214204,1512506.799999999813735,1460447.199999999953434,10575225.169999998062849
20170921,1473330.300000000046566,1564461.240000000223517,1520145.910000000149012,1464390.120000000111759,1549628.610000000102445,1511072.000000000000000,1444509.099999999860302,10527540.279999999329448
20170922,1458922.800000000046566,1559948.280000000027940,1527594.130000000121072,1463285.160000000149012,1549197.800000000046566,1514659.000000000000000,1472843.500000000000000,10546453.669999999925494
20170925,1446052.100000000093132,1558569.320000000065193,1538384.500000000000000,1438883.959999999962747,1529811.349999999860302,1478215.079999999841675,1472843.500000000000000,10462762.809999998658895
20170926,1470929.050000000046566,1560951.160000000149012,1539912.340000000083819,1412088.680000000167638,1520764.339999999850988,1477067.239999999757856,1461332.649999999906868,10443048.460000000894070
20170927,1481398.500000000000000,1561076.520000000018626,1536665.679999999934807,1418534.280000000260770,1527226.490000000223517,1490697.839999999850988,1461332.649999999906868,10476934.960000000894070
20170928,1472273.750000000000000,1569977.080000000074506,1550416.240000000223517,1450209.800000000279397,1533688.640000000130385,1500597.959999999962747,1458381.149999999906868,10535547.620000002905726
20170929,1480341.950000000186265,1563458.359999999869615,1561875.040000000037253,1442751.320000000298023,1537996.740000000223517,1500597.959999999962747,1460742.350000000093132,10547766.720000000670552
20171002,1477364.400000000139698,1563583.719999999972060,1566267.580000000074506,1445329.560000000288710,1553936.709999999962747,1512937.239999999757856,1456905.399999999906868,10576327.610000001266599
20171003,1483799.750000000000000,1573487.160000000149012,1577248.929999999934807,1444408.760000000242144,1556952.380000000121072,1515089.439999999944121,1471367.750000000000000,10622357.169999999925494
20171004,1474194.750000000000000,1588906.439999999944121,1578394.810000000055879,1447631.560000000288710,1549197.800000000046566,1511072.000000000000000,1472843.500000000000000,10622243.859999999403954
20171005,1492540.300000000046566,1584644.200000000186265,1586320.480000000214204,1462272.280000000260770,1550921.040000000037253,1524415.639999999897555,1469006.550000000046566,10670123.490000002086163
20171006,1491675.850000000093132,1591288.280000000027940,1583742.250000000000000,1469638.680000000167638,1553075.089999999850988,1531446.159999999916181,1440672.150000000139698,10661541.460000000894070
20171009,1496862.550000000046566,1590661.479999999981374,1582405.390000000130385,1474426.840000000083819,1556952.380000000121072,1535463.599999999860302,1447755.750000000000000,10684530.990000000223517
20171010,1497438.850000000093132,1607083.640000000130385,1577153.440000000176951,1478662.520000000251457,1568153.439999999944121,1539768.000000000000000,1450412.100000000093132,10718674.990000000223517
20171011,1503682.100000000093132,1612223.399999999906868,1578012.850000000093132,1502327.080000000074506,1570307.490000000223517,1555981.239999999757856,1442147.899999999906868,10764685.060000000521541
20171012,1498399.350000000093132,1629648.440000000176951,1571710.510000000009313,1509325.160000000149012,1565999.390000000130385,1551246.399999999906868,1427095.250000000000000,10753427.500000000000000
20171013,1507908.300000000279397,1638674.360000000102445,1570564.630000000121072,1522768.840000000083819,1565568.580000000074506,1559137.799999999813735,1412632.899999999906868,10777258.410000000149012
20171016,1535666.750000000000000,1648201.719999999972060,1568177.380000000121072,1519453.959999999962747,1550059.419999999925494,1553972.519999999785796,1419421.350000000093132,10794956.099999999627471
20171017,1541333.700000000186265,1636543.239999999990687,1559869.750000000000000,1523045.080000000074506,1559537.240000000223517,1543068.040000000037253,1428571.000000000000000,10791971.050000000745058
20171018,1534514.149999999906868,1645945.239999999990687,1560824.649999999906868,1526452.040000000270084,1543597.270000000018626,1546798.519999999785796,1435949.750000000000000,10794084.619999999180436
20171019,1498207.250000000000000,1649204.600000000093132,1558819.360000000102445,1533173.880000000121072,1561260.480000000214204,1535607.079999999841675,1452478.150000000139698,10788753.800000000745058
20171020,1500800.600000000093132,1646822.760000000242144,1560633.670000000158325,1531332.280000000260770,1569015.060000000055879,1543211.519999999785796,1461922.949999999953434,10813741.839999999850988
20171023,1500032.199999999953434,1650834.280000000027940,1573142.860000000102445,1504076.600000000093132,1568153.439999999944121,1542924.559999999823049,1445984.850000000093132,10785151.789999999105930
20171024,1508964.850000000093132,1733070.440000000176951,1585461.070000000065193,1509048.920000000158325,1562552.910000000149012,1555550.799999999813735,1444509.099999999860302,10899161.089999999850988
20171025,1502337.400000000139698,1715520.040000000037253,1585843.030000000027940,1506286.520000000251457,1557814.000000000000000,1571046.639999999897555,1435654.600000000093132,10874505.230000000447035
20171026,1511942.400000000139698,1716773.640000000130385,1600930.450000000186265,1510245.959999999962747,1539719.980000000214204,1575494.519999999785796,1443033.350000000093132,10898143.300000000745058
20171027,1566114.600000000093132,1727679.959999999962747,1597970.260000000009313,1522953.000000000000000,1533688.640000000130385,1574203.199999999720603,1442443.049999999813735,10965055.710000000894070
20171030,1601364.950000000186265,1711132.440000000176951,1578585.790000000037253,1530687.719999999972060,1514302.189999999944121,1578938.040000000037253,1411747.449999999953434,10926761.579999998211861
20171031,1623648.550000000046566,1702482.600000000093132,1583073.820000000065193,1536949.160000000149012,1510424.900000000139698,1578077.159999999916181,1412928.049999999813735,10947587.240000002086163
