代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11365414.719999998807907
真實報酬,1365414.719999998807907

夏普值報酬,0.127841472000000
夏普值風險,0.041208138077212
夏普值,3.102335557128595

預期報酬,25852.468220430826477
風險,80402.364378706130083
趨勢值,0.321538656483560
找到最佳解世代,2486
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](9),GS[8](3),JNJ[12](8),MCD[15](6),NKE[19](10),VZ[26](26),WBA[27](5),
20130115,1552768.300000000046566,1644449.399999999906868,1482656.680000000167638,1501932.639999999897555,1572189.999999999767169,1358956.149999999906868,1655640.920000000158325,10768597.089999999850988
20130116,1549190.599999999860302,1711153.399999999906868,1486958.949999999953434,1495203.719999999739230,1575121.000000000000000,1344061.810000000055879,1659432.440000000176951,10821124.919999999925494
20130117,1552257.199999999953434,1710183.159999999683350,1493514.790000000037253,1506035.639999999897555,1567500.399999999674037,1364136.790000000037253,1658168.600000000325963,10851799.579999998211861
20130118,1527724.400000000139698,1751903.479999999748543,1500275.500000000000000,1514241.639999999897555,1562224.599999999860302,1377412.179999999934807,1651849.400000000372529,10885634.199999999254942
20130122,1518013.500000000000000,1770095.479999999748543,1489212.520000000018626,1525565.919999999925494,1567500.399999999674037,1390363.780000000027940,1663645.240000000223517,10924399.839999999850988
20130123,1506002.649999999906868,1765365.559999999823049,1492490.439999999944121,1534264.279999999795109,1556362.599999999860302,1385506.929999999934807,1664909.080000000307336,10904904.539999999105930
20130124,1515458.000000000000000,1758088.760000000009313,1497612.189999999944121,1531474.239999999757856,1578638.199999999953434,1379031.130000000121072,1661538.840000000083819,10921844.359999999403954
20130125,1520569.000000000000000,1752024.760000000009313,1514411.530000000027940,1538203.159999999683350,1628465.199999999953434,1381621.450000000186265,1671228.280000000260770,11006526.379999998956919
20130128,1509580.350000000093132,1748265.079999999841675,1508265.430000000167638,1548706.839999999850988,1597396.599999999860302,1384859.350000000093132,1689343.320000000298023,10986419.969999998807907
20130129,1519291.250000000000000,1784042.679999999934807,1524450.159999999916181,1557897.559999999823049,1580396.799999999813735,1408496.020000000018626,1687658.200000000419095,11062235.669999999925494
20130130,1516224.649999999906868,1784649.079999999841675,1517894.320000000065193,1553794.559999999823049,1571603.799999999813735,1412057.709999999962747,1679653.880000000121072,11035881.000000000000000
20130131,1502936.050000000046566,1793259.959999999962747,1514411.530000000027940,1563970.000000000000000,1584500.199999999953434,1412057.709999999962747,1683445.400000000372529,11054583.849999999627471
20130201,1531046.549999999813735,1818001.079999999841675,1519738.150000000139698,1574801.919999999925494,1573948.599999999860302,1442817.760000000009313,1698190.200000000419095,11158547.260000001639128
20130204,1518269.049999999813735,1789136.439999999944121,1518304.060000000055879,1552645.719999999739230,1572776.199999999720603,1441522.600000000093132,1685551.800000000279397,11078208.869999999180436
20130205,1550212.799999999813735,1824671.479999999748543,1529571.909999999916181,1557733.439999999711290,1579810.599999999860302,1442817.760000000009313,1741160.760000000242144,11225981.749999998137355
20130206,1547657.300000000046566,1832797.239999999990687,1544527.419999999925494,1560359.359999999636784,1587431.199999999720603,1448969.770000000018626,1745794.840000000083819,11267540.129999998956919
20130207,1588034.199999999953434,1822367.159999999683350,1537766.709999999962747,1553138.079999999608845,1602672.399999999906868,1439579.860000000102445,1740318.200000000419095,11283879.609999999403954
20130208,1579345.500000000000000,1838618.679999999934807,1546371.250000000000000,1557076.959999999962747,1600327.599999999860302,1436018.170000000158325,1744109.720000000204891,11301870.880000000819564
20130211,1583945.399999999906868,1846380.600000000093132,1544937.159999999916181,1562000.559999999823049,1618499.799999999813735,1435046.800000000046566,1747479.960000000195578,11338293.280000001192093
20130212,1589567.500000000000000,1869059.959999999962747,1552927.089999999850988,1560851.719999999739230,1614982.599999999860302,1438932.280000000027940,1767280.120000000344589,11393604.269999999552965
20130213,1587012.000000000000000,1874032.439999999944121,1550058.909999999916181,1542798.519999999785796,1599155.199999999953434,1441522.600000000093132,1747479.960000000195578,11342062.630000000819564
20130214,1593145.200000000186265,1891132.919999999925494,1553131.959999999962747,1535577.239999999757856,1600913.799999999813735,1435370.589999999850988,1763488.600000000325963,11372763.310000000521541
20130215,1576534.449999999953434,1879732.600000000093132,1560302.409999999916181,1541157.319999999832362,1610879.199999999953434,1437637.119999999878928,1733577.720000000204891,11339823.820000000298023
20130219,1591611.900000000139698,1924121.079999999841675,1576692.009999999776483,1540336.719999999739230,1596810.399999999674037,1440875.020000000018626,1756748.120000000344589,11427198.250000000000000
20130220,1582156.549999999813735,1882036.919999999925494,1570341.040000000037253,1541321.439999999711290,1583327.800000000046566,1454474.200000000186265,1752535.320000000298023,11366196.269999999552965
20130221,1572701.199999999953434,1829886.519999999785796,1574848.180000000167638,1545096.199999999720603,1598568.999999999767169,1460950.000000000000000,1753377.880000000121072,11335431.980000000447035
20130222,1599022.850000000093132,1868817.399999999906868,1562146.239999999990687,1563313.519999999785796,1596810.399999999674037,1470016.119999999878928,1761382.200000000419095,11421511.730000000447035
20130225,1584967.600000000093132,1790713.079999999841675,1548215.079999999841675,1577920.199999999720603,1583913.999999999767169,1480377.399999999906868,1712092.440000000176951,11278202.799999998882413
20130226,1582412.100000000093132,1794957.879999999888241,1551902.739999999990687,1579233.159999999683350,1590948.399999999906868,1493329.000000000000000,1718832.920000000158325,11311619.199999999254942
20130227,1597234.000000000000000,1839225.079999999841675,1563580.329999999841675,1571191.279999999795109,1592707.000000000000000,1500776.170000000158325,1734420.280000000260770,11399137.140000000596046
20130228,1588289.750000000000000,1816303.159999999683350,1559278.060000000055879,1573981.319999999832362,1596224.199999999953434,1506604.390000000130385,1724730.840000000083819,11365414.719999998807907
