代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14047243.830000001937151
真實報酬,4047243.830000001937151

夏普值報酬,0.396024383000000
夏普值風險,0.104255789485088
夏普值,3.798584087808821

二次趨勢線,49.689509460262073 x^2 + 3714.097632585687279 x + 10000000.000000000000000
二次加權預期報酬,20376.646471593583556
風險,102433.204189912386937
二次加權趨勢值,0.198926184460803
一次趨勢線,13086.744309664685716 x + 10000000.000000000000000
一次預期報酬,13086.744309664685716
一次風險,366350.886323257233016
一次趨勢值,0.035721885215032
找到最佳解世代,1858
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AXP[1](6),BA[2](2),CAT[3](1),CVX[5](10),MCD[15](7),MSFT[18](5),PFE[20](17),UNH[23](3),WMT[28](8),
FS( 120 ),1212409.149999999906868,1431461.280000000027940,1230739.520000000018626,989961.199999999953434,1436376.759999999776483,1264336.649999999906868,1150504.900000000139698,1274902.600000000093132,1211115.760000000242144,11201808.819999998435378
FS( 121 ),1223320.449999999953434,1415535.780000000027940,1232394.459999999962747,981853.119999999995343,1430060.919999999925494,1252263.250000000000000,1146127.800000000046566,1274007.940000000176951,1221795.880000000121072,11177360.599999999627471
FS( 122 ),1225089.849999999860302,1407820.760000000009313,1228611.739999999990687,981193.159999999916181,1427831.800000000046566,1228826.649999999906868,1137036.900000000139698,1270429.300000000046566,1230048.700000000186265,11136889.859999999403954
FS( 123 ),1238212.899999999906868,1412987.700000000186265,1258400.659999999916181,983173.039999999920838,1433218.840000000083819,1239302.100000000093132,1136363.500000000000000,1277999.500000000000000,1238139.700000000186265,11217798.940000001341105
FS( 124 ),1233199.599999999860302,1397699.220000000204891,1248825.649999999906868,981664.559999999939464,1422351.879999999888241,1216043.050000000046566,1132323.100000000093132,1275040.240000000223517,1228754.140000000130385,11135902.440000001341105
FS( 125 ),1242194.049999999813735,1399751.840000000083819,1270339.869999999878928,983644.439999999944121,1422630.520000000018626,1223855.250000000232831,1130976.300000000046566,1276072.540000000037253,1224708.640000000130385,11174174.449999999254942
FS( 126 ),1254874.750000000000000,1405697.360000000102445,1264547.579999999841675,1002217.599999999976717,1416500.439999999944121,1210361.450000000186265,1138720.399999999906868,1284537.400000000139698,1219530.400000000139698,11196988.380000000819564
FS( 127 ),1251778.300000000046566,1428488.520000000018626,1270694.500000000000000,986378.559999999939464,1421794.599999999860302,1226518.500000000000000,1132659.800000000046566,1295548.600000000093132,1218883.120000000111759,11232745.500000000000000
FS( 128 ),1234821.549999999813735,1426152.780000000027940,1259109.919999999925494,978836.159999999916181,1421980.359999999869615,1217463.449999999953434,1118518.399999999906868,1286533.180000000167638,1221310.420000000158325,11164727.219999998807907
FS( 129 ),1243521.099999999860302,1432452.200000000186265,1263956.530000000027940,975724.919999999925494,1451516.199999999953434,1233265.399999999906868,1122895.500000000000000,1293552.820000000065193,1219044.940000000176951,11235930.609999999403954
FS( 130 ),1243078.750000000000000,1443706.220000000204891,1274831.850000000093132,971482.320000000065193,1444550.199999999953434,1242498.000000000232831,1124915.699999999953434,1286602.000000000000000,1185062.740000000223517,11216728.780000001192093
FS( 131 ),1241014.449999999953434,1460056.400000000139698,1279560.250000000000000,972236.559999999939464,1438884.520000000018626,1242675.550000000046566,1116834.900000000139698,1279720.000000000000000,1188946.420000000158325,11219930.049999998882413
FS( 132 ),1250746.149999999906868,1461259.660000000149012,1288071.369999999878928,979496.119999999995343,1454395.479999999981374,1263271.350000000093132,1118518.399999999906868,1284812.680000000167638,1196551.960000000195578,11297124.169999999925494
FS( 133 ),1258855.900000000139698,1459773.280000000027940,1282279.079999999841675,981758.839999999967404,1440091.959999999962747,1274279.449999999953434,1120538.600000000093132,1276485.459999999962747,1214513.979999999981374,11308577.550000000745058
FS( 134 ),1257528.850000000093132,1475911.120000000111759,1285825.379999999888241,984681.519999999902211,1442321.079999999841675,1292212.000000000000000,1125589.100000000093132,1286257.900000000139698,1235388.760000000242144,11385716.710000000894070
FS( 135 ),1256644.149999999906868,1479379.340000000083819,1286652.850000000093132,982513.079999999841675,1442135.319999999832362,1302332.350000000093132,1119528.500000000000000,1282472.800000000046566,1235874.220000000204891,11387533.610000001266599
FS( 136 ),1261067.649999999906868,1474000.060000000055879,1265729.679999999934807,977893.359999999986030,1430060.919999999925494,1301444.600000000093132,1123232.199999999953434,1285913.800000000046566,1233123.280000000260770,11352466.550000000745058
FS( 137 ),1267113.100000000093132,1492685.979999999981374,1274950.059999999823049,984870.079999999841675,1429410.759999999776483,1311387.400000000139698,1131986.399999999906868,1302017.680000000167638,1227783.220000000204891,11422205.679999999701977
FS( 138 ),1258561.000000000000000,1488439.180000000167638,1268684.929999999934807,986472.839999999967404,1432382.919999999925494,1317779.200000000186265,1129292.800000000046566,1317915.100000000093132,1230210.520000000018626,11429739.490000000223517
FS( 139 ),1262099.800000000046566,1501604.260000000009313,1260055.600000000093132,973462.199999999953434,1429689.399999999906868,1310144.550000000279397,1127272.599999999860302,1319842.060000000055879,1232314.180000000167638,11416485.650000000372529
FS( 140 ),1253400.250000000000000,1501887.380000000121072,1278850.989999999990687,972990.799999999930151,1410463.239999999990687,1306771.100000000093132,1121885.399999999906868,1313717.080000000074506,1244288.860000000102445,11404256.099999999627471
FS( 141 ),1259445.699999999953434,1503869.220000000204891,1354032.550000000046566,984210.119999999995343,1477522.599999999860302,1317246.550000000046566,1114478.000000000000000,1310344.900000000139698,1270665.520000000018626,11591816.159999998286366
FS( 142 ),1257823.750000000000000,1652436.439999999944121,1341975.129999999888241,991092.559999999939464,1453745.319999999832362,1314760.850000000093132,1107407.300000000046566,1312753.600000000093132,1276814.680000000167638,11708810.629999998956919
FS( 143 ),1236443.500000000000000,1705875.340000000083819,1352022.979999999981374,1000426.279999999911524,1457832.039999999804422,1298958.900000000139698,1111111.000000000000000,1300228.360000000102445,1291054.840000000083819,11753954.240000000223517
FS( 144 ),1250451.250000000000000,1707786.400000000139698,1348831.309999999823049,1019376.559999999939464,1447615.239999999990687,1296828.300000000279397,1116161.500000000000000,1315506.400000000139698,1291540.300000000046566,11794098.260000001639128
FS( 145 ),1256791.600000000093132,1716209.220000000204891,1347058.159999999916181,1029464.519999999902211,1441020.759999999776483,1290791.600000000093132,1116498.199999999953434,1320048.520000000018626,1294453.060000000055879,11812336.639999998733401
FS( 146 ),1256939.049999999813735,1694833.660000000149012,1337010.309999999823049,1044455.039999999920838,1430803.959999999962747,1288661.000000000000000,1113804.599999999860302,1322938.959999999962747,1302705.880000000121072,11792153.459999999031425
FS( 147 ),1257823.750000000000000,1684287.439999999944121,1336892.100000000093132,1041438.079999999841675,1454488.359999999869615,1282979.400000000139698,1108417.400000000139698,1328238.100000000093132,1303191.340000000083819,11797756.970000000670552
FS( 148 ),1261362.550000000046566,1686410.840000000083819,1342447.969999999972060,1031727.239999999990687,1437119.800000000046566,1281026.350000000093132,1125589.100000000093132,1340419.240000000223517,1308693.220000000204891,11814797.310000000521541
FS( 149 ),1267702.899999999906868,1682588.720000000204891,1351786.559999999823049,1038138.279999999911524,1428760.599999999860302,1290436.500000000232831,1132659.800000000046566,1341176.260000000009313,1302382.240000000223517,11835632.859999999403954
FS( 150 ),1265933.500000000000000,1700425.280000000027940,1356042.119999999878928,1035027.039999999920838,1439441.800000000046566,1285465.100000000093132,1121548.700000000186265,1340488.060000000055879,1315327.840000000083819,11859700.439999999478459
FS( 151 ),1267260.550000000046566,1695258.340000000083819,1352495.819999999832362,1040400.999999999883585,1438977.399999999906868,1292389.550000000279397,1120538.600000000093132,1341313.900000000139698,1320344.260000000242144,11868980.419999999925494
FS( 152 ),1263574.300000000046566,1658523.520000000018626,1351668.350000000093132,1045492.119999999995343,1438977.399999999906868,1286707.950000000186265,1126262.500000000000000,1340832.160000000149012,1320667.900000000139698,11832707.200000001117587
FS( 153 ),1246912.449999999953434,1648401.979999999981374,1337601.360000000102445,1038138.279999999911524,1454767.000000000000000,1267887.650000000139698,1125252.400000000139698,1325278.840000000083819,1305295.000000000000000,11749535.960000000894070
FS( 154 ),1242931.300000000046566,1662557.979999999981374,1334055.059999999823049,1029841.640000000013970,1461082.840000000083819,1287240.600000000093132,1119528.500000000000000,1328375.740000000223517,1301087.680000000167638,11766702.339999999850988
FS( 155 ),1260330.399999999906868,1678625.040000000037253,1344221.119999999878928,1024939.079999999841675,1460711.319999999832362,1306593.550000000046566,1121548.700000000186265,1333124.320000000065193,1305942.280000000260770,11836036.809999998658895
FS( 156 ),1279793.800000000046566,1692922.600000000093132,1343511.860000000102445,1023619.159999999916181,1464055.000000000000000,1300024.200000000186265,1123905.600000000093132,1338561.100000000093132,1307075.020000000018626,11873469.339999999850988
FS( 157 ),1288640.800000000046566,1681739.360000000102445,1349067.729999999981374,1007308.719999999972060,1475943.639999999897555,1307658.850000000093132,1123232.199999999953434,1333537.240000000223517,1310473.240000000223517,11877602.779999999329448
FS( 158 ),1269472.300000000046566,1667583.360000000102445,1337483.149999999906868,998634.959999999962747,1466562.759999999776483,1285465.100000000093132,1109427.500000000000000,1326173.500000000000000,1289760.280000000260770,11750563.910000000149012
FS( 159 ),1259003.349999999860302,1668857.400000000139698,1346703.530000000027940,1003914.640000000013970,1465355.319999999832362,1287063.050000000046566,1099999.900000000139698,1313235.340000000083819,1283449.300000000046566,11727582.830000000074506
FS( 160 ),1257823.750000000000000,1668220.380000000121072,1342920.809999999823049,997315.039999999920838,1470928.120000000111759,1281026.350000000093132,1103030.199999999953434,1321562.560000000055879,1289922.100000000093132,11732750.309999998658895
FS( 161 ),1257823.750000000000000,1697027.840000000083819,1369163.429999999934807,1002783.279999999911524,1482816.759999999776483,1298958.900000000139698,1116161.500000000000000,1340556.880000000121072,1294938.520000000018626,11860231.860000001266599
FS( 162 ),1257528.850000000093132,1685278.360000000102445,1356514.959999999962747,1005140.279999999911524,1475107.719999999972060,1291146.700000000186265,1119191.800000000046566,1336771.780000000260770,1293967.600000000093132,11820649.049999998882413
FS( 163 ),1258708.449999999953434,1689879.060000000055879,1356869.590000000083819,1012965.519999999902211,1471392.520000000018626,1290614.050000000046566,1118855.099999999860302,1340281.600000000093132,1267752.760000000242144,11807319.649999998509884
FS( 164 ),1260330.399999999906868,1669706.760000000009313,1363607.559999999823049,1020413.640000000013970,1475200.599999999860302,1292922.199999999953434,1124242.300000000046566,1337597.620000000111759,1272445.540000000037253,11816467.619999997317791
FS( 165 ),1259445.699999999953434,1678837.380000000121072,1360297.679999999934807,1015982.479999999981374,1483095.399999999906868,1293099.750000000000000,1126935.899999999906868,1342621.480000000214204,1262736.340000000083819,11823053.110000001266599
FS( 166 ),1259593.150000000139698,1702265.560000000055879,1371409.419999999925494,1016925.279999999911524,1480401.879999999888241,1297005.850000000093132,1127946.000000000000000,1353907.959999999962747,1274711.020000000018626,11884167.120000001043081
FS( 167 ),1263574.300000000046566,1702053.220000000204891,1389613.760000000009313,1015699.640000000013970,1481795.079999999841675,1314050.650000000139698,1126262.500000000000000,1348058.260000000009313,1270989.160000000149012,11912097.570000000298023
FS( 168 ),1269619.750000000000000,1696390.820000000065193,1388904.500000000000000,1014662.559999999939464,1485881.800000000046566,1327544.449999999953434,1142087.400000000139698,1368841.900000000139698,1263383.620000000111759,11957317.800000000745058
FS( 169 ),1270209.550000000046566,1701133.080000000074506,1398243.090000000083819,1025410.479999999981374,1484395.719999999972060,1312807.800000000046566,1143434.199999999953434,1374691.600000000093132,1268238.220000000204891,11978564.739999998360872
FS( 170 ),1257971.199999999953434,1677563.340000000083819,1398479.510000000009313,1031821.519999999902211,1477801.239999999990687,1306948.650000000139698,1138047.000000000000000,1371663.520000000018626,1291378.479999999981374,11951675.460000000894070
FS( 171 ),1256791.600000000093132,1660717.700000000186265,1382875.790000000037253,1053977.320000000065193,1469627.800000000046566,1303220.100000000093132,1144444.300000000046566,1365263.260000000009313,1295909.440000000176951,11932828.310000000521541
FS( 172 ),1244700.699999999953434,1672679.520000000018626,1392214.379999999888241,1054071.599999999860302,1485231.639999999897555,1319909.800000000046566,1144444.300000000046566,1363818.040000000037253,1296556.720000000204891,11973627.700000001117587
FS( 173 ),1242341.500000000000000,1690162.180000000167638,1392805.429999999934807,1044455.039999999920838,1483466.919999999925494,1313518.000000000232831,1148148.000000000000000,1360927.600000000093132,1276491.040000000037253,11952316.710000000894070
FS( 174 ),1263574.300000000046566,1702973.360000000102445,1405217.479999999981374,1060859.760000000009313,1500371.079999999841675,1327366.900000000139698,1155555.399999999906868,1373521.660000000149012,1279727.440000000176951,12069168.380000000819564
FS( 175 ),1276255.000000000000000,1702902.580000000074506,1429686.949999999953434,1060576.919999999925494,1452073.479999999981374,1325946.500000000232831,1190908.899999999906868,1359000.640000000130385,1288303.900000000139698,12085655.870000001043081
FS( 176 ),1277582.050000000046566,1712457.880000000121072,1414201.439999999944121,1076510.239999999990687,1458296.439999999944121,1335356.649999999906868,1180471.200000000186265,1364919.160000000149012,1292349.400000000139698,12112145.460000002756715
FS( 177 ),1270946.800000000046566,1735815.280000000027940,1424249.290000000037253,1079055.800000000046566,1458296.439999999944121,1327544.449999999953434,1203030.099999999860302,1360789.959999999962747,1289436.640000000130385,12149165.760000001639128
FS( 178 ),1282742.799999999813735,1762499.340000000083819,1434769.979999999981374,1080752.839999999850988,1457553.399999999906868,1337132.150000000139698,1190572.199999999953434,1363886.860000000102445,1300764.040000000037253,12210674.609999999403954
FS( 179 ),1295718.400000000139698,1791377.580000000074506,1463849.639999999897555,1086032.520000000018626,1455324.280000000027940,1334468.900000000139698,1196969.500000000000000,1363955.680000000167638,1294614.880000000121072,12282312.380000000819564
FS( 180 ),1312380.250000000000000,1786989.220000000204891,1474606.750000000000000,1096874.719999999972060,1462290.280000000027940,1339440.300000000046566,1193602.500000000000000,1339593.400000000139698,1295423.979999999981374,12301202.400000002235174
FS( 181 ),1303975.600000000093132,1808223.220000000204891,1475907.059999999823049,1097157.560000000055879,1485045.879999999888241,1330562.800000000046566,1211784.300000000046566,1347163.600000000093132,1302705.880000000121072,12362526.900000000372529
FS( 182 ),1303828.150000000139698,1812328.460000000195578,1475197.800000000046566,1098100.359999999869615,1477151.079999999841675,1317601.649999999906868,1211110.899999999906868,1343447.320000000065193,1294776.700000000186265,12333543.420000001788139
FS( 183 ),1303533.250000000000000,1815230.439999999944121,1470942.239999999990687,1105831.320000000065193,1476036.520000000018626,1321152.650000000139698,1210774.199999999953434,1328444.560000000055879,1287009.340000000083819,12318955.519999999552965
FS( 184 ),1300731.699999999953434,1800154.300000000046566,1469641.929999999934807,1112430.919999999925494,1451423.319999999832362,1300734.400000000139698,1195622.699999999953434,1319635.600000000093132,1280860.180000000167638,12231236.049999998882413
FS( 185 ),1307809.300000000046566,1795765.939999999944121,1471887.919999999925494,1107999.760000000009313,1424395.239999999990687,1300734.400000000139698,1188552.000000000000000,1326173.500000000000000,1284743.860000000102445,12208062.919999999925494
FS( 186 ),1319605.299999999813735,1806949.180000000167638,1472006.129999999888241,1107339.800000000046566,1430896.840000000083819,1311209.850000000093132,1193602.500000000000000,1338492.280000000260770,1283125.660000000149012,12263228.539999999105930
FS( 187 ),1329189.550000000046566,1799800.400000000139698,1480399.040000000037253,1108942.560000000055879,1462847.560000000055879,1311564.950000000186265,1198653.000000000000000,1349572.300000000046566,1277623.780000000260770,12318594.140000004321337
FS( 188 ),1333907.949999999953434,1799375.720000000204891,1474252.119999999878928,1107811.199999999953434,1455324.280000000027940,1322573.050000000046566,1202020.000000000000000,1347851.800000000046566,1264516.360000000102445,12307633.480000000447035
FS( 189 ),1335087.550000000046566,1811974.560000000055879,1474370.329999999841675,1107151.239999999990687,1457924.919999999925494,1324703.650000000139698,1214477.899999999906868,1358794.180000000167638,1269532.780000000260770,12354018.109999999403954
FS( 190 ),1348210.600000000093132,1808223.220000000204891,1483708.919999999925494,1110828.159999999916181,1456996.120000000111759,1318489.400000000139698,1216834.800000000046566,1366983.760000000009313,1281992.920000000158325,12392268.900000000372529
FS( 191 ),1342017.700000000186265,1810346.620000000111759,1498248.750000000000000,1108565.439999999944121,1460246.919999999925494,1326124.050000000046566,1210774.199999999953434,1379715.459999999962747,1279889.260000000242144,12415929.400000000372529
FS( 192 ),1344229.449999999953434,1832500.760000000009313,1494229.610000000102445,1117993.439999999944121,1475014.840000000083819,1348850.450000000186265,1212121.000000000000000,1361959.900000000139698,1285067.500000000000000,12471967.950000001117587
FS( 193 ),1349980.000000000000000,1830306.580000000074506,1500494.739999999990687,1103380.040000000037253,1482445.239999999990687,1349383.100000000093132,1213804.500000000000000,1363061.020000000018626,1278432.880000000121072,12471289.100000001490116
FS( 194 ),1352044.300000000046566,1828961.760000000009313,1499903.689999999944121,1109791.079999999841675,1487275.000000000000000,1354532.050000000279397,1216834.800000000046566,1350948.700000000186265,1303191.340000000083819,12503483.720000002533197
FS( 195 ),1354993.300000000046566,1846939.880000000121072,1515389.199999999953434,1120067.599999999860302,1491547.479999999981374,1354532.050000000279397,1225589.000000000000000,1339799.860000000102445,1361446.540000000037253,12610305.910000000149012
FS( 196 ),1356025.449999999953434,1850549.660000000149012,1520235.809999999823049,1125064.439999999944121,1515417.639999999897555,1356840.200000000186265,1227272.500000000000000,1343791.419999999925494,1387337.740000000223517,12682535.859999999403954
FS( 197 ),1350864.699999999953434,1853876.320000000298023,1536667.000000000000000,1123273.119999999878928,1522476.520000000018626,1369268.700000000186265,1223905.500000000000000,1327687.540000000037253,1393325.080000000074506,12701345.479999998584390
FS( 198 ),1369295.949999999953434,1845595.060000000055879,1545178.120000000111759,1123461.679999999934807,1536037.000000000000000,1375838.050000000046566,1223568.800000000046566,1324934.740000000223517,1401739.720000000204891,12745650.120000001043081
FS( 199 ),1356025.449999999953434,1838587.840000000083819,1554162.079999999841675,1132606.839999999850988,1532693.319999999832362,1378678.850000000093132,1211447.599999999860302,1329614.500000000000000,1387499.560000000055879,12721317.039999999105930
FS( 200 ),1352044.300000000046566,1830589.700000000186265,1543168.549999999813735,1133455.359999999869615,1536315.639999999897555,1377613.550000000046566,1218855.000000000000000,1403183.080000000074506,1391383.240000000223517,12786609.419999999925494
FS( 201 ),1357794.849999999860302,1840640.460000000195578,1552034.299999999813735,1113939.399999999906868,1539752.199999999953434,1377968.650000000139698,1206397.099999999860302,1412404.959999999962747,1395266.920000000158325,12796199.839999997988343
FS( 202 ),1355140.750000000000000,1833562.460000000195578,1555107.760000000009313,1114410.800000000046566,1546532.439999999944121,1383295.150000000139698,1220201.800000000046566,1398778.600000000093132,1398179.680000000167638,12805210.439999999478459
FS( 203 ),1357942.300000000046566,1873977.840000000083819,1552861.770000000018626,1118559.119999999878928,1544674.840000000083819,1399274.650000000139698,1226262.400000000139698,1427958.280000000260770,1415008.960000000195578,12916521.160000000149012
FS( 204 ),1362218.349999999860302,1856778.300000000046566,1556644.489999999990687,1121293.239999999990687,1517182.359999999869615,1399629.750000000000000,1225589.000000000000000,1424654.919999999925494,1434589.180000000167638,12898580.589999999850988
FS( 205 ),1384040.949999999953434,1882825.340000000083819,1634190.250000000000000,1124121.639999999897555,1522197.879999999888241,1400162.400000000139698,1221211.900000000139698,1432500.400000000139698,1423747.240000000223517,13024999.000000000000000
FS( 206 ),1379175.100000000093132,1829174.100000000093132,1617640.850000000093132,1116673.520000000018626,1519411.479999999981374,1396078.750000000000000,1217508.199999999953434,1428440.020000000018626,1431838.240000000223517,12935941.259999999776483
FS( 207 ),1411024.300000000046566,1835190.399999999906868,1618822.949999999953434,1116673.520000000018626,1523405.319999999832362,1398386.900000000139698,1203366.800000000046566,1439382.400000000139698,1434103.720000000204891,12980357.310000002384186
FS( 208 ),1412498.800000000046566,1815301.219999999972060,1629107.219999999972060,1070476.320000000065193,1536222.759999999776483,1488049.650000000139698,1198653.000000000000000,1463125.300000000046566,1426821.820000000065193,13040257.090000001713634
FS( 209 ),1401882.399999999906868,1835048.840000000083819,1613503.500000000000000,1078490.119999999878928,1544024.679999999934807,1489470.050000000046566,1183501.500000000000000,1441034.080000000074506,1407079.780000000260770,12994035.949999999254942
FS( 210 ),1408517.649999999906868,1826059.780000000260770,1605347.010000000009313,1092632.119999999878928,1550340.520000000018626,1476864.000000000232831,1180471.200000000186265,1446746.140000000130385,1412905.300000000046566,12999884.720000002533197
FS( 211 ),1412498.800000000046566,1829740.340000000083819,1611139.299999999813735,1092726.399999999906868,1545325.000000000000000,1476864.000000000232831,1187205.199999999953434,1441997.560000000055879,1423099.960000000195578,13020597.560000000521541
FS( 212 ),1415300.350000000093132,1858972.479999999981374,1613267.079999999841675,1087352.439999999944121,1561393.239999999990687,1492310.850000000093132,1193939.199999999953434,1452802.300000000046566,1437016.479999999981374,13112355.419999999925494
FS( 213 ),1421935.600000000093132,1852743.840000000083819,1615158.439999999944121,1084146.919999999925494,1566501.639999999897555,1493908.800000000046566,1196969.500000000000000,1464983.440000000176951,1451256.640000000130385,13147605.820000000298023
FS( 214 ),1419871.300000000046566,1869164.800000000046566,1627925.120000000111759,1103474.320000000065193,1579690.599999999860302,1499767.950000000186265,1189225.399999999906868,1459821.940000000176951,1435398.280000000260770,13184340.710000000894070
FS( 215 ),1406305.900000000139698,1883745.479999999981374,1640928.219999999972060,1105359.919999999925494,1586192.199999999953434,1496216.949999999953434,1190572.199999999953434,1463813.500000000000000,1439443.780000000260770,13212579.149999998509884
FS( 216 ),1402767.099999999860302,1879781.800000000046566,1622960.299999999813735,1099985.959999999962747,1579969.239999999990687,1501365.900000000139698,1189898.800000000046566,1450531.240000000223517,1460642.200000000186265,13187903.539999999105930
FS( 217 ),1382419.000000000000000,1859467.939999999944121,1599909.350000000093132,1105359.919999999925494,1551176.439999999944121,1493021.050000000046566,1185185.000000000000000,1455968.020000000018626,1461289.479999999981374,13093797.200000001117587
FS( 218 ),1379027.649999999906868,1846373.640000000130385,1613385.289999999804422,1104794.239999999990687,1538080.359999999869615,1489114.950000000186265,1184511.600000000093132,1452595.840000000083819,1471322.320000000065193,13079206.889999998733401
FS( 219 ),1384630.750000000000000,1857486.100000000093132,1613976.340000000083819,1105265.639999999897555,1554613.000000000000000,1490180.250000000232831,1188552.000000000000000,1463538.219999999972060,1472455.060000000055879,13130698.360000001266599
FS( 220 ),1382566.450000000186265,1852814.620000000111759,1625915.549999999813735,1102342.959999999962747,1561486.120000000111759,1492310.850000000093132,1191245.600000000093132,1457000.320000000065193,1474073.260000000242144,13139756.730000000447035
FS( 221 ),1375193.950000000186265,1860600.420000000158325,1585251.309999999823049,1097911.800000000046566,1554148.599999999860302,1473313.000000000232831,1190572.199999999953434,1444268.620000000111759,1453683.940000000176951,13034944.839999997988343
FS( 222 ),1379617.449999999953434,1866545.939999999944121,1611966.770000000018626,1080187.159999999916181,1561300.359999999869615,1477219.100000000093132,1197306.200000000186265,1453008.760000000009313,1612105.720000000204891,13239258.460000000894070
FS( 223 ),1381534.300000000046566,1856353.620000000111759,1609247.939999999944121,1081507.079999999841675,1548575.800000000046566,1463015.100000000093132,1190908.899999999906868,1444543.900000000139698,1577314.420000000158325,13153002.060000000521541
FS( 224 ),1385368.000000000000000,1873128.479999999981374,1618468.319999999832362,1081601.359999999869615,1550526.280000000027940,1465323.250000000000000,1190235.500000000000000,1446952.600000000093132,1577476.240000000223517,13189081.030000001192093
FS( 225 ),1392150.699999999953434,1889832.560000000055879,1626624.809999999823049,1085843.959999999962747,1563250.840000000083819,1486451.700000000186265,1196632.800000000046566,1463125.300000000046566,1561941.520000000018626,13265855.190000001341105
FS( 226 ),1383451.149999999906868,1876809.040000000037253,1631471.419999999925494,1092820.679999999934807,1570216.840000000083819,1475621.150000000139698,1192929.100000000093132,1453628.140000000130385,1560161.500000000000000,13237110.019999999552965
FS( 227 ),1378437.850000000093132,1881975.979999999981374,1624142.399999999906868,1098477.479999999981374,1570774.120000000111759,1478284.400000000139698,1194949.300000000046566,1462505.919999999925494,1563559.720000000204891,13253108.170000001788139
FS( 228 ),1378290.399999999906868,1879852.580000000074506,1621778.199999999953434,1089803.719999999972060,1569380.919999999925494,1489114.950000000186265,1194949.300000000046566,1461748.900000000139698,1563559.720000000204891,13248479.690000001341105
FS( 229 ),1404978.850000000093132,1896910.560000000055879,1643056.000000000000000,1097911.800000000046566,1591486.359999999869615,1507047.500000000000000,1207070.500000000000000,1487487.580000000074506,1565987.020000000018626,13401937.169999999925494
FS( 230 ),1424442.250000000000000,1906182.740000000223517,1632062.469999999972060,1104794.239999999990687,1583034.280000000027940,1479704.800000000046566,1219191.699999999953434,1533872.260000000009313,1578770.800000000046566,13462056.540000000968575
FS( 231 ),1440809.199999999953434,1959267.740000000223517,1668589.360000000102445,1121858.919999999925494,1597337.800000000046566,1494441.450000000186265,1220875.199999999953434,1570278.040000000037253,1573430.740000000223517,13646889.450000001117587
FS( 232 ),1443020.949999999953434,1920904.979999999981374,1672963.130000000121072,1126761.479999999981374,1605697.000000000000000,1496039.400000000139698,1223905.500000000000000,1560712.060000000055879,1575372.580000000074506,13625378.080000000074506
FS( 233 ),1453784.800000000046566,1967549.000000000232831,1672726.709999999962747,1139300.719999999972060,1585077.639999999897555,1439578.500000000000000,1214141.200000000186265,1523824.540000000037253,1569870.700000000186265,13565854.809999998658895
FS( 234 ),1455554.199999999953434,1950349.460000000195578,1656650.149999999906868,1135058.119999999878928,1606811.560000000055879,1448633.550000000046566,1199663.100000000093132,1514671.480000000214204,1583139.940000000176951,13550532.560000000521541
FS( 235 ),1448181.699999999953434,1969672.399999999906868,1659014.350000000093132,1127704.280000000027940,1611362.679999999934807,1469762.000000000000000,1197306.200000000186265,1513639.180000000167638,1574239.840000000083819,13570883.629999998956919
FS( 236 ),1453637.349999999860302,1995861.000000000232831,1689157.899999999906868,1127892.839999999850988,1606068.520000000018626,1464613.050000000046566,1195286.000000000000000,1515084.400000000139698,1566148.840000000083819,13613750.900000000372529
FS( 237 ),1453195.000000000000000,2023677.540000000037253,1700624.270000000018626,1130626.959999999962747,1608297.639999999897555,1494263.900000000139698,1203366.800000000046566,1540960.719999999972060,1562426.979999999981374,13717440.810000002384186
FS( 238 ),1459830.250000000000000,2004283.820000000298023,1699560.380000000121072,1135340.959999999962747,1609226.439999999944121,1513261.750000000232831,1219191.699999999953434,1533115.240000000223517,1568576.140000000130385,13742387.679999999701977
FS( 239 ),1465285.900000000139698,2052272.660000000149012,1695423.029999999795109,1128364.239999999990687,1599752.679999999934807,1519476.000000000000000,1231649.599999999860302,1531188.280000000260770,1564854.280000000260770,13788267.670000001788139
FS( 240 ),1441841.350000000093132,2065720.859999999869615,1756301.179999999934807,1130721.239999999990687,1612012.840000000083819,1515392.350000000093132,1233669.800000000046566,1543988.800000000046566,1582007.200000000186265,13881656.620000001043081
FS( 241 ),1432552.000000000000000,2080159.979999999981374,1729231.090000000083819,1126950.040000000037253,1608204.759999999776483,1503674.050000000046566,1227609.199999999953434,1522654.600000000093132,1571812.540000000037253,13802849.259999997913837
FS( 242 ),1452752.649999999906868,2080584.660000000149012,1734077.699999999953434,1128835.639999999897555,1616749.719999999972060,1542024.850000000093132,1252525.000000000000000,1526577.340000000083819,1571488.900000000139698,13905617.459999999031425
FS( 243 ),1469856.850000000093132,2096156.260000000009313,1770486.380000000121072,1128552.800000000046566,1618050.039999999804422,1533680.000000000000000,1250168.100000000093132,1532427.040000000037253,1584272.680000000167638,13983651.149999998509884
FS( 244 ),1462042.000000000000000,2104012.839999999850988,1783962.319999999832362,1129872.719999999972060,1610526.759999999776483,1523914.750000000000000,1243770.799999999813735,1528091.380000000121072,1598836.479999999981374,13985031.050000002607703
