代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12989926.530000001192093
真實報酬,2989926.530000001192093

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23237.002804545678373
風險,151548.348061101947678
起點值,0.153330624199063
找到最佳解世代,1650
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](2),CVX[5](8),DIS[6](3),KO[14](15),XOM[29](1),
FS( 32 ),2092044.799999999813735,2071018.550000000046566,2234553.080000000074506,2129903.359999999869615,2253913.259999999776483,10781433.049999998882413
FS( 33 ),2054971.200000000186265,2012934.650000000139698,2214757.040000000037253,2100133.839999999850988,2204665.599999999627471,10587462.330000000074506
FS( 34 ),2075425.600000000093132,2012446.549999999813735,2232753.439999999478459,2115018.600000000093132,2206904.129999999888241,10642548.320000000298023
FS( 35 ),2125027.520000000018626,2045637.349999999860302,2254349.120000000111759,2159672.880000000353903,2248476.830000000074506,10833163.700000001117587
FS( 36 ),2147016.000000000000000,2048565.949999999953434,2220155.959999999962747,2175910.799999999813735,2255832.000000000000000,10847480.710000000894070
FS( 37 ),2147783.040000000037253,2036607.500000000000000,2216556.679999999701977,2174557.640000000130385,2244639.349999999627471,10820144.209999999031425
FS( 38 ),2112754.879999999888241,1995119.000000000000000,2166766.639999999664724,2152230.500000000000000,2205944.759999999776483,10632815.779999999329448
FS( 39 ),2165424.959999999962747,2023916.900000000139698,2211757.639999999664724,2186059.500000000000000,2234725.860000000335276,10821884.859999999403954
FS( 40 ),2151106.879999999888241,2002440.500000000000000,2201559.679999999701977,2169145.000000000000000,2213939.509999999776483,10738191.569999998435378
FS( 41 ),2139345.600000000093132,1993654.699999999953434,2184763.040000000037253,2144788.120000000111759,2220974.890000000596046,10683526.350000001490116
FS( 42 ),2163123.839999999850988,1976083.099999999860302,2190161.959999999962747,2137345.740000000223517,2224492.580000000074506,10691207.220000000670552
FS( 43 ),2235992.640000000130385,2018303.750000000000000,2226754.639999999664724,2188765.820000000298023,2281095.410000000149012,10950912.260000001639128
FS( 44 ),2265907.200000000186265,2062232.750000000000000,2239952.000000000000000,2195531.620000000111759,2285892.259999999776483,11049515.830000000074506
FS( 45 ),2285338.879999999888241,2071750.699999999953434,2254949.000000000000000,2182000.020000000018626,2276618.349999999627471,11070656.949999999254942
FS( 46 ),2280736.640000000130385,2073215.000000000000000,2253149.360000000335276,2165085.520000000018626,2280455.830000000074506,11052642.350000001490116
FS( 47 ),2310139.839999999850988,2106161.750000000000000,2239352.120000000111759,2169821.580000000074506,2285252.679999999701977,11110727.969999998807907
FS( 48 ),2291475.200000000186265,2102256.950000000186265,2217756.439999999478459,2178617.120000000111759,2297724.490000000223517,11087830.200000001117587
FS( 49 ),2292753.600000000093132,2114703.500000000000000,2203959.200000000186265,2193501.880000000353903,2302521.339999999850988,11107439.519999999552965
FS( 50 ),2299656.959999999962747,2123977.399999999906868,2199160.159999999217689,2187412.659999999683350,2308277.560000000521541,11118484.739999998360872
FS( 51 ),2342866.879999999888241,2156680.100000000093132,2227354.519999999552965,2193501.880000000353903,2314033.780000000260770,11234437.160000000149012
FS( 52 ),2354628.160000000149012,2156924.149999999906868,2233953.200000000186265,2161702.620000000111759,2308277.560000000521541,11215485.690000001341105
FS( 53 ),2380963.200000000186265,2147894.300000000279397,2216556.679999999701977,2190118.979999999981374,2297724.490000000223517,11233257.650000000372529
FS( 54 ),2383008.640000000130385,2173519.550000000279397,2220155.959999999962747,2210416.380000000353903,2309556.719999999739230,11296657.250000000000000
FS( 55 ),2367412.160000000149012,2159608.699999999720603,2222555.479999999515712,2222594.820000000298023,2307957.770000000484288,11280128.929999999701977
FS( 56 ),2385565.439999999944121,2167174.250000000000000,2223155.360000000335276,2209739.799999999813735,2309556.719999999739230,11295191.570000000298023
FS( 57 ),2419570.879999999888241,2177668.399999999906868,2239352.120000000111759,2215152.439999999944121,2325546.219999999739230,11377290.059999998658895
FS( 58 ),2418036.799999999813735,2194507.850000000093132,2276544.679999999701977,2219211.919999999925494,2328104.540000000037253,11436405.789999999105930
FS( 59 ),2414968.640000000130385,2213055.650000000372529,2261547.679999999701977,2218535.339999999850988,2340896.140000000596046,11449003.450000001117587
FS( 60 ),2405252.799999999813735,2199388.850000000093132,2248350.319999999366701,2200944.260000000242144,2334820.129999999888241,11388756.359999999403954
FS( 61 ),2395536.959999999962747,2225502.199999999720603,2241151.759999999776483,2211092.959999999962747,2347931.520000000484288,11421215.399999998509884
FS( 62 ),2397838.080000000074506,2229895.100000000093132,2255548.879999999888241,2214475.859999999869615,2346332.570000000298023,11444090.490000000223517
FS( 63 ),2400139.200000000186265,2235508.250000000000000,2248350.319999999366701,2215829.020000000018626,2346012.780000000260770,11445839.570000000298023
FS( 64 ),2394769.919999999925494,2226966.500000000000000,2250149.959999999962747,2225301.140000000130385,2338337.820000000298023,11435525.339999999850988
FS( 65 ),2407298.240000000223517,2243805.949999999720603,2268746.240000000223517,2206356.899999999906868,2384067.790000000037253,11510275.120000001043081
FS( 66 ),2396048.319999999832362,2235508.250000000000000,2338932.200000000186265,2161026.040000000037253,2395260.440000000409782,11526775.250000000000000
FS( 67 ),2416758.399999999906868,2231603.449999999720603,2397120.559999999590218,2148171.020000000018626,2388864.640000000596046,11582518.070000000298023
FS( 68 ),2391701.760000000242144,2213299.699999999720603,2378524.279999999329448,2132609.680000000167638,2404214.560000000521541,11520349.980000000447035
FS( 69 ),2396559.680000000167638,2225502.199999999720603,2366526.679999999701977,2128550.200000000186265,2417325.950000000186265,11534464.710000000894070
FS( 70 ),2387866.560000000055879,2206466.299999999813735,2369526.080000000074506,2133286.260000000242144,2402615.610000000335276,11499760.809999998658895
FS( 71 ),2402184.640000000130385,2241121.399999999906868,2363527.279999999329448,2121107.820000000298023,2420523.849999999627471,11548464.990000000223517
FS( 72 ),2390423.359999999869615,2256252.500000000000000,2349730.040000000037253,2132609.680000000167638,2448985.160000000149012,11578000.740000000223517
FS( 73 ),2407042.560000000055879,2249663.150000000372529,2355128.959999999962747,2144788.120000000111759,2453142.429999999701977,11609765.220000000670552
FS( 74 ),2403718.720000000204891,2265526.399999999906868,2356928.599999999627471,2135992.580000000074506,2489278.700000000186265,11651445.000000000000000
FS( 75 ),2460479.680000000167638,2278217.000000000000000,2362927.399999999441206,2147494.439999999944121,2517100.429999999701977,11766218.949999999254942
FS( 76 ),2442837.760000000242144,2268943.100000000093132,2344931.000000000000000,2145464.700000000186265,2502070.299999999813735,11704246.859999999403954
FS( 77 ),2393491.520000000018626,2262597.799999999813735,2349730.040000000037253,2129226.779999999795109,2486400.589999999850988,11621446.730000000447035
FS( 78 ),2371503.040000000037253,2288711.149999999906868,2383923.200000000186265,2123814.140000000130385,2525734.759999999776483,11693686.289999999105930
FS( 79 ),2418036.799999999813735,2296520.750000000000000,2395920.799999999813735,2140052.060000000055879,2513262.950000000186265,11763793.359999999403954
FS( 80 ),2413434.560000000055879,2296032.649999999906868,2391121.759999999776483,2129903.359999999869615,2516141.060000000521541,11746633.390000000596046
FS( 81 ),2448207.040000000037253,2309699.450000000186265,2365926.799999999813735,2129903.359999999869615,2547480.479999999515712,11801217.129999998956919
FS( 82 ),2470706.879999999888241,2312384.000000000000000,2367126.559999999590218,2121107.820000000298023,2554515.860000000335276,11825841.120000001043081
FS( 83 ),2446417.280000000260770,2278705.100000000093132,2330533.879999999888241,2104869.899999999906868,2526054.549999999813735,11686580.710000000894070
FS( 84 ),2480422.720000000204891,2316776.900000000372529,2331733.639999999664724,2126520.459999999962747,2580099.060000000521541,11835552.780000001192093
FS( 85 ),2505990.720000000204891,2348259.350000000093132,2392321.519999999552965,2133286.260000000242144,2683391.229999999515712,12063249.079999998211861
FS( 86 ),2533604.160000000149012,2354604.649999999906868,2428914.200000000186265,2126520.459999999962747,2667401.729999999515712,12111045.199999999254942
FS( 87 ),2529513.280000000260770,2374860.800000000279397,2429514.080000000074506,2117048.339999999850988,2668361.099999999627471,12119297.599999999627471
FS( 88 ),2546388.160000000149012,2369979.799999999813735,2442111.559999999590218,2116371.760000000242144,2663244.459999999962747,12138095.739999998360872
FS( 89 ),2568888.000000000000000,2383402.549999999813735,2455908.799999999813735,2115018.600000000093132,2684030.810000000521541,12207248.759999999776483
FS( 90 ),2572467.520000000018626,2385354.949999999720603,2470305.919999999925494,2127197.040000000037253,2653650.759999999776483,12208976.189999999478459
FS( 91 ),2551501.760000000242144,2348747.449999999720603,2601079.759999999776483,2136669.159999999683350,2639899.790000000037253,12277897.919999998062849
FS( 92 ),2572211.839999999850988,2359973.750000000000000,2598080.360000000335276,2149524.180000000167638,2660686.140000000596046,12340476.270000001415610
FS( 93 ),2647381.760000000242144,2353872.500000000000000,2604079.159999999217689,2150877.339999999850988,2648534.120000000111759,12404744.879999998956919
FS( 94 ),2640222.720000000204891,2366075.000000000000000,2593881.200000000186265,2135992.580000000074506,2715370.229999999515712,12451541.730000000447035
FS( 95 ),2633575.040000000037253,2351187.950000000186265,2584883.000000000000000,2138022.320000000298023,2653330.969999999739230,12360999.280000001192093
FS( 96 ),2647637.439999999944121,2358997.549999999813735,2621475.679999999701977,2144788.120000000111759,2676355.849999999627471,12449254.639999998733401
FS( 97 ),2642779.520000000018626,2371444.100000000093132,2621475.679999999701977,2184029.760000000242144,2682431.860000000335276,12502160.920000001788139
FS( 98 ),2706699.520000000018626,2409271.850000000093132,2613077.360000000335276,2184029.760000000242144,2702258.839999999850988,12615337.330000000074506
FS( 99 ),2608262.720000000204891,2448319.849999999627471,2558488.279999999329448,2156966.560000000055879,2732319.099999999627471,12504356.509999999776483
FS( 100 ),2557382.399999999906868,2495909.600000000093132,2527294.519999999552965,2162379.200000000186265,2784444.870000000111759,12527410.589999999850988
FS( 101 ),2571444.799999999813735,2490052.399999999906868,2544691.040000000037253,2161026.040000000037253,2749267.969999999739230,12516482.250000000000000
FS( 102 ),2608007.040000000037253,2491760.750000000000000,2576484.679999999701977,2175910.799999999813735,2729121.200000000186265,12581284.469999998807907
FS( 103 ),2631785.280000000260770,2532029.000000000000000,2623875.200000000186265,2162379.200000000186265,2735197.209999999962747,12685265.890000000596046
FS( 104 ),2553291.520000000018626,2511284.750000000000000,2578884.200000000186265,2196208.200000000186265,2711852.540000000037253,12551521.210000000894070
FS( 105 ),2581672.000000000000000,2525195.600000000093132,2596880.599999999627471,2179970.279999999795109,2720806.660000000149012,12604525.139999998733401
FS( 106 ),2665535.040000000037253,2542767.199999999720603,2643671.240000000223517,2217858.760000000242144,2744471.120000000111759,12814303.359999999403954
FS( 107 ),2634597.760000000242144,2532029.000000000000000,2612477.479999999515712,2205680.320000000298023,2720806.660000000149012,12705591.219999998807907
FS( 108 ),2611330.879999999888241,2513969.300000000279397,2580683.839999999850988,2206356.899999999906868,2709294.219999999739230,12621635.140000000596046
FS( 109 ),2662466.879999999888241,2532517.100000000093132,2591481.679999999701977,2220565.080000000074506,2705456.740000000223517,12712487.480000000447035
FS( 110 ),2617211.520000000018626,2492736.950000000186265,2586682.639999999664724,2219888.500000000000000,2698421.360000000335276,12614940.969999998807907
FS( 111 ),2515706.560000000055879,2418057.649999999906868,2547690.439999999478459,2209063.219999999739230,2602484.360000000335276,12293002.230000000447035
FS( 112 ),2557382.399999999906868,2438801.900000000372529,2575284.919999999925494,2192825.299999999813735,2626148.820000000298023,12390443.339999999850988
FS( 113 ),2610563.839999999850988,2460034.250000000000000,2533893.200000000186265,2163055.779999999795109,2634463.360000000335276,12402010.429999999701977
FS( 114 ),2576047.040000000037253,2470528.399999999906868,2496700.639999999664724,2132609.680000000167638,2602804.150000000372529,12278689.910000000149012
FS( 115 ),2567098.240000000223517,2428551.800000000279397,2435512.879999999888241,2083895.920000000158325,2536287.830000000074506,12051346.670000001788139
FS( 116 ),2636643.200000000186265,2495177.449999999720603,2445110.959999999962747,2106899.640000000130385,2595448.979999999515712,12279280.230000000447035
FS( 117 ),2686245.120000000111759,2508844.250000000000000,2473305.319999999366701,2121107.820000000298023,2585535.490000000223517,12375038.000000000000000
FS( 118 ),2750932.160000000149012,2567172.199999999720603,2508698.240000000223517,2150877.339999999850988,2649173.700000000186265,12626853.640000000596046
FS( 119 ),2730477.760000000242144,2568148.399999999906868,2485902.799999999813735,2148847.600000000093132,2640219.580000000074506,12573596.140000000596046
FS( 120 ),2729710.720000000204891,2574249.649999999906868,2533893.200000000186265,2174557.640000000130385,2641498.740000000223517,12653909.950000001117587
FS( 121 ),2770875.200000000186265,2571809.149999999906868,2571085.759999999776483,2188765.820000000298023,2645656.009999999776483,12748191.939999999478459
FS( 122 ),2789284.160000000149012,2605976.149999999906868,2577684.439999999478459,2206356.899999999906868,2674117.320000000298023,12853418.970000000670552
FS( 123 ),2797210.240000000223517,2587916.450000000186265,2550689.839999999850988,2200267.680000000167638,2669320.469999999739230,12805404.679999999701977
FS( 124 ),2826357.760000000242144,2620375.100000000093132,2575884.799999999813735,2223271.399999999906868,2662285.089999999850988,12908174.150000000372529
FS( 125 ),2851670.080000000074506,2635994.300000000279397,2600479.879999999888241,2234096.680000000167638,2701939.049999999813735,13024179.990000002086163
FS( 126 ),2847067.839999999850988,2623303.699999999720603,2584883.000000000000000,2244245.380000000353903,2690426.610000000335276,12989926.530000001192093
