天數,二次加權,一次,二次平均
Day 26,10510312.800000000745058,10653214.650000002235174,10653214.650000002235174
Day 27,10602841.140000000596046,10696004.839999999850988,10696004.839999999850988
Day 28,10586613.019999999552965,10651355.240000000223517,10651355.240000000223517
Day 29,10504028.480000000447035,10608352.460000000894070,10608352.460000000894070
Day 30,10565149.699999999254942,10682958.700000001117587,10682958.700000001117587
Day 31,10594496.320000000298023,10713885.270000001415610,10713885.270000001415610
Day 32,10550925.030000001192093,10651619.700000001117587,10651619.700000001117587
Day 33,10416479.880000000819564,10490027.910000000149012,10490027.910000000149012
Day 34,10453082.530000001192093,10546571.610000001266599,10546571.610000001266599
Day 35,10594720.939999997615814,10618088.400000002235174,10618088.400000002235174
Day 36,10617732.670000001788139,10663558.250000000000000,10663558.250000000000000
Day 37,10774221.400000000372529,10847761.099999999627471,10847761.099999999627471
Day 38,10733624.440000001341105,10798661.789999999105930,10798661.789999999105930
Day 39,10754870.340000001713634,10879719.960000000894070,10879719.960000000894070
Day 40,10796177.120000001043081,10921239.980000000447035,10921239.980000000447035
Day 41,10869549.649999998509884,10941906.130000000819564,10941906.130000000819564
Day 42,10815955.689999997615814,10954085.689999999478459,10954085.689999999478459
Day 43,10797826.280000001192093,10978548.260000001639128,10978548.260000001639128
Day 44,10619746.120000001043081,10841387.000000000000000,10841387.000000000000000
Day 45,10545852.129999998956919,10865392.000000000000000,10865392.000000000000000
Day 46,10559949.309999998658895,10893554.359999999403954,10893554.359999999403954
Day 47,10652041.209999999031425,10970364.810000000521541,10970364.810000000521541
Day 48,10764513.320000000298023,11040849.410000000149012,11040849.410000000149012
Day 49,10800274.060000002384186,11078934.750000001862645,11078934.750000001862645
Day 50,10908947.140000000596046,11184673.969999998807907,11184673.969999998807907
Day 51,10958784.240000002086163,11181768.740000000223517,11181768.740000000223517
Day 52,11038098.910000000149012,11251729.369999999180436,11251729.369999999180436
Day 53,11054763.410000000149012,11272052.800000000745058,11272052.800000000745058
Day 54,11150977.320000000298023,11355249.329999998211861,11355249.329999998211861
Day 55,11202333.410000000149012,11366603.740000000223517,11366603.740000000223517
Day 56,11223395.280000001192093,11378461.280000001192093,11378461.280000001192093
Day 57,11176855.089999999850988,11341378.610000001266599,11341378.610000001266599
Day 58,11208219.969999998807907,11425515.010000001639128,11425515.010000001639128
Day 59,11166899.050000000745058,11352410.200000001117587,11352410.200000001117587
Day 60,11134197.390000000596046,11305501.800000000745058,11305501.800000000745058
Day 61,11069776.750000000000000,11212854.199999999254942,11212854.199999999254942
Day 62,11184711.800000000745058,11331999.850000001490116,11331999.850000001490116
Day 63,11161100.720000000670552,11428909.079999998211861,11428909.079999998211861
Day 64,11320862.169999999925494,11429452.690000001341105,11429452.690000001341105
Day 65,11111401.939999999478459,11326623.160000000149012,11326623.160000000149012
Day 66,11120748.129999998956919,11294439.750000000000000,11294439.750000000000000
Day 67,11140256.320000000298023,11321037.660000000149012,11321037.660000000149012
Day 68,11267893.010000001639128,11418908.970000002533197,11418908.970000002533197
Day 69,11363833.649999998509884,11543032.539999999105930,11543032.539999999105930
Day 70,11469934.469999998807907,11672515.709999999031425,11672515.709999999031425
Day 71,11495668.440000001341105,11718278.129999998956919,11718278.129999998956919
Day 72,11548164.899999998509884,11755561.480000000447035,11755561.480000000447035
Day 73,11572639.689999999478459,11697653.730000002309680,11697653.730000002309680
Day 74,11672209.320000000298023,11779213.859999999403954,11779213.859999999403954
Day 75,11777114.550000000745058,11919822.780000001192093,11919822.780000001192093
Day 76,11735554.420000001788139,11882801.009999997913837,11882801.009999997913837
Day 77,11812544.160000000149012,11912953.640000000596046,11912953.640000000596046
Day 78,11747876.019999999552965,11847032.130000002682209,11847032.130000002682209
Day 79,11684252.440000001341105,11832439.800000000745058,11832439.800000000745058
Day 80,11734455.300000000745058,11938308.210000000894070,11938308.210000000894070
Day 81,11693657.380000000819564,11900215.030000001192093,11900215.030000001192093
Day 82,11660655.769999999552965,11860686.240000002086163,11860686.240000002086163
Day 83,11740394.589999999850988,11799893.830000001937151,11799893.830000001937151
Day 84,11697190.200000001117587,11744730.089999999850988,11744730.089999999850988
Day 85,11752577.820000000298023,11908859.330000001937151,11908859.330000001937151
Day 86,11545027.970000000670552,11698346.800000000745058,11698346.800000000745058
Day 87,11659507.039999999105930,11846287.630000002682209,11846287.630000002682209
Day 88,11581865.870000001043081,11773830.230000000447035,11773830.230000000447035
Day 89,11805768.739999998360872,11918673.579999998211861,11918673.579999998211861
Day 90,12001377.209999999031425,12097774.380000000819564,12097774.380000000819564
Day 91,11996051.250000000000000,12086393.169999999925494,12086393.169999999925494
Day 92,12212567.750000000000000,12281714.190000001341105,12281714.190000001341105
Day 93,12206224.309999998658895,12303130.079999998211861,12303130.079999998211861
Day 94,12208152.130000000819564,12288955.759999999776483,12288955.759999999776483
Day 95,12141889.439999999478459,12248658.289999999105930,12248658.289999999105930
Day 96,12210416.029999999329448,12313156.539999999105930,12313156.539999999105930
Day 97,12313012.870000001043081,12346882.230000000447035,12346882.230000000447035
Day 98,12381379.000000000000000,12428359.149999998509884,12428359.149999998509884
Day 99,12413840.969999998807907,12382449.350000001490116,12382449.350000001490116
Day 100,12371993.089999999850988,12350672.089999999850988,12350672.089999999850988
Day 101,12470803.130000000819564,12330780.110000001266599,12330780.110000001266599
Day 102,12561310.990000002086163,12457350.000000001862645,12457350.000000001862645
Day 103,12551032.760000001639128,12469277.740000002086163,12469277.740000002086163
Day 104,12646675.629999998956919,12492124.679999999701977,12492124.679999999701977
Day 105,12466446.050000000745058,12323882.359999999403954,12323882.359999999403954
Day 106,12493628.220000000670552,12367028.949999999254942,12367028.949999999254942
Day 107,12711408.179999999701977,12571660.899999998509884,12571660.899999998509884
Day 108,12656479.910000002011657,12470218.640000000596046,12470218.640000000596046
Day 109,12532545.109999999403954,12341215.269999999552965,12341215.269999999552965
Day 110,12543144.500000000000000,12404806.400000000372529,12404806.400000000372529
Day 111,12540102.190000001341105,12375655.750000000000000,12375655.750000000000000
Day 112,12451678.120000001043081,12296280.210000000894070,12296280.210000000894070
Day 113,12525270.590000001713634,12500940.640000000596046,12500940.640000000596046
Day 114,12643888.600000001490116,12595892.219999998807907,12595892.219999998807907
Day 115,12643335.389999998733401,12644884.280000001192093,12644884.280000001192093
Day 116,12834143.360000001266599,12726919.660000000149012,12726919.660000000149012
Day 117,12897548.510000001639128,12755105.470000000670552,12755105.470000000670552
Day 118,12877094.980000000447035,12759533.390000000596046,12759533.390000000596046
Day 119,12712915.750000000000000,12579304.839999999850988,12579304.839999999850988
Day 120,12891183.260000001639128,12655332.150000000372529,12655332.150000000372529
Day 121,12905157.849999997764826,12645511.800000000745058,12645511.800000000745058
Day 122,12906615.109999999403954,12677637.470000000670552,12677637.470000000670552
Day 123,12888564.169999998062849,12715039.530000001192093,12715039.530000001192093
Day 124,12878694.330000001937151,12744566.330000001937151,12744566.330000001937151
Day 125,12940695.820000000298023,12790988.890000000596046,12790988.890000000596046
Day 126,13025690.570000000298023,12866177.600000001490116,12866177.600000001490116
Day 127,12987046.910000000149012,12824755.129999998956919,12824755.129999998956919
Day 128,12856964.690000001341105,12678151.320000000298023,12678151.320000000298023
result_train_2010_Q1-Q2(2010 Q1).csv,124
Day 1,10000000.000000000000000,10000000.000000000000000,10000000.000000000000000
Day 2,10019627.080000000074506,10090229.460000000894070,10019627.080000000074506
Day 3,9859339.259999999776483,10096095.679999999701977,9859339.259999999776483
Day 4,9839712.179999999701977,10257031.949999999254942,9839712.179999999701977
Day 5,9905135.780000001192093,10240054.250000000000000,9905135.780000001192093
Day 6,9820085.099999999627471,10193876.620000001043081,9820085.099999999627471
Day 7,9705593.800000000745058,10147658.750000000000000,9705593.800000000745058
Day 8,9842983.359999999403954,10233051.570000000298023,9842983.359999999403954
Day 9,9787373.300000000745058,10241433.839999999850988,9787373.300000000745058
Day 10,9623814.300000000745058,10123362.769999999552965,9623814.300000000745058
Day 11,10049067.699999999254942,10318740.859999999403954,10049067.699999999254942
Day 12,9895322.240000000223517,10215838.029999999329448,9895322.240000000223517
Day 13,9721949.699999999254942,10108802.410000000149012,9721949.699999999254942
Day 14,9241086.240000000223517,9873756.939999999478459,9241086.240000000223517
Day 15,9489695.919999999925494,9941291.410000000149012,9489695.919999999925494
Day 16,9623814.300000000745058,10020072.490000000223517,9623814.300000000745058
Day 17,9715407.339999999850988,10296741.070000000298023,9715407.339999999850988
Day 18,9313052.199999999254942,10152217.390000000596046,9313052.199999999254942
Day 19,8976120.660000000149012,9902376.540000000968575,8976120.660000000149012
Day 20,9100425.500000000000000,10086596.359999999403954,9100425.500000000000000
Day 21,9152764.380000000819564,10125715.820000000298023,9152764.380000000819564
Day 22,9309781.020000001415610,10212226.800000000745058,9309781.020000001415610
Day 23,8976120.660000000149012,9912975.150000000372529,8976120.660000000149012
Day 24,9133137.300000000745058,9874091.960000000894070,9133137.300000000745058
Day 25,9070984.880000000819564,9799221.969999998807907,9070984.880000000819564
Day 26,9169120.280000001192093,9976211.469999998807907,9169120.280000001192093
Day 27,9116781.400000000372529,9929908.230000000447035,9116781.400000000372529
Day 28,9283611.580000000074506,10076489.070000000298023,9283611.580000000074506
Day 29,9365391.080000000074506,10037356.800000000745058,9365391.080000000074506
Day 30,9506051.820000000298023,10202069.599999999627471,9506051.820000000298023
Day 31,9466797.660000000149012,10235485.150000000372529,9466797.660000000149012
Day 32,9483153.560000000521541,10316104.310000000521541,9483153.560000000521541
Day 33,9424272.320000000298023,10351815.089999999850988,9424272.320000000298023
Day 34,9365391.080000000074506,10356327.460000000894070,9365391.080000000074506
Day 35,9208374.439999999478459,10238098.640000000596046,9208374.439999999478459
Day 36,9378475.800000000745058,10357632.400000000372529,9378475.800000000745058
Day 37,9440628.220000000670552,10295433.080000000074506,9440628.220000000670552
Day 38,9561661.880000000819564,10324843.730000000447035,9561661.880000000819564
Day 39,9767746.220000000670552,10450280.369999999180436,9767746.220000000670552
Day 40,9761203.859999999403954,10478984.659999998286366,9761203.859999999403954
Day 41,9780830.939999999478459,10462758.529999999329448,9780830.939999999478459
Day 42,9846254.540000000968575,10539213.630000000819564,9846254.540000000968575
Day 43,10232253.780000001192093,10821834.990000000223517,10232253.780000001192093
Day 44,10238796.140000000596046,10860063.750000000000000,10238796.140000000596046
Day 45,10421982.220000000670552,10952696.839999999850988,10421982.220000000670552
Day 46,10507032.899999998509884,11104271.039999999105930,10507032.899999998509884
Day 47,10536473.520000001415610,11131980.179999999701977,10536473.520000001415610
Day 48,10588812.399999998509884,11152176.900000000372529,10588812.399999998509884
Day 49,10461236.380000000819564,11105376.500000000000000,10461236.380000000819564
Day 50,10487405.820000000298023,11081186.479999998584390,10487405.820000000298023
Day 51,10474321.100000001490116,11132444.150000000372529,10474321.100000001490116
Day 52,10497219.360000001266599,11244411.550000000745058,10497219.360000001266599
Day 53,10385999.240000000223517,11190474.089999999850988,10385999.240000000223517
Day 54,10503761.720000000670552,11325820.000000000000000,10503761.720000000670552
Day 55,10670591.899999998509884,11415502.099999997764826,10670591.899999998509884
Day 56,10719659.600000001490116,11410962.320000000298023,10719659.600000001490116
Day 57,10592083.580000001937151,11383833.220000000670552,10592083.580000001937151
Day 58,10791625.560000000521541,11475394.509999999776483,10791625.560000000521541
Day 59,10860320.340000001713634,11578390.809999998658895,10860320.340000001713634
Day 60,11020608.160000000149012,11606432.929999999701977,11020608.160000000149012
Day 61,10981354.000000000000000,11511152.489999998360872,10981354.000000000000000
Day 62,11027150.520000001415610,11594626.190000001341105,11027150.520000001415610
Day 63,11144913.000000000000000,11601406.630000000819564,11144913.000000000000000
Day 64,11193980.699999999254942,11625068.139999998733401,11193980.699999999254942
Day 65,11243048.399999998509884,11620156.959999999031425,11243048.399999998509884
Day 66,11213607.780000001192093,11677304.089999999850988,11213607.780000001192093
Day 67,11298658.459999999031425,11709713.250000000000000,11298658.459999999031425
Day 68,11321556.720000000670552,11679715.230000000447035,11321556.720000000670552
Day 69,11328099.080000001937151,11659289.969999998807907,11328099.080000001937151
Day 70,11481844.540000000968575,11767345.629999998956919,11481844.540000000968575
Day 71,11632318.820000000298023,11826838.739999998360872,11632318.820000000298023
Day 72,11560352.860000001266599,11718814.910000000149012,11560352.860000001266599
Day 73,11547268.139999998733401,11771794.509999999776483,11547268.139999998733401
Day 74,11429505.660000000149012,11781540.219999998807907,11429505.660000000149012
Day 75,12113182.280000001192093,12173659.379999998956919,12113182.280000001192093
Day 76,12453385.000000000000000,12407479.779999999329448,12453385.000000000000000
Day 77,12656198.160000000149012,12454162.179999999701977,12656198.160000000149012
Day 78,12594045.740000000223517,12379669.349999997764826,12594045.740000000223517
Day 79,12244029.480000000447035,12126621.690000001341105,12244029.480000000447035
Day 80,12224402.399999998509884,12103464.669999998062849,12224402.399999998509884
Day 81,12554791.580000001937151,12360499.019999999552965,12554791.580000001937151
Day 82,12201504.139999998733401,12112665.669999999925494,12201504.139999998733401
Day 83,12446842.639999998733401,12354806.449999999254942,12446842.639999998733401
Day 84,12087012.840000001713634,12098516.650000000372529,12087012.840000001713634
Day 85,11962708.000000000000000,11951937.660000000149012,11962708.000000000000000
Day 86,11508013.980000000447035,11554756.660000000149012,11508013.980000000447035
Day 87,11020608.160000000149012,11243258.349999999627471,11020608.160000000149012
Day 88,11867843.780000001192093,11916068.750000000000000,11867843.780000001192093
Day 89,11988877.439999999478459,11976023.539999999105930,11988877.439999999478459
Day 90,12247300.660000000149012,12158285.250000000000000,12247300.660000000149012
Day 91,12073928.119999999180436,12025608.800000000745058,12073928.119999999180436
Day 92,11861301.419999999925494,11791310.980000000447035,11861301.419999999925494
Day 93,11880928.500000000000000,11818748.949999999254942,11880928.500000000000000
Day 94,11792606.639999998733401,11666644.339999999850988,11792606.639999998733401
Day 95,11606149.379999998956919,11481980.379999998956919,11606149.379999998956919
Day 96,11112201.199999999254942,11034487.259999999776483,11112201.199999999254942
Day 97,11324827.899999998509884,11208541.089999999850988,11324827.899999998509884
Day 98,11530912.240000000223517,11182957.129999998956919,11530912.240000000223517
Day 99,11458946.280000001192093,11146572.440000001341105,11458946.280000001192093
Day 100,11406607.399999998509884,11060442.189999999478459,11406607.399999998509884
Day 101,11838403.160000000149012,11378509.429999999701977,11838403.160000000149012
Day 102,12005233.340000001713634,11360231.620000001043081,12005233.340000001713634
Day 103,12188419.419999999925494,11321235.419999999925494,12188419.419999999925494
Day 104,12335622.520000001415610,11527639.789999999105930,12335622.520000001415610
Day 105,12296368.360000001266599,11517022.719999998807907,12296368.360000001266599
Day 106,11962708.000000000000000,11157251.410000000149012,11962708.000000000000000
Day 107,11727183.040000000968575,11019691.759999999776483,11727183.040000000968575
Day 108,11651945.899999998509884,11135150.669999999925494,11651945.899999998509884
Day 109,11364082.060000000521541,11073764.720000000670552,11364082.060000000521541
Day 110,11707555.959999999031425,11376537.060000000521541,11707555.959999999031425
Day 111,11848216.699999999254942,11520856.149999998509884,11848216.699999999254942
Day 112,11884199.679999999701977,11486881.160000000149012,11884199.679999999701977
Day 113,12136080.540000000968575,11787071.470000000670552,12136080.540000000968575
Day 114,12489367.980000000447035,11872293.289999999105930,12489367.980000000447035
Day 115,12705265.860000001266599,11945162.820000002160668,12705265.860000001266599
Day 116,12806672.439999999478459,12011471.859999999403954,12806672.439999999478459
Day 117,12626757.540000000968575,11954217.539999999105930,12626757.540000000968575
Day 118,12796858.899999998509884,11842683.449999999254942,12796858.899999998509884
Day 119,12662740.520000001415610,11866866.120000001043081,12662740.520000001415610
Day 120,12571147.480000000447035,11787363.040000000968575,12571147.480000000447035
Day 121,12463198.540000000968575,11814426.940000001341105,12463198.540000000968575
Day 122,12538435.679999999701977,11747507.849999999627471,12538435.679999999701977
Day 123,11972521.540000000968575,11259919.150000000372529,11972521.540000000968575
Day 124,11753352.480000000447035,11138330.400000000372529,11753352.480000000447035
result_train_2010_Q3-Q4(2010 Q1).csv,128
Day 1,10000000.000000000000000,10000000.000000000000000,10000000.000000000000000
Day 2,9979874.900000000372529,9963545.450000001117587,10037489.490000000223517
Day 3,10007449.859999999403954,9983102.070000000298023,10035955.019999999552965
Day 4,10213832.879999998956919,10182859.109999999403954,10153786.160000000149012
Day 5,10315538.580000000074506,10323220.679999999701977,10334798.870000001043081
Day 6,10325572.539999999105930,10338241.160000000149012,10326983.549999998882413
Day 7,10344959.839999999850988,10379763.570000000298023,10346677.849999999627471
Day 8,10429940.619999999180436,10477226.480000000447035,10459664.330000000074506
Day 9,10384201.120000001043081,10445170.460000000894070,10462986.550000000745058
Day 10,10394617.739999998360872,10469097.179999999701977,10482067.199999999254942
Day 11,10138660.839999999850988,10225039.789999999105930,10366697.210000000894070
Day 12,10154898.560000000521541,10236093.570000000298023,10362339.160000000149012
Day 13,10352139.359999999403954,10420000.150000000372529,10467918.859999999403954
Day 14,10307247.839999999850988,10357851.109999999403954,10466887.560000000521541
Day 15,10480026.400000000372529,10535777.220000000670552,10604171.490000000223517
Day 16,10536934.419999999925494,10522245.690000001341105,10691804.330000000074506
Day 17,10676722.820000000298023,10663437.449999999254942,10785215.580000000074506
Day 18,10660497.740000000223517,10633655.210000000894070,10809014.669999999925494
Day 19,10594701.599999997764826,10560698.760000001639128,10806102.559999998658895
Day 20,10565550.780000001192093,10524220.710000000894070,10790806.730000000447035
