代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11768722.100000001490116
真實報酬,1768722.100000001490116

夏普值報酬,0.168172210000000
夏普值風險,0.050580743584752
夏普值,3.324826763731027

二次趨勢線,56.917194347438027 x^2 + 6348.988007948606537 x + 10000000.000000000000000
二次加權預期報酬,15873.131862086574984
風險,127844.843661833379883
二次加權趨勢值,0.124159343524821
一次趨勢線,11706.233890252335186 x + 10000000.000000000000000
一次預期報酬,11706.233890252335186
一次風險,162568.937821492756484
一次趨勢值,0.072007814328628
找到最佳解世代,2542
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),PFE[20](3),WMT[28](8),XOM[29](2),
FS( 58 ),2692820.000000000000000,2330204.010000000242144,2770902.160000000149012,2718172.240000000223517,10512098.410000000149012
FS( 59 ),2715460.800000000279397,2351330.700000000186265,2767241.320000000298023,2728177.180000000633299,10562210.000000000000000
FS( 60 ),2711480.000000000000000,2352895.640000000130385,2798561.839999999850988,2727854.440000000409782,10590791.920000001788139
FS( 61 ),2692073.600000000093132,2319249.430000000167638,2785952.279999999795109,2697839.620000000577420,10495114.930000001564622
FS( 62 ),2716704.799999999813735,2350548.229999999981374,2809137.600000000093132,2677507.000000000000000,10553897.629999998956919
FS( 63 ),2701776.800000000279397,2403756.189999999944121,2810764.639999999664724,2683961.800000000279397,10600259.429999999701977
FS( 64 ),2710733.600000000093132,2453834.270000000018626,2792053.680000000167638,2653301.500000000000000,10609923.050000000745058
FS( 65 ),2722427.200000000186265,2576682.060000000055879,2808324.080000000074506,2688802.900000000372529,10796236.240000000223517
FS( 66 ),2718695.200000000186265,2563380.069999999832362,2774969.759999999776483,2658465.340000000782311,10715510.370000001043081
FS( 67 ),2714465.600000000093132,2543035.850000000093132,2768461.600000000093132,2685575.500000000000000,10711538.550000000745058
FS( 68 ),2711231.200000000186265,2495305.180000000167638,2741615.440000000409782,2689125.640000000130385,10637277.460000000894070
FS( 69 ),2726905.600000000093132,2500782.470000000204891,2798561.839999999850988,2722367.860000000335276,10748617.769999999552965
FS( 70 ),2733623.200000000186265,2546165.729999999981374,2812798.440000000409782,2737859.380000000353903,10830446.750000000000000
FS( 71 ),2732876.800000000279397,2554772.899999999906868,2798561.839999999850988,2757223.780000000726432,10843435.320000000298023
FS( 72 ),2741336.000000000465661,2543035.850000000093132,2809137.600000000093132,2742377.740000000223517,10835887.190000001341105
FS( 73 ),2759996.000000000465661,2551643.020000000018626,2841678.399999999906868,2768519.680000000633299,10921837.100000001490116
FS( 74 ),2803536.000000000465661,2573552.180000000167638,2838017.560000000055879,2782397.500000000000000,10997503.240000000223517
FS( 75 ),2825928.000000000000000,2600156.159999999683350,2815239.000000000000000,2801439.160000000149012,11042762.320000000298023
FS( 76 ),2825679.199999999720603,2600938.630000000353903,2785138.759999999776483,2801116.420000000856817,11012873.010000001639128
FS( 77 ),2819459.199999999720603,2603286.040000000502914,2795307.759999999776483,2824999.180000000633299,11043052.179999999701977
FS( 78 ),2824186.400000000372529,2598591.220000000204891,2825814.759999999776483,2818544.380000000353903,11067136.760000001639128
FS( 79 ),2809258.399999999906868,2586071.699999999720603,2818899.839999999850988,2828226.580000000074506,11042456.519999999552965
FS( 80 ),2805775.200000000186265,2582159.350000000093132,2823780.959999999962747,2855014.000000000000000,11066729.510000001639128
FS( 81 ),2798560.000000000000000,2575117.119999999646097,2803036.199999999720603,2841136.180000000633299,11017849.500000000000000
FS( 82 ),2788608.000000000000000,2559467.720000000204891,2720057.160000000149012,2853077.560000000521541,10921210.440000001341105
FS( 83 ),2805277.600000000093132,2566509.949999999720603,2749343.880000000353903,2876637.580000000074506,10997769.009999999776483
FS( 84 ),2803784.799999999813735,2636932.250000000465661,2725345.040000000037253,2843718.100000000558794,11009780.190000001341105
FS( 85 ),2792091.200000000186265,2613458.149999999906868,2733073.479999999981374,2838231.520000000484288,10976854.350000001490116
FS( 86 ),2808512.000000000000000,2626760.140000000130385,2733887.000000000000000,2841458.920000000856817,11010618.060000002384186
FS( 87 ),2805028.799999999813735,2627542.609999999869615,2776190.040000000037253,2856627.700000000651926,11065389.150000000372529
FS( 88 ),2829411.200000000186265,2646321.890000000130385,2804663.240000000223517,2858564.140000000130385,11138960.470000000670552
FS( 89 ),2853047.200000000186265,2644756.949999999720603,2798155.080000000074506,2904393.220000000204891,11200352.450000001117587
FS( 90 ),2845583.200000000186265,2594678.869999999646097,2701346.199999999720603,2866309.900000000372529,11007918.169999999925494
FS( 91 ),2842100.000000000000000,2597026.279999999795109,2719243.639999999664724,2894065.540000000502914,11052435.459999999031425
FS( 92 ),2825430.400000000372529,2597026.279999999795109,2641552.479999999981374,2861468.800000000279397,10925477.960000000894070
FS( 93 ),2847324.799999999813735,2611893.210000000428408,2685482.560000000055879,2890838.140000000130385,11035538.710000000894070
FS( 94 ),2832148.000000000000000,2584506.760000000242144,2648060.639999999664724,2889547.180000000633299,10954262.580000000074506
FS( 95 ),2826176.800000000279397,2595461.340000000316650,2568742.439999999944121,2883737.860000000335276,10874118.440000001341105
FS( 96 ),2807765.600000000093132,2611893.210000000428408,2814832.240000000223517,2908266.100000000558794,11142757.150000002235174
FS( 97 ),2802540.800000000279397,2640062.130000000353903,2841678.399999999906868,2896324.720000000204891,11180606.050000000745058
FS( 98 ),2790598.399999999906868,2634584.840000000316650,2827035.040000000037253,2891806.360000000335276,11144024.640000000596046
FS( 99 ),2803784.799999999813735,2668231.050000000279397,2857135.279999999795109,2894065.540000000502914,11223216.669999999925494
FS( 100 ),2820205.600000000093132,2687792.800000000279397,2866897.520000000018626,2913107.200000000651926,11288003.120000001043081
FS( 101 ),2809009.600000000093132,2694052.560000000055879,2881947.639999999664724,2898261.160000000149012,11283270.960000000894070
FS( 102 ),2812990.400000000372529,2708137.020000000018626,2877880.040000000037253,2905038.700000000651926,11304046.160000002011657
FS( 103 ),2803784.799999999813735,2715179.250000000465661,2879100.320000000298023,2873087.440000000409782,11271151.810000002384186
FS( 104 ),2806024.000000000000000,2719091.600000000093132,2867711.040000000037253,2880187.720000000204891,11273014.360000001266599
FS( 105 ),2848568.799999999813735,2728481.239999999757856,2886015.240000000223517,2857273.180000000633299,11320338.460000000894070
FS( 106 ),2855286.400000000372529,2714396.779999999795109,2882761.160000000149012,2852109.340000000782311,11304553.679999999701977
FS( 107 ),2880415.200000000186265,2733176.060000000055879,2890082.839999999850988,2883415.120000000577420,11387089.220000000670552
FS( 108 ),2879420.000000000000000,2726133.830000000540167,2889269.320000000298023,2927630.500000000000000,11422453.650000000372529
FS( 109 ),2881161.600000000093132,2758215.100000000093132,2899438.320000000298023,2930212.420000000856817,11469027.440000001341105
FS( 110 ),2911017.600000000093132,2762909.920000000391155,2891709.880000000353903,2926339.540000000502914,11491976.940000001341105
FS( 111 ),2911266.400000000372529,2761344.979999999981374,2893743.680000000167638,2904070.480000000447035,11470425.540000000968575
FS( 112 ),2905792.800000000279397,2718309.130000000353903,2868931.320000000298023,2923757.620000000577420,11416790.870000001043081
FS( 113 ),2914003.200000000186265,2737870.880000000353903,2886015.240000000223517,2918593.780000000726432,11456483.100000001490116
FS( 114 ),2896338.399999999906868,2722221.479999999981374,2892930.160000000149012,2909879.800000000279397,11421369.839999999850988
FS( 115 ),2902060.800000000279397,2719091.600000000093132,2900251.839999999850988,2944090.240000000223517,11465494.480000000447035
FS( 116 ),2873200.000000000000000,2677620.689999999944121,2886015.240000000223517,2927953.240000000223517,11364789.169999999925494
FS( 117 ),2899572.800000000279397,2699529.850000000093132,2892116.639999999664724,2940862.840000000782311,11432082.129999998956919
FS( 118 ),2890616.000000000465661,2719091.600000000093132,2906760.000000000000000,2954095.180000000633299,11470562.780000001192093
FS( 119 ),2897582.399999999906868,2697182.439999999944121,2918556.040000000037253,2942476.540000000502914,11455797.419999999925494
FS( 120 ),2920472.000000000000000,2706572.080000000540167,2932792.639999999664724,2962809.160000000149012,11522645.879999998956919
FS( 121 ),2876932.000000000000000,2658058.939999999944121,2927098.000000000000000,2885028.820000000298023,11347117.759999999776483
FS( 122 ),2899821.600000000093132,2644756.949999999720603,2908387.040000000037253,2867923.600000000558794,11320889.190000001341105
FS( 123 ),2941620.000000000000000,2694835.029999999795109,2908793.800000000279397,2934085.300000000279397,11479334.130000000819564
FS( 124 ),2968988.000000000000000,2739435.819999999832362,2947436.000000000000000,2984110.000000000000000,11639969.820000000298023
FS( 125 ),3018001.600000000093132,2755085.220000000204891,2970214.560000000055879,3025420.720000000204891,11768722.100000001490116
