代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11876967.529999997466803
真實報酬,1876967.529999997466803

夏普值報酬,0.178996753000000
夏普值風險,0.055684066531206
夏普值,3.214505767097458

二次趨勢線,178.665202534114997 x^2 + -6666.571556364935532 x + 10000000.000000000000000
二次加權預期報酬,22515.411524207178445
風險,105148.371773818827933
二次加權趨勢值,0.214129911327960
一次趨勢線,9748.020459310149818 x + 10000000.000000000000000
一次預期報酬,9748.020459310149818
一次風險,318222.037872766028158
一次趨勢值,0.030632763602651
找到最佳解世代,1931
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AXP[1](2),BA[2](20),HD[9](16),JNJ[12](1),PG[21](9),WBA[27](7),
FS( 29 ),1602863.300000000279397,1754272.079999999841675,1682900.439999999711290,1679925.950000000186265,1609790.739999999757856,1477676.049999999580905,9807432.559999998658895
FS( 30 ),1580344.700000000186265,1746416.099999999860302,1743985.959999999962747,1675827.420000000158325,1604271.199999999720603,1467752.949999999720603,9818602.329999998211861
FS( 31 ),1548876.400000000139698,1697137.680000000167638,1691430.399999999906868,1670041.260000000009313,1596591.839999999850988,1455123.549999999580905,9659205.129999998956919
FS( 32 ),1548587.700000000186265,1691186.180000000167638,1685376.879999999888241,1665219.459999999962747,1591552.259999999776483,1453770.399999999674037,9635696.879999998956919
FS( 33 ),1567641.900000000139698,1684758.559999999823049,1709315.799999999813735,1668112.540000000037253,1603551.259999999776483,1450613.049999999580905,9683997.109999999403954
FS( 34 ),1594491.000000000000000,1713087.699999999720603,1742610.159999999916181,1669559.080000000074506,1629949.060000000055879,1472714.499999999767169,9822415.500000000000000
FS( 35 ),1612679.100000000093132,1726895.180000000167638,1756093.000000000000000,1679684.860000000102445,1639068.299999999813735,1475871.849999999627471,9890296.290000000968575
FS( 36 ),1616143.500000000000000,1741416.840000000083819,1763522.320000000065193,1677756.140000000130385,1643147.959999999962747,1471812.399999999906868,9913803.160000002011657
FS( 37 ),1631444.600000000093132,1755462.379999999888241,1783608.999999999767169,1677032.870000000111759,1670025.719999999972060,1492560.699999999953434,10010139.269999999552965
FS( 38 ),1607771.200000000186265,1768079.559999999823049,1779481.599999999860302,1665701.640000000130385,1667385.939999999944121,1491658.599999999860302,9980082.539999999105930
FS( 39 ),1571683.700000000186265,1773316.879999999888241,1765448.439999999711290,1658951.120000000111759,1655626.919999999692664,1489854.399999999906868,9914885.459999999031425
FS( 40 ),1602574.600000000093132,1763794.479999999981374,1783884.159999999916181,1670523.440000000176951,1666426.019999999785796,1502934.849999999860302,9990141.550000000745058
FS( 41 ),1614411.300000000279397,1764508.660000000149012,1767649.719999999739230,1668835.810000000055879,1667865.899999999906868,1522329.999999999767169,10005605.390000000596046
FS( 42 ),1613833.900000000139698,1768317.619999999878928,1790487.999999999767169,1681131.400000000139698,1675785.239999999757856,1529546.799999999580905,10059106.959999999031425
FS( 43 ),1616432.200000000186265,1762128.059999999823049,1788011.560000000055879,1679202.680000000167638,1669785.739999999757856,1546235.649999999906868,10061799.890000000596046
FS( 44 ),1612101.700000000186265,1762842.239999999990687,1767649.719999999739230,1684265.570000000065193,1663306.280000000027940,1545784.599999999860302,10035954.109999999403954
FS( 45 ),1628268.900000000139698,1758557.160000000149012,1761596.199999999720603,1686917.560000000055879,1665706.079999999841675,1604421.099999999860302,10105471.000000000000000
FS( 46 ),1620185.300000000046566,1761175.820000000065193,1770401.320000000065193,1688846.280000000027940,1678665.000000000000000,1617050.499999999767169,10136328.220000000670552
FS( 47 ),1634331.600000000093132,1776887.780000000027940,1773428.080000000074506,1698489.880000000121072,1686824.320000000065193,1628326.749999999767169,10198292.410000000149012
FS( 48 ),1638373.400000000139698,1798075.119999999878928,1734630.519999999785796,1702106.229999999981374,1685144.459999999962747,1639602.999999999767169,10197936.730000000447035
FS( 49 ),1647323.100000000093132,1804978.859999999869615,1730503.119999999878928,1714160.729999999981374,1695703.579999999841675,1653134.499999999767169,10245807.890000000596046
FS( 50 ),1664933.800000000279397,1796646.760000000009313,1731603.759999999776483,1710785.469999999972060,1698103.380000000121072,1654036.599999999860302,10256113.769999999552965
FS( 51 ),1666377.300000000046566,1769269.859999999869615,1717295.439999999711290,1705722.580000000074506,1682984.639999999897555,1646819.799999999580905,10188473.619999999180436
FS( 52 ),1635486.400000000139698,1762128.059999999823049,1707664.839999999850988,1704276.040000000037253,1678185.040000000037253,1658096.049999999580905,10145840.429999997839332
FS( 53 ),1653385.800000000279397,1777125.840000000083819,1742059.839999999850988,1710303.290000000037253,1678185.040000000037253,1675235.949999999720603,10236299.759999999776483
FS( 54 ),1669264.300000000046566,1797837.059999999823049,1733529.879999999888241,1710544.380000000121072,1679144.959999999962747,1693728.999999999534339,10284053.580000000074506
FS( 55 ),1639528.200000000186265,1797599.000000000000000,1699685.199999999953434,1702829.500000000000000,1664026.219999999972060,1679746.449999999953434,10183418.570000000298023
FS( 56 ),1657138.900000000139698,1814025.139999999897555,1705188.399999999906868,1705722.580000000074506,1675545.259999999776483,1693728.999999999534339,10251353.279999999329448
FS( 57 ),1664356.400000000139698,1813310.959999999962747,1687303.000000000000000,1694150.260000000009313,1649147.459999999962747,1637798.799999999813735,10146070.879999998956919
FS( 58 ),1660892.000000000232831,1808549.760000000009313,1694182.000000000000000,1688123.010000000009313,1644347.859999999869615,1645015.599999999627471,10141114.229999998584390
FS( 59 ),1649344.000000000232831,1809740.059999999823049,1682350.119999999878928,1691739.360000000102445,1631868.899999999906868,1653585.549999999580905,10118631.989999998360872
FS( 60 ),1636641.200000000186265,1805216.919999999925494,1680424.000000000000000,1689810.640000000130385,1631148.959999999962747,1647721.899999999906868,10090967.619999999180436
FS( 61 ),1636063.800000000279397,1778078.079999999841675,1668867.279999999795109,1675104.150000000139698,1611470.600000000093132,1648172.949999999720603,10017760.859999999403954
FS( 62 ),1659448.500000000000000,1794028.099999999860302,1701886.479999999981374,1690051.729999999981374,1629229.119999999878928,1669372.299999999580905,10144020.229999998584390
FS( 63 ),1696113.400000000139698,1834736.359999999869615,1746737.559999999823049,1707892.390000000130385,1665226.119999999878928,1716732.549999999813735,10367442.379999998956919
FS( 64 ),1703330.900000000139698,1844258.760000000009313,1741784.679999999701977,1705481.489999999990687,1654667.000000000000000,1704554.199999999720603,10354081.029999999329448
FS( 65 ),1720941.600000000093132,1849496.079999999841675,1738482.759999999776483,1725009.780000000027940,1658026.719999999972060,1677040.149999999674037,10369001.089999999850988
FS( 66 ),1728159.100000000093132,1812358.719999999739230,1729127.320000000065193,1721393.430000000167638,1646747.659999999916181,1715379.399999999906868,10353169.630000000819564
FS( 67 ),1737974.900000000139698,1764746.719999999739230,1739583.399999999906868,1721634.520000000018626,1644107.880000000121072,1721694.099999999860302,10329745.519999999552965
FS( 68 ),1739707.100000000093132,1827356.500000000000000,1738207.599999999860302,1729349.400000000139698,1652987.139999999897555,1734323.500000000000000,10421935.240000000223517
FS( 69 ),1755008.200000000186265,1835212.479999999981374,1750589.799999999813735,1740439.540000000037253,1662346.359999999869615,1739736.099999999860302,10483336.480000000447035
FS( 70 ),1767999.700000000186265,1789266.899999999906868,1752791.080000000074506,1744296.979999999981374,1661146.459999999962747,1763641.749999999767169,10479146.870000001043081
FS( 71 ),1767133.600000000093132,1822357.239999999990687,1746737.559999999823049,1749359.870000000111759,1670985.639999999897555,1760935.449999999720603,10517513.359999999403954
FS( 72 ),1754142.100000000093132,1831641.579999999841675,1759670.080000000074506,1744779.160000000149012,1676985.139999999897555,1772662.749999999534339,10539884.810000000521541
FS( 73 ),1750100.300000000046566,1769745.979999999981374,1757193.639999999897555,1749842.050000000046566,1664026.219999999972060,1776722.199999999720603,10467634.389999998733401
FS( 74 ),1753564.700000000186265,1791647.500000000000000,1789937.679999999701977,1757556.930000000167638,1671945.560000000055879,1775369.049999999813735,10540025.420000001788139
FS( 75 ),1725849.500000000232831,1786410.180000000167638,1801494.399999999906868,1765512.900000000139698,1678425.019999999785796,1768603.299999999813735,10526299.300000000745058
FS( 76 ),1714878.900000000139698,1765460.899999999906868,1809198.879999999888241,1752494.040000000037253,1678665.000000000000000,1781232.699999999953434,10501934.419999998062849
FS( 77 ),1701310.000000000232831,1768555.680000000167638,1828735.239999999757856,1756351.479999999981374,1696423.519999999785796,1782585.849999999860302,10533965.769999999552965
FS( 78 ),1711991.900000000139698,1793075.859999999869615,1853224.479999999748543,1762378.729999999981374,1689944.060000000055879,1778977.449999999720603,10589596.479999998584390
FS( 79 ),1717765.900000000139698,1786172.119999999878928,1866156.999999999767169,1782148.110000000102445,1757858.399999999906868,1789351.599999999860302,10699457.129999998956919
FS( 80 ),1705351.800000000046566,1761651.939999999944121,1859553.159999999916181,1774915.410000000149012,1770337.359999999869615,1808746.749999999767169,10680560.419999999925494
FS( 81 ),1716322.400000000139698,1753319.840000000083819,1849097.080000000074506,1793961.520000000018626,1799854.899999999906868,1806942.549999999813735,10719502.289999999105930
FS( 82 ),1712858.000000000000000,1775697.479999999981374,1850197.719999999739230,1786246.640000000130385,1801774.739999999757856,1798372.599999999627471,10725151.179999999701977
FS( 83 ),1697845.600000000093132,1758557.160000000149012,1841392.599999999860302,1782148.110000000102445,1803694.579999999841675,1802432.049999999813735,10686074.100000001490116
FS( 84 ),1729602.600000000093132,1782363.160000000149012,1851848.679999999701977,1788416.450000000186265,1821933.060000000055879,1818218.799999999813735,10792386.750000000000000
FS( 85 ),1715167.600000000093132,1790457.199999999720603,1825983.639999999897555,1786728.820000000065193,1805854.399999999906868,1804687.299999999580905,10728882.959999999031425
FS( 86 ),1751255.100000000093132,1806645.280000000027940,1826809.119999999878928,1799988.770000000018626,1816653.500000000000000,1864225.899999999674037,10865581.669999999925494
FS( 87 ),1748368.100000000093132,1816167.680000000167638,1834513.599999999860302,1817588.340000000083819,1827452.600000000093132,1869187.449999999720603,10913281.769999999552965
FS( 88 ),1793982.700000000186265,1843306.520000000018626,1824607.839999999850988,1809632.370000000111759,1827452.600000000093132,1863323.799999999813735,10962309.830000001937151
FS( 89 ),1784166.900000000139698,1822595.300000000046566,1843869.040000000037253,1819758.150000000139698,1817853.399999999906868,1867383.249999999767169,10955630.040000000968575
FS( 90 ),1789363.500000000000000,1806169.160000000149012,1826533.959999999729916,1818070.520000000018626,1819293.280000000027940,1870991.649999999674037,10930426.070000000298023
FS( 91 ),1795714.900000000139698,1809025.879999999888241,1852398.999999999767169,1827473.030000000027940,1823372.939999999944121,1892191.000000000000000,11000180.750000000000000
FS( 92 ),1792827.900000000139698,1780220.619999999878928,1855976.080000000074506,1824097.770000000018626,1837291.780000000027940,1870991.649999999674037,10961409.799999998882413
FS( 93 ),1799756.700000000186265,1783791.520000000018626,1852949.320000000065193,1827714.120000000111759,1842571.339999999850988,1888131.549999999813735,10994918.550000000745058
FS( 94 ),1780991.200000000186265,1786172.119999999878928,1857902.199999999720603,1836152.270000000018626,1836811.820000000065193,1856106.999999999767169,10954140.609999999403954
FS( 95 ),1798024.500000000232831,1777125.840000000083819,1858727.679999999701977,1855439.469999999972060,1856970.139999999897555,1880914.750000000000000,11027206.379999998956919
FS( 96 ),1787342.600000000093132,1780220.619999999878928,1828184.919999999925494,1847965.680000000167638,1849770.739999999757856,1876404.249999999767169,10969892.810000000521541
FS( 97 ),1776660.700000000186265,1809502.000000000000000,1771501.959999999729916,1853269.660000000149012,1848810.820000000065193,1877306.349999999627471,10937055.490000000223517
FS( 98 ),1806396.800000000046566,1824975.899999999906868,1804521.159999999916181,1838322.080000000074506,1847610.919999999692664,1885876.299999999813735,11007707.160000000149012
FS( 99 ),1790518.300000000279397,1786172.119999999878928,1758844.599999999860302,1821927.959999999962747,1821933.060000000055879,1833103.449999999720603,10812503.489999998360872
FS( 100 ),1787631.300000000279397,1800931.840000000083819,1859002.839999999850988,1826267.580000000074506,1825772.739999999757856,1840320.249999999534339,10939930.550000000745058
FS( 101 ),1804375.900000000139698,1841640.099999999860302,1872760.839999999850988,1840009.709999999962747,1841851.399999999906868,1857009.099999999860302,11057651.049999998882413
FS( 102 ),1794271.400000000139698,1830689.340000000083819,1884867.879999999888241,1834946.820000000065193,1828172.540000000037253,1846634.949999999720603,11019586.929999999701977
FS( 103 ),1800622.800000000046566,1839735.619999999878928,1899451.359999999869615,1849171.130000000121072,1835611.919999999692664,1863774.849999999860302,11088371.679999997839332
FS( 104 ),1815635.200000000186265,1835212.479999999981374,1934121.520000000018626,1861225.630000000121072,1840171.540000000037253,1884072.099999999860302,11170442.470000000670552
FS( 105 ),1851145.300000000279397,1872587.899999999906868,1939074.399999999906868,1872315.770000000018626,1849050.799999999813735,1836711.849999999627471,11220890.019999997690320
FS( 106 ),1866446.400000000372529,1882586.419999999925494,1939349.560000000055879,1865806.340000000083819,1852650.500000000000000,1802432.049999999813735,11209275.269999999552965
FS( 107 ),1863848.100000000093132,1929484.239999999990687,1933020.879999999888241,1874485.580000000074506,1845451.100000000093132,1810099.899999999906868,11256393.800000000745058
FS( 108 ),1867889.900000000139698,1933769.320000000065193,1963838.800000000046566,1885093.540000000037253,1852170.540000000037253,1833103.449999999720603,11335869.550000000745058
FS( 109 ),1890985.900000000139698,1974477.579999999841675,1962462.999999999767169,1891120.790000000037253,1856250.199999999720603,1861970.649999999906868,11437272.119999999180436
FS( 110 ),1884923.200000000419095,2003520.899999999906868,1946778.879999999888241,1894013.870000000111759,1851930.560000000055879,1851145.449999999720603,11432316.859999999403954
FS( 111 ),1885211.900000000139698,2017566.439999999944121,1947054.040000000037253,1893772.780000000027940,1843051.299999999813735,1929628.149999999906868,11516288.610000001266599
FS( 112 ),1887521.500000000000000,2014471.660000000149012,1932745.719999999739230,1907032.729999999981374,1857210.119999999878928,1926921.849999999627471,11525907.579999998211861
FS( 113 ),1908019.200000000186265,2057560.520000000018626,1900001.679999999701977,1909202.540000000037253,1832012.219999999972060,1920607.149999999674037,11527407.310000000521541
FS( 114 ),1899069.500000000232831,2027803.020000000018626,1908256.479999999748543,1900041.120000000111759,1827692.579999999841675,1913841.399999999674037,11476708.099999999627471
FS( 115 ),1880304.000000000000000,2035659.000000000000000,1892847.520000000018626,1901246.570000000065193,1850490.679999999934807,2018033.949999999953434,11578585.719999998807907
FS( 116 ),1905420.900000000139698,2032326.160000000149012,1895323.959999999729916,1915470.880000000121072,1861769.739999999757856,2075768.349999999860302,11686083.990000000223517
FS( 117 ),1888387.600000000093132,2007567.919999999925494,1897250.080000000074506,1904862.920000000158325,1852890.479999999748543,2066296.299999999813735,11617259.300000000745058
FS( 118 ),1911772.300000000046566,2019232.859999999869615,1914034.839999999850988,1922462.489999999990687,1854330.359999999869615,2096967.699999999953434,11718804.549999998882413
FS( 119 ),1908307.899999999906868,2019947.039999999804422,1911558.399999999906868,1921015.950000000186265,1840171.540000000037253,2083436.199999999720603,11684441.029999999329448
FS( 120 ),1939198.800000000279397,2062083.660000000149012,1927517.679999999701977,1949223.479999999981374,1857450.100000000093132,2145681.099999999627471,11881158.820000000298023
FS( 121 ),1938621.400000000372529,2052085.139999999897555,1916511.280000000027940,1959349.260000000009313,1849290.780000000027940,2130796.450000000186265,11846658.309999998658895
FS( 122 ),1947571.099999999860302,2043753.039999999804422,1920088.359999999869615,1965617.600000000093132,1849290.780000000027940,2150642.649999999441206,11876967.529999997466803
