代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13400854.339999999850988
真實報酬,3400854.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14508.359866104618050
風險,159144.241384080261923
起點值,0.091164843540207
找到最佳解世代,2193
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),BA[2](4),CAT[3](5),CVX[5](21),MSFT[18](1),V[25](7),
FS( 48 ),1834045.029999999795109,1707917.710000000195578,1821228.000000000232831,1666185.939999999944121,1870923.790000000270084,1856646.729999999748543,10756951.200000001117587
FS( 49 ),1792504.439999999944121,1651758.840000000083819,1761278.000000000232831,1620580.239999999990687,1831179.850000000093132,1819948.449999999720603,10477253.820000000298023
FS( 50 ),1832654.549999999813735,1672191.930000000167638,1785912.000000000000000,1636262.199999999953434,1858544.530000000027940,1856646.729999999748543,10642215.940000001341105
FS( 51 ),1876280.859999999869615,1654714.569999999832362,1749070.000000000000000,1591136.560000000055879,1841604.490000000223517,1832479.569999999832362,10545290.050000000745058
FS( 52 ),1942676.279999999795109,1640706.979999999981374,1766292.000000000000000,1574974.540000000037253,1832808.700000000186265,1823528.769999999785796,10580991.269999999552965
FS( 53 ),2008724.079999999841675,1641992.080000000074506,1788310.000000000000000,1592256.699999999953434,1863105.310000000055879,1835164.809999999823049,10729556.980000000447035
FS( 54 ),1997426.429999999934807,1628241.510000000009313,1788746.000000000000000,1565693.380000000121072,1865059.930000000167638,1836507.429999999701977,10681678.679999999701977
FS( 55 ),1974135.889999999897555,1638265.290000000037253,1785040.000000000000000,1568893.780000000027940,1854635.290000000270084,1846353.309999999823049,10667327.560000000521541
FS( 56 ),1973962.079999999841675,1642249.100000000093132,1781116.000000000000000,1563453.100000000093132,1850726.050000000279397,1845682.000000000000000,10657192.330000000074506
FS( 57 ),1973614.459999999962747,1677846.370000000111759,1819702.000000000000000,1594336.959999999962747,1881674.200000000186265,1862240.979999999748543,10809418.970000000670552
FS( 58 ),1992212.129999999888241,1694681.180000000167638,1820356.000000000000000,1599937.659999999916181,1883628.820000000065193,1865373.759999999776483,10856193.550000000745058
FS( 59 ),1959014.419999999692664,1693524.590000000083819,1797248.000000000000000,1587776.139999999897555,1870923.790000000270084,1847024.619999999878928,10755515.559999998658895
FS( 60 ),1961969.189999999944121,1677974.879999999888241,1795722.000000000000000,1580735.260000000009313,1853657.980000000214204,1830689.409999999916181,10700752.720000000670552
FS( 61 ),1965619.199999999953434,1687613.129999999888241,1806840.000000000000000,1583935.659999999916181,1887863.830000000307336,1838521.359999999636784,10770397.179999999701977
FS( 62 ),1980566.859999999869615,1699307.540000000037253,1887718.000000000000000,1634662.000000000000000,1890469.990000000223517,1856646.729999999748543,10949375.120000001043081
FS( 63 ),1949802.489999999990687,1683886.340000000083819,1906902.000000000000000,1620580.239999999990687,1869946.480000000214204,1833150.879999999888241,10864272.429999999701977
FS( 64 ),1964923.959999999962747,1693010.550000000279397,1935242.000000000000000,1646983.540000000037253,1876461.880000000121072,1850604.939999999944121,10967230.869999999180436
FS( 65 ),1955712.029999999795109,1701235.189999999944121,1924560.000000000000000,1639462.600000000093132,1870598.020000000251457,1854185.259999999776483,10945757.099999999627471
FS( 66 ),1964054.909999999916181,1699564.560000000055879,1907774.000000000000000,1620580.239999999990687,1864734.160000000149012,1851276.250000000000000,10907988.120000001043081
FS( 67 ),1964923.959999999962747,1730535.469999999972060,1949412.000000000000000,1635942.159999999916181,1877764.960000000195578,1865149.989999999757856,11023732.540000000968575
FS( 68 ),1979524.000000000000000,1727451.229999999981374,1946578.000000000232831,1635142.060000000055879,1881022.660000000149012,1865373.759999999776483,11035095.710000000894070
FS( 69 ),1982478.770000000018626,1720126.159999999916181,1928702.000000000000000,1636582.239999999990687,1882977.280000000027940,1854632.799999999813735,11005503.250000000000000
FS( 70 ),2017066.959999999962747,1745699.650000000139698,1923252.000000000000000,1663945.659999999916181,1890795.760000000242144,1860003.279999999795109,11100767.310000000521541
FS( 71 ),2021412.209999999962747,1718712.550000000279397,1906902.000000000000000,1648903.780000000027940,1863105.310000000055879,1835836.119999999878928,10994875.969999998807907
FS( 72 ),2039488.449999999953434,1711258.969999999972060,1909300.000000000000000,1634662.000000000000000,1860499.150000000139698,1840535.289999999804422,10995747.859999999403954
FS( 73 ),2033231.290000000037253,1714086.189999999944121,1896002.000000000000000,1612899.280000000027940,1854309.520000000251457,1832032.029999999795109,10942564.310000000521541
FS( 74 ),2044528.939999999944121,1715628.310000000055879,1911262.000000000000000,1617539.859999999869615,1870598.020000000251457,1845010.689999999944121,11004571.819999998435378
FS( 75 ),2043138.459999999962747,1722053.810000000055879,1902978.000000000232831,1622020.419999999925494,1864082.620000000111759,1838297.589999999850988,10992574.900000000372529
FS( 76 ),2041747.979999999981374,1736189.909999999916181,1901452.000000000000000,1628901.280000000027940,1878416.500000000000000,1825542.699999999720603,11012254.369999999180436
FS( 77 ),2035664.629999999888241,1750068.990000000223517,1918456.000000000000000,1636582.239999999990687,1874181.490000000223517,1853066.409999999916181,11068023.760000001639128
FS( 78 ),2034621.770000000018626,1745699.650000000139698,1888590.000000000000000,1630181.439999999944121,1865059.930000000167638,1846129.539999999804422,11010286.329999998211861
FS( 79 ),2026626.509999999776483,1743000.939999999944121,1882050.000000000000000,1621060.299999999813735,1943570.500000000000000,1842772.989999999757856,11059085.240000000223517
FS( 80 ),2044876.560000000055879,1766389.760000000009313,1874638.000000000000000,1610819.019999999785796,1987223.680000000167638,1861122.129999999888241,11145073.149999998509884
FS( 81 ),2055305.159999999916181,1786565.830000000074506,1841720.000000000000000,1612579.239999999990687,1986897.910000000149012,1835612.349999999860302,11118684.490000000223517
FS( 82 ),2009071.699999999953434,1870354.349999999860302,1834090.000000000000000,1619300.079999999841675,1975170.190000000176951,1829346.789999999804422,11137337.109999999403954
FS( 83 ),1989778.790000000037253,1841696.620000000111759,1809674.000000000000000,1598977.540000000037253,1957904.380000000121072,1833150.879999999888241,11031186.210000000894070
FS( 84 ),1976569.229999999981374,1837841.319999999832362,1828640.000000000000000,1661385.339999999850988,1950411.670000000158325,1839863.979999999748543,11094715.540000000968575
FS( 85 ),1973440.650000000139698,1830387.740000000223517,1819483.999999999767169,1676267.199999999953434,1952040.520000000251457,1846353.309999999823049,11097977.420000001788139
FS( 86 ),1937809.599999999860302,1830130.719999999972060,1792888.000000000000000,1703950.659999999916181,1948131.280000000027940,1826437.779999999795109,11039352.039999999105930
FS( 87 ),1939547.699999999953434,1808798.060000000055879,1768254.000000000000000,1686508.479999999981374,1936077.790000000270084,1803165.699999999720603,10942355.730000000447035
FS( 88 ),1908957.139999999897555,1799416.830000000074506,1771742.000000000000000,1686508.479999999981374,1928910.850000000093132,1804732.089999999850988,10900271.389999998733401
FS( 89 ),1891749.949999999953434,1793248.349999999860302,1794414.000000000000000,1676747.260000000009313,1912622.350000000093132,1798242.759999999776483,10867028.669999999925494
FS( 90 ),1919038.119999999878928,1838098.340000000083819,1825806.000000000000000,1709871.399999999906868,1968329.020000000251457,1846353.309999999823049,11107500.189999999478459
FS( 91 ),1930335.770000000018626,1827432.010000000009313,1846080.000000000232831,1716912.280000000027940,1969957.870000000111759,1854632.799999999813735,11145354.730000000447035
FS( 92 ),1927207.189999999944121,1864571.400000000139698,1988216.000000000000000,1722512.979999999981374,1960184.770000000251457,1862688.519999999785796,11325384.859999999403954
FS( 93 ),1873499.900000000139698,1897984.000000000000000,2037266.000000000000000,1724913.280000000027940,1912296.580000000307336,1832032.029999999795109,11277995.790000000968575
FS( 94 ),1884623.739999999990687,1908650.330000000074506,2027674.000000000000000,1706510.979999999981374,1922721.220000000204891,1832255.799999999813735,11282440.070000000298023
FS( 95 ),1837347.419999999692664,1927541.300000000279397,2052962.000000000000000,1705710.880000000121072,1893401.920000000158325,1753936.299999999813735,11170903.820000000298023
FS( 96 ),1861680.819999999832362,1903381.420000000158325,2058848.000000000000000,1743635.619999999878928,1917834.670000000158325,1758187.929999999701977,11243572.460000000894070
FS( 97 ),1911738.099999999860302,1881920.250000000000000,2035085.999999999767169,1733874.399999999906868,1943244.730000000214204,1791977.199999999720603,11297844.679999999701977
FS( 98 ),1911042.859999999869615,1867655.640000000130385,2022660.000000000000000,1730193.939999999944121,1975495.960000000195578,1814130.429999999701977,11321182.830000000074506
FS( 99 ),1912954.770000000018626,1880763.659999999916181,2013068.000000000000000,1747476.100000000093132,1966048.630000000121072,1808536.179999999701977,11328851.339999999850988
FS( 100 ),1941981.040000000037253,1889373.830000000074506,2025276.000000000232831,1763158.060000000055879,1982662.900000000139698,1828004.169999999692664,11430460.000000000000000
FS( 101 ),1943197.709999999962747,1921501.330000000074506,2040972.000000000000000,1770198.939999999944121,1991132.920000000158325,1788620.649999999906868,11455627.550000000745058
FS( 102 ),1933290.540000000037253,1924328.550000000279397,2096780.000000000232831,1776279.699999999953434,1967677.480000000214204,1780564.929999999701977,11478925.200000001117587
FS( 103 ),1943023.900000000139698,1928183.849999999860302,2088714.000000000000000,1776279.699999999953434,1971912.490000000223517,1793096.049999999813735,11501213.990000002086163
FS( 104 ),1939200.079999999841675,1924714.080000000074506,2068876.000000000232831,1768278.699999999953434,1974518.650000000139698,1769600.199999999720603,11445191.709999999031425
FS( 105 ),1937288.169999999692664,1948745.449999999953434,2050128.000000000232831,1749716.380000000121072,1990155.610000000335276,1771166.589999999850988,11447204.199999999254942
FS( 106 ),1920950.029999999795109,1934866.370000000111759,2083264.000000000000000,1785240.820000000065193,1963116.700000000186265,1730216.679999999701977,11417658.600000001490116
FS( 107 ),1903047.599999999860302,1958383.699999999953434,2098088.000000000000000,1812924.280000000027940,1928585.080000000307336,1687924.149999999906868,11388956.810000000521541
FS( 108 ),1910173.810000000055879,1956584.560000000055879,2074108.000000000000000,1808283.699999999953434,1930213.930000000167638,1694413.479999999748543,11373781.480000000447035
FS( 109 ),1896442.819999999832362,1955427.969999999972060,2059066.000000000000000,1812284.199999999953434,1961813.620000000111759,1729992.909999999916181,11415031.519999999552965
FS( 110 ),1911042.859999999869615,1956456.050000000279397,2075852.000000000000000,1804443.219999999972060,1953017.830000000307336,1725517.509999999776483,11426333.470000000670552
FS( 111 ),1929814.339999999850988,1980872.949999999953434,2121850.000000000000000,1831326.579999999841675,1999277.170000000158325,1774746.909999999916181,11637891.950000001117587
FS( 112 ),1948759.629999999888241,1996936.699999999953434,2098742.000000000000000,1843008.040000000037253,1987549.450000000186265,1774075.599999999860302,11649075.419999999925494
FS( 113 ),1980566.859999999869615,2011072.800000000279397,2082610.000000000000000,1853249.320000000065193,2018823.370000000111759,1770942.819999999832362,11717269.170000001788139
FS( 114 ),1969269.209999999962747,2019682.969999999972060,2072800.000000000000000,1874692.000000000000000,2025338.770000000251457,1756621.539999999804422,11718408.489999998360872
FS( 115 ),2002119.299999999813735,2013257.469999999972060,2093292.000000000000000,1879012.540000000037253,2051726.140000000130385,1772285.439999999944121,11811696.889999998733401
FS( 116 ),2002119.299999999813735,1985113.780000000027940,2043588.000000000000000,1855649.619999999878928,2041953.040000000270084,1770719.049999999813735,11699146.789999999105930
FS( 117 ),2013069.329999999841675,1976118.080000000074506,2060810.000000000000000,1873091.799999999813735,2038695.340000000083819,1778998.539999999804422,11740787.089999999850988
FS( 118 ),2015676.479999999981374,1985499.310000000055879,2018300.000000000000000,1889573.859999999869615,2029573.780000000027940,1753264.989999999757856,11691892.419999999925494
FS( 119 ),2027321.750000000000000,2007088.990000000223517,2021133.999999999767169,1882693.000000000000000,2072575.420000000158325,1747670.739999999757856,11758487.900000000372529
FS( 120 ),2032709.859999999869615,2009787.699999999953434,2056668.000000000000000,1887493.600000000093132,2069969.260000000242144,1753488.759999999776483,11810121.179999999701977
FS( 121 ),2034621.770000000018626,2023795.290000000037253,2045331.999999999767169,1886853.519999999785796,2069969.260000000242144,1748565.819999999832362,11809141.660000000149012
FS( 122 ),2021238.400000000139698,2023538.270000000251457,2051872.000000000000000,1900615.239999999990687,2070295.030000000027940,1743195.339999999850988,11810758.279999999329448
FS( 123 ),2025236.029999999795109,2028036.120000000111759,2056231.999999999767169,1895014.540000000037253,2060196.160000000149012,1748789.589999999850988,11813508.439999999478459
FS( 124 ),2038097.969999999972060,2023795.290000000037253,2061246.000000000000000,1891814.139999999897555,2061499.240000000223517,1753264.989999999757856,11829721.630000000819564
FS( 125 ),2029407.469999999972060,2006060.909999999916181,2030726.000000000232831,1886853.519999999785796,2052051.910000000149012,1752146.139999999664724,11757249.949999999254942
FS( 126 ),2028886.040000000037253,2000792.000000000000000,2033778.000000000232831,1885413.339999999850988,2049119.980000000214204,1752817.449999999720603,11750810.809999998658895
FS( 127 ),2013069.329999999841675,2000663.490000000223517,2021788.000000000000000,1883493.100000000093132,2024361.460000000195578,1745880.579999999608845,11689259.960000000894070
FS( 128 ),2018805.060000000055879,2017241.280000000027940,2049038.000000000000000,1885893.399999999906868,2038695.340000000083819,1778998.539999999804422,11788675.619999999180436
FS( 129 ),2016545.529999999795109,2038445.430000000167638,2039881.999999999767169,1885413.339999999850988,2029573.780000000027940,1793543.589999999850988,11803407.669999999925494
FS( 130 ),2026800.319999999832362,2039602.020000000251457,2027456.000000000000000,1877252.320000000065193,2029573.780000000027940,1814577.969999999972060,11815266.410000000149012
FS( 131 ),2049395.619999999878928,2044613.909999999916181,2028328.000000000232831,1869731.380000000121072,2047165.360000000335276,1839640.209999999729916,11878878.479999998584390
FS( 132 ),2068167.099999999860302,2034590.129999999888241,2013722.000000000000000,1853729.380000000121072,2040649.960000000195578,1829346.789999999804422,11840209.359999999403954
FS( 133 ),2070252.819999999832362,2044228.379999999888241,2045550.000000000000000,1839647.619999999878928,2039998.420000000158325,1819500.909999999916181,11859182.150000000372529
FS( 134 ),2081376.659999999916181,2048469.210000000195578,2063426.000000000232831,1855169.560000000055879,2058567.310000000055879,1830465.639999999664724,11937478.379999998956919
FS( 135 ),2072686.159999999916181,2034204.599999999860302,2049038.000000000000000,1858850.019999999785796,2039672.650000000139698,1820843.529999999795109,11875298.959999999031425
FS( 136 ),2069036.150000000139698,2041144.140000000130385,2059720.000000000000000,1862370.459999999962747,2042604.580000000307336,1816368.129999999888241,11891247.460000000894070
FS( 137 ),2085721.909999999916181,2026236.979999999981374,2039881.999999999767169,1860770.260000000009313,2037066.490000000223517,1818382.059999999823049,11868063.700000001117587
FS( 138 ),2085548.099999999860302,2034590.129999999888241,2034650.000000000000000,1855329.579999999841675,2036089.180000000167638,1825766.469999999972060,11871977.460000000894070
FS( 139 ),2081898.089999999850988,2043328.810000000055879,2035740.000000000000000,1849568.859999999869615,2029573.780000000027940,1828899.250000000000000,11869012.789999999105930
FS( 140 ),2085721.909999999916181,2050139.840000000083819,2061900.000000000000000,1849888.899999999906868,2043907.660000000149012,1831360.719999999972060,11922923.030000001192093
FS( 141 ),2087112.389999999897555,2028421.650000000139698,2059283.999999999767169,1846528.479999999981374,2051074.600000000093132,1838297.589999999850988,11910722.709999999031425
FS( 142 ),2085200.479999999981374,2063247.860000000102445,2098088.000000000000000,1862210.439999999944121,2069317.720000000204891,1862464.750000000000000,12040533.250000000000000
FS( 143 ),2118398.189999999478459,2150763.170000000391155,2139726.000000000000000,1876132.179999999934807,2074530.040000000270084,1877457.339999999850988,12237010.919999999925494
FS( 144 ),2119441.049999999813735,2173380.930000000167638,2119452.000000000000000,1865090.799999999813735,2093750.469999999972060,1862688.519999999785796,12233807.769999999552965
FS( 145 ),2119614.860000000335276,2155132.509999999776483,2158038.000000000000000,1820925.280000000027940,2142941.740000000223517,1874548.329999999608845,12271204.720000000670552
FS( 146 ),2114052.939999999478459,2127759.879999999888241,2110078.000000000000000,1789401.339999999850988,2121766.689999999944121,1872981.939999999944121,12136044.789999999105930
FS( 147 ),2109186.259999999776483,2100130.229999999981374,2085444.000000000000000,1781880.399999999906868,2106129.730000000447035,1850828.709999999729916,12033603.330000000074506
FS( 148 ),2237805.660000000149012,2107198.280000000260770,2073454.000000000000000,1776279.699999999953434,2071272.340000000083819,1844786.919999999692664,12110800.900000000372529
FS( 149 ),2233981.839999999850988,2085223.069999999832362,2044242.000000000000000,1795642.119999999878928,2057915.770000000251457,1841654.139999999664724,12058662.940000001341105
FS( 150 ),2243541.390000000596046,2087022.210000000195578,2033560.000000000000000,1817404.839999999850988,2074530.040000000270084,1926239.199999999720603,12182301.679999999701977
FS( 151 ),2264572.399999999441206,2107326.790000000037253,2024622.000000000000000,1807963.659999999916181,2073226.960000000195578,1920644.949999999720603,12198360.759999999776483
FS( 152 ),2286124.839999999850988,2139711.310000000055879,2034214.000000000000000,1782520.479999999981374,2066385.790000000270084,1919526.099999999860302,12228486.520000001415610
FS( 153 ),2294989.149999999441206,2105142.120000000111759,2025494.000000000000000,1785560.859999999869615,2063453.860000000335276,1904085.969999999972060,12178729.959999999031425
FS( 154 ),2301593.929999999701977,2111182.089999999850988,2048383.999999999767169,1796442.219999999972060,2086909.300000000279397,1915050.699999999720603,12259566.239999998360872
FS( 155 ),2296379.629999999888241,2136241.540000000037253,2099614.000000000000000,1809083.799999999813735,2084954.680000000167638,1922211.339999999850988,12348488.990000000223517
FS( 156 ),2316715.399999999441206,2159373.339999999850988,2147356.000000000000000,1822845.519999999785796,2108410.120000000111759,1934294.919999999692664,12488999.299999998882413
FS( 157 ),2346784.530000000260770,2165413.310000000055879,2138418.000000000000000,1800602.739999999990687,2103523.569999999832362,1943469.489999999757856,12498215.640000000596046
FS( 158 ),2355301.219999999739230,2175694.110000000335276,2158692.000000000000000,1801402.839999999850988,2102220.490000000223517,1958909.619999999878928,12552224.279999999329448
FS( 159 ),2352520.259999999776483,2195099.120000000111759,2142124.000000000000000,1771159.060000000055879,2101894.720000000204891,1956000.609999999636784,12518801.769999999552965
FS( 160 ),2358951.229999999515712,2219516.020000000018626,2154986.000000000000000,1765558.359999999869615,2105152.420000000391155,1957119.459999999729916,12561287.489999998360872
FS( 161 ),2375984.609999999403954,2256141.370000000111759,2138636.000000000000000,1787801.139999999897555,2100917.410000000149012,1967412.879999999888241,12626897.410000000149012
FS( 162 ),2383110.820000000298023,2253571.170000000391155,2140816.000000000000000,1766358.459999999962747,2096682.400000000139698,1964727.639999999664724,12605270.489999998360872
FS( 163 ),2373029.839999999850988,2272847.670000000391155,2083046.000000000000000,1776599.739999999990687,2105152.420000000391155,1973230.899999999906868,12583910.570000000298023
FS( 164 ),2375289.370000000111759,2280301.250000000000000,2081520.000000000000000,1762197.939999999944121,2105152.420000000391155,1978825.149999999906868,12583290.130000000819564
FS( 165 ),2379982.240000000223517,2305874.740000000223517,2124248.000000000000000,1788281.199999999953434,2092447.390000000363216,1969203.039999999804422,12660040.609999999403954
FS( 166 ),2381025.099999999627471,2316155.540000000037253,2107244.000000000000000,1800282.699999999953434,2084303.140000000130385,1967860.419999999692664,12656874.900000000372529
FS( 167 ),2429691.899999999441206,2363447.220000000204891,2149100.000000000000000,1822365.459999999962747,2115577.060000000055879,1991356.269999999785796,12871541.909999998286366
FS( 168 ),2415265.669999999925494,2351624.300000000279397,2057104.000000000000000,1814044.419999999925494,2085280.450000000419095,1981062.849999999860302,12704385.690000001341105
FS( 169 ),2429518.089999999850988,2341214.990000000223517,2073672.000000000000000,1817084.799999999813735,2093098.930000000167638,1986880.869999999878928,12741473.679999997839332
FS( 170 ),2421870.450000000186265,2325151.240000000223517,2085444.000000000000000,1811004.040000000037253,2093750.469999999972060,1990237.419999999692664,12727461.620000001043081
