代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11527454.410000000149012
真實報酬,1527454.410000000149012

夏普值報酬,0.144045441000000
夏普值風險,0.043390519144089
夏普值,3.319744585716099

二次趨勢線,-266.614877662496326 x^2 + 42802.944528572465060 x + 10000000.000000000000000
二次平均預期報酬,26539.436991160186153
風險,82036.758058622377575
二次平均趨勢值,0.323506652617787
一次趨勢線,30706.120740414575266 x + 10000000.000000000000000
一次預期報酬,30706.120740414575266
一次風險,136845.169538442918565
一次趨勢值,0.224385857710444
找到最佳解世代,3422
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,4
JPM[13](1),MCD[15](8),NKE[19](10),WBA[27](4),
FS( 37 ),2888994.649999999906868,2691241.899999999906868,2847478.390000000130385,2893081.920000000391155,11320796.859999999403954
FS( 38 ),2857139.970000000204891,2709619.500000000000000,2793152.859999999869615,2924440.960000000428408,11284353.290000000968575
FS( 39 ),2886544.290000000037253,2725699.900000000372529,2763427.569999999832362,2921523.840000000316650,11297195.599999999627471
FS( 40 ),2887156.879999999888241,2718521.150000000372529,2748052.419999999925494,2907667.520000000018626,11261397.970000000670552
FS( 41 ),2882256.159999999683350,2736324.450000000186265,2770602.640000000130385,2914231.040000000037253,11303414.289999999105930
FS( 42 ),2931263.359999999869615,2755276.350000000093132,2752152.459999999962747,2939755.840000000316650,11378448.009999999776483
FS( 43 ),2920849.330000000074506,2716511.100000000093132,2750102.439999999478459,2917877.439999999944121,11305340.309999998658895
FS( 44 ),2988846.819999999832362,2725412.750000000000000,2762402.559999999590218,3014142.399999999906868,11490804.529999999329448
FS( 45 ),2977820.199999999720603,2730007.149999999906868,2775727.689999999478459,3022164.479999999981374,11505719.519999999552965
FS( 46 ),2954541.779999999795109,2717372.549999999813735,2802377.949999999720603,3012683.840000000316650,11486976.119999999180436
FS( 47 ),2979045.379999999888241,2724264.150000000372529,2798277.910000000149012,3019247.359999999869615,11520834.800000000745058
FS( 48 ),2980883.149999999906868,2732878.650000000372529,2830053.219999999739230,3025081.600000000093132,11568896.619999999180436
FS( 49 ),3010287.470000000204891,2730868.600000000093132,2823903.160000000149012,3059357.760000000242144,11624416.990000000223517
FS( 50 ),2982108.330000000074506,2699282.100000000093132,2796227.890000000130385,3025081.600000000093132,11502699.919999999925494
FS( 51 ),3015188.189999999944121,2686647.500000000000000,2799302.919999999925494,3052794.240000000223517,11553932.849999999627471
FS( 52 ),2994360.129999999888241,2696410.600000000093132,2816728.089999999850988,3001015.359999999869615,11508514.179999999701977
FS( 53 ),3029277.760000000242144,2694974.850000000093132,2792127.849999999627471,3041125.760000000242144,11557506.220000000670552
FS( 54 ),2977820.199999999720603,2696697.750000000000000,2768552.620000000111759,3033832.960000000428408,11476903.530000001192093
FS( 55 ),2955766.959999999962747,2703302.200000000186265,2795202.879999999888241,3035291.520000000018626,11489563.559999998658895
FS( 56 ),2996197.899999999906868,2735175.850000000093132,2792127.849999999627471,3049147.840000000316650,11572649.439999999478459
FS( 57 ),2922074.510000000242144,2760732.200000000186265,2769577.629999999888241,2963822.080000000074506,11416206.419999999925494
FS( 58 ),2915948.609999999869615,2763029.399999999906868,2781877.750000000000000,2975490.560000000055879,11436346.320000000298023
FS( 59 ),3018863.729999999981374,2748959.050000000279397,2784952.780000000260770,3002473.920000000391155,11555249.480000000447035
FS( 60 ),2996810.490000000223517,2753840.600000000093132,2791102.839999999850988,2985700.479999999981374,11527454.410000000149012
