代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11328263.730000000447035
真實報酬,1328263.730000000447035

夏普值報酬,0.124126373000000
夏普值風險,0.033686541487258
夏普值,3.684746712480184

二次趨勢線,-329.566652789924888 x^2 + 40895.359917490291991 x + 10000000.000000000000000
二次平均預期報酬,19473.527486145172588
風險,100961.744928975749644
二次平均趨勢值,0.192880258753891
一次趨勢線,24953.531131372990785 x + 10000000.000000000000000
一次預期報酬,24953.531131372990785
一次風險,184019.665548578690505
一次趨勢值,0.135602524094283
找到最佳解世代,1862
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](10),CVX[5](8),HD[9](2),MRK[17](6),NKE[19](5),UNH[23](3),V[25](1),VZ[26](16),
FS( 7 ),1299268.429999999934807,1323608.959999999962747,1254265.109999999869615,1325557.300000000046566,1306142.719999999972060,1305190.449999999953434,1274600.139999999897555,1279420.550000000279397,10368053.660000000149012
FS( 8 ),1293194.239999999990687,1328063.360000000102445,1249710.840000000083819,1318752.449999999953434,1302828.739999999990687,1277048.500000000000000,1264675.619999999878928,1261132.100000000093132,10295405.849999999627471
FS( 9 ),1305942.539999999804422,1327840.640000000130385,1253325.340000000083819,1331423.550000000046566,1321153.099999999860302,1290515.199999999953434,1278295.439999999711290,1265372.900000000139698,10373868.709999999031425
FS( 10 ),1310366.949999999953434,1335524.480000000214204,1249277.100000000093132,1341513.500000000000000,1311016.219999999972060,1290745.399999999906868,1274916.879999999888241,1263252.500000000000000,10376613.030000001192093
FS( 11 ),1318540.859999999869615,1344210.560000000055879,1261060.369999999878928,1376241.699999999953434,1307312.360000000102445,1325505.599999999860302,1286847.419999999925494,1282601.150000000139698,10502320.020000001415610
FS( 12 ),1336688.439999999944121,1344210.560000000055879,1264530.289999999804422,1390790.000000000000000,1316084.660000000149012,1372869.250000000000000,1307118.779999999795109,1294793.450000000186265,10627085.429999999701977
FS( 13 ),1333688.839999999850988,1378954.880000000121072,1300241.549999999813735,1382577.250000000000000,1290547.520000000018626,1360496.000000000000000,1307118.779999999795109,1288697.300000000046566,10642322.119999999180436
FS( 14 ),1295893.880000000121072,1377729.919999999925494,1280217.219999999972060,1376007.050000000046566,1281385.340000000083819,1356812.800000000046566,1308808.059999999823049,1283661.350000000093132,10560515.619999999180436
FS( 15 ),1242800.959999999962747,1362139.520000000018626,1279711.189999999944121,1380465.399999999906868,1288403.179999999934807,1352784.300000000046566,1311341.979999999981374,1269613.700000000186265,10487260.230000000447035
FS( 16 ),1239201.439999999944121,1376282.239999999990687,1284410.039999999804422,1413785.699999999953434,1303803.439999999944121,1348640.699999999953434,1314087.059999999823049,1289757.500000000000000,10569968.119999999180436
FS( 17 ),1221953.739999999990687,1364700.800000000279397,1274289.439999999944121,1410031.300000000046566,1305557.899999999906868,1347950.100000000093132,1280407.039999999804422,1316527.550000000279397,10521417.869999999180436
FS( 18 ),1227278.030000000027940,1366705.280000000027940,1282458.209999999729916,1399237.399999999906868,1299709.699999999953434,1347950.100000000093132,1279773.559999999823049,1327924.700000000186265,10531036.980000000447035
FS( 19 ),1231552.459999999962747,1383409.280000000027940,1342675.779999999795109,1394075.099999999860302,1326611.419999999925494,1364121.649999999906868,1341749.019999999785796,1318913.000000000232831,10703107.709999999031425
FS( 20 ),1217304.359999999869615,1410135.680000000167638,1348025.239999999990687,1395483.000000000000000,1356047.360000000102445,1382249.900000000139698,1330451.959999999962747,1366887.050000000279397,10806584.550000000745058
FS( 21 ),1239351.419999999925494,1393320.320000000065193,1336025.100000000093132,1381404.000000000000000,1333239.379999999888241,1360496.000000000000000,1339637.419999999925494,1308045.950000000186265,10691519.589999999850988
FS( 22 ),1268147.579999999841675,1390536.320000000065193,1334796.169999999925494,1360520.149999999906868,1327586.119999999878928,1363085.750000000000000,1346288.959999999962747,1293998.300000000279397,10684959.350000001490116
FS( 23 ),1324165.109999999869615,1397552.000000000000000,1344049.289999999804422,1344563.949999999953434,1330705.160000000149012,1343576.300000000046566,1334358.419999999925494,1265637.950000000186265,10684608.179999999701977
FS( 24 ),1326564.789999999804422,1403342.720000000204891,1324386.409999999916181,1349960.899999999906868,1304193.320000000065193,1347547.250000000000000,1342804.820000000065193,1268023.400000000372529,10666823.610000001266599
FS( 25 ),1378607.850000000093132,1397997.440000000176951,1337687.770000000018626,1355123.199999999953434,1327586.119999999878928,1357618.500000000000000,1353151.659999999916181,1277300.150000000139698,10785072.689999999478459
FS( 26 ),1388581.520000000018626,1391427.200000000186265,1327061.139999999897555,1346441.149999999906868,1351758.679999999934807,1345417.899999999906868,1364765.459999999729916,1265107.850000000093132,10780560.899999998509884
FS( 27 ),1395255.630000000121072,1409578.880000000121072,1337760.059999999823049,1331892.849999999860302,1334603.959999999962747,1335346.649999999906868,1371522.579999999841675,1246289.300000000279397,10762249.910000000149012
FS( 28 ),1405079.320000000065193,1433521.280000000027940,1347302.340000000083819,1359816.199999999953434,1324662.020000000018626,1319117.550000000046566,1381447.099999999860302,1229326.100000000325963,10800271.910000000149012
FS( 29 ),1425176.639999999897555,1434634.880000000121072,1353085.539999999804422,1362397.350000000093132,1324077.199999999953434,1345015.050000000046566,1381447.099999999860302,1251060.200000000186265,10876893.960000000894070
FS( 30 ),1414303.089999999850988,1445993.600000000093132,1375856.889999999897555,1400645.299999999813735,1334019.140000000130385,1371315.399999999906868,1391793.939999999711290,1288697.300000000046566,11022624.660000000149012
FS( 31 ),1411003.530000000027940,1452118.399999999906868,1381423.219999999972060,1400410.649999999906868,1342011.679999999934807,1397903.500000000000000,1385353.560000000055879,1285251.650000000139698,11055476.189999999478459
FS( 32 ),1398180.239999999990687,1444880.000000000232831,1359013.319999999832362,1389147.449999999953434,1354877.719999999972060,1378336.500000000000000,1384192.179999999934807,1266698.150000000139698,10975325.560000000521541
FS( 33 ),1411228.500000000000000,1442875.520000000018626,1347446.919999999925494,1402053.199999999953434,1390746.679999999934807,1391112.600000000093132,1381974.999999999767169,1268553.500000000232831,11035991.919999999925494
FS( 34 ),1402304.689999999944121,1441761.920000000158325,1339856.469999999972060,1386097.000000000000000,1382949.079999999841675,1398248.800000000046566,1371839.320000000065193,1268288.450000000186265,10991345.730000000447035
FS( 35 ),1397205.369999999878928,1423944.320000000065193,1354965.079999999841675,1387739.550000000046566,1390356.799999999813735,1407917.199999999953434,1371839.320000000065193,1265372.900000000139698,10999340.539999999105930
FS( 36 ),1407104.049999999813735,1440759.680000000167638,1372097.809999999823049,1374364.500000000000000,1391526.439999999944121,1426678.500000000000000,1379546.659999999916181,1283661.350000000093132,11075738.990000000223517
FS( 37 ),1403579.520000000018626,1428064.639999999897555,1350989.129999999888241,1371548.699999999953434,1390161.860000000102445,1411024.900000000139698,1380074.560000000055879,1293733.250000000232831,11029176.560000000521541
FS( 38 ),1412578.320000000065193,1433298.560000000055879,1349543.329999999841675,1388443.500000000000000,1390746.679999999934807,1405730.300000000046566,1392427.419999999925494,1287902.150000000372529,11060670.259999999776483
FS( 39 ),1411003.530000000027940,1410024.320000000065193,1353013.250000000000000,1387504.899999999906868,1407121.640000000130385,1396925.149999999906868,1392532.999999999767169,1289227.400000000139698,11047353.190000001341105
FS( 40 ),1414228.100000000093132,1360803.200000000186265,1350844.549999999813735,1386566.300000000046566,1408486.219999999972060,1409701.250000000000000,1386092.619999999878928,1286046.800000000279397,11002769.040000000968575
FS( 41 ),1409128.780000000027940,1351894.400000000139698,1337470.899999999906868,1370375.449999999953434,1382559.199999999953434,1393702.349999999860302,1369305.399999999906868,1277565.200000000186265,10892001.679999999701977
FS( 42 ),1406129.179999999934807,1393877.120000000111759,1352579.510000000009313,1401349.250000000000000,1408096.340000000083819,1409643.699999999953434,1379335.499999999767169,1288167.200000000186265,11039177.800000000745058
FS( 43 ),1401404.810000000055879,1384300.160000000149012,1348675.850000000093132,1396890.899999999906868,1399713.919999999925494,1389904.050000000046566,1380180.139999999897555,1263517.550000000279397,10964587.380000000819564
FS( 44 ),1426676.439999999944121,1379288.959999999962747,1354459.049999999813735,1421059.850000000093132,1418428.160000000149012,1400493.250000000000000,1381552.679999999934807,1267228.250000000232831,11049186.640000000596046
FS( 45 ),1438599.850000000093132,1361582.720000000204891,1383447.340000000083819,1455318.750000000000000,1439286.739999999990687,1407859.649999999906868,1404991.439999999711290,1267493.300000000279397,11158579.790000000968575
FS( 46 ),1449698.369999999878928,1366816.640000000130385,1387640.159999999916181,1440535.800000000046566,1443575.419999999925494,1406708.650000000139698,1410164.859999999869615,1271469.050000000046566,11176608.949999999254942
FS( 47 ),1454722.699999999953434,1374055.040000000037253,1399568.010000000009313,1453206.899999999906868,1457221.219999999972060,1430994.750000000000000,1438882.619999999878928,1283131.250000000000000,11291782.490000000223517
FS( 48 ),1450823.219999999972060,1413921.919999999925494,1418218.829999999841675,1454614.800000000046566,1457416.160000000149012,1432893.899999999906868,1413121.099999999860302,1299034.250000000232831,11340044.179999999701977
FS( 49 ),1437624.979999999748543,1408131.200000000186265,1433833.469999999972060,1468459.149999999906868,1460145.320000000065193,1442677.400000000139698,1422623.300000000046566,1303540.100000000093132,11377034.919999999925494
FS( 50 ),1434100.449999999953434,1420603.520000000018626,1443303.459999999729916,1462592.899999999906868,1454102.179999999934807,1460517.899999999906868,1413860.159999999916181,1306720.700000000186265,11395801.269999999552965
FS( 51 ),1441974.399999999906868,1415258.239999999990687,1455375.889999999897555,1465174.049999999813735,1448253.979999999981374,1459366.900000000139698,1423890.260000000009313,1293733.250000000232831,11403026.969999998807907
FS( 52 ),1430125.979999999748543,1415146.880000000121072,1448146.889999999897555,1468693.800000000046566,1444745.060000000055879,1455280.850000000093132,1419033.579999999841675,1256361.200000000186265,11337534.239999998360872
FS( 53 ),1430875.880000000121072,1408910.720000000204891,1443520.329999999841675,1444524.850000000093132,1456246.520000000018626,1469438.150000000139698,1425368.379999999888241,1267493.300000000279397,11346378.130000002682209
FS( 54 ),1416177.839999999850988,1381404.800000000279397,1449809.559999999823049,1455553.399999999906868,1478469.679999999934807,1473178.899999999906868,1426424.179999999934807,1273854.500000000232831,11354872.859999999403954
FS( 55 ),1415427.939999999944121,1402897.280000000027940,1450893.909999999916181,1431149.800000000046566,1473986.060000000055879,1466790.850000000093132,1438037.979999999748543,1257951.500000000232831,11337135.320000000298023
FS( 56 ),1392555.989999999990687,1398108.800000000279397,1440194.989999999990687,1432088.399999999906868,1447669.160000000149012,1456144.100000000093132,1426529.760000000009313,1285516.700000000186265,11278807.899999998509884
FS( 57 ),1398630.179999999934807,1395324.800000000279397,1439255.219999999972060,1437954.649999999906868,1456636.399999999906868,1454935.550000000046566,1430647.379999999888241,1274649.650000000372529,11288033.830000000074506
FS( 58 ),1390831.219999999972060,1365257.600000000093132,1448146.889999999897555,1435608.149999999906868,1441431.079999999841675,1449640.949999999953434,1420406.119999999878928,1288962.350000000325963,11240284.359999997541308
FS( 59 ),1386781.759999999776483,1393208.959999999962747,1427182.789999999804422,1442413.000000000000000,1431489.140000000130385,1463913.350000000093132,1428852.520000000018626,1318913.000000000232831,11292754.519999999552965
FS( 60 ),1366159.509999999776483,1365480.320000000065193,1419736.919999999925494,1433261.649999999906868,1410435.619999999878928,1442850.050000000046566,1382397.320000000065193,1314672.200000000186265,11134993.589999999850988
FS( 61 ),1383107.250000000000000,1382741.120000000111759,1419592.340000000083819,1424814.250000000000000,1414529.360000000102445,1437440.350000000093132,1399501.280000000027940,1306720.700000000186265,11168446.649999998509884
FS( 62 ),1381082.520000000018626,1403231.360000000102445,1409905.479999999981374,1405103.649999999906868,1390941.619999999878928,1428232.349999999860302,1383347.540000000037253,1306985.750000000232831,11108830.269999999552965
FS( 63 ),1391131.179999999934807,1399445.120000000111759,1411278.989999999990687,1414958.949999999953434,1397764.520000000018626,1409413.500000000000000,1401507.300000000046566,1348068.500000000232831,11173568.060000000521541
FS( 64 ),1388206.570000000065193,1408019.840000000083819,1410483.799999999813735,1424344.949999999953434,1553326.640000000130385,1411945.699999999953434,1398445.479999999748543,1333490.750000000232831,11328263.730000000447035
