代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11056246.199999999254942
真實報酬,1056246.199999999254942

夏普值報酬,0.096924620000000
夏普值風險,0.032089626929328
夏普值,3.020434616253437

二次趨勢線,192.335616370190280 x^2 + 4504.030320170046252 x + 10000000.000000000000000
二次平均預期報酬,17005.845384232412471
風險,72432.224816546455259
二次平均趨勢值,0.234782866704760
一次趨勢線,13807.706646914124576 x + 10000000.000000000000000
一次預期報酬,13807.706646914124576
一次風險,115361.166804719352513
一次趨勢值,0.119691114691025
找到最佳解世代,2089
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](5),KO[14](3),MSFT[18](6),PG[21](1),VZ[26](9),
FS( 10 ),2047571.439999999944121,1974172.549999999813735,2063787.560000000055879,2036686.760000000242144,1986481.219999999972060,10108699.530000001192093
FS( 11 ),2057165.679999999934807,1959145.669999999925494,2048840.639999999897555,2027515.070000000298023,1957805.019999999785796,10050472.080000000074506
FS( 12 ),2099540.240000000223517,1951162.639999999897555,2045261.800000000046566,2043635.010000000242144,1960672.639999999897555,10100272.330000000074506
FS( 13 ),2085548.640000000130385,1986381.889999999897555,2024841.360000000102445,2055586.000000000000000,1960262.979999999981374,10112620.870000001043081
FS( 14 ),2077353.560000000055879,1986381.889999999897555,2028630.719999999972060,2041411.570000000298023,1955756.719999999972060,10089534.460000000894070
FS( 15 ),2079952.000000000000000,1991547.379999999888241,2054735.199999999953434,2058365.300000000279397,1984023.259999999776483,10168623.140000000596046
FS( 16 ),2080151.879999999888241,1984033.939999999944121,2052630.000000000000000,2057531.510000000242144,1999590.340000000083819,10173937.669999999925494
FS( 17 ),2056566.040000000037253,1991077.789999999804422,2077050.319999999832362,2061700.460000000428408,1990577.820000000065193,10176972.430000001564622
FS( 18 ),2040975.399999999906868,1987321.070000000065193,2069682.120000000111759,2050305.330000000074506,1992626.119999999878928,10140910.039999999105930
FS( 19 ),2042774.320000000065193,1991077.789999999804422,2070734.719999999972060,2065313.550000000279397,1987710.199999999953434,10157610.580000000074506
FS( 20 ),1992604.439999999944121,2004226.309999999823049,2063366.520000000018626,2058087.370000000111759,1974601.080000000074506,10092885.719999998807907
FS( 21 ),1998400.959999999962747,2025357.860000000102445,2083155.400000000139698,2081433.490000000223517,1990987.479999999981374,10179335.190000001341105
FS( 22 ),1988207.079999999841675,2019253.189999999944121,2080839.680000000167638,2033629.530000000260770,1952889.099999999860302,10074818.580000000074506
FS( 23 ),1986008.399999999906868,2024888.269999999785796,2121891.080000000074506,2041411.570000000298023,1958624.340000000083819,10132823.660000000149012
FS( 24 ),2003597.839999999850988,2042263.100000000093132,2140416.839999999850988,2061700.460000000428408,1959034.000000000000000,10207012.240000000223517
FS( 25 ),1997601.439999999944121,2024418.679999999934807,2151363.879999999888241,2055863.930000000167638,1965178.899999999906868,10194426.830000000074506
FS( 26 ),2036977.799999999813735,2040854.330000000074506,2157679.479999999981374,2066425.270000000018626,1983203.939999999711290,10285140.819999998435378
FS( 27 ),2048171.079999999841675,2039915.149999999906868,2123785.759999999776483,2105613.400000000372529,2007783.539999999804422,10325268.929999999701977
FS( 28 ),2078352.959999999962747,2063864.239999999990687,2139574.759999999776483,2145079.460000000428408,2014747.759999999776483,10441619.179999999701977
FS( 29 ),2085748.519999999785796,2072316.860000000102445,2127364.600000000093132,2154807.010000000242144,2019663.679999999701977,10459900.669999999925494
FS( 30 ),2085348.760000000009313,2085465.379999999888241,2132838.120000000111759,2146747.040000000037253,1999590.340000000083819,10449989.640000000596046
FS( 31 ),2124925.000000000000000,2074664.809999999823049,2123154.199999999720603,2125346.430000000167638,1941828.279999999795109,10389918.719999998807907
FS( 32 ),2173695.719999999739230,2046489.409999999916181,2135153.839999999850988,2112005.790000000037253,1959034.000000000000000,10426378.759999999776483
FS( 33 ),2175694.519999999552965,2071847.269999999785796,2107996.759999999776483,2150638.060000000055879,1968865.840000000083819,10475042.449999999254942
FS( 34 ),2139916.000000000000000,2045080.639999999897555,2123364.720000000204891,2107836.840000000316650,1944286.239999999990687,10360484.439999999478459
FS( 35 ),2120727.519999999552965,2047428.590000000083819,2123364.720000000204891,2121455.410000000149012,1986890.879999999888241,10399867.120000001043081
FS( 36 ),2141714.919999999925494,2031462.529999999795109,2144627.240000000223517,2108114.770000000018626,1970094.820000000065193,10396014.279999999329448
FS( 37 ),2116530.040000000037253,2023479.500000000000000,2129259.279999999795109,2124512.640000000130385,1992216.459999999962747,10385997.920000001788139
FS( 38 ),2125524.639999999664724,2030992.939999999944121,2113891.319999999832362,2152027.710000000428408,2038508.039999999804422,10460944.649999998509884
FS( 39 ),2087747.320000000065193,2046489.409999999916181,2071366.280000000027940,2162033.190000000409782,2031953.479999999981374,10399589.679999999701977
FS( 40 ),2083949.600000000093132,2034749.659999999916181,2085892.159999999916181,2167869.720000000204891,2019663.679999999701977,10392124.820000000298023
FS( 41 ),2077953.199999999953434,2022540.320000000065193,2053472.080000000074506,2159253.890000000130385,2020073.340000000083819,10333292.830000000074506
FS( 42 ),2094143.479999999981374,2041323.919999999925494,2076418.760000000009313,2169259.370000000111759,2083570.639999999897555,10464716.169999999925494
FS( 43 ),2094943.000000000000000,2059637.929999999934807,2075997.719999999972060,2169537.300000000279397,2061039.340000000083819,10461155.289999999105930
FS( 44 ),2105336.759999999776483,2054472.439999999944121,2105470.520000000018626,2171482.810000000055879,2065545.599999999860302,10502308.129999998956919
FS( 45 ),2079552.239999999990687,2065742.600000000093132,2085260.599999999860302,2165090.420000000391155,2077016.080000000074506,10472661.939999999478459
FS( 46 ),2105536.639999999664724,2097205.129999999888241,2100207.520000000018626,2201499.250000000000000,2100776.359999999869615,10605224.899999998509884
FS( 47 ),2094343.360000000102445,2096265.949999999953434,2129680.319999999832362,2204278.550000000279397,2108969.559999999590218,10633537.739999998360872
FS( 48 ),2119128.479999999515712,2084995.789999999804422,2144206.199999999720603,2163978.700000000186265,2078654.719999999972060,10590963.889999998733401
FS( 49 ),2119328.360000000335276,2111762.419999999925494,2149890.240000000223517,2218452.979999999981374,2103234.319999999832362,10702668.320000000298023
FS( 50 ),2159504.240000000223517,2103309.799999999813735,2146942.959999999962747,2200109.600000000093132,2103234.319999999832362,10713100.919999999925494
FS( 51 ),2163701.719999999739230,2097674.720000000204891,2193467.879999999888241,2192605.490000000223517,2099137.719999999739230,10746587.529999997466803
FS( 52 ),2198680.719999999739230,2100961.850000000093132,2219572.360000000335276,2204278.550000000279397,2106101.939999999944121,10829595.419999999925494
FS( 53 ),2202678.320000000298023,2100492.259999999776483,2208625.319999999832362,2210393.010000000242144,2113475.819999999832362,10835664.730000000447035
FS( 54 ),2204677.120000000111759,2124910.939999999944121,2230519.399999999906868,2224289.510000000242144,2106921.259999999776483,10891318.230000000447035
FS( 55 ),2212472.439999999478459,2118806.270000000018626,2213046.240000000223517,2215673.680000000167638,2095041.119999999878928,10855039.749999998137355
FS( 56 ),2241255.160000000149012,2118336.679999999701977,2197888.800000000279397,2188158.610000000335276,2079064.379999999888241,10824703.629999998956919
FS( 57 ),2228262.959999999962747,2126319.709999999962747,2237256.040000000037253,2186768.960000000428408,2073738.799999999813735,10852346.469999998807907
FS( 58 ),2220467.639999999664724,2110823.240000000223517,2273044.439999999944121,2182044.150000000372529,2079064.379999999888241,10865443.850000001490116
FS( 59 ),2212672.320000000298023,2125380.529999999795109,2266518.319999999832362,2195384.790000000037253,2110198.540000000037253,10910154.500000000000000
FS( 60 ),2222266.560000000521541,2164356.500000000000000,2333253.160000000149012,2208725.430000000167638,2085618.939999999711290,11014220.589999999850988
FS( 61 ),2268838.599999999627471,2171400.350000000093132,2307780.240000000223517,2225957.090000000316650,2096679.759999999776483,11070656.039999999105930
FS( 62 ),2251049.280000000260770,2169991.580000000074506,2266939.360000000335276,2239575.660000000149012,2130681.540000000037253,11058237.420000001788139
FS( 63 ),2251249.160000000149012,2170930.759999999776483,2218309.240000000223517,2229014.320000000298023,2150345.219999999739230,11019848.699999999254942
FS( 64 ),2269838.000000000000000,2189714.359999999869615,2233256.160000000149012,2247913.560000000055879,2115524.120000000111759,11056246.199999999254942
