代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10973615.370000001043081
真實報酬,973615.370000001043081

夏普值報酬,0.088661537000000
夏普值風險,0.032212544588767
夏普值,2.752391595630699

二次趨勢線,277.327230530345560 x^2 + -1122.946799267505867 x + 10000000.000000000000000
二次平均預期報酬,16903.323185204957554
風險,80084.401141274822294
二次平均趨勢值,0.211068859157556
一次趨勢線,12291.951793828273367 x + 10000000.000000000000000
一次預期報酬,12291.951793828273367
一次風險,152231.282497393462108
一次趨勢值,0.080745242319290
找到最佳解世代,2639
找到最佳解實驗#,2
找到最佳解次數,15

stock[index](rank)
投資組合檔數,3
IBM[10](8),KO[14](1),MCD[15](2),
FS( 14 ),3285919.740000000689179,3265981.229999999981374,3462394.279999999795109,10014296.250000000000000
FS( 15 ),3250232.340000000316650,3267162.839999999850988,3467613.669999999925494,9985009.849999999627471
FS( 16 ),3223976.610000000335276,3284886.990000000223517,3479950.410000000149012,9988815.010000001639128
FS( 17 ),3183955.740000000689179,3288431.819999999832362,3450532.029999999795109,9922920.589999999850988
FS( 18 ),3193387.410000000149012,3273070.889999999664724,3472833.060000000055879,9939292.359999999403954
FS( 19 ),3129914.820000000298023,3258891.569999999832362,3471409.589999999850988,9860216.980000000447035
FS( 20 ),3179622.270000000484288,3317972.069999999832362,3510792.259999999776483,10008387.599999999627471
FS( 21 ),3145719.240000000689179,3282523.770000000018626,3451481.009999999776483,9879725.019999999552965
FS( 22 ),3138836.670000000391155,3301429.530000000260770,3466664.689999999944121,9906931.890000000596046
FS( 23 ),3206132.910000000149012,3386505.450000000186265,3536889.210000000428408,10129528.570000000298023
FS( 24 ),3187524.480000000447035,3390050.280000000260770,3559664.729999999981374,10137240.490000000223517
FS( 25 ),3252271.620000000111759,3400684.770000000018626,3562986.160000000149012,10215943.550000000745058
FS( 26 ),3210721.290000000502914,3405411.209999999962747,3596674.949999999720603,10212808.449999999254942
FS( 27 ),3214035.120000000111759,3417227.310000000055879,3609960.669999999925494,10241224.099999999627471
FS( 28 ),3221172.600000000093132,3444404.339999999850988,3528822.880000000353903,10194400.820000000298023
FS( 29 ),3262722.930000000167638,3457402.050000000279397,3559190.240000000223517,10279316.220000000670552
FS( 30 ),3304018.350000000558794,3429043.409999999683350,3538312.679999999701977,10271375.439999999478459
FS( 31 ),3284645.189999999944121,3403047.990000000223517,3508419.810000000055879,10196113.990000000223517
FS( 32 ),3299429.970000000670552,3392413.500000000000000,3544955.539999999571592,10236800.009999999776483
FS( 33 ),3305547.810000000055879,3398321.550000000279397,3549225.949999999720603,10253096.310000000521541
FS( 34 ),3318803.130000000353903,3400684.770000000018626,3526450.429999999701977,10245939.330000000074506
FS( 35 ),3359588.729999999981374,3425498.579999999608845,3563935.140000000130385,10349023.449999999254942
FS( 36 ),3364432.020000000018626,3433769.849999999627471,3582914.740000000223517,10381117.609999999403954
FS( 37 ),3379471.709999999962747,3440859.510000000242144,3564884.119999999646097,10385216.339999999850988
FS( 38 ),3356529.810000000055879,3419590.530000000260770,3541634.109999999869615,10317755.449999999254942
FS( 39 ),3418727.850000000558794,3463310.099999999627471,3563460.649999999906868,10445499.599999999627471
FS( 40 ),3432492.990000000689179,3462128.490000000223517,3547327.990000000223517,10441950.470000000670552
FS( 41 ),3438610.830000000074506,3491668.740000000223517,3541159.619999999646097,10471440.189999999478459
FS( 42 ),3453650.520000000018626,3471581.369999999646097,3532618.800000000279397,10457851.689999999478459
FS( 43 ),3419492.580000000074506,3457402.050000000279397,3535465.740000000223517,10412361.370000001043081
FS( 44 ),3457729.080000000074506,3492850.349999999627471,3554919.830000000074506,10505500.259999999776483
FS( 45 ),3447787.590000000316650,3478671.030000000260770,3556343.300000000279397,10482802.920000001788139
FS( 46 ),3509220.900000000372529,3524753.819999999832362,3597623.929999999701977,10631599.650000000372529
FS( 47 ),3505652.160000000614673,3530661.869999999646097,3577695.350000000093132,10614010.380000000819564
FS( 48 ),3536241.360000000335276,3511756.109999999869615,3599521.890000000130385,10647520.360000001266599
FS( 49 ),3539555.189999999944121,3510574.500000000000000,3610909.649999999906868,10661040.339999999850988
FS( 50 ),3560202.900000000372529,3518845.770000000018626,3586710.660000000149012,10665760.330000000074506
FS( 51 ),3565046.189999999944121,3521208.990000000223517,3586236.169999999925494,10672492.349999999627471
FS( 52 ),3578301.510000000242144,3541296.359999999869615,3594302.500000000000000,10713901.370000001043081
FS( 53 ),3607106.340000000316650,3540114.750000000000000,3655511.710000000428408,10802733.800000000745058
FS( 54 ),3595890.300000000279397,3541296.359999999869615,3676389.270000000018626,10813576.929999999701977
FS( 55 ),3641009.370000000577420,3544841.189999999944121,3668797.429999999701977,10854648.990000000223517
FS( 56 ),3518652.570000000298023,3564928.560000000055879,3653139.259999999776483,10736721.390000000596046
FS( 57 ),3545163.209999999962747,3613374.569999999832362,3673067.839999999850988,10831606.619999999180436
FS( 58 ),3564536.370000000577420,3632280.329999999608845,3721940.310000000055879,10918758.009999999776483
FS( 59 ),3560457.810000000055879,3640551.599999999627471,3727159.699999999720603,10928170.109999999403954
FS( 60 ),3564791.280000000260770,3605103.300000000279397,3734277.050000000279397,10904172.630000000819564
FS( 61 ),3585948.810000000055879,3618101.010000000242144,3737123.990000000223517,10941174.810000000521541
FS( 62 ),3605321.970000000670552,3615737.790000000037253,3676389.270000000018626,10897450.030000001192093
FS( 63 ),3591811.740000000689179,3616919.399999999906868,3676389.270000000018626,10885121.410000000149012
FS( 64 ),3660637.439999999944121,3622827.450000000186265,3690149.479999999981374,10973615.370000001043081
